0000000278183888 (__TEXT,__text) non-external _Done_iODBC
0000000294164930 (__DATA,__bss) non-external _SQLDrivers_Internal.num_entries
0000000294164938 (__DATA,__bss) non-external _SQLDrivers_Internal.sect
0000000278192ec8 (__TEXT,__text) external _SQLEndTran
0000000278184048 (__TEXT,__text) external _SQLError
0000000278184170 (__TEXT,__text) external _SQLErrorA
0000000278184298 (__TEXT,__text) external _SQLErrorW
000000027818001c (__TEXT,__text) external _SQLExecDirect
000000027818016c (__TEXT,__text) external _SQLExecDirectA
00000002781802bc (__TEXT,__text) external _SQLExecDirectW
000000027817fdb0 (__TEXT,__text) non-external _SQLExecDirect_Internal
000000027817facc (__TEXT,__text) external _SQLExecute
0000000278181268 (__TEXT,__text) external _SQLExtendedFetch
0000000278180f9c (__TEXT,__text) external _SQLFetch
000000027819317c (__TEXT,__text) external _SQLFetchScroll
0000000278180dc8 (__TEXT,__text) non-external _SQLFetch_Internal
0000000278178a34 (__TEXT,__text) external _SQLForeignKeys
0000000278178d00 (__TEXT,__text) external _SQLForeignKeysA
0000000278178fcc (__TEXT,__text) external _SQLForeignKeysW
00000002781786e4 (__TEXT,__text) non-external _SQLForeignKeys_Internal
0000000278181f48 (__TEXT,__text) external _SQLFreeConnect
0000000278181ea0 (__TEXT,__text) non-external _SQLFreeConnect_Internal
00000002781837dc (__TEXT,__text) external _SQLFreeEnv
0000000278183744 (__TEXT,__text) non-external _SQLFreeEnv_Internal
000000027818d928 (__TEXT,__text) external _SQLFreeHandle
0000000278186808 (__TEXT,__text) external _SQLFreeStmt
0000000278186600 (__TEXT,__text) non-external _SQLFreeStmt_Internal
000000027819ef98 (__TEXT,__text) non-external _SQLGetConfigMode
0000000278190234 (__TEXT,__text) external _SQLGetConnectAttr
00000002781906fc (__TEXT,__text) external _SQLGetConnectAttrA
0000000278190850 (__TEXT,__text) external _SQLGetConnectAttrW
0000000278190388 (__TEXT,__text) non-external _SQLGetConnectAttr_Internal
0000000278182d70 (__TEXT,__text) external _SQLGetConnectOption
0000000278182e9c (__TEXT,__text) external _SQLGetConnectOptionA
0000000278182fc8 (__TEXT,__text) external _SQLGetConnectOptionW
000000027818b954 (__TEXT,__text) external _SQLGetCursorName
000000027818babc (__TEXT,__text) external _SQLGetCursorNameA
000000027818bc24 (__TEXT,__text) external _SQLGetCursorNameW
000000027818b740 (__TEXT,__text) non-external _SQLGetCursorName_Internal
00000002781813ec (__TEXT,__text) external _SQLGetData
0000000278190c38 (__TEXT,__text) external _SQLGetDescField
0000000278190dac (__TEXT,__text) external _SQLGetDescFieldA
0000000278190f20 (__TEXT,__text) external _SQLGetDescFieldW
00000002781909a4 (__TEXT,__text) non-external _SQLGetDescField_Internal
0000000278191878 (__TEXT,__text) external _SQLGetDescRec
0000000278191ad0 (__TEXT,__text) external _SQLGetDescRecA
0000000278191d28 (__TEXT,__text) external _SQLGetDescRecW
0000000278191644 (__TEXT,__text) non-external _SQLGetDescRec_Internal
0000000278185b40 (__TEXT,__text) external _SQLGetDiagField
0000000278185c4c (__TEXT,__text) external _SQLGetDiagFieldA
0000000278185d58 (__TEXT,__text) external _SQLGetDiagFieldW
0000000278184d64 (__TEXT,__text) non-external _SQLGetDiagField_Internal
0000000278184a04 (__TEXT,__text) external _SQLGetDiagRec
0000000278184b24 (__TEXT,__text) external _SQLGetDiagRecA
0000000278184c44 (__TEXT,__text) external _SQLGetDiagRecW
00000002781843c0 (__TEXT,__text) non-external _SQLGetDiagRec_Internal
000000027818e044 (__TEXT,__text) external _SQLGetEnvAttr
00000002781895c0 (__TEXT,__text) external _SQLGetFunctions
00000002781891c4 (__TEXT,__text) external _SQLGetInfo
0000000278189318 (__TEXT,__text) external _SQLGetInfoA
000000027818946c (__TEXT,__text) external _SQLGetInfoW
0000000278188b84 (__TEXT,__text) non-external _SQLGetInfo_Internal
00000002781a1e78 (__TEXT,__text) non-external _SQLGetKeywordValue
00000002781a1ec4 (__TEXT,__text) non-external _SQLGetKeywordValueW
00000002781a1990 (__TEXT,__text) non-external _SQLGetPrivateProfileString
00000002781a1b90 (__TEXT,__text) non-external _SQLGetPrivateProfileStringW
000000027818e8b8 (__TEXT,__text) external _SQLGetStmtAttr
000000027818ea30 (__TEXT,__text) external _SQLGetStmtAttrA
000000027818eba8 (__TEXT,__text) external _SQLGetStmtAttrW
000000027818e228 (__TEXT,__text) non-external _SQLGetStmtAttr_Internal
0000000278187050 (__TEXT,__text) external _SQLGetStmtOption
000000027818719c (__TEXT,__text) external _SQLGetStmtOptionA
0000000278186e70 (__TEXT,__text) non-external _SQLGetStmtOption_Internal
0000000278175978 (__TEXT,__text) external _SQLGetTypeInfo
0000000278175ab8 (__TEXT,__text) external _SQLGetTypeInfoA
0000000278175bf8 (__TEXT,__text) external _SQLGetTypeInfoW
00000002781757b8 (__TEXT,__text) non-external _SQLGetTypeInfo_Internal
0000000278181770 (__TEXT,__text) external _SQLMoreResults
000000027817f1d4 (__TEXT,__text) external _SQLNativeSql
000000027817f340 (__TEXT,__text) external _SQLNativeSqlA
000000027817f4ac (__TEXT,__text) external _SQLNativeSqlW
000000027817ef5c (__TEXT,__text) non-external _SQLNativeSql_Internal
0000000278180958 (__TEXT,__text) external _SQLNumParams
000000027818c084 (__TEXT,__text) external _SQLNumResultCols
00000002781806a0 (__TEXT,__text) external _SQLParamData
000000027818acd8 (__TEXT,__text) external _SQLParamOptions
0000000278189f54 (__TEXT,__text) external _SQLPrepare
000000027818a0a4 (__TEXT,__text) external _SQLPrepareA
000000027818a1f4 (__TEXT,__text) external _SQLPrepareW
0000000278189d2c (__TEXT,__text) non-external _SQLPrepare_Internal
00000002781794c4 (__TEXT,__text) external _SQLPrimaryKeys
000000027817966c (__TEXT,__text) external _SQLPrimaryKeysA
0000000278179814 (__TEXT,__text) external _SQLPrimaryKeysW
0000000278179298 (__TEXT,__text) non-external _SQLPrimaryKeys_Internal
0000000278179c4c (__TEXT,__text) external _SQLProcedureColumns
0000000278179e28 (__TEXT,__text) external _SQLProcedureColumnsA
000000027817a004 (__TEXT,__text) external _SQLProcedureColumnsW
00000002781799bc (__TEXT,__text) non-external _SQLProcedureColumns_Internal
000000027817a40c (__TEXT,__text) external _SQLProcedures
000000027817a5b4 (__TEXT,__text) external _SQLProceduresA
000000027817a75c (__TEXT,__text) external _SQLProceduresW
000000027817a1e0 (__TEXT,__text) non-external _SQLProcedures_Internal
000000027818040c (__TEXT,__text) external _SQLPutData
000000027819e640 (__TEXT,__text) non-external _SQLReadFileDSN
000000027819e7d0 (__TEXT,__text) non-external _SQLReadFileDSNW
000000027818bd8c (__TEXT,__text) external _SQLRowCount
00000002781a1f10 (__TEXT,__text) non-external _SQLSetConfigMode
000000027818fc30 (__TEXT,__text) external _SQLSetConnectAttr
000000027818ffac (__TEXT,__text) external _SQLSetConnectAttrA
00000002781900f0 (__TEXT,__text) external _SQLSetConnectAttrW
000000027818fd74 (__TEXT,__text) non-external _SQLSetConnectAttr_Internal
00000002781825ec (__TEXT,__text) external _SQLSetConnectOption
0000000278182718 (__TEXT,__text) external _SQLSetConnectOptionA
0000000278182844 (__TEXT,__text) external _SQLSetConnectOptionW
000000027818a4f0 (__TEXT,__text) external _SQLSetCursorName
000000027818a640 (__TEXT,__text) external _SQLSetCursorNameA
000000027818a790 (__TEXT,__text) external _SQLSetCursorNameW
000000027818a344 (__TEXT,__text) non-external _SQLSetCursorName_Internal
0000000278191230 (__TEXT,__text) external _SQLSetDescField
000000027819138c (__TEXT,__text) external _SQLSetDescFieldA
00000002781914e8 (__TEXT,__text) external _SQLSetDescFieldW
0000000278191094 (__TEXT,__text) non-external _SQLSetDescField_Internal
0000000278191f80 (__TEXT,__text) external _SQLSetDescRec
000000027818de30 (__TEXT,__text) external _SQLSetEnvAttr
000000027818df50 (__TEXT,__text) non-external _SQLSetEnvAttr_Internal
00000002781a23ec (__TEXT,__text) non-external _SQLSetKeywordValue
00000002781a23f8 (__TEXT,__text) non-external _SQLSetKeywordValueW
000000027818b3bc (__TEXT,__text) external _SQLSetParam
0000000278181b78 (__TEXT,__text) external _SQLSetPos
000000027818af88 (__TEXT,__text) external _SQLSetScrollOptions
000000027818f7f8 (__TEXT,__text) external _SQLSetStmtAttr
000000027818f960 (__TEXT,__text) external _SQLSetStmtAttrA
000000027818fac8 (__TEXT,__text) external _SQLSetStmtAttrW
000000027818ed20 (__TEXT,__text) non-external _SQLSetStmtAttr_Internal
0000000278186954 (__TEXT,__text) external _SQLSetStmtOption
0000000278186d24 (__TEXT,__text) external _SQLSetStmtOptionA
0000000278186aa0 (__TEXT,__text) non-external _SQLSetStmtOption_Internal
0000000278175fc4 (__TEXT,__text) external _SQLSpecialColumns
0000000278176200 (__TEXT,__text) external _SQLSpecialColumnsA
000000027817643c (__TEXT,__text) external _SQLSpecialColumnsW
0000000278175d38 (__TEXT,__text) non-external _SQLSpecialColumns_Internal
00000002781768e4 (__TEXT,__text) external _SQLStatistics
0000000278176ac0 (__TEXT,__text) external _SQLStatisticsA
0000000278176c9c (__TEXT,__text) external _SQLStatisticsW
0000000278176678 (__TEXT,__text) non-external _SQLStatistics_Internal
000000027817ab30 (__TEXT,__text) external _SQLTablePrivileges
000000027817acd8 (__TEXT,__text) external _SQLTablePrivilegesA
000000027817ae80 (__TEXT,__text) external _SQLTablePrivilegesW
000000027817a904 (__TEXT,__text) non-external _SQLTablePrivileges_Internal
0000000278177108 (__TEXT,__text) external _SQLTables
00000002781772e4 (__TEXT,__text) external _SQLTablesA
00000002781774c0 (__TEXT,__text) external _SQLTablesW
0000000278176e78 (__TEXT,__text) non-external _SQLTables_Internal
0000000278183400 (__TEXT,__text) external _SQLTransact
00000002781830f4 (__TEXT,__text) non-external _SQLTransact_Internal
000000027819f0ac (__TEXT,__text) non-external _SQLValidDSN
000000027819f134 (__TEXT,__text) non-external _SQLValidDSNW
000000027819e3d8 (__TEXT,__text) non-external _SQLWriteFileDSN
000000027819e494 (__TEXT,__text) non-external _SQLWriteFileDSNW
00000002781a20a8 (__TEXT,__text) non-external _SQLWritePrivateProfileString
00000002781a2240 (__TEXT,__text) non-external _SQLWritePrivateProfileStringW
0000000278187d8c (__TEXT,__text) non-external _SectSorter
000000027819efec (__TEXT,__text) non-external _ValidDSN
000000027819f050 (__TEXT,__text) non-external _ValidDSNW
00000002781a1f70 (__TEXT,__text) non-external _WritePrivateProfileString
                 (undefined) external __DefaultRuneLocale (from libSystem)
000000027818dcf4 (__TEXT,__text) non-external __SQLFreeHandle_DESC
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
00000002781a0278 (__TEXT,__text) non-external ___iodbcdm_cfg_poolalloc
00000002781a16c8 (__TEXT,__text) non-external ___iodbcdm_cfg_skipwhite
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___sprintf_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___toupper (from libSystem)
0000000294164970 (__DATA,__common) non-external __iodbc_env_counter
000000027819e9bc (__TEXT,__text) non-external __iodbcadm_getinifile
0000000278187748 (__TEXT,__text) non-external __iodbcdm_BindColumn
0000000278187860 (__TEXT,__text) non-external __iodbcdm_ConvBindData
00000002781810d0 (__TEXT,__text) non-external __iodbcdm_ExtendedFetch
00000002781865ac (__TEXT,__text) non-external __iodbcdm_FreeStmtParams
0000000278182970 (__TEXT,__text) non-external __iodbcdm_GetConnectOption
000000027818bf48 (__TEXT,__text) non-external __iodbcdm_NumResultCols
00000002781867cc (__TEXT,__text) non-external __iodbcdm_RemoveBind
0000000278182030 (__TEXT,__text) non-external __iodbcdm_SetConnectOption
000000027817b278 (__TEXT,__text) non-external __iodbcdm_SetConnectOption_init
0000000278181a00 (__TEXT,__text) non-external __iodbcdm_SetPos
00000002781877f4 (__TEXT,__text) non-external __iodbcdm_UnBindColumn
00000002781874f8 (__TEXT,__text) non-external __iodbcdm_alloc_param
0000000294164978 (__DATA,__common) non-external __iodbcdm_attr_connection_pooling
0000000278187920 (__TEXT,__text) non-external __iodbcdm_bindConv_A2W
00000002781758a0 (__TEXT,__text) non-external __iodbcdm_cata_state_ok
0000000278175914 (__TEXT,__text) non-external __iodbcdm_cata_state_tr
00000002781a0924 (__TEXT,__text) non-external __iodbcdm_cfg_commit
000000027819fc4c (__TEXT,__text) non-external __iodbcdm_cfg_done
00000002781a0424 (__TEXT,__text) non-external __iodbcdm_cfg_find
00000002781a00a8 (__TEXT,__text) non-external __iodbcdm_cfg_freeimage
000000027819fb84 (__TEXT,__text) non-external __iodbcdm_cfg_init
0000000278189ae0 (__TEXT,__text) non-external __iodbcdm_cfg_init_str
00000002781a0ba8 (__TEXT,__text) non-external __iodbcdm_cfg_next_section
00000002781a0358 (__TEXT,__text) non-external __iodbcdm_cfg_nextentry
0000000278189b74 (__TEXT,__text) non-external __iodbcdm_cfg_parse_str
00000002781899b0 (__TEXT,__text) non-external __iodbcdm_cfg_parse_str_Internal
000000027819fc90 (__TEXT,__text) non-external __iodbcdm_cfg_refresh
00000002781a032c (__TEXT,__text) non-external __iodbcdm_cfg_rewind
000000027817dcd8 (__TEXT,__text) non-external __iodbcdm_cfg_savefile
00000002781a0bf0 (__TEXT,__text) non-external __iodbcdm_cfg_search_init
00000002781a0188 (__TEXT,__text) non-external __iodbcdm_cfg_storeentry
0000000278189bec (__TEXT,__text) non-external __iodbcdm_cfg_to_string
00000002781a0524 (__TEXT,__text) non-external __iodbcdm_cfg_write
000000027819ec2c (__TEXT,__text) non-external __iodbcdm_check_for_string
000000027817da7c (__TEXT,__text) non-external __iodbcdm_con_settracing
0000000278187590 (__TEXT,__text) non-external __iodbcdm_conv_param_A2W
000000027818766c (__TEXT,__text) non-external __iodbcdm_conv_param_W2A
000000027817dba0 (__TEXT,__text) non-external __iodbcdm_dbcdelayset
000000027817f9b0 (__TEXT,__text) non-external __iodbcdm_dllclose
000000027817fa24 (__TEXT,__text) non-external __iodbcdm_dllerror
000000027817f8e8 (__TEXT,__text) non-external __iodbcdm_dllopen
000000027817f8e4 (__TEXT,__text) non-external __iodbcdm_dllproc
000000027817fa58 (__TEXT,__text) non-external __iodbcdm_do_cursoropen
000000027817b4f0 (__TEXT,__text) non-external __iodbcdm_driverload
000000027817bb58 (__TEXT,__text) non-external __iodbcdm_driverunload
0000000278186488 (__TEXT,__text) non-external __iodbcdm_dropstmt
0000000278182568 (__TEXT,__text) non-external __iodbcdm_drvopt_store
000000027817b098 (__TEXT,__text) non-external __iodbcdm_finish_disconnect
000000027818388c (__TEXT,__text) non-external __iodbcdm_freesqlerrlist
000000027817f7ac (__TEXT,__text) non-external __iodbcdm_getInfo_init
000000027819ed04 (__TEXT,__text) non-external __iodbcdm_getdsnfile
000000027817f880 (__TEXT,__text) non-external __iodbcdm_getproc
0000000294164918 (__DATA,__bss) non-external __iodbcdm_initialized
00000002781a0e08 (__TEXT,__text) non-external __iodbcdm_list_entries
00000002781a0d3c (__TEXT,__text) non-external __iodbcdm_list_sections
000000027818c22c (__TEXT,__text) non-external __iodbcdm_map_c_type
000000027818c1c0 (__TEXT,__text) non-external __iodbcdm_map_sql_type
000000027817f618 (__TEXT,__text) non-external __iodbcdm_pool_conn_dead
000000027817b028 (__TEXT,__text) non-external __iodbcdm_pool_drop_conn
00000002781a2404 (__TEXT,__text) non-external __iodbcdm_pool_drop_conn.cold.1
000000027817d840 (__TEXT,__text) non-external __iodbcdm_pool_get_conn
000000027817df10 (__TEXT,__text) non-external __iodbcdm_pool_put_conn
000000027817b164 (__TEXT,__text) non-external __iodbcdm_pool_reset_conn_attrs
000000027817de54 (__TEXT,__text) non-external __iodbcdm_pool_set_retry_wait
00000002781838c0 (__TEXT,__text) non-external __iodbcdm_pushsqlerr
000000027819ec90 (__TEXT,__text) non-external __iodbcdm_remove_quotes
000000027817fa28 (__TEXT,__text) non-external __iodbcdm_safe_unload
0000000278183948 (__TEXT,__text) non-external __iodbcdm_sqlerror
000000027819eefc (__TEXT,__text) non-external __iodbcdm_strlcat
000000027819eeb0 (__TEXT,__text) non-external __iodbcdm_strlcpy
00000002781831f4 (__TEXT,__text) non-external __iodbcdm_transact
000000028e2b7360 (__DATA_CONST,__const) non-external __mask_CONVERT
000000028e2b7f38 (__DATA_CONST,__const) non-external __mask_CURSOR_ATTRIBUTES1
000000028e2b7fe0 (__DATA_CONST,__const) non-external __mask_CURSOR_ATTRIBUTES2
000000028e2b7420 (__DATA_CONST,__const) non-external __mask_CURSOR_BEHAVIOR
000000028e2b74b0 (__DATA_CONST,__const) non-external __mask_IDENTIFIER_CASE
000000028e2b7ae8 (__DATA_CONST,__const) non-external __mask_SQL_AGGREGATE_FUNCTIONS
000000028e2b7b20 (__DATA_CONST,__const) non-external __mask_SQL_ALTER_DOMAIN
000000028e2b7820 (__DATA_CONST,__const) non-external __mask_SQL_ALTER_TABLE
000000028e2b7b70 (__DATA_CONST,__const) non-external __mask_SQL_ASYNC_MODE
000000028e2b7b88 (__DATA_CONST,__const) non-external __mask_SQL_BATCH_ROW_COUNT
000000028e2b7ba8 (__DATA_CONST,__const) non-external __mask_SQL_BATCH_SUPPORT
000000028e2b78c8 (__DATA_CONST,__const) non-external __mask_SQL_BOOKMARK_PERSISTENCE
000000028e2b7bd0 (__DATA_CONST,__const) non-external __mask_SQL_CATALOG_LOCATION
000000028e2b7be8 (__DATA_CONST,__const) non-external __mask_SQL_CATALOG_USAGE
000000028e2b7338 (__DATA_CONST,__const) non-external __mask_SQL_CONCAT_NULL_BEHAVIOR
000000028e2b7348 (__DATA_CONST,__const) non-external __mask_SQL_CONVERT_FUNCTIONS
000000028e2b77f8 (__DATA_CONST,__const) non-external __mask_SQL_CORRELATION_NAME
000000028e2b7c18 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_ASSERTION
000000028e2b7c60 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_CHARACTER_SET
000000028e2b7c80 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_COLLATION
000000028e2b7c90 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_DOMAIN
000000028e2b7ce0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_SCHEMA
000000028e2b7d00 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_TABLE
000000028e2b7d78 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_TRANSLATION
000000028e2b7d88 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_VIEW
000000028e2b7db0 (__DATA_CONST,__const) non-external __mask_SQL_CURSOR_SENSITIVITY
000000028e2b7dc8 (__DATA_CONST,__const) non-external __mask_SQL_DATETIME_LITERALS
000000028e2b7e48 (__DATA_CONST,__const) non-external __mask_SQL_DDL_INDEX
000000028e2b7e78 (__DATA_CONST,__const) non-external __mask_SQL_DROP_ASSERTION
000000028e2b7e88 (__DATA_CONST,__const) non-external __mask_SQL_DROP_CHARACTER_SET
000000028e2b7e98 (__DATA_CONST,__const) non-external __mask_SQL_DROP_COLLATION
000000028e2b7ea8 (__DATA_CONST,__const) non-external __mask_SQL_DROP_DOMAIN
000000028e2b7ec8 (__DATA_CONST,__const) non-external __mask_SQL_DROP_SCHEMA
000000028e2b7ee8 (__DATA_CONST,__const) non-external __mask_SQL_DROP_TABLE
000000028e2b7f08 (__DATA_CONST,__const) non-external __mask_SQL_DROP_TRANSLATION
000000028e2b7f18 (__DATA_CONST,__const) non-external __mask_SQL_DROP_VIEW
000000028e2b7e60 (__DATA_CONST,__const) non-external __mask_SQL_DTC_TRANSITION_COST
000000028e2b7468 (__DATA_CONST,__const) non-external __mask_SQL_FETCH_DIRECTION
000000028e2b7950 (__DATA_CONST,__const) non-external __mask_SQL_FILE_USAGE
000000028e2b7908 (__DATA_CONST,__const) non-external __mask_SQL_GETDATA_EXTENSIONS
000000028e2b7930 (__DATA_CONST,__const) non-external __mask_SQL_GROUP_BY
000000028e2b8070 (__DATA_CONST,__const) non-external __mask_SQL_INDEX_KEYWORDS
000000028e2b8088 (__DATA_CONST,__const) non-external __mask_SQL_INFO_SCHEMA_VIEWS
000000028e2b8148 (__DATA_CONST,__const) non-external __mask_SQL_INSERT_STATEMENT
000000028e2b7968 (__DATA_CONST,__const) non-external __mask_SQL_LOCK_TYPES
000000028e2b7810 (__DATA_CONST,__const) non-external __mask_SQL_NON_NULLABLE_COLUMNS
000000028e2b7988 (__DATA_CONST,__const) non-external __mask_SQL_NULL_COLLATION
000000028e2b74d8 (__DATA_CONST,__const) non-external __mask_SQL_NUMERIC_FUNCTIONS
000000028e2b75a0 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_API_CONFORMANCE
000000028e2b8168 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_INTERFACE_CONFORMANCE
000000028e2b75b8 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SAG_CLI_CONFORMANCE
000000028e2b75c8 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SQL_CONFORMANCE
000000028e2b79a0 (__DATA_CONST,__const) non-external __mask_SQL_OJ_CAPABILITIES
000000028e2b8188 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_ROW_COUNTS
000000028e2b81a0 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_SELECTS
000000028e2b7a10 (__DATA_CONST,__const) non-external __mask_SQL_POSITIONED_STATEMENTS
000000028e2b79e0 (__DATA_CONST,__const) non-external __mask_SQL_POS_OPERATIONS
000000028e2b81c0 (__DATA_CONST,__const) non-external __mask_SQL_SCHEMA_USAGE
000000028e2b75e0 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_CONCURRENCY
000000028e2b7608 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_OPTIONS
000000028e2b8218 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_DATETIME_FUNCTIONS
000000028e2b8238 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_DELETE_RULE
000000028e2b8260 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_UPDATE_RULE
000000028e2b8288 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_GRANT
000000028e2b82f8 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_NUMERIC_VALUE_FUNCTIONS
000000028e2b8330 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_PREDICATES
000000028e2b83a8 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_RELATIONAL_JOIN_OPERATORS
000000028e2b8400 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_REVOKE
000000028e2b8480 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_ROW_VALUE_CONSTRUCTOR
000000028e2b84a8 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_STRING_FUNCTIONS
000000028e2b84f0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_VALUE_EXPRESSIONS
000000028e2b81f0 (__DATA_CONST,__const) non-external __mask_SQL_SQL_CONFORMANCE
000000028e2b8518 (__DATA_CONST,__const) non-external __mask_SQL_STANDARD_CLI_CONFORMANCE
000000028e2b7a30 (__DATA_CONST,__const) non-external __mask_SQL_STATIC_SENSITIVITY
