00000002272ee348 (__TEXT,__text) non-external +[CBOR cborFalse]
00000002272f25dc (__TEXT,__text) non-external -[COSEKey operations]
00000002272f25ec (__TEXT,__text) non-external -[COSEKey symmetricKey]
00000002272f25c4 (__TEXT,__text) non-external -[COSEKey type]
00000002272f0d40 (__TEXT,__text) non-external -[COSE_Mac0 .cxx_destruct]
00000002272f0c8c (__TEXT,__text) non-external -[COSE_Mac0 description]
00000002272f0aac (__TEXT,__text) non-external -[COSE_Mac0 generateMessageForMACWithApplicationProtectedAttributes:]
00000002272f0768 (__TEXT,__text) non-external -[COSE_Mac0 initWithCBOR:]
00000002272f0980 (__TEXT,__text) non-external -[COSE_Mac0 initWithProtectedHeaders:unprotectedHeaders:payload:tag:]
00000002272f0d30 (__TEXT,__text) non-external -[COSE_Mac0 mac]
00000002272f0684 (__TEXT,__text) non-external -[COSE_Sign1 description]
00000002272efcac (__TEXT,__text) non-external -[COSE_Sign1 initWithCBOR:]
00000002272efb74 (__TEXT,__text) non-external -[COSE_Sign1 initWithProtectedHeaders:unprotectedHeaders:payload:signature:includeCBORTag:]
00000002272f05d0 (__TEXT,__text) non-external -[COSE_Sign1 signature]
00000002272efe94 (__TEXT,__text) non-external -[COSE_Sign1 x509bag]
00000002272f008c (__TEXT,__text) non-external -[COSE_Sign1 x509chain]
00000002272f0344 (__TEXT,__text) non-external -[COSE_Sign1 x509hashAlgorithmIdentifier]
00000002272f04a8 (__TEXT,__text) non-external -[COSE_Sign1 x509hashValue]
00000002272f02a0 (__TEXT,__text) non-external -[COSE_Sign1 x509uri]
00000002272f71fc (__TEXT,__gcc_except_tab) non-external GCC_except_table9
00000002272f4fa0 (__TEXT,__const) external _CBORLibraryVersionNumber
00000002272f4f70 (__TEXT,__const) external _CBORLibraryVersionString
00000002272f4fc8 (__TEXT,__const) non-external _COMPRESSED_EC2_Y_ONE
00000002272f4fc9 (__TEXT,__const) non-external _COMPRESSED_EC2_Y_ZERO
00000002757e8d10 (__DATA,__data) external _COSEHeaderX509Bag
00000002757e8d18 (__DATA,__data) external _COSEHeaderX509Chain
00000002757e8d28 (__DATA,__data) external _COSEHeaderX509Hash
00000002757e8d30 (__DATA,__data) external _COSEHeaderX509HashSender
00000002757e8d38 (__DATA,__data) external _COSEHeaderX509Uri
00000002757e8d40 (__DATA,__data) external _COSEHeaderX509UriSender
00000002757e8d20 (__DATA,__data) external _COSEHeaderx509ChainSender
00000002785c1890 (__AUTH,__objc_data) external _OBJC_CLASS_$_CBOR
00000002785c18e0 (__AUTH,__objc_data) external _OBJC_CLASS_$_COSE
00000002785c19d0 (__AUTH,__objc_data) external _OBJC_CLASS_$_COSEKey
00000002785c1980 (__AUTH,__objc_data) external _OBJC_CLASS_$_COSE_Mac0
00000002785c1930 (__AUTH,__objc_data) external _OBJC_CLASS_$_COSE_Sign1
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantIntegerNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDateFormatter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSLocale (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNull (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSTimeZone (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$__TtCs12_SwiftObject (from libswiftCore)
00000002757e87f0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._cachedHash
00000002757e87f4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._orderedKeys
00000002757e87e4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._tag
00000002757e87e0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._type
00000002757e87e8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._value
00000002757e87ec (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._valueSize
00000002757e8804 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._algorithmIdentifier
00000002757e87f8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._cborObj
00000002757e880c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._contentType
00000002757e8808 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._criticalHeaderParameters
00000002757e8814 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._initializationVector
00000002757e8810 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._keyIdentifier
00000002757e8818 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._partialInitializationVector
00000002757e8800 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._protectedHeadererDictionary
00000002757e87fc (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._type
00000002757e8838 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._algorithm
00000002757e8844 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._baseInitializationVector
00000002757e8820 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._cborObj
00000002757e8824 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._curveID
00000002757e883c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._identifier
00000002757e8840 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._operations
00000002757e8830 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._paramD
00000002757e8828 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._paramX
00000002757e882c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._paramY
00000002757e8848 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._symmetricKey
00000002757e8834 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._type
00000002757e881c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE_Mac0._mac
00000002785c18b8 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CBOR
00000002785c1908 (__AUTH,__objc_data) external _OBJC_METACLASS_$_COSE
00000002785c19f8 (__AUTH,__objc_data) external _OBJC_METACLASS_$_COSEKey
00000002785c19a8 (__AUTH,__objc_data) external _OBJC_METACLASS_$_COSE_Mac0
00000002785c1958 (__AUTH,__objc_data) external _OBJC_METACLASS_$_COSE_Sign1
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
00000002785c1c00 (__AUTH,__data) non-external (was a private external) _OBJC_METACLASS_$__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
                 (undefined) external _OBJC_METACLASS_$__TtCs12_SwiftObject (from libswiftCore)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
0000000279993f08 (__AUTH_CONST,__objc_const) non-external __DATA__TtC11CBORLibrary11CBORDecoder
00000002799941a8 (__AUTH_CONST,__objc_const) non-external __DATA__TtC11CBORLibrary11CBOREncoder
00000002799942a0 (__AUTH_CONST,__objc_const) non-external __DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623012_CBOREncoder
00000002785c1768 (__AUTH,__objc_data) non-external __DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
0000000279994378 (__AUTH_CONST,__objc_const) non-external __DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623021_CBORReferenceEncoder
0000000279994000 (__AUTH_CONST,__objc_const) non-external __DATA__TtC11CBORLibraryP33_9AD5FE8BA51478D9E31399B9411E4CF612_CBORDecoder
00000002272f3680 (__TEXT,__objc_methlist) non-external __INSTANCE_METHODS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
0000000279993ee0 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC11CBORLibrary11CBORDecoder
0000000279994140 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC11CBORLibrary11CBOREncoder
0000000279994238 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623012_CBOREncoder
0000000279994090 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
0000000279994330 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623021_CBORReferenceEncoder
0000000279993f98 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_9AD5FE8BA51478D9E31399B9411E4CF612_CBORDecoder
0000000279993e98 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibrary11CBORDecoder
00000002799940f8 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibrary11CBOREncoder
00000002799941f0 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623012_CBOREncoder
0000000279994048 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
00000002799942e8 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623021_CBORReferenceEncoder
0000000279993f50 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_9AD5FE8BA51478D9E31399B9411E4CF612_CBORDecoder
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00000002799943c0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSData_$_CBOR
00000002272f36a0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CBOR(Decoder|Decoder_Private|COSE|COSEKey)
00000002272f3808 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_NSData(CBOR|COSE|COSEKey)
00000002272f3840 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CBOR(Decoder|Decoder_Private|COSE|COSEKey)
00000002272f39f0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSE
00000002272f3ab8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSEKey
00000002272f3ba8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSE_Mac0
00000002272f3bf8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSE_Sign1
0000000279994760 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CBOR
0000000279994a10 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_COSE
0000000279994e58 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_COSEKey
0000000279994d88 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_COSE_Mac0
0000000279994828 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CBOR
0000000279994b38 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSE
0000000279994fc0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSEKey
0000000279994db0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSE_Mac0
0000000279994c90 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSE_Sign1
00000002799945f0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NSObject
00000002799946d8 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSCopying
0000000279994400 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSObject
00000002799945d0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_NSObject
00000002799946f8 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSCopying
0000000279994638 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSObject
0000000279994700 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CBOR
0000000279994980 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CBOR
0000000279994c00 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSE
0000000279995098 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSEKey
0000000279994dc8 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSE_Mac0
0000000279994cf8 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSE_Sign1
0000000271bff1d8 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSCopying
0000000271bff1d0 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSObject
0000000279994718 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CBOR
00000002799949c8 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSE
0000000279994e10 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSEKey
0000000279994d40 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSE_Mac0
0000000279994c48 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSE_Sign1
00000002757e8cb0 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSCopying
00000002757e8c50 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSObject
0000000271bff778 (__DATA_CONST,__objc_protorefs) non-external (was a private external) __OBJC_PROTOCOL_REFERENCE_$_NSObject
                 (undefined) external __Unwind_Resume (from libSystem)
00000002272ef714 (__TEXT,__text) non-external ___30-[COSE _searchForHeaderLabel:]_block_invoke
00000002272ef8d8 (__TEXT,__text) non-external ___30-[COSE _searchForHeaderLabel:]_block_invoke.62
00000002272e8f4c (__TEXT,__text) non-external ___51+[CBOR(Encoder) encodeMajorType5:encodingKeyOrder:]_block_invoke
00000002272ef6fc (__TEXT,__text) non-external ___Block_byref_object_copy_
00000002272ef70c (__TEXT,__text) non-external ___Block_byref_object_dispose_
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
                 (undefined) external ___NSDictionary0__struct (from CoreFoundation)
                 (undefined) external ___assert_rtn (from libSystem)
0000000271bff150 (__DATA_CONST,__const) non-external ___block_descriptor_40_e23_q24?0"CBOR"8"CBOR"16l
0000000279993628 (__AUTH_CONST,__const) non-external ___block_descriptor_56_e8_32s40r48r_e27_v32?0"CBOR"8"CBOR"16^B24l
                 (undefined) external ___chkstk_darwin (from libSystem)
00000002272ef834 (__TEXT,__text) non-external ___copy_helper_block_e8_32s40r48r
00000002272ef88c (__TEXT,__text) non-external ___destroy_helper_block_e8_32s40r48r
                 (undefined) external ___objc_personality_v0 (from libobjc)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___strlcpy_chk (from libSystem)
00000002272d2764 (__TEXT,__text) non-external ___swift_allocate_boxed_opaque_existential_1Tm
00000002272d2764 (__TEXT,__text) non-external ___swift_allocate_boxed_opaque_existential_1Tm
00000002272d28a0 (__TEXT,__text) non-external (was a private external) ___swift_allocate_value_buffer
00000002272d26cc (__TEXT,__text) non-external (was a private external) ___swift_deallocate_boxed_opaque_existential_1
00000002272d2850 (__TEXT,__text) non-external (was a private external) ___swift_destroy_boxed_opaque_existential_1
00000002272d2850 (__TEXT,__text) non-external ___swift_destroy_boxed_opaque_existential_1Tm
00000002272d2850 (__TEXT,__text) non-external ___swift_destroy_boxed_opaque_existential_1Tm
00000002272c6bfc (__TEXT,__text) non-external (was a private external) ___swift_instantiateConcreteTypeFromMangledName
00000002272d3ac4 (__TEXT,__text) non-external (was a private external) ___swift_instantiateConcreteTypeFromMangledNameAbstract
00000002272d3b0c (__TEXT,__text) non-external (was a private external) ___swift_instantiateGenericMetadata
00000002272e8a20 (__TEXT,__text) non-external (was a private external) ___swift_memcpy16_8
00000002272e5868 (__TEXT,__text) non-external (was a private external) ___swift_memcpy17_8
00000002272db724 (__TEXT,__text) non-external (was a private external) ___swift_memcpy1_1
00000002272d2adc (__TEXT,__text) non-external (was a private external) ___swift_memcpy24_8
00000002272dbf4c (__TEXT,__text) non-external (was a private external) ___swift_memcpy25_8
00000002272d2d10 (__TEXT,__text) non-external (was a private external) ___swift_memcpy32_8
00000002272de614 (__TEXT,__text) non-external (was a private external) ___swift_memcpy8_8
00000002272d39d8 (__TEXT,__text) non-external (was a private external) ___swift_mutable_project_boxed_opaque_existential_1
00000002272db730 (__TEXT,__text) non-external (was a private external) ___swift_noop_void_return
00000002272d2720 (__TEXT,__text) non-external (was a private external) ___swift_project_boxed_opaque_existential_1
00000002272c6fe0 (__TEXT,__text) non-external (was a private external) ___swift_project_value_buffer
00000002272f4dd0 (__TEXT,__const) non-external (was a private external) ___swift_reflection_version
00000002272f4f38 (__TEXT,__const) non-external ___unnamed_2
00000002272f4a78 (__TEXT,__const) non-external ___unnamed_23
00000002272f3e88 (__TEXT,__const) non-external ___unnamed_5
00000002272ed23c (__TEXT,__text) non-external __getRFC3339DateFormatter
                 (undefined) external __objc_empty_cache (from libobjc)
                 (undefined) external __os_log_default (from libSystem)
                 (undefined) external __os_log_fault_impl (from libSystem)
                 (undefined) external __swiftEmptyArrayStorage (from libswiftCore)
                 (undefined) external __swiftEmptyDictionarySingleton (from libswiftCore)
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftCoreFoundation (from libswiftCoreFoundation)
0000000271bff0f8 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftCoreFoundation_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftDarwin (from libswiftDarwin)
