00007ffa19b226eb (__TEXT,__text) non-external +[NFPromise new]
00007ffa19b26756 (__TEXT,__text) non-external -[NFMultiDelegate initWithDelegate:delegateProtocol:]
00007ffa19b2676b (__TEXT,__text) non-external -[NFMultiDelegate initWithDelegate:delegateProtocol:options:]
00007ffa19b270c7 (__TEXT,__text) non-external -[NFMultiDelegate lock]
00007ffa19b26cdd (__TEXT,__text) non-external -[NFMultiDelegate methodSignatureForSelector:]
00007ffa19b26909 (__TEXT,__text) non-external -[NFMultiDelegate removeDelegate:]
00007ffa19b269a4 (__TEXT,__text) non-external -[NFMultiDelegate replaceDelegate:withDelegate:]
00007ffa19b26b27 (__TEXT,__text) non-external -[NFMultiDelegate respondsToSelector:]
00007ffa19b270d1 (__TEXT,__text) non-external -[NFMultiDelegate setLock:]
00007ffa19b252c2 (__TEXT,__text) non-external -[NFMutexLock dealloc]
00007ffa19b2522e (__TEXT,__text) non-external -[NFMutexLock initWithOptions:]
00007ffa19b2521a (__TEXT,__text) non-external -[NFMutexLock init]
00007ffa19b2534b (__TEXT,__text) non-external -[NFMutexLock lock]
00007ffa19b252fc (__TEXT,__text) non-external -[NFMutexLock performWithLockSync:]
00007ffa19b25359 (__TEXT,__text) non-external -[NFMutexLock unlock]
00007ffa19b1f446 (__TEXT,__text) non-external -[NFPendingPromise .cxx_destruct]
00007ffa19b1f2b4 (__TEXT,__text) non-external -[NFPendingPromise init]
00007ffa19b1f3f9 (__TEXT,__text) non-external -[NFPendingPromise promise]
00007ffa19b1f42d (__TEXT,__text) non-external -[NFPendingPromise reject]
00007ffa19b1f414 (__TEXT,__text) non-external -[NFPendingPromise resolve]
00007ffa19b1f403 (__TEXT,__text) non-external -[NFPendingPromise setPromise:]
00007ffa19b1f437 (__TEXT,__text) non-external -[NFPendingPromise setReject:]
00007ffa19b1f41e (__TEXT,__text) non-external -[NFPendingPromise setResolve:]
00007ffa19b238e2 (__TEXT,__text) non-external -[NFPromise .cxx_destruct]
00007ffa19b22801 (__TEXT,__text) non-external -[NFPromise always:]
00007ffa19b22e1f (__TEXT,__text) non-external -[NFPromise alwaysOn:always:]
00007ffa19b22789 (__TEXT,__text) non-external -[NFPromise dealloc]
00007ffa19b23798 (__TEXT,__text) non-external -[NFPromise delayOn]
00007ffa19b236c6 (__TEXT,__text) non-external -[NFPromise delay]
00007ffa19b227e5 (__TEXT,__text) non-external -[NFPromise error:]
00007ffa19b22d85 (__TEXT,__text) non-external -[NFPromise errorOn:error:]
00007ffa19b23248 (__TEXT,__text) non-external -[NFPromise errorOn]
00007ffa19b2318b (__TEXT,__text) non-external -[NFPromise error]
00007ffa19b22707 (__TEXT,__text) non-external -[NFPromise initWithError:]
00007ffa19b22479 (__TEXT,__text) non-external -[NFPromise initWithResolver:]
00007ffa19b22669 (__TEXT,__text) non-external -[NFPromise initWithValue:]
00007ffa19b2230e (__TEXT,__text) non-external -[NFPromise init]
00007ffa19b2307f (__TEXT,__text) non-external -[NFPromise pipeOn]
00007ffa19b22f7d (__TEXT,__text) non-external -[NFPromise pipe]
00007ffa19b234ed (__TEXT,__text) non-external -[NFPromise resolveOn]
00007ffa19b232b2 (__TEXT,__text) non-external -[NFPromise resolve]
00007ffa19b238c7 (__TEXT,__text) non-external -[NFPromise seal]
00007ffa19b238d1 (__TEXT,__text) non-external -[NFPromise setSeal:]
00007ffa19b227c9 (__TEXT,__text) non-external -[NFPromise then:]
00007ffa19b2281d (__TEXT,__text) non-external -[NFPromise thenOn:then:]
00007ffa19b22f13 (__TEXT,__text) non-external -[NFPromise thenOn]
00007ffa19b22eac (__TEXT,__text) non-external -[NFPromise then]
00007ffa19b257ac (__TEXT,__text) non-external -[NFPromise(Timeout) timeoutAfter:]
00007ffa19b2580b (__TEXT,__text) non-external -[NFPromise(Timeout) timeoutAfter:on:]
00007ffa19b24c58 (__TEXT,__text) non-external -[NFPromiseSeal .cxx_destruct]
00007ffa19b2460f (__TEXT,__text) non-external -[NFPromiseSeal alwaysOn:always:]
00007ffa19b24273 (__TEXT,__text) non-external -[NFPromiseSeal dealloc]
00007ffa19b27d11 (__TEXT,__text) non-external -[NFPromiseSeal dealloc].cold.1
00007ffa19b27df2 (__TEXT,__text) non-external -[NFPromiseSeal dealloc].cold.2
00007ffa19b24c04 (__TEXT,__text) non-external -[NFPromiseSeal error]
00007ffa19b24c33 (__TEXT,__text) non-external -[NFPromiseSeal handlers]
00007ffa19b24200 (__TEXT,__text) non-external -[NFPromiseSeal initWithError:]
00007ffa19b2418d (__TEXT,__text) non-external -[NFPromiseSeal initWithValue:]
00007ffa19b24110 (__TEXT,__text) non-external -[NFPromiseSeal init]
00007ffa19b24c4e (__TEXT,__text) non-external -[NFPromiseSeal lock]
00007ffa19b24736 (__TEXT,__text) non-external -[NFPromiseSeal registerHandler:]
00007ffa19b24386 (__TEXT,__text) non-external -[NFPromiseSeal reject:]
00007ffa19b2436f (__TEXT,__text) non-external -[NFPromiseSeal resolve:]
00007ffa19b243a3 (__TEXT,__text) non-external -[NFPromiseSeal resolveOn:reject:resolve:]
00007ffa19b2489e (__TEXT,__text) non-external -[NFPromiseSeal seal:error:resolution:]
00007ffa19b27ed3 (__TEXT,__text) non-external -[NFPromiseSeal seal:error:resolution:].cold.1
00007ffa19b24c0e (__TEXT,__text) non-external -[NFPromiseSeal setError:]
00007ffa19b24c3d (__TEXT,__text) non-external -[NFPromiseSeal setHandlers:]
00007ffa19b24c29 (__TEXT,__text) non-external -[NFPromiseSeal setState:]
00007ffa19b24bf3 (__TEXT,__text) non-external -[NFPromiseSeal setValue:]
00007ffa19b24c1f (__TEXT,__text) non-external -[NFPromiseSeal state]
00007ffa19b24be9 (__TEXT,__text) non-external -[NFPromiseSeal value]
00007ffa19b251e7 (__TEXT,__text) non-external -[NFReachability .cxx_destruct]
00007ffa19b25032 (__TEXT,__text) non-external -[NFReachability _statusFromNetworkPath:]
00007ffa19b24f39 (__TEXT,__text) non-external -[NFReachability _updateCurrentNetworkPath:]
00007ffa19b251cc (__TEXT,__text) non-external -[NFReachability currentNetworkPath]
00007ffa19b25182 (__TEXT,__text) non-external -[NFReachability currentReachabilityStatus]
00007ffa19b24eff (__TEXT,__text) non-external -[NFReachability dealloc]
00007ffa19b24d54 (__TEXT,__text) non-external -[NFReachability init]
00007ffa19b251b1 (__TEXT,__text) non-external -[NFReachability networkPathMonitor]
00007ffa19b25196 (__TEXT,__text) non-external -[NFReachability observationQueue]
00007ffa19b251d6 (__TEXT,__text) non-external -[NFReachability setCurrentNetworkPath:]
00007ffa19b2518c (__TEXT,__text) non-external -[NFReachability setCurrentReachabilityStatus:]
00007ffa19b251bb (__TEXT,__text) non-external -[NFReachability setNetworkPathMonitor:]
00007ffa19b251a0 (__TEXT,__text) non-external -[NFReachability setObservationQueue:]
00007ffa19b21c87 (__TEXT,__text) non-external -[NFStateMachine .cxx_destruct]
00007ffa19b20d22 (__TEXT,__text) non-external -[NFStateMachine activateIfNeeded]
00007ffa19b20ca4 (__TEXT,__text) non-external -[NFStateMachine activate]
00007ffa19b20f69 (__TEXT,__text) non-external -[NFStateMachine addEvent:]
00007ffa19b27b1f (__TEXT,__text) non-external -[NFStateMachine addEvent:].cold.1
00007ffa19b20e3c (__TEXT,__text) non-external -[NFStateMachine addState:]
00007ffa19b27a3e (__TEXT,__text) non-external -[NFStateMachine addState:].cold.1
00007ffa19b20dee (__TEXT,__text) non-external -[NFStateMachine deactivateIfNeeded]
00007ffa19b20d70 (__TEXT,__text) non-external -[NFStateMachine deactivate]
00007ffa19b20bb6 (__TEXT,__text) non-external -[NFStateMachine debugDescription]
00007ffa19b20b18 (__TEXT,__text) non-external -[NFStateMachine description]
00007ffa19b21c3d (__TEXT,__text) non-external -[NFStateMachine events]
00007ffa19b21096 (__TEXT,__text) non-external -[NFStateMachine fireEventWithName:withContext:]
00007ffa19b209cd (__TEXT,__text) non-external -[NFStateMachine initWithState:withOwner:]
00007ffa19b21c58 (__TEXT,__text) non-external -[NFStateMachine lock]
00007ffa19b21bfb (__TEXT,__text) non-external -[NFStateMachine owner]
00007ffa19b21c47 (__TEXT,__text) non-external -[NFStateMachine setEvents:]
00007ffa19b21c62 (__TEXT,__text) non-external -[NFStateMachine setLock:]
00007ffa19b21c11 (__TEXT,__text) non-external -[NFStateMachine setOwner:]
00007ffa19b21bea (__TEXT,__text) non-external -[NFStateMachine setState:]
00007ffa19b21c2c (__TEXT,__text) non-external -[NFStateMachine setStates:]
00007ffa19b21bd6 (__TEXT,__text) non-external -[NFStateMachine setStatus:]
00007ffa19b21c7d (__TEXT,__text) non-external -[NFStateMachine setStatusToken:]
00007ffa19b21be0 (__TEXT,__text) non-external -[NFStateMachine state]
00007ffa19b21c22 (__TEXT,__text) non-external -[NFStateMachine states]
00007ffa19b21c73 (__TEXT,__text) non-external -[NFStateMachine statusToken]
00007ffa19b21bcc (__TEXT,__text) non-external -[NFStateMachine status]
00007ffa19b2576e (__TEXT,__text) non-external -[NFStateMachineEvent .cxx_destruct]
00007ffa19b25540 (__TEXT,__text) non-external -[NFStateMachineEvent description]
00007ffa19b2573a (__TEXT,__text) non-external -[NFStateMachineEvent destinationState]
00007ffa19b25755 (__TEXT,__text) non-external -[NFStateMachineEvent fireBlock]
00007ffa19b25629 (__TEXT,__text) non-external -[NFStateMachineEvent fired:withOwner:]
00007ffa19b2541f (__TEXT,__text) non-external -[NFStateMachineEvent hash]
00007ffa19b25367 (__TEXT,__text) non-external -[NFStateMachineEvent initWithName:transitionFromStates:toState:]
00007ffa19b25463 (__TEXT,__text) non-external -[NFStateMachineEvent isEqual:]
00007ffa19b25706 (__TEXT,__text) non-external -[NFStateMachineEvent name]
00007ffa19b25609 (__TEXT,__text) non-external -[NFStateMachineEvent onFire:]
00007ffa19b25744 (__TEXT,__text) non-external -[NFStateMachineEvent setDestinationState:]
00007ffa19b2575f (__TEXT,__text) non-external -[NFStateMachineEvent setFireBlock:]
00007ffa19b25710 (__TEXT,__text) non-external -[NFStateMachineEvent setName:]
00007ffa19b25729 (__TEXT,__text) non-external -[NFStateMachineEvent setStates:]
00007ffa19b2571f (__TEXT,__text) non-external -[NFStateMachineEvent states]
00007ffa19b26345 (__TEXT,__text) non-external -[NFStateMachineState .cxx_destruct]
00007ffa19b262c8 (__TEXT,__text) non-external -[NFStateMachineState canTryBlock]
00007ffa19b2619e (__TEXT,__text) non-external -[NFStateMachineState description]
00007ffa19b2632c (__TEXT,__text) non-external -[NFStateMachineState didEnterBlock]
00007ffa19b26313 (__TEXT,__text) non-external -[NFStateMachineState didExitBlock]
00007ffa19b2607d (__TEXT,__text) non-external -[NFStateMachineState hash]
00007ffa19b26012 (__TEXT,__text) non-external -[NFStateMachineState initWithName:]
00007ffa19b260c1 (__TEXT,__text) non-external -[NFStateMachineState isEqual:]
00007ffa19b262af (__TEXT,__text) non-external -[NFStateMachineState name]
00007ffa19b2620f (__TEXT,__text) non-external -[NFStateMachineState onCanTry:]
00007ffa19b2628f (__TEXT,__text) non-external -[NFStateMachineState onDidEnter:]
00007ffa19b2624f (__TEXT,__text) non-external -[NFStateMachineState onDidExit:]
00007ffa19b2626f (__TEXT,__text) non-external -[NFStateMachineState onWillEnter:]
00007ffa19b2622f (__TEXT,__text) non-external -[NFStateMachineState onWillExit:]
00007ffa19b262d2 (__TEXT,__text) non-external -[NFStateMachineState setCanTryBlock:]
00007ffa19b26336 (__TEXT,__text) non-external -[NFStateMachineState setDidEnterBlock:]
00007ffa19b2631d (__TEXT,__text) non-external -[NFStateMachineState setDidExitBlock:]
00007ffa19b262b9 (__TEXT,__text) non-external -[NFStateMachineState setName:]
00007ffa19b26304 (__TEXT,__text) non-external -[NFStateMachineState setWillEnterBlock:]
00007ffa19b262eb (__TEXT,__text) non-external -[NFStateMachineState setWillExitBlock:]
00007ffa19b262fa (__TEXT,__text) non-external -[NFStateMachineState willEnterBlock]
00007ffa19b262e1 (__TEXT,__text) non-external -[NFStateMachineState willExitBlock]
00007ffa19b26399 (__TEXT,__text) non-external -[NFStateMachineState(Private) canTry:withOwner:]
00007ffa19b26679 (__TEXT,__text) non-external -[NFStateMachineState(Private) didEnter:withOwner:]
00007ffa19b2659c (__TEXT,__text) non-external -[NFStateMachineState(Private) didExit:withOwner:]
00007ffa19b264f4 (__TEXT,__text) non-external -[NFStateMachineState(Private) willEnter:withOwner:]
00007ffa19b2644c (__TEXT,__text) non-external -[NFStateMachineState(Private) willExit:withOwner:]
00007ffa19b1f26b (__TEXT,__text) non-external -[NFStateMachineTransition .cxx_destruct]
00007ffa19b1f250 (__TEXT,__text) non-external -[NFStateMachineTransition context]
00007ffa19b1f0fb (__TEXT,__text) non-external -[NFStateMachineTransition description]
00007ffa19b1f1ff (__TEXT,__text) non-external -[NFStateMachineTransition event]
00007ffa19b1f21a (__TEXT,__text) non-external -[NFStateMachineTransition fromState]
00007ffa19b1eff7 (__TEXT,__text) non-external -[NFStateMachineTransition initWithStateMachine:event:fromState:toState:context:]
00007ffa19b1f25a (__TEXT,__text) non-external -[NFStateMachineTransition setContext:]
00007ffa19b1f209 (__TEXT,__text) non-external -[NFStateMachineTransition setEvent:]
00007ffa19b1f224 (__TEXT,__text) non-external -[NFStateMachineTransition setFromState:]
00007ffa19b1f1ee (__TEXT,__text) non-external -[NFStateMachineTransition setStateMachine:]
00007ffa19b1f23f (__TEXT,__text) non-external -[NFStateMachineTransition setToState:]
00007ffa19b1f1e4 (__TEXT,__text) non-external -[NFStateMachineTransition stateMachine]
00007ffa19b1f235 (__TEXT,__text) non-external -[NFStateMachineTransition toState]
00007ffa19b1efdb (__TEXT,__text) non-external -[NFUnfairLock assertLocked]
00007ffa19b1efe9 (__TEXT,__text) non-external -[NFUnfairLock assertNotLocked]
00007ffa19b1ef07 (__TEXT,__text) non-external -[NFUnfairLock initWithOptions:]
00007ffa19b1ef50 (__TEXT,__text) non-external -[NFUnfairLock init]
00007ffa19b1efbc (__TEXT,__text) non-external -[NFUnfairLock lock]
00007ffa19b1ef64 (__TEXT,__text) non-external -[NFUnfairLock performWithLockSync:]
00007ffa19b1efcd (__TEXT,__text) non-external -[NFUnfairLock unlock]
00007ffa19b238fd (__TEXT,__text) non-external -[NFVoid copyWithZone:]
00007ffa19b20955 (__TEXT,__text) non-external -[NSError(NFStateMachine) fc_isStateMachineError:]
00007ffa19b220cf (__TEXT,__text) non-external -[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:]
00007ffa19b23e9a (__TEXT,__text) non-external -[NSString(NFAdditions) nf_sha1]
00007ffa19b23f93 (__TEXT,__text) non-external -[NSString(NFAdditions) nf_stringByReversingString]
00007ffa19b21cce (__TEXT,__text) non-external -[NSUserDefaults(NFAdditions) nf_migrateObjectForKey:toKey:]
00007ffa19b272d1 (__TEXT,__text) non-external -[NSValue(NFAdditions) nf_CGPointValue]
00007ffa19b2723f (__TEXT,__text) non-external -[NSValue(NFAdditions) nf_CGRectValue]
00007ffa19b29c04 (__TEXT,__gcc_except_tab) non-external GCC_except_table19
00007ffa19b29c60 (__TEXT,__gcc_except_tab) non-external GCC_except_table2
00007ffa19b29c7c (__TEXT,__gcc_except_tab) non-external GCC_except_table2
                 (undefined) external _BOMCopierCopyWithOptions (from Bom)
                 (undefined) external _BOMCopierFree (from Bom)
                 (undefined) external _BOMCopierNew (from Bom)
                 (undefined) external _BOMCopierSetCopyFileFinishedHandler (from Bom)
                 (undefined) external _BOMCopierSetUserData (from Bom)
                 (undefined) external _BOMCopierUserData (from Bom)
                 (undefined) external _CC_SHA1 (from libSystem)
                 (undefined) external _CFPreferencesGetAppBooleanValue (from CoreFoundation)
                 (undefined) external _MGCopyAnswer (from libMobileGestalt)
00007ffa19b206e8 (__TEXT,__text) non-external _NFArchiverCopyFileFinishedHandler
00007ffa19b2749d (__TEXT,__text) external _NFDeviceHasExtendedColorDisplay
00007ffa19b27fe4 (__TEXT,__text) non-external _NFDeviceHasExtendedColorDisplay.cold.1
00007ffa42f51de8 (__DATA_DIRTY,__bss) non-external _NFDeviceHasExtendedColorDisplay.hasExtendedColorDisplay
00007ffa42f51de0 (__DATA_DIRTY,__bss) non-external _NFDeviceHasExtendedColorDisplay.onceToken
00007ffa19b2734a (__TEXT,__text) external _NFDeviceIsA7
00007ffa19b27352 (__TEXT,__text) external _NFDeviceIsA8
00007ffa19b27434 (__TEXT,__text) external _NFDeviceModelString
00007ffa19b27419 (__TEXT,__text) external _NFDeviceOSVersion
00007ffa19b2735a (__TEXT,__text) external _NFDevicePlatform
00007ffa19b27fcc (__TEXT,__text) non-external _NFDevicePlatform.cold.1
00007ffa42f51dd8 (__DATA_DIRTY,__bss) non-external _NFDevicePlatform.onceToken
00007ffa42f51dd0 (__DATA_DIRTY,__bss) non-external _NFDevicePlatform.s_platformString
00007ffa19b2740c (__TEXT,__text) external _NFGeneralDeviceString
00007ffa19b1ee70 (__TEXT,__text) external _NFInternalBuild
00007ffa19b274c8 (__TEXT,__text) non-external _NFInternalBuild.cold.1
00007ffa42f51df8 (__DATA_DIRTY,__bss) non-external _NFInternalBuild.internalBuild
00007ffa42f51df0 (__DATA_DIRTY,__bss) non-external _NFInternalBuild.onceToken
00007ffa19b24c96 (__TEXT,__text) external _NFLockSync
00007ffa19b2405d (__TEXT,__text) external _NFPromiseInvokeOnQueue
00007ffa19b1eea6 (__TEXT,__text) external _NFSeedBuild
00007ffa423558e8 (__DATA_CONST,__const) external _NFStateMachineErrorDomain
00007ffa19b1eeae (__TEXT,__text) external _NFStoreDemoMode
00007ffa19b274e0 (__TEXT,__text) non-external _NFStoreDemoMode.cold.1
00007ffa42f51dc8 (__DATA_DIRTY,__bss) non-external _NFStoreDemoMode.onceToken
00007ffa42f51df9 (__DATA_DIRTY,__bss) non-external _NFStoreDemoMode.storeDemoMode
00007ffa19b2744f (__TEXT,__text) external _NFSystemName
                 (undefined) external _NSGetSizeAndAlignment (from CoreFoundation)
                 (undefined) external _NSInternalInconsistencyException (from CoreFoundation)
                 (undefined) external _NSKeyedArchiveRootObjectKey (from Foundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
00007ffa19b28f50 (__TEXT,__const) external _NewsFoundationVersionNumber
00007ffa19b28f10 (__TEXT,__const) external _NewsFoundationVersionString
00007ffa42f51d20 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFArchiver
00007ffa42f51c80 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFEventManager
00007ffa42f51c58 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFEventTrigger
00007ffa42f51c30 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFLazy
00007ffa42f51d48 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFMultiDelegate
00007ffa42f51c08 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFMutexLock
00007ffa42f51ca8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFPendingPromise
00007ffa42f51be0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFPromise
00007ffa42f51bb8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFPromiseSeal
00007ffa42f51b90 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFReachability
00007ffa42f51b68 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFStateMachine
00007ffa42f51b40 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFStateMachineEvent
00007ffa42f51b18 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFStateMachineState
00007ffa42f51af0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFStateMachineTransition
00007ffa42f51ac8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFUnfairLock
00007ffa42f51aa0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFVoid
                 (undefined) external _OBJC_CLASS_$_NSBlock (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSException (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSFileManager (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSHashTable (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSKeyedUnarchiver (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNotificationCenter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSThread (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUserDefaults (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSValue (from Foundation)
                 (undefined) external _OBJC_EHTYPE_$_NSException (from CoreFoundation)
00007ffa43bfdf18 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventManager._events
00007ffa43bfdf20 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventManager._triggers
00007ffa43bfdf48 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._block
00007ffa43bfdf40 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._events
00007ffa43bfdf30 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._fireOnAny
