00000001830aa710 (__AUTH_CONST,__const) external _AwdlAdapter_Class
0000000180962540 (__TEXT,__text) non-external __ZL19ChanSpecAdapter_NewP11OSMetaClass
00000001809621e0 (__TEXT,__text) non-external __ZL19EventAdapterNAN_NewP11OSMetaClass
0000000180962120 (__TEXT,__text) non-external __ZL19EventAdapterSTA_NewP11OSMetaClass
0000000180962300 (__TEXT,__text) non-external __ZL19EventHandlerSTA_NewP11OSMetaClass
0000000180962150 (__TEXT,__text) non-external __ZL20CommanderAdapter_NewP11OSMetaClass
0000000180962240 (__TEXT,__text) non-external __ZL20EventAdapterAWDL_NewP11OSMetaClass
00000001809625a0 (__TEXT,__text) non-external __ZL21ConnectionAdapter_NewP11OSMetaClass
00000001809622a0 (__TEXT,__text) non-external __ZL21RegulatoryAdapter_NewP11OSMetaClass
0000000180962210 (__TEXT,__text) non-external __ZL21StatisticsAdapter_NewP11OSMetaClass
0000000180962060 (__TEXT,__text) non-external __ZL22RXPktFilterAdapter_NewP11OSMetaClass
00000001809620c0 (__TEXT,__text) non-external __ZL23CommandQueueAdapter_NewP11OSMetaClass
0000000180962390 (__TEXT,__text) non-external __ZL23EventAdapterHotspot_NewP11OSMetaClass
0000000180962600 (__TEXT,__text) non-external __ZL23IO80211PowerAdapter_NewP11OSMetaClass
0000000180964390 (__TEXT,__const) non-external __ZL26OSClassDescription_IPCRing
00000001809644d0 (__TEXT,__const) non-external __ZL27OSClassDescription_CrashLog
00000001809626d0 (__TEXT,__const) non-external __ZL28OSClassDescription_AxAdapter
0000000180962270 (__TEXT,__text) non-external __ZL29IPCBufferMemoryDescriptor_NewP11OSMetaClass
0000000180964110 (__TEXT,__const) non-external __ZL29OSClassDescription_GASAdapter
0000000180963990 (__TEXT,__const) non-external __ZL29OSClassDescription_IPCAdapter
00000001809630d0 (__TEXT,__const) non-external __ZL29OSClassDescription_NanAdapter
0000000180962a90 (__TEXT,__const) non-external __ZL29OSClassDescription_NetAdapter
0000000180962810 (__TEXT,__const) non-external __ZL29OSClassDescription_WnmAdapter
0000000180963d50 (__TEXT,__const) non-external __ZL30OSClassDescription_AwdlAdapter
0000000180964250 (__TEXT,__const) non-external __ZL30OSClassDescription_MgmtAdapter
0000000180962d10 (__TEXT,__const) non-external __ZL30OSClassDescription_RoamAdapter
0000000180964750 (__TEXT,__const) non-external __ZL30OSClassDescription_ScanAdapter
0000000180965150 (__TEXT,__const) non-external __ZL31OSClassDescription_DebugAdapter
0000000180963210 (__TEXT,__const) non-external __ZL31OSClassDescription_EventAdapter
0000000180964d90 (__TEXT,__const) non-external __ZL31OSClassDescription_HWDataPacket
0000000180963fd0 (__TEXT,__const) non-external __ZL32OSClassDescription_BGScanAdapter
0000000180965010 (__TEXT,__const) non-external __ZL32OSClassDescription_LoggerAdapter
0000000180963c10 (__TEXT,__const) non-external __ZL32OSClassDescription_SystemAdapter
0000000180964890 (__TEXT,__const) non-external __ZL33OSClassDescription_HotspotAdapter
0000000180964610 (__TEXT,__const) non-external __ZL33OSClassDescription_NanDataAdapter
0000000180964b10 (__TEXT,__const) non-external __ZL33OSClassDescription_StationAdapter
00000001809649d0 (__TEXT,__const) non-external __ZL34OSClassDescription_ChanSpecAdapter
0000000180963350 (__TEXT,__const) non-external __ZL34OSClassDescription_EventAdapterNAN
0000000180962e50 (__TEXT,__const) non-external __ZL34OSClassDescription_EventAdapterSTA
0000000180963ad0 (__TEXT,__const) non-external __ZL34OSClassDescription_EventHandlerSTA
0000000180962f90 (__TEXT,__const) non-external __ZL35OSClassDescription_CommanderAdapter
00000001809635d0 (__TEXT,__const) non-external __ZL35OSClassDescription_EventAdapterAWDL
0000000180964c50 (__TEXT,__const) non-external __ZL36OSClassDescription_ConnectionAdapter
0000000180963850 (__TEXT,__const) non-external __ZL36OSClassDescription_RegulatoryAdapter
0000000180963490 (__TEXT,__const) non-external __ZL36OSClassDescription_StatisticsAdapter
0000000180962950 (__TEXT,__const) non-external __ZL37OSClassDescription_RXPktFilterAdapter
0000000180962bd0 (__TEXT,__const) non-external __ZL38OSClassDescription_CommandQueueAdapter
0000000180963e90 (__TEXT,__const) non-external __ZL38OSClassDescription_EventAdapterHotspot
0000000180964ed0 (__TEXT,__const) non-external __ZL38OSClassDescription_IO80211PowerAdapter
0000000180963710 (__TEXT,__const) non-external __ZL44OSClassDescription_IPCBufferMemoryDescriptor
                 (undefined) external __ZN15OSMetaClassBase8DispatchE5IORPC (from DriverKit)
0000000180962474 (__TEXT,__text) external __ZN16IPCRingMetaClass3NewEP8OSObject
00000001809624a4 (__TEXT,__text) external __ZN17CrashLogMetaClass3NewEP8OSObject
0000000180962024 (__TEXT,__text) external __ZN18AxAdapterMetaClass3NewEP8OSObject
0000000180962414 (__TEXT,__text) external __ZN19GASAdapterMetaClass3NewEP8OSObject
00000001809622f4 (__TEXT,__text) external __ZN19IPCAdapterMetaClass3NewEP8OSObject
00000001809621a4 (__TEXT,__text) external __ZN19NanAdapterMetaClass3NewEP8OSObject
00000001809620b4 (__TEXT,__text) external __ZN19NetAdapterMetaClass3NewEP8OSObject
0000000180962054 (__TEXT,__text) external __ZN19WnmAdapterMetaClass3NewEP8OSObject
0000000180962384 (__TEXT,__text) external __ZN20AwdlAdapterMetaClass3NewEP8OSObject
0000000180962444 (__TEXT,__text) external __ZN20MgmtAdapterMetaClass3NewEP8OSObject
0000000180962114 (__TEXT,__text) external __ZN20RoamAdapterMetaClass3NewEP8OSObject
0000000180962504 (__TEXT,__text) external __ZN20ScanAdapterMetaClass3NewEP8OSObject
0000000180962684 (__TEXT,__text) external __ZN21DebugAdapterMetaClass3NewEP8OSObject
00000001809621d4 (__TEXT,__text) external __ZN21EventAdapterMetaClass3NewEP8OSObject
00000001809625f4 (__TEXT,__text) external __ZN21HWDataPacketMetaClass3NewEP8OSObject
00000001809623e4 (__TEXT,__text) external __ZN22BGScanAdapterMetaClass3NewEP8OSObject
0000000180962654 (__TEXT,__text) external __ZN22LoggerAdapterMetaClass3NewEP8OSObject
0000000180962354 (__TEXT,__text) external __ZN22SystemAdapterMetaClass3NewEP8OSObject
0000000180962534 (__TEXT,__text) external __ZN23HotspotAdapterMetaClass3NewEP8OSObject
00000001809624d4 (__TEXT,__text) external __ZN23NanDataAdapterMetaClass3NewEP8OSObject
0000000180962594 (__TEXT,__text) external __ZN23StationAdapterMetaClass3NewEP8OSObject
0000000180962564 (__TEXT,__text) external __ZN24ChanSpecAdapterMetaClass3NewEP8OSObject
0000000180962204 (__TEXT,__text) external __ZN24EventAdapterNANMetaClass3NewEP8OSObject
0000000180962144 (__TEXT,__text) external __ZN24EventAdapterSTAMetaClass3NewEP8OSObject
0000000180962324 (__TEXT,__text) external __ZN24EventHandlerSTAMetaClass3NewEP8OSObject
0000000180962174 (__TEXT,__text) external __ZN25CommanderAdapterMetaClass3NewEP8OSObject
0000000180962264 (__TEXT,__text) external __ZN25EventAdapterAWDLMetaClass3NewEP8OSObject
00000001809625c4 (__TEXT,__text) external __ZN26ConnectionAdapterMetaClass3NewEP8OSObject
00000001809622c4 (__TEXT,__text) external __ZN26RegulatoryAdapterMetaClass3NewEP8OSObject
0000000180962234 (__TEXT,__text) external __ZN26StatisticsAdapterMetaClass3NewEP8OSObject
0000000180962084 (__TEXT,__text) external __ZN27RXPktFilterAdapterMetaClass3NewEP8OSObject
00000001809620e4 (__TEXT,__text) external __ZN28CommandQueueAdapterMetaClass3NewEP8OSObject
00000001809623b4 (__TEXT,__text) external __ZN28EventAdapterHotspotMetaClass3NewEP8OSObject
0000000180962624 (__TEXT,__text) external __ZN28IO80211PowerAdapterMetaClass3NewEP8OSObject
0000000180962294 (__TEXT,__text) external __ZN34IPCBufferMemoryDescriptorMetaClass3NewEP8OSObject
                 (undefined) external __ZNK15OSMetaClassBase12getMetaClassEv (from DriverKit)
                 (undefined) external __ZNK15OSMetaClassBase6retainEv (from DriverKit)
                 (undefined) external __ZNK15OSMetaClassBase7releaseEv (from DriverKit)
                 (undefined) external __ZNK15OSMetaClassBase9isEqualToEPKS_ (from DriverKit)
00000001830aac10 (__AUTH_CONST,__const) external __ZTV16IPCRingMetaClass
00000001830aacf0 (__AUTH_CONST,__const) external __ZTV17CrashLogMetaClass
00000001830a97f0 (__AUTH_CONST,__const) external __ZTV18AxAdapterMetaClass
00000001830aaa50 (__AUTH_CONST,__const) external __ZTV19GASAdapterMetaClass
00000001830aa510 (__AUTH_CONST,__const) external __ZTV19IPCAdapterMetaClass
00000001830a9ef0 (__AUTH_CONST,__const) external __ZTV19NanAdapterMetaClass
00000001830a9a90 (__AUTH_CONST,__const) external __ZTV19NetAdapterMetaClass
00000001830a98d0 (__AUTH_CONST,__const) external __ZTV19WnmAdapterMetaClass
00000001830aa7b0 (__AUTH_CONST,__const) external __ZTV20AwdlAdapterMetaClass
00000001830aab30 (__AUTH_CONST,__const) external __ZTV20MgmtAdapterMetaClass
00000001830a9c50 (__AUTH_CONST,__const) external __ZTV20RoamAdapterMetaClass
00000001830aaeb0 (__AUTH_CONST,__const) external __ZTV20ScanAdapterMetaClass
00000001830ab5b0 (__AUTH_CONST,__const) external __ZTV21DebugAdapterMetaClass
00000001830a9fd0 (__AUTH_CONST,__const) external __ZTV21EventAdapterMetaClass
00000001830ab310 (__AUTH_CONST,__const) external __ZTV21HWDataPacketMetaClass
00000001830aa970 (__AUTH_CONST,__const) external __ZTV22BGScanAdapterMetaClass
00000001830ab4d0 (__AUTH_CONST,__const) external __ZTV22LoggerAdapterMetaClass
00000001830aa6d0 (__AUTH_CONST,__const) external __ZTV22SystemAdapterMetaClass
00000001830aaf90 (__AUTH_CONST,__const) external __ZTV23HotspotAdapterMetaClass
00000001830aadd0 (__AUTH_CONST,__const) external __ZTV23NanDataAdapterMetaClass
00000001830ab150 (__AUTH_CONST,__const) external __ZTV23StationAdapterMetaClass
00000001830ab070 (__AUTH_CONST,__const) external __ZTV24ChanSpecAdapterMetaClass
00000001830aa0b0 (__AUTH_CONST,__const) external __ZTV24EventAdapterNANMetaClass
00000001830a9d30 (__AUTH_CONST,__const) external __ZTV24EventAdapterSTAMetaClass
00000001830aa5f0 (__AUTH_CONST,__const) external __ZTV24EventHandlerSTAMetaClass
00000001830a9e10 (__AUTH_CONST,__const) external __ZTV25CommanderAdapterMetaClass
00000001830aa270 (__AUTH_CONST,__const) external __ZTV25EventAdapterAWDLMetaClass
00000001830ab230 (__AUTH_CONST,__const) external __ZTV26ConnectionAdapterMetaClass
00000001830aa430 (__AUTH_CONST,__const) external __ZTV26RegulatoryAdapterMetaClass
00000001830aa190 (__AUTH_CONST,__const) external __ZTV26StatisticsAdapterMetaClass
00000001830a99b0 (__AUTH_CONST,__const) external __ZTV27RXPktFilterAdapterMetaClass
00000001830a9b70 (__AUTH_CONST,__const) external __ZTV28CommandQueueAdapterMetaClass
00000001830aa890 (__AUTH_CONST,__const) external __ZTV28EventAdapterHotspotMetaClass
00000001830ab3f0 (__AUTH_CONST,__const) external __ZTV28IO80211PowerAdapterMetaClass
00000001830aa350 (__AUTH_CONST,__const) external __ZTV34IPCBufferMemoryDescriptorMetaClass
0000000182ff88d8 (__DATA,__common) external _gAwdlAdapterMetaClass
0000000180fe2680 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gAwdlAdapter_Declaration
0000000182ff8848 (__DATA,__common) external _gAxAdapterMetaClass
0000000180fe25f0 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gAxAdapter_Declaration
0000000182ff88e8 (__DATA,__common) external _gBGScanAdapterMetaClass
0000000180fe2690 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gBGScanAdapter_Declaration
0000000182ff8928 (__DATA,__common) external _gChanSpecAdapterMetaClass
0000000180fe26d0 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gChanSpecAdapter_Declaration
0000000182ff8868 (__DATA,__common) external _gCommandQueueAdapterMetaClass
0000000180fe2610 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gCommandQueueAdapter_Declaration
0000000182ff8880 (__DATA,__common) external _gCommanderAdapterMetaClass
0000000180fe2628 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gCommanderAdapter_Declaration
0000000182ff8938 (__DATA,__common) external _gConnectionAdapterMetaClass
0000000180fe26e0 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gConnectionAdapter_Declaration
0000000182ff8908 (__DATA,__common) external _gCrashLogMetaClass
0000000180fe26b0 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gCrashLog_Declaration
0000000182ff8958 (__DATA,__common) external _gDebugAdapterMetaClass
0000000180fe2700 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gDebugAdapter_Declaration
0000000182ff88a8 (__DATA,__common) external _gEventAdapterAWDLMetaClass
0000000180fe2650 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gEventAdapterAWDL_Declaration
0000000182ff88e0 (__DATA,__common) external _gEventAdapterHotspotMetaClass
0000000180fe2688 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gEventAdapterHotspot_Declaration
0000000182ff8890 (__DATA,__common) external _gEventAdapterMetaClass
0000000182ff8898 (__DATA,__common) external _gEventAdapterNANMetaClass
0000000180fe2640 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gEventAdapterNAN_Declaration
0000000182ff8878 (__DATA,__common) external _gEventAdapterSTAMetaClass
0000000180fe2620 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gEventAdapterSTA_Declaration
0000000180fe2638 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gEventAdapter_Declaration
0000000182ff88c8 (__DATA,__common) external _gEventHandlerSTAMetaClass
0000000180fe2670 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gEventHandlerSTA_Declaration
0000000182ff88f0 (__DATA,__common) external _gGASAdapterMetaClass
0000000180fe2698 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gGASAdapter_Declaration
0000000182ff8940 (__DATA,__common) external _gHWDataPacketMetaClass
0000000180fe26e8 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gHWDataPacket_Declaration
0000000182ff8920 (__DATA,__common) external _gHotspotAdapterMetaClass
0000000180fe26c8 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gHotspotAdapter_Declaration
0000000182ff8948 (__DATA,__common) external _gIO80211PowerAdapterMetaClass
0000000180fe26f0 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gIO80211PowerAdapter_Declaration
0000000182ff88c0 (__DATA,__common) external _gIPCAdapterMetaClass
0000000180fe2668 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gIPCAdapter_Declaration
0000000182ff88b0 (__DATA,__common) external _gIPCBufferMemoryDescriptorMetaClass
0000000180fe2658 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gIPCBufferMemoryDescriptor_Declaration
0000000182ff8900 (__DATA,__common) external _gIPCRingMetaClass
0000000180fe26a8 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gIPCRing_Declaration
0000000182ff8950 (__DATA,__common) external _gLoggerAdapterMetaClass
0000000180fe26f8 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gLoggerAdapter_Declaration
0000000182ff88f8 (__DATA,__common) external _gMgmtAdapterMetaClass
0000000180fe26a0 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gMgmtAdapter_Declaration
0000000182ff8888 (__DATA,__common) external _gNanAdapterMetaClass
0000000180fe2630 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gNanAdapter_Declaration
0000000182ff8910 (__DATA,__common) external _gNanDataAdapterMetaClass
0000000180fe26b8 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gNanDataAdapter_Declaration
0000000182ff8860 (__DATA,__common) external _gNetAdapterMetaClass
0000000180fe2608 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gNetAdapter_Declaration
0000000182ff8858 (__DATA,__common) external _gRXPktFilterAdapterMetaClass
0000000180fe2600 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gRXPktFilterAdapter_Declaration
0000000182ff88b8 (__DATA,__common) external _gRegulatoryAdapterMetaClass
0000000180fe2660 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gRegulatoryAdapter_Declaration
0000000182ff8870 (__DATA,__common) external _gRoamAdapterMetaClass
0000000180fe2618 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gRoamAdapter_Declaration
0000000182ff8918 (__DATA,__common) external _gScanAdapterMetaClass
0000000180fe26c0 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gScanAdapter_Declaration
0000000182ff8930 (__DATA,__common) external _gStationAdapterMetaClass
0000000180fe26d8 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gStationAdapter_Declaration
0000000182ff88a0 (__DATA,__common) external _gStatisticsAdapterMetaClass
0000000180fe2648 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gStatisticsAdapter_Declaration
0000000182ff88d0 (__DATA,__common) external _gSystemAdapterMetaClass
0000000180fe2678 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gSystemAdapter_Declaration
0000000182ff8850 (__DATA,__common) external _gWnmAdapterMetaClass
0000000180fe25f8 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gWnmAdapter_Declaration
