00007ffb0559d372 (__TEXT,__text) non-external _DiToMD5
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __NSGetExecutablePath (from libSystem)
00007ffb055846f8 (__TEXT,__text) non-external (was a private external) __Z11OSFindClassP18IOUserServer_IVarsPKc
00007ffb055ad85a (__TEXT,__text) non-external __Z11OSFindClassP18IOUserServer_IVarsPKc.cold.1
00007ffb05585fcc (__TEXT,__text) non-external (was a private external) __Z11ThreadStartPFPvS_ES_
00007ffb055ade86 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.1
00007ffb055adea9 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.2
00007ffb055adecc (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.3
00007ffb055adeef (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.4
00007ffb055adf12 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.5
00007ffb055850e8 (__TEXT,__text) non-external (was a private external) __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC
00007ffb055adb61 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.1
00007ffb055adb84 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.2
00007ffb055adba7 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.3
00007ffb055adbca (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.4
00007ffb05584993 (__TEXT,__text) non-external (was a private external) __Z12OSObjectFreeP15OSMetaClassBase
00007ffb055ad8e6 (__TEXT,__text) non-external __Z12OSObjectFreeP15OSMetaClassBase.cold.1
00007ffb0558f4f1 (__TEXT,__text) non-external (was a private external) __Z15OSArrayGetEntryP7OSArraym
00007ffb05591c86 (__TEXT,__text) non-external (was a private external) __Z15OSBooleanCreatev
00007ffb05584532 (__TEXT,__text) non-external (was a private external) __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass
00007ffb055ad7f1 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.1
00007ffb055ad814 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.2
00007ffb055ad837 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.3
00007ffb0558f604 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetStringP7OSArraym
00007ffb0558f674 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetUInt64P7OSArraym
00007ffb0558f62f (__TEXT,__text) non-external (was a private external) __Z16OSArraySetStringP7OSArraymPKc
00007ffb05584753 (__TEXT,__text) external __Z16OSObjectAllocateP11OSMetaClassPP8OSObject
00007ffb0558f9e0 (__TEXT,__text) non-external (was a private external) __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry
00007ffb055af202 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.1
00007ffb055af225 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.2
00007ffb055af248 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.3
00007ffb055af26b (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.4
00007ffb055af28e (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.5
00007ffb055af2b1 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.6
00007ffb05582aaa (__TEXT,__text) external __Z16OSUnserializeXMLPKcPP8OSString
00007ffb05582bac (__TEXT,__text) external __Z16OSUnserializeXMLPKcmPP8OSString
00007ffb05584c58 (__TEXT,__text) external __Z17OSObjectTryRetainP8OSObject
00007ffb055ad92a (__TEXT,__text) non-external __Z17OSObjectTryRetainP8OSObject.cold.1
00007ffb05584d46 (__TEXT,__text) non-external (was a private external) __Z17SearchMethodArrayyPKyjPy
00007ffb055863bc (__TEXT,__text) non-external (was a private external) __Z18OSLoadBundleByPathP18IOUserServer_IVarsPKc
00007ffb055844a5 (__TEXT,__text) non-external (was a private external) __Z18OSStringArrayIndexP10IOPStringsPKc
00007ffb05584403 (__TEXT,__text) non-external (was a private external) __Z19OSCopyInStringArrayPKcj
00007ffb05590105 (__TEXT,__text) non-external (was a private external) __Z19OSObjectLogInternalP8OSObjectj
00007ffb055af33d (__TEXT,__text) non-external __Z19OSObjectLogInternalP8OSObjectj.cold.1
00007ffb055848ba (__TEXT,__text) non-external (was a private external) __Z20OSObjectPortFinalizeP15OSMetaClassBase
00007ffb055ad8a0 (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.1
00007ffb055ad8c3 (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.2
00007ffb0558d3d6 (__TEXT,__text) non-external (was a private external) __Z20OSSerializationValueP15OSSerializationj
00007ffb055aedc9 (__TEXT,__text) non-external __Z20OSSerializationValueP15OSSerializationj.cold.1
00007ffb0558d375 (__TEXT,__text) non-external (was a private external) __Z21OSSerializationTypeIDj
00007ffb055aed83 (__TEXT,__text) non-external __Z21OSSerializationTypeIDj.cold.1
00007ffb055818f0 (__TEXT,__text) non-external (was a private external) __Z21OSUnserializeXMLparsePv
00007ffb0558e4a3 (__TEXT,__text) non-external (was a private external) __Z23OSSerializationGetBytesPKjPvmm
00007ffb0558f6dd (__TEXT,__text) non-external (was a private external) __Z26OSSerializationAppendBytesP15OSSerializationPKvm
00007ffb055af018 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.1
00007ffb055af03b (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.2
00007ffb055af05e (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.3
00007ffb055af081 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.4
00007ffb055af0a4 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.5
00007ffb0558e46a (__TEXT,__text) non-external (was a private external) __Z26OSSerializationGetBytesPtrPKjmm
00007ffb0558e6c4 (__TEXT,__text) non-external (was a private external) __Z29OSSerializationGetUInt64ValuePKj
00007ffb0558f80d (__TEXT,__text) non-external (was a private external) __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry
00007ffb055af0c7 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.1
00007ffb055af0ea (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.2
00007ffb055af10d (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.3
00007ffb0558638a (__TEXT,__text) non-external (was a private external) __Z7astrcpyPKc
00007ffb05585abc (__TEXT,__text) non-external __ZL10IORPCAsyncPv
00007ffb055ac51e (__TEXT,__text) non-external __ZL10OSData_NewP11OSMetaClass
00007ffb055829ba (__TEXT,__text) non-external __ZL10buildArrayP12parser_stateP6object
00007ffb05583c0f (__TEXT,__text) non-external __ZL10getHexDataP12parser_statePj
00007ffb055ad76b (__TEXT,__text) non-external __ZL10getHexDataP12parser_statePj.cold.1
00007ffb0558cee7 (__TEXT,__text) non-external __ZL10uiomessagePv
00007ffb055ac432 (__TEXT,__text) non-external __ZL11OSArray_NewP11OSMetaClass
00007ffb0559118e (__TEXT,__text) non-external __ZL11OSSetCreatev
00007ffb055affd0 (__TEXT,__const) non-external __ZL11yytranslate
00007ffb055ad51c (__TEXT,__text) non-external __ZL12IOThread_NewP11OSMetaClass
00007ffb055abe5a (__TEXT,__text) non-external __ZL12OSAction_NewP11OSMetaClass
00007ffb055ac4a0 (__TEXT,__text) non-external __ZL12OSBundle_NewP11OSMetaClass
00007ffb055ac5bc (__TEXT,__text) non-external __ZL12OSNumber_NewP11OSMetaClass
00007ffb055ac5ec (__TEXT,__text) non-external __ZL12OSObject_NewP11OSMetaClass
00007ffb0558e25f (__TEXT,__text) non-external __ZL12OSStringFindjU13block_pointerFbP8OSStringE
00007ffb0558e222 (__TEXT,__text) non-external __ZL12OSStringHashPKcm
00007ffb055aef02 (__TEXT,__text) non-external __ZL12OSStringHashPKcm.cold.1
00007ffb055acc1a (__TEXT,__text) non-external __ZL12OSString_NewP11OSMetaClass
00007ffb0559e536 (__TEXT,__text) non-external __ZL13IOCommand_NewP11OSMetaClass
00007ffb055a3714 (__TEXT,__text) non-external __ZL13IOService_NewP11OSMetaClass
00007ffb0558bd03 (__TEXT,__text) non-external __ZL13IOThreadStartPv
00007ffb055aeb02 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.1
00007ffb055aeb25 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.2
00007ffb055aeb48 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.3
00007ffb055ac470 (__TEXT,__text) non-external __ZL13OSBoolean_NewP11OSMetaClass
00007ffb055a3624 (__TEXT,__text) non-external __ZL14IOReporter_NewP11OSMetaClass
00007ffb055877cc (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si
00007ffb055ae58e (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.1
00007ffb055ae5b1 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.2
00007ffb055ae5d4 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.3
00007ffb055ae5f7 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.4
00007ffb055a0bec (__TEXT,__text) non-external __ZL15IOEventLink_NewP11OSMetaClass
00007ffb055a33ac (__TEXT,__text) non-external __ZL15IOMemoryMap_NewP11OSMetaClass
00007ffb055ab81e (__TEXT,__text) non-external __ZL15IOWorkGroup_NewP11OSMetaClass
00007ffb055ac4ee (__TEXT,__text) non-external __ZL15OSContainer_NewP11OSMetaClass
00007ffb055861f7 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb
00007ffb055ae02a (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.1
00007ffb055ae04d (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.2
00007ffb055ae070 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.3
00007ffb055ae093 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.4
00007ffb05586f29 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc
00007ffb055ae393 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.1
00007ffb055ae3c7 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.2
00007ffb055ae3ea (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.3
00007ffb055ae40d (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.4
00007ffb0558c919 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject
00007ffb055aebf7 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.1
00007ffb055aec1a (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.2
00007ffb055aec3d (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.3
00007ffb055aec60 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.4
00007ffb055aec83 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.5
00007ffb055aeca6 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.6
00007ffb055aecc9 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.7
00007ffb4345f1b8 (__DATA,__bss) non-external __ZL15gIOThreadTLSKey
00007ffb0559e5a4 (__TEXT,__text) non-external __ZL16IODMACommand_NewP11OSMetaClass
00007ffb055aa09c (__TEXT,__text) non-external __ZL16IOUserClient_NewP11OSMetaClass
00007ffb055aaf82 (__TEXT,__text) non-external __ZL16IOUserServer_NewP11OSMetaClass
00007ffb055ac4d0 (__TEXT,__text) non-external __ZL16OSCollection_NewP11OSMetaClass
