000000021a8a0e50 (__DATA,__data) non-external _.compoundliteral
00000001e5125a40 (__TEXT,__text) non-external (was a private external) _HashTableAdd
00000001e5125998 (__TEXT,__text) non-external (was a private external) _HashTableFree
00000001e5125b9c (__TEXT,__text) non-external (was a private external) _HashTableGet
00000001e512593c (__TEXT,__text) non-external (was a private external) _HashTableNew
                 (undefined) external _IOSurfaceGetBaseAddressOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceGetBytesPerRowOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceGetSeedOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceLockPlane (from IOSurface)
                 (undefined) external _IOSurfaceUnlockPlane (from IOSurface)
00000001e50d327c (__TEXT,__text) non-external (was a private external) _InitAtomTable
00000001e50d377c (__TEXT,__text) non-external (was a private external) _InitCPP
00000001e50bac60 (__TEXT,__text) non-external (was a private external) _InitReg
00000001e50d63e4 (__TEXT,__text) non-external (was a private external) _InitScanner
00000001e5127d28 (__TEXT,__text) non-external (was a private external) _InstructionAdd
00000001e5128580 (__TEXT,__text) non-external (was a private external) _InstructionFree
00000001e5127e10 (__TEXT,__text) non-external _InstructionInitSourcesTargets
00000001e512b180 (__TEXT,__text) non-external _IsBadUsage
00000001e50bc130 (__TEXT,__text) non-external (was a private external) _Load
00000001e50d2f68 (__TEXT,__text) non-external (was a private external) _LookUpAddString
00000001e50d3044 (__TEXT,__text) non-external _LookUpAddStringHash
00000001e50d85f0 (__TEXT,__text) non-external (was a private external) _LookUpLocalSymbol
00000001e50d8664 (__TEXT,__text) non-external (was a private external) _LookUpSymbol
00000001e50d53a0 (__TEXT,__text) non-external (was a private external) _MacroExpand
00000001e50d8f80 (__TEXT,__text) non-external (was a private external) _MatchNextToken
00000001e50d8448 (__TEXT,__text) non-external (was a private external) _NewScopeInPool
00000001e50d86c0 (__TEXT,__text) non-external (was a private external) _NewTokenStream
00000002175b39d0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_ARBfp10
00000002175b3670 (__DATA_CONST,__const) non-external (was a private external) _OpsList_ARBvp10
00000002175b3bf0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVfp10
00000002175b3d30 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVfp20
00000002175b3830 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVvp20
00000002175b3930 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVvp30
00000002175b3e30 (__DATA_CONST,__const) non-external (was a private external) _OpsList_fpSpecial
00000002175b39a0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_vpSpecial
00000001e5009ec8 (__TEXT,__text) external _PPParserAttachLLVMIR
00000001e5009c2c (__TEXT,__text) external _PPParserAttachStream
00000001e5009a74 (__TEXT,__text) external _PPParserAttachString
00000001e5012540 (__TEXT,__text) external _PPParserBuildErrorString
00000001e5009974 (__TEXT,__text) external _PPParserCreate
00000001e500a5f4 (__TEXT,__text) non-external (was a private external) _PPParserDeclareNVAddressRegisters
00000001e5011290 (__TEXT,__text) non-external (was a private external) _PPParserExpandMacro
00000001e5009b48 (__TEXT,__text) external _PPParserFree
00000001e500a2d0 (__TEXT,__text) non-external (was a private external) _PPParserGetCharacter
00000001e50134f4 (__TEXT,__text) external _PPParserGetErrorString
00000001e5013504 (__TEXT,__text) external _PPParserGetImageUnitsUsed
00000001e500a648 (__TEXT,__text) non-external (was a private external) _PPParserGetInteger
00000001e50134d0 (__TEXT,__text) external _PPParserGetLimits
00000001e50134ec (__TEXT,__text) external _PPParserGetOptions
00000001e500a3dc (__TEXT,__text) non-external (was a private external) _PPParserGetPart
00000001e500a6f4 (__TEXT,__text) non-external (was a private external) _PPParserGetScalars
00000001e50134fc (__TEXT,__text) external _PPParserGetStream
00000001e50087f8 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierCreate
00000001e5008838 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierCreateFromIdentifier
00000001e5008900 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierFree
00000001e5008884 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierSetName
00000001e5012640 (__TEXT,__text) non-external _PPParserInherit
00000001e50099e8 (__TEXT,__text) external _PPParserInit
00000001e5013620 (__TEXT,__text) non-external _PPParserLabelsAddLabel
00000001e5009bc4 (__TEXT,__text) non-external _PPParserLabelsFree
00000001e5008418 (__TEXT,__text) non-external (was a private external) _PPParserMacroCreate
00000001e5008440 (__TEXT,__text) non-external (was a private external) _PPParserMacroCreateFromMacro
00000001e50085c0 (__TEXT,__text) non-external (was a private external) _PPParserMacroFree
00000001e50086a8 (__TEXT,__text) non-external (was a private external) _PPParserMacroGetReplaceString
00000001e500854c (__TEXT,__text) non-external (was a private external) _PPParserMacroSetParamString
00000001e500850c (__TEXT,__text) non-external (was a private external) _PPParserMacroSetParamStringsCount
00000001e500863c (__TEXT,__text) non-external (was a private external) _PPParserMacroSetSearchString
00000001e50135b4 (__TEXT,__text) non-external _PPParserOutputBindingsAddOutputBinding
00000001e501161c (__TEXT,__text) external _PPParserParse
00000001e500b56c (__TEXT,__text) non-external (was a private external) _PPParserParseAddressDeclaration
00000001e500f268 (__TEXT,__text) non-external (was a private external) _PPParserParseAddressDestination
00000001e50105ec (__TEXT,__text) non-external (was a private external) _PPParserParseAddressSourceVar
00000001e50110cc (__TEXT,__text) non-external (was a private external) _PPParserParseAliasDeclaration
00000001e500afdc (__TEXT,__text) non-external (was a private external) _PPParserParseArray
00000001e500daac (__TEXT,__text) non-external (was a private external) _PPParserParseAttributeBinding
00000001e500e524 (__TEXT,__text) non-external (was a private external) _PPParserParseAttributeDeclaration
00000001e500aecc (__TEXT,__text) non-external (was a private external) _PPParserParseBlock
00000001e500f3dc (__TEXT,__text) non-external (was a private external) _PPParserParseBranchCondition
00000001e500b0ac (__TEXT,__text) non-external (was a private external) _PPParserParseDefaultArray
00000001e500f764 (__TEXT,__text) non-external (was a private external) _PPParserParseDestination
00000001e500ed38 (__TEXT,__text) non-external (was a private external) _PPParserParseDestinationMask
00000001e5013428 (__TEXT,__text) non-external (was a private external) _PPParserParseEnd
00000001e500b2ec (__TEXT,__text) non-external (was a private external) _PPParserParseIndirectArray
00000001e500f114 (__TEXT,__text) non-external (was a private external) _PPParserParseLabel
00000001e5010e34 (__TEXT,__text) non-external (was a private external) _PPParserParseMacroDeclaration
00000001e50106b4 (__TEXT,__text) non-external (was a private external) _PPParserParseOperation
00000001e5012798 (__TEXT,__text) non-external (was a private external) _PPParserParseOption
00000001e500a80c (__TEXT,__text) non-external (was a private external) _PPParserParseOptionIdentifier
00000001e500e664 (__TEXT,__text) non-external (was a private external) _PPParserParseOutputBinding
00000001e500ec08 (__TEXT,__text) non-external (was a private external) _PPParserParseOutputDeclaration
00000001e500bea8 (__TEXT,__text) non-external (was a private external) _PPParserParseParamBinding
00000001e500d928 (__TEXT,__text) non-external (was a private external) _PPParserParseParameterDeclaration
00000001e500b1b0 (__TEXT,__text) non-external (was a private external) _PPParserParseRangeArray
00000001e500eeec (__TEXT,__text) non-external (was a private external) _PPParserParseSourceSwizzle
00000001e500fb10 (__TEXT,__text) non-external (was a private external) _PPParserParseSourceVar
00000001e5012874 (__TEXT,__text) non-external (was a private external) _PPParserParseStatement
00000001e500ffc8 (__TEXT,__text) non-external (was a private external) _PPParserParseSwizzleCode
00000001e500fe34 (__TEXT,__text) non-external (was a private external) _PPParserParseSwizzleSourceVar
00000001e500bcd4 (__TEXT,__text) non-external (was a private external) _PPParserParseTempDeclaration
00000001e50102dc (__TEXT,__text) non-external (was a private external) _PPParserParseTextureSourceVar
00000001e501268c (__TEXT,__text) non-external (was a private external) _PPParserParseVersion
00000001e5008b38 (__TEXT,__text) non-external (was a private external) _PPParserPreprocessString
00000001e5009a38 (__TEXT,__text) non-external (was a private external) _PPParserRemoveScope
00000001e500a35c (__TEXT,__text) non-external (was a private external) _PPParserReturnCharacter
00000001e500a570 (__TEXT,__text) non-external (was a private external) _PPParserReturnPart
00000001e50097b0 (__TEXT,__text) non-external (was a private external) _PPParserScopeAddIdentifier
00000001e5008940 (__TEXT,__text) non-external (was a private external) _PPParserScopeCreate
00000001e5009708 (__TEXT,__text) non-external (was a private external) _PPParserScopeCreateFromScope
00000001e50098e4 (__TEXT,__text) non-external (was a private external) _PPParserScopeFindIdentifier
00000001e500992c (__TEXT,__text) non-external (was a private external) _PPParserScopeFindMacro
00000001e500980c (__TEXT,__text) non-external (was a private external) _PPParserScopeFree
00000001e500986c (__TEXT,__text) non-external (was a private external) _PPParserScopeRemoveIdentifier
00000001e50098a8 (__TEXT,__text) non-external (was a private external) _PPParserScopeRemoveMacro
00000001e50134d8 (__TEXT,__text) external _PPParserSetLimits
00000001e50134c8 (__TEXT,__text) external _PPParserSetPrefs
00000001e50099ec (__TEXT,__text) non-external (was a private external) _PPParserShutdown
00000001e500b6d4 (__TEXT,__text) non-external _PPParserValidateName
00000001e511e298 (__TEXT,__text) external _PPStreamAddAddressUsage
00000001e511e418 (__TEXT,__text) external _PPStreamAddAttribBinding
00000001e511e9a8 (__TEXT,__text) external _PPStreamAddConstant
00000001e511e8a0 (__TEXT,__text) external _PPStreamAddLabel
00000001e511e598 (__TEXT,__text) external _PPStreamAddOperation
00000001e511eac0 (__TEXT,__text) external _PPStreamAddOption
00000001e511e498 (__TEXT,__text) external _PPStreamAddOutputBinding
00000001e511e318 (__TEXT,__text) external _PPStreamAddParamBinding
00000001e511e398 (__TEXT,__text) external _PPStreamAddParamBindingArray
00000001e511ea40 (__TEXT,__text) external _PPStreamAddRasterOp
00000001e511dfc0 (__TEXT,__text) non-external (was a private external) _PPStreamAddReqs0
00000001e511e03c (__TEXT,__text) non-external (was a private external) _PPStreamAddReqs1
00000001e511e198 (__TEXT,__text) external _PPStreamAddTempUsage
00000001e511e218 (__TEXT,__text) external _PPStreamAddTempUsageArray
00000001e511e518 (__TEXT,__text) external _PPStreamAddTexImage
00000001e511f580 (__TEXT,__text) external _PPStreamAttachStream
00000001e511d5b0 (__TEXT,__text) external _PPStreamAttribBindingIsEqual
00000001e511fde4 (__TEXT,__text) non-external (was a private external) _PPStreamChangeBranchTargets
00000001e511d6d0 (__TEXT,__text) non-external (was a private external) _PPStreamChunkCompare
00000001e511e170 (__TEXT,__text) non-external _PPStreamChunkCreate
00000001e511d5d8 (__TEXT,__text) non-external (was a private external) _PPStreamChunkGetStream
00000001e511d948 (__TEXT,__text) external _PPStreamChunkListAddChunk
00000001e511dc94 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListChunkAtIndex
00000001e511dd4c (__TEXT,__text) non-external (was a private external) _PPStreamChunkListCompare
00000001e511d7cc (__TEXT,__text) external _PPStreamChunkListCreate
00000001e511d7f4 (__TEXT,__text) external _PPStreamChunkListCreateFromChunkList
00000001e511d980 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListFree
00000001e511ddb4 (__TEXT,__text) external _PPStreamChunkListGetNextIndex
00000001e511db9c (__TEXT,__text) external _PPStreamChunkListGetStream
00000001e511da4c (__TEXT,__text) non-external (was a private external) _PPStreamChunkListInsertChunkAfterChunk
00000001e511d9e0 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListInsertChunkBeforeChunk
00000001e511daa8 (__TEXT,__text) external _PPStreamChunkListRemoveChunk
00000001e511db04 (__TEXT,__text) external _PPStreamChunkListSort
00000001e511fcb8 (__TEXT,__text) external _PPStreamCompare
00000001e511dee4 (__TEXT,__text) external _PPStreamCreate
00000001e511e0c4 (__TEXT,__text) external _PPStreamFree
00000001e511eb3c (__TEXT,__text) external _PPStreamGetStream
00000001e511f550 (__TEXT,__text) external _PPStreamGetTexOperationCount
00000001e511e79c (__TEXT,__text) non-external (was a private external) _PPStreamInsertOperationAfterChunk
00000001e511e680 (__TEXT,__text) non-external (was a private external) _PPStreamInsertOperationBeforeChunk
00000001e511d5c4 (__TEXT,__text) external _PPStreamOutputBindingIsEqual
00000001e511fea0 (__TEXT,__text) non-external (was a private external) _PPStreamPackIndices
00000001e511d59c (__TEXT,__text) external _PPStreamParamBindingIsEqual
00000001e511e950 (__TEXT,__text) non-external (was a private external) _PPStreamRemoveLabelsAtOperationIndex
00000001e51204ec (__TEXT,__text) non-external (was a private external) _PPStreamRemoveOperation
00000001e51203cc (__TEXT,__text) non-external (was a private external) _PPStreamResolveBranches
00000001e50147e8 (__TEXT,__text) external _PPStreamTokenAddBlockInfo
00000001e50153d4 (__TEXT,__text) external _PPStreamTokenAddRasterOps
00000001e511f444 (__TEXT,__text) non-external (was a private external) _PPStreamTokenAddRasterRequirements
00000001e511ee88 (__TEXT,__text) non-external (was a private external) _PPStreamTokenAddRequirements
00000001e5015568 (__TEXT,__text) external _PPStreamTokenAddTexImages
00000001e50154d0 (__TEXT,__text) external _PPStreamTokenAddTexUnitInfo
00000001e511f52c (__TEXT,__text) external _PPStreamTokenAlloc
00000001e50158b8 (__TEXT,__text) external _PPStreamTokenConvertAttribBindings
00000001e5015cc4 (__TEXT,__text) external _PPStreamTokenConvertOutputBindings
00000001e5015af8 (__TEXT,__text) external _PPStreamTokenConvertParamBindings
00000001e5015c08 (__TEXT,__text) external _PPStreamTokenConvertParamBindingsToGeneric
00000001e511f54c (__TEXT,__text) external _PPStreamTokenFree
00000001e50147a8 (__TEXT,__text) external _PPStreamTokenGetProgramOptions
00000001e5014744 (__TEXT,__text) external _PPStreamTokenIsTrivialPassThrough
00000001e514d138 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.ARBFP
00000001e514d1f8 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.GLSL1
00000001e514d2c8 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.GLSL2
00000002175b41f8 (__DATA_CONST,__const) non-external _PPStreamTokenIsTrivialPassThrough.streams
00000001e5015d74 (__TEXT,__text) external _PPStreamTokenValidateOptions
00000002175b4f30 (__DATA_CONST,__const) non-external _PROMOTIONS
00000001e514e294 (__TEXT,__const) non-external _PROMOTIONS_110
00000001e514e298 (__TEXT,__const) non-external _PROMOTIONS_120
00000001e514e2d0 (__TEXT,__const) non-external _PROMOTIONS_400
00000001e514e2a8 (__TEXT,__const) non-external _PROMOTIONS_FP64
00000001e51291e0 (__TEXT,__text) non-external (was a private external) _ProgramFree
00000001e5129158 (__TEXT,__text) non-external (was a private external) _ProgramNew
00000001e50d903c (__TEXT,__text) non-external (was a private external) _ReadFromTokenStream
00000001e50d8990 (__TEXT,__text) non-external (was a private external) _ReadToken
00000001e5131258 (__TEXT,__text) non-external _RecordFunctionCall
00000001e50d881c (__TEXT,__text) non-external (was a private external) _RecordToken
00000001e5127c34 (__TEXT,__text) non-external (was a private external) _RegisterAdd
00000001e5127b74 (__TEXT,__text) non-external (was a private external) _RegisterCanMerge
00000001e5126410 (__TEXT,__text) non-external (was a private external) _RegisterVectorCanMerge
00000001e5126384 (__TEXT,__text) non-external (was a private external) _RegisterVectorIsFixed
00000001e51287cc (__TEXT,__text) non-external (was a private external) _Registerify
00000001e5127860 (__TEXT,__text) non-external (was a private external) _RegistersCleanup
00000001e512897c (__TEXT,__text) non-external (was a private external) _RegistersFree
00000001e512876c (__TEXT,__text) non-external (was a private external) _RegistersInitialize
00000001e51260e8 (__TEXT,__text) non-external (was a private external) _RegistersMerge
00000001e5126478 (__TEXT,__text) non-external (was a private external) _RegistersReInterfere
00000001e5126508 (__TEXT,__text) non-external (was a private external) _RegistersReplace
00000001e512da40 (__TEXT,__text) non-external (was a private external) _RepifyConstantLoopSimple
00000001e501356c (__TEXT,__text) non-external _ResizeGLDAttribBindings
00000001e50136a4 (__TEXT,__text) non-external _ResizeGLPContextStateBindings
00000001e50d897c (__TEXT,__text) non-external (was a private external) _RewindTokenStream
00000001e50d7704 (__TEXT,__text) non-external (was a private external) _ScanFromIncludeString
00000001e50d7908 (__TEXT,__text) non-external (was a private external) _ScanFromSimpleString
00000001e50d6494 (__TEXT,__text) non-external (was a private external) _ScanFromString
00000001e50d7b00 (__TEXT,__text) non-external (was a private external) _ScanFromTokenPastedString
00000001e50bc054 (__TEXT,__text) non-external (was a private external) _SetAddressRegister
00000001e50c9578 (__TEXT,__text) external _ShAttributeBindingRequest
00000001e50c94c8 (__TEXT,__text) external _ShCleanup
00000001e50c8f40 (__TEXT,__text) external _ShCompile
00000001e50c8b68 (__TEXT,__text) external _ShConstructCompiler
00000001e50c8bf4 (__TEXT,__text) external _ShConstructLinker
00000001e50c8cb4 (__TEXT,__text) external _ShDestruct
00000001e50c8f38 (__TEXT,__text) external _ShFinalize
00000001e50ca650 (__TEXT,__text) external _ShFragDataBindingRequest
00000001e50c9d74 (__TEXT,__text) external _ShGetActiveAttrib
00000001e50c9a3c (__TEXT,__text) external _ShGetActiveBindableUniformBufferIndexOffsetFromLocation
00000001e50c9a24 (__TEXT,__text) external _ShGetActiveBindableUniformBufferSizeTable
00000001e50c99e8 (__TEXT,__text) external _ShGetActiveNonbindableUniformsSize
00000001e50cb680 (__TEXT,__text) external _ShGetActiveSamplerLocations
00000001e50cbc40 (__TEXT,__text) external _ShGetActiveSubroutineName
00000001e50cbb98 (__TEXT,__text) external _ShGetActiveSubroutineUniformName
00000001e50cba40 (__TEXT,__text) external _ShGetActiveSubroutineUniformiv
00000001e50cb4e4 (__TEXT,__text) external _ShGetActiveUniform
00000001e50cadc8 (__TEXT,__text) external _ShGetActiveUniformBlockName
00000001e50cab34 (__TEXT,__text) external _ShGetActiveUniformBlockiv
00000001e50caff0 (__TEXT,__text) external _ShGetActiveUniformIndex
00000001e50cb230 (__TEXT,__text) external _ShGetActiveUniformName
00000001e50c9ef4 (__TEXT,__text) external _ShGetAttribLocation
00000001e50c9c78 (__TEXT,__text) external _ShGetBindableUniformTypeInfo
00000001e50cbce4 (__TEXT,__text) external _ShGetCachedUniformIndexTable
00000001e50cbcfc (__TEXT,__text) external _ShGetCachedUniformIndexTableSize
00000001e50c9fa4 (__TEXT,__text) external _ShGetContextStateUniforms
00000001e50ca7e4 (__TEXT,__text) external _ShGetFragDataLocation
00000001e50c94d8 (__TEXT,__text) external _ShGetInfoLog
00000001e50cbd14 (__TEXT,__text) external _ShGetInteger
00000001e50ca270 (__TEXT,__text) external _ShGetLinkerPPStream
00000001e50cb778 (__TEXT,__text) external _ShGetMaxActiveSubroutineLength
00000001e50cb7dc (__TEXT,__text) external _ShGetMaxActiveSubroutineUniformLength
00000001e50ca9f4 (__TEXT,__text) external _ShGetMaxActiveUniformBlockLength
00000001e50cb3f8 (__TEXT,__text) external _ShGetMaxActiveUniformLength
00000001e50c9cf0 (__TEXT,__text) external _ShGetMaxAttributeLength
00000001e50ca548 (__TEXT,__text) external _ShGetMaxTransformFeedbackVaryingLength
00000001e50c9708 (__TEXT,__text) external _ShGetNumActiveAttributes
00000001e50caf6c (__TEXT,__text) non-external _ShGetNumActiveNonbindableUniforms
00000001e50cb768 (__TEXT,__text) external _ShGetNumActiveSubroutineUniformLocations
00000001e50cb6e4 (__TEXT,__text) external _ShGetNumActiveSubroutineUniforms
00000001e50cb6c0 (__TEXT,__text) external _ShGetNumActiveSubroutines
00000001e50ca940 (__TEXT,__text) external _ShGetNumActiveUniformBlocks
00000001e50cb31c (__TEXT,__text) external _ShGetNumActiveUniforms
00000001e50ca640 (__TEXT,__text) external _ShGetNumActiveVaryingsComponents
00000001e50c9a00 (__TEXT,__text) external _ShGetNumBindableUniformBuffers
00000001e50ca250 (__TEXT,__text) external _ShGetPPStreamManager
00000001e50ca260 (__TEXT,__text) external _ShGetShaderByteCode
