                 (undefined) external _CFAbsoluteTimeGetCurrent (from CoreFoundation)
                 (undefined) external _CFBundleCopyBundleURL (from CoreFoundation)
                 (undefined) external _CFBundleCopyPrivateFrameworksURL (from CoreFoundation)
                 (undefined) external _CFBundleCopyResourceURL (from CoreFoundation)
                 (undefined) external _CFBundleCopySharedFrameworksURL (from CoreFoundation)
                 (undefined) external _CFBundleCreate (from CoreFoundation)
                 (undefined) external _CFBundleGetBundleWithIdentifier (from CoreFoundation)
                 (undefined) external _CFBundleGetMainBundle (from CoreFoundation)
                 (undefined) external _CFLocaleCopyCurrent (from CoreFoundation)
                 (undefined) external _CFLocaleGetIdentifier (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRunLoopAddObserver (from CoreFoundation)
                 (undefined) external _CFRunLoopAddSource (from CoreFoundation)
                 (undefined) external _CFRunLoopAddTimer (from CoreFoundation)
                 (undefined) external _CFRunLoopGetCurrent (from CoreFoundation)
                 (undefined) external _CFRunLoopObserverCreate (from CoreFoundation)
                 (undefined) external _CFRunLoopObserverInvalidate (from CoreFoundation)
                 (undefined) external _CFRunLoopRunInMode (from CoreFoundation)
                 (undefined) external _CFRunLoopSourceCreate (from CoreFoundation)
                 (undefined) external _CFRunLoopSourceInvalidate (from CoreFoundation)
                 (undefined) external _CFRunLoopSourceSignal (from CoreFoundation)
                 (undefined) external _CFRunLoopTimerCreate (from CoreFoundation)
                 (undefined) external _CFRunLoopTimerGetNextFireDate (from CoreFoundation)
                 (undefined) external _CFRunLoopTimerInvalidate (from CoreFoundation)
                 (undefined) external _CFRunLoopTimerSetNextFireDate (from CoreFoundation)
                 (undefined) external _CFRunLoopWakeUp (from CoreFoundation)
                 (undefined) external _CFStringCompare (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFURLCopyLastPathComponent (from CoreFoundation)
                 (undefined) external _CFURLCreateCopyAppendingPathComponent (from CoreFoundation)
                 (undefined) external _CFURLGetFileSystemRepresentation (from CoreFoundation)
                 (undefined) external _NSAddressOfSymbol (from libSystem)
                 (undefined) external _NSCreateObjectFileImageFromMemory (from libSystem)
                 (undefined) external _NSDestroyObjectFileImage (from libSystem)
                 (undefined) external _NSLinkEditError (from libSystem)
                 (undefined) external _NSLinkModule (from libSystem)
                 (undefined) external _NSLookupSymbolInImage (from libSystem)
                 (undefined) external _NSLookupSymbolInModule (from libSystem)
                 (undefined) external _NSUnLinkModule (from libSystem)
                 (undefined) external _NXFindBestFatArch (from libSystem)
                 (undefined) external _NXGetLocalArchInfo (from libSystem)
00000001ea8ce560 (__TEXT,__text) external _TclAddLiteralObj
00000001ea90d9d4 (__TEXT,__text) external _TclBN_mp_read_radix
00000001ea90dae4 (__TEXT,__text) external _TclBN_mp_rshd
00000001ea90db48 (__TEXT,__text) external _TclBN_mp_set
00000001ea90db84 (__TEXT,__text) external _TclBN_mp_shrink
00000001ea90dbe8 (__TEXT,__text) external _TclBN_mp_sqr
00000001ea90dc74 (__TEXT,__text) external _TclBN_mp_sqrt
00000001ea90def8 (__TEXT,__text) external _TclBN_mp_sub
00000001ea90dfb4 (__TEXT,__text) external _TclBN_mp_sub_d
00000001ea90e0fc (__TEXT,__text) external _TclBN_mp_to_unsigned_bin
00000001ea90e1a0 (__TEXT,__text) external _TclBN_mp_to_unsigned_bin_n
00000001ea90e21c (__TEXT,__text) external _TclBN_mp_toom_mul
00000001ea90e928 (__TEXT,__text) external _TclBN_mp_toom_sqr
00000001ea90ee78 (__TEXT,__text) external _TclBN_mp_toradix_n
00000001ea90efc8 (__TEXT,__text) external _TclBN_mp_unsigned_bin_size
00000001ea90eff8 (__TEXT,__text) external _TclBN_mp_xor
00000001ea90f0b8 (__TEXT,__text) external _TclBN_mp_zero
00000001ea90b570 (__TEXT,__text) external _TclBN_reverse
00000001ea8ffb3c (__TEXT,__text) external _TclBN_revision
00000001ea90f0ec (__TEXT,__text) external _TclBN_s_mp_add
00000001ea90f228 (__TEXT,__text) external _TclBN_s_mp_mul_digs
00000001ea90f398 (__TEXT,__text) external _TclBN_s_mp_sqr
00000001ea90f4c0 (__TEXT,__text) external _TclBN_s_mp_sub
00000001ea8a4fd0 (__TEXT,__text) external _TclBackgroundException
00000001ea8f39c8 (__TEXT,__text) external _TclCallVarTraces
00000001ea8bfbb0 (__TEXT,__text) external _TclChannelEventScriptInvoker
00000001ea8c6f9c (__TEXT,__text) external _TclChannelTransform
00000001ea8f2cac (__TEXT,__text) external _TclCheckExecutionTraces
00000001ea8f33f4 (__TEXT,__text) external _TclCheckInterpTraces
00000001ea8e0830 (__TEXT,__text) external _TclCleanupChildren
00000001ea86838c (__TEXT,__text) external _TclCleanupCommand
00000001ea8fa224 (__TEXT,__text) external _TclCleanupVar
00000001ea8f7384 (__TEXT,__text) external _TclCopyAndCollapse
00000001ea8bffec (__TEXT,__text) external _TclCopyChannel
00000001ea8e0b7c (__TEXT,__text) external _TclCreatePipeline
00000001ea8e4684 (__TEXT,__text) external _TclCreateProc
00000001ea8d8d98 (__TEXT,__text) external _TclDbDumpActiveObjects
00000001ea8febfc (__TEXT,__text) external _TclDeleteCompiledLocalVars
00000001ea8feb38 (__TEXT,__text) external _TclDeleteVars
00000001ea86eae0 (__TEXT,__text) external _TclDumpMemoryInfo
00000001ea86a86c (__TEXT,__text) external _TclEvalObjEx
00000001ea8979a4 (__TEXT,__text) external _TclExpandCodeArray
00000001ea8afee0 (__TEXT,__text) external _TclExprFloatError
00000001ea8f6f70 (__TEXT,__text) external _TclFindElement
00000001ea8e50f0 (__TEXT,__text) external _TclFindProc
00000001ea8d8e68 (__TEXT,__text) external _TclFreeObj
00000001ea8e3410 (__TEXT,__text) external _TclFreePackageInfo
00000001ea905f70 (__TEXT,__text) external _TclGetAndDetachPids
00000001ea89a038 (__TEXT,__text) external _TclGetAuxDataType
00000001ea8a4e6c (__TEXT,__text) external _TclGetEnv
00000001ea8b26c8 (__TEXT,__text) external _TclGetExtension
00000001ea8e4cf4 (__TEXT,__text) external _TclGetFrame
00000001ea899f44 (__TEXT,__text) external _TclGetInstructionTable
00000001ea8f9350 (__TEXT,__text) external _TclGetIntForIndex
00000001ea8a1cd4 (__TEXT,__text) external _TclGetLibraryPath
00000001ea8cf7e0 (__TEXT,__text) external _TclGetLoadedPackages
00000001ea8b45ac (__TEXT,__text) external _TclGetLong
00000001ea8d1248 (__TEXT,__text) external _TclGetNamespaceForQualName
00000001ea8d2a8c (__TEXT,__text) external _TclGetNamespaceFromObj
00000001ea8e62fc (__TEXT,__text) external _TclGetObjInterpProc
00000001ea8f9b5c (__TEXT,__text) external _TclGetObjNameOfExecutable
00000001ea8c960c (__TEXT,__text) external _TclGetOpenMode
00000001ea8d27d4 (__TEXT,__text) external _TclGetOriginalCommand
00000001ea8f9bac (__TEXT,__text) external _TclGetPlatform
00000001ea8af664 (__TEXT,__text) external _TclGetSrcInfoForPc
00000001ea8cfad4 (__TEXT,__text) external _TclGetStartupScriptFileName
00000001ea8cfa98 (__TEXT,__text) external _TclGetStartupScriptPath
00000001ea9085c0 (__TEXT,__text) external _TclGuessPackageName
00000001ea8e4110 (__TEXT,__text) external _TclHandleCreate
00000001ea8e4140 (__TEXT,__text) external _TclHandleFree
00000001ea8e4154 (__TEXT,__text) external _TclHandlePreserve
00000001ea8e4164 (__TEXT,__text) external _TclHandleRelease
00000001ea8ce2e8 (__TEXT,__text) external _TclHideLiteral
00000001ea866d08 (__TEXT,__text) external _TclHideUnsafeCommands
00000001ea8a62d0 (__TEXT,__text) external _TclInExit
00000001ea8a62dc (__TEXT,__text) external _TclInThreadExit
00000001ea8e51a0 (__TEXT,__text) external _TclInitCompiledLocals
00000001ea8fb2e4 (__TEXT,__text) external _TclInitVarHashTable
00000001ea8b5c50 (__TEXT,__text) external _TclInterpInit
00000001ea8668c8 (__TEXT,__text) external _TclInvokeObjectCommand
00000001ea867aa4 (__TEXT,__text) external _TclInvokeStringCommand
00000001ea8e5150 (__TEXT,__text) external _TclIsProc
00000001ea8cd99c (__TEXT,__text) external _TclListObjSetElement
00000001ea8fa3dc (__TEXT,__text) external _TclLookupVar
00000001ea909140 (__TEXT,__text) external _TclMacOSXCopyFileAttributes
00000001ea908ae0 (__TEXT,__text) external _TclMacOSXGetFileAttribute
00000001ea909178 (__TEXT,__text) external _TclMacOSXMatchType
00000001ea909cbc (__TEXT,__text) external _TclMacOSXNotifierAddRunLoopMode
00000001ea908d40 (__TEXT,__text) external _TclMacOSXSetFileAttribute
00000001ea8f8ba8 (__TEXT,__text) external _TclNeedSpace
00000001ea8e6310 (__TEXT,__text) external _TclNewProcBodyObj
00000001ea8d9008 (__TEXT,__text) external _TclObjBeingDeleted
00000001ea8dd6cc (__TEXT,__text) external _TclObjCommandComplete
00000001ea8e4df4 (__TEXT,__text) external _TclObjGetFrame
00000001ea8e4c70 (__TEXT,__text) external _TclObjInterpProc
00000001ea8e56d0 (__TEXT,__text) external _TclObjInterpProcCore
00000001ea86b10c (__TEXT,__text) external _TclObjInvoke
00000001ea8fa4d4 (__TEXT,__text) external _TclObjLookupVar
00000001ea8d0e54 (__TEXT,__text) external _TclPopStackFrame
00000001ea8f9210 (__TEXT,__text) external _TclPrecTraceProc
00000001ea8b8738 (__TEXT,__text) external _TclPreventAliasLoop
00000001ea8e5e60 (__TEXT,__text) external _TclProcCleanupProc
00000001ea8e6000 (__TEXT,__text) external _TclProcCompileProc
00000001ea8e4cdc (__TEXT,__text) external _TclProcDeleteProc
00000001ea8fde74 (__TEXT,__text) external _TclPtrMakeUpvar
00000001ea8d0dfc (__TEXT,__text) external _TclPushStackFrame
00000001ea8e75e8 (__TEXT,__text) external _TclRegAbout
00000001ea8e76bc (__TEXT,__text) external _TclRegError
00000001ea8e72dc (__TEXT,__text) external _TclRegExpRangeUniChar
00000001ea867b4c (__TEXT,__text) external _TclRenameCommand
00000001ea8d28d0 (__TEXT,__text) external _TclResetShadowedCmdRefs
00000001ea8f169c (__TEXT,__text) external _TclServiceIdle
00000001ea8964dc (__TEXT,__text) external _TclSetByteCodeFromAny
00000001ea8a1ce0 (__TEXT,__text) external _TclSetLibraryPath
00000001ea8d52c0 (__TEXT,__text) external _TclSetNsPath
00000001ea8f9b48 (__TEXT,__text) external _TclSetObjNameOfExecutable
00000001ea8b5bd8 (__TEXT,__text) external _TclSetPreInitScript
00000001ea8cfaa4 (__TEXT,__text) external _TclSetStartupScriptFileName
00000001ea8cfa90 (__TEXT,__text) external _TclSetStartupScriptPath
00000001ea8a46c0 (__TEXT,__text) external _TclSetupEnv
00000001ea8c7d60 (__TEXT,__text) external _TclSockGetPort
00000001ea8c7e88 (__TEXT,__text) external _TclSockMinimumBuffers
00000001ea8a69d4 (__TEXT,__text) external _TclStackAlloc
00000001ea8a68e8 (__TEXT,__text) external _TclStackFree
00000001ea8d165c (__TEXT,__text) external _TclTeardownNamespace
00000001ea8f10dc (__TEXT,__text) external _TclTomMathInitializeStubs
00000001ea89d620 (__TEXT,__text) external _TclTraceDictPath
00000001ea8f696c (__TEXT,__text) external _TclUniCharMatch
00000001ea9033ac (__TEXT,__text) external _TclUnixCopyFile
00000001ea90aa5c (__TEXT,__text) external _TclUnixWaitForFile
00000001ea8e5f88 (__TEXT,__text) external _TclUpdateReturnInfo
00000001ea8fec74 (__TEXT,__text) external _TclVarErrMsg
00000001ea8fa1a0 (__TEXT,__text) external _TclVarHashCreateVar
00000001ea8f3918 (__TEXT,__text) external _TclVarTraceExists
00000001ea8c8090 (__TEXT,__text) external _Tcl_Access
00000001ea86b448 (__TEXT,__text) external _Tcl_AddErrorInfo
00000001ea8e78ec (__TEXT,__text) external _Tcl_AddInterpResolvers
00000001ea86b354 (__TEXT,__text) external _Tcl_AddObjErrorInfo
00000001ea909e94 (__TEXT,__text) external _Tcl_AlertNotifier
00000001ea86e928 (__TEXT,__text) external _Tcl_Alloc
00000001ea8b4428 (__TEXT,__text) external _Tcl_AllocStatBuf
00000001ea86b5e0 (__TEXT,__text) external _Tcl_AllowExceptions
00000001ea8d8bc4 (__TEXT,__text) external _Tcl_AppendAllObjTypes
00000001ea8e8528 (__TEXT,__text) external _Tcl_AppendElement
00000001ea8d1a60 (__TEXT,__text) external _Tcl_AppendExportList
00000001ea8ebd9c (__TEXT,__text) external _Tcl_AppendFormatToObj
00000001ea8eb338 (__TEXT,__text) external _Tcl_AppendLimitedToObj
00000001ea86a38c (__TEXT,__text) external _Tcl_AppendObjToErrorInfo
00000001ea8eb9e0 (__TEXT,__text) external _Tcl_AppendObjToObj
00000001ea8ecf74 (__TEXT,__text) external _Tcl_AppendPrintfToObj
00000001ea8e84fc (__TEXT,__text) external _Tcl_AppendResult
00000001ea8e848c (__TEXT,__text) external _Tcl_AppendResultVA
00000001ea8ebd70 (__TEXT,__text) external _Tcl_AppendStringsToObj
00000001ea8ebb4c (__TEXT,__text) external _Tcl_AppendStringsToObjVA
00000001ea8eb6d0 (__TEXT,__text) external _Tcl_AppendToObj
00000001ea8eb6dc (__TEXT,__text) external _Tcl_AppendUnicodeToObj
00000001ea865a9c (__TEXT,__text) external _Tcl_AsyncCreate
00000001ea865c60 (__TEXT,__text) external _Tcl_AsyncDelete
00000001ea865b98 (__TEXT,__text) external _Tcl_AsyncInvoke
00000001ea865b34 (__TEXT,__text) external _Tcl_AsyncMark
00000001ea865d48 (__TEXT,__text) external _Tcl_AsyncReady
00000001ea86e9e4 (__TEXT,__text) external _Tcl_AttemptAlloc
00000001ea86e9e8 (__TEXT,__text) external _Tcl_AttemptDbCkalloc
00000001ea86eaac (__TEXT,__text) external _Tcl_AttemptDbCkrealloc
00000001ea86eaa8 (__TEXT,__text) external _Tcl_AttemptRealloc
00000001ea8eb118 (__TEXT,__text) external _Tcl_AttemptSetObjLength
00000001ea8a4fc8 (__TEXT,__text) external _Tcl_BackgroundError
00000001ea8f7d04 (__TEXT,__text) external _Tcl_Backslash
00000001ea8befac (__TEXT,__text) external _Tcl_BadChannelOption
00000001ea866ed0 (__TEXT,__text) external _Tcl_CallWhenDeleted
00000001ea8f15f4 (__TEXT,__text) external _Tcl_CancelIdleCall
00000001ea8c0cac (__TEXT,__text) external _Tcl_ChannelBlockModeProc
00000001ea8bef0c (__TEXT,__text) external _Tcl_ChannelBuffered
00000001ea8c0d2c (__TEXT,__text) external _Tcl_ChannelClose2Proc
00000001ea8c0d24 (__TEXT,__text) external _Tcl_ChannelCloseProc
00000001ea8c0d6c (__TEXT,__text) external _Tcl_ChannelFlushProc
00000001ea8c0d64 (__TEXT,__text) external _Tcl_ChannelGetHandleProc
00000001ea8c0d54 (__TEXT,__text) external _Tcl_ChannelGetOptionProc
00000001ea8bf958 (__TEXT,__text) external _Tcl_ChannelHandlerProc
00000001ea8c0d34 (__TEXT,__text) external _Tcl_ChannelInputProc
00000001ea8bf75c (__TEXT,__text) external _Tcl_ChannelName
00000001ea8c0d3c (__TEXT,__text) external _Tcl_ChannelOutputProc
00000001ea8c0d44 (__TEXT,__text) external _Tcl_ChannelSeekProc
00000001ea8c0d4c (__TEXT,__text) external _Tcl_ChannelSetOptionProc
00000001ea8bb628 (__TEXT,__text) external _Tcl_ChannelThreadActionProc
00000001ea8bee44 (__TEXT,__text) external _Tcl_ChannelTruncateProc
00000001ea8c0c48 (__TEXT,__text) external _Tcl_ChannelVersion
00000001ea8c0d5c (__TEXT,__text) external _Tcl_ChannelWatchProc
00000001ea8c0de4 (__TEXT,__text) external _Tcl_ChannelWideSeekProc
00000001ea8c8354 (__TEXT,__text) external _Tcl_Chdir
00000001ea8bc1cc (__TEXT,__text) external _Tcl_ClearChannelHandlers
00000001ea8ba55c (__TEXT,__text) external _Tcl_Close
00000001ea8dd5bc (__TEXT,__text) external _Tcl_CommandComplete
00000001ea8f2a58 (__TEXT,__text) external _Tcl_CommandTraceInfo
00000001ea8f7d4c (__TEXT,__text) external _Tcl_Concat
00000001ea8f7ec4 (__TEXT,__text) external _Tcl_ConcatObj
00000001ea8efd38 (__TEXT,__text) external _Tcl_ConditionFinalize
00000001ea907e58 (__TEXT,__text) external _Tcl_ConditionNotify
00000001ea907d3c (__TEXT,__text) external _Tcl_ConditionWait
00000001ea8f79d4 (__TEXT,__text) external _Tcl_ConvertCountedElement
00000001ea8f79c4 (__TEXT,__text) external _Tcl_ConvertElement
00000001ea8d8d04 (__TEXT,__text) external _Tcl_ConvertToType
00000001ea8b82b8 (__TEXT,__text) external _Tcl_CreateAlias
00000001ea8b841c (__TEXT,__text) external _Tcl_CreateAliasObj
00000001ea8bb1fc (__TEXT,__text) external _Tcl_CreateChannel
00000001ea8bf9d0 (__TEXT,__text) external _Tcl_CreateChannelHandler
00000001ea8baa68 (__TEXT,__text) external _Tcl_CreateCloseHandler
00000001ea8677ac (__TEXT,__text) external _Tcl_CreateCommand
00000001ea8a1fd0 (__TEXT,__text) external _Tcl_CreateEncoding
00000001ea8d54d8 (__TEXT,__text) external _Tcl_CreateEnsemble
00000001ea8d7780 (__TEXT,__text) external _Tcl_CreateEventSource
00000001ea8a5c5c (__TEXT,__text) external _Tcl_CreateExitHandler
00000001ea90a1d4 (__TEXT,__text) external _Tcl_CreateFileHandler
00000001ea8b497c (__TEXT,__text) external _Tcl_CreateHashEntry
00000001ea866108 (__TEXT,__text) external _Tcl_CreateInterp
00000001ea8683a4 (__TEXT,__text) external _Tcl_CreateMathFunc
00000001ea8d0e94 (__TEXT,__text) external _Tcl_CreateNamespace
00000001ea866a1c (__TEXT,__text) external _Tcl_CreateObjCommand
00000001ea8f3658 (__TEXT,__text) external _Tcl_CreateObjTrace
00000001ea8b8a3c (__TEXT,__text) external _Tcl_CreateSlave
00000001ea8a654c (__TEXT,__text) external _Tcl_CreateThread
00000001ea8a5e84 (__TEXT,__text) external _Tcl_CreateThreadExitHandler
00000001ea8f120c (__TEXT,__text) external _Tcl_CreateTimerHandler
00000001ea8f36ec (__TEXT,__text) external _Tcl_CreateTrace
00000001ea8bbb10 (__TEXT,__text) external _Tcl_CutChannel
00000001ea8f89b0 (__TEXT,__text) external _Tcl_DStringAppend
00000001ea8f8a84 (__TEXT,__text) external _Tcl_DStringAppendElement
00000001ea8f8ef8 (__TEXT,__text) external _Tcl_DStringEndSublist
00000001ea8f8ccc (__TEXT,__text) external _Tcl_DStringFree
00000001ea8f8d9c (__TEXT,__text) external _Tcl_DStringGetResult
00000001ea8f8994 (__TEXT,__text) external _Tcl_DStringInit
00000001ea8f8d14 (__TEXT,__text) external _Tcl_DStringResult
00000001ea8f8c34 (__TEXT,__text) external _Tcl_DStringSetLength
00000001ea8f8e98 (__TEXT,__text) external _Tcl_DStringStartSublist
00000001ea86e974 (__TEXT,__text) external _Tcl_DbCkalloc
00000001ea86eab4 (__TEXT,__text) external _Tcl_DbCkfree
00000001ea86ea38 (__TEXT,__text) external _Tcl_DbCkrealloc
00000001ea8da72c (__TEXT,__text) external _Tcl_DbDecrRefCount
00000001ea8da71c (__TEXT,__text) external _Tcl_DbIncrRefCount
00000001ea8da744 (__TEXT,__text) external _Tcl_DbIsShared
00000001ea8da2d4 (__TEXT,__text) external _Tcl_DbNewBignumObj
00000001ea8d91e8 (__TEXT,__text) external _Tcl_DbNewBooleanObj
00000001ea86c9f8 (__TEXT,__text) external _Tcl_DbNewByteArrayObj
00000001ea89e25c (__TEXT,__text) external _Tcl_DbNewDictObj
00000001ea8d97cc (__TEXT,__text) external _Tcl_DbNewDoubleObj
00000001ea8cc89c (__TEXT,__text) external _Tcl_DbNewListObj
00000001ea8d9ce4 (__TEXT,__text) external _Tcl_DbNewLongObj
00000001ea8d8de0 (__TEXT,__text) external _Tcl_DbNewObj
00000001ea8ea978 (__TEXT,__text) external _Tcl_DbNewStringObj
00000001ea8d9ea4 (__TEXT,__text) external _Tcl_DbNewWideIntObj
00000001ea8670e8 (__TEXT,__text) external _Tcl_DeleteAssocData
00000001ea8bfaa0 (__TEXT,__text) external _Tcl_DeleteChannelHandler
00000001ea8baab0 (__TEXT,__text) external _Tcl_DeleteCloseHandler
00000001ea868344 (__TEXT,__text) external _Tcl_DeleteCommand
00000001ea867974 (__TEXT,__text) external _Tcl_DeleteCommandFromToken
00000001ea8d77dc (__TEXT,__text) external _Tcl_DeleteEventSource
00000001ea8d7a40 (__TEXT,__text) external _Tcl_DeleteEvents
00000001ea8a5d3c (__TEXT,__text) external _Tcl_DeleteExitHandler
00000001ea90a41c (__TEXT,__text) external _Tcl_DeleteFileHandler
00000001ea8b4c80 (__TEXT,__text) external _Tcl_DeleteHashEntry
00000001ea8b4dc0 (__TEXT,__text) external _Tcl_DeleteHashTable
00000001ea8671c0 (__TEXT,__text) external _Tcl_DeleteInterp
00000001ea8d0bf4 (__TEXT,__text) external _Tcl_DeleteNamespace
00000001ea8a5edc (__TEXT,__text) external _Tcl_DeleteThreadExitHandler
00000001ea8f14e0 (__TEXT,__text) external _Tcl_DeleteTimerHandler
00000001ea8f3834 (__TEXT,__text) external _Tcl_DeleteTrace
00000001ea8baf40 (__TEXT,__text) external _Tcl_DetachChannel
00000001ea8e06e8 (__TEXT,__text) external _Tcl_DetachPids
00000001ea89de20 (__TEXT,__text) external _Tcl_DictObjDone
00000001ea89dc90 (__TEXT,__text) external _Tcl_DictObjFirst
00000001ea89da70 (__TEXT,__text) external _Tcl_DictObjGet
00000001ea89dd68 (__TEXT,__text) external _Tcl_DictObjNext
00000001ea89d8f0 (__TEXT,__text) external _Tcl_DictObjPut
00000001ea89df10 (__TEXT,__text) external _Tcl_DictObjPutKeyList
00000001ea89dae8 (__TEXT,__text) external _Tcl_DictObjRemove
00000001ea89e0ec (__TEXT,__text) external _Tcl_DictObjRemoveKeyList
00000001ea89dc3c (__TEXT,__text) external _Tcl_DictObjSize
00000001ea8e7ed4 (__TEXT,__text) external _Tcl_DiscardInterpState
00000001ea8e81cc (__TEXT,__text) external _Tcl_DiscardResult
00000001ea8d7d78 (__TEXT,__text) external _Tcl_DoOneEvent
00000001ea8f1578 (__TEXT,__text) external _Tcl_DoWhenIdle
00000001ea866fc4 (__TEXT,__text) external _Tcl_DontCallWhenDeleted
00000001ea86ead4 (__TEXT,__text) external _Tcl_DumpActiveMemory
