0000000225094298 (__TEXT,__text) non-external _DiToMD5
000000022508220c (__TEXT,__text) external _OSDictionaryGetCount
00000002250829f8 (__TEXT,__text) external _OSDictionaryGetStringValue
0000000225082c00 (__TEXT,__text) external _OSDictionaryGetUInt64Value
0000000225082958 (__TEXT,__text) external _OSDictionaryGetValue
0000000225082b7c (__TEXT,__text) external _OSDictionarySetStringValue
0000000225082cc8 (__TEXT,__text) external _OSDictionarySetUInt64Value
0000000225082584 (__TEXT,__text) external _OSDictionarySetValue
00000002969140f0 (__AUTH_CONST,__const) external _OSDictionary_Class
00000002969141e8 (__AUTH_CONST,__const) external _OSMappedFile_Class
0000000225082118 (__TEXT,__text) external _OSNumberCreateWithUInt64Value
00000002250820f0 (__TEXT,__text) external _OSNumberGetUInt64Value
00000002969142e0 (__AUTH_CONST,__const) external _OSNumber_Class
0000000225084524 (__TEXT,__text) external _OSObjectLog
0000000225080ca0 (__TEXT,__text) external _OSObjectRelease
0000000225080c7c (__TEXT,__text) external _OSObjectRetain
00000002969143d8 (__AUTH_CONST,__const) external _OSObject_Class
0000000296914588 (__AUTH_CONST,__const) external _OSOrderedSet_Class
00000002250744e4 (__TEXT,__text) external _OSReportWithBacktrace
0000000225084094 (__TEXT,__text) external _OSSerializationGetBytes
0000000296914680 (__AUTH_CONST,__const) external _OSSerialization_Class
0000000296914778 (__AUTH_CONST,__const) external _OSSet_Class
0000000225081868 (__TEXT,__text) external _OSStringCreate
00000002250a7e48 (__TEXT,__text) non-external _OSStringCreate.cold.1
00000002250a7e74 (__TEXT,__text) non-external _OSStringCreate.cold.2
00000002250a7ea0 (__TEXT,__text) non-external _OSStringCreate.cold.3
0000000225081814 (__TEXT,__text) external _OSStringGetLength
00000002250817d8 (__TEXT,__text) external _OSStringGetStringPtr
0000000296914870 (__AUTH_CONST,__const) external _OSString_Class
0000000225073fb4 (__TEXT,__text) external _OSSynchronizeIO
0000000294d5b728 (__DATA_DIRTY,__bss) non-external _OSUniqueStrings
00000002250748c8 (__TEXT,__text) external _PE_i_can_has_debugger
0000000225094790 (__TEXT,__text) external _SHA1Final
0000000225094518 (__TEXT,__text) external _SHA1Init
0000000225094718 (__TEXT,__text) non-external _SHA1ToDi
0000000225094640 (__TEXT,__text) external _SHA1Update
0000000225095288 (__TEXT,__text) external _SHA256_Final
00000002250951e8 (__TEXT,__text) external _SHA256_Init
00000002250a8f2c (__TEXT,__text) non-external _SHA256_Init.cold.1
0000000225095238 (__TEXT,__text) external _SHA256_Update
000000022509536c (__TEXT,__text) external _SHA384_Final
00000002250952cc (__TEXT,__text) external _SHA384_Init
00000002250a8f54 (__TEXT,__text) non-external _SHA384_Init.cold.1
000000022509531c (__TEXT,__text) external _SHA384_Update
0000000225095450 (__TEXT,__text) external _SHA512_Final
00000002250953b0 (__TEXT,__text) external _SHA512_Init
00000002250a8f7c (__TEXT,__text) non-external _SHA512_Init.cold.1
0000000225095400 (__TEXT,__text) external _SHA512_Update
                 (undefined) external __Block_copy (from libSystem)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __Block_release (from libSystem)
0000000225075570 (__TEXT,__text) non-external __GLOBAL__sub_I_IOLib.cpp
0000000225095494 (__TEXT,__text) non-external __GLOBAL__sub_I_ObjectIntrospection.mm
0000000296914968 (__AUTH_CONST,__const) external __IOBlockStorageDevice_Class
0000000290a4b2b0 (__DATA,__bss) non-external __MergedGlobals
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __NSGetExecutablePath (from libSystem)
00000002250758e8 (__TEXT,__text) non-external (was a private external) __Z11OSFindClassP18IOUserServer_IVarsPKc
00000002250a622c (__TEXT,__text) non-external __Z11OSFindClassP18IOUserServer_IVarsPKc.cold.1
00000002250776c0 (__TEXT,__text) non-external (was a private external) __Z11ThreadStartPFPvS_ES_
00000002250a69f4 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.1
00000002250a6a20 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.2
00000002250a6a4c (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.3
00000002250a6a78 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.4
00000002250a6aa4 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.5
00000002250764b4 (__TEXT,__text) non-external (was a private external) __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC
00000002250a6600 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.1
00000002250a662c (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.2
00000002250a6658 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.3
00000002250a6684 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.4
0000000225075bfc (__TEXT,__text) non-external (was a private external) __Z12OSObjectFreeP15OSMetaClassBase
00000002250a62dc (__TEXT,__text) non-external __Z12OSObjectFreeP15OSMetaClassBase.cold.1
0000000225083270 (__TEXT,__text) non-external (was a private external) __Z15OSArrayGetEntryP7OSArraym
0000000225086448 (__TEXT,__text) non-external (was a private external) __Z15OSBooleanCreatev
000000022507573c (__TEXT,__text) non-external (was a private external) __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass
00000002250a61a8 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.1
00000002250a61d4 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.2
00000002250a6200 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.3
00000002250833e4 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetStringP7OSArraym
0000000225083494 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetUInt64P7OSArraym
0000000225083410 (__TEXT,__text) non-external (was a private external) __Z16OSArraySetStringP7OSArraymPKc
000000022507595c (__TEXT,__text) external __Z16OSObjectAllocateP11OSMetaClassPP8OSObject
0000000225083898 (__TEXT,__text) non-external (was a private external) __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry
00000002250a82c0 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.1
00000002250a82ec (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.2
00000002250a8318 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.3
00000002250a8344 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.4
00000002250a8370 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.5
00000002250a839c (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.6
0000000225073b18 (__TEXT,__text) external __Z16OSUnserializeXMLPKcPP8OSString
0000000225073c6c (__TEXT,__text) external __Z16OSUnserializeXMLPKcmPP8OSString
0000000225075f1c (__TEXT,__text) external __Z17OSObjectTryRetainP8OSObject
00000002250a6334 (__TEXT,__text) non-external __Z17OSObjectTryRetainP8OSObject.cold.1
0000000225076090 (__TEXT,__text) non-external (was a private external) __Z17SearchMethodArrayyPKyjPy
0000000225077b04 (__TEXT,__text) non-external (was a private external) __Z18OSLoadBundleByPathP18IOUserServer_IVarsPKc
00000002250756a8 (__TEXT,__text) non-external (was a private external) __Z18OSStringArrayIndexP10IOPStringsPKc
00000002250755e8 (__TEXT,__text) non-external (was a private external) __Z19OSCopyInStringArrayPKcj
00000002250840b0 (__TEXT,__text) non-external (was a private external) __Z19OSObjectLogInternalP8OSObjectj
00000002250a844c (__TEXT,__text) non-external __Z19OSObjectLogInternalP8OSObjectj.cold.1
0000000225075b0c (__TEXT,__text) non-external (was a private external) __Z20OSObjectPortFinalizeP15OSMetaClassBase
00000002250a6284 (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.1
00000002250a62b0 (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.2
0000000225080d4c (__TEXT,__text) non-external (was a private external) __Z20OSSerializationValueP15OSSerializationj
00000002250a7d40 (__TEXT,__text) non-external __Z20OSSerializationValueP15OSSerializationj.cold.1
0000000225080cc4 (__TEXT,__text) non-external (was a private external) __Z21OSSerializationTypeIDj
00000002250a7ce8 (__TEXT,__text) non-external __Z21OSSerializationTypeIDj.cold.1
0000000225072a84 (__TEXT,__text) non-external (was a private external) __Z21OSUnserializeXMLparsePv
0000000225081e38 (__TEXT,__text) non-external (was a private external) __Z23OSSerializationGetBytesPKjPvmm
0000000225083540 (__TEXT,__text) non-external (was a private external) __Z26OSSerializationAppendBytesP15OSSerializationPKvm
00000002250a8058 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.1
00000002250a8084 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.2
00000002250a80b0 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.3
00000002250a80dc (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.4
00000002250a8108 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.5
0000000225081e00 (__TEXT,__text) non-external (was a private external) __Z26OSSerializationGetBytesPtrPKjmm
00000002250820cc (__TEXT,__text) non-external (was a private external) __Z29OSSerializationGetUInt64ValuePKj
0000000225083684 (__TEXT,__text) non-external (was a private external) __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry
00000002250a8134 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.1
00000002250a8160 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.2
00000002250a818c (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.3
0000000225077ab4 (__TEXT,__text) non-external (was a private external) __Z7astrcpyPKc
0000000225076f68 (__TEXT,__text) non-external __ZL10IORPCAsyncPv
00000002250a49c0 (__TEXT,__text) non-external __ZL10OSData_NewP11OSMetaClass
00000002250739e8 (__TEXT,__text) non-external __ZL10buildArrayP12parser_stateP6object
0000000225074db0 (__TEXT,__text) non-external __ZL10getHexDataP12parser_statePj
00000002250a6124 (__TEXT,__text) non-external __ZL10getHexDataP12parser_statePj.cold.1
0000000225080708 (__TEXT,__text) non-external __ZL10uiomessagePv
00000002250a47d0 (__TEXT,__text) non-external __ZL11OSArray_NewP11OSMetaClass
000000022508560c (__TEXT,__text) non-external __ZL11OSSetCreatev
00000002250a9bb0 (__TEXT,__const) non-external __ZL11yytranslate
00000002250a5e70 (__TEXT,__text) non-external __ZL12IOThread_NewP11OSMetaClass
00000002250a40dc (__TEXT,__text) non-external __ZL12OSAction_NewP11OSMetaClass
00000002250a48c0 (__TEXT,__text) non-external __ZL12OSBundle_NewP11OSMetaClass
00000002250a4b18 (__TEXT,__text) non-external __ZL12OSNumber_NewP11OSMetaClass
00000002250a4b80 (__TEXT,__text) non-external __ZL12OSObject_NewP11OSMetaClass
0000000225081bb4 (__TEXT,__text) non-external __ZL12OSStringFindjU13block_pointerFbP8OSStringE
0000000225081b64 (__TEXT,__text) non-external __ZL12OSStringHashPKcm
00000002250a7ecc (__TEXT,__text) non-external __ZL12OSStringHashPKcm.cold.1
00000002250a533c (__TEXT,__text) non-external __ZL12OSString_NewP11OSMetaClass
0000000225095a3c (__TEXT,__text) non-external __ZL13IOCommand_NewP11OSMetaClass
000000022509b53c (__TEXT,__text) non-external __ZL13IOService_NewP11OSMetaClass
000000022507eff0 (__TEXT,__text) non-external __ZL13IOThreadStartPv
00000002250a79d0 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.1
00000002250a79fc (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.2
00000002250a7a28 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.3
00000002250a4858 (__TEXT,__text) non-external __ZL13OSBoolean_NewP11OSMetaClass
000000022509b334 (__TEXT,__text) non-external __ZL14IOReporter_NewP11OSMetaClass
000000022507920c (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si
00000002250a72c4 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.1
00000002250a72f0 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.2
00000002250a731c (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.3
00000002250a7348 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.4
0000000225098518 (__TEXT,__text) non-external __ZL15IOEventLink_NewP11OSMetaClass
000000022509b014 (__TEXT,__text) non-external __ZL15IOMemoryMap_NewP11OSMetaClass
00000002250a39e4 (__TEXT,__text) non-external __ZL15IOWorkGroup_NewP11OSMetaClass
00000002250a4958 (__TEXT,__text) non-external __ZL15OSContainer_NewP11OSMetaClass
00000002250778fc (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb
00000002250a6c04 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.1
00000002250a6c30 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.2
00000002250a6c5c (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.3
00000002250a6c88 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.4
000000022507877c (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc
00000002250a7048 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.1
00000002250a7088 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.2
00000002250a70b4 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.3
00000002250a70e0 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.4
0000000225080108 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject
00000002250a7b04 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.1
00000002250a7b30 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.2
00000002250a7b5c (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.3
00000002250a7b88 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.4
00000002250a7bb4 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.5
00000002250a7be0 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.6
00000002250a7c0c (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.7
0000000290a4b2c8 (__DATA,__bss) non-external __ZL15gIOThreadTLSKey
0000000225095b2c (__TEXT,__text) non-external __ZL16IODMACommand_NewP11OSMetaClass
00000002250a212c (__TEXT,__text) non-external __ZL16IOUserClient_NewP11OSMetaClass
00000002250a316c (__TEXT,__text) non-external __ZL16IOUserServer_NewP11OSMetaClass
00000002250a4928 (__TEXT,__text) non-external __ZL16OSCollection_NewP11OSMetaClass
00000002250800a0 (__TEXT,__text) non-external __ZL16OSConsumeObjectsP16IORPCMessageMachb
00000002250777a4 (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb
00000002250a6ad0 (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.1
00000002250a6afc (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.2
00000002250a6b28 (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.3
00000002250a6b54 (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.4
00000002250a6b80 (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.5
00000002250a6bac (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.6
