000000018e1f2e84 (__TEXT,__text) non-external _Annihilate
000000018e1e7314 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCreateInstance
000000018e1e7428 (__TEXT,__text) non-external (was a private external) _BrotliEncoderDestroyInstance
000000018e1eb92c (__TEXT,__text) non-external (was a private external) _BrotliEncoderHasMoreOutput
000000018e1e9c44 (__TEXT,__text) non-external (was a private external) _BrotliEncoderIsFinished
000000018e1e7510 (__TEXT,__text) non-external (was a private external) _BrotliEncoderMaxCompressedSize
000000018e1e7230 (__TEXT,__text) non-external (was a private external) _BrotliEncoderSetParameter
000000018e1eb93c (__TEXT,__text) non-external (was a private external) _BrotliEncoderTakeOutput
000000018e1eb9a4 (__TEXT,__text) non-external (was a private external) _BrotliEncoderVersion
000000018e1fc7d4 (__TEXT,__text) non-external _BrotliEnsureRingBuffer
000000018e202d94 (__TEXT,__text) non-external (was a private external) _BrotliEstimateBitCostsForLiterals
000000018e226450 (__TEXT,__text) non-external (was a private external) _BrotliFindAllStaticDictionaryMatches
000000018e1f2d44 (__TEXT,__text) non-external (was a private external) _BrotliFree
000000018e1f4894 (__TEXT,__text) non-external (was a private external) _BrotliGetDictionary
000000018e21200c (__TEXT,__text) non-external (was a private external) _BrotliGetTransforms
000000018e20a0ac (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceCommand
000000018e20ac6c (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceDistance
000000018e2094ec (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceLiteral
000000018e209dd4 (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineCommand
000000018e20a994 (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineDistance
000000018e209214 (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineLiteral
000000018e20a2ac (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexCommand
000000018e20ae6c (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexDistance
000000018e2096ec (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexLiteral
000000018e20a140 (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapCommand
000000018e20ad00 (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapDistance
000000018e209580 (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapLiteral
000000018e1f9bd4 (__TEXT,__text) non-external (was a private external) _BrotliInitBitReader
000000018e1f599c (__TEXT,__text) non-external (was a private external) _BrotliInitBlockSplit
000000018e231108 (__TEXT,__text) non-external (was a private external) _BrotliInitDistanceParams
000000018e211f98 (__TEXT,__text) non-external (was a private external) _BrotliInitEncoderDictionary
000000018e1f2bb8 (__TEXT,__text) non-external (was a private external) _BrotliInitMemoryManager
000000018e20d840 (__TEXT,__text) non-external (was a private external) _BrotliInitZopfliNodes
000000018e228108 (__TEXT,__text) non-external (was a private external) _BrotliIsMostlyUTF8
000000018e232094 (__TEXT,__text) non-external (was a private external) _BrotliOptimizeHistograms
000000018e203ec8 (__TEXT,__text) non-external (was a private external) _BrotliOptimizeHuffmanCountsForRle
000000018e2174c0 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostCommand
000000018e2178d0 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostDistance
000000018e2170c8 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostLiteral
000000018e257f80 (__TEXT,__const) non-external _BrotliReverseBits.kLut
000000018e1f9c34 (__TEXT,__text) non-external (was a private external) _BrotliSafeReadBits32Slow
000000018e203b44 (__TEXT,__text) non-external (was a private external) _BrotliSetDepth
000000018e1f48a0 (__TEXT,__text) non-external (was a private external) _BrotliSetDictionaryData
000000018e1f59ec (__TEXT,__text) non-external (was a private external) _BrotliSplitBlock
000000018e213294 (__TEXT,__text) non-external (was a private external) _BrotliStoreHuffmanTree
000000018e28c2d8 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kHuffmanBitLengthHuffmanCodeBitLengths
000000018e28c2d2 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kHuffmanBitLengthHuffmanCodeSymbols
000000018e28c2c0 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kStorageOrder
000000018e213c9c (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlock
000000018e215dd8 (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlockFast
000000018e1f2598 (__TEXT,__text) non-external _BrotliStoreMetaBlockHeader
000000018e1f2598 (__TEXT,__text) non-external _BrotliStoreMetaBlockHeader
000000018e215440 (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlockTrivial
000000018e21619c (__TEXT,__text) non-external (was a private external) _BrotliStoreUncompressedMetaBlock
000000018e212018 (__TEXT,__text) non-external (was a private external) _BrotliTransformDictionaryWord
000000018e1f9be4 (__TEXT,__text) non-external (was a private external) _BrotliWarmupBitReader
000000018e1f2da0 (__TEXT,__text) non-external (was a private external) _BrotliWipeOutMemoryManager
000000018e20420c (__TEXT,__text) non-external (was a private external) _BrotliWriteHuffmanTree
000000018e20db74 (__TEXT,__text) non-external (was a private external) _BrotliZopfliComputeShortestPath
000000018e20d870 (__TEXT,__text) non-external (was a private external) _BrotliZopfliCreateCommands
000000018e2147ec (__TEXT,__text) non-external _BuildAndStoreBlockSwitchEntropyCodes
000000018e1f2a04 (__TEXT,__text) non-external _BuildAndStoreCommandPrefixCode
000000018e215744 (__TEXT,__text) non-external _BuildAndStoreHuffmanTree
000000018e1f2640 (__TEXT,__text) non-external _BuildAndStoreLiteralPrefixCode
000000018e2156a0 (__TEXT,__text) non-external _BuildHistograms
000000018e237d50 (__TEXT,__const) non-external _ChooseContextMap.kStaticContextMapContinuation
000000018e237e50 (__TEXT,__const) non-external _ChooseContextMap.kStaticContextMapSimpleUTF8
000000018e1eb9b0 (__TEXT,__text) non-external _ChooseDistanceParams
000000018e1f2c64 (__TEXT,__text) non-external _CollectGarbagePointers
000000018e2318bc (__TEXT,__text) non-external _ComputeDistanceCost
000000018e20f0c4 (__TEXT,__text) non-external _ComputeShortestPathFromNodes
000000018e232d38 (__TEXT,__text) non-external _ContextBlockSplitterFinishBlock
000000018e1fc1ec (__TEXT,__text) non-external _CopyUncompressedBlockToOutput
000000018e21ab8c (__TEXT,__text) non-external _CreateBackwardReferencesNH2
000000018e21b864 (__TEXT,__text) non-external _CreateBackwardReferencesNH3
000000018e223460 (__TEXT,__text) non-external _CreateBackwardReferencesNH35
000000018e21c368 (__TEXT,__text) non-external _CreateBackwardReferencesNH4
000000018e21f538 (__TEXT,__text) non-external _CreateBackwardReferencesNH40
000000018e22063c (__TEXT,__text) non-external _CreateBackwardReferencesNH41
000000018e221774 (__TEXT,__text) non-external _CreateBackwardReferencesNH42
000000018e21d1c0 (__TEXT,__text) non-external _CreateBackwardReferencesNH5
000000018e222948 (__TEXT,__text) non-external _CreateBackwardReferencesNH54
000000018e224208 (__TEXT,__text) non-external _CreateBackwardReferencesNH55
000000018e21e34c (__TEXT,__text) non-external _CreateBackwardReferencesNH6
000000018e225004 (__TEXT,__text) non-external _CreateBackwardReferencesNH65
000000018e1ecad0 (__TEXT,__text) non-external _DecideOverLiteralContextModeling
000000018e237c40 (__TEXT,__const) non-external _DecideOverLiteralContextModeling.lut
000000018e1fe48c (__TEXT,__text) non-external _DecodeCommandBlockSwitch
000000018e1fc398 (__TEXT,__text) non-external _DecodeContextMap
000000018e1fef00 (__TEXT,__text) non-external _DecodeDistanceBlockSwitch
000000018e1fe9c0 (__TEXT,__text) non-external _DecodeLiteralBlockSwitch
000000018e1fb184 (__TEXT,__text) non-external _DecodeMetaBlockLength
000000018e1fb6bc (__TEXT,__text) non-external _DecodeVarLenUint8
000000018e1f24fc (__TEXT,__text) non-external _EmitUncompressedMetaBlock
000000018e214c88 (__TEXT,__text) non-external _EncodeContextMap
000000018e1e9da0 (__TEXT,__text) non-external _EncodeData
000000018e20ef20 (__TEXT,__text) non-external _EvaluateNode
000000018e1ec3f4 (__TEXT,__text) non-external _ExtendLastCommand
000000018e258010 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
000000018e2956b8 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
000000018e1ec248 (__TEXT,__text) non-external _GetBrotliStorage
000000018e1ec2c4 (__TEXT,__text) non-external _GetHashTable
000000018e23234c (__TEXT,__text) non-external _InitBlockSplitterCommand
000000018e2324f4 (__TEXT,__text) non-external _InitBlockSplitterDistance
000000018e2321a8 (__TEXT,__text) non-external _InitBlockSplitterLiteral
000000018e237b40 (__TEXT,__const) non-external _InitCommandPrefixCodes.kDefaultCommandBits
000000018e2ae221 (__TEXT,__cstring) non-external _InitCommandPrefixCodes.kDefaultCommandCode
000000018e237ac0 (__TEXT,__const) non-external _InitCommandPrefixCodes.kDefaultCommandDepths
000000018e20e620 (__TEXT,__text) non-external _InitZopfliCostModel
000000018e1ebbf4 (__TEXT,__text) non-external _InitializeH5
000000018e1ebc34 (__TEXT,__text) non-external _InitializeH6
000000018e1e9c68 (__TEXT,__text) non-external _InjectFlushOrPushOutput
000000018e1fe044 (__TEXT,__text) non-external _InverseMoveToFrontTransform
000000018e205824 (__TEXT,__text) non-external _LZFSEIBootBufferCopy
000000018e2057d4 (__TEXT,__text) non-external _LZFSEIBootBufferPush
000000018e2056e4 (__TEXT,__text) non-external _LZFSEIBootBufferPushN
000000018e234104 (__TEXT,__text) non-external _MapStaticContexts
000000018e1ebf54 (__TEXT,__text) non-external _PrepareH35
000000018e1ebc8c (__TEXT,__text) non-external _PrepareH4
000000018e1ebda0 (__TEXT,__text) non-external _PrepareH40
000000018e1ebda0 (__TEXT,__text) non-external _PrepareH41
000000018e1ebe3c (__TEXT,__text) non-external _PrepareH42
000000018e1ebcf0 (__TEXT,__text) non-external _PrepareH5
000000018e1ebeec (__TEXT,__text) non-external _PrepareH54
000000018e1ec068 (__TEXT,__text) non-external _PrepareH55
000000018e1ebd40 (__TEXT,__text) non-external _PrepareH6
000000018e1ec124 (__TEXT,__text) non-external _PrepareH65
000000018e1fc880 (__TEXT,__text) non-external _ProcessCommands
000000018e1fb86c (__TEXT,__text) non-external _ReadHuffmanCode
000000018e1fe160 (__TEXT,__text) non-external _SafeDecodeCommandBlockSwitch
000000018e1febc0 (__TEXT,__text) non-external _SafeDecodeDistanceBlockSwitch
000000018e1fe64c (__TEXT,__text) non-external _SafeDecodeLiteralBlockSwitch
000000018e1fdf88 (__TEXT,__text) non-external _SafeDecodeSymbol
000000018e1fd288 (__TEXT,__text) non-external _SafeProcessCommands
000000018e1fb028 (__TEXT,__text) non-external _SaveErrorCode
000000018e2102e4 (__TEXT,__text) non-external _SetCost
000000018e212298 (__TEXT,__text) non-external _Shift
000000018e1eba08 (__TEXT,__text) non-external _ShouldCompress
000000018e22de74 (__TEXT,__text) non-external _ShouldCompress
000000018e1f284c (__TEXT,__text) non-external _ShouldMergeBlock
000000018e237c50 (__TEXT,__const) non-external _ShouldUseComplexStaticContextMap.kStaticContextMapComplexUTF8
000000018e1f2dfc (__TEXT,__text) non-external _SortPointers
000000018e2381c8 (__TEXT,__const) non-external _SortPointers.gaps
000000018e22e020 (__TEXT,__text) non-external _StoreCommands
000000018e28cfe8 (__TEXT,__const) non-external _StoreCommands.kInsertOffset
000000018e28cde8 (__TEXT,__const) non-external _StoreCommands.kNumExtraBits
000000018e2146b4 (__TEXT,__text) non-external _StoreCompressedMetaBlockHeader
000000018e215b4c (__TEXT,__text) non-external _StoreDataWithHuffmanCodes
000000018e215110 (__TEXT,__text) non-external _StoreSymbol
000000018e2152a4 (__TEXT,__text) non-external _StoreSymbolWithContext
000000018e214a74 (__TEXT,__text) non-external _StoreTrivialContextMap
000000018e21632c (__TEXT,__text) non-external _StoreVarLenUint8
000000018e1f29a4 (__TEXT,__text) non-external _UpdateBits
000000018e1ec3ac (__TEXT,__text) non-external _UpdateLastProcessedPos
000000018e20e7b8 (__TEXT,__text) non-external _UpdateNodes
000000018e1fddc4 (__TEXT,__text) non-external _WrapRingBuffer
000000018e1ec654 (__TEXT,__text) non-external _WriteMetaBlockInternal
000000018e1fb03c (__TEXT,__text) non-external _WriteRingBuffer
000000018e20e69c (__TEXT,__text) non-external _ZopfliCostModelSetFromLiteralCosts
                 (undefined) external __NSConcreteStackBlock (from libSystem)
000000018e238200 (__TEXT,__const) non-external __ZL21counter_get_quantizerPK12cosl_counter.lut
000000018e258420 (__TEXT,__const) non-external __ZL22lzma_copy_with_patternPhjj.repeat_off
000000018e258330 (__TEXT,__const) non-external __ZL22lzma_copy_with_patternPhjj.repeat_perm
00000001e4381a00 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
000000018e201904 (__TEXT,__text) non-external ___yzip_jobs_process_block_invoke
000000018e2940a8 (__TEXT,__const) non-external (was a private external) __dist_code
000000018e28c5d8 (__TEXT,__const) non-external (was a private external) __kBrotliContextLookupTable
000000018e237f60 (__TEXT,__const) non-external (was a private external) __kBrotliPrefixCodeRanges
000000018e2942a8 (__TEXT,__const) non-external (was a private external) __length_code
000000018e230df4 (__TEXT,__text) non-external (was a private external) __tr_align
000000018e1e15b8 (__TEXT,__text) non-external (was a private external) __tr_flush_block
000000018e1dfd3c (__TEXT,__text) non-external (was a private external) __tr_init
000000018e230cac (__TEXT,__text) non-external (was a private external) __tr_stored_block
000000018e231068 (__TEXT,__text) non-external (was a private external) __tr_tally
000000018e1dfc00 (__TEXT,__text) non-external (was a private external) _adler32
000000018e2367e0 (__TEXT,__text) non-external (was a private external) _adler32_vec
000000018e294a60 (__TEXT,__const) non-external _base_dist
000000018e2949ec (__TEXT,__const) non-external _base_length
000000018e230fd8 (__TEXT,__text) non-external _bi_flush
000000018e1e2a18 (__TEXT,__text) non-external _bi_windup
000000018e2949d8 (__TEXT,__const) non-external _bl_order
000000018e28c370 (__TEXT,__const) non-external _breverse.brev8
000000018e22f150 (__TEXT,__text) non-external (was a private external) _brotli_decode_buffer
000000018e22f198 (__TEXT,__text) non-external (was a private external) _brotli_encode_buffer
000000018e22f374 (__TEXT,__text) non-external (was a private external) _brotli_stream_end
000000018e22f2a4 (__TEXT,__text) non-external (was a private external) _brotli_stream_init
000000018e22f1e4 (__TEXT,__text) non-external (was a private external) _brotli_stream_process
000000018e1e1b10 (__TEXT,__text) non-external _build_tree
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _close (from libSystem)
000000018e22f0b0 (__TEXT,__text) non-external (was a private external) _codecGetFooterID
000000018e22e72c (__TEXT,__text) non-external (was a private external) _codecReadHeader
000000018e22f014 (__TEXT,__text) non-external (was a private external) _codecResetModel
000000018e22ebc0 (__TEXT,__text) non-external (was a private external) _codecWriteHeader
000000018e1e2658 (__TEXT,__text) non-external _compress_block
000000018e1e4268 (__TEXT,__text) external _compression_decode_buffer
000000018e1e4174 (__TEXT,__text) external _compression_decode_scratch_buffer_size
000000018e2283c0 (__TEXT,__text) external _compression_encode_buffer
000000018e228278 (__TEXT,__text) external _compression_encode_scratch_buffer_size
000000018e1e2c1c (__TEXT,__text) external _compression_stream_destroy
000000018e202c7c (__TEXT,__text) external _compression_stream_get_decode_state_size
000000018e202c2c (__TEXT,__text) external _compression_stream_get_encode_state_size
000000018e202bdc (__TEXT,__text) external _compression_stream_get_state_size
000000018e202b48 (__TEXT,__text) external _compression_stream_identify_algorithm
000000018e1df640 (__TEXT,__text) external _compression_stream_init
000000018e202b08 (__TEXT,__text) external _compression_stream_init_with_state_buffer
000000018e202ccc (__TEXT,__text) external _compression_stream_is_state_valid
000000018e1dfd8c (__TEXT,__text) external _compression_stream_process
000000018e1e4bc0 (__TEXT,__text) external _compression_stream_reinit
00000001ebd67700 (__AUTH_CONST,__const) non-external _configuration_table
000000018e208c94 (__TEXT,__text) non-external _convert_row_16to8
000000018e208c1c (__TEXT,__text) non-external _convert_row_8to16
000000018e208a74 (__TEXT,__text) non-external _convert_row_GUVAtoRGBA8888
000000018e208744 (__TEXT,__text) non-external _convert_row_GUVtoRGB888
000000018e208f20 (__TEXT,__text) non-external _convert_row_PlanarRGtoRG
000000018e208d14 (__TEXT,__text) non-external _convert_row_RG88toRG
000000018e2085c8 (__TEXT,__text) non-external _convert_row_RGB888toGUV
000000018e2088e0 (__TEXT,__text) non-external _convert_row_RGBA8888toGUVA
000000018e208e7c (__TEXT,__text) non-external _convert_row_RGtoPlanarRG
000000018e208dc4 (__TEXT,__text) non-external _convert_row_RGtoRG88
000000018e208d0c (__TEXT,__text) non-external _convert_row_copy16
000000018e207adc (__TEXT,__text) non-external (was a private external) _convert_row_to_lsb
000000018e207a7c (__TEXT,__text) non-external (was a private external) _convert_row_to_msb
000000018e2083b0 (__TEXT,__text) non-external _convert_rows_from_bayer16
000000018e208198 (__TEXT,__text) non-external _convert_rows_from_bayer8
000000018e207cc8 (__TEXT,__text) non-external _convert_rows_from_quadra8
000000018e2084b0 (__TEXT,__text) non-external _convert_rows_to_bayer16
000000018e2082a4 (__TEXT,__text) non-external _convert_rows_to_bayer8
000000018e207f30 (__TEXT,__text) non-external _convert_rows_to_quadra8
000000018e1f3a28 (__TEXT,__text) external _cosl_codec_decode
000000018e1f3240 (__TEXT,__text) external _cosl_codec_encode
000000018e1f3938 (__TEXT,__text) external _cosl_codec_get_decoded_size
000000018e1f44a4 (__TEXT,__text) external _cosl_codec_get_id
000000018e1f42fc (__TEXT,__text) external _cosl_codec_map
000000018e1f4444 (__TEXT,__text) external _cosl_codec_unmap
000000018e1f3dec (__TEXT,__text) external _cosl_model_create
000000018e1f3ee0 (__TEXT,__text) external _cosl_model_destroy
000000018e1f3f28 (__TEXT,__text) external _cosl_model_save_codec
000000018e1f2f4c (__TEXT,__text) external _cosl_model_update
000000018e218c34 (__TEXT,__text) external _cosmix_codec_decode
000000018e218334 (__TEXT,__text) external _cosmix_codec_encode
000000018e218b44 (__TEXT,__text) external _cosmix_codec_get_decoded_size
000000018e219694 (__TEXT,__text) external _cosmix_codec_get_id
000000018e2194f0 (__TEXT,__text) external _cosmix_codec_map
000000018e219634 (__TEXT,__text) external _cosmix_codec_unmap
000000018e219104 (__TEXT,__text) external _cosmix_model_create
000000018e219240 (__TEXT,__text) external _cosmix_model_destroy
000000018e219288 (__TEXT,__text) external _cosmix_model_save_codec
000000018e217ce0 (__TEXT,__text) external _cosmix_model_update
000000018e22e450 (__TEXT,__text) non-external (was a private external) _crc32
000000018e295954 (__TEXT,__const) non-external _crc32_lut4
000000018e28d048 (__TEXT,__const) non-external _crc_table
000000018e206440 (__TEXT,__text) non-external _create_rectangle_within_image
000000018e1f9b04 (__TEXT,__text) non-external (was a private external) _create_thread
000000018e1e01f0 (__TEXT,__text) non-external (was a private external) _deflate
000000018e235ba4 (__TEXT,__text) non-external (was a private external) _deflateBound
000000018e23613c (__TEXT,__text) non-external (was a private external) _deflateCopy
000000018e1e2b20 (__TEXT,__text) non-external (was a private external) _deflateEnd
000000018e1df804 (__TEXT,__text) non-external (was a private external) _deflateInit2_
000000018e2358e8 (__TEXT,__text) non-external (was a private external) _deflateInit_
000000018e235a90 (__TEXT,__text) non-external (was a private external) _deflateParams
000000018e235a60 (__TEXT,__text) non-external (was a private external) _deflatePrime
000000018e1dfac4 (__TEXT,__text) non-external (was a private external) _deflateReset
000000018e235904 (__TEXT,__text) non-external (was a private external) _deflateSetDictionary
000000018e235a34 (__TEXT,__text) non-external (was a private external) _deflateSetHeader
000000018e235b80 (__TEXT,__text) non-external (was a private external) _deflateTune
000000018e295908 (__TEXT,__const) non-external (was a private external) _deflate_copyright
000000018e23649c (__TEXT,__text) non-external _deflate_fast
000000018e235c98 (__TEXT,__text) non-external _deflate_huff
000000018e235df8 (__TEXT,__text) non-external _deflate_rle
000000018e1e0d1c (__TEXT,__text) non-external _deflate_slow
000000018e2362f0 (__TEXT,__text) non-external _deflate_stored
                 (undefined) external _dispatch_apply (from libSystem)
000000018e212bb8 (__TEXT,__text) non-external _emitMatch
000000018e29498c (__TEXT,__const) non-external _extra_blbits
000000018e294914 (__TEXT,__const) non-external _extra_dbits
000000018e2948a0 (__TEXT,__const) non-external _extra_lbits
                 (undefined) external _fclose (from libSystem)
000000018e1e1160 (__TEXT,__text) non-external _fill_window
000000018e1e2a8c (__TEXT,__text) non-external _flush_pending
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _free (from libSystem)
000000018e235888 (__TEXT,__text) non-external _fse_adjust_freqs
                 (undefined) external _fwrite (from libSystem)
000000018e2955b4 (__TEXT,__const) non-external _getDSymbolFromValue.sym
000000018e219c4c (__TEXT,__text) non-external _getDecoderTable
000000018e294b40 (__TEXT,__const) non-external _getLSymbolFromValue.sym
000000018e294c7c (__TEXT,__const) non-external _getMSymbolFromValue.sym
000000018e207b40 (__TEXT,__text) non-external (was a private external) _get_conversion_set
000000018e22e444 (__TEXT,__text) non-external (was a private external) _get_crc_table
000000018e20baac (__TEXT,__text) non-external (was a private external) _get_default_nthreads
000000018e205b1c (__TEXT,__text) non-external _get_format_bits
000000018e205910 (__TEXT,__text) non-external (was a private external) _get_format_bytes_per_pixel
000000018e205944 (__TEXT,__text) non-external (was a private external) _get_format_components
000000018e2059e0 (__TEXT,__text) non-external (was a private external) _get_format_convert_at_once
000000018e205d00 (__TEXT,__text) non-external _get_format_plane_count
000000018e2059fc (__TEXT,__text) non-external (was a private external) _get_format_process_at_once
000000018e200764 (__TEXT,__text) non-external (was a private external) _get_max_payload_size
000000018e2007a8 (__TEXT,__text) non-external (was a private external) _get_plane_max_rice_size
000000018e2007f4 (__TEXT,__text) non-external (was a private external) _get_pool_size
000000018e20ba64 (__TEXT,__text) non-external (was a private external) _get_real_time
000000018e2007d8 (__TEXT,__text) non-external (was a private external) _get_slice_height
000000018e2007bc (__TEXT,__text) non-external (was a private external) _get_slice_width
                 (undefined) external _gettimeofday (from libSystem)
