                 (undefined) external __Unwind_GetIP (from libunwind)
                 (undefined) external __Unwind_GetLanguageSpecificData (from libunwind)
                 (undefined) external __Unwind_GetRegionStart (from libunwind)
                 (undefined) external __Unwind_SetGR (from libunwind)
                 (undefined) external __Unwind_SetIP (from libunwind)
                 (undefined) external ____chkstk_darwin (from libsystem_pthread)
00007ff812bc1a86 (__TEXT,__text) external ___absvdi2
00007ff812bc5fe4 (__TEXT,__text) external ___paritysi2
00007ff812bc600a (__TEXT,__text) external ___parityti2
00007ff812bc603c (__TEXT,__text) external ___popcountdi2
00007ff812bc609e (__TEXT,__text) external ___popcountsi2
00007ff812bc60d7 (__TEXT,__text) external ___popcountti2
00007ff812bc6165 (__TEXT,__text) external ___powidf2
00007ff812bc61b9 (__TEXT,__text) external ___powisf2
00007ff812bc620a (__TEXT,__text) external ___powixf2
                 (undefined) external ___stack_chk_fail (from libsystem_c)
                 (undefined) external ___stack_chk_guard (from libsystem_c)
00007ff812bc6268 (__TEXT,__text) external ___subvdi3
00007ff812bc62b0 (__TEXT,__text) external ___subvsi3
00007ff812bc62f3 (__TEXT,__text) external ___subvti3
00007ff812bc6347 (__TEXT,__text) external ___truncdfhf2
00007ff812bc6474 (__TEXT,__text) external ___truncsfhf2
00007ff812bc6565 (__TEXT,__text) external ___ucmpdi2
00007ff812bc6594 (__TEXT,__text) external ___ucmpti2
00007ff812bc17f8 (__TEXT,__text) external ___udivdi3
00007ff812bc65b5 (__TEXT,__text) external ___udivmoddi4
00007ff812bc1738 (__TEXT,__text) external ___udivmodti4
00007ff812bc1730 (__TEXT,__text) external ___udivti3
00007ff812bc1872 (__TEXT,__text) external ___umoddi3
00007ff812bc67c8 (__TEXT,__text) external ___umodti3
                 (undefined) external __os_nospin_lock_lock (from libsystem_platform)
                 (undefined) external __os_nospin_lock_unlock (from libsystem_platform)
00007ff812bc2cf8 (__TEXT,__text) external _atomic_flag_clear
00007ff812bc2cfd (__TEXT,__text) external _atomic_flag_clear_explicit
00007ff812bc2d10 (__TEXT,__text) external _atomic_flag_test_and_set
00007ff812bc2d18 (__TEXT,__text) external _atomic_flag_test_and_set_explicit
00007ff812bc2d4c (__TEXT,__text) external _atomic_signal_fence
00007ff812bc2d78 (__TEXT,__text) external _atomic_thread_fence
                 (undefined) external _fmaxl (from libsystem_m)
00007ff8437abbc0 (__DATA_DIRTY,__bss) non-external _locks
                 (undefined) external _logbl (from libsystem_m)
                 (undefined) external _memcmp (from libsystem_c)
                 (undefined) external _memcpy (from libsystem_c)
                 (undefined) external _mprotect (from libsystem_kernel)
00007ff812bc4f1d (__TEXT,__text) non-external _readEncodedPointer
                 (undefined) external _scalbnl (from libsystem_m)
00007ff812bc7390 (__TEXT,__const) non-external two
00007ff812bc7360 (__TEXT,__const) non-external twop52
00007ff812bc73a0 (__TEXT,__const) non-external twop64
00007ff812bc7380 (__TEXT,__const) non-external twop84
00007ff812bc7370 (__TEXT,__const) non-external twop84_plus_twop52
