00000001e343faa8 (__DATA,__data) non-external _C
0000000180339bac (__TEXT,__text) non-external (was a private external) __GBK_init
0000000180339bf0 (__TEXT,__text) non-external __GBK_mbrtowc
0000000180339d14 (__TEXT,__text) non-external __GBK_mbsinit
0000000180339cc0 (__TEXT,__text) non-external __GBK_wcrtomb
000000018033a1bc (__TEXT,__text) non-external (was a private external) __MSKanji_init
000000018033a200 (__TEXT,__text) non-external __MSKanji_mbrtowc
000000018033a348 (__TEXT,__text) non-external __MSKanji_mbsinit
000000018033a2e0 (__TEXT,__text) non-external __MSKanji_wcrtomb
00000001802e925c (__TEXT,__text) external __NSGetArgc
00000001802e9250 (__TEXT,__text) external __NSGetArgv
00000001802e3e20 (__TEXT,__text) external __NSGetEnviron
00000001802e3ee4 (__TEXT,__text) external __NSGetMachExecuteHeader
00000001802e8554 (__TEXT,__text) external __NSGetProgname
00000001e3441b90 (__DATA,__common) external __PathLocale
000000018030487c (__TEXT,__text) external __Read_RuneMagi
000000018034c87c (__TEXT,__text) non-external (was a private external) __UTF2_init
000000018034c8e0 (__TEXT,__text) non-external __UTF2_mbrtowc
000000018034cad8 (__TEXT,__text) non-external __UTF2_mbsinit
000000018034caf4 (__TEXT,__text) non-external __UTF2_mbsnrtowcs
000000018034ca30 (__TEXT,__text) non-external __UTF2_wcrtomb
000000018034cc98 (__TEXT,__text) non-external __UTF2_wcsnrtombs
000000018030529c (__TEXT,__text) non-external (was a private external) __UTF8_init
0000000180306c1c (__TEXT,__text) non-external __UTF8_mbrtowc
000000018033ab84 (__TEXT,__text) non-external __UTF8_mbsinit
0000000180306eb0 (__TEXT,__text) non-external __UTF8_mbsnrtowcs
00000001803076b0 (__TEXT,__text) non-external __UTF8_wcrtomb
000000018033aba0 (__TEXT,__text) non-external __UTF8_wcsnrtombs
00000001802f27fc (__TEXT,__text) external ___Balloc_D2A
00000001802f2a30 (__TEXT,__text) external ___Bfree_D2A
00000001803210f8 (__TEXT,__text) external ____mb_cur_max
0000000180321124 (__TEXT,__text) external ____mb_cur_max_l
00000001802f7ce0 (__TEXT,__text) external ____runetype
00000001802f7d04 (__TEXT,__text) external ____runetype_l
000000018033aa98 (__TEXT,__text) external ____tolower
000000018033a9f4 (__TEXT,__text) external ____tolower_l
000000018033ab60 (__TEXT,__text) external ____toupper
000000018033aabc (__TEXT,__text) external ____toupper_l
000000018035b914 (__TEXT,__text) non-external (was a private external) ___abort
000000018032c764 (__TEXT,__text) external ___add_ovflpage
000000018032c4dc (__TEXT,__text) external ___addel
00000001802f6c28 (__TEXT,__text) external ___any_on_D2A
000000018035ab00 (__TEXT,__text) external ___assert_rtn
00000001e556cb10 (__DATA_DIRTY,__bss) non-external ___atexit
00000001803019fc (__TEXT,__text) non-external (was a private external) ___atexit_init
00000001e556cb18 (__DATA_DIRTY,__bss) non-external ___atexit_new_registration
0000000180308968 (__TEXT,__text) external ___b2d_D2A
000000018032ac54 (__TEXT,__text) external ___big_delete
000000018032a9a0 (__TEXT,__text) external ___big_insert
000000018032b300 (__TEXT,__text) external ___big_keydata
000000018032af88 (__TEXT,__text) external ___big_return
000000018032b488 (__TEXT,__text) external ___big_split
000000018035e0c0 (__TEXT,__const) external ___bigtens_D2A
0000000180325788 (__TEXT,__text) external ___bt_close
00000001803294d0 (__TEXT,__text) external ___bt_cmp
0000000180329598 (__TEXT,__text) external ___bt_defcmp
00000001803295dc (__TEXT,__text) external ___bt_defpfx
0000000180325c00 (__TEXT,__text) external ___bt_delete
0000000180326270 (__TEXT,__text) external ___bt_dleaf
000000018032704c (__TEXT,__text) external ___bt_fd
00000001803280a8 (__TEXT,__text) non-external ___bt_first
0000000180327450 (__TEXT,__text) external ___bt_free
00000001803268fc (__TEXT,__text) external ___bt_get
0000000180327478 (__TEXT,__text) external ___bt_new
00000001803269f0 (__TEXT,__text) external ___bt_open
0000000180326650 (__TEXT,__text) non-external ___bt_pdelete
0000000180325924 (__TEXT,__text) external ___bt_pgin
0000000180325aa4 (__TEXT,__text) external ___bt_pgout
00000001803274f4 (__TEXT,__text) external ___bt_put
000000018032686c (__TEXT,__text) non-external ___bt_relink
000000018032932c (__TEXT,__text) external ___bt_ret
0000000180327a04 (__TEXT,__text) external ___bt_search
0000000180327c54 (__TEXT,__text) external ___bt_seq
000000018032804c (__TEXT,__text) external ___bt_setcur
00000001803282c0 (__TEXT,__text) external ___bt_split
0000000180325f00 (__TEXT,__text) non-external ___bt_stkacq
0000000180325848 (__TEXT,__text) external ___bt_sync
000000018032ba0c (__TEXT,__text) external ___buf_free
000000018032b9dc (__TEXT,__text) non-external (was a private external) ___buf_init
00000001e556a608 (__DATA_DIRTY,__data) non-external ___c_locale
0000000180356054 (__TEXT,__text) non-external ___calc_left_pad
000000018032a4ac (__TEXT,__text) external ___call_hash
00000001e343ffa0 (__DATA,__data) non-external (was a private external) ___chk_assert_no_overlap
0000000180359d58 (__TEXT,__text) non-external (was a private external) ___chk_fail_overflow
0000000180359d74 (__TEXT,__text) non-external (was a private external) ___chk_fail_overlap
000000018030fab8 (__TEXT,__text) non-external (was a private external) ___chk_init
00000001802e85dc (__TEXT,__text) non-external (was a private external) ___chk_overlap
                 (undefined) external ___chkstk_darwin (from libcompiler_rt)
                 (undefined) external ___chmod_extended (from libsystem_kernel)
00000001e556cb98 (__DATA_DIRTY,__common) external ___cleanup
00000001802f3c50 (__TEXT,__text) external ___cmp_D2A
0000000180338a80 (__TEXT,__text) non-external (was a private external) ___collate_collating_symbol
0000000180338c50 (__TEXT,__text) non-external (was a private external) ___collate_equiv_class
0000000180338dcc (__TEXT,__text) external ___collate_equiv_match
00000001802fcf6c (__TEXT,__text) non-external (was a private external) ___collate_equiv_value
00000001803380f4 (__TEXT,__text) non-external (was a private external) ___collate_err
00000001e343fbb8 (__DATA,__data) external ___collate_load_error
0000000180303bc8 (__TEXT,__text) non-external (was a private external) ___collate_load_tables
00000001e34415c0 (__DATA,__bss) non-external ___collate_load_tables.cache
0000000180337860 (__TEXT,__text) non-external ___collate_load_tables_legacy
000000018033853c (__TEXT,__text) external ___collate_lookup
00000001803381b0 (__TEXT,__text) external ___collate_lookup_l
0000000180338720 (__TEXT,__text) non-external (was a private external) ___collate_lookup_which
000000018033861c (__TEXT,__text) non-external (was a private external) ___collate_mbstowcs
00000001803390f4 (__TEXT,__text) non-external (was a private external) ___collate_range_cmp
00000001e34415c8 (__DATA,__bss) non-external ___collate_range_cmp.s1
00000001e34415d0 (__DATA,__bss) non-external ___collate_range_cmp.s2
0000000180337e84 (__TEXT,__text) non-external (was a private external) ___collate_substitute
0000000180338090 (__TEXT,__text) non-external (was a private external) ___collate_wcsdup
000000018033882c (__TEXT,__text) non-external (was a private external) ___collate_xfrm
                 (undefined) external ___commpage_gettimeofday (from libsystem_kernel)
00000001803019ec (__TEXT,__text) non-external (was a private external) ___confstr_init
00000001803251f0 (__TEXT,__text) non-external (was a private external) ___copy_assignment_8_8_t0w8_pa0_28660_8_pa0_36689_16_pa0_31171_24_pa0_29245_32
00000001802f5da4 (__TEXT,__text) external ___copybits_D2A
000000018031a350 (__TEXT,__text) non-external (was a private external) ___crypt_des_cipher
0000000180319d8c (__TEXT,__text) non-external (was a private external) ___crypt_des_setkey
00000001e3440ca0 (__DATA,__bss) non-external ___crypt_des_setkey.des_ready
00000001e3441b20 (__DATA,__common) non-external (was a private external) ___crypt_des_setkey_called
000000018034fa08 (__TEXT,__text) non-external ___cvt
00000001e3441ad8 (__DATA,__bss) non-external ___cvt.s
00000001802e8e28 (__TEXT,__text) external ___cxa_atexit
000000018030a774 (__TEXT,__text) external ___cxa_finalize
000000018030a7bc (__TEXT,__text) external ___cxa_finalize_ranges
000000018034cf4c (__TEXT,__text) external ___cxa_thread_atexit
00000001802f26f4 (__TEXT,__text) external ___d2b_D2A
00000001e556cb50 (__DATA_DIRTY,__common) non-external (was a private external) ___darwin_altzone
000000018032970c (__TEXT,__text) non-external ___dberr
00000001803296ec (__TEXT,__text) external ___dbpanic
00000001e5a00090 (__AUTH,__data) external ___default_hash
0000000180354398 (__TEXT,__text) external ___default_utx
00000001e343ff50 (__DATA,__data) non-external ___default_utx.once
00000001803543d0 (__TEXT,__text) non-external ___default_utx_init
000000018032bc1c (__TEXT,__text) external ___delpair
0000000180303b20 (__TEXT,__text) non-external (was a private external) ___detect_path_locale
00000001802f3af8 (__TEXT,__text) external ___diff_D2A
00000001e556b288 (__DATA_DIRTY,__bss) non-external ___dirhelper_func
00000001802f18dc (__TEXT,__text) external ___dtoa
000000018035456c (__TEXT,__text) non-external (was a private external) ___endutxent
00000001e556cba8 (__DATA_DIRTY,__common) non-external (was a private external) ___env_owned
000000018034cfb0 (__TEXT,__text) non-external (was a private external) ___environ_lock_fork_child
00000001e3441a70 (__DATA,__bss) non-external ___environ_lock_obj
                 (undefined) external ___error (from libsystem_kernel)
000000018031009c (__TEXT,__text) non-external (was a private external) ___errstr
00000001802f738c (__TEXT,__text) non-external ___evpinit
                 (undefined) external ___exit (from libsystem_kernel)
000000018032a340 (__TEXT,__text) external ___expand_table
00000001e3441878 (__DATA,__bss) non-external ___fallback_evp
                 (undefined) external ___fchmod_extended (from libsystem_kernel)
                 (undefined) external ___fcntl (from libsystem_kernel)
                 (undefined) external ___fcntl_nocancel (from libsystem_kernel)
00000001802f4bf4 (__TEXT,__text) external ___fflush
000000018033fb58 (__TEXT,__text) external ___fgetwc
0000000180341574 (__TEXT,__text) non-external (was a private external) ___find_arguments
000000018032adc4 (__TEXT,__text) external ___find_bigpair
000000018032aeec (__TEXT,__text) external ___find_last_page
00000001803424ac (__TEXT,__text) non-external (was a private external) ___find_warguments
00000001802e3e2c (__TEXT,__text) non-external (was a private external) ___findenv_locked
00000001803059c8 (__TEXT,__text) external ___fix_locale_grouping_str
00000001803396dc (__TEXT,__text) non-external (was a private external) ___fix_nogrouping
                 (undefined) external ___fork (from libsystem_kernel)
                 (undefined) external ___fpclassifyd (from libsystem_m)
0000000180340278 (__TEXT,__text) non-external (was a private external) ___fputwc
00000001802eebb8 (__TEXT,__text) external ___fread
000000018032d10c (__TEXT,__text) external ___free_ovflpage
00000001802f2aa8 (__TEXT,__text) external ___freedtoa
                 (undefined) external ___fstat64_extended (from libsystem_kernel)
00000001e343ffa4 (__DATA,__data) non-external (was a private external) ___ftell_conformance_fix
00000001802f4350 (__TEXT,__text) non-external ___fts_open
000000018032f3ac (__TEXT,__text) external ___gdtoa
00000001e3441b58 (__DATA,__common) external ___gdtoa_locks
000000018032b628 (__TEXT,__text) external ___get_buf
0000000180339d70 (__TEXT,__text) non-external (was a private external) ___get_current_messages_locale
00000001802e7864 (__TEXT,__text) non-external (was a private external) ___get_current_monetary_locale
00000001802e7884 (__TEXT,__text) non-external (was a private external) ___get_current_numeric_locale
0000000180302228 (__TEXT,__text) non-external (was a private external) ___get_current_time_locale
000000018030cad8 (__TEXT,__text) non-external (was a private external) ___get_locale_env
000000018032cb74 (__TEXT,__text) external ___get_page
000000018030b0ac (__TEXT,__text) non-external ___getcwd
                 (undefined) external ___getdirentries64 (from libsystem_kernel)
00000001e556cae8 (__DATA_DIRTY,__bss) non-external ___getevp.predicate
                 (undefined) external ___getlogin (from libsystem_kernel)
0000000180339d90 (__TEXT,__text) external ___getonlyClocaleconv
                 (undefined) external ___gettimeofday (from libsystem_kernel)
000000018035467c (__TEXT,__text) non-external (was a private external) ___getutxent
0000000180354ab4 (__TEXT,__text) non-external ___getutxid
000000018030ea04 (__TEXT,__text) non-external (was a private external) ___gl_compare
000000018030e4e0 (__TEXT,__text) non-external (was a private external) ___gl_g_Ctoc
000000018030e7e8 (__TEXT,__text) non-external (was a private external) ___gl_globextend
000000018030dd24 (__TEXT,__text) non-external (was a private external) ___gl_globtilde
000000018030e5d8 (__TEXT,__text) non-external (was a private external) ___gl_match
000000018030d7c4 (__TEXT,__text) non-external ___glob
00000001e556a040 (__DATA_DIRTY,__data) non-external (was a private external) ___global_locale
0000000180301af0 (__TEXT,__text) non-external (was a private external) ___guard_setup
0000000180329714 (__TEXT,__text) external ___hash_open
00000001803156e4 (__TEXT,__text) external ___hdtoa
00000001802f01b8 (__TEXT,__text) non-external (was a private external) ___heapsort_r
00000001802f5bb8 (__TEXT,__text) external ___hi0bits_D2A
000000018032f390 (__TEXT,__text) external ___hldtoa
00000001802f3780 (__TEXT,__text) external ___i2b_D2A
000000018032d044 (__TEXT,__text) external ___ibitmap
000000018033e8f0 (__TEXT,__text) non-external ___inaddr_to_index
000000018035b3fc (__TEXT,__text) non-external ___inaddr_to_index.cold.1
000000018034ecc0 (__TEXT,__text) non-external (was a private external) ___init__env_owned_locked
000000018033a634 (__TEXT,__text) external ___isctype
000000018033a5f4 (__TEXT,__text) external ___istype
000000018033a70c (__TEXT,__text) external ___istype_l
00000001e556ac08 (__DATA_DIRTY,__data) non-external ___kernel_supports_unionfs.kernel_supports_unionfs
                 (undefined) external ___kill (from libsystem_kernel)
000000018034fe90 (__TEXT,__text) external ___ldtoa
00000001803241c4 (__TEXT,__text) external ___libc_init
00000001802f2920 (__TEXT,__text) external ___lo0bits_D2A
00000001802f7448 (__TEXT,__text) non-external ___loadevp
00000001e556a600 (__DATA_DIRTY,__data) non-external (was a private external) ___locale_key
000000018032bbec (__TEXT,__text) external ___log2
00000001e3441b78 (__DATA,__common) non-external (was a private external) ___logname
00000001e343faf8 (__DATA,__data) non-external (was a private external) ___logname_mutex
000000018035edd8 (__TEXT,__const) non-external (was a private external) ___lowercase_hex
00000001802f39f8 (__TEXT,__text) external ___lshift_D2A
                 (undefined) external ___lstat64_extended (from libsystem_kernel)
00000001802f7c7c (__TEXT,__text) external ___maskrune
000000018033a6a0 (__TEXT,__text) external ___maskrune_l
00000001803304ec (__TEXT,__text) external ___match_D2A
00000001e343fcf4 (__DATA,__data) external ___mb_cur_max
00000001e343fcf8 (__DATA,__data) external ___mb_sb_limit
0000000180347074 (__TEXT,__text) non-external ___mbsconv
0000000180339f54 (__TEXT,__text) non-external (was a private external) ___mbsnrtowcs_std
0000000180359d90 (__TEXT,__text) external ___memccpy_chk
00000001802e87f4 (__TEXT,__text) external ___memcpy_chk
00000001802e9268 (__TEXT,__text) external ___memmove_chk
00000001802f0f14 (__TEXT,__text) external ___memset_chk
0000000180305ea0 (__TEXT,__text) non-external (was a private external) ___messages_load_locale
00000001e34415d8 (__DATA,__bss) non-external ___messages_load_locale.cache
                 (undefined) external ___mkdir_extended (from libsystem_kernel)
                 (undefined) external ___mkfifo_extended (from libsystem_kernel)
0000000180305300 (__TEXT,__text) non-external (was a private external) ___monetary_load_locale
00000001e34415e8 (__DATA,__bss) non-external ___monetary_load_locale.cache
00000001802f38c8 (__TEXT,__text) external ___mult_D2A
00000001802f36c8 (__TEXT,__text) external ___multadd_D2A
000000018033f8e8 (__TEXT,__text) non-external ___nls_free_resources
000000018035e821 (__TEXT,__const) non-external ___nogrouping
00000001802f5b60 (__TEXT,__text) external ___nrv_alloc_D2A
0000000180320f54 (__TEXT,__text) non-external (was a private external) ___numeric_ctype
0000000180305a8c (__TEXT,__text) non-external (was a private external) ___numeric_load_locale
00000001e34415f8 (__DATA,__bss) non-external ___numeric_load_locale.cache
                 (undefined) external ___open (from libsystem_kernel)
                 (undefined) external ___open_extended (from libsystem_kernel)
                 (undefined) external ___open_nocancel (from libsystem_kernel)
0000000180304034 (__TEXT,__text) non-external (was a private external) ___open_path_locale
0000000180333b4c (__TEXT,__text) external ___opendir2
00000001802e9290 (__TEXT,__text) non-external ___opendir_common
                 (undefined) external ___os_log_simple_offset (from libsystem_platform)
0000000180327384 (__TEXT,__text) external ___ovfl_delete
000000018032719c (__TEXT,__text) external ___ovfl_get
0000000180327284 (__TEXT,__text) external ___ovfl_put
00000001802f5a30 (__TEXT,__text) non-external (was a private external) ___parsefloat_buf
00000001e556caf8 (__DATA_DIRTY,__bss) non-external ___parsefloat_buf.bsiz
00000001e556caf0 (__DATA_DIRTY,__bss) non-external ___parsefloat_buf.parsefloat_tsd_key
00000001e556b088 (__DATA_DIRTY,__data) non-external ___parsefloat_buf.parsefloat_tsd_lock
0000000180305758 (__TEXT,__text) non-external (was a private external) ___part_load_locale
                 (undefined) external ___platform_sigaction (from libsystem_platform)
00000001e3441b80 (__DATA,__common) non-external (was a private external) ___popen_pidlist
00000001e343fb38 (__DATA,__data) non-external (was a private external) ___popen_pidlist_mutex
00000001802f37b0 (__TEXT,__text) external ___pow5mult_D2A
000000018035e0b0 (__TEXT,__const) non-external ___pow5mult_D2A.p05
0000000180353358 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_chr
000000018035bd70 (__TEXT,__text) non-external ___printf_arginfo_chr.cold.1
00000001803521d8 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_errno
000000018035bb94 (__TEXT,__text) non-external ___printf_arginfo_errno.cold.1
0000000180352318 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_float
000000018035bbc0 (__TEXT,__text) non-external ___printf_arginfo_float.cold.1
0000000180352d58 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_hexdump
000000018035bc18 (__TEXT,__text) non-external ___printf_arginfo_hexdump.cold.1
000000018031297c (__TEXT,__text) non-external (was a private external) ___printf_arginfo_int
000000018035bc44 (__TEXT,__text) non-external ___printf_arginfo_int.cold.1
0000000180353a0c (__TEXT,__text) non-external (was a private external) ___printf_arginfo_n
000000018035bdf4 (__TEXT,__text) non-external ___printf_arginfo_n.cold.1
00000001803539f4 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_pct
0000000180352fa8 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_ptr
000000018035bcec (__TEXT,__text) non-external ___printf_arginfo_ptr.cold.1
0000000180353074 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_quote
000000018035bd18 (__TEXT,__text) non-external ___printf_arginfo_quote.cold.1
000000018031293c (__TEXT,__text) non-external (was a private external) ___printf_arginfo_str
000000018035bd44 (__TEXT,__text) non-external ___printf_arginfo_str.cold.1
0000000180353504 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_time
000000018035bd9c (__TEXT,__text) non-external ___printf_arginfo_time.cold.1
00000001803537f0 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_vis
000000018035bdc8 (__TEXT,__text) non-external ___printf_arginfo_vis.cold.1
0000000180312128 (__TEXT,__text) non-external (was a private external) ___printf_comp
0000000180312a14 (__TEXT,__text) non-external (was a private external) ___printf_exec
000000018031394c (__TEXT,__text) non-external (was a private external) ___printf_flush
0000000180343b08 (__TEXT,__text) non-external (was a private external) ___printf_is_memory_read_only
0000000180313198 (__TEXT,__text) non-external (was a private external) ___printf_out
000000018035394c (__TEXT,__text) non-external (was a private external) ___printf_pad
0000000180312eb8 (__TEXT,__text) non-external (was a private external) ___printf_puts
00000001803533a4 (__TEXT,__text) non-external (was a private external) ___printf_render_chr
0000000180352200 (__TEXT,__text) non-external (was a private external) ___printf_render_errno
0000000180352368 (__TEXT,__text) non-external (was a private external) ___printf_render_float
000000018035bbec (__TEXT,__text) non-external ___printf_render_float.cold.1
0000000180352d88 (__TEXT,__text) non-external (was a private external) ___printf_render_hexdump
000000018031324c (__TEXT,__text) non-external (was a private external) ___printf_render_int
000000018035bc70 (__TEXT,__text) non-external ___printf_render_int.cold.1
000000018035bcc0 (__TEXT,__text) non-external ___printf_render_int.cold.2
0000000180353a34 (__TEXT,__text) non-external (was a private external) ___printf_render_n
00000001803539fc (__TEXT,__text) non-external (was a private external) ___printf_render_pct
0000000180352fe0 (__TEXT,__text) non-external (was a private external) ___printf_render_ptr
000000018035309c (__TEXT,__text) non-external (was a private external) ___printf_render_quote
0000000180312f24 (__TEXT,__text) non-external (was a private external) ___printf_render_str
000000018035352c (__TEXT,__text) non-external (was a private external) ___printf_render_time
0000000180353818 (__TEXT,__text) non-external (was a private external) ___printf_render_vis
000000018030ac00 (__TEXT,__text) non-external (was a private external) ___private_getcwd
00000001e556b2a8 (__DATA_DIRTY,__bss) non-external ___progname_pointer
                 (undefined) external ___pthread_workqueue_setkill (from libsystem_pthread)
000000018032cd54 (__TEXT,__text) external ___put_page
000000018035e900 (__TEXT,__const) non-external (was a private external) ___puts_null__
0000000180354d80 (__TEXT,__text) non-external (was a private external) ___pututxline
00000001802f5c30 (__TEXT,__text) external ___quorem_D2A
00000001803088c8 (__TEXT,__text) external ___ratio_D2A
000000018032dafc (__TEXT,__text) external ___rec_close
000000018032ddec (__TEXT,__text) external ___rec_delete
000000018032df30 (__TEXT,__text) external ___rec_dleaf
000000018032e910 (__TEXT,__text) external ___rec_fd
000000018032e3a8 (__TEXT,__text) external ___rec_fmap
000000018032e168 (__TEXT,__text) external ___rec_fpipe
000000018032e060 (__TEXT,__text) external ___rec_get
000000018032ec34 (__TEXT,__text) external ___rec_iput
000000018032e598 (__TEXT,__text) external ___rec_open
000000018032e968 (__TEXT,__text) external ___rec_put
000000018032f23c (__TEXT,__text) external ___rec_ret
000000018032ee74 (__TEXT,__text) external ___rec_search
000000018032f050 (__TEXT,__text) external ___rec_seq
000000018032dbb4 (__TEXT,__text) external ___rec_sync
000000018032e4bc (__TEXT,__text) external ___rec_vmap
000000018032e280 (__TEXT,__text) external ___rec_vpipe
000000018032bae4 (__TEXT,__text) external ___reclaim_buf
                 (undefined) external ___recvfrom (from libsystem_kernel)
                 (undefined) external ___recvfrom_nocancel (from libsystem_kernel)
00000001802f6c8c (__TEXT,__text) external ___rshift_D2A
000000018035df0c (__TEXT,__const) non-external (was a private external) ___rune_depreciated_msg
00000001802f29d4 (__TEXT,__text) external ___rv_alloc_D2A
00000001802f35e0 (__TEXT,__text) external ___s2b_D2A
00000001e556ac10 (__DATA_DIRTY,__data) external ___sF
00000001e556add8 (__DATA_DIRTY,__data) non-external ___sFX
0000000180301634 (__TEXT,__text) external ___sclose
00000001e556b2f8 (__DATA_DIRTY,__bss) non-external ___scounted
00000001e556cb38 (__DATA_DIRTY,__common) external ___sdidinit
                 (undefined) external ___semwait_signal (from libsystem_kernel)
                 (undefined) external ___semwait_signal_nocancel (from libsystem_kernel)
                 (undefined) external ___sendto (from libsystem_kernel)
                 (undefined) external ___sendto_nocancel (from libsystem_kernel)
00000001802e804c (__TEXT,__text) non-external (was a private external) ___setenv_locked
                 (undefined) external ___setlogin (from libsystem_kernel)
0000000180339d9c (__TEXT,__text) external ___setonlyClocaleconv
00000001803042fc (__TEXT,__text) non-external (was a private external) ___setrunelocale
00000001e34417d8 (__DATA,__bss) non-external ___setrunelocale.CachedRuneLocale
00000001e34417e0 (__DATA,__bss) non-external ___setrunelocale.cache_lock
                 (undefined) external ___settimeofday (from libsystem_kernel)
0000000180356110 (__TEXT,__text) non-external ___setup_vars
