00000001e55cd43c (__TEXT,__text) non-external _DiToMD5
00000001e55bb9b8 (__TEXT,__text) external _OSDictionarySetValue
000000021a428230 (__AUTH_CONST,__const) external _OSDictionary_Class
000000021a428328 (__AUTH_CONST,__const) external _OSMappedFile_Class
00000001e55bb578 (__TEXT,__text) external _OSNumberCreateWithUInt64Value
00000001e55bb550 (__TEXT,__text) external _OSNumberGetUInt64Value
000000021a428420 (__AUTH_CONST,__const) external _OSNumber_Class
00000001e55bd988 (__TEXT,__text) external _OSObjectLog
00000001e55ba14c (__TEXT,__text) external _OSObjectRelease
00000001e55ba128 (__TEXT,__text) external _OSObjectRetain
000000021a428518 (__AUTH_CONST,__const) external _OSObject_Class
000000021a4286c8 (__AUTH_CONST,__const) external _OSOrderedSet_Class
00000001e55ae798 (__TEXT,__text) external _OSReportWithBacktrace
00000001e55bd4b8 (__TEXT,__text) external _OSSerializationGetBytes
000000021a4287c0 (__AUTH_CONST,__const) external _OSSerialization_Class
000000021a4288b8 (__AUTH_CONST,__const) external _OSSet_Class
00000001e55bad04 (__TEXT,__text) external _OSStringCreate
00000001e55e09c0 (__TEXT,__text) non-external _OSStringCreate.cold.1
00000001e55e09ec (__TEXT,__text) non-external _OSStringCreate.cold.2
00000001e55e0a18 (__TEXT,__text) non-external _OSStringCreate.cold.3
00000001e55bacac (__TEXT,__text) external _OSStringGetLength
00000001e55bac70 (__TEXT,__text) external _OSStringGetStringPtr
000000021a4289b0 (__AUTH_CONST,__const) external _OSString_Class
00000001e55ae1dc (__TEXT,__text) external _OSSynchronizeIO
00000002169e48d8 (__DATA,__bss) non-external _OSUniqueStrings
00000001e55aebf0 (__TEXT,__text) external _PE_i_can_has_debugger
00000001e55cd974 (__TEXT,__text) external _SHA1Final
00000001e55cd6dc (__TEXT,__text) external _SHA1Init
00000001e55cd904 (__TEXT,__text) non-external _SHA1ToDi
00000001e55cd814 (__TEXT,__text) external _SHA1Update
00000001e55ce4bc (__TEXT,__text) external _SHA256_Final
00000001e55ce41c (__TEXT,__text) external _SHA256_Init
00000001e55e1a50 (__TEXT,__text) non-external _SHA256_Init.cold.1
00000001e55ce46c (__TEXT,__text) external _SHA256_Update
00000001e55ce5a0 (__TEXT,__text) external _SHA384_Final
00000001e55ce500 (__TEXT,__text) external _SHA384_Init
00000001e55e1a78 (__TEXT,__text) non-external _SHA384_Init.cold.1
00000001e55ce550 (__TEXT,__text) external _SHA384_Update
00000001e55ce684 (__TEXT,__text) external _SHA512_Final
00000001e55ce5e4 (__TEXT,__text) external _SHA512_Init
00000001e55e1aa0 (__TEXT,__text) non-external _SHA512_Init.cold.1
00000001e55ce634 (__TEXT,__text) external _SHA512_Update
                 (undefined) external __Block_copy (from libSystem)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __Block_release (from libSystem)
00000001e55af31c (__TEXT,__text) non-external __GLOBAL__sub_I_IOLib.cpp
00000001e55ce6c8 (__TEXT,__text) non-external __GLOBAL__sub_I_ObjectIntrospection.mm
000000021a428aa8 (__AUTH_CONST,__const) external __IOBlockStorageDevice_Class
00000002169e48a8 (__DATA,__bss) non-external __MergedGlobals
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __NSGetExecutablePath (from libSystem)
00000001e55af680 (__TEXT,__text) non-external (was a private external) __Z11OSFindClassP18IOUserServer_IVarsPKc
00000001e55ded28 (__TEXT,__text) non-external __Z11OSFindClassP18IOUserServer_IVarsPKc.cold.1
00000001e55ded54 (__TEXT,__text) non-external __Z11OSFindClassP18IOUserServer_IVarsPKc.cold.2
00000001e55b1424 (__TEXT,__text) non-external (was a private external) __Z11ThreadStartPFPvS_ES_
00000001e55df56c (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.1
00000001e55df598 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.2
00000001e55df5c4 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.3
00000001e55df5f0 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.4
00000001e55df61c (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.5
00000001e55b0268 (__TEXT,__text) non-external (was a private external) __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC
00000001e55df128 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.1
00000001e55df154 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.2
00000001e55df180 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.3
00000001e55df1ac (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.4
00000001e55df1fc (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.5
00000001e55af98c (__TEXT,__text) non-external (was a private external) __Z12OSObjectFreeP15OSMetaClassBase
00000001e55dee04 (__TEXT,__text) non-external __Z12OSObjectFreeP15OSMetaClassBase.cold.1
00000001e55bc678 (__TEXT,__text) non-external (was a private external) __Z15OSArrayGetEntryP7OSArraym
00000001e55bf874 (__TEXT,__text) non-external (was a private external) __Z15OSBooleanCreatev
00000001e55af4dc (__TEXT,__text) non-external (was a private external) __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass
00000001e55deca4 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.1
00000001e55decd0 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.2
00000001e55decfc (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.3
00000001e55bc7ec (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetStringP7OSArraym
00000001e55bc89c (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetUInt64P7OSArraym
00000001e55bc818 (__TEXT,__text) non-external (was a private external) __Z16OSArraySetStringP7OSArraymPKc
00000001e55af6e0 (__TEXT,__text) external __Z16OSObjectAllocateP11OSMetaClassPP8OSObject
00000001e55bccc8 (__TEXT,__text) non-external (was a private external) __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry
00000001e55e0e0c (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.1
00000001e55e0e38 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.2
00000001e55e0e64 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.3
00000001e55e0e90 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.4
00000001e55e0ebc (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.5
00000001e55e0ee8 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.6
00000001e55add20 (__TEXT,__text) external __Z16OSUnserializeXMLPKcPP8OSString
00000001e55ade64 (__TEXT,__text) external __Z16OSUnserializeXMLPKcmPP8OSString
00000001e55afcbc (__TEXT,__text) external __Z17OSObjectTryRetainP8OSObject
00000001e55dee5c (__TEXT,__text) non-external __Z17OSObjectTryRetainP8OSObject.cold.1
00000001e55afe2c (__TEXT,__text) non-external (was a private external) __Z17SearchMethodArrayyPKyjPy
00000001e55b1ba4 (__TEXT,__text) non-external (was a private external) __Z18OSLoadBundleByPathP18IOUserServer_IVarsPKc
00000001e55af448 (__TEXT,__text) non-external (was a private external) __Z18OSStringArrayIndexP10IOPStringsPKc
00000001e55af394 (__TEXT,__text) non-external (was a private external) __Z19OSCopyInStringArrayPKcj
00000001e55bd4d4 (__TEXT,__text) non-external (was a private external) __Z19OSObjectLogInternalP8OSObjectj
00000001e55e0f98 (__TEXT,__text) non-external __Z19OSObjectLogInternalP8OSObjectj.cold.1
00000001e55af880 (__TEXT,__text) non-external (was a private external) __Z20OSObjectPortFinalizeP15OSMetaClassBase
00000001e55dedac (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.1
00000001e55dedd8 (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.2
00000001e55ba200 (__TEXT,__text) non-external (was a private external) __Z20OSSerializationValueP15OSSerializationj
00000001e55e08b8 (__TEXT,__text) non-external __Z20OSSerializationValueP15OSSerializationj.cold.1
00000001e55ba170 (__TEXT,__text) non-external (was a private external) __Z21OSSerializationTypeIDj
00000001e55e0860 (__TEXT,__text) non-external __Z21OSSerializationTypeIDj.cold.1
00000001e55ac674 (__TEXT,__text) non-external (was a private external) __Z21OSUnserializeXMLparsePv
00000001e55deaec (__TEXT,__text) non-external __Z21OSUnserializeXMLparsePv.cold.1
00000001e55bb2cc (__TEXT,__text) non-external (was a private external) __Z23OSSerializationGetBytesPKjPvmm
00000001e55bc948 (__TEXT,__text) non-external (was a private external) __Z26OSSerializationAppendBytesP15OSSerializationPKvm
00000001e55e0ba4 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.1
00000001e55e0bd0 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.2
00000001e55e0bfc (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.3
00000001e55e0c28 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.4
00000001e55e0c54 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.5
00000001e55bb294 (__TEXT,__text) non-external (was a private external) __Z26OSSerializationGetBytesPtrPKjmm
00000001e55bb52c (__TEXT,__text) non-external (was a private external) __Z29OSSerializationGetUInt64ValuePKj
00000001e55bca8c (__TEXT,__text) non-external (was a private external) __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry
00000001e55e0c80 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.1
00000001e55e0cac (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.2
00000001e55e0cd8 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.3
00000001e55b1518 (__TEXT,__text) non-external (was a private external) __Z6ServerPvP17mach_msg_header_tS1_
00000001e55df648 (__TEXT,__text) non-external __Z6ServerPvP17mach_msg_header_tS1_.cold.1
00000001e55df674 (__TEXT,__text) non-external __Z6ServerPvP17mach_msg_header_tS1_.cold.2
00000001e55b1b64 (__TEXT,__text) non-external (was a private external) __Z7astrcpyPKc
00000001e55b0d1c (__TEXT,__text) non-external __ZL10IORPCAsyncPv
00000001e55dd31c (__TEXT,__text) non-external __ZL10OSData_NewP11OSMetaClass
00000001e55adbe8 (__TEXT,__text) non-external __ZL10buildArrayP12parser_stateP6object
00000001e55b9f48 (__TEXT,__text) non-external __ZL10uiomessagePv
00000001e55dd0c0 (__TEXT,__text) non-external __ZL11OSArray_NewP11OSMetaClass
00000001e55bea84 (__TEXT,__text) non-external __ZL11OSSetCreatev
00000001e55e26c0 (__TEXT,__const) non-external __ZL11yytranslate
00000001e55de954 (__TEXT,__text) non-external __ZL12IOThread_NewP11OSMetaClass
00000001e55dc998 (__TEXT,__text) non-external __ZL12OSAction_NewP11OSMetaClass
00000001e55dd1e0 (__TEXT,__text) non-external __ZL12OSBundle_NewP11OSMetaClass
00000001e55dd4bc (__TEXT,__text) non-external __ZL12OSNumber_NewP11OSMetaClass
00000001e55dd53c (__TEXT,__text) non-external __ZL12OSObject_NewP11OSMetaClass
00000001e55bb040 (__TEXT,__text) non-external __ZL12OSStringFindjU13block_pointerFbP8OSStringE
00000001e55baff0 (__TEXT,__text) non-external __ZL12OSStringHashPKcm
00000001e55e0a44 (__TEXT,__text) non-external __ZL12OSStringHashPKcm.cold.1
00000001e55ddd74 (__TEXT,__text) non-external __ZL12OSString_NewP11OSMetaClass
00000001e55cecc0 (__TEXT,__text) non-external __ZL13IOCommand_NewP11OSMetaClass
00000001e55d3df8 (__TEXT,__text) non-external __ZL13IOService_NewP11OSMetaClass
00000001e55b8b9c (__TEXT,__text) non-external __ZL13IOThreadStartPv
00000001e55e05a0 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.1
00000001e55e05cc (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.2
00000001e55e05f8 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.3
00000001e55dd160 (__TEXT,__text) non-external __ZL13OSBoolean_NewP11OSMetaClass
00000001e55d3b78 (__TEXT,__text) non-external __ZL14IOReporter_NewP11OSMetaClass
00000001e55b3118 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si
00000001e55dfe94 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.1
00000001e55dfec0 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.2
00000001e55dfeec (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.3
00000001e55dff18 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.4
00000001e55d1a34 (__TEXT,__text) non-external __ZL15IOEventLink_NewP11OSMetaClass
00000001e55d3810 (__TEXT,__text) non-external __ZL15IOMemoryMap_NewP11OSMetaClass
00000001e55dc238 (__TEXT,__text) non-external __ZL15IOWorkGroup_NewP11OSMetaClass
00000001e55dd29c (__TEXT,__text) non-external __ZL15OSContainer_NewP11OSMetaClass
00000001e55b17d8 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb
00000001e55df6a0 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.1
00000001e55df6cc (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.2
00000001e55df6f8 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.3
00000001e55df724 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.4
00000001e55b26e8 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc
00000001e55dfc18 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.1
00000001e55dfc44 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.2
00000001e55dfc70 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.3
00000001e55dfc9c (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.4
00000001e55b9938 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject
00000001e55e06d4 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.1
00000001e55e0700 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.2
00000001e55e072c (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.3
00000001e55e0758 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.4
00000001e55e0784 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.5
00000001e55e07b0 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.6
00000001e55e07dc (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.7
00000002169e48c0 (__DATA,__bss) non-external __ZL15gIOThreadTLSKey
00000001e55cede0 (__TEXT,__text) non-external __ZL16IODMACommand_NewP11OSMetaClass
00000001e55da8a0 (__TEXT,__text) non-external __ZL16IOUserClient_NewP11OSMetaClass
00000001e55db97c (__TEXT,__text) non-external __ZL16IOUserServer_NewP11OSMetaClass
00000001e55dd260 (__TEXT,__text) non-external __ZL16OSCollection_NewP11OSMetaClass
00000001e55b1990 (__TEXT,__text) non-external __ZL16OSConsumeObjectsP16IORPCMessageMachb
00000001e55b19f8 (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb
00000001e55df750 (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.1
