                 (undefined) external _OSSpinLockLock (from libsystem_platform)
                 (undefined) external _OSSpinLockUnlock (from libsystem_platform)
                 (undefined) external __Unwind_GetIP (from libunwind)
                 (undefined) external __Unwind_GetLanguageSpecificData (from libunwind)
                 (undefined) external __Unwind_GetRegionStart (from libunwind)
                 (undefined) external __Unwind_SetGR (from libunwind)
                 (undefined) external __Unwind_SetIP (from libunwind)
                 (undefined) external ____chkstk_darwin (from libsystem_pthread)
00007ff80b4e801a (__TEXT,__text) external ___absvdi2
00007ff80b4eb506 (__TEXT,__text) external ___modti3
00007ff80b4eb56e (__TEXT,__text) external ___muldc3
00007ff80b4eb750 (__TEXT,__text) external ___muldi3
00007ff80b4eb7cf (__TEXT,__text) external ___mulodi4
00007ff80b4eb85e (__TEXT,__text) external ___mulosi4
00007ff80b4eb8d1 (__TEXT,__text) external ___muloti4
00007ff80b4eb9d8 (__TEXT,__text) external ___mulsc3
00007ff80b4ebc1a (__TEXT,__text) external ___multi3
00007ff80b4ebc72 (__TEXT,__text) external ___mulvdi3
00007ff80b4ebd71 (__TEXT,__text) external ___mulvsi3
00007ff80b4ebe4d (__TEXT,__text) external ___mulvti3
00007ff80b4ebfd4 (__TEXT,__text) external ___mulxc3
00007ff80b4ec339 (__TEXT,__text) external ___negdi2
00007ff80b4ec340 (__TEXT,__text) external ___negti2
00007ff80b4ec34c (__TEXT,__text) external ___negvdi2
00007ff80b4ec37b (__TEXT,__text) external ___negvsi2
00007ff80b4ec3a1 (__TEXT,__text) external ___negvti2
00007ff80b4ec3d3 (__TEXT,__text) external ___paritydi2
00007ff80b4ec3ff (__TEXT,__text) external ___paritysi2
00007ff80b4ec422 (__TEXT,__text) external ___parityti2
00007ff80b4ec451 (__TEXT,__text) external ___popcountdi2
00007ff80b4ec4b3 (__TEXT,__text) external ___popcountsi2
00007ff80b4ec4ec (__TEXT,__text) external ___popcountti2
00007ff80b4ec57a (__TEXT,__text) external ___powidf2
00007ff80b4ec5ce (__TEXT,__text) external ___powisf2
00007ff80b4ec61f (__TEXT,__text) external ___powixf2
                 (undefined) external ___stack_chk_fail (from libsystem_c)
                 (undefined) external ___stack_chk_guard (from libsystem_c)
00007ff80b4ec67d (__TEXT,__text) external ___subvdi3
00007ff80b4ec6c5 (__TEXT,__text) external ___subvsi3
00007ff80b4ec708 (__TEXT,__text) external ___subvti3
00007ff80b4ec75c (__TEXT,__text) external ___truncdfhf2
00007ff80b4ec889 (__TEXT,__text) external ___truncsfhf2
00007ff80b4ec97a (__TEXT,__text) external ___ucmpdi2
00007ff80b4ec9a9 (__TEXT,__text) external ___ucmpti2
00007ff80b4e7d84 (__TEXT,__text) external ___udivdi3
00007ff80b4ec9cd (__TEXT,__text) external ___udivmoddi4
00007ff80b4e7cc4 (__TEXT,__text) external ___udivmodti4
00007ff80b4e7cbc (__TEXT,__text) external ___udivti3
00007ff80b4e7e05 (__TEXT,__text) external ___umoddi3
00007ff80b4ecc2a (__TEXT,__text) external ___umodti3
00007ff80b4e92c4 (__TEXT,__text) external _atomic_flag_clear
00007ff80b4e92c9 (__TEXT,__text) external _atomic_flag_clear_explicit
00007ff80b4e92dc (__TEXT,__text) external _atomic_flag_test_and_set
00007ff80b4e92e4 (__TEXT,__text) external _atomic_flag_test_and_set_explicit
00007ff80b4e9318 (__TEXT,__text) external _atomic_signal_fence
00007ff80b4e9344 (__TEXT,__text) external _atomic_thread_fence
                 (undefined) external _fmaxl (from libsystem_m)
00007ff8422fda30 (__DATA,__bss) non-external _locks
                 (undefined) external _logbl (from libsystem_m)
                 (undefined) external _memcmp (from libsystem_c)
                 (undefined) external _memcpy (from libsystem_c)
                 (undefined) external _mprotect (from libsystem_kernel)
00007ff80b4eb39e (__TEXT,__text) non-external _readEncodedPointer
                 (undefined) external _scalbnl (from libsystem_m)
00007ff80b4ed730 (__TEXT,__const) non-external two
00007ff80b4ed700 (__TEXT,__const) non-external twop52
00007ff80b4ed740 (__TEXT,__const) non-external twop64
00007ff80b4ed720 (__TEXT,__const) non-external twop84
00007ff80b4ed710 (__TEXT,__const) non-external twop84_plus_twop52
