0000000182bb24f8 (__DATA,__data) non-external _C
0000000182bb24f0 (__DATA,__data) non-external (was a private external) ___locale_key
0000000180a3a5c8 (__TEXT,__text) external ___log2
0000000180a91540 (__TEXT,__const) non-external (was a private external) ___lowercase_hex
0000000180a408b0 (__TEXT,__text) external ___lshift_D2A
0000000180a4fba4 (__TEXT,__text) external ___maskrune
0000000180a4fd3c (__TEXT,__text) external ___maskrune_l
0000000180a40f10 (__TEXT,__text) external ___match_D2A
0000000182bb2c8c (__DATA,__data) external ___mb_cur_max
0000000182bb2c90 (__DATA,__data) external ___mb_sb_limit
0000000180a64e68 (__TEXT,__text) non-external ___mbsconv
0000000180a4ef30 (__TEXT,__text) non-external (was a private external) ___mbsnrtowcs_std
0000000180a8d44c (__TEXT,__text) external ___memccpy_chk
0000000180a8d77c (__TEXT,__text) external ___memcpy_chk
0000000180a8d3b8 (__TEXT,__text) external ___memmove_chk
0000000180a8d25c (__TEXT,__text) external ___memset_chk
0000000180a4e0d0 (__TEXT,__text) non-external (was a private external) ___messages_load_locale
0000000182bb4320 (__DATA,__bss) non-external ___messages_load_locale.cache
0000000180a4e310 (__TEXT,__text) non-external (was a private external) ___monetary_load_locale
0000000182bb4330 (__DATA,__bss) non-external ___monetary_load_locale.cache
0000000180a40664 (__TEXT,__text) external ___mult_D2A
0000000180a40504 (__TEXT,__text) external ___multadd_D2A
0000000180a54a64 (__TEXT,__text) non-external ___nls_free_resources
0000000180a90f99 (__TEXT,__const) non-external ___nogrouping
0000000180a3e048 (__TEXT,__text) external ___nrv_alloc_D2A
0000000180a30ddc (__TEXT,__text) non-external (was a private external) ___numeric_ctype
0000000180a4e7a8 (__TEXT,__text) non-external (was a private external) ___numeric_load_locale
0000000182bb4340 (__DATA,__bss) non-external ___numeric_load_locale.cache
                 (undefined) external ___open (from libsystem_kernel)
                 (undefined) external ___open_nocancel (from libsystem_kernel)
0000000180a508fc (__TEXT,__text) non-external (was a private external) ___open_path_locale
0000000180a459cc (__TEXT,__text) external ___opendir2
0000000180a45af8 (__TEXT,__text) non-external ___opendir_common
0000000180a35da4 (__TEXT,__text) external ___ovfl_delete
0000000180a35bbc (__TEXT,__text) external ___ovfl_get
0000000180a35ca4 (__TEXT,__text) external ___ovfl_put
0000000180a62208 (__TEXT,__text) non-external (was a private external) ___parsefloat_buf
0000000182bb5dc0 (__DATA,__bss) non-external ___parsefloat_buf.bsiz
0000000182bb5db8 (__DATA,__bss) non-external ___parsefloat_buf.parsefloat_tsd_key
0000000182bb3090 (__DATA,__data) non-external ___parsefloat_buf.parsefloat_tsd_lock
0000000180a4de20 (__TEXT,__text) non-external (was a private external) ___part_load_locale
                 (undefined) external ___platform_sigaction (from libsystem_platform)
0000000182bbef68 (__DATA,__common) non-external (was a private external) ___popen_pidlist
0000000182bb2b38 (__DATA,__data) non-external (was a private external) ___popen_pidlist_mutex
0000000180a40798 (__TEXT,__text) external ___pow5mult_D2A
0000000180a90828 (__TEXT,__const) non-external ___pow5mult_D2A.p05
0000000180a7debc (__TEXT,__text) non-external (was a private external) ___printf_arginfo_chr
0000000180a8f19c (__TEXT,__text) non-external ___printf_arginfo_chr.cold.1
0000000180a7c2e0 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_errno
0000000180a8efc0 (__TEXT,__text) non-external ___printf_arginfo_errno.cold.1
0000000180a7c41c (__TEXT,__text) non-external (was a private external) ___printf_arginfo_float
0000000180a8efec (__TEXT,__text) non-external ___printf_arginfo_float.cold.1
0000000180a7ce10 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_hexdump
0000000180a8f044 (__TEXT,__text) non-external ___printf_arginfo_hexdump.cold.1
0000000180a7d0c0 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_int
0000000180a8f070 (__TEXT,__text) non-external ___printf_arginfo_int.cold.1
0000000180a7e6d0 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_n
0000000180a8f220 (__TEXT,__text) non-external ___printf_arginfo_n.cold.1
0000000180a7e6b8 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_pct
0000000180a7d868 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_ptr
0000000180a8f118 (__TEXT,__text) non-external ___printf_arginfo_ptr.cold.1
0000000180a7d924 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_quote
0000000180a8f144 (__TEXT,__text) non-external ___printf_arginfo_quote.cold.1
0000000180a7dc04 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_str
0000000180a8f170 (__TEXT,__text) non-external ___printf_arginfo_str.cold.1
0000000180a7e050 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_time
0000000180a8f1c8 (__TEXT,__text) non-external ___printf_arginfo_time.cold.1
0000000180a7e34c (__TEXT,__text) non-external (was a private external) ___printf_arginfo_vis
0000000180a8f1f4 (__TEXT,__text) non-external ___printf_arginfo_vis.cold.1
0000000180a7e8d0 (__TEXT,__text) non-external (was a private external) ___printf_comp
0000000180a7eff4 (__TEXT,__text) non-external (was a private external) ___printf_exec
0000000180a7e4ac (__TEXT,__text) non-external (was a private external) ___printf_flush
0000000180a5cfc8 (__TEXT,__text) non-external (was a private external) ___printf_is_memory_read_only
0000000180a7e604 (__TEXT,__text) non-external (was a private external) ___printf_out
0000000180a7e558 (__TEXT,__text) non-external (was a private external) ___printf_pad
0000000180a7e4e4 (__TEXT,__text) non-external (was a private external) ___printf_puts
0000000180a7df04 (__TEXT,__text) non-external (was a private external) ___printf_render_chr
0000000180a7c304 (__TEXT,__text) non-external (was a private external) ___printf_render_errno
0000000180a7c468 (__TEXT,__text) non-external (was a private external) ___printf_render_float
0000000180a8f018 (__TEXT,__text) non-external ___printf_render_float.cold.1
0000000180a7ce3c (__TEXT,__text) non-external (was a private external) ___printf_render_hexdump
0000000180a7d160 (__TEXT,__text) non-external (was a private external) ___printf_render_int
0000000180a8f09c (__TEXT,__text) non-external ___printf_render_int.cold.1
0000000180a8f0c8 (__TEXT,__text) non-external ___printf_render_int.cold.2
0000000180a7e6f4 (__TEXT,__text) non-external (was a private external) ___printf_render_n
0000000180a7e6c0 (__TEXT,__text) non-external (was a private external) ___printf_render_pct
0000000180a7d89c (__TEXT,__text) non-external (was a private external) ___printf_render_ptr
0000000180a7d948 (__TEXT,__text) non-external (was a private external) ___printf_render_quote
0000000180a7dc40 (__TEXT,__text) non-external (was a private external) ___printf_render_str
0000000180a7e074 (__TEXT,__text) non-external (was a private external) ___printf_render_time
0000000180a7e370 (__TEXT,__text) non-external (was a private external) ___printf_render_vis
0000000180a44be0 (__TEXT,__text) non-external (was a private external) ___private_getcwd
0000000182bb41e8 (__DATA,__bss) non-external ___progname_pointer
                 (undefined) external ___pthread_workqueue_setkill (from libsystem_pthread)
0000000180a3b5ec (__TEXT,__text) external ___put_page
0000000180a91068 (__TEXT,__const) non-external (was a private external) ___puts_null__
0000000180a3e0b4 (__TEXT,__text) external ___quorem_D2A
0000000180a40e70 (__TEXT,__text) external ___ratio_D2A
0000000180a3c3a8 (__TEXT,__text) external ___rec_close
0000000180a3c6a4 (__TEXT,__text) external ___rec_delete
0000000180a3c7e8 (__TEXT,__text) external ___rec_dleaf
0000000180a3d1f0 (__TEXT,__text) external ___rec_fd
0000000180a3cc60 (__TEXT,__text) external ___rec_fmap
0000000180a3ca20 (__TEXT,__text) external ___rec_fpipe
0000000180a3c914 (__TEXT,__text) external ___rec_get
0000000180a3d4f4 (__TEXT,__text) external ___rec_iput
0000000180a3ce50 (__TEXT,__text) external ___rec_open
0000000180a3d248 (__TEXT,__text) external ___rec_put
0000000180a3dafc (__TEXT,__text) external ___rec_ret
0000000180a3d744 (__TEXT,__text) external ___rec_search
0000000180a3d920 (__TEXT,__text) external ___rec_seq
0000000180a3c460 (__TEXT,__text) external ___rec_sync
0000000180a3cd74 (__TEXT,__text) external ___rec_vmap
0000000180a3cb38 (__TEXT,__text) external ___rec_vpipe
0000000180a3a4cc (__TEXT,__text) external ___reclaim_buf
                 (undefined) external ___recvfrom (from libsystem_kernel)
                 (undefined) external ___recvfrom_nocancel (from libsystem_kernel)
0000000180a40104 (__TEXT,__text) external ___rshift_D2A
0000000180a3dfec (__TEXT,__text) external ___rv_alloc_D2A
0000000180a40d84 (__TEXT,__text) external ___s2b_D2A
0000000182bd92e8 (__AUTH,__data) external ___sF
0000000182bb2d80 (__DATA,__data) non-external ___sFX
0000000180a5be6c (__TEXT,__text) external ___sclose
0000000182bb4568 (__DATA,__bss) non-external ___scounted
0000000182bbef80 (__DATA,__common) external ___sdidinit
                 (undefined) external ___semwait_signal (from libsystem_kernel)
                 (undefined) external ___semwait_signal_nocancel (from libsystem_kernel)
                 (undefined) external ___sendto (from libsystem_kernel)
                 (undefined) external ___sendto_nocancel (from libsystem_kernel)
0000000180a77cdc (__TEXT,__text) non-external (was a private external) ___setenv_locked
0000000180a50a1c (__TEXT,__text) non-external (was a private external) ___setrunelocale
0000000182bb4518 (__DATA,__bss) non-external ___setrunelocale.CachedRuneLocale
0000000182bb4520 (__DATA,__bss) non-external ___setrunelocale.cache_lock
                 (undefined) external ___settimeofday (from libsystem_kernel)
0000000180a80d0c (__TEXT,__text) non-external ___setup_vars
0000000180a561d4 (__TEXT,__text) external ___sflags
0000000180a55174 (__TEXT,__text) external ___sflush
0000000180a55cf4 (__TEXT,__text) external ___sfp
0000000180a560b8 (__TEXT,__text) non-external (was a private external) ___sfprelease
0000000180a57cc8 (__TEXT,__text) external ___sfvwrite
0000000182bb3020 (__DATA,__data) external ___sglue
                 (undefined) external ___sigaltstack (from libsystem_kernel)
0000000180a55eec (__TEXT,__text) external ___sinit
0000000180a5537c (__TEXT,__text) external ___slbexpand
0000000180a58988 (__TEXT,__text) external ___smakebuf
0000000180a8e9f4 (__TEXT,__text) non-external ___smakebuf.cold.1
0000000180a8d4b0 (__TEXT,__text) external ___snprintf_chk
0000000180a8d4ec (__TEXT,__text) external ___snprintf_object_size_chk
0000000180a3a768 (__TEXT,__text) external ___split_page
0000000180a654f4 (__TEXT,__text) non-external ___sprint
0000000180a8d6a0 (__TEXT,__text) external ___sprintf_chk
0000000180a8d710 (__TEXT,__text) external ___sprintf_object_size_chk
0000000180a5be24 (__TEXT,__text) external ___sread
0000000180a5b744 (__TEXT,__text) external ___srefill
0000000180a5b52c (__TEXT,__text) non-external (was a private external) ___srefill0
0000000180a5b6d4 (__TEXT,__text) non-external (was a private external) ___srefill1
0000000180a5b894 (__TEXT,__text) external ___srget
0000000180a5be64 (__TEXT,__text) external ___sseek
0000000180a7184c (__TEXT,__text) external ___stack_chk_fail
0000000182bbefa0 (__DATA,__common) external ___stack_chk_guard
0000000182bb5d88 (__DATA,__bss) non-external ___stderr_evp
0000000182bb3000 (__DATA,__data) external ___stderrp
0000000182bb5d68 (__DATA,__bss) non-external ___stdin_evp
0000000182bb2ff0 (__DATA,__data) external ___stdinp
0000000180a41378 (__TEXT,__text) non-external (was a private external) ___stdio_init
0000000182bb5d78 (__DATA,__bss) non-external ___stdout_evp
0000000182bb2ff8 (__DATA,__data) external ___stdoutp
0000000180a8d630 (__TEXT,__text) external ___stpcpy_chk
0000000180a8d7a4 (__TEXT,__text) external ___stpncpy_chk
0000000180a8f2c8 (__TEXT,__text) non-external ___stpncpy_chk.cold.1
0000000180a8d530 (__TEXT,__text) external ___strcat_chk
0000000180a40d64 (__TEXT,__text) external ___strcp_D2A
0000000180a8d3e0 (__TEXT,__text) external ___strcpy_chk
0000000182bbee50 (__DATA,__bss) non-external ___strerror_ebuf
0000000180a8d108 (__TEXT,__text) external ___strlcat_chk
0000000180a8d284 (__TEXT,__text) external ___strlcpy_chk
0000000180a8d2e4 (__TEXT,__text) external ___strncat_chk
0000000180a8d384 (__TEXT,__text) external ___strncpy_chk
0000000180a8f24c (__TEXT,__text) non-external ___strncpy_chk.cold.1
0000000180a41044 (__TEXT,__text) external ___sum_D2A
0000000180a621dc (__TEXT,__text) external ___svfscanf
0000000180a604bc (__TEXT,__text) non-external (was a private external) ___svfscanf_l
0000000180a910b0 (__TEXT,__const) non-external ___svfscanf_l.basefix
