0000000182afa7a8 (__DATA,__data) external _NDR_record
00000001809e4f9c (__TEXT,__text) external ___fcntl_nocancel
00000001809e4fc8 (__TEXT,__text) external ___fork
00000001809e5014 (__TEXT,__text) external ___fs_snapshot
00000001809e5040 (__TEXT,__text) external ___fstat64_extended
00000001809e506c (__TEXT,__text) external ___fstat_extended
00000001809e5098 (__TEXT,__text) external ___fsync_nocancel
00000001809f929c (__TEXT,__text) external ___get_remove_counter
00000001809e50c4 (__TEXT,__text) external ___getattrlist
00000001809e50f0 (__TEXT,__text) external ___getdirentries64
00000001809e511c (__TEXT,__text) external ___gethostuuid
00000001809e5148 (__TEXT,__text) external ___getlogin
00000001809e5174 (__TEXT,__text) external ___getpeername
00000001809e51a0 (__TEXT,__text) external ___getpid
00000001809e51f0 (__TEXT,__text) external ___getrlimit
00000001809e521c (__TEXT,__text) external ___getsgroups
00000001809e5248 (__TEXT,__text) external ___getsockname
00000001809e5274 (__TEXT,__text) external ___gettid
00000001809e52cc (__TEXT,__text) external ___gettimeofday
00000001809e52a0 (__TEXT,__text) non-external (was a private external) ___gettimeofday_with_mach
00000001809e52fc (__TEXT,__text) external ___getwgroups
00000001809e5328 (__TEXT,__text) external ___guarded_open_dprotected_np
00000001809e5354 (__TEXT,__text) external ___guarded_open_np
00000001809e5380 (__TEXT,__text) external ___identitysvc
00000001809f92b0 (__TEXT,__text) external ___inc_remove_counter
00000001809e53ac (__TEXT,__text) external ___initgroups
00000001809e53d8 (__TEXT,__text) external ___ioctl
00000001809e5404 (__TEXT,__text) external ___iopolicysys
00000001809e5430 (__TEXT,__text) external ___kdebug_trace
00000001809e545c (__TEXT,__text) external ___kdebug_trace64
00000001809e5488 (__TEXT,__text) external ___kdebug_trace_string
00000001809e54b4 (__TEXT,__text) external ___kdebug_typefilter
0000000180a16ae8 (__TEXT,__const) non-external (was a private external) ___kernelVersionNumber
0000000180a16ab0 (__TEXT,__const) non-external (was a private external) ___kernelVersionString
00000001809e54e0 (__TEXT,__text) external ___kill
00000001809e550c (__TEXT,__text) external ___kqueue_workloop_ctl
00000001809e5538 (__TEXT,__text) external ___lchown
00000001809e9b34 (__TEXT,__text) external ___libkernel_init
00000001809e9be8 (__TEXT,__text) external ___libkernel_init_after_boot_tasks
00000001809e9be4 (__TEXT,__text) external ___libkernel_init_late
00000001809e995c (__TEXT,__text) external ___libkernel_platform_init
00000001809e9994 (__TEXT,__text) external ___libkernel_voucher_init
00000001809e5564 (__TEXT,__text) external ___listen
00000001809e5590 (__TEXT,__text) external ___log_data
00000001809e55bc (__TEXT,__text) external ___lseek
00000001809e55e8 (__TEXT,__text) external ___lstat64_extended
00000001809e5614 (__TEXT,__text) external ___lstat_extended
00000001809e5640 (__TEXT,__text) external ___mac_execve
00000001809e566c (__TEXT,__text) external ___mac_get_fd
00000001809e5698 (__TEXT,__text) external ___mac_get_file
00000001809e56c4 (__TEXT,__text) external ___mac_get_link
00000001809e56f0 (__TEXT,__text) external ___mac_get_mount
00000001809e571c (__TEXT,__text) external ___mac_get_pid
00000001809e5748 (__TEXT,__text) external ___mac_get_proc
00000001809e5774 (__TEXT,__text) external ___mac_getfsstat
00000001809e57a0 (__TEXT,__text) external ___mac_mount
00000001809e57cc (__TEXT,__text) external ___mac_set_fd
00000001809e57f8 (__TEXT,__text) external ___mac_set_file
00000001809e5824 (__TEXT,__text) external ___mac_set_link
00000001809e5850 (__TEXT,__text) external ___mac_set_proc
00000001809e587c (__TEXT,__text) external ___mac_syscall
00000001809e58a8 (__TEXT,__text) external ___mach_bridge_remote_time
00000001809e58d4 (__TEXT,__text) external ___mach_eventlink_signal
00000001809e5900 (__TEXT,__text) external ___mach_eventlink_signal_wait_until
00000001809e592c (__TEXT,__text) external ___mach_eventlink_wait_until
00000001809e5958 (__TEXT,__text) external ___map_with_linking_np
00000001809e5984 (__TEXT,__text) external ___memorystatus_available_memory
00000001809e59b0 (__TEXT,__text) external ___microstackshot
00000001809e59dc (__TEXT,__text) external ___mkdir_extended
00000001809e5a08 (__TEXT,__text) external ___mkfifo_extended
00000001809e5a34 (__TEXT,__text) external ___mmap
00000001809e5a60 (__TEXT,__text) external ___mprotect
00000001809e5a8c (__TEXT,__text) external ___msgctl
00000001809e5ab8 (__TEXT,__text) external ___msgrcv_nocancel
00000001809e5ae4 (__TEXT,__text) external ___msgsnd_nocancel
00000001809e5b10 (__TEXT,__text) external ___msgsys
00000001809e5b3c (__TEXT,__text) external ___msync
00000001809e5b68 (__TEXT,__text) external ___msync_nocancel
00000001809e5b94 (__TEXT,__text) external ___munmap
00000001809e5bc0 (__TEXT,__text) external ___nexus_create
00000001809e5bec (__TEXT,__text) external ___nexus_deregister
00000001809e5c18 (__TEXT,__text) external ___nexus_destroy
00000001809e5c44 (__TEXT,__text) external ___nexus_get_opt
00000001809e5c70 (__TEXT,__text) external ___nexus_open
00000001809e5c9c (__TEXT,__text) external ___nexus_register
00000001809e5cc8 (__TEXT,__text) external ___nexus_set_opt
00000001809e5cf4 (__TEXT,__text) external ___open
00000001809e5d20 (__TEXT,__text) external ___open_dprotected_np
00000001809e5d4c (__TEXT,__text) external ___open_extended
00000001809e5d78 (__TEXT,__text) external ___open_nocancel
00000001809e5da4 (__TEXT,__text) external ___openat
00000001809e5dd0 (__TEXT,__text) external ___openat_dprotected_np
00000001809e5dfc (__TEXT,__text) external ___openat_nocancel
0000000182afaec8 (__DATA,__bss) non-external ___os_ch_md_redzone_cookie
00000001809f877c (__TEXT,__text) external ___os_nexus_flow_add
00000001809f8808 (__TEXT,__text) external ___os_nexus_flow_del
00000001809f8964 (__TEXT,__text) external ___os_nexus_get_llink_info
00000001809f8588 (__TEXT,__text) external ___os_nexus_ifattach
00000001809f86b4 (__TEXT,__text) external ___os_nexus_ifdetach
00000001809e5e28 (__TEXT,__text) external ___persona
00000001809e5e54 (__TEXT,__text) external ___pipe
00000001809e5e8c (__TEXT,__text) external ___poll_nocancel
00000001809e5eb8 (__TEXT,__text) external ___posix_spawn
00000001809e5ee4 (__TEXT,__text) external ___pread_nocancel
00000001809e5f10 (__TEXT,__text) external ___preadv_nocancel
00000001809e5f3c (__TEXT,__text) external ___proc_info
00000001809e5f68 (__TEXT,__text) external ___proc_info_extended_id
00000001809e5f94 (__TEXT,__text) external ___process_policy
00000001809e5fc0 (__TEXT,__text) external ___pselect
00000001809e5fec (__TEXT,__text) external ___pselect_nocancel
00000001809e6018 (__TEXT,__text) external ___psynch_cvbroad
00000001809e6044 (__TEXT,__text) external ___psynch_cvclrprepost
00000001809e6070 (__TEXT,__text) external ___psynch_cvsignal
00000001809e609c (__TEXT,__text) external ___psynch_cvwait
00000001809e60c8 (__TEXT,__text) external ___psynch_mutexdrop
00000001809e60f4 (__TEXT,__text) external ___psynch_mutexwait
00000001809e6120 (__TEXT,__text) external ___psynch_rw_downgrade
00000001809e614c (__TEXT,__text) external ___psynch_rw_longrdlock
00000001809e6178 (__TEXT,__text) external ___psynch_rw_rdlock
00000001809e61a4 (__TEXT,__text) external ___psynch_rw_unlock
00000001809e61d0 (__TEXT,__text) external ___psynch_rw_unlock2
00000001809e61fc (__TEXT,__text) external ___psynch_rw_upgrade
00000001809e6228 (__TEXT,__text) external ___psynch_rw_wrlock
00000001809e6254 (__TEXT,__text) external ___psynch_rw_yieldwrlock
00000001809e6280 (__TEXT,__text) external ___pthread_canceled
00000001809e62ac (__TEXT,__text) external ___pthread_chdir
00000001809e62d8 (__TEXT,__text) external ___pthread_fchdir
00000001809e6304 (__TEXT,__text) external ___pthread_kill
00000001809e6330 (__TEXT,__text) external ___pthread_markcancel
00000001809e635c (__TEXT,__text) external ___pthread_sigmask
00000001809e6388 (__TEXT,__text) external ___ptrace
00000001809e63c0 (__TEXT,__text) external ___pwrite_nocancel
00000001809e63ec (__TEXT,__text) external ___pwritev_nocancel
00000001809e6418 (__TEXT,__text) external ___read_nocancel
00000001809e6444 (__TEXT,__text) external ___readv_nocancel
00000001809e6470 (__TEXT,__text) external ___reboot
00000001809e649c (__TEXT,__text) external ___record_system_event
00000001809e64c8 (__TEXT,__text) external ___recvfrom
00000001809e64f4 (__TEXT,__text) external ___recvfrom_nocancel
00000001809e6520 (__TEXT,__text) external ___recvmsg
00000001809e654c (__TEXT,__text) external ___recvmsg_nocancel
0000000182afaee8 (__DATA,__bss) non-external ___remove_counter
00000001809e6578 (__TEXT,__text) external ___rename
00000001809e65a4 (__TEXT,__text) external ___renameat
00000001809e65d0 (__TEXT,__text) external ___renameatx_np
00000001809e65fc (__TEXT,__text) external ___rmdir
00000001809e5640 (__TEXT,__text) external ___sandbox_me
00000001809e57a0 (__TEXT,__text) external ___sandbox_mm
00000001809e587c (__TEXT,__text) external ___sandbox_ms
00000001809e5850 (__TEXT,__text) external ___sandbox_msp
00000001809e6628 (__TEXT,__text) external ___select
00000001809e6654 (__TEXT,__text) external ___select_nocancel
00000001809e6680 (__TEXT,__text) external ___sem_open
00000001809e66ac (__TEXT,__text) external ___sem_wait_nocancel
00000001809e66d8 (__TEXT,__text) external ___semctl
00000001809e6704 (__TEXT,__text) external ___semsys
00000001809e6730 (__TEXT,__text) external ___semwait_signal
00000001809e675c (__TEXT,__text) external ___semwait_signal_nocancel
00000001809e6788 (__TEXT,__text) external ___sendmsg
00000001809e67b4 (__TEXT,__text) external ___sendmsg_nocancel
00000001809e67e0 (__TEXT,__text) external ___sendto
00000001809e680c (__TEXT,__text) external ___sendto_nocancel
00000001809e6838 (__TEXT,__text) external ___setattrlist
00000001809e6864 (__TEXT,__text) external ___setlogin
00000001809e6890 (__TEXT,__text) external ___setpriority
00000001809e68bc (__TEXT,__text) external ___setregid
00000001809e68e8 (__TEXT,__text) external ___setreuid
00000001809e6914 (__TEXT,__text) external ___setrlimit
00000001809e6940 (__TEXT,__text) external ___setsgroups
00000001809e696c (__TEXT,__text) external ___settid
00000001809e6998 (__TEXT,__text) external ___settid_with_pid
00000001809e69c4 (__TEXT,__text) external ___settimeofday
00000001809e69f0 (__TEXT,__text) external ___setwgroups
00000001809e6a1c (__TEXT,__text) external ___sfi_ctl
00000001809e6a48 (__TEXT,__text) external ___sfi_pidctl
00000001809e6a74 (__TEXT,__text) external ___shared_region_check_np
00000001809e6aa0 (__TEXT,__text) external ___shared_region_map_and_slide_2_np
00000001809e6acc (__TEXT,__text) external ___shm_open
00000001809e6af8 (__TEXT,__text) external ___shmctl
00000001809e6b24 (__TEXT,__text) external ___shmsys
00000001809e6b50 (__TEXT,__text) external ___sigaction
00000001809e6b7c (__TEXT,__text) external ___sigaltstack
00000001809e6ba8 (__TEXT,__text) external ___sigreturn
00000001809e6bd4 (__TEXT,__text) external ___sigsuspend
00000001809e6c00 (__TEXT,__text) external ___sigsuspend_nocancel
00000001809e6c2c (__TEXT,__text) external ___sigwait
00000001809e6c58 (__TEXT,__text) external ___socketpair
00000001809e6c84 (__TEXT,__text) external ___stack_snapshot_with_config
00000001809e6cb0 (__TEXT,__text) external ___stat64_extended
00000001809e6cdc (__TEXT,__text) external ___stat_extended
00000001809e6d08 (__TEXT,__text) external ___syscall
0000000182afae88 (__DATA,__common) external ___syscall_logger
00000001809e6d44 (__TEXT,__text) external ___sysctl
00000001809e6d70 (__TEXT,__text) external ___sysctlbyname
00000001809e6d9c (__TEXT,__text) external ___telemetry
00000001809e6dc8 (__TEXT,__text) external ___terminate_with_payload
00000001809e6df4 (__TEXT,__text) external ___thread_selfid
00000001809e6e20 (__TEXT,__text) external ___thread_selfusage
00000001809e6e4c (__TEXT,__text) external ___ulock_wait
00000001809e6e78 (__TEXT,__text) external ___ulock_wait2
00000001809e6ea4 (__TEXT,__text) external ___ulock_wake
00000001809e6ed0 (__TEXT,__text) external ___umask_extended
00000001809e6efc (__TEXT,__text) external ___unlink
00000001809e6f28 (__TEXT,__text) external ___unlinkat
00000001809e6f54 (__TEXT,__text) external ___vfork
00000001809e6fc4 (__TEXT,__text) external ___wait4
00000001809e6ff0 (__TEXT,__text) external ___wait4_nocancel
00000001809e701c (__TEXT,__text) external ___waitid_nocancel
00000001809e7048 (__TEXT,__text) external ___work_interval_ctl
00000001809e7074 (__TEXT,__text) external ___workq_kernreturn
00000001809e70a0 (__TEXT,__text) external ___workq_open
00000001809e70cc (__TEXT,__text) external ___write_nocancel
00000001809e70f8 (__TEXT,__text) external ___writev_nocancel
0000000182afa840 (__DATA,__common) external __cpu_capabilities
0000000182afa844 (__DATA,__common) external __cpu_has_altivec
0000000182afa5d8 (__DATA,__data) external __current_pid
0000000182afaea0 (__DATA,__bss) non-external __dlsym
00000001809e45d4 (__TEXT,__text) external __exclaves_ctl_trap
00000001809e4eec (__TEXT,__text) external __exit
00000001809e4890 (__TEXT,__text) external __get_cpu_capabilities
0000000182afaec0 (__DATA,__bss) non-external __gethostuuid_callback
00000001809efb48 (__TEXT,__text) external __getprivatesystemidentifier
00000001809ff620 (__TEXT,__text) external __host_page_size
00000001809f9424 (__TEXT,__text) external __init_cpu_capabilities
0000000180a00f00 (__TEXT,__text) external __kernelrpc_host_create_mach_voucher
0000000180a02430 (__TEXT,__text) external __kernelrpc_mach_port_allocate
0000000180a03a50 (__TEXT,__text) external __kernelrpc_mach_port_allocate_full
0000000180a02310 (__TEXT,__text) external __kernelrpc_mach_port_allocate_name
0000000180a038dc (__TEXT,__text) external __kernelrpc_mach_port_allocate_qos
00000001809e43c4 (__TEXT,__text) external __kernelrpc_mach_port_allocate_trap
0000000180a0588c (__TEXT,__text) external __kernelrpc_mach_port_assert_attributes
0000000180a0494c (__TEXT,__text) external __kernelrpc_mach_port_construct
00000001809e4418 (__TEXT,__text) external __kernelrpc_mach_port_construct_trap
0000000180a026a8 (__TEXT,__text) external __kernelrpc_mach_port_deallocate
00000001809e43d0 (__TEXT,__text) external __kernelrpc_mach_port_deallocate_trap
0000000180a02588 (__TEXT,__text) external __kernelrpc_mach_port_destroy
0000000180a04ac0 (__TEXT,__text) external __kernelrpc_mach_port_destruct
00000001809e4424 (__TEXT,__text) external __kernelrpc_mach_port_destruct_trap
0000000180a04054 (__TEXT,__text) external __kernelrpc_mach_port_dnrequest_info
0000000180a04444 (__TEXT,__text) external __kernelrpc_mach_port_extract_member
00000001809e440c (__TEXT,__text) external __kernelrpc_mach_port_extract_member_trap
0000000180a032e4 (__TEXT,__text) external __kernelrpc_mach_port_extract_right
0000000180a03580 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes
00000001809e44cc (__TEXT,__text) external __kernelrpc_mach_port_get_attributes_trap
0000000180a04564 (__TEXT,__text) external __kernelrpc_mach_port_get_context
0000000180a027c8 (__TEXT,__text) external __kernelrpc_mach_port_get_refs
0000000180a056b0 (__TEXT,__text) external __kernelrpc_mach_port_get_service_port_info
0000000180a02d74 (__TEXT,__text) external __kernelrpc_mach_port_get_set_status
0000000180a03cfc (__TEXT,__text) external __kernelrpc_mach_port_get_srights
0000000180a04be0 (__TEXT,__text) external __kernelrpc_mach_port_guard
00000001809e44d8 (__TEXT,__text) external __kernelrpc_mach_port_guard_trap
0000000180a050d0 (__TEXT,__text) external __kernelrpc_mach_port_guard_with_flags
0000000180a04324 (__TEXT,__text) external __kernelrpc_mach_port_insert_member
00000001809e4400 (__TEXT,__text) external __kernelrpc_mach_port_insert_member_trap
0000000180a031b4 (__TEXT,__text) external __kernelrpc_mach_port_insert_right
00000001809e43f4 (__TEXT,__text) external __kernelrpc_mach_port_insert_right_trap
0000000180a05558 (__TEXT,__text) external __kernelrpc_mach_port_is_connection_for_service
0000000180a041bc (__TEXT,__text) external __kernelrpc_mach_port_kernel_object
0000000180a047dc (__TEXT,__text) external __kernelrpc_mach_port_kobject
0000000180a05318 (__TEXT,__text) external __kernelrpc_mach_port_kobject_description
0000000180a0291c (__TEXT,__text) external __kernelrpc_mach_port_mod_refs
00000001809e43dc (__TEXT,__text) external __kernelrpc_mach_port_mod_refs_trap
0000000180a02f0c (__TEXT,__text) external __kernelrpc_mach_port_move_member
00000001809e43e8 (__TEXT,__text) external __kernelrpc_mach_port_move_member_trap
0000000180a01ed4 (__TEXT,__text) external __kernelrpc_mach_port_names
0000000180a02a3c (__TEXT,__text) external __kernelrpc_mach_port_peek
0000000180a021f0 (__TEXT,__text) external __kernelrpc_mach_port_rename
0000000180a0302c (__TEXT,__text) external __kernelrpc_mach_port_request_notification
00000001809e45c8 (__TEXT,__text) external __kernelrpc_mach_port_request_notification_trap
0000000180a03770 (__TEXT,__text) external __kernelrpc_mach_port_set_attributes
0000000180a046bc (__TEXT,__text) external __kernelrpc_mach_port_set_context
0000000180a02c54 (__TEXT,__text) external __kernelrpc_mach_port_set_mscount
0000000180a03460 (__TEXT,__text) external __kernelrpc_mach_port_set_seqno
0000000180a04e24 (__TEXT,__text) external __kernelrpc_mach_port_space_basic_info
0000000180a03e54 (__TEXT,__text) external __kernelrpc_mach_port_space_info
0000000180a04f78 (__TEXT,__text) external __kernelrpc_mach_port_special_reply_port_reset_link
0000000180a051f4 (__TEXT,__text) external __kernelrpc_mach_port_swap_guard
0000000180a02098 (__TEXT,__text) external __kernelrpc_mach_port_type
00000001809e45bc (__TEXT,__text) external __kernelrpc_mach_port_type_trap
0000000180a04d04 (__TEXT,__text) external __kernelrpc_mach_port_unguard
00000001809e44e4 (__TEXT,__text) external __kernelrpc_mach_port_unguard_trap
0000000180a0a60c (__TEXT,__text) external __kernelrpc_mach_ports_lookup3
0000000180a0a4d8 (__TEXT,__text) external __kernelrpc_mach_ports_register3
0000000180a0f048 (__TEXT,__text) external __kernelrpc_mach_task_is_self
0000000180a059f8 (__TEXT,__text) external __kernelrpc_mach_vm_allocate
00000001809e437c (__TEXT,__text) external __kernelrpc_mach_vm_allocate_trap
0000000180a05b54 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate
00000001809e4394 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate_trap
0000000180a067c8 (__TEXT,__text) external __kernelrpc_mach_vm_map
00000001809e43b8 (__TEXT,__text) external __kernelrpc_mach_vm_map_trap
0000000180a05c74 (__TEXT,__text) external __kernelrpc_mach_vm_protect
00000001809e43ac (__TEXT,__text) external __kernelrpc_mach_vm_protect_trap
0000000180a073a4 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control
00000001809e4388 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control_trap
0000000180a05ebc (__TEXT,__text) external __kernelrpc_mach_vm_read
0000000180a06ab8 (__TEXT,__text) external __kernelrpc_mach_vm_remap
0000000180a07844 (__TEXT,__text) external __kernelrpc_mach_vm_remap_new
0000000180a155fc (__TEXT,__text) external __kernelrpc_mach_voucher_extract_attr_recipe
0000000180a03bdc (__TEXT,__text) external __kernelrpc_task_set_port_space
0000000180a118c8 (__TEXT,__text) external __kernelrpc_thread_policy
0000000180a11a3c (__TEXT,__text) external __kernelrpc_thread_policy_set
0000000180a12384 (__TEXT,__text) external __kernelrpc_thread_set_policy
0000000180a138bc (__TEXT,__text) external __kernelrpc_vm_map
0000000180a14498 (__TEXT,__text) external __kernelrpc_vm_purgable_control
0000000180a12fb0 (__TEXT,__text) external __kernelrpc_vm_read
0000000180a13bac (__TEXT,__text) external __kernelrpc_vm_remap
0000000180a145f0 (__TEXT,__text) external __kernelrpc_vm_remap_new
00000001809e9c4c (__TEXT,__text) non-external __libkernel_bzero
0000000182afae98 (__DATA,__bss) non-external __libkernel_functions
0000000182b72c68 (__AUTH_CONST,__const) non-external __libkernel_generic_string_functions
00000001809e9ce0 (__TEXT,__text) non-external __libkernel_memmove
00000001809e9c58 (__TEXT,__text) non-external __libkernel_memset
00000001809e9bec (__TEXT,__text) non-external __libkernel_strchr
00000001809e9c24 (__TEXT,__text) non-external __libkernel_strcmp
00000001809e9df8 (__TEXT,__text) non-external __libkernel_strcpy
0000000182afa5e0 (__DATA,__data) non-external __libkernel_string_functions
00000001809e9e40 (__TEXT,__text) non-external __libkernel_strlcpy
00000001809e9a1c (__TEXT,__text) non-external __libkernel_strlen
0000000182afa5e8 (__DATA,__data) non-external __libkernel_voucher_functions
0000000180a16a80 (__TEXT,__const) non-external __libkernel_voucher_functions_empty
00000001809eb530 (__TEXT,__text) non-external __mach_continuous_time
0000000180ad2cd0 (__DATA_CONST,__const) external __mach_errors
00000001809ec05c (__TEXT,__text) external __mach_fork_child
00000001809ed9a0 (__TEXT,__text) external __mach_snprintf
00000001809ed82c (__TEXT,__text) external __mach_vsnprintf
0000000182afa848 (__DATA,__common) external __os_alloc_once_table
00000001809f14cc (__TEXT,__text) non-external __posix_spawn_file_actions_grow
00000001809f20f0 (__TEXT,__text) non-external __posix_spawnattr_get_posix_creds_info
00000001809efb4c (__TEXT,__text) external __register_gethostuuid_callback
0000000182afaeac (__DATA,__bss) non-external __task_reply_port
00000001809e96c8 (__TEXT,__text) external __thread_set_tsd_base
0000000180a15f5c (__TEXT,__text) non-external _abort
0000000180a15f80 (__TEXT,__text) non-external _abort.380
0000000180a15fa4 (__TEXT,__text) non-external _abort.382
0000000180a15fc8 (__TEXT,__text) non-external _abort.393
0000000180a16098 (__TEXT,__text) external _abort_with_payload
0000000180a1600c (__TEXT,__text) non-external _abort_with_payload_wrapper_internal
0000000180a15fec (__TEXT,__text) external _abort_with_reason
00000001809e49c4 (__TEXT,__text) external _accept
00000001809e49f0 (__TEXT,__text) external _accept$NOCANCEL
00000001809e7124 (__TEXT,__text) external _access
00000001809e4a1c (__TEXT,__text) external _accessx_np
00000001809e7150 (__TEXT,__text) external _acct
0000000180a0ff84 (__TEXT,__text) external _act_get_state
0000000180a101d0 (__TEXT,__text) external _act_set_state
00000001809e717c (__TEXT,__text) external _adjtime
00000001809e71a8 (__TEXT,__text) external _aio_cancel
00000001809e71d4 (__TEXT,__text) external _aio_error
00000001809e7200 (__TEXT,__text) external _aio_fsync
00000001809e722c (__TEXT,__text) external _aio_read
00000001809e7258 (__TEXT,__text) external _aio_return
00000001809e7284 (__TEXT,__text) external _aio_suspend
00000001809e4a48 (__TEXT,__text) external _aio_suspend$NOCANCEL
00000001809e72b0 (__TEXT,__text) external _aio_write
00000001809e72dc (__TEXT,__text) external _audit
00000001809e7308 (__TEXT,__text) external _audit_session_join
00000001809e7334 (__TEXT,__text) external _audit_session_port
00000001809e7360 (__TEXT,__text) external _audit_session_self
00000001809e738c (__TEXT,__text) external _auditctl
00000001809e73b8 (__TEXT,__text) external _auditon
00000001809e4a74 (__TEXT,__text) external _bind
0000000182afa7fc (__DATA,__common) external _bootstrap_port
00000001809e996c (__TEXT,__text) non-external _bzero
00000001809edc6c (__TEXT,__text) external _cerror
00000001809edc48 (__TEXT,__text) external _cerror_nocancel
00000001809e73e4 (__TEXT,__text) external _change_fdguard_np
00000001809e7410 (__TEXT,__text) external _chdir
00000001809e743c (__TEXT,__text) external _chflags
00000001809f0580 (__TEXT,__text) external _chmod
00000001809e7468 (__TEXT,__text) external _chown
00000001809e7494 (__TEXT,__text) external _chroot
00000001809fbef4 (__TEXT,__text) external _clock_alarm
00000001809fbb74 (__TEXT,__text) external _clock_alarm_reply
00000001809fbd28 (__TEXT,__text) external _clock_get_attributes
00000001809fbbdc (__TEXT,__text) external _clock_get_time
00000001809fba1c (__TEXT,__text) external _clock_set_attributes
00000001809fb900 (__TEXT,__text) external _clock_set_time
00000001809eb6b8 (__TEXT,__text) external _clock_sleep
00000001809e4598 (__TEXT,__text) external _clock_sleep_trap
00000001809eb50c (__TEXT,__text) external _clonefile
00000001809e74c0 (__TEXT,__text) external _clonefileat
00000001809e74ec (__TEXT,__text) external _close
00000001809e4c84 (__TEXT,__text) external _close$NOCANCEL
00000001809f69e8 (__TEXT,__text) external _coalition_create
00000001809f6a90 (__TEXT,__text) external _coalition_info_debug_info
00000001809f6a58 (__TEXT,__text) external _coalition_info_resource_usage
00000001809f6b00 (__TEXT,__text) external _coalition_info_set_efficiency
00000001809f6ac8 (__TEXT,__text) external _coalition_info_set_name
00000001809f6b3c (__TEXT,__text) external _coalition_ledger_set_logical_writes_limit
00000001809f6a28 (__TEXT,__text) external _coalition_reap
00000001809f69f8 (__TEXT,__text) external _coalition_terminate
00000001809e4d34 (__TEXT,__text) external _connect
00000001809e4d60 (__TEXT,__text) external _connect$NOCANCEL
00000001809e7518 (__TEXT,__text) external _connectx
00000001809e7544 (__TEXT,__text) external _csops
00000001809e7570 (__TEXT,__text) external _csops_audittoken
00000001809f6c20 (__TEXT,__text) external _csr_check
00000001809f6c50 (__TEXT,__text) external _csr_get_active_config
00000001809e4634 (__TEXT,__text) external _debug_control_port_for_pid
00000001809f6e48 (__TEXT,__text) external _debug_syscall_reject
00000001809f6d38 (__TEXT,__text) external _debug_syscall_reject_config
0000000182afa7a0 (__DATA,__data) external _denap_boost_assertion_token
00000001809e759c (__TEXT,__text) external _disconnectx
00000001809ebc8c (__TEXT,__text) non-external _do_compat
00000001809e75c8 (__TEXT,__text) external _dup
00000001809e75f4 (__TEXT,__text) external _dup2
0000000180ad26d0 (__DATA_CONST,__const) non-external _err_codes_auth
