00007fff58e4c8f4 (__TEXT,__text) non-external +[Cube initialize]
00007fff58e5cae0 (__TEXT,__text) non-external +[DDXMLNode removeChild:fromNode:]
00007fff58e5c9c9 (__TEXT,__text) non-external +[DDXMLNode removeNamespace:fromNode:]
00007fff58e5c6a0 (__TEXT,__text) non-external +[DDXMLNode stripDocPointersFromAttr:]
00007fff58e5af50 (__TEXT,__text) non-external +[DDXMLNode textWithStringValue:]
00007fff58d7a583 (__TEXT,__text) non-external +[MCActionForEachPlug forEachPlugActionForTargetPlugObjectID:withAction:andPrefix:]
00007fff58d78efd (__TEXT,__text) non-external +[MCActionGroup actionGroup]
00007fff58d7b34b (__TEXT,__text) non-external +[MCActionTrigger actionTriggerForTargetPlugObjectID:withActionKey:]
00007fff58d7cfa8 (__TEXT,__text) non-external +[MCAnimationKeyframe keyPathsForValuesAffectingValueForKey:]
00007fff58d7d73f (__TEXT,__text) non-external +[MCAnimationKeyframe1D keyframeWithScalar:atTime:]
00007fff58d7d753 (__TEXT,__text) non-external +[MCAnimationKeyframe1D keyframeWithScalar:atTime:offsetKind:]
00007fff58d7e78e (__TEXT,__text) non-external +[MCAnimationKeyframe2D keyframeWithPoint:atTime:]
00007fff58d7e7a2 (__TEXT,__text) non-external +[MCAnimationKeyframe2D keyframeWithPoint:atTime:offsetKind:]
00007fff58d7da5c (__TEXT,__text) non-external +[MCAnimationKeyframeFunction keyframeWithFunction:atTime:offsetKind:forDuration:]
00007fff58d7f258 (__TEXT,__text) non-external +[MCAnimationKeyframeVector keyframeWithVector:atTime:]
00007fff58d7f26c (__TEXT,__text) non-external +[MCAnimationKeyframeVector keyframeWithVector:atTime:offsetKind:]
00007fff58d7f732 (__TEXT,__text) non-external +[MCAnimationPath animationPathWithKey:]
00007fff58d81250 (__TEXT,__text) non-external +[MCAnimationPathExpression animationPathWithKey:andExpression:]
00007fff58d8151e (__TEXT,__text) non-external +[MCAnimationPathKeyframed animationPathWithKey:]
00007fff58d814a1 (__TEXT,__text) non-external +[MCAnimationPathKeyframed keyPathsForValuesAffectingValueForKey:]
00007fff58d82166 (__TEXT,__text) non-external +[MCAnimationPathKeyframed timeForKeyframe:withPlugTiming:]
00007fff58d7af60 (__TEXT,__text) non-external +[MCAnimationTrigger animationTriggerForTargetPlugObjectID:withAnimationKey:]
00007fff58d8358a (__TEXT,__text) non-external +[MCAudioPlaylist keyPathsForValuesAffectingValueForKey:]
00007fff58d79de2 (__TEXT,__text) non-external +[MCConditionalAction conditionalActionWithPredicate:]
00007fff58d79e1a (__TEXT,__text) non-external +[MCConditionalAction conditionalActionWithPredicate:actionIfTrue:actionIfFalse:]
00007fff58d85c40 (__TEXT,__text) non-external +[MCContainerEffect keyPathsForValuesAffectingValueForKey:]
00007fff58d8c479 (__TEXT,__text) non-external +[MCContainerParallelizer keyPathsForValuesAffectingValueForKey:]
00007fff58d8dd90 (__TEXT,__text) non-external +[MCContainerSerializer keyPathsForValuesAffectingValueForKey:]
00007fff58d7ccaa (__TEXT,__text) non-external +[MCGenericAction genericActionForTargetPlugObjectID:withAttributes:]
00007fff58d7c0ea (__TEXT,__text) non-external +[MCMotionTrigger motionTriggerForTargetPlugObjectID:withKey:andDuration:]
00007fff58d7c907 (__TEXT,__text) non-external +[MCMotionTriggerExpression motionTriggerForTargetPlugObjectID:withKey:duration:andExpression:]
00007fff58d7c6a1 (__TEXT,__text) non-external +[MCMotionTriggerScalar motionTriggerForTargetPlugObjectID:withKey:duration:andValue:]
00007fff58d94adc (__TEXT,__text) non-external +[MCObject objectWithImprint:andMontage:]
00007fff58d94827 (__TEXT,__text) non-external +[MCObjectBase addArrayElement:toXMLElement:forName:]
00007fff58d9455b (__TEXT,__text) non-external +[MCObjectBase addDictionaryElement:toXMLElement:forName:]
00007fff58d943fb (__TEXT,__text) non-external +[MCObjectBase addDoubleAttribute:toXMLElement:forName:]
00007fff58d94352 (__TEXT,__text) non-external +[MCObjectBase addFloatAttribute:toXMLElement:forName:]
00007fff58d944b8 (__TEXT,__text) non-external +[MCObjectBase addIntegerAttribute:toXMLElement:forName:]
00007fff58d942cc (__TEXT,__text) non-external +[MCObjectBase addStringAttribute:toXMLElement:forName:]
00007fff58d9417a (__TEXT,__text) non-external +[MCObjectBase initialize]
00007fff58d94a2c (__TEXT,__text) non-external +[MCObjectLight objectWithImprint:]
00007fff58d954c6 (__TEXT,__text) non-external +[MCPlug keyPathsForValuesAffectingValueForKey:]
00007fff58d98576 (__TEXT,__text) non-external +[MCPlugParallel keyPathsForValuesAffectingValueForKey:]
00007fff58d9d850 (__TEXT,__text) non-external +[MCPlugSerial keyPathsForValuesAffectingValueForKey:]
00007fff58d9e11f (__TEXT,__text) non-external +[MCSlide keyPathsForValuesAffectingValueForKey:]
00007fff58da43c1 (__TEXT,__text) non-external +[MCSong keyPathsForValuesAffectingValueForKey:]
00007fff58d7b602 (__TEXT,__text) non-external +[MCStateOperation stateOperationForTargetPlugObjectID:withStateKey:]
00007fff58d7be3c (__TEXT,__text) non-external +[MCStateOperationExpression stateOperationForTargetPlugObjectID:withStateKey:andExpression:]
00007fff58d7b91d (__TEXT,__text) non-external +[MCStateOperationScalarSet stateOperationForTargetPlugObjectID:withStateKey:andScalar:]
00007fff58d7bb8e (__TEXT,__text) non-external +[MCStateOperationStringSet stateOperationForTargetPlugObjectID:withStateKey:andString:]
00007fff58db055e (__TEXT,__text) non-external +[MCTextConversion attributedStringWithCTAttributesFromStringAttributes:]
00007fff58db1008 (__TEXT,__text) non-external +[MCTextConversion attributedStringWithNSAttributesFromStringAttributes:]
00007fff58daee30 (__TEXT,__text) non-external +[MCTextConversion ligatureFromString:]
00007fff58daeecb (__TEXT,__text) non-external +[MCTextConversion shadowFromTextFormat:]
00007fff58daed0a (__TEXT,__text) non-external +[MCTextConversion stretchForFontDisplayName:andFamilyName:]
00007fff58db02cf (__TEXT,__text) non-external +[MCTextConversion stringAttributesWithAttributedString:]
00007fff58daee9d (__TEXT,__text) non-external +[MCTextConversion stringFromLigature:]
00007fff58daee06 (__TEXT,__text) non-external +[MCTextConversion stringFromTextAlignment:]
00007fff58daeb94 (__TEXT,__text) non-external +[MCTextConversion styleForFontDisplayName:andFamilyName:]
00007fff58daed98 (__TEXT,__text) non-external +[MCTextConversion textAlignmentFromString:]
00007fff58daf0af (__TEXT,__text) non-external +[MCTextConversion textFormatFromShadow:]
00007fff58daf31d (__TEXT,__text) non-external +[MCTextConversion textFormatFromUnderlineStyle:]
00007fff58daf440 (__TEXT,__text) non-external +[MCTextConversion textFormatWithCTAttributesForText:attributes:]
00007fff58dafc59 (__TEXT,__text) non-external +[MCTextConversion textFormatWithNSAttributesForText:attributes:]
00007fff58daf19a (__TEXT,__text) non-external +[MCTextConversion underlineStyleFromTextFormat:]
00007fff58daec52 (__TEXT,__text) non-external +[MCTextConversion weightForFontDisplayName:andFamilyName:]
00007fff58d7a9a9 (__TEXT,__text) non-external +[MCTransitionTrigger transitionForTargetPlugObjectID:withTransitionID:]
00007fff58e0ad21 (__TEXT,__text) non-external +[MEAudioSupport _addAudioPlaylistsFromPlug:toComposition:atTime:forTotalDuration:withID:forExport:fadingTimVols:duckingTimVols:assetManagementDelegate:]
00007fff58e0a9fe (__TEXT,__text) non-external +[MEAudioSupport _getShowTime:andShowDuration:forPlug:andSlideIndex:]
00007fff58e0c6b0 (__TEXT,__text) non-external +[MEAudioSupport _insertAudioTracksFromAsset:toComposition:atTime:withSongStartTime:songDuration:]
00007fff58e0cc41 (__TEXT,__text) non-external +[MEAudioSupport _makeAVAudioMixForComposition:withDuration:andFadeOutDuration:fadingInfos:duckingInfos:]
00007fff58e0a5d7 (__TEXT,__text) non-external +[MEAudioSupport compositionForExportForStartTime:andDuration:withDocument:forExport:audioMix:]
00007fff58da5b5a (__TEXT,__text) non-external +[MEExporter copyWebRendererToPath:useDebug:]
00007fff58da5df5 (__TEXT,__text) non-external +[MEExporter postProcessWebRendererAtPath:]
00007fff58da66cc (__TEXT,__text) non-external +[MEExporter(Private) createErrorWithCode:andDescription:andSuggestion:andUnderlyingError:outError:]
00007fff58da67be (__TEXT,__text) non-external +[MEExporter(Private) createErrorWithCode:andDescription:outError:]
00007fff58da67ed (__TEXT,__text) non-external +[MEExporter(Private) createNotEnoughSpaceErrorForFreeSpace:andNeededSpace:outError:]
00007fff58da6564 (__TEXT,__text) non-external +[MEExporter(Private) createTemporaryDirectoryForPath:error:]
00007fff58da6978 (__TEXT,__text) non-external +[MEExporter(Private) localizedString:]
00007fff58da6b1a (__TEXT,__text) non-external +[MEExporterManager releaseSharedManager]
00007fff58da6aa9 (__TEXT,__text) non-external +[MEExporterManager sharedManager]
00007fff58df9fd8 (__TEXT,__text) non-external +[MEImageExporter operationWithOriginalPath:loadedImage:size:andDestinationPath:]
00007fff58df9f81 (__TEXT,__text) non-external +[MEImageExporter operationWithOriginalPath:size:andDestinationPath:]
00007fff58df9f20 (__TEXT,__text) non-external +[MEImageExporter operationWithOriginalPath:size:blackWhite:andDestinationPath:]
00007fff58da7948 (__TEXT,__text) non-external +[MEPluginHTML5 matchesOptions:]
00007fff58da78dc (__TEXT,__text) non-external +[MEPluginHTML5 registerPluginsToLoader:]
00007fff58de3f66 (__TEXT,__text) non-external +[MEPluginPDF matchesOptions:]
00007fff58de3efa (__TEXT,__text) non-external +[MEPluginPDF registerPluginsToLoader:]
00007fff58e77e46 (__TEXT,__text) non-external +[MEPluginVideoAVFoundation matchesOptions:]
00007fff58e77dc1 (__TEXT,__text) non-external +[MEPluginVideoAVFoundation registerPluginsToLoader:]
00007fff58e7a4a3 (__TEXT,__text) non-external +[MEPluginVideoImageSequence matchesOptions:]
00007fff58e7a41e (__TEXT,__text) non-external +[MEPluginVideoImageSequence registerPluginsToLoader:]
00007fff58bbf127 (__TEXT,__text) non-external +[MPAction action]
00007fff58bc1410 (__TEXT,__text) non-external +[MPActionGroup actionGroup]
00007fff58bc02e5 (__TEXT,__text) non-external +[MPActionTrigger actionTrigger]
00007fff58bc5dd3 (__TEXT,__text) non-external +[MPAnimationKeyframe1D keyframe1DWithScalar:atTime:]
00007fff58bc5e13 (__TEXT,__text) non-external +[MPAnimationKeyframe1D keyframe1DWithScalar:atTime:offsetType:]
00007fff58bc626b (__TEXT,__text) non-external +[MPAnimationKeyframe2D keyframe2DWithPoint:atTime:]
00007fff58bc62b5 (__TEXT,__text) non-external +[MPAnimationKeyframe2D keyframe2DWithPoint:atTime:offsetType:]
00007fff58bc7793 (__TEXT,__text) non-external +[MPAnimationKeyframeFunction keyframeFunctionWithFunction:atTime:offsetType:withDuration:]
00007fff58bc774b (__TEXT,__text) non-external +[MPAnimationKeyframeFunction keyframeFunctionWithFunction:atTime:withDuration:]
00007fff58bc7286 (__TEXT,__text) non-external +[MPAnimationKeyframeVector keyframeVectorWithVector:atTime:]
00007fff58bc72c1 (__TEXT,__text) non-external +[MPAnimationKeyframeVector keyframeVectorWithVector:atTime:offsetType:]
00007fff58bc8660 (__TEXT,__text) non-external +[MPAnimationManager releaseSharedManager]
00007fff58bc85ed (__TEXT,__text) non-external +[MPAnimationManager sharedManager]
00007fff58bc873c (__TEXT,__text) non-external +[MPAnimationManager(Private) loadAnimationManagerWithPaths:]
00007fff58bc8c4c (__TEXT,__text) non-external +[MPAnimationPath animationPath]
00007fff58bc8eb3 (__TEXT,__text) non-external +[MPAnimationPathCombo animationPath]
00007fff58bc976b (__TEXT,__text) non-external +[MPAnimationPathKeyframed animationPath]
00007fff58bbfef0 (__TEXT,__text) non-external +[MPAnimationTrigger animationTrigger]
00007fff58bccf89 (__TEXT,__text) non-external +[MPAssetManager releaseSharedManager]
00007fff58bccf7d (__TEXT,__text) non-external +[MPAssetManager setInhibitSharedManagerInit:]
00007fff58baadba (__TEXT,__text) non-external +[MPAssetManager sharedManager]
00007fff58bcdd2e (__TEXT,__text) non-external +[MPAssetManager(ImageUtils) convertCGImageToBuffer:]
00007fff58bce027 (__TEXT,__text) non-external +[MPAssetManager(ImageUtils) convertCGImageToBufferUsingDataProvider:]
00007fff58bcdeba (__TEXT,__text) non-external +[MPAssetManager(ImageUtils) convertCGImageToBufferUsingRGBDevice:]
00007fff58bce246 (__TEXT,__text) non-external +[MPAudioPlaylist audioPlaylist]
00007fff58bce220 (__TEXT,__text) non-external +[MPAudioPlaylist automaticallyNotifiesObserversForKey:]
00007fff58bd02a5 (__TEXT,__text) non-external +[MPAuthoringController releaseSharedController]
00007fff58bd0244 (__TEXT,__text) non-external +[MPAuthoringController sharedController]
00007fff58c0eda4 (__TEXT,__text) non-external +[MPAuthoringUtilities alignToBeatsFromOptions:]
00007fff58c1159e (__TEXT,__text) non-external +[MPAuthoringUtilities alwaysIncludeLastTransitionFromOptions:]
00007fff58c0f87a (__TEXT,__text) non-external +[MPAuthoringUtilities aspectRatioFromOptions:]
00007fff58c11deb (__TEXT,__text) non-external +[MPAuthoringUtilities aspectRatioMatchesDefault:withOptions:]
00007fff58c0e4f7 (__TEXT,__text) non-external +[MPAuthoringUtilities audioDurationFactorFromOptions:]
00007fff58c0e4b9 (__TEXT,__text) non-external +[MPAuthoringUtilities audioDurationFromOptions:]
00007fff58c0e535 (__TEXT,__text) non-external +[MPAuthoringUtilities audioScalingModeFromOptions:]
00007fff58c0f040 (__TEXT,__text) non-external +[MPAuthoringUtilities backgroundColorFromOptions:]
00007fff58c11aa9 (__TEXT,__text) non-external +[MPAuthoringUtilities baseBreakAspectRatioFromOptions:]
00007fff58c11b35 (__TEXT,__text) non-external +[MPAuthoringUtilities basePortraitBreakAspectRatioFromOptions:]
00007fff58c0eff7 (__TEXT,__text) non-external +[MPAuthoringUtilities beatFactorFromOptions:]
00007fff58c11991 (__TEXT,__text) non-external +[MPAuthoringUtilities breakDurationScaleFromOptions:]
00007fff58c11345 (__TEXT,__text) non-external +[MPAuthoringUtilities canAdjustPhaseDurations:]
00007fff58c10fb3 (__TEXT,__text) non-external +[MPAuthoringUtilities canHaveTransitionsFromOptions:]
00007fff58c0f327 (__TEXT,__text) non-external +[MPAuthoringUtilities canRepeatEffectWithPreset:]
00007fff58c0f49d (__TEXT,__text) non-external +[MPAuthoringUtilities canRepeatPreset:]
00007fff58c0fa12 (__TEXT,__text) non-external +[MPAuthoringUtilities collectVersionInformationFromOptions:]
00007fff58c10dd9 (__TEXT,__text) non-external +[MPAuthoringUtilities colorSchemeFromOptions:]
00007fff58c0ee4e (__TEXT,__text) non-external +[MPAuthoringUtilities createBeatsFromOptions:]
00007fff58c0e613 (__TEXT,__text) non-external +[MPAuthoringUtilities croppingModeForFitMoviesFromOptions:]
00007fff58c0e56d (__TEXT,__text) non-external +[MPAuthoringUtilities croppingModeFromOptions:]
00007fff58c11831 (__TEXT,__text) non-external +[MPAuthoringUtilities customDurationsFromOptions:]
00007fff58c1208b (__TEXT,__text) non-external +[MPAuthoringUtilities distanceBetween:andPoint:]
00007fff58c0f1d4 (__TEXT,__text) non-external +[MPAuthoringUtilities durationPerEffectFromOptions:]
00007fff58c0ea8b (__TEXT,__text) non-external +[MPAuthoringUtilities easeKenBurnsPanFromOptions:]
00007fff58c10d1e (__TEXT,__text) non-external +[MPAuthoringUtilities effectDecidesTransitionFromOptions:]
00007fff58c0f8bd (__TEXT,__text) non-external +[MPAuthoringUtilities effectListFromOptions:]
00007fff58c0f3e2 (__TEXT,__text) non-external +[MPAuthoringUtilities effectNeedsPreviousAttributesFromOptions:]
00007fff58c105c8 (__TEXT,__text) non-external +[MPAuthoringUtilities effectPadding:]
00007fff58c106da (__TEXT,__text) non-external +[MPAuthoringUtilities exportTransitionDurationFromOptions:]
00007fff58c10670 (__TEXT,__text) non-external +[MPAuthoringUtilities exportTransitionIDFromOptions:]
00007fff58c11528 (__TEXT,__text) non-external +[MPAuthoringUtilities fadeOutAudioFromOptions:]
00007fff58c11850 (__TEXT,__text) non-external +[MPAuthoringUtilities fadeOutDurationFromOptions:]
00007fff58c0f7d6 (__TEXT,__text) non-external +[MPAuthoringUtilities fitMoviesWhenPossibleFromOptions:]
00007fff58c11dcc (__TEXT,__text) non-external +[MPAuthoringUtilities gapInformationFromOptions:]
00007fff58c10164 (__TEXT,__text) non-external +[MPAuthoringUtilities idFromPresetID:]
00007fff58c0e14f (__TEXT,__text) non-external +[MPAuthoringUtilities ignoreClusteringForImages:withOptions:]
00007fff58c0fb0b (__TEXT,__text) non-external +[MPAuthoringUtilities ignoreTransitionListFromOptions:]
00007fff58c0fc84 (__TEXT,__text) non-external +[MPAuthoringUtilities introDurationFromOptions:]
00007fff58c0ffbc (__TEXT,__text) non-external +[MPAuthoringUtilities introEffectIDFromOptions:]
00007fff58c11d44 (__TEXT,__text) non-external +[MPAuthoringUtilities isLayerEffectAuthoredFromOptions:]
00007fff58c11f7d (__TEXT,__text) non-external +[MPAuthoringUtilities kbCenterPointFromRect:]
00007fff58c0e965 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsAlwaysZoomInFromOptions:]
00007fff58c0e9f8 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsBreaksFromOptions:]
00007fff58c0e8d0 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsEndZoomLevelFromOptions:]
00007fff58c0eb1e (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsLevelFromOptions:]
00007fff58c0e688 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsLikelihoodFromOptions:]
00007fff58c0ebd4 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsOffsetTypeFromOptions:]
00007fff58c0e786 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsPanFactorFromOptions:]
00007fff58c0e83b (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsStartZoomLevelFromOptions:]
00007fff58c0f959 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsZoomFactorFromOptions:]
00007fff58c10399 (__TEXT,__text) non-external +[MPAuthoringUtilities lastPresetFromOptions:]
00007fff58c0ec6c (__TEXT,__text) non-external +[MPAuthoringUtilities layerCanSkipScaleCalculation:withOptions:]
00007fff58c10751 (__TEXT,__text) non-external +[MPAuthoringUtilities layerDescriptionForLayerWithZIndex:forStyle:]
00007fff58c108ff (__TEXT,__text) non-external +[MPAuthoringUtilities layerHasImagesFromOptions:]
00007fff58c0e481 (__TEXT,__text) non-external +[MPAuthoringUtilities layerIndexFromOptions:]
00007fff58c0f293 (__TEXT,__text) non-external +[MPAuthoringUtilities layerOffsetFromOptions:]
00007fff58c0ef41 (__TEXT,__text) non-external +[MPAuthoringUtilities layerTimeScaleFromOptions:]
00007fff58c1165c (__TEXT,__text) non-external +[MPAuthoringUtilities layerTypeFromOptions:]
00007fff58c0ee86 (__TEXT,__text) non-external +[MPAuthoringUtilities lockTransitionDurationFromOptions:]
00007fff58c10606 (__TEXT,__text) non-external +[MPAuthoringUtilities loopTransitionIDFromOptions:]
00007fff58c11cbc (__TEXT,__text) non-external +[MPAuthoringUtilities matchEffectsUsingTagsFromOptions:]
00007fff58c0f119 (__TEXT,__text) non-external +[MPAuthoringUtilities matchPhasesWithTransitionFromOptions:]
00007fff58c0e743 (__TEXT,__text) non-external +[MPAuthoringUtilities maxKenBurnsZoomFromOptions:]
00007fff58c0ff81 (__TEXT,__text) non-external +[MPAuthoringUtilities maxNumberOfSlidesToPreloadFromOptions:]
00007fff58c10aee (__TEXT,__text) non-external +[MPAuthoringUtilities maximumTransitionDurationFromOptions:]
00007fff58c10baf (__TEXT,__text) non-external +[MPAuthoringUtilities minimumEffectDurationFromOptions:]
00007fff58c0ff49 (__TEXT,__text) non-external +[MPAuthoringUtilities minimumNumberOfDynamicSlidesToAddFromOptions:]
00007fff58c10a32 (__TEXT,__text) non-external +[MPAuthoringUtilities minimumTransitionDurationFromOptions:]
00007fff58c10cdb (__TEXT,__text) non-external +[MPAuthoringUtilities movieVolumeFromOptions:]
00007fff58c120ac (__TEXT,__text) non-external +[MPAuthoringUtilities multilineSizeFactorFromOptions:]
00007fff58c110af (__TEXT,__text) non-external +[MPAuthoringUtilities needsFitMovieAttributeFromOptions:]
00007fff58c109bd (__TEXT,__text) non-external +[MPAuthoringUtilities numberOfLayersFromOptions:]
00007fff58c0fdcd (__TEXT,__text) non-external +[MPAuthoringUtilities outroDurationFromOptions:]
00007fff58c0fbcc (__TEXT,__text) non-external +[MPAuthoringUtilities outroEffectIDFromOptions:]
00007fff58c10ca3 (__TEXT,__text) non-external +[MPAuthoringUtilities padTextOnlyEffects:]
00007fff58c11794 (__TEXT,__text) non-external +[MPAuthoringUtilities performFaceDetectionFromOptions:]
00007fff58c111f6 (__TEXT,__text) non-external +[MPAuthoringUtilities pickEffectsEvenlyByIDWithOptions:]
00007fff58c11122 (__TEXT,__text) non-external +[MPAuthoringUtilities pickTransitionsEvenlyByIDWithOptions:]
00007fff58c11a1d (__TEXT,__text) non-external +[MPAuthoringUtilities portraitBreakDurationScaleFromOptions:]
00007fff58c115d6 (__TEXT,__text) non-external +[MPAuthoringUtilities presentationOrderFromOptions:]
00007fff58c101db (__TEXT,__text) non-external +[MPAuthoringUtilities presetIDFromPresetID:]
00007fff58c0f80e (__TEXT,__text) non-external +[MPAuthoringUtilities randomSeedFromOptions:]
00007fff58c116d3 (__TEXT,__text) non-external +[MPAuthoringUtilities reconfigureRangeFromOptions:]
00007fff58c11f3c (__TEXT,__text) non-external +[MPAuthoringUtilities rectToFitIn:withAspectRatio:]
00007fff58c1170e (__TEXT,__text) non-external +[MPAuthoringUtilities regionOfInterestPickModeFromOptions:]
00007fff58c10eb6 (__TEXT,__text) non-external +[MPAuthoringUtilities reorderModeFromOptions:]
00007fff58c0fa4d (__TEXT,__text) non-external +[MPAuthoringUtilities repeatTransitionsFromOptions:]
00007fff58c0f005 (__TEXT,__text) non-external +[MPAuthoringUtilities replaceAudioPlaylistFromOptions:]
00007fff58c11419 (__TEXT,__text) non-external +[MPAuthoringUtilities requestGeneratedImagesFromOptions:]
00007fff58c118d9 (__TEXT,__text) non-external +[MPAuthoringUtilities scaleEffectsForPanoramasFromOptions:]
00007fff58c0fe8e (__TEXT,__text) non-external +[MPAuthoringUtilities scaleOutroEffectFromOptions:]
00007fff58c11bc1 (__TEXT,__text) non-external +[MPAuthoringUtilities screenSizeFromOptions:]
00007fff58c10238 (__TEXT,__text) non-external +[MPAuthoringUtilities shouldComputeFramesFromOptions:]
00007fff58c1050a (__TEXT,__text) non-external +[MPAuthoringUtilities shouldComputeLoopTransitionFromOptions:]
00007fff58c1043f (__TEXT,__text) non-external +[MPAuthoringUtilities shouldComputeSlideFiltersFromOptions:]
00007fff58c102c3 (__TEXT,__text) non-external +[MPAuthoringUtilities shouldComputeTransitionsFromOptions:]
00007fff58c11563 (__TEXT,__text) non-external +[MPAuthoringUtilities shouldDuckMoviesFromOptions:]
00007fff58c0e453 (__TEXT,__text) non-external +[MPAuthoringUtilities styleFromOptions:]
00007fff58c11812 (__TEXT,__text) non-external +[MPAuthoringUtilities subtitlesFromOptions:]
00007fff58c10062 (__TEXT,__text) non-external +[MPAuthoringUtilities titleEffectFromOptions:]
00007fff58c0f55b (__TEXT,__text) non-external +[MPAuthoringUtilities transitionDurationFromOptions:]
00007fff58c0fb2a (__TEXT,__text) non-external +[MPAuthoringUtilities transitionListFromOptions:]
00007fff58c0e2eb (__TEXT,__text) non-external +[MPAuthoringUtilities urlsFromPaths:]
00007fff58c0f62f (__TEXT,__text) non-external +[MPAuthoringUtilities useBestAspectRatioFromOptions:]
00007fff58c0f79b (__TEXT,__text) non-external +[MPAuthoringUtilities useDefaultAudioFromOptions:]
00007fff58c0f763 (__TEXT,__text) non-external +[MPAuthoringUtilities useImageOnlyTitleEffectFromOptions:]
00007fff58c0fd45 (__TEXT,__text) non-external +[MPAuthoringUtilities useIntroTransition:]
00007fff58c11c34 (__TEXT,__text) non-external +[MPAuthoringUtilities useLargestEffectsFromOptions:]
00007fff58c1103c (__TEXT,__text) non-external +[MPAuthoringUtilities useROIAspectRatioFromOptions:]
00007fff58c0f66a (__TEXT,__text) non-external +[MPAuthoringUtilities useROIFromOptions:]
00007fff58c0f728 (__TEXT,__text) non-external +[MPAuthoringUtilities useTitleEffectFromOptions:]
00007fff58c11454 (__TEXT,__text) non-external +[MPAuthoringUtilities useTransitionLayoutTagsWithOptions:]
