00007ff90d0784d2 (__TEXT,__text) non-external +[AMFI isAvailable]
00007ff90d07a961 (__TEXT,__text) non-external +[SPLog kext].cold.1
00007ff90d06a64d (__TEXT,__text) non-external +[SPLog measurements]
00007ff90d07a991 (__TEXT,__text) non-external +[SPLog measurements].cold.1
00007ff90d06a6e9 (__TEXT,__text) non-external +[SPLog sampling]
00007ff90d07a9c1 (__TEXT,__text) non-external +[SPLog sampling].cold.1
00007ff90d06a8c5 (__TEXT,__text) non-external +[SPLog setVerboseLogging:]
00007ff90d06a69b (__TEXT,__text) non-external +[SPLog signposts]
00007ff90d07a9a9 (__TEXT,__text) non-external +[SPLog signposts].cold.1
00007ff90d06a785 (__TEXT,__text) non-external +[SPLog verboseLoggingEnabled]
00007ff90d07a9f1 (__TEXT,__text) non-external +[SPLog verboseLoggingEnabled].cold.1
00007ff90d0740b9 (__TEXT,__text) non-external +[SPMigration createGatekeeperMigrationData:]
00007ff90d0738eb (__TEXT,__text) non-external +[SPMigration createKernelExtensionMigrationData:]
00007ff90d072a5e (__TEXT,__text) non-external +[SPMigration createMigrationPolicy:forTarget:]
00007ff90d07b6a9 (__TEXT,__text) non-external +[SPMigration createMigrationPolicy:forTarget:].cold.1
00007ff90d07289a (__TEXT,__text) non-external +[SPMigration gatekeeperMigrationDataPath:]
00007ff90d07287c (__TEXT,__text) non-external +[SPMigration kernelExtensionMigrationDataPath:]
00007ff90d072ed6 (__TEXT,__text) non-external +[SPMigration readKernelExtensionMigrationPolicy:]
00007ff90d072a1b (__TEXT,__text) non-external +[SPMigration volumeRequiresGatekeeperMigration:]
00007ff90d0728b8 (__TEXT,__text) non-external +[SPMigration volumeRequiresKernelExtensionMigration:]
00007ff90d076d10 (__TEXT,__text) non-external +[SPProvenanceMetadata supportsSecureCoding]
00007ff90d060bd7 (__TEXT,__text) non-external +[SPSamplingTasking supportsSecureCoding]
00007ff90d062bfc (__TEXT,__text) non-external +[SPScriptScanEvaluation supportsSecureCoding]
00007ff90d06264b (__TEXT,__text) non-external -[AKELData .cxx_destruct]
00007ff90d062571 (__TEXT,__text) non-external -[AKELData findLegacyKextBundleID:]
00007ff90d06242a (__TEXT,__text) non-external -[AKELData initWithURL:]
00007ff90d062270 (__TEXT,__text) non-external -[AKELData init]
00007ff90d062612 (__TEXT,__text) non-external -[AKELData isKextAllowedWithoutSecureTimestamp:]
00007ff90d062538 (__TEXT,__text) non-external -[AKELData isLegacyKextAllowed:]
00007ff90d062016 (__TEXT,__text) non-external -[AKELData loadFromBundleData:]
00007ff90d062522 (__TEXT,__text) non-external -[AKELData reloadIfNecessary]
00007ff90d078936 (__TEXT,__text) non-external -[AppWrapperPolicyResult description]
00007ff90d0788ae (__TEXT,__text) non-external -[AppWrapperPolicyResult initWithValid:withSignerCategory:withModified:]
00007ff90d07895c (__TEXT,__text) non-external -[AppWrapperPolicyResult isModified]
00007ff90d078948 (__TEXT,__text) non-external -[AppWrapperPolicyResult isValid]
00007ff90d078900 (__TEXT,__text) non-external -[AppWrapperPolicyResult redactedDescription]
00007ff90d078952 (__TEXT,__text) non-external -[AppWrapperPolicyResult signerCategory]
00007ff90d068c11 (__TEXT,__text) non-external -[BundleData .cxx_destruct]
00007ff90d068316 (__TEXT,__text) non-external -[BundleData dealloc]
00007ff90d07a558 (__TEXT,__text) non-external -[BundleData dealloc].cold.1
00007ff90d068823 (__TEXT,__text) non-external -[BundleData doReload]
00007ff90d068bcd (__TEXT,__text) non-external -[BundleData forceReload]
00007ff90d0683b1 (__TEXT,__text) non-external -[BundleData initWithURL:withReloadBlock:watchForUpdates:]
00007ff90d068308 (__TEXT,__text) non-external -[BundleData init]
00007ff90d068be9 (__TEXT,__text) non-external -[BundleData isSigned]
00007ff90d06885f (__TEXT,__text) non-external -[BundleData loadInternalData:]
00007ff90d068b6b (__TEXT,__text) non-external -[BundleData reloadIfNecessary]
00007ff90d068518 (__TEXT,__text) non-external -[BundleData setupFSStream]
00007ff90d07a5b6 (__TEXT,__text) non-external -[BundleData setupFSStream].cold.1
00007ff90d07a5ea (__TEXT,__text) non-external -[BundleData setupFSStream].cold.2
00007ff90d068c07 (__TEXT,__text) non-external -[BundleData timestamp]
00007ff90d068bdf (__TEXT,__text) non-external -[BundleData url]
00007ff90d068bfd (__TEXT,__text) non-external -[BundleData versionNumber]
00007ff90d068bf3 (__TEXT,__text) non-external -[BundleData version]
00007ff90d078294 (__TEXT,__text) non-external -[GKScanResult .cxx_destruct]
00007ff90d078266 (__TEXT,__text) non-external -[GKScanResult allowed]
00007ff90d0781d2 (__TEXT,__text) non-external -[GKScanResult encodeWithCoder:]
00007ff90d078279 (__TEXT,__text) non-external -[GKScanResult gkError]
00007ff90d078121 (__TEXT,__text) non-external -[GKScanResult initWithCoder:]
00007ff90d078270 (__TEXT,__text) non-external -[GKScanResult setAllowed:]
00007ff90d078283 (__TEXT,__text) non-external -[GKScanResult setGkError:]
00007ff90d0776e7 (__TEXT,__text) non-external -[NSData(Strings) hexString]
00007ff90d063ddf (__TEXT,__text) non-external -[PolicyCacheMeta .cxx_destruct]
00007ff90d063d95 (__TEXT,__text) non-external -[PolicyCacheMeta forEntry]
00007ff90d063d7a (__TEXT,__text) non-external -[PolicyCacheMeta lastMiss]
00007ff90d063d44 (__TEXT,__text) non-external -[PolicyCacheMeta metaId]
00007ff90d063d5f (__TEXT,__text) non-external -[PolicyCacheMeta missCount]
00007ff90d063dc4 (__TEXT,__text) non-external -[PolicyCacheMeta resolvedEntry]
00007ff90d063d9f (__TEXT,__text) non-external -[PolicyCacheMeta setForEntry:]
00007ff90d063d84 (__TEXT,__text) non-external -[PolicyCacheMeta setLastMiss:]
00007ff90d063d4e (__TEXT,__text) non-external -[PolicyCacheMeta setMetaId:]
00007ff90d063d69 (__TEXT,__text) non-external -[PolicyCacheMeta setMissCount:]
00007ff90d063dce (__TEXT,__text) non-external -[PolicyCacheMeta setResolvedEntry:]
00007ff90d063dba (__TEXT,__text) non-external -[PolicyCacheMeta setSourceTable:]
00007ff90d063db0 (__TEXT,__text) non-external -[PolicyCacheMeta sourceTable]
00007ff90d076be3 (__TEXT,__text) non-external -[PolicyScanTarget .cxx_destruct]
00007ff90d076649 (__TEXT,__text) non-external -[PolicyScanTarget backingStore]
00007ff90d076a72 (__TEXT,__text) non-external -[PolicyScanTarget blockDevice]
00007ff90d0758db (__TEXT,__text) non-external -[PolicyScanTarget bundleID]
00007ff90d07597f (__TEXT,__text) non-external -[PolicyScanTarget bundleVersion]
00007ff90d075d1e (__TEXT,__text) non-external -[PolicyScanTarget cdhashData]
00007ff90d075dd3 (__TEXT,__text) non-external -[PolicyScanTarget cdhashDigestAlgorithm]
00007ff90d075c3e (__TEXT,__text) non-external -[PolicyScanTarget cdhash]
00007ff90d076aa4 (__TEXT,__text) non-external -[PolicyScanTarget checkValidity]
00007ff90d076042 (__TEXT,__text) non-external -[PolicyScanTarget createdTime]
00007ff90d0768d0 (__TEXT,__text) non-external -[PolicyScanTarget csflags]
00007ff90d07b9e1 (__TEXT,__text) non-external -[PolicyScanTarget csflags].cold.1
00007ff90d074f2e (__TEXT,__text) non-external -[PolicyScanTarget dealloc]
00007ff90d076324 (__TEXT,__text) non-external -[PolicyScanTarget description]
00007ff90d075bac (__TEXT,__text) non-external -[PolicyScanTarget entitlements]
00007ff90d076a86 (__TEXT,__text) non-external -[PolicyScanTarget fsTypeName]
00007ff90d0765c2 (__TEXT,__text) non-external -[PolicyScanTarget hasPowerfulEntitlements]
00007ff90d076562 (__TEXT,__text) non-external -[PolicyScanTarget hasResourceDirectorySlot]
00007ff90d075a76 (__TEXT,__text) non-external -[PolicyScanTarget infoPlist]
00007ff90d074f97 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:]
00007ff90d07b737 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.1
00007ff90d07b7c0 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.2
00007ff90d07b83b (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.3
00007ff90d07b86e (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.4
00007ff90d07b8a1 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.5
00007ff90d07b91c (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.6
00007ff90d074f20 (__TEXT,__text) non-external -[PolicyScanTarget init]
00007ff90d076ab7 (__TEXT,__text) non-external -[PolicyScanTarget isAppWrapper]
00007ff90d076960 (__TEXT,__text) non-external -[PolicyScanTarget isBackingDMGNotarized]
00007ff90d076ac4 (__TEXT,__text) non-external -[PolicyScanTarget isBadAppWrapper]
00007ff90d076b1c (__TEXT,__text) non-external -[PolicyScanTarget isBundled]
00007ff90d076b88 (__TEXT,__text) non-external -[PolicyScanTarget isMovedToTrash]
00007ff90d076138 (__TEXT,__text) non-external -[PolicyScanTarget isNotarized]
00007ff90d076af6 (__TEXT,__text) non-external -[PolicyScanTarget isQuarantinedMount]
00007ff90d075ffd (__TEXT,__text) non-external -[PolicyScanTarget isQuarantined]
00007ff90d076b03 (__TEXT,__text) non-external -[PolicyScanTarget isScript]
00007ff90d0760af (__TEXT,__text) non-external -[PolicyScanTarget isUserApproved]
00007ff90d07584c (__TEXT,__text) non-external -[PolicyScanTarget mainExecutableURL]
00007ff90d076a9a (__TEXT,__text) non-external -[PolicyScanTarget modTime]
00007ff90d076b7e (__TEXT,__text) non-external -[PolicyScanTarget mountTime]
00007ff90d076a7c (__TEXT,__text) non-external -[PolicyScanTarget objectID]
00007ff90d076a54 (__TEXT,__text) non-external -[PolicyScanTarget originalURL]
00007ff90d076a68 (__TEXT,__text) non-external -[PolicyScanTarget pathOnVolume]
00007ff90d076b5a (__TEXT,__text) non-external -[PolicyScanTarget pid]
00007ff90d0760f4 (__TEXT,__text) non-external -[PolicyScanTarget quarantineFlags]
00007ff90d07620c (__TEXT,__text) non-external -[PolicyScanTarget redactedDescription]
00007ff90d0763b4 (__TEXT,__text) non-external -[PolicyScanTarget reloadSigningInfo]
00007ff90d076b4d (__TEXT,__text) non-external -[PolicyScanTarget setBackingStore:]
00007ff90d076aae (__TEXT,__text) non-external -[PolicyScanTarget setCheckValidity:]
00007ff90d076b72 (__TEXT,__text) non-external -[PolicyScanTarget setCsflags:]
00007ff90d076b41 (__TEXT,__text) non-external -[PolicyScanTarget setHasPowerfulEntitlements:]
00007ff90d076b35 (__TEXT,__text) non-external -[PolicyScanTarget setHasResourceDirectorySlot:]
00007ff90d076ad1 (__TEXT,__text) non-external -[PolicyScanTarget setIsBadAppWrapper:]
00007ff90d076b29 (__TEXT,__text) non-external -[PolicyScanTarget setIsBundled:]
00007ff90d076b95 (__TEXT,__text) non-external -[PolicyScanTarget setIsMovedToTrash:]
00007ff90d076b10 (__TEXT,__text) non-external -[PolicyScanTarget setIsScript:]
00007ff90d076b66 (__TEXT,__text) non-external -[PolicyScanTarget setPid:]
00007ff90d076bae (__TEXT,__text) non-external -[PolicyScanTarget setTrashedURL:]
00007ff90d076aea (__TEXT,__text) non-external -[PolicyScanTarget setTriggeredByLibraryLoad:]
00007ff90d076bcf (__TEXT,__text) non-external -[PolicyScanTarget setValidationCategory:]
00007ff90d075f48 (__TEXT,__text) non-external -[PolicyScanTarget signingID]
00007ff90d075b7b (__TEXT,__text) non-external -[PolicyScanTarget signingInfo]
00007ff90d075aa3 (__TEXT,__text) non-external -[PolicyScanTarget staticCodeRef]
00007ff90d075e93 (__TEXT,__text) non-external -[PolicyScanTarget teamID]
00007ff90d0763f0 (__TEXT,__text) non-external -[PolicyScanTarget trashedMainExe]
00007ff90d076ba1 (__TEXT,__text) non-external -[PolicyScanTarget trashedURL]
00007ff90d076add (__TEXT,__text) non-external -[PolicyScanTarget triggeredByLibraryLoad]
00007ff90d076a4a (__TEXT,__text) non-external -[PolicyScanTarget url]
00007ff90d076bc2 (__TEXT,__text) non-external -[PolicyScanTarget validationCategory]
00007ff90d076a90 (__TEXT,__text) non-external -[PolicyScanTarget volumePath]
00007ff90d076a5e (__TEXT,__text) non-external -[PolicyScanTarget volumeUUID]
00007ff90d0607b0 (__TEXT,__text) non-external -[ProvenanceEntry .cxx_destruct]
00007ff90d0602e1 (__TEXT,__text) non-external -[ProvenanceEntry attributes]
00007ff90d060795 (__TEXT,__text) non-external -[ProvenanceEntry bundleID]
00007ff90d06077a (__TEXT,__text) non-external -[ProvenanceEntry cdhash]
00007ff90d060552 (__TEXT,__text) non-external -[ProvenanceEntry createMetadata]
00007ff90d060473 (__TEXT,__text) non-external -[ProvenanceEntry description]
00007ff90d0606f3 (__TEXT,__text) non-external -[ProvenanceEntry flags]
00007ff90d06036a (__TEXT,__text) non-external -[ProvenanceEntry redactedDescription]
00007ff90d06070e (__TEXT,__text) non-external -[ProvenanceEntry rootID]
00007ff90d06079f (__TEXT,__text) non-external -[ProvenanceEntry setBundleID:]
00007ff90d060784 (__TEXT,__text) non-external -[ProvenanceEntry setCdhash:]
00007ff90d0606fd (__TEXT,__text) non-external -[ProvenanceEntry setFlags:]
00007ff90d060718 (__TEXT,__text) non-external -[ProvenanceEntry setRootID:]
00007ff90d060769 (__TEXT,__text) non-external -[ProvenanceEntry setSigningID:]
00007ff90d06074e (__TEXT,__text) non-external -[ProvenanceEntry setTeamID:]
00007ff90d0606e2 (__TEXT,__text) non-external -[ProvenanceEntry setUniqueID:]
00007ff90d060733 (__TEXT,__text) non-external -[ProvenanceEntry setUrl:]
00007ff90d06075f (__TEXT,__text) non-external -[ProvenanceEntry signingID]
00007ff90d060744 (__TEXT,__text) non-external -[ProvenanceEntry teamID]
00007ff90d0606d8 (__TEXT,__text) non-external -[ProvenanceEntry uniqueID]
00007ff90d060729 (__TEXT,__text) non-external -[ProvenanceEntry url]
00007ff90d078886 (__TEXT,__text) non-external -[SPBundleProtection .cxx_destruct]
00007ff90d078774 (__TEXT,__text) non-external -[SPBundleProtection dealloc]
00007ff90d0786a3 (__TEXT,__text) non-external -[SPBundleProtection init]
00007ff90d0787b6 (__TEXT,__text) non-external -[SPBundleProtection sendMetricFromTCCWithURL:withPID:withError:]
00007ff90d07914b (__TEXT,__text) non-external -[SPDeveloperPolicy .cxx_destruct]
00007ff90d0790dd (__TEXT,__text) non-external -[SPDeveloperPolicy createLocalDevelopmentCertificateForUser:error:]
00007ff90d078fb3 (__TEXT,__text) non-external -[SPDeveloperPolicy dealloc]
00007ff90d078ee2 (__TEXT,__text) non-external -[SPDeveloperPolicy init]
00007ff90d078ff5 (__TEXT,__text) non-external -[SPDeveloperPolicy isDeveloperModeEnabled]
00007ff90d0790b3 (__TEXT,__text) non-external -[SPDeveloperPolicy isDeveloperToolEnvironmentWithError:]
00007ff90d079138 (__TEXT,__text) non-external -[SPDeveloperPolicy registerDevelopmentTeamWithIdentifier:error:]
00007ff90d07912d (__TEXT,__text) non-external -[SPDeveloperPolicy removeLocalDevelopmentCertificateForUser:error:]
00007ff90d079021 (__TEXT,__text) non-external -[SPDeveloperPolicy setDeveloperModeEnabled:error:]
00007ff90d079140 (__TEXT,__text) non-external -[SPDeveloperPolicy unregisterDevelopmentTeamWithIdentifier:error:]
00007ff90d06b03a (__TEXT,__text) non-external -[SPExecutionHistoryItem .cxx_destruct]
00007ff90d06b012 (__TEXT,__text) non-external -[SPExecutionHistoryItem cdHash]
00007ff90d06b026 (__TEXT,__text) non-external -[SPExecutionHistoryItem developerName]
00007ff90d06ae02 (__TEXT,__text) non-external -[SPExecutionHistoryItem encodeWithCoder:]
00007ff90d06afea (__TEXT,__text) non-external -[SPExecutionHistoryItem execPath]
00007ff90d06abf8 (__TEXT,__text) non-external -[SPExecutionHistoryItem initWithCoder:]
00007ff90d06a921 (__TEXT,__text) non-external -[SPExecutionHistoryItem initWithExecPath:mmapPath:signingID:teamID:cdHash:responsiblePath:developerName:lasSeen:]
00007ff90d06a913 (__TEXT,__text) non-external -[SPExecutionHistoryItem init]
00007ff90d06b030 (__TEXT,__text) non-external -[SPExecutionHistoryItem lastSeen]
00007ff90d06aff4 (__TEXT,__text) non-external -[SPExecutionHistoryItem mmapPath]
00007ff90d06b01c (__TEXT,__text) non-external -[SPExecutionHistoryItem responsiblePath]
00007ff90d06affe (__TEXT,__text) non-external -[SPExecutionHistoryItem signingID]
00007ff90d06b008 (__TEXT,__text) non-external -[SPExecutionHistoryItem teamID]
00007ff90d06ead9 (__TEXT,__text) non-external -[SPExecutionPolicy .cxx_destruct]
00007ff90d06d7a6 (__TEXT,__text) non-external -[SPExecutionPolicy addBlockedSoftwareOverride:error:]
00007ff90d06d6bd (__TEXT,__text) non-external -[SPExecutionPolicy addGatekeeperUserIntent:error:]
00007ff90d06e24a (__TEXT,__text) non-external -[SPExecutionPolicy allowGatekeeperPolicy:error:]
00007ff90d06d658 (__TEXT,__text) non-external -[SPExecutionPolicy blockedExecutionPolicyItems]
00007ff90d06d3a7 (__TEXT,__text) non-external -[SPExecutionPolicy connection]
00007ff90d06d12d (__TEXT,__text) non-external -[SPExecutionPolicy dealloc]
00007ff90d06d2b7 (__TEXT,__text) non-external -[SPExecutionPolicy doGatekeeperProgressUpdate:withTotal:]
00007ff90d06d983 (__TEXT,__text) non-external -[SPExecutionPolicy getBlockedSoftwareOverride:error:]
00007ff90d06de1b (__TEXT,__text) non-external -[SPExecutionPolicy getGatekeeperInsightEnabled:]
00007ff90d06e104 (__TEXT,__text) non-external -[SPExecutionPolicy getGatekeeperPolicyWithError:]
00007ff90d06dc17 (__TEXT,__text) non-external -[SPExecutionPolicy getStrictGatekeeperEnabledForDomain:error:]
00007ff90d06d088 (__TEXT,__text) non-external -[SPExecutionPolicy init]
00007ff90d06da6c (__TEXT,__text) non-external -[SPExecutionPolicy isBlockedSoftware:error:]
00007ff90d06df06 (__TEXT,__text) non-external -[SPExecutionPolicy isFastGatekeeperOverrideModeEnabled]
00007ff90d06e18f (__TEXT,__text) non-external -[SPExecutionPolicy isGatekeeperPolicyAllowed:error:]
00007ff90d06d64b (__TEXT,__text) non-external -[SPExecutionPolicy legacyExecutionHistory]
00007ff90d06df60 (__TEXT,__text) non-external -[SPExecutionPolicy logGatekeeperOverrideForURL:withError:]
00007ff90d06d177 (__TEXT,__text) non-external -[SPExecutionPolicy myProgressHandler]
00007ff90d06d16f (__TEXT,__text) non-external -[SPExecutionPolicy progressBlock]
00007ff90d06d88f (__TEXT,__text) non-external -[SPExecutionPolicy setBlockedSoftwareOverride:isEnabled:error:]
00007ff90d06e305 (__TEXT,__text) non-external -[SPExecutionPolicy setDownloadURL:andDataURL:forURL:]
00007ff90d06deec (__TEXT,__text) non-external -[SPExecutionPolicy setGatekeeperInsightDefault:]
00007ff90d06dcd2 (__TEXT,__text) non-external -[SPExecutionPolicy setGatekeeperInsightEnabled:error:]
00007ff90d06e049 (__TEXT,__text) non-external -[SPExecutionPolicy setGatekeeperPolicy:error:]
00007ff90d06d18d (__TEXT,__text) non-external -[SPExecutionPolicy setProgressHandler:]
00007ff90d06db55 (__TEXT,__text) non-external -[SPExecutionPolicy setStrictGatekeeperEnabled:forDomain:error:]
00007ff90d06a1f5 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) notifyInstalledContent:withInstallationType:error:]
00007ff90d0697fe (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:]
00007ff90d07a647 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.1
00007ff90d07a6ce (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.2
00007ff90d07a755 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.3
00007ff90d07a7ee (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.4
00007ff90d07a887 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.5
00007ff90d07a8e1 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.6
00007ff90d07a915 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.7
00007ff90d06a53d (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperScan:withScanOptions:withProgressHandler:error:]
00007ff90d06a2e9 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperScan:withScanOptions:withShouldOverridePolicy:withPolicy:withProgressHandler:error:]
00007ff90d06d07a (__TEXT,__text) non-external -[SPExecutionPolicyExportedObject .cxx_destruct]
00007ff90d06d00e (__TEXT,__text) non-external -[SPExecutionPolicyExportedObject doGatekeeperProgressUpdate:withTotal:]
00007ff90d06cfaa (__TEXT,__text) non-external -[SPExecutionPolicyExportedObject initWithParent:]
00007ff90d06d053 (__TEXT,__text) non-external -[SPExecutionPolicyExportedObject parent]
00007ff90d06d069 (__TEXT,__text) non-external -[SPExecutionPolicyExportedObject setParent:]
00007ff90d0697b5 (__TEXT,__text) non-external -[SPExecutionPolicyItem .cxx_destruct]
00007ff90d0697ab (__TEXT,__text) non-external -[SPExecutionPolicyItem blockedReasonDescription]
00007ff90d069783 (__TEXT,__text) non-external -[SPExecutionPolicyItem cdHash]
00007ff90d06952a (__TEXT,__text) non-external -[SPExecutionPolicyItem encodeWithCoder:]
00007ff90d0692db (__TEXT,__text) non-external -[SPExecutionPolicyItem initWithCoder:]
00007ff90d0691b1 (__TEXT,__text) non-external -[SPExecutionPolicyItem initWithItemPath:signingID:teamID:cdHash:needsApproval:needsOverride:knownMalware:blockedReasonDescription:]
