00000001813255dc (__TEXT,__text) external _APL_dgemm
0000000180f78df0 (__TEXT,__text) external _DZNRM2
0000000180f78df0 (__TEXT,__text) external _DZNRM2_
0000000180f78950 (__TEXT,__text) external _ICAMAX
0000000180f78950 (__TEXT,__text) external _ICAMAX_
0000000180f78b54 (__TEXT,__text) external _IDAMAX
0000000180f78b54 (__TEXT,__text) external _IDAMAX_
0000000180f78ba4 (__TEXT,__text) external _ISAMAX
0000000180f78ba4 (__TEXT,__text) external _ISAMAX_
0000000180f78dfc (__TEXT,__text) external _IZAMAX
0000000180f78dfc (__TEXT,__text) external _IZAMAX_
0000000180f78be4 (__TEXT,__text) external _SASUM
0000000180f78be4 (__TEXT,__text) external _SASUM_
0000000180f78c08 (__TEXT,__text) external _SAXPY
0000000180f78c08 (__TEXT,__text) external _SAXPY_
0000000180f78990 (__TEXT,__text) external _SCASUM
0000000180f78990 (__TEXT,__text) external _SCASUM_
0000000180f789b4 (__TEXT,__text) external _SCNRM2
0000000180f789b4 (__TEXT,__text) external _SCNRM2_
0000000180f78c44 (__TEXT,__text) external _SCOPY
0000000180f78c44 (__TEXT,__text) external _SCOPY_
0000000180f78c6c (__TEXT,__text) external _SDOT
0000000180f78c6c (__TEXT,__text) external _SDOT_
0000000180f78c94 (__TEXT,__text) external _SDSDOT
0000000180f78c94 (__TEXT,__text) external _SDSDOT_
0000000180f75140 (__TEXT,__text) external _SGBMV
0000000180f75140 (__TEXT,__text) external _SGBMV_
0000000180f72d08 (__TEXT,__text) external _SGEMM
0000000180f72d08 (__TEXT,__text) external _SGEMM_
0000000180f75080 (__TEXT,__text) external _SGEMV
0000000180f75080 (__TEXT,__text) external _SGEMV_
0000000180f75b18 (__TEXT,__text) external _SGER
0000000180f75b18 (__TEXT,__text) external _SGER_
0000000180f78cd0 (__TEXT,__text) external _SNRM2
0000000180f78cd0 (__TEXT,__text) external _SNRM2_
0000000180f78cf4 (__TEXT,__text) external _SROT
0000000180f78d24 (__TEXT,__text) external _SROTG
0000000180f78d24 (__TEXT,__text) external _SROTG_
0000000180f78d40 (__TEXT,__text) external _SROTM
0000000180f78d68 (__TEXT,__text) external _SROTMG
0000000180f78d68 (__TEXT,__text) external _SROTMG_
0000000180f78d40 (__TEXT,__text) external _SROTM_
0000000180f78cf4 (__TEXT,__text) external _SROT_
0000000180f752c0 (__TEXT,__text) external _SSBMV
0000000180f752c0 (__TEXT,__text) external _SSBMV_
0000000180f78d8c (__TEXT,__text) external _SSCAL
0000000180f78d8c (__TEXT,__text) external _SSCAL_
0000000180f75370 (__TEXT,__text) external _SSPMV
0000000180f75370 (__TEXT,__text) external _SSPMV_
0000000180f75c94 (__TEXT,__text) external _SSPR
0000000180f75d20 (__TEXT,__text) external _SSPR2
0000000180f75d20 (__TEXT,__text) external _SSPR2_
0000000180f75c94 (__TEXT,__text) external _SSPR_
0000000180f78dbc (__TEXT,__text) external _SSWAP
0000000180f78dbc (__TEXT,__text) external _SSWAP_
0000000180f72e2c (__TEXT,__text) external _SSYMM
0000000180f72e2c (__TEXT,__text) external _SSYMM_
0000000180f7521c (__TEXT,__text) external _SSYMV
0000000180f7521c (__TEXT,__text) external _SSYMV_
0000000180f75b68 (__TEXT,__text) external _SSYR
0000000180f75bf8 (__TEXT,__text) external _SSYR2
0000000180f73310 (__TEXT,__text) external _SSYR2K
0000000180f73310 (__TEXT,__text) external _SSYR2K_
0000000180f75bf8 (__TEXT,__text) external _SSYR2_
0000000180f73218 (__TEXT,__text) external _SSYRK
0000000180f73218 (__TEXT,__text) external _SSYRK_
0000000180f75b68 (__TEXT,__text) external _SSYR_
0000000180f7553c (__TEXT,__text) external _STBMV
0000000180f7553c (__TEXT,__text) external _STBMV_
0000000180f758c0 (__TEXT,__text) external _STBSV
0000000180f758c0 (__TEXT,__text) external _STBSV_
0000000180f75674 (__TEXT,__text) external _STPMV
0000000180f75674 (__TEXT,__text) external _STPMV_
0000000180f759f8 (__TEXT,__text) external _STPSV
0000000180f759f8 (__TEXT,__text) external _STPSV_
0000000180f72f20 (__TEXT,__text) external _STRMM
0000000180f72f20 (__TEXT,__text) external _STRMM_
0000000180f75410 (__TEXT,__text) external _STRMV
0000000180f75410 (__TEXT,__text) external _STRMV_
0000000180f7309c (__TEXT,__text) external _STRSM
0000000180f7309c (__TEXT,__text) external _STRSM_
0000000180f75794 (__TEXT,__text) external _STRSV
0000000180f75794 (__TEXT,__text) external _STRSV_
000000018172a4e0 (__TEXT,__text) external _SetBLASParamErrorProc
00000001816ef030 (__TEXT,__text) external _SetBLASParamErrorProc$NEWLAPACK
00000001816fcba4 (__TEXT,__text) external _SetBLASParamErrorProc$NEWLAPACK$ILP64
0000000181720ab4 (__TEXT,__text) external _XERBLA
0000000181720ab4 (__TEXT,__text) external _XERBLA_
0000000180f78e3c (__TEXT,__text) external _ZAXPY
0000000180f78e3c (__TEXT,__text) external _ZAXPY_
0000000180f78e64 (__TEXT,__text) external _ZCOPY
0000000180f78e64 (__TEXT,__text) external _ZCOPY_
0000000180f78e8c (__TEXT,__text) external _ZDOTC
0000000180f78e8c (__TEXT,__text) external _ZDOTC_
0000000180f78eb4 (__TEXT,__text) external _ZDOTU
0000000180f78eb4 (__TEXT,__text) external _ZDOTU_
0000000180f78f1c (__TEXT,__text) external _ZDROT
0000000180f78f1c (__TEXT,__text) external _ZDROT_
0000000180f78f4c (__TEXT,__text) external _ZDSCAL
0000000180f78f4c (__TEXT,__text) external _ZDSCAL_
0000000180f77a40 (__TEXT,__text) external _ZGBMV
0000000180f77a40 (__TEXT,__text) external _ZGBMV_
0000000180f745d0 (__TEXT,__text) external _ZGEMM
0000000180f745d0 (__TEXT,__text) external _ZGEMM_
0000000180f77964 (__TEXT,__text) external _ZGEMV
0000000180f77964 (__TEXT,__text) external _ZGEMV_
0000000180f784b0 (__TEXT,__text) external _ZGERC
0000000180f784b0 (__TEXT,__text) external _ZGERC_
0000000180f78514 (__TEXT,__text) external _ZGERU
0000000180f78514 (__TEXT,__text) external _ZGERU_
0000000180f77be0 (__TEXT,__text) external _ZHBMV
0000000180f77be0 (__TEXT,__text) external _ZHBMV_
0000000180f74718 (__TEXT,__text) external _ZHEMM
0000000180f74718 (__TEXT,__text) external _ZHEMM_
0000000180f77b30 (__TEXT,__text) external _ZHEMV
0000000180f77b30 (__TEXT,__text) external _ZHEMV_
0000000180f78578 (__TEXT,__text) external _ZHER
0000000180f78608 (__TEXT,__text) external _ZHER2
0000000180f74e44 (__TEXT,__text) external _ZHER2K
0000000180f74e44 (__TEXT,__text) external _ZHER2K_
0000000180f78608 (__TEXT,__text) external _ZHER2_
0000000180f74c30 (__TEXT,__text) external _ZHERK
0000000180f74c30 (__TEXT,__text) external _ZHERK_
0000000180f78578 (__TEXT,__text) external _ZHER_
0000000180f77c9c (__TEXT,__text) external _ZHPMV
0000000180f77c9c (__TEXT,__text) external _ZHPMV_
0000000180f786b8 (__TEXT,__text) external _ZHPR
0000000180f78744 (__TEXT,__text) external _ZHPR2
0000000180f78744 (__TEXT,__text) external _ZHPR2_
0000000180f786b8 (__TEXT,__text) external _ZHPR_
0000000180f78edc (__TEXT,__text) external _ZROTG
0000000180f78edc (__TEXT,__text) external _ZROTG_
0000000180f78ef8 (__TEXT,__text) external _ZSCAL
0000000180f78ef8 (__TEXT,__text) external _ZSCAL_
0000000180f78f7c (__TEXT,__text) external _ZSWAP
0000000180f78f7c (__TEXT,__text) external _ZSWAP_
0000000180f74814 (__TEXT,__text) external _ZSYMM
0000000180f74814 (__TEXT,__text) external _ZSYMM_
0000000180f74f64 (__TEXT,__text) external _ZSYR2K
0000000180f74f64 (__TEXT,__text) external _ZSYR2K_
0000000180f74d38 (__TEXT,__text) external _ZSYRK
0000000180f74d38 (__TEXT,__text) external _ZSYRK_
0000000180f77e84 (__TEXT,__text) external _ZTBMV
0000000180f77e84 (__TEXT,__text) external _ZTBMV_
0000000180f78238 (__TEXT,__text) external _ZTBSV
0000000180f78238 (__TEXT,__text) external _ZTBSV_
0000000180f77fcc (__TEXT,__text) external _ZTPMV
0000000180f77fcc (__TEXT,__text) external _ZTPMV_
0000000180f78380 (__TEXT,__text) external _ZTPSV
0000000180f78380 (__TEXT,__text) external _ZTPSV_
0000000180f74910 (__TEXT,__text) external _ZTRMM
0000000180f74910 (__TEXT,__text) external _ZTRMM_
0000000180f77d48 (__TEXT,__text) external _ZTRMV
0000000180f77d48 (__TEXT,__text) external _ZTRMV_
0000000180f74aa0 (__TEXT,__text) external _ZTRSM
0000000180f74aa0 (__TEXT,__text) external _ZTRSM_
0000000180f780fc (__TEXT,__text) external _ZTRSV
0000000180f780fc (__TEXT,__text) external _ZTRSV_
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __Unwind_Resume (from libSystem)
                 (undefined) external __ZNSt11logic_errorC2EPKc (from libc++)
                 (undefined) external __ZNSt12length_errorD1Ev (from libc++)
                 (undefined) external __ZTISt12length_error (from libc++)
                 (undefined) external __ZTVSt12length_error (from libc++)
                 (undefined) external __ZdaPvSt19__type_descriptor_t (from libc++)
                 (undefined) external __ZdlPv (from libc++)
                 (undefined) external __ZnamSt19__type_descriptor_t (from libc++)
                 (undefined) external __ZnwmSt19__type_descriptor_t (from libc++)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___cxa_allocate_exception (from libc++)
                 (undefined) external ___cxa_free_exception (from libc++)
                 (undefined) external ___cxa_throw (from libc++)
                 (undefined) external ___gxx_personality_v0 (from libc++)
                 (undefined) external ___muldc3 (from libSystem)
                 (undefined) external ___mulsc3 (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external __get_cpu_capabilities (from libSystem)
                 (undefined) external __os_log_default (from libSystem)
                 (undefined) external __os_log_error_impl (from libSystem)
                 (undefined) external __tlv_bootstrap (from libSystem)
                 (undefined) external _abort (from libSystem)
0000000181710154 (__TEXT,__text) external _appleblas_dgeadd
00000001816dd880 (__TEXT,__text) external _appleblas_dgeadd$NEWLAPACK
00000001816ef8d4 (__TEXT,__text) external _appleblas_dgeadd$NEWLAPACK$ILP64
0000000181719ec4 (__TEXT,__text) external _appleblas_sgeadd
00000001816ddbe4 (__TEXT,__text) external _appleblas_sgeadd$NEWLAPACK
00000001816efc28 (__TEXT,__text) external _appleblas_sgeadd$NEWLAPACK$ILP64
                 (undefined) external _bzero (from libSystem)
0000000181722138 (__TEXT,__text) external _catlas_caxpby
00000001816e6238 (__TEXT,__text) external _catlas_caxpby$NEWLAPACK
00000001816f5b98 (__TEXT,__text) external _catlas_caxpby$NEWLAPACK$ILP64
0000000181722a24 (__TEXT,__text) external _catlas_cset
00000001816e6b24 (__TEXT,__text) external _catlas_cset$NEWLAPACK
00000001816f6464 (__TEXT,__text) external _catlas_cset$NEWLAPACK$ILP64
00000001816ff648 (__TEXT,__text) external _catlas_daxpby
00000001813856e8 (__TEXT,__text) external _catlas_daxpby$NEWLAPACK
00000001816d3bc8 (__TEXT,__text) external _catlas_daxpby$NEWLAPACK$ILP64
00000001816ff738 (__TEXT,__text) external _catlas_dset
000000018138580c (__TEXT,__text) external _catlas_dset$NEWLAPACK
00000001816d3cbc (__TEXT,__text) external _catlas_dset$NEWLAPACK$ILP64
00000001816fdcd4 (__TEXT,__text) external _catlas_saxpby
0000000180f91d54 (__TEXT,__text) external _catlas_saxpby$NEWLAPACK
00000001816c7110 (__TEXT,__text) external _catlas_saxpby$NEWLAPACK$ILP64
00000001816fddf8 (__TEXT,__text) external _catlas_sset
0000000180f91e78 (__TEXT,__text) external _catlas_sset$NEWLAPACK
00000001816c7204 (__TEXT,__text) external _catlas_sset$NEWLAPACK$ILP64
000000018172312c (__TEXT,__text) external _catlas_zaxpby
00000001816e722c (__TEXT,__text) external _catlas_zaxpby$NEWLAPACK
00000001816f6b3c (__TEXT,__text) external _catlas_zaxpby$NEWLAPACK$ILP64
0000000181723f04 (__TEXT,__text) external _catlas_zset
00000001816e7e30 (__TEXT,__text) external _catlas_zset$NEWLAPACK
00000001816f7718 (__TEXT,__text) external _catlas_zset$NEWLAPACK$ILP64
0000000181551ac0 (__TEXT,__text) external _caxpby$NEWLAPACK
00000001816d7420 (__TEXT,__text) external _caxpby$NEWLAPACK$ILP64
0000000180f787e8 (__TEXT,__text) external _caxpy
0000000181551a58 (__TEXT,__text) external _caxpy$NEWLAPACK
00000001816d73b8 (__TEXT,__text) external _caxpy$NEWLAPACK$ILP64
0000000180f787e8 (__TEXT,__text) external _caxpy_
0000000181722390 (__TEXT,__text) external _cblas_caxpy
00000001816e6490 (__TEXT,__text) external _cblas_caxpy$NEWLAPACK
00000001816f5de8 (__TEXT,__text) external _cblas_caxpy$NEWLAPACK$ILP64
00000001817224d8 (__TEXT,__text) external _cblas_ccopy
00000001816e65d8 (__TEXT,__text) external _cblas_ccopy$NEWLAPACK
00000001816f5f2c (__TEXT,__text) external _cblas_ccopy$NEWLAPACK$ILP64
00000001817225bc (__TEXT,__text) external _cblas_cdotc_sub
00000001816e66bc (__TEXT,__text) external _cblas_cdotc_sub$NEWLAPACK
00000001816f601c (__TEXT,__text) external _cblas_cdotc_sub$NEWLAPACK$ILP64
00000001817226d8 (__TEXT,__text) external _cblas_cdotu_sub
00000001816e67d8 (__TEXT,__text) external _cblas_cdotu_sub$NEWLAPACK
00000001816f6134 (__TEXT,__text) external _cblas_cdotu_sub$NEWLAPACK$ILP64
0000000181704fe0 (__TEXT,__text) external _cblas_cgbmv
00000001816dd110 (__TEXT,__text) external _cblas_cgbmv$NEWLAPACK
00000001816ef144 (__TEXT,__text) external _cblas_cgbmv$NEWLAPACK$ILP64
0000000181705750 (__TEXT,__text) external _cblas_cgemm
00000001811c2db8 (__TEXT,__text) external _cblas_cgemm$NEWLAPACK
00000001816cd230 (__TEXT,__text) external _cblas_cgemm$NEWLAPACK$ILP64
0000000181630074 (__TEXT,__text) external _cblas_cgemm_spi$NEWLAPACK
00000001816d8e64 (__TEXT,__text) external _cblas_cgemm_spi$NEWLAPACK$ILP64
0000000181312fa4 (__TEXT,__text) external _cblas_cgemm_spi_mem_requirement$NEWLAPACK
00000001816cf7e0 (__TEXT,__text) external _cblas_cgemm_spi_mem_requirement$NEWLAPACK$ILP64
0000000181706de0 (__TEXT,__text) external _cblas_cgemv
00000001811fb0f8 (__TEXT,__text) external _cblas_cgemv$NEWLAPACK
00000001816ce458 (__TEXT,__text) external _cblas_cgemv$NEWLAPACK$ILP64
000000018171c808 (__TEXT,__text) external _cblas_cgerc
00000001816de6f0 (__TEXT,__text) external _cblas_cgerc$NEWLAPACK
00000001816f0724 (__TEXT,__text) external _cblas_cgerc$NEWLAPACK$ILP64
000000018171cf10 (__TEXT,__text) external _cblas_cgeru
00000001816dedf8 (__TEXT,__text) external _cblas_cgeru$NEWLAPACK
00000001816f0e24 (__TEXT,__text) external _cblas_cgeru$NEWLAPACK$ILP64
000000018171d6a0 (__TEXT,__text) external _cblas_chbmv
00000001816df588 (__TEXT,__text) external _cblas_chbmv$NEWLAPACK
00000001816f15a8 (__TEXT,__text) external _cblas_chbmv$NEWLAPACK$ILP64
0000000181707ab8 (__TEXT,__text) external _cblas_chemm
000000018154c6c0 (__TEXT,__text) external _cblas_chemm$NEWLAPACK
00000001816d6eb0 (__TEXT,__text) external _cblas_chemm$NEWLAPACK$ILP64
000000018171dadc (__TEXT,__text) external _cblas_chemv
00000001816dfc68 (__TEXT,__text) external _cblas_chemv$NEWLAPACK
00000001816f1844 (__TEXT,__text) external _cblas_chemv$NEWLAPACK$ILP64
000000018171e9cc (__TEXT,__text) external _cblas_cher
00000001816e0f80 (__TEXT,__text) external _cblas_cher$NEWLAPACK
00000001816f26d0 (__TEXT,__text) external _cblas_cher$NEWLAPACK$ILP64
000000018171e1dc (__TEXT,__text) external _cblas_cher2
00000001816e0790 (__TEXT,__text) external _cblas_cher2$NEWLAPACK
00000001816f1f20 (__TEXT,__text) external _cblas_cher2$NEWLAPACK$ILP64
0000000181708a90 (__TEXT,__text) external _cblas_cher2k
00000001811c06c4 (__TEXT,__text) external _cblas_cher2k$NEWLAPACK
00000001816cca68 (__TEXT,__text) external _cblas_cher2k$NEWLAPACK$ILP64
0000000181709d70 (__TEXT,__text) external _cblas_cherk
00000001810c1e98 (__TEXT,__text) external _cblas_cherk$NEWLAPACK
00000001816cc49c (__TEXT,__text) external _cblas_cherk$NEWLAPACK$ILP64
000000018171f208 (__TEXT,__text) external _cblas_chpmv
00000001816e17bc (__TEXT,__text) external _cblas_chpmv$NEWLAPACK
00000001816f2f1c (__TEXT,__text) external _cblas_chpmv$NEWLAPACK$ILP64
000000018171fc18 (__TEXT,__text) external _cblas_chpr
00000001816e2604 (__TEXT,__text) external _cblas_chpr$NEWLAPACK
00000001816f3904 (__TEXT,__text) external _cblas_chpr$NEWLAPACK$ILP64
000000018171f438 (__TEXT,__text) external _cblas_chpr2
00000001816e1e24 (__TEXT,__text) external _cblas_chpr2$NEWLAPACK
00000001816f3158 (__TEXT,__text) external _cblas_chpr2$NEWLAPACK$ILP64
00000001817227f4 (__TEXT,__text) external _cblas_crotg
00000001816e68f4 (__TEXT,__text) external _cblas_crotg$NEWLAPACK
00000001816f624c (__TEXT,__text) external _cblas_crotg$NEWLAPACK$ILP64
00000001817228a8 (__TEXT,__text) external _cblas_cscal
00000001816e69a8 (__TEXT,__text) external _cblas_cscal$NEWLAPACK
00000001816f6300 (__TEXT,__text) external _cblas_cscal$NEWLAPACK$ILP64
0000000181722a6c (__TEXT,__text) external _cblas_csrot
00000001816e6b6c (__TEXT,__text) external _cblas_csrot$NEWLAPACK
00000001816f64a4 (__TEXT,__text) external _cblas_csrot$NEWLAPACK$ILP64
0000000181722afc (__TEXT,__text) external _cblas_csscal
00000001816e6bfc (__TEXT,__text) external _cblas_csscal$NEWLAPACK
00000001816f6530 (__TEXT,__text) external _cblas_csscal$NEWLAPACK$ILP64
0000000181722be0 (__TEXT,__text) external _cblas_cswap
00000001816e6ce0 (__TEXT,__text) external _cblas_cswap$NEWLAPACK
00000001816f6610 (__TEXT,__text) external _cblas_cswap$NEWLAPACK$ILP64
000000018170abbc (__TEXT,__text) external _cblas_csymm
0000000181325208 (__TEXT,__text) external _cblas_csymm$NEWLAPACK
00000001816d2b24 (__TEXT,__text) external _cblas_csymm$NEWLAPACK$ILP64
000000018170bb9c (__TEXT,__text) external _cblas_csyr2k
0000000181554210 (__TEXT,__text) external _cblas_csyr2k$NEWLAPACK
00000001816d80b0 (__TEXT,__text) external _cblas_csyr2k$NEWLAPACK$ILP64
000000018170cb34 (__TEXT,__text) external _cblas_csyrk
00000001814404a0 (__TEXT,__text) external _cblas_csyrk$NEWLAPACK
00000001816d68d8 (__TEXT,__text) external _cblas_csyrk$NEWLAPACK$ILP64
000000018171fd88 (__TEXT,__text) external _cblas_ctbmv
00000001816e2a2c (__TEXT,__text) external _cblas_ctbmv$NEWLAPACK
