00007ff80db26402 (__TEXT,__text) non-external _Annihilate
00007ff80db65964 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl16
00007ff80db6628a (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl17
00007ff80db615a4 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl8
00007ff80db61e1c (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl9
00007ff80db37db2 (__TEXT,__text) non-external (was a private external) _BrotliConvertBitDepthsToSymbols
00007ff80db51034 (__TEXT,__text) non-external (was a private external) _BrotliCreateBackwardReferences
00007ff80db441de (__TEXT,__text) non-external (was a private external) _BrotliCreateHqZopfliBackwardReferences
00007ff80db37339 (__TEXT,__text) non-external (was a private external) _BrotliCreateHuffmanTree
00007ff80db440b5 (__TEXT,__text) non-external (was a private external) _BrotliCreateZopfliBackwardReferences
00007ff80db2c898 (__TEXT,__text) non-external (was a private external) _BrotliDecoderCreateInstance
00007ff80db2c969 (__TEXT,__text) non-external (was a private external) _BrotliDecoderDecompress
00007ff80db2ca48 (__TEXT,__text) non-external (was a private external) _BrotliDecoderDecompressStream
00007ff80db2c934 (__TEXT,__text) non-external (was a private external) _BrotliDecoderDestroyInstance
00007ff80db30be5 (__TEXT,__text) non-external (was a private external) _BrotliDecoderErrorString
00007ff80db30bdc (__TEXT,__text) non-external (was a private external) _BrotliDecoderGetErrorCode
00007ff80db30abc (__TEXT,__text) non-external (was a private external) _BrotliDecoderHasMoreOutput
00007ff80db333f2 (__TEXT,__text) non-external (was a private external) _BrotliDecoderHuffmanTreeGroupInit
00007ff80db30b9e (__TEXT,__text) non-external (was a private external) _BrotliDecoderIsFinished
00007ff80db30b85 (__TEXT,__text) non-external (was a private external) _BrotliDecoderIsUsed
00007ff80db2c84c (__TEXT,__text) non-external (was a private external) _BrotliDecoderSetParameter
00007ff80db333b7 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateCleanup
00007ff80db33327 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateCleanupAfterMetablock
00007ff80db331c8 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateInit
00007ff80db332ae (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateMetablockBegin
00007ff80db30af0 (__TEXT,__text) non-external (was a private external) _BrotliDecoderTakeOutput
00007ff80db30c0c (__TEXT,__text) non-external (was a private external) _BrotliDecoderVersion
00007ff80db2c5da (__TEXT,__text) non-external (was a private external) _BrotliDefaultAllocFunc
00007ff80db2c5e7 (__TEXT,__text) non-external (was a private external) _BrotliDefaultFreeFunc
00007ff80db270ae (__TEXT,__text) non-external (was a private external) _BrotliDestroyBlockSplit
00007ff80db188a3 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCompress
00007ff80db1a570 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCompressStream
00007ff80db18628 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCreateInstance
00007ff80db18775 (__TEXT,__text) non-external (was a private external) _BrotliEncoderDestroyInstance
00007ff80db1d764 (__TEXT,__text) non-external (was a private external) _BrotliEncoderHasMoreOutput
00007ff80db1b53d (__TEXT,__text) non-external (was a private external) _BrotliEncoderIsFinished
00007ff80db18879 (__TEXT,__text) non-external (was a private external) _BrotliEncoderMaxCompressedSize
00007ff80db18580 (__TEXT,__text) non-external (was a private external) _BrotliEncoderSetParameter
00007ff80db1d777 (__TEXT,__text) non-external (was a private external) _BrotliEncoderTakeOutput
00007ff80db1d7ed (__TEXT,__text) non-external (was a private external) _BrotliEncoderVersion
00007ff80db2f42c (__TEXT,__text) non-external _BrotliEnsureRingBuffer
00007ff80db362aa (__TEXT,__text) non-external (was a private external) _BrotliEstimateBitCostsForLiterals
00007ff80db5ef58 (__TEXT,__text) non-external (was a private external) _BrotliFindAllStaticDictionaryMatches
00007ff80db2630e (__TEXT,__text) non-external (was a private external) _BrotliFree
00007ff80db264cc (__TEXT,__text) non-external (was a private external) _BrotliGetDictionary
00007ff80db47bfc (__TEXT,__text) non-external (was a private external) _BrotliGetTransforms
00007ff80db3dfb8 (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceCommand
00007ff80db3ecba (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceDistance
00007ff80db3d2b6 (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceLiteral
00007ff80db3dcf2 (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineCommand
00007ff80db3e9f4 (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineDistance
00007ff80db3cff0 (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineLiteral
00007ff80db3e1ce (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexCommand
00007ff80db3eed0 (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexDistance
00007ff80db3d4cc (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexLiteral
00007ff80db3e047 (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapCommand
00007ff80db3ed49 (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapDistance
00007ff80db3d345 (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapLiteral
00007ff80db2c6ac (__TEXT,__text) non-external (was a private external) _BrotliInitBitReader
00007ff80db2709a (__TEXT,__text) non-external (was a private external) _BrotliInitBlockSplit
00007ff80db6982b (__TEXT,__text) non-external (was a private external) _BrotliInitDistanceParams
00007ff80db47b98 (__TEXT,__text) non-external (was a private external) _BrotliInitEncoderDictionary
00007ff80db261b9 (__TEXT,__text) non-external (was a private external) _BrotliInitMemoryManager
00007ff80db421bf (__TEXT,__text) non-external (was a private external) _BrotliInitZopfliNodes
00007ff80db60c2c (__TEXT,__text) non-external (was a private external) _BrotliIsMostlyUTF8
00007ff80db6a961 (__TEXT,__text) non-external (was a private external) _BrotliOptimizeHistograms
00007ff80db375bb (__TEXT,__text) non-external (was a private external) _BrotliOptimizeHuffmanCountsForRle
00007ff80db4d9d0 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostCommand
00007ff80db4df20 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostDistance
00007ff80db4d494 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostLiteral
00007ff80db90ec0 (__TEXT,__const) non-external _BrotliReverseBits.kLut
00007ff80db2c710 (__TEXT,__text) non-external (was a private external) _BrotliSafeReadBits32Slow
00007ff80db3728f (__TEXT,__text) non-external (was a private external) _BrotliSetDepth
00007ff80db264d9 (__TEXT,__text) non-external (was a private external) _BrotliSetDictionaryData
00007ff80db270e9 (__TEXT,__text) non-external (was a private external) _BrotliSplitBlock
00007ff80db48ff6 (__TEXT,__text) non-external (was a private external) _BrotliStoreHuffmanTree
00007ff80dbc5418 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kHuffmanBitLengthHuffmanCodeBitLengths
00007ff80dbc5412 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kHuffmanBitLengthHuffmanCodeSymbols
00007ff80dbc5400 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kStorageOrder
00007ff80db49a15 (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlock
00007ff80db4c0b1 (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlockFast
00007ff80db25a78 (__TEXT,__text) non-external _BrotliStoreMetaBlockHeader
00007ff80db66e01 (__TEXT,__text) non-external _BrotliStoreMetaBlockHeader
00007ff80db4b706 (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlockTrivial
00007ff80db4c4bb (__TEXT,__text) non-external (was a private external) _BrotliStoreUncompressedMetaBlock
00007ff80db47c09 (__TEXT,__text) non-external (was a private external) _BrotliTransformDictionaryWord
00007ff80db2c6c0 (__TEXT,__text) non-external (was a private external) _BrotliWarmupBitReader
00007ff80db26353 (__TEXT,__text) non-external (was a private external) _BrotliWipeOutMemoryManager
00007ff80db379ab (__TEXT,__text) non-external (was a private external) _BrotliWriteHuffmanTree
00007ff80db42514 (__TEXT,__text) non-external (was a private external) _BrotliZopfliComputeShortestPath
00007ff80db421e2 (__TEXT,__text) non-external (was a private external) _BrotliZopfliCreateCommands
00007ff80db4a670 (__TEXT,__text) non-external _BuildAndStoreBlockSwitchEntropyCodes
00007ff80db25f87 (__TEXT,__text) non-external _BuildAndStoreCommandPrefixCode
00007ff80db4ba42 (__TEXT,__text) non-external _BuildAndStoreHuffmanTree
00007ff80db25b2e (__TEXT,__text) non-external _BuildAndStoreLiteralPrefixCode
00007ff80db4b97a (__TEXT,__text) non-external _BuildHistograms
00007ff80db70df0 (__TEXT,__const) non-external _ChooseContextMap.kStaticContextMapContinuation
00007ff80db70ef0 (__TEXT,__const) non-external _ChooseContextMap.kStaticContextMapSimpleUTF8
00007ff80db1d7f8 (__TEXT,__text) non-external _ChooseDistanceParams
00007ff80db2624a (__TEXT,__text) non-external _CollectGarbagePointers
00007ff80db6a114 (__TEXT,__text) non-external _ComputeDistanceCost
00007ff80db44040 (__TEXT,__text) non-external _ComputeShortestPathFromNodes
00007ff80db6b8a6 (__TEXT,__text) non-external _ContextBlockSplitterFinishBlock
00007ff80db2ee38 (__TEXT,__text) non-external _CopyUncompressedBlockToOutput
00007ff80db511f8 (__TEXT,__text) non-external _CreateBackwardReferencesNH2
00007ff80db52152 (__TEXT,__text) non-external _CreateBackwardReferencesNH3
00007ff80db5b610 (__TEXT,__text) non-external _CreateBackwardReferencesNH35
00007ff80db52e2a (__TEXT,__text) non-external _CreateBackwardReferencesNH4
00007ff80db569ff (__TEXT,__text) non-external _CreateBackwardReferencesNH40
00007ff80db57e8d (__TEXT,__text) non-external _CreateBackwardReferencesNH41
00007ff80db59362 (__TEXT,__text) non-external _CreateBackwardReferencesNH42
00007ff80db53f57 (__TEXT,__text) non-external _CreateBackwardReferencesNH5
00007ff80db5a8c2 (__TEXT,__text) non-external _CreateBackwardReferencesNH54
00007ff80db5c5c8 (__TEXT,__text) non-external _CreateBackwardReferencesNH55
00007ff80db5545c (__TEXT,__text) non-external _CreateBackwardReferencesNH6
00007ff80db5d614 (__TEXT,__text) non-external _CreateBackwardReferencesNH65
00007ff80db1ea64 (__TEXT,__text) non-external _DecideOverLiteralContextModeling
00007ff80db70ce0 (__TEXT,__const) non-external _DecideOverLiteralContextModeling.lut
00007ff80db31210 (__TEXT,__text) non-external _DecodeCommandBlockSwitch
00007ff80db2efb2 (__TEXT,__text) non-external _DecodeContextMap
00007ff80db31d6f (__TEXT,__text) non-external _DecodeDistanceBlockSwitch
00007ff80db317c9 (__TEXT,__text) non-external _DecodeLiteralBlockSwitch
00007ff80db2dc51 (__TEXT,__text) non-external _DecodeMetaBlockLength
00007ff80db2e21e (__TEXT,__text) non-external _DecodeVarLenUint8
00007ff80db259f8 (__TEXT,__text) non-external _EmitUncompressedMetaBlock
00007ff80db4ab9f (__TEXT,__text) non-external _EncodeContextMap
00007ff80db1b66e (__TEXT,__text) non-external _EncodeData
00007ff80db43e65 (__TEXT,__text) non-external _EvaluateNode
00007ff80db1e31a (__TEXT,__text) non-external _ExtendLastCommand
00007ff80db90f90 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
00007ff80dbce8f0 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
00007ff80dbe7400 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
00007ff80db1e15f (__TEXT,__text) non-external _GetBrotliStorage
00007ff80db1e1d3 (__TEXT,__text) non-external _GetHashTable
00007ff80db6ac2f (__TEXT,__text) non-external _InitBlockSplitterCommand
00007ff80db6adea (__TEXT,__text) non-external _InitBlockSplitterDistance
00007ff80db6aa74 (__TEXT,__text) non-external _InitBlockSplitterLiteral
00007ff80db70be0 (__TEXT,__const) non-external _InitCommandPrefixCodes.kDefaultCommandBits
00007ff80dbe78a0 (__TEXT,__cstring) non-external _InitCommandPrefixCodes.kDefaultCommandCode
00007ff80db70b60 (__TEXT,__const) non-external _InitCommandPrefixCodes.kDefaultCommandDepths
00007ff80db433ff (__TEXT,__text) non-external _InitZopfliCostModel
00007ff80db1dab7 (__TEXT,__text) non-external _InitializeH6
00007ff80db1b55b (__TEXT,__text) non-external _InjectFlushOrPushOutput
00007ff80db30cbb (__TEXT,__text) non-external _InverseMoveToFrontTransform
00007ff80db39094 (__TEXT,__text) non-external _LZFSEIBootBufferCopy
00007ff80db39046 (__TEXT,__text) non-external _LZFSEIBootBufferPush
00007ff80db38f6b (__TEXT,__text) non-external _LZFSEIBootBufferPushN
00007ff80db6d4f8 (__TEXT,__text) non-external _MapStaticContexts
00007ff80db1de75 (__TEXT,__text) non-external _PrepareH35
00007ff80db1db1e (__TEXT,__text) non-external _PrepareH4
00007ff80db1dc42 (__TEXT,__text) non-external _PrepareH40
00007ff80db1dcd8 (__TEXT,__text) non-external _PrepareH41
00007ff80db1dd6e (__TEXT,__text) non-external _PrepareH42
00007ff80db1db85 (__TEXT,__text) non-external _PrepareH5
00007ff80db1de0e (__TEXT,__text) non-external _PrepareH54
00007ff80db1df77 (__TEXT,__text) non-external _PrepareH55
00007ff80db1dbd9 (__TEXT,__text) non-external _PrepareH6
00007ff80db1e029 (__TEXT,__text) non-external _PrepareH65
00007ff80db2f4d1 (__TEXT,__text) non-external _ProcessCommands
00007ff80db2e3d9 (__TEXT,__text) non-external _ReadHuffmanCode
00007ff80db30eac (__TEXT,__text) non-external _SafeDecodeCommandBlockSwitch
00007ff80db319fc (__TEXT,__text) non-external _SafeDecodeDistanceBlockSwitch
00007ff80db313f8 (__TEXT,__text) non-external _SafeDecodeLiteralBlockSwitch
00007ff80db30c17 (__TEXT,__text) non-external _SafeDecodeSymbol
00007ff80db2ff68 (__TEXT,__text) non-external _SafeProcessCommands
00007ff80db2db08 (__TEXT,__text) non-external _SaveErrorCode
00007ff80db45667 (__TEXT,__text) non-external _SetCost
00007ff80db47e2a (__TEXT,__text) non-external _Shift
00007ff80db1d83e (__TEXT,__text) non-external _ShouldCompress
00007ff80db66bb0 (__TEXT,__text) non-external _ShouldCompress
00007ff80db25d6c (__TEXT,__text) non-external _ShouldMergeBlock
00007ff80db70cf0 (__TEXT,__const) non-external _ShouldUseComplexStaticContextMap.kStaticContextMapComplexUTF8
00007ff80db2638e (__TEXT,__text) non-external _SortPointers
00007ff80db712c0 (__TEXT,__const) non-external _SortPointers.gaps
00007ff80db66eb7 (__TEXT,__text) non-external _StoreCommands
00007ff80dbc6180 (__TEXT,__const) non-external _StoreCommands.kInsertOffset
00007ff80dbc5f80 (__TEXT,__const) non-external _StoreCommands.kNumExtraBits
00007ff80db4a529 (__TEXT,__text) non-external _StoreCompressedMetaBlockHeader
00007ff80db4bdd9 (__TEXT,__text) non-external _StoreDataWithHuffmanCodes
00007ff80db4b383 (__TEXT,__text) non-external _StoreSymbol
00007ff80db4b53b (__TEXT,__text) non-external _StoreSymbolWithContext
00007ff80db4a954 (__TEXT,__text) non-external _StoreTrivialContextMap
00007ff80db4c63a (__TEXT,__text) non-external _StoreVarLenUint8
00007ff80db25f04 (__TEXT,__text) non-external _UpdateBits
00007ff80db1e2aa (__TEXT,__text) non-external _UpdateLastProcessedPos
00007ff80db435bb (__TEXT,__text) non-external _UpdateNodes
00007ff80db30a88 (__TEXT,__text) non-external _WrapRingBuffer
00007ff80db1e594 (__TEXT,__text) non-external _WriteMetaBlockInternal
00007ff80db2db1c (__TEXT,__text) non-external _WriteRingBuffer
00007ff80db43471 (__TEXT,__text) non-external _ZopfliCostModelSetFromLiteralCosts
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00007ff80db91500 (__TEXT,__const) non-external __ZL22lzma_copy_with_patternPhjj.repeat_off
00007ff80db91410 (__TEXT,__const) non-external __ZL22lzma_copy_with_patternPhjj.repeat_perm
00007ff8424e4360 (__DATA,__const) non-external ___block_descriptor_tmp
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00007ff80db34b7f (__TEXT,__text) non-external ___yzip_jobs_process_block_invoke
00007ff80dbcd2d0 (__TEXT,__const) non-external (was a private external) __dist_code
00007ff80dbc5760 (__TEXT,__const) non-external (was a private external) __kBrotliContextLookupTable
00007ff80db71000 (__TEXT,__const) non-external (was a private external) __kBrotliPrefixCodeRanges
00007ff80dbcd4d0 (__TEXT,__const) non-external (was a private external) __length_code
00007ff80db69560 (__TEXT,__text) non-external (was a private external) __tr_align
00007ff80db10f83 (__TEXT,__text) non-external (was a private external) __tr_flush_block
00007ff80db0f343 (__TEXT,__text) non-external (was a private external) __tr_init
00007ff80db69437 (__TEXT,__text) non-external (was a private external) __tr_stored_block
00007ff80db69790 (__TEXT,__text) non-external (was a private external) __tr_tally
00007ff80db0f204 (__TEXT,__text) non-external (was a private external) _adler32
00007ff80db18070 (__TEXT,__text) non-external (was a private external) _adler32_vec
00007ff80dbcdcc0 (__TEXT,__const) non-external _base_dist
00007ff80dbcdc40 (__TEXT,__const) non-external _base_length
00007ff80db6970e (__TEXT,__text) non-external _bi_flush
00007ff80db128c0 (__TEXT,__text) non-external _bi_windup
00007ff80dbcdc20 (__TEXT,__const) non-external _bl_order
00007ff80dbc54e0 (__TEXT,__const) non-external _breverse.brev8
00007ff80db6767c (__TEXT,__text) non-external (was a private external) _brotli_decode_buffer
00007ff80db676b1 (__TEXT,__text) non-external (was a private external) _brotli_encode_buffer
00007ff80db67868 (__TEXT,__text) non-external (was a private external) _brotli_stream_end
00007ff80db67792 (__TEXT,__text) non-external (was a private external) _brotli_stream_init
00007ff80db676ed (__TEXT,__text) non-external (was a private external) _brotli_stream_process
00007ff80db11927 (__TEXT,__text) non-external _build_tree
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _close (from libSystem)
00007ff80db124b2 (__TEXT,__text) non-external _compress_block
00007ff80db14749 (__TEXT,__text) external _compression_decode_buffer
00007ff80db14645 (__TEXT,__text) external _compression_decode_scratch_buffer_size
00007ff80db60f91 (__TEXT,__text) external _compression_encode_buffer
00007ff80db60e3f (__TEXT,__text) external _compression_encode_scratch_buffer_size
00007ff80db12a80 (__TEXT,__text) external _compression_stream_destroy
00007ff80db361b8 (__TEXT,__text) external _compression_stream_get_decode_state_size
00007ff80db36162 (__TEXT,__text) external _compression_stream_get_encode_state_size
00007ff80db3611a (__TEXT,__text) external _compression_stream_get_state_size
00007ff80db36098 (__TEXT,__text) external _compression_stream_identify_algorithm
00007ff80db0ec40 (__TEXT,__text) external _compression_stream_init
00007ff80db3604b (__TEXT,__text) external _compression_stream_init_with_state_buffer
00007ff80db3620e (__TEXT,__text) external _compression_stream_is_state_valid
00007ff80db0f877 (__TEXT,__text) external _compression_stream_process
00007ff80db14e8f (__TEXT,__text) external _compression_stream_reinit
00007ff8424e4bd0 (__DATA,__const) non-external _configuration_table
00007ff80db3c9fd (__TEXT,__text) non-external _convert_row_16to8
00007ff80db3c998 (__TEXT,__text) non-external _convert_row_8to16
00007ff80db3c72b (__TEXT,__text) non-external _convert_row_GUVAtoRGBA8888
00007ff80db3c238 (__TEXT,__text) non-external _convert_row_GUVtoRGB888
00007ff80db3ccbf (__TEXT,__text) non-external _convert_row_PlanarRGtoRG
00007ff80db3ca73 (__TEXT,__text) non-external _convert_row_RG88toRG
00007ff80db3c019 (__TEXT,__text) non-external _convert_row_RGB888toGUV
00007ff80db3c471 (__TEXT,__text) non-external _convert_row_RGBA8888toGUVA
00007ff80db3cbd1 (__TEXT,__text) non-external _convert_row_RGtoPlanarRG
00007ff80db3cb21 (__TEXT,__text) non-external _convert_row_RGtoRG88
00007ff80db3ca66 (__TEXT,__text) non-external _convert_row_copy16
00007ff80db3b436 (__TEXT,__text) non-external (was a private external) _convert_row_to_lsb
00007ff80db3b3dc (__TEXT,__text) non-external (was a private external) _convert_row_to_msb
00007ff80db3bd8c (__TEXT,__text) non-external _convert_rows_from_bayer16
00007ff80db3bb58 (__TEXT,__text) non-external _convert_rows_from_bayer8
00007ff80db3b598 (__TEXT,__text) non-external _convert_rows_from_quadra8
00007ff80db3bef2 (__TEXT,__text) non-external _convert_rows_to_bayer16
00007ff80db3bc75 (__TEXT,__text) non-external _convert_rows_to_bayer8
00007ff80db3b889 (__TEXT,__text) non-external _convert_rows_to_quadra8
00007ff80db4f449 (__TEXT,__text) external _cosmix_codec_decode
00007ff80db4eae3 (__TEXT,__text) external _cosmix_codec_encode
00007ff80db4f365 (__TEXT,__text) external _cosmix_codec_get_decoded_size
00007ff80db4fef0 (__TEXT,__text) external _cosmix_codec_get_id
00007ff80db4fd64 (__TEXT,__text) external _cosmix_codec_map
00007ff80db4fea8 (__TEXT,__text) external _cosmix_codec_unmap
00007ff80db4f990 (__TEXT,__text) external _cosmix_model_create
00007ff80db4faaf (__TEXT,__text) external _cosmix_model_destroy
00007ff80db4fad8 (__TEXT,__text) external _cosmix_model_save_codec
00007ff80db4e470 (__TEXT,__text) external _cosmix_model_update
00007ff80db67346 (__TEXT,__text) non-external (was a private external) _crc32
00007ff80dbceba0 (__TEXT,__const) non-external _crc32_lut4
00007ff80dbc61e0 (__TEXT,__const) non-external _crc_table
00007ff80db39bb3 (__TEXT,__text) non-external _create_rectangle_within_image
00007ff80db2c5f4 (__TEXT,__text) non-external (was a private external) _create_thread
00007ff80db0fc8f (__TEXT,__text) non-external (was a private external) _deflate
00007ff80db6f17c (__TEXT,__text) non-external (was a private external) _deflateBound
00007ff80db6f74c (__TEXT,__text) non-external (was a private external) _deflateCopy
00007ff80db12995 (__TEXT,__text) non-external (was a private external) _deflateEnd
00007ff80db0ee06 (__TEXT,__text) non-external (was a private external) _deflateInit2_
00007ff80db6ee9d (__TEXT,__text) non-external (was a private external) _deflateInit_
00007ff80db6f05f (__TEXT,__text) non-external (was a private external) _deflateParams
00007ff80db6f02a (__TEXT,__text) non-external (was a private external) _deflatePrime
00007ff80db0f0bd (__TEXT,__text) non-external (was a private external) _deflateReset
00007ff80db6eec7 (__TEXT,__text) non-external (was a private external) _deflateSetDictionary
00007ff80db6f005 (__TEXT,__text) non-external (was a private external) _deflateSetHeader
00007ff80db6f148 (__TEXT,__text) non-external (was a private external) _deflateTune
00007ff80dbceb40 (__TEXT,__const) non-external (was a private external) _deflate_copyright
00007ff80db6fb07 (__TEXT,__text) non-external _deflate_fast
00007ff80db6f289 (__TEXT,__text) non-external _deflate_huff
00007ff80db6f403 (__TEXT,__text) non-external _deflate_rle
00007ff80db10677 (__TEXT,__text) non-external _deflate_slow
00007ff80db6f941 (__TEXT,__text) non-external _deflate_stored
                 (undefined) external _dispatch_apply (from libSystem)
00007ff80db4893d (__TEXT,__text) non-external _emitMatch
00007ff80dbcdbd0 (__TEXT,__const) non-external _extra_blbits
00007ff80dbcdb50 (__TEXT,__const) non-external _extra_dbits
00007ff80dbcdad0 (__TEXT,__const) non-external _extra_lbits
                 (undefined) external _fclose (from libSystem)
00007ff80db10b55 (__TEXT,__text) non-external _fill_window
00007ff80db12931 (__TEXT,__text) non-external _flush_pending
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _free (from libSystem)
00007ff80db6ee51 (__TEXT,__text) non-external _fse_adjust_freqs
                 (undefined) external _fwrite (from libSystem)
00007ff80dbce7f0 (__TEXT,__const) non-external _getDSymbolFromValue.sym
00007ff80dbcdd70 (__TEXT,__const) non-external _getLSymbolFromValue.sym
00007ff80dbcdeb0 (__TEXT,__const) non-external _getMSymbolFromValue.sym
00007ff80db3b490 (__TEXT,__text) non-external (was a private external) _get_conversion_set
00007ff80db67339 (__TEXT,__text) non-external (was a private external) _get_crc_table
00007ff80db3fe2a (__TEXT,__text) non-external (was a private external) _get_default_nthreads
00007ff80db392f7 (__TEXT,__text) non-external _get_format_bits
00007ff80db39151 (__TEXT,__text) non-external (was a private external) _get_format_bytes_per_pixel
00007ff80db39172 (__TEXT,__text) non-external (was a private external) _get_format_components
00007ff80db391ec (__TEXT,__text) non-external (was a private external) _get_format_convert_at_once
00007ff80db394a1 (__TEXT,__text) non-external _get_format_plane_count
00007ff80db3920d (__TEXT,__text) non-external (was a private external) _get_format_process_at_once
00007ff80db33a20 (__TEXT,__text) non-external (was a private external) _get_max_payload_size
00007ff80db33a5b (__TEXT,__text) non-external (was a private external) _get_plane_max_rice_size
00007ff80db33a9c (__TEXT,__text) non-external (was a private external) _get_pool_size
00007ff80db3fdf6 (__TEXT,__text) non-external (was a private external) _get_real_time
00007ff80db33a85 (__TEXT,__text) non-external (was a private external) _get_slice_height
00007ff80db33a6f (__TEXT,__text) non-external (was a private external) _get_slice_width
                 (undefined) external _gettimeofday (from libSystem)
00007ff80db394e8 (__TEXT,__text) non-external _header_fetch_from_payload
