00007ffa1e013e3b (__TEXT,__text) non-external _DiToMD5
00007ffa1e022263 (__TEXT,__text) non-external _IORecursiveConditionLockUnlock.cold.2
00007ffa1dffd4cf (__TEXT,__text) external _IORecursiveLockAlloc
00007ffa1dffd4eb (__TEXT,__text) external _IORecursiveLockFree
00007ffa1dffd517 (__TEXT,__text) external _IORecursiveLockHaveLock
00007ffa1dffd501 (__TEXT,__text) external _IORecursiveLockLock
00007ffa1dffd521 (__TEXT,__text) external _IORecursiveLockTryLock
00007ffa1dffd50d (__TEXT,__text) external _IORecursiveLockUnlock
00007ffa4193dbd0 (__DATA_CONST,__const) external _IOReportLegend_Class
00007ffa4193d950 (__DATA_CONST,__const) external _IOReporter_Class
00007ffa4193dfd8 (__DATA_CONST,__const) external _IOServiceNotificationDispatchSource_Class
00007ffa4193e138 (__DATA_CONST,__const) external _IOServiceStateNotificationDispatchSource_Class
00007ffa4193de28 (__DATA_CONST,__const) external _IOService_Class
00007ffa4193d9f0 (__DATA_CONST,__const) external _IOSimpleReporter_Class
00007ffa1dffaf13 (__TEXT,__text) external _IOSleep
00007ffa4193da90 (__DATA_CONST,__const) external _IOStateReporter_Class
00007ffa4193fda8 (__DATA_CONST,__const) external _IOThread_Class
00007ffa4193e298 (__DATA_CONST,__const) external _IOTimerDispatchSource_Class
00007ffa4193e448 (__DATA_CONST,__const) external _IOUserClient_Class
00007ffa1dffe086 (__TEXT,__text) external _IOUserServerMain
00007ffa1e022625 (__TEXT,__text) non-external _IOUserServerMain.cold.1
00007ffa1e022760 (__TEXT,__text) non-external _IOUserServerMain.cold.10
00007ffa1e022648 (__TEXT,__text) non-external _IOUserServerMain.cold.2
00007ffa1e02266b (__TEXT,__text) non-external _IOUserServerMain.cold.3
00007ffa1e02268e (__TEXT,__text) non-external _IOUserServerMain.cold.4
00007ffa1e0226b1 (__TEXT,__text) non-external _IOUserServerMain.cold.5
00007ffa1e0226d4 (__TEXT,__text) non-external _IOUserServerMain.cold.6
00007ffa1e0226f7 (__TEXT,__text) non-external _IOUserServerMain.cold.7
00007ffa1e02271a (__TEXT,__text) non-external _IOUserServerMain.cold.8
00007ffa1e02273d (__TEXT,__text) non-external _IOUserServerMain.cold.9
00007ffa4193e728 (__DATA_CONST,__const) external _IOUserServer_Class
00007ffa41a3d9c8 (__DATA_DIRTY,__common) external _IOVMPageSize
00007ffa4193e8d8 (__DATA_CONST,__const) external _IOWorkGroup_Class
00007ffa1e013fd2 (__TEXT,__text) external _MD5Final
00007ffa1e013da0 (__TEXT,__text) external _MD5Init
00007ffa1e013f5e (__TEXT,__text) non-external _MD5ToDi
00007ffa1e013ea1 (__TEXT,__text) external _MD5Update
                 (undefined) external _NDR_record (from libSystem)
00007ffa4193ea38 (__DATA_CONST,__const) external _OSAction_Class
00007ffa4193e4e8 (__DATA_CONST,__const) external _OSAction_IOUserClient_KernelCompletion_Class
00007ffa4193fb38 (__DATA_CONST,__const) external _OSAction__IOBlockStorageDevice_KernelCompletion_Class
00007ffa1e00624c (__TEXT,__text) external _OSArrayAppendValue
00007ffa1e005f8b (__TEXT,__text) external _OSArrayApply
00007ffa1e005ca3 (__TEXT,__text) external _OSArrayCreate
00007ffa1e005456 (__TEXT,__text) external _OSArrayGetCount
00007ffa1e0062da (__TEXT,__text) external _OSArrayGetStringValue
00007ffa1e00634a (__TEXT,__text) external _OSArrayGetUInt64Value
00007ffa1e006280 (__TEXT,__text) external _OSArrayGetValue
00007ffa1e00623d (__TEXT,__text) external _OSArrayReplaceValue
00007ffa1e006305 (__TEXT,__text) external _OSArraySetStringValue
00007ffa1e006410 (__TEXT,__text) external _OSArraySetUInt64Value
00007ffa1e0060b6 (__TEXT,__text) external _OSArraySetValue
00007ffa4193ebe8 (__DATA_CONST,__const) external _OSArray_Class
00007ffa4193ece0 (__DATA_CONST,__const) external _OSBoolean_Class
00007ffa4193edd8 (__DATA_CONST,__const) external _OSBundle_Class
00007ffa1e004426 (__TEXT,__text) external _OSCollectionTypeID
00007ffa1e023236 (__TEXT,__text) non-external _OSCollectionTypeID.cold.1
00007ffa1e0043ac (__TEXT,__text) external _OSCollectionTypeName
00007ffa1e0231f2 (__TEXT,__text) non-external _OSCollectionTypeName.cold.1
00007ffa4193eed0 (__DATA_CONST,__const) external _OSCollection_Class
00007ffa1e008a42 (__TEXT,__text) external _OSCollectionsInitialize
00007ffa4193efc8 (__DATA_CONST,__const) external _OSContainer_Class
00007ffa1e004482 (__TEXT,__text) external _OSCreateObjectFromSerialization
00007ffa1e02327c (__TEXT,__text) non-external _OSCreateObjectFromSerialization.cold.1
00007ffa1e006c21 (__TEXT,__text) external _OSCreateSerializationFromBytes
00007ffa1e0236dc (__TEXT,__text) non-external _OSCreateSerializationFromBytes.cold.1
00007ffa1e006b23 (__TEXT,__text) external _OSCreateSerializationFromObject
00007ffa1e0052db (__TEXT,__text) external _OSDataAppendBytes
00007ffa1e005259 (__TEXT,__text) external _OSDataCreate
00007ffa1e005208 (__TEXT,__text) external _OSDataGetBytes
00007ffa1e0051bf (__TEXT,__text) external _OSDataGetBytesPtr
00007ffa1e0051f7 (__TEXT,__text) external _OSDataGetLength
00007ffa4193f128 (__DATA_CONST,__const) external _OSData_Class
00007ffa1e005463 (__TEXT,__text) external _OSDictionaryApply
00007ffa1e0053f5 (__TEXT,__text) external _OSDictionaryCreate
00007ffa1e005449 (__TEXT,__text) external _OSDictionaryGetCount
00007ffa1e005ab4 (__TEXT,__text) external _OSDictionaryGetStringValue
00007ffa1e005bc6 (__TEXT,__text) external _OSDictionaryGetUInt64Value
00007ffa1e005a17 (__TEXT,__text) external _OSDictionaryGetValue
00007ffa1e005b81 (__TEXT,__text) external _OSDictionarySetStringValue
00007ffa1e005c65 (__TEXT,__text) external _OSDictionarySetUInt64Value
00007ffa1e00571e (__TEXT,__text) external _OSDictionarySetValue
00007ffa4193f220 (__DATA_CONST,__const) external _OSDictionary_Class
00007ffa4193f318 (__DATA_CONST,__const) external _OSMappedFile_Class
00007ffa1e005393 (__TEXT,__text) external _OSNumberCreateWithUInt64Value
00007ffa1e005372 (__TEXT,__text) external _OSNumberGetUInt64Value
00007ffa4193f410 (__DATA_CONST,__const) external _OSNumber_Class
00007ffa1e00726c (__TEXT,__text) external _OSObjectLog
00007ffa1e0043e2 (__TEXT,__text) external _OSObjectRelease
00007ffa1e0043d7 (__TEXT,__text) external _OSObjectRetain
00007ffa4193f508 (__DATA_CONST,__const) external _OSObject_Class
00007ffa4193f6b8 (__DATA_CONST,__const) external _OSOrderedSet_Class
00007ffa1dffb474 (__TEXT,__text) external _OSReportWithBacktrace
00007ffa1e006d4a (__TEXT,__text) external _OSSerializationGetBytes
00007ffa4193f7b0 (__DATA_CONST,__const) external _OSSerialization_Class
00007ffa4193f8a8 (__DATA_CONST,__const) external _OSSet_Class
00007ffa1e004eef (__TEXT,__text) external _OSStringCreate
00007ffa1e02332b (__TEXT,__text) non-external _OSStringCreate.cold.1
00007ffa1e004eae (__TEXT,__text) external _OSStringGetLength
00007ffa1e023308 (__TEXT,__text) non-external _OSStringGetLength.cold.1
00007ffa1e004e76 (__TEXT,__text) external _OSStringGetStringPtr
00007ffa4193f9a0 (__DATA_CONST,__const) external _OSString_Class
00007ffa1dffaf2d (__TEXT,__text) external _OSSynchronizeIO
00007ffa43adc440 (__DATA,__bss) non-external _OSUniqueStrings
00007ffa1dffb833 (__TEXT,__text) external _PE_i_can_has_debugger
00007ffa1e0142a9 (__TEXT,__text) external _SHA1Final
00007ffa1e014080 (__TEXT,__text) external _SHA1Init
00007ffa1e01423e (__TEXT,__text) non-external _SHA1ToDi
00007ffa1e014181 (__TEXT,__text) external _SHA1Update
                 (undefined) external __Block_copy (from libSystem)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __Block_release (from libSystem)
00007ffa1dffbe3a (__TEXT,__text) non-external __GLOBAL__sub_I_IOLib.cpp
00007ffa4193fa98 (__DATA_CONST,__const) external __IOBlockStorageDevice_Class
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __NSGetExecutablePath (from libSystem)
00007ffa1dffc162 (__TEXT,__text) non-external (was a private external) __Z11OSFindClassP18IOUserServer_IVarsPKc
00007ffa1e021df5 (__TEXT,__text) non-external __Z11OSFindClassP18IOUserServer_IVarsPKc.cold.1
00007ffa1e021e18 (__TEXT,__text) non-external __Z11OSFindClassP18IOUserServer_IVarsPKc.cold.2
00007ffa1dffd739 (__TEXT,__text) non-external (was a private external) __Z11ThreadStartPFPvS_ES_
00007ffa1e02237b (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.1
00007ffa1e02239e (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.2
00007ffa1e0223c1 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.3
00007ffa1e0223e4 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.4
00007ffa1e022407 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.5
00007ffa1dffc98b (__TEXT,__text) non-external (was a private external) __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC
00007ffa1e022037 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.1
00007ffa1e02205a (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.2
00007ffa1e02207d (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.3
00007ffa1e0220a0 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.4
00007ffa1e0220e2 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.5
00007ffa1dffc390 (__TEXT,__text) non-external (was a private external) __Z12OSObjectFreeP15OSMetaClassBase
00007ffa1e021ea4 (__TEXT,__text) non-external __Z12OSObjectFreeP15OSMetaClassBase.cold.1
00007ffa1e006262 (__TEXT,__text) non-external (was a private external) __Z15OSArrayGetEntryP7OSArraym
00007ffa1e0089e0 (__TEXT,__text) non-external (was a private external) __Z15OSBooleanCreatev
00007ffa1dffbfd6 (__TEXT,__text) non-external (was a private external) __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass
00007ffa1e021d8c (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.1
00007ffa1e021daf (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.2
00007ffa1e021dd2 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.3
00007ffa1e006375 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetStringP7OSArraym
00007ffa1e0063e5 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetUInt64P7OSArraym
00007ffa1e0063a0 (__TEXT,__text) non-external (was a private external) __Z16OSArraySetStringP7OSArraymPKc
00007ffa1dffc1ba (__TEXT,__text) external __Z16OSObjectAllocateP11OSMetaClassPP8OSObject
00007ffa1e021e3b (__TEXT,__text) non-external __Z16OSObjectAllocateP11OSMetaClassPP8OSObject.cold.1
00007ffa1e021e5e (__TEXT,__text) non-external __Z16OSObjectAllocateP11OSMetaClassPP8OSObject.cold.2
00007ffa1e006750 (__TEXT,__text) non-external (was a private external) __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry
00007ffa1e02362d (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.1
00007ffa1e023650 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.2
00007ffa1e023673 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.3
00007ffa1e023696 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.4
00007ffa1e0236b9 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.5
00007ffa1dffaa8c (__TEXT,__text) external __Z16OSUnserializeXMLPKcPP8OSString
00007ffa1dffab78 (__TEXT,__text) external __Z16OSUnserializeXMLPKcmPP8OSString
00007ffa1dffc67b (__TEXT,__text) non-external (was a private external) __Z17SearchMethodArrayyPKyjPy
00007ffa1dffde6a (__TEXT,__text) non-external (was a private external) __Z18OSLoadBundleByPathP18IOUserServer_IVarsPKc
00007ffa1dffbf48 (__TEXT,__text) non-external (was a private external) __Z18OSStringArrayIndexP10IOPStringsPKc
00007ffa1dffbeaf (__TEXT,__text) non-external (was a private external) __Z19OSCopyInStringArrayPKcj
00007ffa1e006d68 (__TEXT,__text) non-external (was a private external) __Z19OSObjectLogInternalP8OSObjectj
00007ffa1e0236ff (__TEXT,__text) non-external __Z19OSObjectLogInternalP8OSObjectj.cold.1
00007ffa1dffc2d8 (__TEXT,__text) non-external (was a private external) __Z20OSObjectPortFinalizeP15OSMetaClassBase
00007ffa1e021e81 (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.1
00007ffa1e00444f (__TEXT,__text) non-external (was a private external) __Z20OSSerializationValueP15OSSerializationj
00007ffa1e023259 (__TEXT,__text) non-external __Z20OSSerializationValueP15OSSerializationj.cold.1
00007ffa1e0043ed (__TEXT,__text) non-external (was a private external) __Z21OSSerializationTypeIDj
00007ffa1e023213 (__TEXT,__text) non-external __Z21OSSerializationTypeIDj.cold.1
00007ffa1dff9290 (__TEXT,__text) non-external (was a private external) __Z21OSUnserializeXMLparsePv
00007ffa1e021c3c (__TEXT,__text) non-external __Z21OSUnserializeXMLparsePv.cold.1
00007ffa1e005173 (__TEXT,__text) non-external (was a private external) __Z23OSSerializationGetBytesPKjPvmm
00007ffa1e00644e (__TEXT,__text) non-external (was a private external) __Z26OSSerializationAppendBytesP15OSSerializationPKvm
00007ffa1e023443 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.1
00007ffa1e023466 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.2
00007ffa1e023489 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.3
00007ffa1e0234ac (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.4
00007ffa1e0234cf (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.5
00007ffa1e00513f (__TEXT,__text) non-external (was a private external) __Z26OSSerializationGetBytesPtrPKjmm
00007ffa1e005d5d (__TEXT,__text) non-external (was a private external) __Z27OSCollectionEntryArrayApplyP15OSSerialization17OSCollectionEntryU13block_pointerFbmS0_S1_E
00007ffa1e0233b7 (__TEXT,__text) non-external __Z27OSCollectionEntryArrayApplyP15OSSerialization17OSCollectionEntryU13block_pointerFbmS0_S1_E.cold.1
00007ffa1e005cf7 (__TEXT,__text) non-external (was a private external) __Z27OSCollectionEntryArrayCountP15OSSerialization17OSCollectionEntry
00007ffa1e023371 (__TEXT,__text) non-external __Z27OSCollectionEntryArrayCountP15OSSerialization17OSCollectionEntry.cold.1
00007ffa1e023394 (__TEXT,__text) non-external __Z27OSCollectionEntryArrayCountP15OSSerialization17OSCollectionEntry.cold.2
00007ffa1e005356 (__TEXT,__text) non-external (was a private external) __Z29OSSerializationGetUInt64ValuePKj
00007ffa1e00657b (__TEXT,__text) non-external (was a private external) __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry
00007ffa1e0234f2 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.1
00007ffa1e023515 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.2
00007ffa1e023538 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.3
00007ffa1dffd83a (__TEXT,__text) non-external (was a private external) __Z6ServerPvP17mach_msg_header_tS1_
00007ffa1e02242a (__TEXT,__text) non-external __Z6ServerPvP17mach_msg_header_tS1_.cold.1
00007ffa1e02244d (__TEXT,__text) non-external __Z6ServerPvP17mach_msg_header_tS1_.cold.2
00007ffa1dffde42 (__TEXT,__text) non-external (was a private external) __Z7astrcpyPKc
00007ffa1dffd2d2 (__TEXT,__text) non-external __ZL10IORPCAsyncPv
00007ffa1e020af2 (__TEXT,__text) non-external __ZL10OSData_NewP11OSMetaClass
00007ffa1dffa990 (__TEXT,__text) non-external __ZL10buildArrayP12parser_stateP6object
00007ffa1e004228 (__TEXT,__text) non-external __ZL10uiomessagePv
00007ffa1e02099c (__TEXT,__text) non-external __ZL11OSArray_NewP11OSMetaClass
00007ffa1e007eb6 (__TEXT,__text) non-external __ZL11OSSetCreatev
00007ffa1e024330 (__TEXT,__const) non-external __ZL11yytranslate
00007ffa1e021b62 (__TEXT,__text) non-external __ZL12IOThread_NewP11OSMetaClass
00007ffa1e020470 (__TEXT,__text) non-external __ZL12OSAction_NewP11OSMetaClass
00007ffa1e020a38 (__TEXT,__text) non-external __ZL12OSBundle_NewP11OSMetaClass
00007ffa1e020bd6 (__TEXT,__text) non-external __ZL12OSNumber_NewP11OSMetaClass
00007ffa1e020c1e (__TEXT,__text) non-external __ZL12OSObject_NewP11OSMetaClass
00007ffa1e0050cf (__TEXT,__text) non-external __ZL12OSStringFindjPKcm
00007ffa1e02124c (__TEXT,__text) non-external __ZL12OSString_NewP11OSMetaClass
00007ffa1e014e72 (__TEXT,__text) non-external __ZL13IOCommand_NewP11OSMetaClass
00007ffa1e018ee6 (__TEXT,__text) non-external __ZL13IOService_NewP11OSMetaClass
00007ffa1e0032aa (__TEXT,__text) non-external __ZL13IOThreadStartPv
00007ffa1e022fb1 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.1
00007ffa1e022fd4 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.2
00007ffa1e022ff7 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.3
00007ffa1e0209f0 (__TEXT,__text) non-external __ZL13OSBoolean_NewP11OSMetaClass
00007ffa1e018d86 (__TEXT,__text) non-external __ZL14IOReporter_NewP11OSMetaClass
00007ffa1dfff14c (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si
00007ffa1e022aa6 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.1
00007ffa1e022ac9 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.2
00007ffa1e022aec (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.3
00007ffa1e022b0f (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.4
00007ffa1e0174cc (__TEXT,__text) non-external __ZL15IOEventLink_NewP11OSMetaClass
00007ffa1e018ae8 (__TEXT,__text) non-external __ZL15IOMemoryMap_NewP11OSMetaClass
00007ffa1e01fe84 (__TEXT,__text) non-external __ZL15IOWorkGroup_NewP11OSMetaClass
00007ffa1e020aaa (__TEXT,__text) non-external __ZL15OSContainer_NewP11OSMetaClass
00007ffa1dffdb2e (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb
00007ffa1e022470 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.1
00007ffa1e022493 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.2
00007ffa1e0224b6 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.3
00007ffa1e0224d9 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.4
00007ffa1dffe91f (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc
00007ffa1e0228ab (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.1
00007ffa1e0228ce (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.2
00007ffa1e0228f1 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.3
00007ffa1e022914 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.4
00007ffa1e003c87 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject
00007ffa1e0230a6 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.1
00007ffa1e0230c9 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.2
00007ffa1e0230ec (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.3
00007ffa1e02310f (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.4
00007ffa1e023132 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.5
00007ffa1e023155 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.6
00007ffa1e023178 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.7
00007ffa43adc418 (__DATA,__bss) non-external __ZL15gIOThreadTLSKey
00007ffa1e014f0e (__TEXT,__text) non-external __ZL16IODMACommand_NewP11OSMetaClass
00007ffa1e01e942 (__TEXT,__text) non-external __ZL16IOUserClient_NewP11OSMetaClass
00007ffa1e01f772 (__TEXT,__text) non-external __ZL16IOUserServer_NewP11OSMetaClass
00007ffa1e020a80 (__TEXT,__text) non-external __ZL16OSCollection_NewP11OSMetaClass
00007ffa1dffdcb0 (__TEXT,__text) non-external __ZL16OSConsumeObjectsP16IORPCMessageMachb
00007ffa1dffdcf9 (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb
