00000001d64afc38 (__DATA,__data) external _NDR_record
00000001802fa768 (__TEXT,__text) external ___pthread_canceled
00000001802f58f0 (__TEXT,__text) external ___pthread_chdir
00000001802f58c4 (__TEXT,__text) external ___pthread_fchdir
00000001802f6d90 (__TEXT,__text) external ___pthread_kill
000000018031c0a8 (__TEXT,__text) external ___pthread_markcancel
00000001802f5d04 (__TEXT,__text) external ___pthread_sigmask
00000001802f70d0 (__TEXT,__text) external ___ptrace
000000018031c0d4 (__TEXT,__text) external ___pwrite_nocancel
000000018031c100 (__TEXT,__text) external ___pwritev_nocancel
00000001802f09e4 (__TEXT,__text) external ___read_nocancel
000000018031c12c (__TEXT,__text) external ___readv_nocancel
000000018031c158 (__TEXT,__text) external ___reboot
00000001802f3150 (__TEXT,__text) external ___recvfrom
00000001802f3018 (__TEXT,__text) external ___recvfrom_nocancel
00000001802f34fc (__TEXT,__text) external ___recvmsg
000000018031c184 (__TEXT,__text) external ___recvmsg_nocancel
00000001d91f61c0 (__DATA_DIRTY,__bss) non-external ___remove_counter
00000001802f274c (__TEXT,__text) external ___rename
000000018031c1b0 (__TEXT,__text) external ___renameat
000000018031c1dc (__TEXT,__text) external ___renameatx_np
00000001802f27bc (__TEXT,__text) external ___rmdir
000000018031b944 (__TEXT,__text) external ___sandbox_me
000000018031baa4 (__TEXT,__text) external ___sandbox_mm
00000001802f0480 (__TEXT,__text) external ___sandbox_ms
00000001802f6de8 (__TEXT,__text) external ___sandbox_msp
00000001802f9590 (__TEXT,__text) external ___select
00000001802f2fec (__TEXT,__text) external ___select_nocancel
00000001802f7d2c (__TEXT,__text) external ___sem_open
000000018031c208 (__TEXT,__text) external ___sem_wait_nocancel
000000018031c234 (__TEXT,__text) external ___semctl
000000018031c260 (__TEXT,__text) external ___semsys
00000001802f2064 (__TEXT,__text) external ___semwait_signal
00000001802f5d30 (__TEXT,__text) external ___semwait_signal_nocancel
00000001802f46a4 (__TEXT,__text) external ___sendmsg
00000001802f3070 (__TEXT,__text) external ___sendmsg_nocancel
00000001802f3124 (__TEXT,__text) external ___sendto
00000001802f2f84 (__TEXT,__text) external ___sendto_nocancel
00000001802f21e4 (__TEXT,__text) external ___setattrlist
00000001802fa41c (__TEXT,__text) external ___setlogin
00000001802f68c0 (__TEXT,__text) external ___setpriority
000000018031c28c (__TEXT,__text) external ___setregid
000000018031c2b8 (__TEXT,__text) external ___setreuid
00000001802f1764 (__TEXT,__text) external ___setrlimit
000000018031c2e4 (__TEXT,__text) external ___setsgroups
00000001802f7aa4 (__TEXT,__text) external ___settid
000000018031c310 (__TEXT,__text) external ___settid_with_pid
000000018031c33c (__TEXT,__text) external ___settimeofday
000000018031c368 (__TEXT,__text) external ___setwgroups
00000001802f7dc4 (__TEXT,__text) external ___sfi_ctl
000000018031c394 (__TEXT,__text) external ___sfi_pidctl
000000018031c3c0 (__TEXT,__text) external ___shared_region_check_np
000000018031c3ec (__TEXT,__text) external ___shared_region_map_and_slide_2_np
000000018031c418 (__TEXT,__text) external ___shared_region_map_and_slide_np
00000001802f02a4 (__TEXT,__text) external ___shm_open
000000018031c444 (__TEXT,__text) external ___shmctl
000000018031c470 (__TEXT,__text) external ___shmsys
00000001802f5074 (__TEXT,__text) external ___sigaction
00000001802f2160 (__TEXT,__text) external ___sigaltstack
00000001802f9eb0 (__TEXT,__text) external ___sigreturn
000000018031c49c (__TEXT,__text) external ___sigsuspend
00000001802f5d68 (__TEXT,__text) external ___sigsuspend_nocancel
00000001802f9f08 (__TEXT,__text) external ___sigwait
00000001802f3044 (__TEXT,__text) external ___socketpair
000000018031c4c8 (__TEXT,__text) external ___stack_snapshot_with_config
000000018031d84c (__TEXT,__text) external ___stat
00000001802f4464 (__TEXT,__text) external ___stat64_extended
000000018031c4f4 (__TEXT,__text) external ___stat_extended
000000018031d878 (__TEXT,__text) external ___statfs
00000001802f0e7c (__TEXT,__text) external ___syscall
00000001d64afcb8 (__DATA,__common) external ___syscall_logger
00000001802f01a4 (__TEXT,__text) external ___sysctl
00000001802f03dc (__TEXT,__text) external ___sysctlbyname
000000018031c520 (__TEXT,__text) external ___telemetry
00000001802f8c98 (__TEXT,__text) external ___terminate_with_payload
00000001802f0800 (__TEXT,__text) external ___thread_selfid
000000018031c54c (__TEXT,__text) external ___thread_selfusage
00000001802f082c (__TEXT,__text) external ___ulock_wait
000000018031c578 (__TEXT,__text) external ___ulock_wait2
00000001802f0900 (__TEXT,__text) external ___ulock_wake
000000018031c5a4 (__TEXT,__text) external ___umask_extended
00000001802f2b54 (__TEXT,__text) external ___unlink
00000001802f8164 (__TEXT,__text) external ___unlinkat
000000018031c5d0 (__TEXT,__text) external ___vfork
00000001802f5c94 (__TEXT,__text) external ___wait4
00000001802faa28 (__TEXT,__text) external ___wait4_nocancel
000000018031c640 (__TEXT,__text) external ___waitid_nocancel
00000001802f7244 (__TEXT,__text) external ___work_interval_ctl
00000001802f0724 (__TEXT,__text) external ___workq_kernreturn
00000001802f0750 (__TEXT,__text) external ___workq_open
00000001802f2a88 (__TEXT,__text) external ___write_nocancel
000000018031c66c (__TEXT,__text) external ___writev_nocancel
00000001d64afcb0 (__DATA,__common) external __cpu_capabilities
00000001d64afcb4 (__DATA,__common) external __cpu_has_altivec
00000001d91f5b10 (__DATA_DIRTY,__data) external __current_pid
00000001d91f5b20 (__DATA_DIRTY,__common) non-external (was a private external) __dlsym
00000001802fbaf8 (__TEXT,__text) non-external (was a private external) __execve_with_filter
00000001802f5d94 (__TEXT,__text) external __exit
00000001802f491c (__TEXT,__text) external __get_cpu_capabilities
00000001d64afcc8 (__DATA,__bss) non-external __gethostuuid_callback
00000001802febe4 (__TEXT,__text) external __getprivatesystemidentifier
000000018030a014 (__TEXT,__text) external __host_page_size
00000001802f4918 (__TEXT,__text) external __init_cpu_capabilities
000000018030b04c (__TEXT,__text) external __kernelrpc_host_create_mach_voucher
000000018030c474 (__TEXT,__text) external __kernelrpc_mach_port_allocate
000000018030d164 (__TEXT,__text) external __kernelrpc_mach_port_allocate_full
000000018030c348 (__TEXT,__text) external __kernelrpc_mach_port_allocate_name
000000018030d000 (__TEXT,__text) external __kernelrpc_mach_port_allocate_qos
00000001802ee80c (__TEXT,__text) external __kernelrpc_mach_port_allocate_trap
000000018030ece4 (__TEXT,__text) external __kernelrpc_mach_port_assert_attributes
000000018030dd9c (__TEXT,__text) external __kernelrpc_mach_port_construct
00000001802ee860 (__TEXT,__text) external __kernelrpc_mach_port_construct_trap
000000018030c6e4 (__TEXT,__text) external __kernelrpc_mach_port_deallocate
00000001802ee818 (__TEXT,__text) external __kernelrpc_mach_port_deallocate_trap
000000018030c5b8 (__TEXT,__text) external __kernelrpc_mach_port_destroy
000000018030def4 (__TEXT,__text) external __kernelrpc_mach_port_destruct
00000001802ee86c (__TEXT,__text) external __kernelrpc_mach_port_destruct_trap
000000018030d740 (__TEXT,__text) external __kernelrpc_mach_port_dnrequest_info
000000018030db14 (__TEXT,__text) external __kernelrpc_mach_port_extract_member
00000001802ee854 (__TEXT,__text) external __kernelrpc_mach_port_extract_member_trap
00000001802f86bc (__TEXT,__text) external __kernelrpc_mach_port_extract_right
00000001802f9164 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes
00000001802ee914 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes_trap
00000001802f409c (__TEXT,__text) external __kernelrpc_mach_port_get_context
00000001802f1f20 (__TEXT,__text) external __kernelrpc_mach_port_get_refs
000000018030eaec (__TEXT,__text) external __kernelrpc_mach_port_get_service_port_info
00000001802fa5d0 (__TEXT,__text) external __kernelrpc_mach_port_get_set_status
000000018030d404 (__TEXT,__text) external __kernelrpc_mach_port_get_srights
000000018030e01c (__TEXT,__text) external __kernelrpc_mach_port_guard
00000001802ee920 (__TEXT,__text) external __kernelrpc_mach_port_guard_trap
000000018030e4f0 (__TEXT,__text) external __kernelrpc_mach_port_guard_with_flags
000000018030d9e8 (__TEXT,__text) external __kernelrpc_mach_port_insert_member
00000001802ee848 (__TEXT,__text) external __kernelrpc_mach_port_insert_member_trap
000000018030cd9c (__TEXT,__text) external __kernelrpc_mach_port_insert_right
00000001802ee83c (__TEXT,__text) external __kernelrpc_mach_port_insert_right_trap
000000018030e9a8 (__TEXT,__text) external __kernelrpc_mach_port_is_connection_for_service
000000018030d894 (__TEXT,__text) external __kernelrpc_mach_port_kernel_object
000000018030dc40 (__TEXT,__text) external __kernelrpc_mach_port_kobject
000000018030e748 (__TEXT,__text) external __kernelrpc_mach_port_kobject_description
000000018030c810 (__TEXT,__text) external __kernelrpc_mach_port_mod_refs
00000001802ee824 (__TEXT,__text) external __kernelrpc_mach_port_mod_refs_trap
000000018030cc70 (__TEXT,__text) external __kernelrpc_mach_port_move_member
00000001802ee830 (__TEXT,__text) external __kernelrpc_mach_port_move_member_trap
000000018030c05c (__TEXT,__text) external __kernelrpc_mach_port_names
000000018030c938 (__TEXT,__text) external __kernelrpc_mach_port_peek
000000018030c21c (__TEXT,__text) external __kernelrpc_mach_port_rename
00000001802f2bac (__TEXT,__text) external __kernelrpc_mach_port_request_notification
00000001802eea04 (__TEXT,__text) external __kernelrpc_mach_port_request_notification_trap
00000001802f145c (__TEXT,__text) external __kernelrpc_mach_port_set_attributes
00000001802fa4a4 (__TEXT,__text) external __kernelrpc_mach_port_set_context
000000018030cb44 (__TEXT,__text) external __kernelrpc_mach_port_set_mscount
000000018030ced4 (__TEXT,__text) external __kernelrpc_mach_port_set_seqno
000000018030e270 (__TEXT,__text) external __kernelrpc_mach_port_space_basic_info
000000018030d548 (__TEXT,__text) external __kernelrpc_mach_port_space_info
000000018030e3ac (__TEXT,__text) external __kernelrpc_mach_port_special_reply_port_reset_link
000000018030e61c (__TEXT,__text) external __kernelrpc_mach_port_swap_guard
00000001802f72ec (__TEXT,__text) external __kernelrpc_mach_port_type
00000001802ee9f8 (__TEXT,__text) external __kernelrpc_mach_port_type_trap
000000018030e148 (__TEXT,__text) external __kernelrpc_mach_port_unguard
00000001802ee92c (__TEXT,__text) external __kernelrpc_mach_port_unguard_trap
0000000180316478 (__TEXT,__text) external __kernelrpc_mach_task_is_self
000000018030ee64 (__TEXT,__text) external __kernelrpc_mach_vm_allocate
00000001802ee7c4 (__TEXT,__text) external __kernelrpc_mach_vm_allocate_trap
000000018030efac (__TEXT,__text) external __kernelrpc_mach_vm_deallocate
00000001802ee7dc (__TEXT,__text) external __kernelrpc_mach_vm_deallocate_trap
00000001802efe8c (__TEXT,__text) external __kernelrpc_mach_vm_map
00000001802ee800 (__TEXT,__text) external __kernelrpc_mach_vm_map_trap
000000018030f0d4 (__TEXT,__text) external __kernelrpc_mach_vm_protect
00000001802ee7f4 (__TEXT,__text) external __kernelrpc_mach_vm_protect_trap
000000018030ff8c (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control
00000001802ee7d0 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control_trap
000000018030f330 (__TEXT,__text) external __kernelrpc_mach_vm_read
000000018030fb1c (__TEXT,__text) external __kernelrpc_mach_vm_remap
000000018031040c (__TEXT,__text) external __kernelrpc_mach_vm_remap_new
000000018031acc4 (__TEXT,__text) external __kernelrpc_mach_voucher_extract_attr_recipe
000000018030d2d8 (__TEXT,__text) external __kernelrpc_task_set_port_space
00000001802f3db0 (__TEXT,__text) external __kernelrpc_thread_policy
00000001802f4e38 (__TEXT,__text) external __kernelrpc_thread_policy_set
0000000180318ac8 (__TEXT,__text) external __kernelrpc_thread_set_policy
00000001802fa838 (__TEXT,__text) external __kernelrpc_vm_map
000000018031a0ac (__TEXT,__text) external __kernelrpc_vm_purgable_control
00000001802f7b98 (__TEXT,__text) external __kernelrpc_vm_read
00000001802f1054 (__TEXT,__text) external __kernelrpc_vm_remap
000000018031a1f0 (__TEXT,__text) external __kernelrpc_vm_remap_new
00000001802fb05c (__TEXT,__text) non-external (was a private external) __libkernel_bzero
00000001d91f5b18 (__DATA_DIRTY,__common) non-external (was a private external) __libkernel_functions
00000001da3b74b8 (__AUTH_CONST,__const) non-external __libkernel_generic_string_functions
00000001802fb0f0 (__TEXT,__text) non-external (was a private external) __libkernel_memmove
00000001802fb068 (__TEXT,__text) non-external (was a private external) __libkernel_memset
00000001802fb024 (__TEXT,__text) non-external (was a private external) __libkernel_strchr
00000001802f4944 (__TEXT,__text) non-external (was a private external) __libkernel_strcmp
00000001802fb430 (__TEXT,__text) non-external (was a private external) __libkernel_strcpy
00000001d91f5b00 (__DATA_DIRTY,__data) non-external __libkernel_string_functions
00000001802fbbe0 (__TEXT,__text) non-external (was a private external) __libkernel_strlcpy
00000001802fad94 (__TEXT,__text) non-external (was a private external) __libkernel_strlen
00000001d91f5b08 (__DATA_DIRTY,__data) non-external __libkernel_voucher_functions
000000018031e8e0 (__TEXT,__const) non-external __libkernel_voucher_functions_empty
00000001802fd26c (__TEXT,__text) non-external (was a private external) __mach_continuous_time
00000001802f0b04 (__TEXT,__text) non-external (was a private external) __mach_continuous_time_base
00000001d1934598 (__DATA_CONST,__const) external __mach_errors
00000001802fd7ec (__TEXT,__text) external __mach_fork_child
00000001802fdbdc (__TEXT,__text) external __mach_snprintf
00000001802fda4c (__TEXT,__text) external __mach_vsnprintf
00000001d91f5b68 (__DATA_DIRTY,__common) external __os_alloc_once_table
00000001d64afc68 (__DATA,__common) external __os_xbs_chrooted
00000001802f5584 (__TEXT,__text) non-external __posix_spawn_file_actions_grow
00000001802fb470 (__TEXT,__text) non-external (was a private external) __posix_spawn_with_filter
00000001802f3f38 (__TEXT,__text) non-external (was a private external) __pthread_clear_qos_tsd
00000001802f035c (__TEXT,__text) non-external (was a private external) __pthread_exit_if_canceled
00000001802f4930 (__TEXT,__text) non-external (was a private external) __pthread_set_self
00000001802febe8 (__TEXT,__text) external __register_gethostuuid_callback
00000001802fb20c (__TEXT,__text) non-external (was a private external) __system_version_compat_check_path_suffix
00000001802fb2a0 (__TEXT,__text) non-external (was a private external) __system_version_compat_open_shim
00000001d91f5b5c (__DATA_DIRTY,__common) non-external (was a private external) __task_reply_port
000000018031db38 (__TEXT,__text) external __thread_set_tsd_base
000000018031dc24 (__TEXT,__text) non-external _abort
000000018031dc48 (__TEXT,__text) non-external _abort
000000018031dc6c (__TEXT,__text) non-external _abort
000000018031dc90 (__TEXT,__text) non-external _abort
000000018031def0 (__TEXT,__text) external _abort_with_payload
000000018031de64 (__TEXT,__text) non-external _abort_with_payload_wrapper_internal
000000018031de44 (__TEXT,__text) external _abort_with_reason
00000001802f6e7c (__TEXT,__text) external _accept
000000018031b4f8 (__TEXT,__text) external _accept$NOCANCEL
00000001802ef49c (__TEXT,__text) external _access
000000018031b524 (__TEXT,__text) external _accessx_np
000000018031c698 (__TEXT,__text) external _acct
0000000180317290 (__TEXT,__text) external _act_get_state
0000000180317520 (__TEXT,__text) external _act_set_state
000000018031c6c4 (__TEXT,__text) external _adjtime
000000018031c6f0 (__TEXT,__text) external _aio_cancel
000000018031c71c (__TEXT,__text) external _aio_error
000000018031c748 (__TEXT,__text) external _aio_fsync
000000018031c774 (__TEXT,__text) external _aio_read
000000018031c7a0 (__TEXT,__text) external _aio_return
000000018031c7cc (__TEXT,__text) external _aio_suspend
000000018031b550 (__TEXT,__text) external _aio_suspend$NOCANCEL
000000018031c7f8 (__TEXT,__text) external _aio_write
000000018031c824 (__TEXT,__text) external _audit
00000001802f9edc (__TEXT,__text) external _audit_session_join
00000001802f9d5c (__TEXT,__text) external _audit_session_port
00000001802f2e24 (__TEXT,__text) external _audit_session_self
000000018031c850 (__TEXT,__text) external _auditctl
00000001802f7d84 (__TEXT,__text) external _auditon
00000001802f4bdc (__TEXT,__text) non-external (was a private external) _bcopy
00000001802f6358 (__TEXT,__text) external _bind
00000001d91f5b28 (__DATA_DIRTY,__common) external _bootstrap_port
00000001802fad14 (__TEXT,__text) non-external (was a private external) _bzero
00000001802f0328 (__TEXT,__text) external _cerror
00000001802ef430 (__TEXT,__text) external _cerror_nocancel
00000001802f2d60 (__TEXT,__text) external _change_fdguard_np
00000001802f04ac (__TEXT,__text) external _chdir
00000001802f6828 (__TEXT,__text) external _chflags
00000001802f27e8 (__TEXT,__text) external _chmod
00000001802f632c (__TEXT,__text) external _chown
000000018031c87c (__TEXT,__text) external _chroot
0000000180306388 (__TEXT,__text) external _clock_alarm
0000000180306158 (__TEXT,__text) external _clock_alarm_reply
00000001803061c4 (__TEXT,__text) external _clock_get_attributes
00000001802f4294 (__TEXT,__text) external _clock_get_time
0000000180305fe8 (__TEXT,__text) external _clock_set_attributes
0000000180305ec0 (__TEXT,__text) external _clock_set_time
00000001802fa794 (__TEXT,__text) external _clock_sleep
00000001802ee9d4 (__TEXT,__text) external _clock_sleep_trap
00000001802f8588 (__TEXT,__text) external _clonefile
00000001802f3ab4 (__TEXT,__text) external _clonefileat
00000001802ef600 (__TEXT,__text) external _close
