00000001e482cf04 (__TEXT,__text) external _CGLGetCurrentContext
00000001e4823984 (__TEXT,__text) external _glClearAccum
00000001e4828604 (__TEXT,__text) external _glClearBufferfi
00000001e48285e4 (__TEXT,__text) external _glClearBufferfv
00000001e48285a4 (__TEXT,__text) external _glClearBufferiv
00000001e48285c4 (__TEXT,__text) external _glClearBufferuiv
00000001e4823998 (__TEXT,__text) external _glClearColor
00000001e482c674 (__TEXT,__text) external _glClearColorIiEXT
00000001e482c698 (__TEXT,__text) external _glClearColorIuiEXT
00000001e48239ac (__TEXT,__text) external _glClearDepth
00000001e4829414 (__TEXT,__text) external _glClearDepthf
00000001e48239c0 (__TEXT,__text) external _glClearIndex
00000001e48239d4 (__TEXT,__text) external _glClearStencil
00000001e48262a4 (__TEXT,__text) external _glClientActiveTexture
00000001e482a790 (__TEXT,__text) external _glClientActiveTextureARB
00000001e48288fc (__TEXT,__text) external _glClientWaitSync
00000001e48239ec (__TEXT,__text) external _glClipPlane
00000001e4823a08 (__TEXT,__text) external _glColor3b
00000001e4823a28 (__TEXT,__text) external _glColor3bv
00000001e4823a40 (__TEXT,__text) external _glColor3d
00000001e4823a54 (__TEXT,__text) external _glColor3dv
00000001e4823a6c (__TEXT,__text) external _glColor3f
00000001e4823a80 (__TEXT,__text) external _glColor3fv
00000001e4823a98 (__TEXT,__text) external _glColor3i
00000001e4823ab8 (__TEXT,__text) external _glColor3iv
00000001e4823ad0 (__TEXT,__text) external _glColor3s
00000001e4823af0 (__TEXT,__text) external _glColor3sv
00000001e4823b08 (__TEXT,__text) external _glColor3ub
00000001e4823b28 (__TEXT,__text) external _glColor3ubv
00000001e4823b40 (__TEXT,__text) external _glColor3ui
00000001e4823b60 (__TEXT,__text) external _glColor3uiv
00000001e4823b78 (__TEXT,__text) external _glColor3us
00000001e4823b98 (__TEXT,__text) external _glColor3usv
00000001e4823bb0 (__TEXT,__text) external _glColor4b
00000001e4823bd4 (__TEXT,__text) external _glColor4bv
00000001e4823bec (__TEXT,__text) external _glColor4d
00000001e4823c00 (__TEXT,__text) external _glColor4dv
00000001e4823c18 (__TEXT,__text) external _glColor4f
00000001e4823c2c (__TEXT,__text) external _glColor4fv
00000001e4823c44 (__TEXT,__text) external _glColor4i
00000001e4823c68 (__TEXT,__text) external _glColor4iv
00000001e4823c80 (__TEXT,__text) external _glColor4s
00000001e4823ca4 (__TEXT,__text) external _glColor4sv
00000001e4823cbc (__TEXT,__text) external _glColor4ub
00000001e4823ce0 (__TEXT,__text) external _glColor4ubv
00000001e4823cf8 (__TEXT,__text) external _glColor4ui
00000001e4823d1c (__TEXT,__text) external _glColor4uiv
00000001e4823d34 (__TEXT,__text) external _glColor4us
00000001e4823d58 (__TEXT,__text) external _glColor4usv
00000001e4823d70 (__TEXT,__text) external _glColorMask
00000001e482c73c (__TEXT,__text) external _glColorMaskIndexedEXT
00000001e4827f28 (__TEXT,__text) external _glColorMaski
00000001e4823d94 (__TEXT,__text) external _glColorMaterial
00000001e4823db0 (__TEXT,__text) external _glColorPointer
00000001e4825efc (__TEXT,__text) external _glColorSubTable
00000001e482b9e4 (__TEXT,__text) external _glColorSubTableEXT
00000001e4825e04 (__TEXT,__text) external _glColorTable
00000001e482b9b8 (__TEXT,__text) external _glColorTableEXT
00000001e4825e30 (__TEXT,__text) external _glColorTableParameterfv
00000001e4825e50 (__TEXT,__text) external _glColorTableParameteriv
00000001e482ceb0 (__TEXT,__text) external _glCombinerInputNV
00000001e482ceb4 (__TEXT,__text) external _glCombinerOutputNV
00000001e482cea4 (__TEXT,__text) external _glCombinerParameterfNV
00000001e482cea0 (__TEXT,__text) external _glCombinerParameterfvNV
00000001e482ceac (__TEXT,__text) external _glCombinerParameteriNV
00000001e482cea8 (__TEXT,__text) external _glCombinerParameterivNV
00000001e482ced4 (__TEXT,__text) external _glCombinerStageParameterfvNV
00000001e4827524 (__TEXT,__text) external _glCompileShader
00000001e482b22c (__TEXT,__text) external _glCompileShaderARB
00000001e482b830 (__TEXT,__text) external _glCompileShaderIncludeARB
00000001e4826774 (__TEXT,__text) external _glCompressedTexImage1D
00000001e482ac60 (__TEXT,__text) external _glCompressedTexImage1DARB
00000001e4826720 (__TEXT,__text) external _glCompressedTexImage2D
00000001e482ac0c (__TEXT,__text) external _glCompressedTexImage2DARB
00000001e48266c4 (__TEXT,__text) external _glCompressedTexImage3D
00000001e482abb0 (__TEXT,__text) external _glCompressedTexImage3DARB
00000001e4826864 (__TEXT,__text) external _glCompressedTexSubImage1D
00000001e482ad50 (__TEXT,__text) external _glCompressedTexSubImage1DARB
00000001e4826808 (__TEXT,__text) external _glCompressedTexSubImage2D
00000001e482acf4 (__TEXT,__text) external _glCompressedTexSubImage2DARB
00000001e48267a4 (__TEXT,__text) external _glCompressedTexSubImage3D
00000001e482ac90 (__TEXT,__text) external _glCompressedTexSubImage3DARB
00000001e4825f50 (__TEXT,__text) external _glConvolutionFilter1D
00000001e4825f7c (__TEXT,__text) external _glConvolutionFilter2D
00000001e4825fac (__TEXT,__text) external _glConvolutionParameterf
00000001e4825fc8 (__TEXT,__text) external _glConvolutionParameterfv
00000001e4825fe8 (__TEXT,__text) external _glConvolutionParameteri
00000001e4826008 (__TEXT,__text) external _glConvolutionParameteriv
00000001e4828640 (__TEXT,__text) external _glCopyBufferSubData
00000001e4825f28 (__TEXT,__text) external _glCopyColorSubTable
00000001e4825e70 (__TEXT,__text) external _glCopyColorTable
00000001e4826028 (__TEXT,__text) external _glCopyConvolutionFilter1D
00000001e4826050 (__TEXT,__text) external _glCopyConvolutionFilter2D
00000001e4823dd4 (__TEXT,__text) external _glCopyPixels
00000001e4823dfc (__TEXT,__text) external _glCopyTexImage1D
00000001e4823e2c (__TEXT,__text) external _glCopyTexImage2D
00000001e4823e80 (__TEXT,__text) external _glCopyTexSubImage1D
00000001e4823eac (__TEXT,__text) external _glCopyTexSubImage2D
00000001e4825dac (__TEXT,__text) external _glCopyTexSubImage3D
00000001e4827540 (__TEXT,__text) external _glCreateProgram
00000001e482b244 (__TEXT,__text) external _glCreateProgramObjectARB
00000001e48274d0 (__TEXT,__text) external _glCreateShader
00000001e482b1f0 (__TEXT,__text) external _glCreateShaderObjectARB
00000001e48294d0 (__TEXT,__text) external _glCreateShaderProgramv
00000001e4823f00 (__TEXT,__text) external _glCullFace
00000001e4826e74 (__TEXT,__text) external _glDeleteBuffers
00000001e482b074 (__TEXT,__text) external _glDeleteBuffersARB
00000001e482ca08 (__TEXT,__text) external _glDeleteFencesAPPLE
00000001e4827ca4 (__TEXT,__text) external _glDeleteFramebuffers
00000001e482be80 (__TEXT,__text) external _glDeleteFramebuffersEXT
00000001e4823f18 (__TEXT,__text) external _glDeleteLists
00000001e482b814 (__TEXT,__text) external _glDeleteNamedStringARB
00000001e482b1a4 (__TEXT,__text) external _glDeleteObjectARB
00000001e48275c4 (__TEXT,__text) external _glDeleteProgram
00000001e4829508 (__TEXT,__text) external _glDeleteProgramPipelines
00000001e4829f38 (__TEXT,__text) external _glDeleteProgramsARB
00000001e4826d90 (__TEXT,__text) external _glDeleteQueries
00000001e482af90 (__TEXT,__text) external _glDeleteQueriesARB
00000001e4827bf4 (__TEXT,__text) external _glDeleteRenderbuffers
00000001e482bdd0 (__TEXT,__text) external _glDeleteRenderbuffersEXT
00000001e4828ad8 (__TEXT,__text) external _glDeleteSamplers
00000001e4827490 (__TEXT,__text) external _glDeleteShader
00000001e48288e4 (__TEXT,__text) external _glDeleteSync
00000001e4823f34 (__TEXT,__text) external _glDeleteTextures
00000001e48291f4 (__TEXT,__text) external _glDeleteTransformFeedbacks
00000001e4827ed8 (__TEXT,__text) external _glDeleteVertexArrays
00000001e482cb28 (__TEXT,__text) external _glDeleteVertexArraysAPPLE
00000001e482b9a4 (__TEXT,__text) external _glDepthBoundsEXT
00000001e4823f50 (__TEXT,__text) external _glDepthFunc
00000001e4823f68 (__TEXT,__text) external _glDepthMask
00000001e4823f80 (__TEXT,__text) external _glDepthRange
00000001e4829ea4 (__TEXT,__text) external _glDepthRangeArrayv
00000001e4829ec4 (__TEXT,__text) external _glDepthRangeIndexed
00000001e4829400 (__TEXT,__text) external _glDepthRangef
00000001e482b1d4 (__TEXT,__text) external _glDetachObjectARB
00000001e48274ac (__TEXT,__text) external _glDetachShader
00000001e4823f94 (__TEXT,__text) external _glDisable
00000001e4823fac (__TEXT,__text) external _glDisableClientState
00000001e482c780 (__TEXT,__text) external _glDisableIndexedEXT
00000001e482c8c4 (__TEXT,__text) external _glDisableVertexAttribAPPLE
00000001e48273f8 (__TEXT,__text) external _glDisableVertexAttribArray
00000001e482a3c0 (__TEXT,__text) external _glDisableVertexAttribArrayARB
00000001e4827fac (__TEXT,__text) external _glDisablei
00000001e4823fc4 (__TEXT,__text) external _glDrawArrays
00000001e4828dfc (__TEXT,__text) external _glDrawArraysIndirect
00000001e4828764 (__TEXT,__text) external _glDrawArraysInstanced
00000001e482b708 (__TEXT,__text) external _glDrawArraysInstancedARB
00000001e4823fe4 (__TEXT,__text) external _glDrawBuffer
00000001e4826fa4 (__TEXT,__text) external _glDrawBuffers
00000001e482b6b4 (__TEXT,__text) external _glDrawBuffersARB
00000001e482cb94 (__TEXT,__text) external _glDrawElementArrayAPPLE
00000001e4823ffc (__TEXT,__text) external _glDrawElements
00000001e48287e8 (__TEXT,__text) external _glDrawElementsBaseVertex
00000001e4828e18 (__TEXT,__text) external _glDrawElementsIndirect
00000001e4828788 (__TEXT,__text) external _glDrawElementsInstanced
00000001e482b72c (__TEXT,__text) external _glDrawElementsInstancedARB
00000001e4828840 (__TEXT,__text) external _glDrawElementsInstancedBaseVertex
00000001e4824020 (__TEXT,__text) external _glDrawPixels
00000001e482cbb4 (__TEXT,__text) external _glDrawRangeElementArrayAPPLE
00000001e4825cd8 (__TEXT,__text) external _glDrawRangeElements
00000001e4828810 (__TEXT,__text) external _glDrawRangeElementsBaseVertex
00000001e482bcb8 (__TEXT,__text) external _glDrawRangeElementsEXT
00000001e482926c (__TEXT,__text) external _glDrawTransformFeedback
00000001e4829288 (__TEXT,__text) external _glDrawTransformFeedbackStream
00000001e4824048 (__TEXT,__text) external _glEdgeFlag
00000001e4824060 (__TEXT,__text) external _glEdgeFlagPointer
00000001e482407c (__TEXT,__text) external _glEdgeFlagv
00000001e482cb78 (__TEXT,__text) external _glElementPointerAPPLE
00000001e4824094 (__TEXT,__text) external _glEnable
00000001e48240ac (__TEXT,__text) external _glEnableClientState
00000001e482c764 (__TEXT,__text) external _glEnableIndexedEXT
00000001e482c8a8 (__TEXT,__text) external _glEnableVertexAttribAPPLE
00000001e48273e0 (__TEXT,__text) external _glEnableVertexAttribArray
00000001e482a3a8 (__TEXT,__text) external _glEnableVertexAttribArrayARB
00000001e4827f90 (__TEXT,__text) external _glEnablei
00000001e48240c4 (__TEXT,__text) external _glEnd
00000001e48280e4 (__TEXT,__text) external _glEndConditionalRender
00000001e482ce40 (__TEXT,__text) external _glEndConditionalRenderNV
00000001e48240d8 (__TEXT,__text) external _glEndList
00000001e4826de0 (__TEXT,__text) external _glEndQuery
00000001e482afe0 (__TEXT,__text) external _glEndQueryARB
00000001e48292c8 (__TEXT,__text) external _glEndQueryIndexed
00000001e4827ffc (__TEXT,__text) external _glEndTransformFeedback
00000001e482c148 (__TEXT,__text) external _glEndTransformFeedbackEXT
00000001e48240ec (__TEXT,__text) external _glEvalCoord1d
00000001e4824100 (__TEXT,__text) external _glEvalCoord1dv
00000001e4824118 (__TEXT,__text) external _glEvalCoord1f
00000001e482412c (__TEXT,__text) external _glEvalCoord1fv
00000001e4824144 (__TEXT,__text) external _glEvalCoord2d
00000001e4824158 (__TEXT,__text) external _glEvalCoord2dv
00000001e4824170 (__TEXT,__text) external _glEvalCoord2f
00000001e4824184 (__TEXT,__text) external _glEvalCoord2fv
00000001e482419c (__TEXT,__text) external _glEvalMesh1
00000001e48241bc (__TEXT,__text) external _glEvalMesh2
00000001e48241e4 (__TEXT,__text) external _glEvalPoint1
00000001e48241fc (__TEXT,__text) external _glEvalPoint2
00000001e4824218 (__TEXT,__text) external _glFeedbackBuffer
00000001e48288b0 (__TEXT,__text) external _glFenceSync
00000001e482ceb8 (__TEXT,__text) external _glFinalCombinerInputNV
00000001e4824238 (__TEXT,__text) external _glFinish
00000001e482ca6c (__TEXT,__text) external _glFinishFenceAPPLE
00000001e482caa0 (__TEXT,__text) external _glFinishObjectAPPLE
00000001e482cc40 (__TEXT,__text) external _glFinishRenderAPPLE
00000001e482424c (__TEXT,__text) external _glFlush
00000001e4827ea0 (__TEXT,__text) external _glFlushMappedBufferRange
00000001e482cc88 (__TEXT,__text) external _glFlushMappedBufferRangeAPPLE
00000001e482cc2c (__TEXT,__text) external _glFlushRenderAPPLE
00000001e482cad8 (__TEXT,__text) external _glFlushVertexArrayRangeAPPLE
00000001e4826924 (__TEXT,__text) external _glFogCoordPointer
00000001e482bc98 (__TEXT,__text) external _glFogCoordPointerEXT
00000001e48268f8 (__TEXT,__text) external _glFogCoordd
00000001e482bc6c (__TEXT,__text) external _glFogCoorddEXT
00000001e482690c (__TEXT,__text) external _glFogCoorddv
00000001e482bc80 (__TEXT,__text) external _glFogCoorddvEXT
00000001e48268cc (__TEXT,__text) external _glFogCoordf
00000001e482bc40 (__TEXT,__text) external _glFogCoordfEXT
00000001e48268e0 (__TEXT,__text) external _glFogCoordfv
00000001e482bc54 (__TEXT,__text) external _glFogCoordfvEXT
00000001e4824260 (__TEXT,__text) external _glFogf
00000001e4824278 (__TEXT,__text) external _glFogfv
00000001e4824294 (__TEXT,__text) external _glFogi
00000001e48242b0 (__TEXT,__text) external _glFogiv
00000001e4827d70 (__TEXT,__text) external _glFramebufferRenderbuffer
00000001e482bf4c (__TEXT,__text) external _glFramebufferRenderbufferEXT
00000001e4828a58 (__TEXT,__text) external _glFramebufferTexture
00000001e4827cf4 (__TEXT,__text) external _glFramebufferTexture1D
00000001e482bed0 (__TEXT,__text) external _glFramebufferTexture1DEXT
00000001e4827d1c (__TEXT,__text) external _glFramebufferTexture2D
00000001e482bef8 (__TEXT,__text) external _glFramebufferTexture2DEXT
00000001e4827d44 (__TEXT,__text) external _glFramebufferTexture3D
00000001e482bf20 (__TEXT,__text) external _glFramebufferTexture3DEXT
00000001e482c050 (__TEXT,__text) external _glFramebufferTextureEXT
00000001e482c09c (__TEXT,__text) external _glFramebufferTextureFaceEXT
00000001e4827e54 (__TEXT,__text) external _glFramebufferTextureLayer
00000001e482c074 (__TEXT,__text) external _glFramebufferTextureLayerEXT
00000001e48242cc (__TEXT,__text) external _glFrontFace
00000001e48242e4 (__TEXT,__text) external _glFrustum
00000001e4826e90 (__TEXT,__text) external _glGenBuffers
00000001e482b090 (__TEXT,__text) external _glGenBuffersARB
00000001e482c9ec (__TEXT,__text) external _glGenFencesAPPLE
00000001e4827cc0 (__TEXT,__text) external _glGenFramebuffers
00000001e482be9c (__TEXT,__text) external _glGenFramebuffersEXT
00000001e48242f8 (__TEXT,__text) external _glGenLists
00000001e4829524 (__TEXT,__text) external _glGenProgramPipelines
00000001e4829f54 (__TEXT,__text) external _glGenProgramsARB
00000001e4826d74 (__TEXT,__text) external _glGenQueries
00000001e482af74 (__TEXT,__text) external _glGenQueriesARB
00000001e4827c10 (__TEXT,__text) external _glGenRenderbuffers
00000001e482bdec (__TEXT,__text) external _glGenRenderbuffersEXT
00000001e4828abc (__TEXT,__text) external _glGenSamplers
00000001e4824310 (__TEXT,__text) external _glGenTextures
00000001e4829210 (__TEXT,__text) external _glGenTransformFeedbacks
00000001e4827ef4 (__TEXT,__text) external _glGenVertexArrays
00000001e482cb44 (__TEXT,__text) external _glGenVertexArraysAPPLE
00000001e4827db8 (__TEXT,__text) external _glGenerateMipmap
00000001e482bf94 (__TEXT,__text) external _glGenerateMipmapEXT
00000001e4827a14 (__TEXT,__text) external _glGetActiveAttrib
00000001e482b668 (__TEXT,__text) external _glGetActiveAttribARB
00000001e4829110 (__TEXT,__text) external _glGetActiveSubroutineName
00000001e48290e4 (__TEXT,__text) external _glGetActiveSubroutineUniformName
00000001e48290bc (__TEXT,__text) external _glGetActiveSubroutineUniformiv
00000001e482794c (__TEXT,__text) external _glGetActiveUniform
00000001e482b5b4 (__TEXT,__text) external _glGetActiveUniformARB
00000001e482871c (__TEXT,__text) external _glGetActiveUniformBlockName
00000001e48286f8 (__TEXT,__text) external _glGetActiveUniformBlockiv
00000001e48286b4 (__TEXT,__text) external _glGetActiveUniformName
00000001e482868c (__TEXT,__text) external _glGetActiveUniformsiv
00000001e482b574 (__TEXT,__text) external _glGetAttachedObjectsARB
00000001e48278c0 (__TEXT,__text) external _glGetAttachedShaders
00000001e4827a48 (__TEXT,__text) external _glGetAttribLocation
00000001e482b698 (__TEXT,__text) external _glGetAttribLocationARB
00000001e482c1d0 (__TEXT,__text) external _glGetBooleanIndexedvEXT
00000001e4827f50 (__TEXT,__text) external _glGetBooleani_v
00000001e482432c (__TEXT,__text) external _glGetBooleanv
00000001e4828a38 (__TEXT,__text) external _glGetBufferParameteri64v
00000001e4826f64 (__TEXT,__text) external _glGetBufferParameteriv
00000001e482b164 (__TEXT,__text) external _glGetBufferParameterivARB
00000001e4826f84 (__TEXT,__text) external _glGetBufferPointerv
00000001e482b184 (__TEXT,__text) external _glGetBufferPointervARB
00000001e4826f0c (__TEXT,__text) external _glGetBufferSubData
00000001e482b10c (__TEXT,__text) external _glGetBufferSubDataARB
00000001e4824348 (__TEXT,__text) external _glGetClipPlane
00000001e4825e98 (__TEXT,__text) external _glGetColorTable
00000001e482ba10 (__TEXT,__text) external _glGetColorTableEXT
00000001e4825ebc (__TEXT,__text) external _glGetColorTableParameterfv
00000001e482ba34 (__TEXT,__text) external _glGetColorTableParameterfvEXT
00000001e4825edc (__TEXT,__text) external _glGetColorTableParameteriv
00000001e482ba54 (__TEXT,__text) external _glGetColorTableParameterivEXT
00000001e482cebc (__TEXT,__text) external _glGetCombinerInputParameterfvNV
00000001e482cec0 (__TEXT,__text) external _glGetCombinerInputParameterivNV
00000001e482cec4 (__TEXT,__text) external _glGetCombinerOutputParameterfvNV
00000001e482cec8 (__TEXT,__text) external _glGetCombinerOutputParameterivNV
00000001e482ced8 (__TEXT,__text) external _glGetCombinerStageParameterfvNV
00000001e4826894 (__TEXT,__text) external _glGetCompressedTexImage
00000001e482ad80 (__TEXT,__text) external _glGetCompressedTexImageARB
00000001e482607c (__TEXT,__text) external _glGetConvolutionFilter
00000001e48260a0 (__TEXT,__text) external _glGetConvolutionParameterfv
00000001e48260c0 (__TEXT,__text) external _glGetConvolutionParameteriv
00000001e4829efc (__TEXT,__text) external _glGetDoublei_v
00000001e4824364 (__TEXT,__text) external _glGetDoublev
00000001e4824380 (__TEXT,__text) external _glGetError
00000001e482cecc (__TEXT,__text) external _glGetFinalCombinerInputParameterfvNV
00000001e482ced0 (__TEXT,__text) external _glGetFinalCombinerInputParameterivNV
00000001e4829edc (__TEXT,__text) external _glGetFloati_v
00000001e4824394 (__TEXT,__text) external _glGetFloatv
00000001e4828aa0 (__TEXT,__text) external _glGetFragDataIndex
00000001e4828400 (__TEXT,__text) external _glGetFragDataLocation
00000001e482c658 (__TEXT,__text) external _glGetFragDataLocationEXT
00000001e4827d94 (__TEXT,__text) external _glGetFramebufferAttachmentParameteriv
00000001e482bf70 (__TEXT,__text) external _glGetFramebufferAttachmentParameterivEXT
00000001e482b1bc (__TEXT,__text) external _glGetHandleARB
00000001e4826160 (__TEXT,__text) external _glGetHistogram
00000001e4826188 (__TEXT,__text) external _glGetHistogramParameterfv
00000001e48261a8 (__TEXT,__text) external _glGetHistogramParameteriv
00000001e482b550 (__TEXT,__text) external _glGetInfoLogARB
00000001e4828a18 (__TEXT,__text) external _glGetInteger64i_v
00000001e482893c (__TEXT,__text) external _glGetInteger64v
00000001e482c1b0 (__TEXT,__text) external _glGetIntegerIndexedvEXT
00000001e4827f70 (__TEXT,__text) external _glGetIntegeri_v
00000001e48243b0 (__TEXT,__text) external _glGetIntegerv
00000001e482b8bc (__TEXT,__text) external _glGetInternalformativ
00000001e48243cc (__TEXT,__text) external _glGetLightfv
00000001e48243ec (__TEXT,__text) external _glGetLightiv
00000001e482440c (__TEXT,__text) external _glGetMapdv
00000001e482442c (__TEXT,__text) external _glGetMapfv
00000001e482444c (__TEXT,__text) external _glGetMapiv
00000001e482446c (__TEXT,__text) external _glGetMaterialfv
00000001e482448c (__TEXT,__text) external _glGetMaterialiv
00000001e48261c8 (__TEXT,__text) external _glGetMinmax
00000001e48261f0 (__TEXT,__text) external _glGetMinmaxParameterfv
00000001e4826210 (__TEXT,__text) external _glGetMinmaxParameteriv
00000001e48289dc (__TEXT,__text) external _glGetMultisamplefv
00000001e482b870 (__TEXT,__text) external _glGetNamedStringARB
00000001e482b898 (__TEXT,__text) external _glGetNamedStringivARB
00000001e482c834 (__TEXT,__text) external _glGetObjectLabelEXT
00000001e482b510 (__TEXT,__text) external _glGetObjectParameterfvARB
00000001e482cce8 (__TEXT,__text) external _glGetObjectParameterivAPPLE
00000001e482b530 (__TEXT,__text) external _glGetObjectParameterivARB
00000001e48244ac (__TEXT,__text) external _glGetPixelMapfv
00000001e48244c8 (__TEXT,__text) external _glGetPixelMapuiv
00000001e48244e4 (__TEXT,__text) external _glGetPixelMapusv
00000001e4824500 (__TEXT,__text) external _glGetPointerv
00000001e482451c (__TEXT,__text) external _glGetPolygonStipple
00000001e4829428 (__TEXT,__text) external _glGetProgramBinary
00000001e482a590 (__TEXT,__text) external _glGetProgramEnvParameterdvARB
00000001e482a5b0 (__TEXT,__text) external _glGetProgramEnvParameterfvARB
00000001e4827908 (__TEXT,__text) external _glGetProgramInfoLog
00000001e482a5d0 (__TEXT,__text) external _glGetProgramLocalParameterdvARB
00000001e482a5f0 (__TEXT,__text) external _glGetProgramLocalParameterfvARB
00000001e4829590 (__TEXT,__text) external _glGetProgramPipelineInfoLog
00000001e4829558 (__TEXT,__text) external _glGetProgramPipelineiv
00000001e482917c (__TEXT,__text) external _glGetProgramStageiv
00000001e482a634 (__TEXT,__text) external _glGetProgramStringARB
00000001e48278a0 (__TEXT,__text) external _glGetProgramiv
00000001e482a654 (__TEXT,__text) external _glGetProgramivARB
00000001e48292e4 (__TEXT,__text) external _glGetQueryIndexediv
00000001e4828c80 (__TEXT,__text) external _glGetQueryObjecti64v
00000001e482c7d0 (__TEXT,__text) external _glGetQueryObjecti64vEXT
00000001e4826e18 (__TEXT,__text) external _glGetQueryObjectiv
00000001e482b018 (__TEXT,__text) external _glGetQueryObjectivARB
00000001e4828ca0 (__TEXT,__text) external _glGetQueryObjectui64v
00000001e482c7f0 (__TEXT,__text) external _glGetQueryObjectui64vEXT
00000001e4826e38 (__TEXT,__text) external _glGetQueryObjectuiv
00000001e482b038 (__TEXT,__text) external _glGetQueryObjectuivARB
00000001e4826df8 (__TEXT,__text) external _glGetQueryiv
00000001e482aff8 (__TEXT,__text) external _glGetQueryivARB
