                 (undefined) external _XML_ErrorString (from libexpat)
                 (undefined) external _XML_GetErrorCode (from libexpat)
                 (undefined) external _XML_Parse (from libexpat)
                 (undefined) external _XML_ParserCreate (from libexpat)
                 (undefined) external _XML_ParserFree (from libexpat)
                 (undefined) external _XML_SetCharacterDataHandler (from libexpat)
                 (undefined) external _XML_SetElementHandler (from libexpat)
                 (undefined) external _XML_SetEntityDeclHandler (from libexpat)
                 (undefined) external _XML_SetUserData (from libexpat)
                 (undefined) external _XML_StopParser (from libexpat)
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stdoutp (from libSystem)
                 (undefined) external ___strcat_chk (from libSystem)
                 (undefined) external ___strncat_chk (from libSystem)
                 (undefined) external ___tolower (from libSystem)
000000020cecbb48 (__TEXT,__text) external __crypt_blowfish_rn
000000021f681f40 (__AUTH_CONST,__const) external _apr_bucket_type_file
000000021f681f78 (__AUTH_CONST,__const) external _apr_bucket_type_flush
000000021f681fb0 (__AUTH_CONST,__const) external _apr_bucket_type_heap
000000021f682090 (__AUTH_CONST,__const) external _apr_bucket_type_immortal
000000021f681fe8 (__AUTH_CONST,__const) external _apr_bucket_type_mmap
000000021f682020 (__AUTH_CONST,__const) external _apr_bucket_type_pipe
000000021f682058 (__AUTH_CONST,__const) external _apr_bucket_type_pool
000000021f682100 (__AUTH_CONST,__const) external _apr_bucket_type_socket
000000021f6820c8 (__AUTH_CONST,__const) external _apr_bucket_type_transient
                 (undefined) external _apr_cpystrn (from libapr-1)
000000021baad780 (__DATA,__common) external _apr_current_hooking_module
000000020ced40bc (__TEXT,__text) external _apr_date_checkmask
000000020ced4208 (__TEXT,__text) external _apr_date_parse_http
000000020ced45dc (__TEXT,__text) external _apr_date_parse_rfc
000000020cece818 (__TEXT,__text) external _apr_dbd_check_conn
000000020cece838 (__TEXT,__text) external _apr_dbd_close
000000020cecefe8 (__TEXT,__text) external _apr_dbd_datum_get
000000020cece828 (__TEXT,__text) external _apr_dbd_error
000000020cece9cc (__TEXT,__text) external _apr_dbd_escape
000000020cece730 (__TEXT,__text) external _apr_dbd_get_driver
000000020cece9ac (__TEXT,__text) external _apr_dbd_get_entry
000000020cece9bc (__TEXT,__text) external _apr_dbd_get_name
000000020cece994 (__TEXT,__text) external _apr_dbd_get_row
000000020cece60c (__TEXT,__text) external _apr_dbd_init
000000020cece5f4 (__TEXT,__text) external _apr_dbd_mutex_lock
000000020cece600 (__TEXT,__text) external _apr_dbd_mutex_unlock
000000020cece924 (__TEXT,__text) external _apr_dbd_name
000000020cece92c (__TEXT,__text) external _apr_dbd_native_handle
000000020cece97c (__TEXT,__text) external _apr_dbd_num_cols
000000020cece988 (__TEXT,__text) external _apr_dbd_num_tuples
000000020cece844 (__TEXT,__text) external _apr_dbd_open
000000020cece774 (__TEXT,__text) external _apr_dbd_open_ex
000000020cecef20 (__TEXT,__text) external _apr_dbd_pbquery
000000020cecef3c (__TEXT,__text) external _apr_dbd_pbselect
000000020cecee58 (__TEXT,__text) external _apr_dbd_pquery
000000020cece9e0 (__TEXT,__text) external _apr_dbd_prepare
000000020cecee74 (__TEXT,__text) external _apr_dbd_pselect
000000020cecef5c (__TEXT,__text) external _apr_dbd_pvbquery
000000020cecefa0 (__TEXT,__text) external _apr_dbd_pvbselect
000000020cecee94 (__TEXT,__text) external _apr_dbd_pvquery
000000020ceceed8 (__TEXT,__text) external _apr_dbd_pvselect
000000020cece94c (__TEXT,__text) external _apr_dbd_query
000000020cece960 (__TEXT,__text) external _apr_dbd_select
000000020cece938 (__TEXT,__text) external _apr_dbd_set_dbname
000000021f682190 (__AUTH_CONST,__const) external _apr_dbd_sqlite3_driver
000000020cece8bc (__TEXT,__text) external _apr_dbd_transaction_end
000000020cece908 (__TEXT,__text) external _apr_dbd_transaction_mode_get
000000020cece914 (__TEXT,__text) external _apr_dbd_transaction_mode_set
000000020cece84c (__TEXT,__text) external _apr_dbd_transaction_start
000000020cecf1c8 (__TEXT,__text) external _apr_dbm_close
000000020cecf1ec (__TEXT,__text) external _apr_dbm_delete
000000020cecf1f8 (__TEXT,__text) external _apr_dbm_exists
000000020cecf1d4 (__TEXT,__text) external _apr_dbm_fetch
000000020cecf204 (__TEXT,__text) external _apr_dbm_firstkey
000000020cecf21c (__TEXT,__text) external _apr_dbm_freedatum
000000020cecf2ec (__TEXT,__text) external _apr_dbm_get_usednames
000000020cecf274 (__TEXT,__text) external _apr_dbm_get_usednames_ex
000000020cecf228 (__TEXT,__text) external _apr_dbm_geterror
000000020cecf210 (__TEXT,__text) external _apr_dbm_nextkey
000000020cecf124 (__TEXT,__text) external _apr_dbm_open
000000020cecf000 (__TEXT,__text) external _apr_dbm_open_ex
000000020cecf1e0 (__TEXT,__text) external _apr_dbm_store
000000021f682138 (__AUTH_CONST,__const) external _apr_dbm_type_sdbm
000000021baad778 (__DATA,__common) external _apr_debug_module_hooks
000000020ced1450 (__TEXT,__text) external _apr_dynamic_fn_register
000000020ced13f4 (__TEXT,__text) external _apr_dynamic_fn_retrieve
                 (undefined) external _apr_file_close (from libapr-1)
                 (undefined) external _apr_file_flags_get (from libapr-1)
                 (undefined) external _apr_file_info_get (from libapr-1)
                 (undefined) external _apr_file_lock (from libapr-1)
                 (undefined) external _apr_file_name_get (from libapr-1)
                 (undefined) external _apr_file_open (from libapr-1)
                 (undefined) external _apr_file_pipe_timeout_get (from libapr-1)
                 (undefined) external _apr_file_pipe_timeout_set (from libapr-1)
                 (undefined) external _apr_file_pool_get (from libapr-1)
                 (undefined) external _apr_file_read (from libapr-1)
                 (undefined) external _apr_file_read_full (from libapr-1)
                 (undefined) external _apr_file_seek (from libapr-1)
                 (undefined) external _apr_file_setaside (from libapr-1)
                 (undefined) external _apr_file_unlock (from libapr-1)
                 (undefined) external _apr_file_write_full (from libapr-1)
                 (undefined) external _apr_generate_random_bytes (from libapr-1)
000000021baad770 (__DATA,__common) external _apr_global_hook_pool
                 (undefined) external _apr_hash_count (from libapr-1)
                 (undefined) external _apr_hash_first (from libapr-1)
                 (undefined) external _apr_hash_get (from libapr-1)
                 (undefined) external _apr_hash_make (from libapr-1)
                 (undefined) external _apr_hash_next (from libapr-1)
                 (undefined) external _apr_hash_set (from libapr-1)
                 (undefined) external _apr_hash_this (from libapr-1)
000000021baad768 (__DATA,__common) external _apr_hook_debug_current
000000021baad760 (__DATA,__common) external _apr_hook_debug_enabled
000000020ced116c (__TEXT,__text) external _apr_hook_debug_show
000000020ced1118 (__TEXT,__text) external _apr_hook_deregister_all
000000021baad758 (__DATA,__common) external _apr_hook_global_pool
000000020ced0c2c (__TEXT,__text) external _apr_hook_sort_all
000000020ced0bd4 (__TEXT,__text) external _apr_hook_sort_register
000000020cedaf94 (__TEXT,__text) external _apr_ldap_get_option
000000020cedaf54 (__TEXT,__text) external _apr_ldap_info
000000020cedae98 (__TEXT,__text) external _apr_ldap_init
000000020ced14d4 (__TEXT,__text) external _apr_ldap_is_ldap_url
000000020ced164c (__TEXT,__text) external _apr_ldap_is_ldapi_url
000000020ced1600 (__TEXT,__text) external _apr_ldap_is_ldaps_url
000000020cedb35c (__TEXT,__text) external _apr_ldap_rebind_add
000000020cedb2c8 (__TEXT,__text) external _apr_ldap_rebind_init
000000020cedb454 (__TEXT,__text) external _apr_ldap_rebind_remove
000000020cedb024 (__TEXT,__text) external _apr_ldap_set_option
000000020cedae90 (__TEXT,__text) external _apr_ldap_ssl_deinit
000000020cedadc4 (__TEXT,__text) external _apr_ldap_ssl_init
000000020ced1d68 (__TEXT,__text) external _apr_ldap_url_parse
000000020ced1698 (__TEXT,__text) external _apr_ldap_url_parse_ext
000000020cec94bc (__TEXT,__text) external _apr_md4
000000020cec93b0 (__TEXT,__text) external _apr_md4_final
000000020cec8b5c (__TEXT,__text) external _apr_md4_init
000000020cec8b78 (__TEXT,__text) external _apr_md4_set_xlate
000000020cec8bd0 (__TEXT,__text) external _apr_md4_update
000000020cec9898 (__TEXT,__text) external _apr_md5
000000020cec9924 (__TEXT,__text) external _apr_md5_encode
000000020cec9784 (__TEXT,__text) external _apr_md5_final
000000020cec9544 (__TEXT,__text) external _apr_md5_init
000000020cec9560 (__TEXT,__text) external _apr_md5_set_xlate
000000020cec95b8 (__TEXT,__text) external _apr_md5_update
000000020ced26dc (__TEXT,__text) external _apr_memcache_add
000000020ced3094 (__TEXT,__text) external _apr_memcache_add_multget_key
000000020ced1dbc (__TEXT,__text) external _apr_memcache_add_server
000000020ced2378 (__TEXT,__text) external _apr_memcache_create
000000020ced2f40 (__TEXT,__text) external _apr_memcache_decr
000000020ced2b7c (__TEXT,__text) external _apr_memcache_delete
000000020ced2040 (__TEXT,__text) external _apr_memcache_disable_server
000000020ced202c (__TEXT,__text) external _apr_memcache_enable_server
000000020ced1fb8 (__TEXT,__text) external _apr_memcache_find_server
000000020ced1df4 (__TEXT,__text) external _apr_memcache_find_server_hash
000000020ced1e10 (__TEXT,__text) external _apr_memcache_find_server_hash_default
000000020ced2724 (__TEXT,__text) external _apr_memcache_getp
000000020ced2474 (__TEXT,__text) external _apr_memcache_hash
000000020ced23e8 (__TEXT,__text) external _apr_memcache_hash_crc32
000000020ced242c (__TEXT,__text) external _apr_memcache_hash_default
000000020ced2d44 (__TEXT,__text) external _apr_memcache_incr
000000020ced3148 (__TEXT,__text) external _apr_memcache_multgetp
000000020ced2700 (__TEXT,__text) external _apr_memcache_replace
000000020ced2084 (__TEXT,__text) external _apr_memcache_server_create
000000020ced24cc (__TEXT,__text) external _apr_memcache_set
000000020ced3a18 (__TEXT,__text) external _apr_memcache_stats
000000020ced2f58 (__TEXT,__text) external _apr_memcache_version
                 (undefined) external _apr_mmap_create (from libapr-1)
                 (undefined) external _apr_mmap_delete (from libapr-1)
                 (undefined) external _apr_mmap_dup (from libapr-1)
                 (undefined) external _apr_mmap_offset (from libapr-1)
000000020ced12d0 (__TEXT,__text) external _apr_optional_hook_add
000000020ced1280 (__TEXT,__text) external _apr_optional_hook_get
                 (undefined) external _apr_os_default_encoding (from libapr-1)
                 (undefined) external _apr_os_locale_encoding (from libapr-1)
                 (undefined) external _apr_os_thread_current (from libapr-1)
                 (undefined) external _apr_os_thread_equal (from libapr-1)
                 (undefined) external _apr_os_thread_get (from libapr-1)
                 (undefined) external _apr_os_uuid_get (from libapr-1)
                 (undefined) external _apr_palloc (from libapr-1)
000000020ceca8d4 (__TEXT,__text) external _apr_password_validate
                 (undefined) external _apr_pollset_add (from libapr-1)
                 (undefined) external _apr_pollset_create (from libapr-1)
                 (undefined) external _apr_pollset_destroy (from libapr-1)
                 (undefined) external _apr_pollset_poll (from libapr-1)
                 (undefined) external _apr_pollset_remove (from libapr-1)
                 (undefined) external _apr_pool_abort_get (from libapr-1)
                 (undefined) external _apr_pool_allocator_get (from libapr-1)
                 (undefined) external _apr_pool_cleanup_kill (from libapr-1)
                 (undefined) external _apr_pool_cleanup_null (from libapr-1)
                 (undefined) external _apr_pool_cleanup_register (from libapr-1)
                 (undefined) external _apr_pool_cleanup_run (from libapr-1)
                 (undefined) external _apr_pool_clear (from libapr-1)
                 (undefined) external _apr_pool_create_ex (from libapr-1)
                 (undefined) external _apr_pool_destroy (from libapr-1)
                 (undefined) external _apr_pool_is_ancestor (from libapr-1)
                 (undefined) external _apr_pool_parent_get (from libapr-1)
                 (undefined) external _apr_pool_pre_cleanup_register (from libapr-1)
000000020cecf37c (__TEXT,__text) external _apr_posix_perms2mode
                 (undefined) external _apr_proc_mutex_lock (from libapr-1)
                 (undefined) external _apr_proc_mutex_unlock (from libapr-1)
                 (undefined) external _apr_psprintf (from libapr-1)
                 (undefined) external _apr_pstrcat (from libapr-1)
                 (undefined) external _apr_pstrdup (from libapr-1)
                 (undefined) external _apr_pstrmemdup (from libapr-1)
                 (undefined) external _apr_pstrndup (from libapr-1)
000000020ced4e30 (__TEXT,__text) external _apr_queue_create
000000020ced5380 (__TEXT,__text) external _apr_queue_interrupt_all
000000020ced5170 (__TEXT,__text) external _apr_queue_pop
000000020ced4f54 (__TEXT,__text) external _apr_queue_push
000000020ced5168 (__TEXT,__text) external _apr_queue_size
000000020ced53dc (__TEXT,__text) external _apr_queue_term
000000020ced52a0 (__TEXT,__text) external _apr_queue_trypop
000000020ced508c (__TEXT,__text) external _apr_queue_trypush
000000020ced5850 (__TEXT,__text) external _apr_reslist_acquire
000000020ced5b20 (__TEXT,__text) external _apr_reslist_acquired_count
000000020ced5bbc (__TEXT,__text) external _apr_reslist_cleanup_order_set
000000020ced55dc (__TEXT,__text) external _apr_reslist_create
000000020ced5834 (__TEXT,__text) external _apr_reslist_destroy
000000020ced5b5c (__TEXT,__text) external _apr_reslist_invalidate
000000020ced543c (__TEXT,__text) external _apr_reslist_maintain
000000020ced5a24 (__TEXT,__text) external _apr_reslist_release
000000020ced5b18 (__TEXT,__text) external _apr_reslist_timeout_set
000000020ced6600 (__TEXT,__text) external _apr_rmm_addr_get
000000020ced5ff0 (__TEXT,__text) external _apr_rmm_attach
000000020ced6404 (__TEXT,__text) external _apr_rmm_calloc
000000020ced5e68 (__TEXT,__text) external _apr_rmm_destroy
000000020ced607c (__TEXT,__text) external _apr_rmm_detach
000000020ced660c (__TEXT,__text) external _apr_rmm_free
000000020ced5c6c (__TEXT,__text) external _apr_rmm_init
000000020ced6084 (__TEXT,__text) external _apr_rmm_malloc
000000020ced65f4 (__TEXT,__text) external _apr_rmm_offset_get
000000020ced6810 (__TEXT,__text) external _apr_rmm_overhead_get
000000020ced6530 (__TEXT,__text) external _apr_rmm_realloc
000000020cecf918 (__TEXT,__text) external _apr_sdbm_close
000000020cecfba8 (__TEXT,__text) external _apr_sdbm_delete
000000020cecf984 (__TEXT,__text) external _apr_sdbm_fetch
000000020ced0054 (__TEXT,__text) external _apr_sdbm_firstkey
000000020ced02d8 (__TEXT,__text) external _apr_sdbm_lock
000000020ced0148 (__TEXT,__text) external _apr_sdbm_nextkey
000000020cecf740 (__TEXT,__text) external _apr_sdbm_open
000000020cecfc78 (__TEXT,__text) external _apr_sdbm_rdonly
000000020cecfce0 (__TEXT,__text) external _apr_sdbm_store
000000020ced03f0 (__TEXT,__text) external _apr_sdbm_unlock
000000020cecba24 (__TEXT,__text) external _apr_sha1_base64
000000020cecb928 (__TEXT,__text) external _apr_sha1_final
000000020cecaafc (__TEXT,__text) external _apr_sha1_init
000000020cecb924 (__TEXT,__text) external _apr_sha1_update
000000020cecab20 (__TEXT,__text) external _apr_sha1_update_binary
                 (undefined) external _apr_sleep (from libapr-1)
                 (undefined) external _apr_snprintf (from libapr-1)
                 (undefined) external _apr_sockaddr_info_get (from libapr-1)
                 (undefined) external _apr_socket_close (from libapr-1)
                 (undefined) external _apr_socket_connect (from libapr-1)
                 (undefined) external _apr_socket_create (from libapr-1)
                 (undefined) external _apr_socket_recv (from libapr-1)
                 (undefined) external _apr_socket_sendv (from libapr-1)
                 (undefined) external _apr_socket_timeout_get (from libapr-1)
                 (undefined) external _apr_socket_timeout_set (from libapr-1)
000000020ced7908 (__TEXT,__text) external _apr_strmatch_precompile
                 (undefined) external _apr_strtok (from libapr-1)
000000020ced8fdc (__TEXT,__text) external _apr_text_append
                 (undefined) external _apr_thread_cond_broadcast (from libapr-1)
                 (undefined) external _apr_thread_cond_create (from libapr-1)
                 (undefined) external _apr_thread_cond_destroy (from libapr-1)
                 (undefined) external _apr_thread_cond_signal (from libapr-1)
                 (undefined) external _apr_thread_cond_timedwait (from libapr-1)
                 (undefined) external _apr_thread_cond_wait (from libapr-1)
                 (undefined) external _apr_thread_create (from libapr-1)
                 (undefined) external _apr_thread_data_get (from libapr-1)
                 (undefined) external _apr_thread_data_set (from libapr-1)
                 (undefined) external _apr_thread_detach (from libapr-1)
                 (undefined) external _apr_thread_exit (from libapr-1)
                 (undefined) external _apr_thread_join (from libapr-1)
                 (undefined) external _apr_thread_mutex_create (from libapr-1)
                 (undefined) external _apr_thread_mutex_destroy (from libapr-1)
                 (undefined) external _apr_thread_mutex_lock (from libapr-1)
                 (undefined) external _apr_thread_mutex_unlock (from libapr-1)
000000020ced73e4 (__TEXT,__text) external _apr_thread_pool_busy_count
000000020ced6820 (__TEXT,__text) external _apr_thread_pool_create
000000020ced6e04 (__TEXT,__text) external _apr_thread_pool_destroy
000000020ced73f4 (__TEXT,__text) external _apr_thread_pool_idle_count
000000020ced741c (__TEXT,__text) external _apr_thread_pool_idle_max_get
000000020ced742c (__TEXT,__text) external _apr_thread_pool_idle_max_set
000000020ced7424 (__TEXT,__text) external _apr_thread_pool_idle_wait_get
000000020ced74fc (__TEXT,__text) external _apr_thread_pool_idle_wait_set
000000020ced6e24 (__TEXT,__text) external _apr_thread_pool_push
000000020ced709c (__TEXT,__text) external _apr_thread_pool_schedule
000000020ced73d4 (__TEXT,__text) external _apr_thread_pool_scheduled_tasks_count
000000020ced75b8 (__TEXT,__text) external _apr_thread_pool_task_owner_get
000000020ced720c (__TEXT,__text) external _apr_thread_pool_tasks_cancel
000000020ced73cc (__TEXT,__text) external _apr_thread_pool_tasks_count
000000020ced7404 (__TEXT,__text) external _apr_thread_pool_tasks_high_count
000000020ced73fc (__TEXT,__text) external _apr_thread_pool_tasks_run_count
000000020ced750c (__TEXT,__text) external _apr_thread_pool_thread_max_get
000000020ced7514 (__TEXT,__text) external _apr_thread_pool_thread_max_set
000000020ced73dc (__TEXT,__text) external _apr_thread_pool_threads_count
000000020ced740c (__TEXT,__text) external _apr_thread_pool_threads_high_count
000000020ced7414 (__TEXT,__text) external _apr_thread_pool_threads_idle_timeout_count
000000020ced75a0 (__TEXT,__text) external _apr_thread_pool_threshold_get
000000020ced75a8 (__TEXT,__text) external _apr_thread_pool_threshold_set
000000020ced7200 (__TEXT,__text) external _apr_thread_pool_top
                 (undefined) external _apr_thread_rwlock_rdlock (from libapr-1)
                 (undefined) external _apr_thread_rwlock_unlock (from libapr-1)
                 (undefined) external _apr_thread_rwlock_wrlock (from libapr-1)
                 (undefined) external _apr_time_exp_get (from libapr-1)
                 (undefined) external _apr_time_exp_gmt_get (from libapr-1)
                 (undefined) external _apr_time_now (from libapr-1)
000000020ced7e38 (__TEXT,__text) external _apr_uri_parse
000000020ced8254 (__TEXT,__text) external _apr_uri_parse_hostinfo
000000020ced7b98 (__TEXT,__text) external _apr_uri_port_of_scheme
000000020ced7bec (__TEXT,__text) external _apr_uri_unparse
000000020cece2c4 (__TEXT,__text) external _apr_uuid_format
000000020cece160 (__TEXT,__text) external _apr_uuid_get
000000020cece34c (__TEXT,__text) external _apr_uuid_parse
                 (undefined) external _apr_vformatter (from libapr-1)
000000020ced8760 (__TEXT,__text) external _apr_xlate_close
000000020ced8668 (__TEXT,__text) external _apr_xlate_conv_buffer
000000020ced8748 (__TEXT,__text) external _apr_xlate_conv_byte
000000020ced835c (__TEXT,__text) external _apr_xlate_open
000000020ced8650 (__TEXT,__text) external _apr_xlate_sb_get
000000020ced99c0 (__TEXT,__text) external _apr_xml_empty_elem
000000020ced88b0 (__TEXT,__text) external _apr_xml_insert_uri
000000020ced8f1c (__TEXT,__text) external _apr_xml_parse_file
000000020ced877c (__TEXT,__text) external _apr_xml_parser_create
000000020ced8dc8 (__TEXT,__text) external _apr_xml_parser_done
000000020ced8d60 (__TEXT,__text) external _apr_xml_parser_feed
000000020ced8e44 (__TEXT,__text) external _apr_xml_parser_geterror
000000020ced9154 (__TEXT,__text) external _apr_xml_quote_elem
000000020ced9030 (__TEXT,__text) external _apr_xml_quote_string
000000020ced9208 (__TEXT,__text) external _apr_xml_to_text
000000020ced0884 (__TEXT,__text) external _apu__sdbm_chkpage
000000020ced0680 (__TEXT,__text) external _apu__sdbm_delpair
000000020ced05f0 (__TEXT,__text) external _apu__sdbm_duppair
000000020ced042c (__TEXT,__text) external _apu__sdbm_fitpair
000000020ced0630 (__TEXT,__text) external _apu__sdbm_getnkey
000000020ced04f0 (__TEXT,__text) external _apu__sdbm_getpair
000000020ced0220 (__TEXT,__text) external _apu__sdbm_hash
000000020cede310 (__TEXT,__const) external _apu__sdbm_nullitem
000000020ced0460 (__TEXT,__text) external _apu__sdbm_putpair
000000020ced0758 (__TEXT,__text) external _apu__sdbm_splpage
000000020ced78ec (__TEXT,__text) external _apu_version
000000020ced78fc (__TEXT,__text) external _apu_version_string
                 (undefined) external _atof (from libSystem)
                 (undefined) external _atoi (from libSystem)
                 (undefined) external _atol (from libSystem)
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _crypt (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _iconv (from libiconv)
                 (undefined) external _iconv_close (from libiconv)
                 (undefined) external _iconv_open (from libiconv)
                 (undefined) external _ldap_bind_s (from LDAP)
                 (undefined) external _ldap_err2string (from LDAP)
                 (undefined) external _ldap_get_option (from LDAP)
                 (undefined) external _ldap_init (from LDAP)
                 (undefined) external _ldap_set_option (from LDAP)
                 (undefined) external _ldap_set_rebind_proc (from LDAP)
                 (undefined) external _ldap_start_tls_s (from LDAP)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _printf (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _rand (from libSystem)
