00000001dc21220c (__TEXT,__text) non-external +[Cube initialize]
00000001dc21f4b0 (__TEXT,__text) non-external +[DDXMLNode lastError]
00000001dc21e928 (__TEXT,__text) non-external +[DDXMLNode localNameForName:]
00000001dc21d530 (__TEXT,__text) non-external +[DDXMLNode namespaceWithName:stringValue:]
00000001dc21eeec (__TEXT,__text) non-external +[DDXMLNode nodeFree:]
00000001dc21f56c (__TEXT,__text) non-external +[DDXMLNode nodeFree:].cold.1
00000001dc21d6fc (__TEXT,__text) non-external +[DDXMLNode nodeWithPrimitive:]
00000001dc21d8ec (__TEXT,__text) non-external +[DDXMLNode nodeWithPrimitive:nsParent:]
00000001dc21e988 (__TEXT,__text) non-external +[DDXMLNode prefixForName:]
00000001dc21d5c4 (__TEXT,__text) non-external +[DDXMLNode processingInstructionWithName:stringValue:]
00000001dc21ee84 (__TEXT,__text) non-external +[DDXMLNode recursiveStripDocPointersFromNode:]
00000001dc21f05c (__TEXT,__text) non-external +[DDXMLNode removeAllAttributesFromNode:]
00000001dc21f2cc (__TEXT,__text) non-external +[DDXMLNode removeAllChildrenFromDoc:]
00000001dc21f280 (__TEXT,__text) non-external +[DDXMLNode removeAllChildrenFromNode:]
00000001dc21f174 (__TEXT,__text) non-external +[DDXMLNode removeAllNamespacesFromNode:]
00000001dc21f010 (__TEXT,__text) non-external +[DDXMLNode removeAttribute:fromNode:]
00000001dc21f23c (__TEXT,__text) non-external +[DDXMLNode removeChild:fromNode:]
00000001dc21f128 (__TEXT,__text) non-external +[DDXMLNode removeNamespace:fromNode:]
00000001dc21ee68 (__TEXT,__text) non-external +[DDXMLNode stripDocPointersFromAttr:]
00000001dc21d69c (__TEXT,__text) non-external +[DDXMLNode textWithStringValue:]
00000001dc1560e0 (__TEXT,__text) non-external +[MCActionForEachPlug forEachPlugActionForTargetPlugObjectID:withAction:andPrefix:]
00000001dc154c5c (__TEXT,__text) non-external +[MCActionGroup actionGroup]
00000001dc156e2c (__TEXT,__text) non-external +[MCActionTrigger actionTriggerForTargetPlugObjectID:withActionKey:]
00000001dc158b4c (__TEXT,__text) non-external +[MCAnimationKeyframe keyPathsForValuesAffectingValueForKey:]
00000001dc1592b4 (__TEXT,__text) non-external +[MCAnimationKeyframe1D keyframeWithScalar:atTime:]
00000001dc1592bc (__TEXT,__text) non-external +[MCAnimationKeyframe1D keyframeWithScalar:atTime:offsetKind:]
00000001dc15a2b8 (__TEXT,__text) non-external +[MCAnimationKeyframe2D keyframeWithPoint:atTime:]
00000001dc15a2c0 (__TEXT,__text) non-external +[MCAnimationKeyframe2D keyframeWithPoint:atTime:offsetKind:]
00000001dc1595e0 (__TEXT,__text) non-external +[MCAnimationKeyframeFunction keyframeWithFunction:atTime:offsetKind:forDuration:]
00000001dc15ac44 (__TEXT,__text) non-external +[MCAnimationKeyframeVector keyframeWithVector:atTime:]
00000001dc15ac7c (__TEXT,__text) non-external +[MCAnimationKeyframeVector keyframeWithVector:atTime:offsetKind:]
00000001dc15b128 (__TEXT,__text) non-external +[MCAnimationPath animationPathWithKey:]
00000001dc15c704 (__TEXT,__text) non-external +[MCAnimationPathExpression animationPathWithKey:andExpression:]
00000001dc15c9e8 (__TEXT,__text) non-external +[MCAnimationPathKeyframed animationPathWithKey:]
00000001dc15c96c (__TEXT,__text) non-external +[MCAnimationPathKeyframed keyPathsForValuesAffectingValueForKey:]
00000001dc15d448 (__TEXT,__text) non-external +[MCAnimationPathKeyframed timeForKeyframe:withPlugTiming:]
00000001dc156a38 (__TEXT,__text) non-external +[MCAnimationTrigger animationTriggerForTargetPlugObjectID:withAnimationKey:]
00000001dc15e6d8 (__TEXT,__text) non-external +[MCAudioPlaylist keyPathsForValuesAffectingValueForKey:]
00000001dc15597c (__TEXT,__text) non-external +[MCConditionalAction conditionalActionWithPredicate:]
00000001dc1559c8 (__TEXT,__text) non-external +[MCConditionalAction conditionalActionWithPredicate:actionIfTrue:actionIfFalse:]
00000001dc16056c (__TEXT,__text) non-external +[MCContainerEffect keyPathsForValuesAffectingValueForKey:]
00000001dc165718 (__TEXT,__text) non-external +[MCContainerParallelizer keyPathsForValuesAffectingValueForKey:]
00000001dc166cac (__TEXT,__text) non-external +[MCContainerSerializer keyPathsForValuesAffectingValueForKey:]
00000001dc158818 (__TEXT,__text) non-external +[MCGenericAction genericActionForTargetPlugObjectID:withAttributes:]
00000001dc157ca8 (__TEXT,__text) non-external +[MCMotionTrigger motionTriggerForTargetPlugObjectID:withKey:andDuration:]
00000001dc158490 (__TEXT,__text) non-external +[MCMotionTriggerExpression motionTriggerForTargetPlugObjectID:withKey:duration:andExpression:]
00000001dc158208 (__TEXT,__text) non-external +[MCMotionTriggerScalar motionTriggerForTargetPlugObjectID:withKey:duration:andValue:]
00000001dc16c154 (__TEXT,__text) non-external +[MCObject objectWithImprint:andMontage:]
00000001dc16bed8 (__TEXT,__text) non-external +[MCObjectBase addArrayElement:toXMLElement:forName:]
00000001dc16bcb0 (__TEXT,__text) non-external +[MCObjectBase addDictionaryElement:toXMLElement:forName:]
00000001dc16bb5c (__TEXT,__text) non-external +[MCObjectBase addDoubleAttribute:toXMLElement:forName:]
00000001dc16bab4 (__TEXT,__text) non-external +[MCObjectBase addFloatAttribute:toXMLElement:forName:]
00000001dc16bc14 (__TEXT,__text) non-external +[MCObjectBase addIntegerAttribute:toXMLElement:forName:]
00000001dc16ba38 (__TEXT,__text) non-external +[MCObjectBase addStringAttribute:toXMLElement:forName:]
00000001dc16b8a4 (__TEXT,__text) non-external +[MCObjectBase initialize]
00000001dc16c0a4 (__TEXT,__text) non-external +[MCObjectLight objectWithImprint:]
00000001dc16cc24 (__TEXT,__text) non-external +[MCPlug keyPathsForValuesAffectingValueForKey:]
00000001dc16f3c8 (__TEXT,__text) non-external +[MCPlugParallel keyPathsForValuesAffectingValueForKey:]
00000001dc173abc (__TEXT,__text) non-external +[MCPlugSerial keyPathsForValuesAffectingValueForKey:]
00000001dc17433c (__TEXT,__text) non-external +[MCSlide keyPathsForValuesAffectingValueForKey:]
00000001dc1790e8 (__TEXT,__text) non-external +[MCSong keyPathsForValuesAffectingValueForKey:]
00000001dc15711c (__TEXT,__text) non-external +[MCStateOperation stateOperationForTargetPlugObjectID:withStateKey:]
00000001dc1579d4 (__TEXT,__text) non-external +[MCStateOperationExpression stateOperationForTargetPlugObjectID:withStateKey:andExpression:]
00000001dc15747c (__TEXT,__text) non-external +[MCStateOperationScalarSet stateOperationForTargetPlugObjectID:withStateKey:andScalar:]
00000001dc157700 (__TEXT,__text) non-external +[MCStateOperationStringSet stateOperationForTargetPlugObjectID:withStateKey:andString:]
00000001dc182438 (__TEXT,__text) non-external +[MCTextConversion attributedStringWithCTAttributesFromStringAttributes:]
00000001dc182c58 (__TEXT,__text) non-external +[MCTextConversion attributedStringWithNSAttributesFromStringAttributes:]
00000001dc181194 (__TEXT,__text) non-external +[MCTextConversion ligatureFromString:]
00000001dc18122c (__TEXT,__text) non-external +[MCTextConversion shadowFromTextFormat:]
00000001dc18108c (__TEXT,__text) non-external +[MCTextConversion stretchForFontDisplayName:andFamilyName:]
00000001dc182274 (__TEXT,__text) non-external +[MCTextConversion stringAttributesWithAttributedString:]
00000001dc181208 (__TEXT,__text) non-external +[MCTextConversion stringFromLigature:]
00000001dc181170 (__TEXT,__text) non-external +[MCTextConversion stringFromTextAlignment:]
00000001dc180f40 (__TEXT,__text) non-external +[MCTextConversion styleForFontDisplayName:andFamilyName:]
00000001dc1810fc (__TEXT,__text) non-external +[MCTextConversion textAlignmentFromString:]
00000001dc1813f4 (__TEXT,__text) non-external +[MCTextConversion textFormatFromShadow:]
00000001dc181614 (__TEXT,__text) non-external +[MCTextConversion textFormatFromUnderlineStyle:]
00000001dc1816f4 (__TEXT,__text) non-external +[MCTextConversion textFormatWithCTAttributesForText:attributes:]
00000001dc181d68 (__TEXT,__text) non-external +[MCTextConversion textFormatWithNSAttributesForText:attributes:]
00000001dc1814c8 (__TEXT,__text) non-external +[MCTextConversion underlineStyleFromTextFormat:]
00000001dc180fe4 (__TEXT,__text) non-external +[MCTextConversion weightForFontDisplayName:andFamilyName:]
00000001dc1564c8 (__TEXT,__text) non-external +[MCTransitionTrigger transitionForTargetPlugObjectID:withTransitionID:]
00000001dc1e575c (__TEXT,__text) non-external +[MEAudioSupport _addAudioPlaylistsFromPlug:toComposition:atTime:forTotalDuration:withID:forExport:fadingTimVols:duckingTimVols:assetManagementDelegate:]
00000001dc1e54c0 (__TEXT,__text) non-external +[MEAudioSupport _getShowTime:andShowDuration:forPlug:andSlideIndex:]
00000001dc1e64a8 (__TEXT,__text) non-external +[MEAudioSupport _insertAudioTracksFromAsset:toComposition:atTime:withSongStartTime:songDuration:]
00000001dc1e67f4 (__TEXT,__text) non-external +[MEAudioSupport _makeAVAudioMixForComposition:withDuration:andFadeOutDuration:fadingInfos:duckingInfos:]
00000001dc1e5238 (__TEXT,__text) non-external +[MEAudioSupport compositionForExportForStartTime:andDuration:withDocument:forExport:audioMix:]
00000001dc17a62c (__TEXT,__text) non-external +[MEExporter copyWebRendererToPath:useDebug:]
00000001dc17a804 (__TEXT,__text) non-external +[MEExporter postProcessWebRendererAtPath:]
00000001dc17af74 (__TEXT,__text) non-external +[MEExporter(Private) createErrorWithCode:andDescription:andSuggestion:andUnderlyingError:outError:]
00000001dc17b04c (__TEXT,__text) non-external +[MEExporter(Private) createErrorWithCode:andDescription:outError:]
00000001dc17b064 (__TEXT,__text) non-external +[MEExporter(Private) createNotEnoughSpaceErrorForFreeSpace:andNeededSpace:outError:]
00000001dc17ae44 (__TEXT,__text) non-external +[MEExporter(Private) createTemporaryDirectoryForPath:error:]
00000001dc17b1c0 (__TEXT,__text) non-external +[MEExporter(Private) localizedString:]
00000001dc17b4c8 (__TEXT,__text) non-external +[MEExporterManager releaseSharedManager]
00000001dc17b458 (__TEXT,__text) non-external +[MEExporterManager sharedManager]
00000001dc1d9c0c (__TEXT,__text) non-external +[MEImageExporter operationWithOriginalPath:loadedImage:size:andDestinationPath:]
00000001dc1d9ba8 (__TEXT,__text) non-external +[MEImageExporter operationWithOriginalPath:size:andDestinationPath:]
00000001dc1d9b34 (__TEXT,__text) non-external +[MEImageExporter operationWithOriginalPath:size:blackWhite:andDestinationPath:]
00000001dc17c244 (__TEXT,__text) non-external +[MEPluginHTML5 matchesOptions:]
00000001dc17c1c8 (__TEXT,__text) non-external +[MEPluginHTML5 registerPluginsToLoader:]
00000001dc1ca498 (__TEXT,__text) non-external +[MEPluginPDF matchesOptions:]
00000001dc1ca41c (__TEXT,__text) non-external +[MEPluginPDF registerPluginsToLoader:]
00000001dc2341a0 (__TEXT,__text) non-external +[MEPluginVideoAVFoundation matchesOptions:]
00000001dc234108 (__TEXT,__text) non-external +[MEPluginVideoAVFoundation registerPluginsToLoader:]
00000001dc23603c (__TEXT,__text) non-external +[MEPluginVideoImageSequence matchesOptions:]
00000001dc235fa4 (__TEXT,__text) non-external +[MEPluginVideoImageSequence registerPluginsToLoader:]
00000001dc0197a4 (__TEXT,__text) non-external +[MPAction action]
00000001dc01979c (__TEXT,__text) non-external +[MPAction supportsSecureCoding]
00000001dc01bfa0 (__TEXT,__text) non-external +[MPActionGroup actionGroup]
00000001dc01bfd0 (__TEXT,__text) non-external +[MPActionGroup supportsSecureCoding]
00000001dc01aadc (__TEXT,__text) non-external +[MPActionTrigger actionTrigger]
00000001dc01aad4 (__TEXT,__text) non-external +[MPActionTrigger supportsSecureCoding]
00000001dc01cc68 (__TEXT,__text) non-external +[MPAnimatedSet supportsSecureCoding]
00000001dc01f4bc (__TEXT,__text) non-external +[MPAnimationKeyframe supportsSecureCoding]
00000001dc01f980 (__TEXT,__text) non-external +[MPAnimationKeyframe1D keyframe1DWithScalar:atTime:]
00000001dc01f9c8 (__TEXT,__text) non-external +[MPAnimationKeyframe1D keyframe1DWithScalar:atTime:offsetType:]
00000001dc01f978 (__TEXT,__text) non-external +[MPAnimationKeyframe1D supportsSecureCoding]
00000001dc01fde8 (__TEXT,__text) non-external +[MPAnimationKeyframe2D keyframe2DWithPoint:atTime:]
00000001dc01fe40 (__TEXT,__text) non-external +[MPAnimationKeyframe2D keyframe2DWithPoint:atTime:offsetType:]
00000001dc01fde0 (__TEXT,__text) non-external +[MPAnimationKeyframe2D supportsSecureCoding]
00000001dc02120c (__TEXT,__text) non-external +[MPAnimationKeyframeFunction keyframeFunctionWithFunction:atTime:offsetType:withDuration:]
00000001dc0211b4 (__TEXT,__text) non-external +[MPAnimationKeyframeFunction keyframeFunctionWithFunction:atTime:withDuration:]
00000001dc0211ac (__TEXT,__text) non-external +[MPAnimationKeyframeFunction supportsSecureCoding]
00000001dc020cf8 (__TEXT,__text) non-external +[MPAnimationKeyframeVector keyframeVectorWithVector:atTime:]
00000001dc020d48 (__TEXT,__text) non-external +[MPAnimationKeyframeVector keyframeVectorWithVector:atTime:offsetType:]
00000001dc020cf0 (__TEXT,__text) non-external +[MPAnimationKeyframeVector supportsSecureCoding]
00000001dc021f8c (__TEXT,__text) non-external +[MPAnimationManager releaseSharedManager]
00000001dc021f18 (__TEXT,__text) non-external +[MPAnimationManager sharedManager]
00000001dc022068 (__TEXT,__text) non-external +[MPAnimationManager(Private) loadAnimationManagerWithPaths:]
00000001dc0223fc (__TEXT,__text) non-external +[MPAnimationPath animationPath]
00000001dc0223f4 (__TEXT,__text) non-external +[MPAnimationPath supportsSecureCoding]
00000001dc022660 (__TEXT,__text) non-external +[MPAnimationPathCombo animationPath]
00000001dc022658 (__TEXT,__text) non-external +[MPAnimationPathCombo supportsSecureCoding]
00000001dc022ea4 (__TEXT,__text) non-external +[MPAnimationPathKeyframed animationPath]
00000001dc022e9c (__TEXT,__text) non-external +[MPAnimationPathKeyframed supportsSecureCoding]
00000001dc01a5bc (__TEXT,__text) non-external +[MPAnimationTrigger animationTrigger]
00000001dc01a5b4 (__TEXT,__text) non-external +[MPAnimationTrigger supportsSecureCoding]
00000001dc02567c (__TEXT,__text) non-external +[MPAssetManager releaseSharedManager]
00000001dc025670 (__TEXT,__text) non-external +[MPAssetManager setInhibitSharedManagerInit:]
00000001dc0098fc (__TEXT,__text) non-external +[MPAssetManager sharedManager]
00000001dc026064 (__TEXT,__text) non-external +[MPAssetManager(ImageUtils) convertCGImageToBuffer:]
00000001dc02635c (__TEXT,__text) non-external +[MPAssetManager(ImageUtils) convertCGImageToBufferUsingDataProvider:]
00000001dc026224 (__TEXT,__text) non-external +[MPAssetManager(ImageUtils) convertCGImageToBufferUsingRGBDevice:]
00000001dc02652c (__TEXT,__text) non-external +[MPAudioPlaylist audioPlaylist]
00000001dc0264fc (__TEXT,__text) non-external +[MPAudioPlaylist automaticallyNotifiesObserversForKey:]
00000001dc026524 (__TEXT,__text) non-external +[MPAudioPlaylist supportsSecureCoding]
00000001dc027f1c (__TEXT,__text) non-external +[MPAuthoringController releaseSharedController]
00000001dc027eb0 (__TEXT,__text) non-external +[MPAuthoringController sharedController]
00000001dc04eb70 (__TEXT,__text) non-external +[MPAuthoringUtilities alignToBeatsFromOptions:]
00000001dc05100c (__TEXT,__text) non-external +[MPAuthoringUtilities alwaysIncludeLastTransitionFromOptions:]
00000001dc04f5bc (__TEXT,__text) non-external +[MPAuthoringUtilities aspectRatioFromOptions:]
00000001dc0517b4 (__TEXT,__text) non-external +[MPAuthoringUtilities aspectRatioMatchesDefault:withOptions:]
00000001dc04e3f8 (__TEXT,__text) non-external +[MPAuthoringUtilities audioDurationFactorFromOptions:]
00000001dc04e3b0 (__TEXT,__text) non-external +[MPAuthoringUtilities audioDurationFromOptions:]
00000001dc04e440 (__TEXT,__text) non-external +[MPAuthoringUtilities audioScalingModeFromOptions:]
00000001dc04edd4 (__TEXT,__text) non-external +[MPAuthoringUtilities backgroundColorFromOptions:]
00000001dc0514a0 (__TEXT,__text) non-external +[MPAuthoringUtilities baseBreakAspectRatioFromOptions:]
00000001dc051514 (__TEXT,__text) non-external +[MPAuthoringUtilities basePortraitBreakAspectRatioFromOptions:]
00000001dc04ed84 (__TEXT,__text) non-external +[MPAuthoringUtilities beatFactorFromOptions:]
00000001dc0513b8 (__TEXT,__text) non-external +[MPAuthoringUtilities breakDurationScaleFromOptions:]
00000001dc050dcc (__TEXT,__text) non-external +[MPAuthoringUtilities canAdjustPhaseDurations:]
00000001dc050ab8 (__TEXT,__text) non-external +[MPAuthoringUtilities canHaveTransitionsFromOptions:]
00000001dc04f080 (__TEXT,__text) non-external +[MPAuthoringUtilities canRepeatEffectWithPreset:]
00000001dc04f1c8 (__TEXT,__text) non-external +[MPAuthoringUtilities canRepeatPreset:]
00000001dc04f728 (__TEXT,__text) non-external +[MPAuthoringUtilities collectVersionInformationFromOptions:]
00000001dc050948 (__TEXT,__text) non-external +[MPAuthoringUtilities colorSchemeFromOptions:]
00000001dc04ec04 (__TEXT,__text) non-external +[MPAuthoringUtilities createBeatsFromOptions:]
00000001dc04e510 (__TEXT,__text) non-external +[MPAuthoringUtilities croppingModeForFitMoviesFromOptions:]
00000001dc04e484 (__TEXT,__text) non-external +[MPAuthoringUtilities croppingModeFromOptions:]
00000001dc05127c (__TEXT,__text) non-external +[MPAuthoringUtilities customDurationsFromOptions:]
00000001dc0519d4 (__TEXT,__text) non-external +[MPAuthoringUtilities distanceBetween:andPoint:]
00000001dc04ef4c (__TEXT,__text) non-external +[MPAuthoringUtilities durationPerEffectFromOptions:]
00000001dc04e8e0 (__TEXT,__text) non-external +[MPAuthoringUtilities easeKenBurnsPanFromOptions:]
00000001dc0508a4 (__TEXT,__text) non-external +[MPAuthoringUtilities effectDecidesTransitionFromOptions:]
00000001dc04f5fc (__TEXT,__text) non-external +[MPAuthoringUtilities effectListFromOptions:]
00000001dc04f124 (__TEXT,__text) non-external +[MPAuthoringUtilities effectNeedsPreviousAttributesFromOptions:]
00000001dc050208 (__TEXT,__text) non-external +[MPAuthoringUtilities effectPadding:]
00000001dc05031c (__TEXT,__text) non-external +[MPAuthoringUtilities exportTransitionDurationFromOptions:]
00000001dc0502b0 (__TEXT,__text) non-external +[MPAuthoringUtilities exportTransitionIDFromOptions:]
00000001dc050f7c (__TEXT,__text) non-external +[MPAuthoringUtilities fadeOutAudioFromOptions:]
00000001dc051290 (__TEXT,__text) non-external +[MPAuthoringUtilities fadeOutDurationFromOptions:]
00000001dc04f4fc (__TEXT,__text) non-external +[MPAuthoringUtilities fitMoviesWhenPossibleFromOptions:]
00000001dc0517a0 (__TEXT,__text) non-external +[MPAuthoringUtilities gapInformationFromOptions:]
00000001dc04fe1c (__TEXT,__text) non-external +[MPAuthoringUtilities idFromPresetID:]
00000001dc04e0f0 (__TEXT,__text) non-external +[MPAuthoringUtilities ignoreClusteringForImages:withOptions:]
00000001dc04f818 (__TEXT,__text) non-external +[MPAuthoringUtilities ignoreTransitionListFromOptions:]
00000001dc04f980 (__TEXT,__text) non-external +[MPAuthoringUtilities introDurationFromOptions:]
00000001dc04fc84 (__TEXT,__text) non-external +[MPAuthoringUtilities introEffectIDFromOptions:]
00000001dc05171c (__TEXT,__text) non-external +[MPAuthoringUtilities isLayerEffectAuthoredFromOptions:]
00000001dc051900 (__TEXT,__text) non-external +[MPAuthoringUtilities kbCenterPointFromRect:]
00000001dc04e7d8 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsAlwaysZoomInFromOptions:]
00000001dc04e85c (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsBreaksFromOptions:]
00000001dc04e764 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsEndZoomLevelFromOptions:]
00000001dc04e964 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsLevelFromOptions:]
00000001dc04e578 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsLikelihoodFromOptions:]
00000001dc04e9f4 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsOffsetTypeFromOptions:]
00000001dc04e660 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsPanFactorFromOptions:]
00000001dc04e6f0 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsStartZoomLevelFromOptions:]
00000001dc04f694 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsZoomFactorFromOptions:]
00000001dc050018 (__TEXT,__text) non-external +[MPAuthoringUtilities lastPresetFromOptions:]
00000001dc04ea7c (__TEXT,__text) non-external +[MPAuthoringUtilities layerCanSkipScaleCalculation:withOptions:]
00000001dc05038c (__TEXT,__text) non-external +[MPAuthoringUtilities layerDescriptionForLayerWithZIndex:forStyle:]
00000001dc0504d4 (__TEXT,__text) non-external +[MPAuthoringUtilities layerHasImagesFromOptions:]
00000001dc04e36c (__TEXT,__text) non-external +[MPAuthoringUtilities layerIndexFromOptions:]
00000001dc04eff8 (__TEXT,__text) non-external +[MPAuthoringUtilities layerOffsetFromOptions:]
00000001dc04ecec (__TEXT,__text) non-external +[MPAuthoringUtilities layerTimeScaleFromOptions:]
00000001dc0510cc (__TEXT,__text) non-external +[MPAuthoringUtilities layerTypeFromOptions:]
00000001dc04ec48 (__TEXT,__text) non-external +[MPAuthoringUtilities lockTransitionDurationFromOptions:]
00000001dc050244 (__TEXT,__text) non-external +[MPAuthoringUtilities loopTransitionIDFromOptions:]
00000001dc051698 (__TEXT,__text) non-external +[MPAuthoringUtilities matchEffectsUsingTagsFromOptions:]
00000001dc04eea8 (__TEXT,__text) non-external +[MPAuthoringUtilities matchPhasesWithTransitionFromOptions:]
00000001dc04e624 (__TEXT,__text) non-external +[MPAuthoringUtilities maxKenBurnsZoomFromOptions:]
00000001dc04fc3c (__TEXT,__text) non-external +[MPAuthoringUtilities maxNumberOfSlidesToPreloadFromOptions:]
00000001dc05068c (__TEXT,__text) non-external +[MPAuthoringUtilities maximumTransitionDurationFromOptions:]
00000001dc050738 (__TEXT,__text) non-external +[MPAuthoringUtilities minimumEffectDurationFromOptions:]
00000001dc04fbf8 (__TEXT,__text) non-external +[MPAuthoringUtilities minimumNumberOfDynamicSlidesToAddFromOptions:]
00000001dc0505e4 (__TEXT,__text) non-external +[MPAuthoringUtilities minimumTransitionDurationFromOptions:]
00000001dc050868 (__TEXT,__text) non-external +[MPAuthoringUtilities movieVolumeFromOptions:]
00000001dc0519f0 (__TEXT,__text) non-external +[MPAuthoringUtilities multilineSizeFactorFromOptions:]
00000001dc050b98 (__TEXT,__text) non-external +[MPAuthoringUtilities needsFitMovieAttributeFromOptions:]
00000001dc05057c (__TEXT,__text) non-external +[MPAuthoringUtilities numberOfLayersFromOptions:]
00000001dc04faac (__TEXT,__text) non-external +[MPAuthoringUtilities outroDurationFromOptions:]
00000001dc04f8c4 (__TEXT,__text) non-external +[MPAuthoringUtilities outroEffectIDFromOptions:]
00000001dc050824 (__TEXT,__text) non-external +[MPAuthoringUtilities padTextOnlyEffects:]
00000001dc051200 (__TEXT,__text) non-external +[MPAuthoringUtilities performFaceDetectionFromOptions:]
00000001dc050cb0 (__TEXT,__text) non-external +[MPAuthoringUtilities pickEffectsEvenlyByIDWithOptions:]
00000001dc050c00 (__TEXT,__text) non-external +[MPAuthoringUtilities pickTransitionsEvenlyByIDWithOptions:]
00000001dc05142c (__TEXT,__text) non-external +[MPAuthoringUtilities portraitBreakDurationScaleFromOptions:]
00000001dc051050 (__TEXT,__text) non-external +[MPAuthoringUtilities presentationOrderFromOptions:]
00000001dc04fe90 (__TEXT,__text) non-external +[MPAuthoringUtilities presetIDFromPresetID:]
00000001dc04f540 (__TEXT,__text) non-external +[MPAuthoringUtilities randomSeedFromOptions:]
00000001dc05113c (__TEXT,__text) non-external +[MPAuthoringUtilities reconfigureRangeFromOptions:]
00000001dc0518d0 (__TEXT,__text) non-external +[MPAuthoringUtilities rectToFitIn:withAspectRatio:]
00000001dc051184 (__TEXT,__text) non-external +[MPAuthoringUtilities regionOfInterestPickModeFromOptions:]
00000001dc050a00 (__TEXT,__text) non-external +[MPAuthoringUtilities reorderModeFromOptions:]
00000001dc04f770 (__TEXT,__text) non-external +[MPAuthoringUtilities repeatTransitionsFromOptions:]
00000001dc04ed8c (__TEXT,__text) non-external +[MPAuthoringUtilities replaceAudioPlaylistFromOptions:]
00000001dc050e84 (__TEXT,__text) non-external +[MPAuthoringUtilities requestGeneratedImagesFromOptions:]
00000001dc051318 (__TEXT,__text) non-external +[MPAuthoringUtilities scaleEffectsForPanoramasFromOptions:]
00000001dc04fb54 (__TEXT,__text) non-external +[MPAuthoringUtilities scaleOutroEffectFromOptions:]
00000001dc051588 (__TEXT,__text) non-external +[MPAuthoringUtilities screenSizeFromOptions:]
00000001dc04fef8 (__TEXT,__text) non-external +[MPAuthoringUtilities shouldComputeFramesFromOptions:]
00000001dc050160 (__TEXT,__text) non-external +[MPAuthoringUtilities shouldComputeLoopTransitionFromOptions:]
00000001dc0500b4 (__TEXT,__text) non-external +[MPAuthoringUtilities shouldComputeSlideFiltersFromOptions:]
00000001dc04ff68 (__TEXT,__text) non-external +[MPAuthoringUtilities shouldComputeTransitionsFromOptions:]
00000001dc050fc4 (__TEXT,__text) non-external +[MPAuthoringUtilities shouldDuckMoviesFromOptions:]
00000001dc04e334 (__TEXT,__text) non-external +[MPAuthoringUtilities styleFromOptions:]
00000001dc051268 (__TEXT,__text) non-external +[MPAuthoringUtilities subtitlesFromOptions:]
00000001dc04fd20 (__TEXT,__text) non-external +[MPAuthoringUtilities titleEffectFromOptions:]
00000001dc04f270 (__TEXT,__text) non-external +[MPAuthoringUtilities transitionDurationFromOptions:]
00000001dc04f82c (__TEXT,__text) non-external +[MPAuthoringUtilities transitionListFromOptions:]
