00007ffa19ff6b5b (__TEXT,__text) non-external _DiToMD5
00007ffa19fdc412 (__TEXT,__text) external _IOLogBuffer
00007ffa19fdc631 (__TEXT,__text) external _IOLogv
00007ffa19fdc759 (__TEXT,__text) external _IOMalloc
00007ffa19fdc790 (__TEXT,__text) external _IOMallocData
00007ffa19fdc774 (__TEXT,__text) external _IOMallocZero
00007ffa19fdc7ab (__TEXT,__text) external _IOMallocZeroData
00007ffa41e72218 (__DATA_CONST,__const) external _IOMemoryDescriptor_Class
00007ffa41e723c8 (__DATA_CONST,__const) external _IOMemoryMap_Class
00007ffa19fdc86a (__TEXT,__text) external _IOParseBootArgNumber
00007ffa19fdccef (__TEXT,__text) external _IOParseBootArgString
00007ffa19fde28b (__TEXT,__text) external _IORPCMessageFromMach
00007ffa1a006154 (__TEXT,__text) non-external _IORPCMessageFromMach.cold.1
00007ffa1a006189 (__TEXT,__text) non-external _IORPCMessageFromMach.cold.2
00007ffa19fdf28b (__TEXT,__text) external _IORWLockAlloc
00007ffa1a006513 (__TEXT,__text) non-external _IORWLockAlloc.cold.1
00007ffa19fdf2c0 (__TEXT,__text) external _IORWLockFree
00007ffa19fdf2e7 (__TEXT,__text) external _IORWLockRead
00007ffa1a006536 (__TEXT,__text) non-external _IORWLockRead.cold.1
00007ffa19fdf30f (__TEXT,__text) external _IORWLockUnlock
00007ffa1a00657c (__TEXT,__text) non-external _IORWLockUnlock.cold.1
00007ffa19fdf2fb (__TEXT,__text) external _IORWLockWrite
00007ffa1a006559 (__TEXT,__text) non-external _IORWLockWrite.cold.1
00007ffa19fdf115 (__TEXT,__text) external _IORecursiveConditionLockAlloc
00007ffa19fdf141 (__TEXT,__text) external _IORecursiveConditionLockFree
00007ffa19fdf1fd (__TEXT,__text) external _IORecursiveConditionLockHaveLock
00007ffa1a0064aa (__TEXT,__text) non-external _IORecursiveConditionLockHaveLock.cold.1
00007ffa19fdf157 (__TEXT,__text) external _IORecursiveConditionLockLock
00007ffa1a00641e (__TEXT,__text) non-external _IORecursiveConditionLockLock.cold.1
00007ffa1a006441 (__TEXT,__text) non-external _IORecursiveConditionLockLock.cold.2
00007ffa19fdf22d (__TEXT,__text) external _IORecursiveConditionLockTryLock
00007ffa1a0064cd (__TEXT,__text) non-external _IORecursiveConditionLockTryLock.cold.1
00007ffa1a0064f0 (__TEXT,__text) non-external _IORecursiveConditionLockTryLock.cold.2
00007ffa19fdf1ab (__TEXT,__text) external _IORecursiveConditionLockUnlock
00007ffa1a006464 (__TEXT,__text) non-external _IORecursiveConditionLockUnlock.cold.1
00007ffa1a006487 (__TEXT,__text) non-external _IORecursiveConditionLockUnlock.cold.2
00007ffa19fdf0b9 (__TEXT,__text) external _IORecursiveLockAlloc
00007ffa19fdf0d5 (__TEXT,__text) external _IORecursiveLockFree
00007ffa19fdf101 (__TEXT,__text) external _IORecursiveLockHaveLock
00007ffa19fdf0eb (__TEXT,__text) external _IORecursiveLockLock
00007ffa19fdf10b (__TEXT,__text) external _IORecursiveLockTryLock
00007ffa19fdf0f7 (__TEXT,__text) external _IORecursiveLockUnlock
00007ffa41e727f8 (__DATA_CONST,__const) external _IOReportLegend_Class
00007ffa41e72578 (__DATA_CONST,__const) external _IOReporter_Class
00007ffa41e72c00 (__DATA_CONST,__const) external _IOServiceNotificationDispatchSource_Class
00007ffa41e72d60 (__DATA_CONST,__const) external _IOServiceStateNotificationDispatchSource_Class
00007ffa41e72a50 (__DATA_CONST,__const) external _IOService_Class
00007ffa41e72618 (__DATA_CONST,__const) external _IOSimpleReporter_Class
00007ffa19fdc7c7 (__TEXT,__text) external _IOSleep
00007ffa41e726b8 (__DATA_CONST,__const) external _IOStateReporter_Class
00007ffa19fdf395 (__TEXT,__text) external _IOThreadLocalStorageGet
00007ffa19fdf323 (__TEXT,__text) external _IOThreadLocalStorageKeyCreate
00007ffa19fdf35f (__TEXT,__text) external _IOThreadLocalStorageKeyDelete
00007ffa19fdf374 (__TEXT,__text) external _IOThreadLocalStorageSet
00007ffa41e749d0 (__DATA_CONST,__const) external _IOThread_Class
00007ffa41e72ec0 (__DATA_CONST,__const) external _IOTimerDispatchSource_Class
00007ffa41e73070 (__DATA_CONST,__const) external _IOUserClient_Class
00007ffa19fdfd07 (__TEXT,__text) external _IOUserServerMain
00007ffa1a00686c (__TEXT,__text) non-external _IOUserServerMain.cold.1
00007ffa1a0069a7 (__TEXT,__text) non-external _IOUserServerMain.cold.10
00007ffa1a00688f (__TEXT,__text) non-external _IOUserServerMain.cold.2
00007ffa1a0068b2 (__TEXT,__text) non-external _IOUserServerMain.cold.3
00007ffa1a0068d5 (__TEXT,__text) non-external _IOUserServerMain.cold.4
00007ffa1a0068f8 (__TEXT,__text) non-external _IOUserServerMain.cold.5
00007ffa1a00691b (__TEXT,__text) non-external _IOUserServerMain.cold.6
00007ffa1a00693e (__TEXT,__text) non-external _IOUserServerMain.cold.7
00007ffa1a006961 (__TEXT,__text) non-external _IOUserServerMain.cold.8
00007ffa1a006984 (__TEXT,__text) non-external _IOUserServerMain.cold.9
00007ffa41e73350 (__DATA_CONST,__const) external _IOUserServer_Class
00007ffa4442cbe0 (__DATA_DIRTY,__common) external _IOVMPageSize
00007ffa41e73500 (__DATA_CONST,__const) external _IOWorkGroup_Class
00007ffa19ff6cf2 (__TEXT,__text) external _MD5Final
00007ffa19ff6ac0 (__TEXT,__text) external _MD5Init
00007ffa19ff6c7b (__TEXT,__text) non-external _MD5ToDi
00007ffa19ff6bbe (__TEXT,__text) external _MD5Update
                 (undefined) external _NDR_record (from libSystem)
00007ffa41e73660 (__DATA_CONST,__const) external _OSAction_Class
00007ffa41e73110 (__DATA_CONST,__const) external _OSAction_IOUserClient_KernelCompletion_Class
00007ffa41e74760 (__DATA_CONST,__const) external _OSAction__IOBlockStorageDevice_KernelCompletion_Class
00007ffa19fe83e7 (__TEXT,__text) external _OSArrayAppendValue
00007ffa19fe807f (__TEXT,__text) external _OSArrayApply
00007ffa19fe802b (__TEXT,__text) external _OSArrayCreate
00007ffa19fe7723 (__TEXT,__text) external _OSArrayGetCount
00007ffa19fe8475 (__TEXT,__text) external _OSArrayGetStringValue
00007ffa19fe84e5 (__TEXT,__text) external _OSArrayGetUInt64Value
00007ffa19fe841b (__TEXT,__text) external _OSArrayGetValue
00007ffa19fe83d8 (__TEXT,__text) external _OSArrayReplaceValue
00007ffa19fe84a0 (__TEXT,__text) external _OSArraySetStringValue
00007ffa19fe85ab (__TEXT,__text) external _OSArraySetUInt64Value
00007ffa19fe8251 (__TEXT,__text) external _OSArraySetValue
00007ffa41e73810 (__DATA_CONST,__const) external _OSArray_Class
00007ffa41e73908 (__DATA_CONST,__const) external _OSBoolean_Class
00007ffa41e73a00 (__DATA_CONST,__const) external _OSBundle_Class
00007ffa19fe6412 (__TEXT,__text) external _OSCollectionTypeID
00007ffa1a0074b5 (__TEXT,__text) non-external _OSCollectionTypeID.cold.1
00007ffa19fe6398 (__TEXT,__text) external _OSCollectionTypeName
00007ffa1a007471 (__TEXT,__text) non-external _OSCollectionTypeName.cold.1
00007ffa41e73af8 (__DATA_CONST,__const) external _OSCollection_Class
00007ffa19feac66 (__TEXT,__text) external _OSCollectionsInitialize
00007ffa41e73bf0 (__DATA_CONST,__const) external _OSContainer_Class
00007ffa19fe646e (__TEXT,__text) external _OSCreateObjectFromSerialization
00007ffa1a0074fb (__TEXT,__text) non-external _OSCreateObjectFromSerialization.cold.1
00007ffa19fe8eae (__TEXT,__text) external _OSCreateSerializationFromBytes
00007ffa1a007a29 (__TEXT,__text) non-external _OSCreateSerializationFromBytes.cold.1
00007ffa19fe8db0 (__TEXT,__text) external _OSCreateSerializationFromObject
00007ffa19fe75a8 (__TEXT,__text) external _OSDataAppendBytes
00007ffa19fe7508 (__TEXT,__text) external _OSDataCreate
00007ffa1a00769b (__TEXT,__text) non-external _OSDataCreate.cold.1
00007ffa19fe74b7 (__TEXT,__text) external _OSDataGetBytes
00007ffa19fe746e (__TEXT,__text) external _OSDataGetBytesPtr
00007ffa19fe74a6 (__TEXT,__text) external _OSDataGetLength
00007ffa41e73d50 (__DATA_CONST,__const) external _OSData_Class
00007ffa19fe7730 (__TEXT,__text) external _OSDictionaryApply
00007ffa19fe76c2 (__TEXT,__text) external _OSDictionaryCreate
00007ffa19fe7716 (__TEXT,__text) external _OSDictionaryGetCount
00007ffa19fe7dab (__TEXT,__text) external _OSDictionaryGetStringValue
00007ffa19fe7f4e (__TEXT,__text) external _OSDictionaryGetUInt64Value
00007ffa19fe7d0e (__TEXT,__text) external _OSDictionaryGetValue
00007ffa19fe7f09 (__TEXT,__text) external _OSDictionarySetStringValue
00007ffa19fe7fed (__TEXT,__text) external _OSDictionarySetUInt64Value
00007ffa19fe79cc (__TEXT,__text) external _OSDictionarySetValue
00007ffa41e73e48 (__DATA_CONST,__const) external _OSDictionary_Class
00007ffa41e73f40 (__DATA_CONST,__const) external _OSMappedFile_Class
00007ffa19fe7660 (__TEXT,__text) external _OSNumberCreateWithUInt64Value
00007ffa19fe763f (__TEXT,__text) external _OSNumberGetUInt64Value
00007ffa41e74038 (__DATA_CONST,__const) external _OSNumber_Class
00007ffa19fe94f8 (__TEXT,__text) external _OSObjectLog
00007ffa19fe63ce (__TEXT,__text) external _OSObjectRelease
00007ffa19fe63c3 (__TEXT,__text) external _OSObjectRetain
00007ffa41e74130 (__DATA_CONST,__const) external _OSObject_Class
00007ffa41e742e0 (__DATA_CONST,__const) external _OSOrderedSet_Class
00007ffa19fdccfe (__TEXT,__text) external _OSReportWithBacktrace
00007ffa19fe8fd7 (__TEXT,__text) external _OSSerializationGetBytes
00007ffa41e743d8 (__DATA_CONST,__const) external _OSSerialization_Class
00007ffa41e744d0 (__DATA_CONST,__const) external _OSSet_Class
00007ffa19fe6f21 (__TEXT,__text) external _OSStringCreate
00007ffa1a0075aa (__TEXT,__text) non-external _OSStringCreate.cold.1
00007ffa1a0075cd (__TEXT,__text) non-external _OSStringCreate.cold.2
00007ffa1a0075ee (__TEXT,__text) non-external _OSStringCreate.cold.3
00007ffa19fe6ed6 (__TEXT,__text) external _OSStringGetLength
00007ffa19fe6e9e (__TEXT,__text) external _OSStringGetStringPtr
00007ffa41e745c8 (__DATA_CONST,__const) external _OSString_Class
00007ffa19fdc7e1 (__TEXT,__text) external _OSSynchronizeIO
00007ffa430e30d0 (__DATA,__bss) non-external _OSUniqueStrings
00007ffa19fdd0ec (__TEXT,__text) external _PE_i_can_has_debugger
00007ffa19ff6fcc (__TEXT,__text) external _SHA1Final
00007ffa19ff6da0 (__TEXT,__text) external _SHA1Init
00007ffa19ff6f5e (__TEXT,__text) non-external _SHA1ToDi
00007ffa19ff6ea1 (__TEXT,__text) external _SHA1Update
00007ffa19ff7803 (__TEXT,__text) external _SHA256_Final
00007ffa19ff7797 (__TEXT,__text) external _SHA256_Init
00007ffa1a0081a0 (__TEXT,__text) non-external _SHA256_Init.cold.1
00007ffa19ff77d0 (__TEXT,__text) external _SHA256_Update
00007ffa19ff7897 (__TEXT,__text) external _SHA384_Final
00007ffa19ff7828 (__TEXT,__text) external _SHA384_Init
00007ffa1a0081b9 (__TEXT,__text) non-external _SHA384_Init.cold.1
00007ffa19ff7864 (__TEXT,__text) external _SHA384_Update
00007ffa19ff792b (__TEXT,__text) external _SHA512_Final
00007ffa19ff78bc (__TEXT,__text) external _SHA512_Init
00007ffa1a0081d2 (__TEXT,__text) non-external _SHA512_Init.cold.1
00007ffa19ff78f8 (__TEXT,__text) external _SHA512_Update
                 (undefined) external __Block_copy (from libSystem)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __Block_release (from libSystem)
00007ffa19fdd74a (__TEXT,__text) non-external __GLOBAL__sub_I_IOLib.cpp
00007ffa19ff7950 (__TEXT,__text) non-external __GLOBAL__sub_I_ObjectIntrospection.mm
00007ffa41e746c0 (__DATA_CONST,__const) external __IOBlockStorageDevice_Class
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __NSGetExecutablePath (from libSystem)
00007ffa19fddabb (__TEXT,__text) non-external (was a private external) __Z11OSFindClassP18IOUserServer_IVarsPKc
00007ffa1a005f0e (__TEXT,__text) non-external __Z11OSFindClassP18IOUserServer_IVarsPKc.cold.1
00007ffa1a005f31 (__TEXT,__text) non-external __Z11OSFindClassP18IOUserServer_IVarsPKc.cold.2
00007ffa19fdf39f (__TEXT,__text) non-external (was a private external) __Z11ThreadStartPFPvS_ES_
00007ffa1a00659f (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.1
00007ffa1a0065c2 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.2
00007ffa1a0065e5 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.3
00007ffa1a006608 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.4
00007ffa1a00662b (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.5
00007ffa19fde4c6 (__TEXT,__text) non-external (was a private external) __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC
00007ffa1a006238 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.1
00007ffa1a00625b (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.2
00007ffa1a00627e (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.3
00007ffa1a0062a1 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.4
00007ffa1a0062e3 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.5
00007ffa19fddd7a (__TEXT,__text) non-external (was a private external) __Z12OSObjectFreeP15OSMetaClassBase
00007ffa1a005fbd (__TEXT,__text) non-external __Z12OSObjectFreeP15OSMetaClassBase.cold.1
00007ffa19fe83fd (__TEXT,__text) non-external (was a private external) __Z15OSArrayGetEntryP7OSArraym
00007ffa19feac04 (__TEXT,__text) non-external (was a private external) __Z15OSBooleanCreatev
00007ffa19fdd8fa (__TEXT,__text) non-external (was a private external) __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass
00007ffa1a005ea5 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.1
00007ffa1a005ec8 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.2
00007ffa1a005eeb (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.3
00007ffa19fe8510 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetStringP7OSArraym
00007ffa19fe8580 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetUInt64P7OSArraym
00007ffa19fe853b (__TEXT,__text) non-external (was a private external) __Z16OSArraySetStringP7OSArraymPKc
00007ffa19fddb13 (__TEXT,__text) external __Z16OSObjectAllocateP11OSMetaClassPP8OSObject
00007ffa19fe88ec (__TEXT,__text) non-external (was a private external) __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry
00007ffa1a007911 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.1
00007ffa1a007934 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.2
00007ffa1a007957 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.3
00007ffa1a00797a (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.4
00007ffa1a00799d (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.5
00007ffa1a0079c0 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.6
00007ffa19fdc2c8 (__TEXT,__text) external __Z16OSUnserializeXMLPKcPP8OSString
00007ffa19fdc3c2 (__TEXT,__text) external __Z16OSUnserializeXMLPKcmPP8OSString
00007ffa19fde04f (__TEXT,__text) external __Z17OSObjectTryRetainP8OSObject
00007ffa1a006001 (__TEXT,__text) non-external __Z17OSObjectTryRetainP8OSObject.cold.1
00007ffa19fde12a (__TEXT,__text) non-external (was a private external) __Z17SearchMethodArrayyPKyjPy
00007ffa19fdfaeb (__TEXT,__text) non-external (was a private external) __Z18OSLoadBundleByPathP18IOUserServer_IVarsPKc
00007ffa19fdd86c (__TEXT,__text) non-external (was a private external) __Z18OSStringArrayIndexP10IOPStringsPKc
00007ffa19fdd7d3 (__TEXT,__text) non-external (was a private external) __Z19OSCopyInStringArrayPKcj
00007ffa19fe8ff5 (__TEXT,__text) non-external (was a private external) __Z19OSObjectLogInternalP8OSObjectj
00007ffa1a007a4c (__TEXT,__text) non-external __Z19OSObjectLogInternalP8OSObjectj.cold.1
00007ffa19fddc85 (__TEXT,__text) non-external (was a private external) __Z20OSObjectPortFinalizeP15OSMetaClassBase
00007ffa1a005f77 (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.1
00007ffa1a005f9a (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.2
00007ffa19fe643b (__TEXT,__text) non-external (was a private external) __Z20OSSerializationValueP15OSSerializationj
00007ffa1a0074d8 (__TEXT,__text) non-external __Z20OSSerializationValueP15OSSerializationj.cold.1
00007ffa19fe63d9 (__TEXT,__text) non-external (was a private external) __Z21OSSerializationTypeIDj
00007ffa1a007492 (__TEXT,__text) non-external __Z21OSSerializationTypeIDj.cold.1
00007ffa19fdab00 (__TEXT,__text) non-external (was a private external) __Z21OSUnserializeXMLparsePv
00007ffa1a005d6c (__TEXT,__text) non-external __Z21OSUnserializeXMLparsePv.cold.1
00007ffa19fe7422 (__TEXT,__text) non-external (was a private external) __Z23OSSerializationGetBytesPKjPvmm
00007ffa19fe85e9 (__TEXT,__text) non-external (was a private external) __Z26OSSerializationAppendBytesP15OSSerializationPKvm
00007ffa1a007727 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.1
00007ffa1a00774a (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.2
00007ffa1a00776d (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.3
00007ffa1a007790 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.4
00007ffa1a0077b3 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.5
00007ffa19fe73ee (__TEXT,__text) non-external (was a private external) __Z26OSSerializationGetBytesPtrPKjmm
00007ffa19fe7623 (__TEXT,__text) non-external (was a private external) __Z29OSSerializationGetUInt64ValuePKj
00007ffa19fe8716 (__TEXT,__text) non-external (was a private external) __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry
00007ffa1a0077d6 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.1
00007ffa1a0077f9 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.2
00007ffa1a00781c (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.3
00007ffa19fdf4a0 (__TEXT,__text) non-external (was a private external) __Z6ServerPvP17mach_msg_header_tS1_
00007ffa1a00664e (__TEXT,__text) non-external __Z6ServerPvP17mach_msg_header_tS1_.cold.1
00007ffa1a006671 (__TEXT,__text) non-external __Z6ServerPvP17mach_msg_header_tS1_.cold.2
00007ffa19fdfac3 (__TEXT,__text) non-external (was a private external) __Z7astrcpyPKc
00007ffa19fdeebc (__TEXT,__text) non-external __ZL10IORPCAsyncPv
00007ffa1a004a6a (__TEXT,__text) non-external __ZL10OSData_NewP11OSMetaClass
00007ffa19fdc1cc (__TEXT,__text) non-external __ZL10buildArrayP12parser_stateP6object
00007ffa19fe6206 (__TEXT,__text) non-external __ZL10uiomessagePv
00007ffa1a004914 (__TEXT,__text) non-external __ZL11OSArray_NewP11OSMetaClass
00007ffa19fea142 (__TEXT,__text) non-external __ZL11OSSetCreatev
00007ffa1a0086b0 (__TEXT,__const) non-external __ZL11yytranslate
00007ffa1a005b9c (__TEXT,__text) non-external __ZL12IOThread_NewP11OSMetaClass
00007ffa1a004334 (__TEXT,__text) non-external __ZL12OSAction_NewP11OSMetaClass
00007ffa1a0049b0 (__TEXT,__text) non-external __ZL12OSBundle_NewP11OSMetaClass
00007ffa1a004b4e (__TEXT,__text) non-external __ZL12OSNumber_NewP11OSMetaClass
00007ffa1a004b96 (__TEXT,__text) non-external __ZL12OSObject_NewP11OSMetaClass
00007ffa19fe71e2 (__TEXT,__text) non-external __ZL12OSStringFindjU13block_pointerFbP8OSStringE
00007ffa19fe71a4 (__TEXT,__text) non-external __ZL12OSStringHashPKcm
00007ffa1a007611 (__TEXT,__text) non-external __ZL12OSStringHashPKcm.cold.1
00007ffa1a005214 (__TEXT,__text) non-external __ZL12OSString_NewP11OSMetaClass
00007ffa19ff7e16 (__TEXT,__text) non-external __ZL13IOCommand_NewP11OSMetaClass
00007ffa19ffc304 (__TEXT,__text) non-external __ZL13IOService_NewP11OSMetaClass
00007ffa19fe5272 (__TEXT,__text) non-external __ZL13IOThreadStartPv
00007ffa1a007261 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.1
00007ffa1a007284 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.2
00007ffa1a0072a7 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.3
00007ffa1a004968 (__TEXT,__text) non-external __ZL13OSBoolean_NewP11OSMetaClass
00007ffa19ffc1a4 (__TEXT,__text) non-external __ZL14IOReporter_NewP11OSMetaClass
00007ffa19fe0dd6 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si
00007ffa1a006ced (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.1
00007ffa1a006d10 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.2
00007ffa1a006d33 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.3
00007ffa1a006d56 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.4
00007ffa19ffa5a0 (__TEXT,__text) non-external __ZL15IOEventLink_NewP11OSMetaClass
00007ffa19ffbeee (__TEXT,__text) non-external __ZL15IOMemoryMap_NewP11OSMetaClass
00007ffa1a003d10 (__TEXT,__text) non-external __ZL15IOWorkGroup_NewP11OSMetaClass
00007ffa1a004a22 (__TEXT,__text) non-external __ZL15OSContainer_NewP11OSMetaClass
00007ffa19fdf7a0 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb
00007ffa1a006694 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.1
00007ffa1a0066b7 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.2
00007ffa1a0066da (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.3
00007ffa1a0066fd (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.4
00007ffa19fe05a0 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc
00007ffa1a006af2 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.1
00007ffa1a006b15 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.2
00007ffa1a006b38 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.3
00007ffa1a006b5b (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.4
00007ffa19fe5c4f (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject
00007ffa1a007356 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.1
00007ffa1a007379 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.2
00007ffa1a00739c (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.3
00007ffa1a0073bf (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.4
00007ffa1a0073e2 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.5
