00007ffa1fd4f5fc (__TEXT,__text) non-external +[Cube initialize]
00007ffa1fcadb60 (__TEXT,__text) non-external +[MEExporter(Private) createTemporaryDirectoryForPath:error:]
00007ffa1fcadf6c (__TEXT,__text) non-external +[MEExporter(Private) localizedString:]
00007ffa1fcae1ff (__TEXT,__text) non-external +[MEExporterManager releaseSharedManager]
00007ffa1fcae190 (__TEXT,__text) non-external +[MEExporterManager sharedManager]
00007ffa1fcfe1cc (__TEXT,__text) non-external +[MEImageExporter operationWithOriginalPath:loadedImage:size:andDestinationPath:]
00007ffa1fcfe175 (__TEXT,__text) non-external +[MEImageExporter operationWithOriginalPath:size:andDestinationPath:]
00007ffa1fcfe114 (__TEXT,__text) non-external +[MEImageExporter operationWithOriginalPath:size:blackWhite:andDestinationPath:]
00007ffa1fcaf034 (__TEXT,__text) non-external +[MEPluginHTML5 matchesOptions:]
00007ffa1fcaefc8 (__TEXT,__text) non-external +[MEPluginHTML5 registerPluginsToLoader:]
00007ffa1fce8342 (__TEXT,__text) non-external +[MEPluginPDF matchesOptions:]
00007ffa1fce82d6 (__TEXT,__text) non-external +[MEPluginPDF registerPluginsToLoader:]
00007ffa1fd7a150 (__TEXT,__text) non-external +[MEPluginVideoAVFoundation matchesOptions:]
00007ffa1fd7a0cb (__TEXT,__text) non-external +[MEPluginVideoAVFoundation registerPluginsToLoader:]
00007ffa1fd7c758 (__TEXT,__text) non-external +[MEPluginVideoImageSequence matchesOptions:]
00007ffa1fd7c6d3 (__TEXT,__text) non-external +[MEPluginVideoImageSequence registerPluginsToLoader:]
00007ffa1facad98 (__TEXT,__text) non-external +[MPAction action]
00007ffa1facad8d (__TEXT,__text) non-external +[MPAction supportsSecureCoding]
00007ffa1facd267 (__TEXT,__text) non-external +[MPActionGroup actionGroup]
00007ffa1facd280 (__TEXT,__text) non-external +[MPActionGroup supportsSecureCoding]
00007ffa1facc00c (__TEXT,__text) non-external +[MPActionTrigger actionTrigger]
00007ffa1facc001 (__TEXT,__text) non-external +[MPActionTrigger supportsSecureCoding]
00007ffa1face0e1 (__TEXT,__text) non-external +[MPAnimatedSet supportsSecureCoding]
00007ffa1fad18a8 (__TEXT,__text) non-external +[MPAnimationKeyframe supportsSecureCoding]
00007ffa1fad1e48 (__TEXT,__text) non-external +[MPAnimationKeyframe1D keyframe1DWithScalar:atTime:]
00007ffa1fad1e88 (__TEXT,__text) non-external +[MPAnimationKeyframe1D keyframe1DWithScalar:atTime:offsetType:]
00007ffa1fad1e3d (__TEXT,__text) non-external +[MPAnimationKeyframe1D supportsSecureCoding]
00007ffa1fad22c0 (__TEXT,__text) non-external +[MPAnimationKeyframe2D keyframe2DWithPoint:atTime:]
00007ffa1fad230a (__TEXT,__text) non-external +[MPAnimationKeyframe2D keyframe2DWithPoint:atTime:offsetType:]
00007ffa1fad22b5 (__TEXT,__text) non-external +[MPAnimationKeyframe2D supportsSecureCoding]
00007ffa1fad37cb (__TEXT,__text) non-external +[MPAnimationKeyframeFunction keyframeFunctionWithFunction:atTime:offsetType:withDuration:]
00007ffa1fad3783 (__TEXT,__text) non-external +[MPAnimationKeyframeFunction keyframeFunctionWithFunction:atTime:withDuration:]
00007ffa1fad3778 (__TEXT,__text) non-external +[MPAnimationKeyframeFunction supportsSecureCoding]
00007ffa1fad32f9 (__TEXT,__text) non-external +[MPAnimationKeyframeVector keyframeVectorWithVector:atTime:]
00007ffa1fad3334 (__TEXT,__text) non-external +[MPAnimationKeyframeVector keyframeVectorWithVector:atTime:offsetType:]
00007ffa1fad32ee (__TEXT,__text) non-external +[MPAnimationKeyframeVector supportsSecureCoding]
00007ffa1fad4561 (__TEXT,__text) non-external +[MPAnimationManager releaseSharedManager]
00007ffa1fad44f0 (__TEXT,__text) non-external +[MPAnimationManager sharedManager]
00007ffa1fad463b (__TEXT,__text) non-external +[MPAnimationManager(Private) loadAnimationManagerWithPaths:]
00007ffa1fad4b4f (__TEXT,__text) non-external +[MPAnimationPath animationPath]
00007ffa1fad4b44 (__TEXT,__text) non-external +[MPAnimationPath supportsSecureCoding]
00007ffa1fad4dbf (__TEXT,__text) non-external +[MPAnimationPathCombo animationPath]
00007ffa1fad4db4 (__TEXT,__text) non-external +[MPAnimationPathCombo supportsSecureCoding]
00007ffa1fad5673 (__TEXT,__text) non-external +[MPAnimationPathKeyframed animationPath]
00007ffa1fad5668 (__TEXT,__text) non-external +[MPAnimationPathKeyframed supportsSecureCoding]
00007ffa1facbb95 (__TEXT,__text) non-external +[MPAnimationTrigger animationTrigger]
00007ffa1facbb8a (__TEXT,__text) non-external +[MPAnimationTrigger supportsSecureCoding]
00007ffa1fad8db7 (__TEXT,__text) non-external +[MPAssetManager releaseSharedManager]
00007ffa1fad8dab (__TEXT,__text) non-external +[MPAssetManager setInhibitSharedManagerInit:]
00007ffa1fab678a (__TEXT,__text) non-external +[MPAssetManager sharedManager]
00007ffa1fad9b35 (__TEXT,__text) non-external +[MPAssetManager(ImageUtils) convertCGImageToBuffer:]
00007ffa1fad9e40 (__TEXT,__text) non-external +[MPAssetManager(ImageUtils) convertCGImageToBufferUsingDataProvider:]
00007ffa1fad9cc2 (__TEXT,__text) non-external +[MPAssetManager(ImageUtils) convertCGImageToBufferUsingRGBDevice:]
00007ffa1fada06f (__TEXT,__text) non-external +[MPAudioPlaylist audioPlaylist]
00007ffa1fada03e (__TEXT,__text) non-external +[MPAudioPlaylist automaticallyNotifiesObserversForKey:]
00007ffa1fada064 (__TEXT,__text) non-external +[MPAudioPlaylist supportsSecureCoding]
00007ffa1fadc21b (__TEXT,__text) non-external +[MPAuthoringController releaseSharedController]
00007ffa1fadc1bc (__TEXT,__text) non-external +[MPAuthoringController sharedController]
00007ffa1fb1aa22 (__TEXT,__text) non-external +[MPAuthoringUtilities alignToBeatsFromOptions:]
00007ffa1fb1d21b (__TEXT,__text) non-external +[MPAuthoringUtilities alwaysIncludeLastTransitionFromOptions:]
00007ffa1fb1b4f8 (__TEXT,__text) non-external +[MPAuthoringUtilities aspectRatioFromOptions:]
00007ffa1fb1da69 (__TEXT,__text) non-external +[MPAuthoringUtilities aspectRatioMatchesDefault:withOptions:]
00007ffa1fb1a175 (__TEXT,__text) non-external +[MPAuthoringUtilities audioDurationFactorFromOptions:]
00007ffa1fb1a137 (__TEXT,__text) non-external +[MPAuthoringUtilities audioDurationFromOptions:]
00007ffa1fb1a1b3 (__TEXT,__text) non-external +[MPAuthoringUtilities audioScalingModeFromOptions:]
00007ffa1fb1acbe (__TEXT,__text) non-external +[MPAuthoringUtilities backgroundColorFromOptions:]
00007ffa1fb1d727 (__TEXT,__text) non-external +[MPAuthoringUtilities baseBreakAspectRatioFromOptions:]
00007ffa1fb1d7b3 (__TEXT,__text) non-external +[MPAuthoringUtilities basePortraitBreakAspectRatioFromOptions:]
00007ffa1fb1ac75 (__TEXT,__text) non-external +[MPAuthoringUtilities beatFactorFromOptions:]
00007ffa1fb1d60f (__TEXT,__text) non-external +[MPAuthoringUtilities breakDurationScaleFromOptions:]
00007ffa1fb1cfc2 (__TEXT,__text) non-external +[MPAuthoringUtilities canAdjustPhaseDurations:]
00007ffa1fb1cc30 (__TEXT,__text) non-external +[MPAuthoringUtilities canHaveTransitionsFromOptions:]
00007ffa1fb1afa5 (__TEXT,__text) non-external +[MPAuthoringUtilities canRepeatEffectWithPreset:]
00007ffa1fb1b11b (__TEXT,__text) non-external +[MPAuthoringUtilities canRepeatPreset:]
00007ffa1fb1b690 (__TEXT,__text) non-external +[MPAuthoringUtilities collectVersionInformationFromOptions:]
00007ffa1fb1ca56 (__TEXT,__text) non-external +[MPAuthoringUtilities colorSchemeFromOptions:]
00007ffa1fb1aacc (__TEXT,__text) non-external +[MPAuthoringUtilities createBeatsFromOptions:]
00007ffa1fb1a291 (__TEXT,__text) non-external +[MPAuthoringUtilities croppingModeForFitMoviesFromOptions:]
00007ffa1fb1a1eb (__TEXT,__text) non-external +[MPAuthoringUtilities croppingModeFromOptions:]
00007ffa1fb1d4af (__TEXT,__text) non-external +[MPAuthoringUtilities customDurationsFromOptions:]
00007ffa1fb1dcdc (__TEXT,__text) non-external +[MPAuthoringUtilities distanceBetween:andPoint:]
00007ffa1fb1ae52 (__TEXT,__text) non-external +[MPAuthoringUtilities durationPerEffectFromOptions:]
00007ffa1fb1a709 (__TEXT,__text) non-external +[MPAuthoringUtilities easeKenBurnsPanFromOptions:]
00007ffa1fb1c99b (__TEXT,__text) non-external +[MPAuthoringUtilities effectDecidesTransitionFromOptions:]
00007ffa1fb1b53b (__TEXT,__text) non-external +[MPAuthoringUtilities effectListFromOptions:]
00007ffa1fb1b060 (__TEXT,__text) non-external +[MPAuthoringUtilities effectNeedsPreviousAttributesFromOptions:]
00007ffa1fb1c245 (__TEXT,__text) non-external +[MPAuthoringUtilities effectPadding:]
00007ffa1fb1c357 (__TEXT,__text) non-external +[MPAuthoringUtilities exportTransitionDurationFromOptions:]
00007ffa1fb1c2ed (__TEXT,__text) non-external +[MPAuthoringUtilities exportTransitionIDFromOptions:]
00007ffa1fb1d1a5 (__TEXT,__text) non-external +[MPAuthoringUtilities fadeOutAudioFromOptions:]
00007ffa1fb1d4ce (__TEXT,__text) non-external +[MPAuthoringUtilities fadeOutDurationFromOptions:]
00007ffa1fb1b454 (__TEXT,__text) non-external +[MPAuthoringUtilities fitMoviesWhenPossibleFromOptions:]
00007ffa1fb1da4a (__TEXT,__text) non-external +[MPAuthoringUtilities gapInformationFromOptions:]
00007ffa1fb1bde3 (__TEXT,__text) non-external +[MPAuthoringUtilities idFromPresetID:]
00007ffa1fb19dce (__TEXT,__text) non-external +[MPAuthoringUtilities ignoreClusteringForImages:withOptions:]
00007ffa1fb1b789 (__TEXT,__text) non-external +[MPAuthoringUtilities ignoreTransitionListFromOptions:]
00007ffa1fb1b910 (__TEXT,__text) non-external +[MPAuthoringUtilities introDurationFromOptions:]
00007ffa1fb1bc48 (__TEXT,__text) non-external +[MPAuthoringUtilities introEffectIDFromOptions:]
00007ffa1fb1d9c2 (__TEXT,__text) non-external +[MPAuthoringUtilities isLayerEffectAuthoredFromOptions:]
00007ffa1fb1dbfb (__TEXT,__text) non-external +[MPAuthoringUtilities kbCenterPointFromRect:]
00007ffa1fb1a5e3 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsAlwaysZoomInFromOptions:]
00007ffa1fb1a676 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsBreaksFromOptions:]
00007ffa1fb1a54e (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsEndZoomLevelFromOptions:]
00007ffa1fb1a79c (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsLevelFromOptions:]
00007ffa1fb1a306 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsLikelihoodFromOptions:]
00007ffa1fb1a852 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsOffsetTypeFromOptions:]
00007ffa1fb1a404 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsPanFactorFromOptions:]
00007ffa1fb1a4b9 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsStartZoomLevelFromOptions:]
00007ffa1fb1b5d7 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsZoomFactorFromOptions:]
00007ffa1fb1c018 (__TEXT,__text) non-external +[MPAuthoringUtilities lastPresetFromOptions:]
00007ffa1fb1a8ea (__TEXT,__text) non-external +[MPAuthoringUtilities layerCanSkipScaleCalculation:withOptions:]
00007ffa1fb1c3ce (__TEXT,__text) non-external +[MPAuthoringUtilities layerDescriptionForLayerWithZIndex:forStyle:]
00007ffa1fb1c57c (__TEXT,__text) non-external +[MPAuthoringUtilities layerHasImagesFromOptions:]
00007ffa1fb1a0ff (__TEXT,__text) non-external +[MPAuthoringUtilities layerIndexFromOptions:]
00007ffa1fb1af11 (__TEXT,__text) non-external +[MPAuthoringUtilities layerOffsetFromOptions:]
00007ffa1fb1abbf (__TEXT,__text) non-external +[MPAuthoringUtilities layerTimeScaleFromOptions:]
00007ffa1fb1d2da (__TEXT,__text) non-external +[MPAuthoringUtilities layerTypeFromOptions:]
00007ffa1fb1ab04 (__TEXT,__text) non-external +[MPAuthoringUtilities lockTransitionDurationFromOptions:]
00007ffa1fb1c283 (__TEXT,__text) non-external +[MPAuthoringUtilities loopTransitionIDFromOptions:]
00007ffa1fb1d93a (__TEXT,__text) non-external +[MPAuthoringUtilities matchEffectsUsingTagsFromOptions:]
00007ffa1fb1ad97 (__TEXT,__text) non-external +[MPAuthoringUtilities matchPhasesWithTransitionFromOptions:]
00007ffa1fb1a3c1 (__TEXT,__text) non-external +[MPAuthoringUtilities maxKenBurnsZoomFromOptions:]
00007ffa1fb1bc0d (__TEXT,__text) non-external +[MPAuthoringUtilities maxNumberOfSlidesToPreloadFromOptions:]
00007ffa1fb1c76b (__TEXT,__text) non-external +[MPAuthoringUtilities maximumTransitionDurationFromOptions:]
00007ffa1fb1c82c (__TEXT,__text) non-external +[MPAuthoringUtilities minimumEffectDurationFromOptions:]
00007ffa1fb1bbd5 (__TEXT,__text) non-external +[MPAuthoringUtilities minimumNumberOfDynamicSlidesToAddFromOptions:]
00007ffa1fb1c6af (__TEXT,__text) non-external +[MPAuthoringUtilities minimumTransitionDurationFromOptions:]
00007ffa1fb1c958 (__TEXT,__text) non-external +[MPAuthoringUtilities movieVolumeFromOptions:]
00007ffa1fb1dcfd (__TEXT,__text) non-external +[MPAuthoringUtilities multilineSizeFactorFromOptions:]
00007ffa1fb1cd2c (__TEXT,__text) non-external +[MPAuthoringUtilities needsFitMovieAttributeFromOptions:]
00007ffa1fb1c63a (__TEXT,__text) non-external +[MPAuthoringUtilities numberOfLayersFromOptions:]
00007ffa1fb1ba59 (__TEXT,__text) non-external +[MPAuthoringUtilities outroDurationFromOptions:]
00007ffa1fb1b84a (__TEXT,__text) non-external +[MPAuthoringUtilities outroEffectIDFromOptions:]
00007ffa1fb1c920 (__TEXT,__text) non-external +[MPAuthoringUtilities padTextOnlyEffects:]
00007ffa1fb1d413 (__TEXT,__text) non-external +[MPAuthoringUtilities performFaceDetectionFromOptions:]
00007ffa1fb1ce73 (__TEXT,__text) non-external +[MPAuthoringUtilities pickEffectsEvenlyByIDWithOptions:]
00007ffa1fb1cd9f (__TEXT,__text) non-external +[MPAuthoringUtilities pickTransitionsEvenlyByIDWithOptions:]
00007ffa1fb1d69b (__TEXT,__text) non-external +[MPAuthoringUtilities portraitBreakDurationScaleFromOptions:]
00007ffa1fb1d253 (__TEXT,__text) non-external +[MPAuthoringUtilities presentationOrderFromOptions:]
00007ffa1fb1be5a (__TEXT,__text) non-external +[MPAuthoringUtilities presetIDFromPresetID:]
00007ffa1fb1b48c (__TEXT,__text) non-external +[MPAuthoringUtilities randomSeedFromOptions:]
00007ffa1fb1d351 (__TEXT,__text) non-external +[MPAuthoringUtilities reconfigureRangeFromOptions:]
00007ffa1fb1dbba (__TEXT,__text) non-external +[MPAuthoringUtilities rectToFitIn:withAspectRatio:]
00007ffa1fb1d38c (__TEXT,__text) non-external +[MPAuthoringUtilities regionOfInterestPickModeFromOptions:]
00007ffa1fb1cb33 (__TEXT,__text) non-external +[MPAuthoringUtilities reorderModeFromOptions:]
00007ffa1fb1b6cb (__TEXT,__text) non-external +[MPAuthoringUtilities repeatTransitionsFromOptions:]
00007ffa1fb1ac83 (__TEXT,__text) non-external +[MPAuthoringUtilities replaceAudioPlaylistFromOptions:]
00007ffa1fb1d096 (__TEXT,__text) non-external +[MPAuthoringUtilities requestGeneratedImagesFromOptions:]
