000000018c0236e4 (__TEXT,__text) non-external _Annihilate
000000018c032730 (__TEXT,__text) non-external (was a private external) _BrotliCreateHuffmanTree
000000018c0391f0 (__TEXT,__text) non-external (was a private external) _BrotliCreateZopfliBackwardReferences
000000018c0289dc (__TEXT,__text) non-external (was a private external) _BrotliDecoderCreateInstance
000000018c028afc (__TEXT,__text) non-external (was a private external) _BrotliDecoderDecompress
000000018c028c18 (__TEXT,__text) non-external (was a private external) _BrotliDecoderDecompressStream
000000018c028a9c (__TEXT,__text) non-external (was a private external) _BrotliDecoderDestroyInstance
000000018c02cd28 (__TEXT,__text) non-external (was a private external) _BrotliDecoderErrorString
000000018c02cd20 (__TEXT,__text) non-external (was a private external) _BrotliDecoderGetErrorCode
000000018c02cbd0 (__TEXT,__text) non-external (was a private external) _BrotliDecoderHasMoreOutput
000000018c02ef58 (__TEXT,__text) non-external (was a private external) _BrotliDecoderHuffmanTreeGroupInit
000000018c02ccd4 (__TEXT,__text) non-external (was a private external) _BrotliDecoderIsFinished
000000018c02ccb4 (__TEXT,__text) non-external (was a private external) _BrotliDecoderIsUsed
000000018c028988 (__TEXT,__text) non-external (was a private external) _BrotliDecoderSetParameter
000000018c02ef14 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateCleanup
000000018c02ee94 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateCleanupAfterMetablock
000000018c02ed60 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateInit
000000018c02ee48 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateMetablockBegin
000000018c02cc08 (__TEXT,__text) non-external (was a private external) _BrotliDecoderTakeOutput
000000018c02cd50 (__TEXT,__text) non-external (was a private external) _BrotliDecoderVersion
000000018c02870c (__TEXT,__text) non-external (was a private external) _BrotliDefaultAllocFunc
000000018c028714 (__TEXT,__text) non-external (was a private external) _BrotliDefaultFreeFunc
000000018c024714 (__TEXT,__text) non-external (was a private external) _BrotliDestroyBlockSplit
000000018c017aac (__TEXT,__text) non-external (was a private external) _BrotliEncoderCompress
000000018c01967c (__TEXT,__text) non-external (was a private external) _BrotliEncoderCompressStream
000000018c017884 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCreateInstance
000000018c01799c (__TEXT,__text) non-external (was a private external) _BrotliEncoderDestroyInstance
000000018c01c4d4 (__TEXT,__text) non-external (was a private external) _BrotliEncoderHasMoreOutput
000000018c01a448 (__TEXT,__text) non-external (was a private external) _BrotliEncoderIsFinished
000000018c017a84 (__TEXT,__text) non-external (was a private external) _BrotliEncoderMaxCompressedSize
000000018c0177a0 (__TEXT,__text) non-external (was a private external) _BrotliEncoderSetParameter
000000018c01c4e4 (__TEXT,__text) non-external (was a private external) _BrotliEncoderTakeOutput
000000018c01c54c (__TEXT,__text) non-external (was a private external) _BrotliEncoderVersion
000000018c02b5ac (__TEXT,__text) non-external _BrotliEnsureRingBuffer
000000018c0315a4 (__TEXT,__text) non-external (was a private external) _BrotliEstimateBitCostsForLiterals
000000018c050634 (__TEXT,__text) non-external (was a private external) _BrotliFindAllStaticDictionaryMatches
000000018c0235a4 (__TEXT,__text) non-external (was a private external) _BrotliFree
000000018c023ba4 (__TEXT,__text) non-external (was a private external) _BrotliGetDictionary
000000018c03c0a8 (__TEXT,__text) non-external (was a private external) _BrotliGetTransforms
000000018c035e08 (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceCommand
000000018c0369f8 (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceDistance
000000018c035218 (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceLiteral
000000018c035b30 (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineCommand
000000018c036720 (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineDistance
000000018c034f40 (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineLiteral
000000018c03600c (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexCommand
000000018c036bfc (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexDistance
000000018c03541c (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexLiteral
000000018c035e9c (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapCommand
000000018c036a8c (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapDistance
000000018c0352ac (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapLiteral
000000018c0287ec (__TEXT,__text) non-external (was a private external) _BrotliInitBitReader
000000018c024704 (__TEXT,__text) non-external (was a private external) _BrotliInitBlockSplit
000000018c05de10 (__TEXT,__text) non-external (was a private external) _BrotliInitDistanceParams
000000018c03c034 (__TEXT,__text) non-external (was a private external) _BrotliInitEncoderDictionary
000000018c023414 (__TEXT,__text) non-external (was a private external) _BrotliInitMemoryManager
000000018c0378bc (__TEXT,__text) non-external (was a private external) _BrotliInitZopfliNodes
000000018c0524c8 (__TEXT,__text) non-external (was a private external) _BrotliIsMostlyUTF8
000000018c05f5c0 (__TEXT,__text) non-external (was a private external) _BrotliOptimizeHistograms
000000018c0329e4 (__TEXT,__text) non-external (was a private external) _BrotliOptimizeHuffmanCountsForRle
000000018c04115c (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostCommand
000000018c041570 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostDistance
000000018c040d48 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostLiteral
000000018c084400 (__TEXT,__const) non-external _BrotliReverseBits.kLut
000000018c02884c (__TEXT,__text) non-external (was a private external) _BrotliSafeReadBits32Slow
000000018c032658 (__TEXT,__text) non-external (was a private external) _BrotliSetDepth
000000018c023bb0 (__TEXT,__text) non-external (was a private external) _BrotliSetDictionaryData
000000018c024754 (__TEXT,__text) non-external (was a private external) _BrotliSplitBlock
000000018c03d2b0 (__TEXT,__text) non-external (was a private external) _BrotliStoreHuffmanTree
000000018c0b8548 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kHuffmanBitLengthHuffmanCodeBitLengths
000000018c0b8542 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kHuffmanBitLengthHuffmanCodeSymbols
000000018c0b8530 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kStorageOrder
000000018c03dcb4 (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlock
000000018c03ff7c (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlockFast
000000018c022fb8 (__TEXT,__text) non-external _BrotliStoreMetaBlockHeader
000000018c05bdb8 (__TEXT,__text) non-external _BrotliStoreMetaBlockHeader
000000018c03f5e4 (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlockTrivial
000000018c04033c (__TEXT,__text) non-external (was a private external) _BrotliStoreUncompressedMetaBlock
000000018c03c0b4 (__TEXT,__text) non-external (was a private external) _BrotliTransformDictionaryWord
000000018c0287fc (__TEXT,__text) non-external (was a private external) _BrotliWarmupBitReader
000000018c023600 (__TEXT,__text) non-external (was a private external) _BrotliWipeOutMemoryManager
000000018c032d24 (__TEXT,__text) non-external (was a private external) _BrotliWriteHuffmanTree
000000018c037bf4 (__TEXT,__text) non-external (was a private external) _BrotliZopfliComputeShortestPath
000000018c0378e8 (__TEXT,__text) non-external (was a private external) _BrotliZopfliCreateCommands
000000018c03e968 (__TEXT,__text) non-external _BuildAndStoreBlockSwitchEntropyCodes
000000018c023258 (__TEXT,__text) non-external _BuildAndStoreCommandPrefixCode
000000018c03f8e4 (__TEXT,__text) non-external _BuildAndStoreHuffmanTree
000000018c023060 (__TEXT,__text) non-external _BuildAndStoreLiteralPrefixCode
000000018c03f840 (__TEXT,__text) non-external _BuildHistograms
000000018c0642a0 (__TEXT,__const) non-external _ChooseContextMap.kStaticContextMapContinuation
000000018c0643a0 (__TEXT,__const) non-external _ChooseContextMap.kStaticContextMapSimpleUTF8
000000018c01c558 (__TEXT,__text) non-external _ChooseDistanceParams
000000018c0234c0 (__TEXT,__text) non-external _CollectGarbagePointers
000000018c05e5e4 (__TEXT,__text) non-external _ComputeDistanceCost
000000018c039174 (__TEXT,__text) non-external _ComputeShortestPathFromNodes
000000018c05fcec (__TEXT,__text) non-external _ContextBlockSplitterFinishBlock
000000018c02af9c (__TEXT,__text) non-external _CopyUncompressedBlockToOutput
000000018c0446e0 (__TEXT,__text) non-external _CreateBackwardReferencesNH2
000000018c045538 (__TEXT,__text) non-external _CreateBackwardReferencesNH3
000000018c04d344 (__TEXT,__text) non-external _CreateBackwardReferencesNH35
000000018c046090 (__TEXT,__text) non-external _CreateBackwardReferencesNH4
000000018c049330 (__TEXT,__text) non-external _CreateBackwardReferencesNH40
000000018c04a440 (__TEXT,__text) non-external _CreateBackwardReferencesNH41
000000018c04b594 (__TEXT,__text) non-external _CreateBackwardReferencesNH42
000000018c046ff4 (__TEXT,__text) non-external _CreateBackwardReferencesNH5
000000018c04c778 (__TEXT,__text) non-external _CreateBackwardReferencesNH54
000000018c04e1cc (__TEXT,__text) non-external _CreateBackwardReferencesNH55
000000018c04815c (__TEXT,__text) non-external _CreateBackwardReferencesNH6
000000018c04f0bc (__TEXT,__text) non-external _CreateBackwardReferencesNH65
000000018c01d194 (__TEXT,__text) non-external _DecideOverLiteralContextModeling
000000018c064190 (__TEXT,__const) non-external _DecideOverLiteralContextModeling.lut
000000018c02d264 (__TEXT,__text) non-external _DecodeCommandBlockSwitch
000000018c02b148 (__TEXT,__text) non-external _DecodeContextMap
000000018c02dce0 (__TEXT,__text) non-external _DecodeDistanceBlockSwitch
000000018c02d79c (__TEXT,__text) non-external _DecodeLiteralBlockSwitch
000000018c029e18 (__TEXT,__text) non-external _DecodeMetaBlockLength
000000018c02a3d8 (__TEXT,__text) non-external _DecodeVarLenUint8
000000018c022f1c (__TEXT,__text) non-external _EmitUncompressedMetaBlock
000000018c03ee0c (__TEXT,__text) non-external _EncodeContextMap
000000018c01a5a4 (__TEXT,__text) non-external _EncodeData
000000018c038fc8 (__TEXT,__text) non-external _EvaluateNode
000000018c01cad0 (__TEXT,__text) non-external _ExtendLastCommand
000000018c084480 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
000000018c0c1928 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
000000018c01c924 (__TEXT,__text) non-external _GetBrotliStorage
000000018c01c9a0 (__TEXT,__text) non-external _GetHashTable
000000018c064090 (__TEXT,__const) non-external _InitCommandPrefixCodes.kDefaultCommandBits
000000018c0da449 (__TEXT,__cstring) non-external _InitCommandPrefixCodes.kDefaultCommandCode
000000018c064010 (__TEXT,__const) non-external _InitCommandPrefixCodes.kDefaultCommandDepths
000000018c0386a4 (__TEXT,__text) non-external _InitZopfliCostModel
000000018c01c79c (__TEXT,__text) non-external _InitializeH5
000000018c01c7dc (__TEXT,__text) non-external _InitializeH6
000000018c01a46c (__TEXT,__text) non-external _InjectFlushOrPushOutput
000000018c02ce20 (__TEXT,__text) non-external _InverseMoveToFrontTransform
000000018c03438c (__TEXT,__text) non-external _LZFSEIBootBufferCopy
000000018c03433c (__TEXT,__text) non-external _LZFSEIBootBufferPush
000000018c03424c (__TEXT,__text) non-external _LZFSEIBootBufferPushN
000000018c061190 (__TEXT,__text) non-external _MapStaticContexts
000000018c01c8a8 (__TEXT,__text) non-external _PrepareH54
000000018c01c834 (__TEXT,__text) non-external _PrepareH6
000000018c02b658 (__TEXT,__text) non-external _ProcessCommands
000000018c02a5a8 (__TEXT,__text) non-external _ReadHuffmanCode
000000018c02cf38 (__TEXT,__text) non-external _SafeDecodeCommandBlockSwitch
000000018c02d9a0 (__TEXT,__text) non-external _SafeDecodeDistanceBlockSwitch
000000018c02d428 (__TEXT,__text) non-external _SafeDecodeLiteralBlockSwitch
000000018c02cd5c (__TEXT,__text) non-external _SafeDecodeSymbol
000000018c02c06c (__TEXT,__text) non-external _SafeProcessCommands
000000018c029cbc (__TEXT,__text) non-external _SaveErrorCode
000000018c03a388 (__TEXT,__text) non-external _SetCost
000000018c03c358 (__TEXT,__text) non-external _Shift
000000018c01c5b0 (__TEXT,__text) non-external _ShouldCompress
000000018c0641a0 (__TEXT,__const) non-external _ShouldUseComplexStaticContextMap.kStaticContextMapComplexUTF8
000000018c02365c (__TEXT,__text) non-external _SortPointers
000000018c064718 (__TEXT,__const) non-external _SortPointers.gaps
000000018c0b9258 (__TEXT,__const) non-external _StoreCommands.kInsertOffset
000000018c0b9058 (__TEXT,__const) non-external _StoreCommands.kNumExtraBits
000000018c03e830 (__TEXT,__text) non-external _StoreCompressedMetaBlockHeader
000000018c03fcec (__TEXT,__text) non-external _StoreDataWithHuffmanCodes
000000018c03f2a4 (__TEXT,__text) non-external _StoreSymbol
000000018c03f440 (__TEXT,__text) non-external _StoreSymbolWithContext
000000018c03ebf8 (__TEXT,__text) non-external _StoreTrivialContextMap
000000018c0404cc (__TEXT,__text) non-external _StoreVarLenUint8
000000018c01ca88 (__TEXT,__text) non-external _UpdateLastProcessedPos
000000018c03883c (__TEXT,__text) non-external _UpdateNodes
000000018c02cb8c (__TEXT,__text) non-external _WrapRingBuffer
000000018c01cd18 (__TEXT,__text) non-external _WriteMetaBlockInternal
000000018c029cd0 (__TEXT,__text) non-external _WriteRingBuffer
000000018c038720 (__TEXT,__text) non-external _ZopfliCostModelSetFromLiteralCosts
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00000001d46d6e10 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
000000018c030020 (__TEXT,__text) non-external ___yzip_jobs_process_block_invoke
000000018c0c0318 (__TEXT,__const) non-external (was a private external) __dist_code
000000018c0b8848 (__TEXT,__const) non-external (was a private external) __kBrotliContextLookupTable
000000018c0644b0 (__TEXT,__const) non-external (was a private external) __kBrotliPrefixCodeRanges
000000018c0c0518 (__TEXT,__const) non-external (was a private external) __length_code
000000018c05dafc (__TEXT,__text) non-external (was a private external) __tr_align
000000018c01176c (__TEXT,__text) non-external (was a private external) __tr_flush_block
000000018c00fe6c (__TEXT,__text) non-external (was a private external) __tr_init
000000018c05d9b4 (__TEXT,__text) non-external (was a private external) __tr_stored_block
000000018c05dd70 (__TEXT,__text) non-external (was a private external) __tr_tally
000000018c00fd30 (__TEXT,__text) non-external (was a private external) _adler32
000000018c063960 (__TEXT,__text) non-external (was a private external) _adler32_vec
000000018c0c0cd0 (__TEXT,__const) non-external _base_dist
000000018c0c0c5c (__TEXT,__const) non-external _base_length
000000018c05dce0 (__TEXT,__text) non-external _bi_flush
000000018c012c0c (__TEXT,__text) non-external _bi_windup
000000018c0c0c48 (__TEXT,__const) non-external _bl_order
000000018c0b85e8 (__TEXT,__const) non-external _breverse.brev8
000000018c05c16c (__TEXT,__text) non-external (was a private external) _brotli_decode_buffer
000000018c05c1b4 (__TEXT,__text) non-external (was a private external) _brotli_encode_buffer
000000018c05c3a4 (__TEXT,__text) non-external (was a private external) _brotli_stream_end
000000018c05c2c4 (__TEXT,__text) non-external (was a private external) _brotli_stream_init
000000018c05c200 (__TEXT,__text) non-external (was a private external) _brotli_stream_process
000000018c011cc8 (__TEXT,__text) non-external _build_tree
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _close (from libSystem)
000000018c01284c (__TEXT,__text) non-external _compress_block
000000018c014484 (__TEXT,__text) external _compression_decode_buffer
000000018c0143bc (__TEXT,__text) external _compression_decode_scratch_buffer_size
000000018c052758 (__TEXT,__text) external _compression_encode_buffer
000000018c052634 (__TEXT,__text) external _compression_encode_scratch_buffer_size
000000018c012e04 (__TEXT,__text) external _compression_stream_destroy
000000018c03148c (__TEXT,__text) external _compression_stream_get_decode_state_size
000000018c03143c (__TEXT,__text) external _compression_stream_get_encode_state_size
000000018c0313ec (__TEXT,__text) external _compression_stream_get_state_size
000000018c031358 (__TEXT,__text) external _compression_stream_identify_algorithm
000000018c00f780 (__TEXT,__text) external _compression_stream_init
000000018c031318 (__TEXT,__text) external _compression_stream_init_with_state_buffer
000000018c0314dc (__TEXT,__text) external _compression_stream_is_state_valid
000000018c00febc (__TEXT,__text) external _compression_stream_process
000000018c014d80 (__TEXT,__text) external _compression_stream_reinit
00000001ddca0ad8 (__AUTH_CONST,__const) non-external _configuration_table
000000018c042918 (__TEXT,__text) external _cosmix_codec_decode
000000018c042024 (__TEXT,__text) external _cosmix_codec_encode
000000018c042830 (__TEXT,__text) external _cosmix_codec_get_decoded_size
000000018c0433ac (__TEXT,__text) external _cosmix_codec_get_id
000000018c043204 (__TEXT,__text) external _cosmix_codec_map
000000018c04334c (__TEXT,__text) external _cosmix_codec_unmap
000000018c042e24 (__TEXT,__text) external _cosmix_model_create
000000018c042f60 (__TEXT,__text) external _cosmix_model_destroy
000000018c042fa8 (__TEXT,__text) external _cosmix_model_save_codec
000000018c041984 (__TEXT,__text) external _cosmix_model_update
000000018c05be6c (__TEXT,__text) non-external (was a private external) _crc32
000000018c0b92b8 (__TEXT,__const) non-external _crc_table
000000018c02871c (__TEXT,__text) non-external (was a private external) _create_thread
000000018c01035c (__TEXT,__text) non-external (was a private external) _deflate
000000018c062d10 (__TEXT,__text) non-external (was a private external) _deflateBound
000000018c0632ac (__TEXT,__text) non-external (was a private external) _deflateCopy
000000018c012d14 (__TEXT,__text) non-external (was a private external) _deflateEnd
000000018c00f944 (__TEXT,__text) non-external (was a private external) _deflateInit2_
000000018c062a64 (__TEXT,__text) non-external (was a private external) _deflateInit_
000000018c062c08 (__TEXT,__text) non-external (was a private external) _deflateParams
000000018c062bd8 (__TEXT,__text) non-external (was a private external) _deflatePrime
000000018c00fc00 (__TEXT,__text) non-external (was a private external) _deflateReset
000000018c062a80 (__TEXT,__text) non-external (was a private external) _deflateSetDictionary
000000018c062bac (__TEXT,__text) non-external (was a private external) _deflateSetHeader
000000018c062cec (__TEXT,__text) non-external (was a private external) _deflateTune
000000018c0c1b78 (__TEXT,__const) non-external (was a private external) _deflate_copyright
000000018c063610 (__TEXT,__text) non-external _deflate_fast
000000018c062e0c (__TEXT,__text) non-external _deflate_huff
000000018c062f6c (__TEXT,__text) non-external _deflate_rle
000000018c010ec8 (__TEXT,__text) non-external _deflate_slow
000000018c063468 (__TEXT,__text) non-external _deflate_stored
                 (undefined) external _dispatch_apply (from libSystem)
000000018c03cc94 (__TEXT,__text) non-external _emitMatch
000000018c0c0bfc (__TEXT,__const) non-external _extra_blbits
000000018c0c0b84 (__TEXT,__const) non-external _extra_dbits
000000018c0c0b10 (__TEXT,__const) non-external _extra_lbits
                 (undefined) external _fclose (from libSystem)
000000018c01131c (__TEXT,__text) non-external _fill_window
000000018c012c80 (__TEXT,__text) non-external _flush_pending
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _fwrite (from libSystem)
000000018c0c1824 (__TEXT,__const) non-external _getDSymbolFromValue.sym
000000018c0c0db0 (__TEXT,__const) non-external _getLSymbolFromValue.sym
000000018c0c0eec (__TEXT,__const) non-external _getMSymbolFromValue.sym
000000018c05be60 (__TEXT,__text) non-external (was a private external) _get_crc_table
000000018c03786c (__TEXT,__text) non-external (was a private external) _get_default_nthreads
000000018c02efc8 (__TEXT,__text) non-external (was a private external) _get_max_payload_size
000000018c02efe0 (__TEXT,__text) non-external (was a private external) _get_plane_max_rice_size
000000018c02eff4 (__TEXT,__text) non-external (was a private external) _get_pool_size
000000018c037824 (__TEXT,__text) non-external (was a private external) _get_real_time
                 (undefined) external _gettimeofday (from libSystem)
000000018c034618 (__TEXT,__text) non-external _header_fetch_from_payload
000000018c05d87c (__TEXT,__text) non-external _init_block
000000018c05d7c4 (__TEXT,__text) non-external _init_quantization_lut
000000018c0287c4 (__TEXT,__text) non-external (was a private external) _join_thread
000000018c082720 (__TEXT,__const) non-external (was a private external) _kBrotliBitMask
000000018c063ee0 (__TEXT,__const) non-external (was a private external) _kBrotliCopyBase
000000018c063f40 (__TEXT,__const) non-external (was a private external) _kBrotliCopyExtra
00000001d46d6c48 (__DATA_CONST,__const) non-external _kBrotliDictionary
000000018c064738 (__TEXT,__const) non-external _kBrotliDictionaryData
000000018c063e20 (__TEXT,__const) non-external (was a private external) _kBrotliInsBase
000000018c063e80 (__TEXT,__const) non-external (was a private external) _kBrotliInsExtra
000000018c0c1bc0 (__TEXT,__const) non-external (was a private external) _kBrotliLog2Table
000000018c0843d0 (__TEXT,__const) non-external (was a private external) _kBrotliShellGaps
00000001d46d6e30 (__DATA_CONST,__const) non-external _kBrotliTransforms
000000018c064518 (__TEXT,__const) non-external _kCmdHistoSeed
000000018c082822 (__TEXT,__const) non-external _kCmdLut
000000018c0b5ae4 (__TEXT,__const) non-external _kCodeLengthBits
000000018c0827f0 (__TEXT,__const) non-external _kCodeLengthCodeOrder
000000018c0b5ad0 (__TEXT,__const) non-external _kCodeLengthDepth
000000018c082802 (__TEXT,__const) non-external _kCodeLengthPrefixLength
000000018c082812 (__TEXT,__const) non-external _kCodeLengthPrefixValue
000000018c084288 (__TEXT,__const) non-external (was a private external) _kDSymbolVBase
000000018c084248 (__TEXT,__const) non-external (was a private external) _kDSymbolVBits
000000018c0846b4 (__TEXT,__const) non-external _kDistanceCacheIndex
000000018c0846f4 (__TEXT,__const) non-external _kDistanceCacheOffset
000000018c084194 (__TEXT,__const) non-external (was a private external) _kLSymbolVBase
000000018c084180 (__TEXT,__const) non-external (was a private external) _kLSymbolVBits
000000018c0841f8 (__TEXT,__const) non-external (was a private external) _kMSymbolVBase
000000018c0841e4 (__TEXT,__const) non-external (was a private external) _kMSymbolVBits
000000018c0b6630 (__TEXT,__const) non-external _kNonZeroRepsBits
000000018c0b5b2c (__TEXT,__const) non-external _kNonZeroRepsDepth
000000018c0b3710 (__TEXT,__const) non-external _kPrefixSuffix
000000018c0b37ea (__TEXT,__const) non-external _kPrefixSuffixMap
000000018c0b7ef0 (__TEXT,__const) non-external _kStaticCommandCodeBits
000000018c0b7c30 (__TEXT,__const) non-external _kStaticCommandCodeDepth
000000018c0847ac (__TEXT,__const) non-external _kStaticDictionaryBuckets
000000018c0d23ce (__TEXT,__const) non-external (was a private external) _kStaticDictionaryHashLengths
000000018c0c23ce (__TEXT,__const) non-external (was a private external) _kStaticDictionaryHashWords
000000018c0947ac (__TEXT,__const) non-external _kStaticDictionaryWords
000000018c0b84b0 (__TEXT,__const) non-external _kStaticDistanceCodeBits
000000018c0b8470 (__TEXT,__const) non-external _kStaticDistanceCodeDepth
000000018c0b384e (__TEXT,__const) non-external _kTransformsData
000000018c0b44d0 (__TEXT,__const) non-external _kZeroRepsBits
000000018c0b39d0 (__TEXT,__const) non-external _kZeroRepsDepth
                 (undefined) external _log2 (from libSystem)
000000018c01156c (__TEXT,__text) non-external _longest_match
00000001d91ea404 (__DATA,__common) non-external (was a private external) _lut_ok
00000001d91eb800 (__DATA,__common) non-external (was a private external) _lut_quantize
000000018c0bd2c4 (__TEXT,__const) non-external (was a private external) _lut_rle
000000018c032224 (__TEXT,__text) non-external (was a private external) _lz24_decode_buffer
000000018c031ab8 (__TEXT,__text) non-external (was a private external) _lz24_encode_buffer
000000018c031aac (__TEXT,__text) non-external (was a private external) _lz24_encode_scratch_buffer_size
000000018c016790 (__TEXT,__text) non-external (was a private external) _lz4_decode
000000018c016380 (__TEXT,__text) non-external (was a private external) _lz4_decode_asm
000000018c0161a0 (__TEXT,__text) non-external (was a private external) _lz4_decode_buffer
000000018c0237c0 (__TEXT,__text) non-external (was a private external) _lz4_encode_2gb
000000018c0175d0 (__TEXT,__text) non-external (was a private external) _lz4_encode_buffer
000000018c040cc0 (__TEXT,__text) non-external (was a private external) _lz4_stream_end
000000018c040d3c (__TEXT,__text) non-external (was a private external) _lz4_stream_get_decode_state_size
000000018c040d30 (__TEXT,__text) non-external (was a private external) _lz4_stream_get_encode_state_size
000000018c040d24 (__TEXT,__text) non-external (was a private external) _lz4_stream_get_state_size
000000018c040cf0 (__TEXT,__text) non-external (was a private external) _lz4_stream_identify_algorithm
000000018c040568 (__TEXT,__text) non-external (was a private external) _lz4_stream_init
000000018c04062c (__TEXT,__text) non-external (was a private external) _lz4_stream_process
000000018c0325b8 (__TEXT,__text) non-external (was a private external) _lz4raw_decode_buffer
000000018c0324b4 (__TEXT,__text) non-external (was a private external) _lz4raw_encode_buffer
