00007ff814ad0845 (__TEXT,__const) non-external _KW_ANY
00007ff814ab9849 (__TEXT,__text) external _XML_GetErrorCode
00007ff814ab9b54 (__TEXT,__text) external _XML_GetFeatureList
00007ff8416fb300 (__DATA_CONST,__const) non-external _XML_GetFeatureList.features
00007ff814ab8e07 (__TEXT,__text) external _XML_GetIdAttributeIndex
00007ff814ab98b3 (__TEXT,__text) external _XML_GetInputContext
00007ff814ab982b (__TEXT,__text) external _XML_GetParsingStatus
00007ff814ad00b4 (__TEXT,__text) non-external _XML_GetParsingStatus.cold.1
00007ff814ab8def (__TEXT,__text) external _XML_GetSpecifiedAttributeCount
00007ff814ab99e1 (__TEXT,__text) external _XML_MemFree
00007ff814ab99b0 (__TEXT,__text) external _XML_MemMalloc
00007ff814ab99c7 (__TEXT,__text) external _XML_MemRealloc
00007ff814ab90a9 (__TEXT,__text) external _XML_Parse
00007ff814ad006e (__TEXT,__text) non-external _XML_Parse.cold.1
00007ff814ab9447 (__TEXT,__text) external _XML_ParseBuffer
00007ff814ab7528 (__TEXT,__text) external _XML_ParserCreate
00007ff814ab7544 (__TEXT,__text) external _XML_ParserCreateNS
00007ff814ab7538 (__TEXT,__text) external _XML_ParserCreate_MM
00007ff814ab8877 (__TEXT,__text) external _XML_ParserFree
00007ff814ab785f (__TEXT,__text) external _XML_ParserReset
00007ff814ab9758 (__TEXT,__text) external _XML_ResumeParser
00007ff814ab9013 (__TEXT,__text) external _XML_SetAttlistDeclHandler
00007ff814ab8d31 (__TEXT,__text) external _XML_SetBase
00007ff814ab9b9b (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionActivationThreshold
00007ff814ab9b61 (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionMaximumAmplification
00007ff814ab8e8c (__TEXT,__text) external _XML_SetCdataSectionHandler
00007ff814ab8e56 (__TEXT,__text) external _XML_SetCharacterDataHandler
00007ff814ab8e7a (__TEXT,__text) external _XML_SetCommentHandler
00007ff814ab8ec9 (__TEXT,__text) external _XML_SetDefaultHandler
00007ff814ab8ee2 (__TEXT,__text) external _XML_SetDefaultHandlerExpand
00007ff814ab8efb (__TEXT,__text) external _XML_SetDoctypeDeclHandler
00007ff814ab9001 (__TEXT,__text) external _XML_SetElementDeclHandler
00007ff814ab8e1f (__TEXT,__text) external _XML_SetElementHandler
00007ff814ab7ec0 (__TEXT,__text) external _XML_SetEncoding
00007ff814ab8eb7 (__TEXT,__text) external _XML_SetEndCdataSectionHandler
00007ff814ab8f26 (__TEXT,__text) external _XML_SetEndDoctypeDeclHandler
00007ff814ab8e44 (__TEXT,__text) external _XML_SetEndElementHandler
00007ff814ab8f87 (__TEXT,__text) external _XML_SetEndNamespaceDeclHandler
00007ff814ab9025 (__TEXT,__text) external _XML_SetEntityDeclHandler
00007ff814ab8fab (__TEXT,__text) external _XML_SetExternalEntityRefHandler
00007ff814ab8fbd (__TEXT,__text) external _XML_SetExternalEntityRefHandlerArg
00007ff814ab9071 (__TEXT,__text) external _XML_SetHashSalt
00007ff814ab8f5c (__TEXT,__text) external _XML_SetNamespaceDeclHandler
00007ff814ab8f99 (__TEXT,__text) external _XML_SetNotStandaloneHandler
00007ff814ab8f4a (__TEXT,__text) external _XML_SetNotationDeclHandler
00007ff814ab9049 (__TEXT,__text) external _XML_SetParamEntityParsing
00007ff814ab8e68 (__TEXT,__text) external _XML_SetProcessingInstructionHandler
00007ff814ab9bc0 (__TEXT,__text) external _XML_SetReparseDeferralEnabled
00007ff814ab8cf3 (__TEXT,__text) external _XML_SetReturnNSTriplet
00007ff814ab8fd6 (__TEXT,__text) external _XML_SetSkippedEntityHandler
00007ff814ab8ea5 (__TEXT,__text) external _XML_SetStartCdataSectionHandler
00007ff814ab8f14 (__TEXT,__text) external _XML_SetStartDoctypeDeclHandler
00007ff814ab8e35 (__TEXT,__text) external _XML_SetStartElementHandler
00007ff814ab8f75 (__TEXT,__text) external _XML_SetStartNamespaceDeclHandler
00007ff814ab8fe8 (__TEXT,__text) external _XML_SetUnknownEncodingHandler
00007ff814ab8f38 (__TEXT,__text) external _XML_SetUnparsedEntityDeclHandler
00007ff814ab8d16 (__TEXT,__text) external _XML_SetUserData
00007ff814ab9037 (__TEXT,__text) external _XML_SetXmlDeclHandler
00007ff814ab96bf (__TEXT,__text) external _XML_StopParser
00007ff814ad0091 (__TEXT,__text) non-external _XML_StopParser.cold.1
00007ff814ab8cc2 (__TEXT,__text) external _XML_UseForeignDTD
00007ff814ab8cb3 (__TEXT,__text) external _XML_UseParserAsHandlerArg
00007ff814ac377b (__TEXT,__text) non-external (was a private external) _XmlGetUtf16InternalEncoding
00007ff814ac3cae (__TEXT,__text) non-external (was a private external) _XmlGetUtf16InternalEncodingNS
00007ff814ac376e (__TEXT,__text) non-external (was a private external) _XmlGetUtf8InternalEncoding
00007ff814ac3ca1 (__TEXT,__text) non-external (was a private external) _XmlGetUtf8InternalEncodingNS
00007ff814ac3788 (__TEXT,__text) non-external (was a private external) _XmlInitEncoding
00007ff814ac3cbb (__TEXT,__text) non-external (was a private external) _XmlInitEncodingNS
00007ff814ac31fe (__TEXT,__text) non-external (was a private external) _XmlInitUnknownEncoding
00007ff814ac3e9b (__TEXT,__text) non-external (was a private external) _XmlInitUnknownEncodingNS
00007ff814ac3883 (__TEXT,__text) non-external (was a private external) _XmlParseXmlDecl
00007ff814ac3d55 (__TEXT,__text) non-external (was a private external) _XmlParseXmlDeclNS
00007ff814ac189c (__TEXT,__text) non-external (was a private external) _XmlPrologStateInit
00007ff814ac1980 (__TEXT,__text) non-external (was a private external) _XmlPrologStateInitExternalEntity
00007ff814ac31f3 (__TEXT,__text) non-external (was a private external) _XmlSizeOfUnknownEncoding
00007ff814ac31a7 (__TEXT,__text) non-external (was a private external) _XmlUtf16Encode
00007ff814ac30e9 (__TEXT,__text) non-external (was a private external) _XmlUtf8Encode
00007ff814ac3054 (__TEXT,__text) non-external (was a private external) __INTERNAL_trim_to_complete_utf8_characters
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
00007ff814abbf6c (__TEXT,__text) non-external _accountingDiffTolerated
00007ff814ad011d (__TEXT,__text) non-external _accountingDiffTolerated.cold.1
00007ff814abd793 (__TEXT,__text) non-external _accountingGetCurrentAmplification
00007ff814ad0163 (__TEXT,__text) non-external _accountingGetCurrentAmplification.cold.1
00007ff814abd82c (__TEXT,__text) non-external _accountingReportStats
00007ff814ac01d4 (__TEXT,__text) non-external _addBinding
00007ff814ad1cd0 (__TEXT,__cstring) non-external _addBinding.xmlNamespace
00007ff814ad1d00 (__TEXT,__cstring) non-external _addBinding.xmlnsNamespace
00007ff814ac068e (__TEXT,__text) non-external _appendAttributeValue
                 (undefined) external _arc4random_buf (from libSystem)
00007ff8416fc2c8 (__DATA_CONST,__const) non-external _ascii_encoding
00007ff8416fcc18 (__DATA_CONST,__const) non-external _ascii_encoding_ns
00007ff814acbe88 (__TEXT,__text) non-external _ascii_toUtf8
00007ff814ac1e91 (__TEXT,__text) non-external _attlist0
00007ff814ac258d (__TEXT,__text) non-external _attlist1
00007ff814ac25fd (__TEXT,__text) non-external _attlist2
00007ff814ad07d8 (__TEXT,__const) non-external _attlist2.types.rel
00007ff814ac282e (__TEXT,__text) non-external _attlist3
00007ff814ac295c (__TEXT,__text) non-external _attlist4
00007ff814ac27e8 (__TEXT,__text) non-external _attlist5
00007ff814ac28c2 (__TEXT,__text) non-external _attlist6
00007ff814ac2908 (__TEXT,__text) non-external _attlist7
00007ff814ac26f5 (__TEXT,__text) non-external _attlist8
00007ff814ac287c (__TEXT,__text) non-external _attlist9
00007ff814acd814 (__TEXT,__text) non-external _big2_attributeValueTok
00007ff814acd3e0 (__TEXT,__text) non-external _big2_cdataSectionTok
00007ff814acdf70 (__TEXT,__text) non-external _big2_charRefNumber
00007ff814acf234 (__TEXT,__text) non-external _big2_checkPiTarget
00007ff814acc708 (__TEXT,__text) non-external _big2_contentTok
00007ff8416fbf28 (__DATA_CONST,__const) non-external _big2_encoding
00007ff8416fc878 (__DATA_CONST,__const) non-external _big2_encoding_ns
00007ff814acd94c (__TEXT,__text) non-external _big2_entityValueTok
00007ff814acdb8d (__TEXT,__text) non-external _big2_getAtts
00007ff814acd668 (__TEXT,__text) non-external _big2_ignoreSectionTok
00007ff814ace204 (__TEXT,__text) non-external _big2_isPublicId
00007ff814acdac5 (__TEXT,__text) non-external _big2_nameLength
00007ff814acda80 (__TEXT,__text) non-external _big2_nameMatchesAscii
00007ff814ace03b (__TEXT,__text) non-external _big2_predefinedEntityName
00007ff814acbebd (__TEXT,__text) non-external _big2_prologTok
00007ff814acf628 (__TEXT,__text) non-external _big2_scanAtts
00007ff814ad0f93 (__TEXT,__const) non-external _big2_scanCdataSection.CDATA_LSQB
00007ff814acf0cc (__TEXT,__text) non-external _big2_scanComment
00007ff814ace608 (__TEXT,__text) non-external _big2_scanDecl
00007ff814ace4c8 (__TEXT,__text) non-external _big2_scanLit
00007ff814acebd4 (__TEXT,__text) non-external _big2_scanPercent
00007ff814ace74c (__TEXT,__text) non-external _big2_scanPi
00007ff814acee54 (__TEXT,__text) non-external _big2_scanPoundName
00007ff814acf2ae (__TEXT,__text) non-external _big2_scanRef
00007ff814acdb51 (__TEXT,__text) non-external _big2_skipS
00007ff814ace458 (__TEXT,__text) non-external _big2_toUtf16
00007ff814ace293 (__TEXT,__text) non-external _big2_toUtf8
00007ff814ace126 (__TEXT,__text) non-external _big2_updatePosition
00007ff814ab95b5 (__TEXT,__text) non-external _callProcessor
00007ff814abfff4 (__TEXT,__text) non-external _cdataSectionProcessor
00007ff814ac34d1 (__TEXT,__text) non-external _checkCharRefNumber
00007ff814ac2303 (__TEXT,__text) non-external _condSect0
00007ff814ac23a6 (__TEXT,__text) non-external _condSect1
00007ff814ac23e6 (__TEXT,__text) non-external _condSect2
00007ff814abc8a8 (__TEXT,__text) non-external _contentProcessor
00007ff814ac1677 (__TEXT,__text) non-external _copyEntityTable
00007ff814ab7f2d (__TEXT,__text) non-external _copyString
00007ff814ac2206 (__TEXT,__text) non-external _declClose
00007ff814abcc52 (__TEXT,__text) non-external _defineAttribute
00007ff814abfd18 (__TEXT,__text) non-external _doCdataSection
00007ff814abdb34 (__TEXT,__text) non-external _doContent
00007ff814abd117 (__TEXT,__text) non-external _doIgnoreSection
00007ff814ac38c4 (__TEXT,__text) non-external _doParseXmlDecl
00007ff814ab9ed6 (__TEXT,__text) non-external _doProlog
00007ff814ad0275 (__TEXT,__const) non-external _doProlog.atypeCDATA
00007ff814ad0292 (__TEXT,__const) non-external _doProlog.atypeENTITIES
00007ff814ad028b (__TEXT,__const) non-external _doProlog.atypeENTITY
00007ff814ad027b (__TEXT,__const) non-external _doProlog.atypeID
00007ff814ad027e (__TEXT,__const) non-external _doProlog.atypeIDREF
00007ff814ad0284 (__TEXT,__const) non-external _doProlog.atypeIDREFS
00007ff814ad029b (__TEXT,__const) non-external _doProlog.atypeNMTOKEN
00007ff814ad02a3 (__TEXT,__const) non-external _doProlog.atypeNMTOKENS
00007ff814ad00d7 (__TEXT,__text) non-external _doProlog.cold.1
00007ff814ad00fa (__TEXT,__text) non-external _doProlog.cold.2
00007ff814ad1bb8 (__TEXT,__cstring) non-external _doProlog.enumValueSep
00007ff814ad1bba (__TEXT,__cstring) non-external _doProlog.enumValueStart
00007ff814ad1bae (__TEXT,__cstring) non-external _doProlog.notationPrefix
00007ff814ac1a78 (__TEXT,__text) non-external _doctype0
00007ff814ac1acb (__TEXT,__text) non-external _doctype1
00007ff814ac1df2 (__TEXT,__text) non-external _doctype2
00007ff814ac1dac (__TEXT,__text) non-external _doctype3
00007ff814ac2ff8 (__TEXT,__text) non-external _doctype4
00007ff814ac1f68 (__TEXT,__text) non-external _doctype5
00007ff814ac1edc (__TEXT,__text) non-external _element0
00007ff814ac29b0 (__TEXT,__text) non-external _element1
00007ff814ac2a7e (__TEXT,__text) non-external _element2
00007ff814ac2b80 (__TEXT,__text) non-external _element3
00007ff814ac2da0 (__TEXT,__text) non-external _element4
00007ff814ac2deb (__TEXT,__text) non-external _element5
00007ff814ac2bff (__TEXT,__text) non-external _element6
00007ff814ac2cd0 (__TEXT,__text) non-external _element7
00007ff8416fbd20 (__DATA_CONST,__const) non-external _encodings
00007ff8416fc4a0 (__DATA_CONST,__const) non-external _encodingsNS
00007ff814ac1e38 (__TEXT,__text) non-external _entity0
00007ff814ac1fae (__TEXT,__text) non-external _entity1
00007ff814ac2253 (__TEXT,__text) non-external _entity10
00007ff814ac1ff4 (__TEXT,__text) non-external _entity2
00007ff814ac246f (__TEXT,__text) non-external _entity3
00007ff814ac2429 (__TEXT,__text) non-external _entity4
00007ff814ac24b5 (__TEXT,__text) non-external _entity5
00007ff814ac253f (__TEXT,__text) non-external _entity6
00007ff814ac20b7 (__TEXT,__text) non-external _entity7
00007ff814ac21c0 (__TEXT,__text) non-external _entity8
00007ff814ac217a (__TEXT,__text) non-external _entity9
00007ff814abd527 (__TEXT,__text) non-external _entityTrackingOnOpen
00007ff814ac1037 (__TEXT,__text) non-external _entityTrackingReportStats
00007ff814ad01a9 (__TEXT,__text) non-external _entityTrackingReportStats.cold.1
00007ff814ac130c (__TEXT,__text) non-external _entityValueInitProcessor
00007ff814ac1596 (__TEXT,__text) non-external _entityValueProcessor
00007ff814abfb08 (__TEXT,__text) non-external _epilogProcessor
00007ff814ac1ac3 (__TEXT,__text) non-external _error
00007ff814ab96b3 (__TEXT,__text) non-external _errorProcessor
00007ff814ac062c (__TEXT,__text) non-external _externalEntityContentProcessor
00007ff814ab8b8b (__TEXT,__text) non-external _externalEntityInitProcessor
00007ff814ac112d (__TEXT,__text) non-external _externalEntityInitProcessor2
00007ff814ac1215 (__TEXT,__text) non-external _externalEntityInitProcessor3
00007ff814ab8bdc (__TEXT,__text) non-external _externalParEntInitProcessor
00007ff814ac1496 (__TEXT,__text) non-external _externalParEntProcessor
00007ff814ac1998 (__TEXT,__text) non-external _externalSubset0
00007ff814ac22a8 (__TEXT,__text) non-external _externalSubset1
00007ff814ac3b9c (__TEXT,__text) non-external _findEncoding
00007ff814ac3d96 (__TEXT,__text) non-external _findEncodingNS
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _free (from libSystem)
00007ff814abfab0 (__TEXT,__text) non-external _freeBindings
                 (undefined) external _fwrite (from libSystem)
00007ff814ad0272 (__TEXT,__const) non-external (was a private external) _g_reparseDeferralEnabledDefault
00007ff814abc994 (__TEXT,__text) non-external _getAttributeId
00007ff814abea48 (__TEXT,__text) non-external _getContext
00007ff814ab9c7d (__TEXT,__text) non-external _getDebugLevel
00007ff814abc909 (__TEXT,__text) non-external _getElementType
00007ff814ac37e1 (__TEXT,__text) non-external _getEncodingIndex
00007ff8416fbcf0 (__DATA_CONST,__const) non-external _getEncodingIndex.encodingNames
                 (undefined) external _getenv (from libSystem)
00007ff814ab9dba (__TEXT,__text) non-external _handleUnknownEncoding
00007ff814abd890 (__TEXT,__text) non-external _hash
00007ff814ac163e (__TEXT,__text) non-external _hashTableDestroy
00007ff814abd298 (__TEXT,__text) non-external _ignoreSectionProcessor
00007ff814ad02b0 (__TEXT,__const) non-external _implicitContext
00007ff814acbc9e (__TEXT,__text) non-external _initScan
00007ff814ac3850 (__TEXT,__text) non-external _initScanContent
00007ff814ac3d33 (__TEXT,__text) non-external _initScanContentNS
00007ff814ac3831 (__TEXT,__text) non-external _initScanProlog
00007ff814ac3d14 (__TEXT,__text) non-external _initScanPrologNS
00007ff814ac3872 (__TEXT,__text) non-external _initUpdatePosition
00007ff814ab9cee (__TEXT,__text) non-external _initializeEncoding
00007ff814ac0ea0 (__TEXT,__text) non-external _internalEntityProcessor
00007ff814ad0186 (__TEXT,__text) non-external _internalEntityProcessor.cold.1
00007ff814ac1ba4 (__TEXT,__text) non-external _internalSubset
00007ff8416fb780 (__DATA_CONST,__const) non-external _internal_little2_encoding
00007ff8416fbb20 (__DATA_CONST,__const) non-external _internal_little2_encoding_ns
00007ff8416fb5b0 (__DATA_CONST,__const) non-external _internal_utf8_encoding
00007ff8416fb950 (__DATA_CONST,__const) non-external _internal_utf8_encoding_ns
00007ff814ac7c90 (__TEXT,__text) non-external _isNever
00007ff8416fb3e0 (__DATA_CONST,__const) non-external _latin1_encoding
00007ff8416fc4d8 (__DATA_CONST,__const) non-external _latin1_encoding_ns
00007ff814ac61c5 (__TEXT,__text) non-external _latin1_toUtf16
00007ff814ac6142 (__TEXT,__text) non-external _latin1_toUtf8
00007ff814ac9724 (__TEXT,__text) non-external _little2_attributeValueTok
00007ff814ac92f4 (__TEXT,__text) non-external _little2_cdataSectionTok
00007ff814ac9e7c (__TEXT,__text) non-external _little2_charRefNumber
00007ff814acb134 (__TEXT,__text) non-external _little2_checkPiTarget
00007ff814ac8634 (__TEXT,__text) non-external _little2_contentTok
00007ff8416fc0f8 (__DATA_CONST,__const) non-external _little2_encoding
00007ff8416fca48 (__DATA_CONST,__const) non-external _little2_encoding_ns
00007ff814ac985c (__TEXT,__text) non-external _little2_entityValueTok
00007ff814ac9a9c (__TEXT,__text) non-external _little2_getAtts
00007ff814ac9578 (__TEXT,__text) non-external _little2_ignoreSectionTok
00007ff814aca110 (__TEXT,__text) non-external _little2_isPublicId
00007ff814ac99d5 (__TEXT,__text) non-external _little2_nameLength
00007ff814ac9990 (__TEXT,__text) non-external _little2_nameMatchesAscii
00007ff814ac9f47 (__TEXT,__text) non-external _little2_predefinedEntityName
00007ff814ac7df6 (__TEXT,__text) non-external _little2_prologTok
00007ff814acb524 (__TEXT,__text) non-external _little2_scanAtts
00007ff814acafcc (__TEXT,__text) non-external _little2_scanComment
00007ff814aca504 (__TEXT,__text) non-external _little2_scanDecl
00007ff814aca3ca (__TEXT,__text) non-external _little2_scanLit
00007ff814acaad0 (__TEXT,__text) non-external _little2_scanPercent
00007ff814aca648 (__TEXT,__text) non-external _little2_scanPi
00007ff814acad58 (__TEXT,__text) non-external _little2_scanPoundName
00007ff814acb1ae (__TEXT,__text) non-external _little2_scanRef
00007ff814ac9a60 (__TEXT,__text) non-external _little2_skipS
00007ff814aca35c (__TEXT,__text) non-external _little2_toUtf16
00007ff814aca197 (__TEXT,__text) non-external _little2_toUtf8
00007ff814aca032 (__TEXT,__text) non-external _little2_updatePosition
00007ff814abc53f (__TEXT,__text) non-external _lookup
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
00007ff814ad0e60 (__TEXT,__const) non-external _namePages
00007ff814ad0860 (__TEXT,__const) non-external _namingBitmap
00007ff814abd314 (__TEXT,__text) non-external _nextScaffoldPart
00007ff814ad0d60 (__TEXT,__const) non-external _nmstrtPages
00007ff814ac5828 (__TEXT,__text) non-external _normal_attributeValueTok
00007ff814ac53d8 (__TEXT,__text) non-external _normal_cdataSectionTok
00007ff814ac5e08 (__TEXT,__text) non-external _normal_charRefNumber
00007ff814ac6f78 (__TEXT,__text) non-external _normal_checkPiTarget
00007ff814ac47a8 (__TEXT,__text) non-external _normal_contentTok
00007ff814ac5964 (__TEXT,__text) non-external _normal_entityValueTok
00007ff814ac5b19 (__TEXT,__text) non-external _normal_getAtts
00007ff814ac5680 (__TEXT,__text) non-external _normal_ignoreSectionTok
00007ff814ac60c4 (__TEXT,__text) non-external _normal_isPublicId
00007ff814ac5ab4 (__TEXT,__text) non-external _normal_nameLength
00007ff814ac5a78 (__TEXT,__text) non-external _normal_nameMatchesAscii
00007ff814ac5f70 (__TEXT,__text) non-external _normal_predefinedEntityName
00007ff814ac3eb2 (__TEXT,__text) non-external _normal_prologTok
00007ff814ac72f2 (__TEXT,__text) non-external _normal_scanAtts
00007ff814ac6e00 (__TEXT,__text) non-external _normal_scanComment
00007ff814ac6370 (__TEXT,__text) non-external _normal_scanDecl
00007ff814ac6208 (__TEXT,__text) non-external _normal_scanLit
00007ff814ac68ac (__TEXT,__text) non-external _normal_scanPercent
00007ff814ac6494 (__TEXT,__text) non-external _normal_scanPi
00007ff814ac6b34 (__TEXT,__text) non-external _normal_scanPoundName
00007ff814ac6fde (__TEXT,__text) non-external _normal_scanRef
00007ff814ac5af1 (__TEXT,__text) non-external _normal_skipS
00007ff814ac6002 (__TEXT,__text) non-external _normal_updatePosition
00007ff814ac10e9 (__TEXT,__text) non-external _normalizeLines
00007ff814abc847 (__TEXT,__text) non-external _normalizePublicId
00007ff814ac1f27 (__TEXT,__text) non-external _notation0
00007ff814ac2e48 (__TEXT,__text) non-external _notation1
00007ff814ac2f3f (__TEXT,__text) non-external _notation2
00007ff814ac2ef1 (__TEXT,__text) non-external _notation3
00007ff814ac2f85 (__TEXT,__text) non-external _notation4
00007ff814acfce0 (__TEXT,__text) non-external _parsePseudoAttribute
00007ff814ab7566 (__TEXT,__text) non-external _parserCreate
00007ff814ab7cdf (__TEXT,__text) non-external _parserInit
00007ff814abcbe0 (__TEXT,__text) non-external _poolAppend
00007ff814ab8d7c (__TEXT,__text) non-external _poolCopyString
00007ff814ab8c6f (__TEXT,__text) non-external _poolDestroy
00007ff814abcd6a (__TEXT,__text) non-external _poolGrow
00007ff814abc4f8 (__TEXT,__text) non-external _poolStoreString
00007ff814abd43a (__TEXT,__text) non-external _processEntity
00007ff814abc18d (__TEXT,__text) non-external _processXmlDecl
00007ff814ac18c1 (__TEXT,__text) non-external _prolog0
00007ff814ac19b8 (__TEXT,__text) non-external _prolog1
00007ff814ac1d20 (__TEXT,__text) non-external _prolog2
00007ff814ab9c2c (__TEXT,__text) non-external _prologInitProcessor
00007ff814ab9d49 (__TEXT,__text) non-external _prologProcessor
                 (undefined) external _realloc (from libSystem)
00007ff814abd6c8 (__TEXT,__text) non-external _reportComment
00007ff814ab9a42 (__TEXT,__text) non-external _reportDefault
00007ff814abd57c (__TEXT,__text) non-external _reportProcessingInstruction
00007ff814ab85d9 (__TEXT,__text) non-external _setContext
00007ff814ac00aa (__TEXT,__text) non-external _setElementTypePrefix
00007ff814abd9f9 (__TEXT,__text) non-external _sip24_final
00007ff814abd954 (__TEXT,__text) non-external _sip24_update
00007ff814abdad8 (__TEXT,__text) non-external _sip_round
00007ff814ab9198 (__TEXT,__text) non-external _startParsing
00007ff814abcf53 (__TEXT,__text) non-external _storeAttributeValue
00007ff814ad0140 (__TEXT,__text) non-external _storeAttributeValue.cold.1
00007ff814abedca (__TEXT,__text) non-external _storeAtts
00007ff814ac0a78 (__TEXT,__text) non-external _storeEntityValue
00007ff814abe96c (__TEXT,__text) non-external _storeRawNames
00007ff814acbc3c (__TEXT,__text) non-external _streqci
                 (undefined) external _strtoul (from libSystem)
00007ff814ab9be4 (__TEXT,__text) non-external (was a private external) _testingAccountingGetCountBytesDirect
00007ff814ab9bfa (__TEXT,__text) non-external (was a private external) _testingAccountingGetCountBytesIndirect
00007ff814ac35bf (__TEXT,__text) non-external _unknown_isInvalid
00007ff814ac351d (__TEXT,__text) non-external _unknown_isName
00007ff814ac356e (__TEXT,__text) non-external _unknown_isNmstrt
00007ff814ac36cf (__TEXT,__text) non-external _unknown_toUtf16
00007ff814ac35ec (__TEXT,__text) non-external _unknown_toUtf8
00007ff814ab9c10 (__TEXT,__text) non-external (was a private external) _unsignedCharToPrintable
00007ff8416fbd58 (__DATA_CONST,__const) non-external _utf8_encoding
00007ff8416fc6a8 (__DATA_CONST,__const) non-external _utf8_encoding_ns
00007ff814ac7d2a (__TEXT,__text) non-external _utf8_isInvalid2
00007ff814ac7d49 (__TEXT,__text) non-external _utf8_isInvalid3
00007ff814ac7dae (__TEXT,__text) non-external _utf8_isInvalid4
00007ff814ac7bfe (__TEXT,__text) non-external _utf8_isName2
00007ff814ac7c41 (__TEXT,__text) non-external _utf8_isName3
00007ff814ac7c98 (__TEXT,__text) non-external _utf8_isNmstrt2
00007ff814ac7cdb (__TEXT,__text) non-external _utf8_isNmstrt3
00007ff814ac7a8d (__TEXT,__text) non-external _utf8_toUtf16
00007ff814ac79f4 (__TEXT,__text) non-external _utf8_toUtf8
