00007ff80b0d6f18 (__TEXT,__text) external _CCAESCmac
00007ff80b0d7f5f (__TEXT,__text) external _CCDigestGetOutputSizeFromRef
00007ff80b0d3cbc (__TEXT,__text) external _CCDigestInit
00007ff80b0d7f86 (__TEXT,__text) external _CCDigestOID
00007ff80b0d7f93 (__TEXT,__text) external _CCDigestOIDLen
00007ff80b0d3d05 (__TEXT,__text) external _CCDigestOutputSize
00007ff80b0d7fff (__TEXT,__text) external _CCDigestReset
00007ff80b0d3d23 (__TEXT,__text) external _CCDigestUpdate
00007ff80b0d9010 (__TEXT,__text) external _CCECCryptorBlind
00007ff80b0d8fe2 (__TEXT,__text) external _CCECCryptorBlindingKeysRelease
00007ff80b0d8d2f (__TEXT,__text) external _CCECCryptorComputeSharedSecret
00007ff80b0d889a (__TEXT,__text) external _CCECCryptorCreateFromData
00007ff80b0d8b8d (__TEXT,__text) external _CCECCryptorExportKey
00007ff80b0d8b6b (__TEXT,__text) external _CCECCryptorExportPublicKey
00007ff80b0d8f43 (__TEXT,__text) external _CCECCryptorGenerateBlindingKeys
00007ff80b0d8530 (__TEXT,__text) external _CCECCryptorGeneratePair
00007ff80b0d8857 (__TEXT,__text) external _CCECCryptorGetKeyComponents
00007ff80b0d86ad (__TEXT,__text) external _CCECCryptorGetPublicKeyFromPrivateKey
00007ff80b0d8e9e (__TEXT,__text) external _CCECCryptorH2C
00007ff80b0d8977 (__TEXT,__text) external _CCECCryptorImportKey
00007ff80b0d8960 (__TEXT,__text) external _CCECCryptorImportPublicKey
00007ff80b0d8956 (__TEXT,__text) external _CCECCryptorRelease
00007ff80b0d8c48 (__TEXT,__text) external _CCECCryptorSignHash
00007ff80b0d8d8a (__TEXT,__text) external _CCECCryptorTwinDiversifyEntropySize
00007ff80b0d8d9e (__TEXT,__text) external _CCECCryptorTwinDiversifyKey
00007ff80b0d9068 (__TEXT,__text) external _CCECCryptorUnblind
00007ff80b0d8d24 (__TEXT,__text) external _CCECCryptorUnwrapKey
00007ff80b0d8cb5 (__TEXT,__text) external _CCECCryptorVerifyHash
00007ff80b0d8d19 (__TEXT,__text) external _CCECCryptorWrapKey
00007ff80b0d8942 (__TEXT,__text) external _CCECGetKeySize
00007ff80b0d8923 (__TEXT,__text) external _CCECGetKeyType
00007ff80b0d656f (__TEXT,__text) external _CCHKDFExpand
00007ff80b0d64f0 (__TEXT,__text) external _CCHKDFExtract
00007ff80b0d271c (__TEXT,__text) external _CCHmac
00007ff80b0d953b (__TEXT,__text) external _CCHmacClone
00007ff80b0d9484 (__TEXT,__text) external _CCHmacCreate
00007ff80b0d944a (__TEXT,__text) external _CCHmacDestroy
00007ff80b0d5c36 (__TEXT,__text) external _CCHmacFinal
00007ff80b0d5bc0 (__TEXT,__text) external _CCHmacInit
00007ff80b0d94f4 (__TEXT,__text) external _CCHmacOneShot
00007ff80b0d947a (__TEXT,__text) external _CCHmacOutputSize
00007ff80b0d946e (__TEXT,__text) external _CCHmacOutputSizeFromRef
00007ff80b0d5c1f (__TEXT,__text) external _CCHmacUpdate
00007ff80b0d6158 (__TEXT,__text) external _CCKDFParametersCreateAnsiX963
00007ff80b0d6016 (__TEXT,__text) external _CCKDFParametersCreateCtrHmac
00007ff80b0d608c (__TEXT,__text) external _CCKDFParametersCreateCtrHmacFixed
00007ff80b0d60e2 (__TEXT,__text) external _CCKDFParametersCreateHkdf
00007ff80b0d5fb8 (__TEXT,__text) external _CCKDFParametersCreatePbkdf2
00007ff80b0d61ae (__TEXT,__text) external _CCKDFParametersDestroy
00007ff80b0d61d2 (__TEXT,__text) external _CCKeyDerivationHMac
00007ff80b0d5cd2 (__TEXT,__text) external _CCKeyDerivationPBKDF
00007ff80b0da083 (__TEXT,__text) external _CCRSACryptorCreateFromData
00007ff80b0d9aec (__TEXT,__text) external _CCRSACryptorCreatePublicKeyFromPrivateKey
00007ff80b0d9f39 (__TEXT,__text) external _CCRSACryptorCrypt
00007ff80b0d9e8b (__TEXT,__text) external _CCRSACryptorDecrypt
00007ff80b0d9dbb (__TEXT,__text) external _CCRSACryptorEncrypt
00007ff80b0d9d08 (__TEXT,__text) external _CCRSACryptorExport
00007ff80b0d9959 (__TEXT,__text) external _CCRSACryptorGeneratePair
00007ff80b0d9ba3 (__TEXT,__text) external _CCRSACryptorGetPublicKeyFromPrivateKey
00007ff80b0d9bdf (__TEXT,__text) external _CCRSACryptorImport
00007ff80b0da25c (__TEXT,__text) external _CCRSACryptorRecoverPrivateKey
00007ff80b0d9b99 (__TEXT,__text) external _CCRSACryptorRelease
00007ff80b0da60c (__TEXT,__text) external _CCRSACryptorSign
00007ff80b0da735 (__TEXT,__text) external _CCRSACryptorVerify
00007ff80b0da487 (__TEXT,__text) external _CCRSAGetCRTComponents
00007ff80b0da3a3 (__TEXT,__text) external _CCRSAGetCRTComponentsSizes
00007ff80b0da357 (__TEXT,__text) external _CCRSAGetKeyComponents
00007ff80b0d9bcc (__TEXT,__text) external _CCRSAGetKeySize
00007ff80b0d9bad (__TEXT,__text) external _CCRSAGetKeyType
                 (undefined) external _CCRSA_PKCS1_FAULT_CANARY (from libcorecrypto)
                 (undefined) external _CCRSA_PSS_FAULT_CANARY (from libcorecrypto)
00007ff80b0d3bf8 (__TEXT,__text) external _CCRandomCopyBytes
00007ff80b0d3c08 (__TEXT,__text) external _CCRandomGenerateBytes
00007ff80b0d991e (__TEXT,__text) external _CCRandomUniform
00007ff80b0da984 (__TEXT,__text) external _CCSymmetricKeyUnwrap
00007ff80b0da840 (__TEXT,__text) external _CCSymmetricKeyWrap
00007ff80b0dab84 (__TEXT,__text) external _CCSymmetricUnwrappedSize
00007ff80b0dab77 (__TEXT,__text) external _CCSymmetricWrappedSize
00007ff80b0d5c64 (__TEXT,__text) external _CC_MD2
00007ff80b0d8292 (__TEXT,__text) external _CC_MD2_Final
00007ff80b0d80f2 (__TEXT,__text) external _CC_MD2_Init
00007ff80b0d819f (__TEXT,__text) external _CC_MD2_Update
00007ff80b0d8020 (__TEXT,__text) external _CC_MD4
00007ff80b0d5aad (__TEXT,__text) external _CC_MD4_Final
00007ff80b0d58d4 (__TEXT,__text) external _CC_MD4_Init
00007ff80b0d5992 (__TEXT,__text) external _CC_MD4_Update
00007ff80b0d26ec (__TEXT,__text) external _CC_MD5
00007ff80b0d2539 (__TEXT,__text) external _CC_MD5_Final
00007ff80b0d1f60 (__TEXT,__text) external _CC_MD5_Init
00007ff80b0d241e (__TEXT,__text) external _CC_MD5_Update
00007ff80b0d2658 (__TEXT,__text) external _CC_SHA1
00007ff80b0d2bf5 (__TEXT,__text) external _CC_SHA1_Final
00007ff80b0d2a1c (__TEXT,__text) external _CC_SHA1_Init
00007ff80b0d2ada (__TEXT,__text) external _CC_SHA1_Update
00007ff80b0d8058 (__TEXT,__text) external _CC_SHA224
00007ff80b0d83fb (__TEXT,__text) external _CC_SHA224_Final
00007ff80b0d838b (__TEXT,__text) external _CC_SHA224_Init
00007ff80b0d83eb (__TEXT,__text) external _CC_SHA224_Update
00007ff80b0d2d08 (__TEXT,__text) external _CC_SHA256
00007ff80b0d290d (__TEXT,__text) external _CC_SHA256_Final
00007ff80b0d2795 (__TEXT,__text) external _CC_SHA256_Init
00007ff80b0d27f5 (__TEXT,__text) external _CC_SHA256_Update
00007ff80b0d8088 (__TEXT,__text) external _CC_SHA384
00007ff80b0d84c5 (__TEXT,__text) external _CC_SHA384_Final
00007ff80b0d8456 (__TEXT,__text) external _CC_SHA384_Init
00007ff80b0d84b5 (__TEXT,__text) external _CC_SHA384_Update
00007ff80b0d80b8 (__TEXT,__text) external _CC_SHA512
00007ff80b0d48ee (__TEXT,__text) external _CC_SHA512_Final
00007ff80b0d4826 (__TEXT,__text) external _CC_SHA512_Init
00007ff80b0d4886 (__TEXT,__text) external _CC_SHA512_Update
00007ff8423050b0 (__DATA,__const) external _CCrfc3394_iv
00007ff80b0dc920 (__TEXT,__const) external _CCrfc3394_ivLen
00007ff80b0d4c30 (__TEXT,__text) non-external (was a private external) _CNBufferCreate
00007ff80b0db9fe (__TEXT,__text) non-external (was a private external) _CNBufferEmpty
00007ff80b0d51ba (__TEXT,__text) non-external (was a private external) _CNBufferFlushData
00007ff80b0d4cf9 (__TEXT,__text) non-external (was a private external) _CNBufferProcessData
00007ff80b0d5297 (__TEXT,__text) non-external (was a private external) _CNBufferRelease
00007ff80b0d5327 (__TEXT,__text) external _CNCRC
00007ff80b0db30e (__TEXT,__text) external _CNCRCDumpTable
00007ff80b0db2c3 (__TEXT,__text) external _CNCRCFinal
00007ff80b0db1da (__TEXT,__text) external _CNCRCInit
00007ff80b0db265 (__TEXT,__text) external _CNCRCRelease
00007ff80b0db272 (__TEXT,__text) external _CNCRCUpdate
00007ff80b0db360 (__TEXT,__text) external _CNCRCWeakTest
00007ff80b0d496b (__TEXT,__text) external _CNEncode
00007ff80b0db8f7 (__TEXT,__text) external _CNEncoderBlocksize
00007ff80b0db993 (__TEXT,__text) external _CNEncoderBlocksizeFromRef
00007ff80b0d4a14 (__TEXT,__text) external _CNEncoderCreate
00007ff80b0dbd5e (__TEXT,__text) non-external _CNEncoderCreate.cold.1
00007ff80b0dbde8 (__TEXT,__text) non-external _CNEncoderCreate.cold.2
00007ff80b0dbe72 (__TEXT,__text) non-external _CNEncoderCreate.cold.3
00007ff80b0db3c6 (__TEXT,__text) external _CNEncoderCreateCustom
00007ff80b0d50c3 (__TEXT,__text) external _CNEncoderFinal
00007ff80b0db5e3 (__TEXT,__text) external _CNEncoderGetOutputLength
00007ff80b0db6d9 (__TEXT,__text) external _CNEncoderGetOutputLengthFromEncoding
00007ff80b0d522d (__TEXT,__text) external _CNEncoderRelease
00007ff80b0d4c7c (__TEXT,__text) external _CNEncoderUpdate
00007ff80b0d80e8 (__TEXT,__text) external _MD5Final
                 (undefined) weak external ____chkstk_darwin (from libsystem_pthread)
00007ff80b0d23f0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ff80b0d76d0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
                 (undefined) external ___memcpy_chk (from libsystem_c)
                 (undefined) external ___stack_chk_fail (from libsystem_c)
                 (undefined) external ___stack_chk_guard (from libsystem_c)
                 (undefined) external __os_alloc_once (from libsystem_platform)
                 (undefined) external __os_alloc_once_table (from libsystem_kernel)
                 (undefined) external __os_crash (from libsystem_c)
                 (undefined) external __os_log_default (from libsystem_trace)
                 (undefined) external __os_log_fault_impl (from libsystem_trace)
00007ff842304a00 (__DATA,__const) non-external (was a private external) _adler32
00007ff80b0d5dcc (__TEXT,__text) non-external _adler32_final
00007ff80b0d5d6d (__TEXT,__text) non-external _adler32_implementation
00007ff80b0d5dd5 (__TEXT,__text) non-external _adler32_oneshot
00007ff80b0d5e34 (__TEXT,__text) non-external _adler32_setup
00007ff80b0d3b3b (__TEXT,__text) non-external _ccClearCryptor
00007ff80b0d3c57 (__TEXT,__text) external _ccDRBGGetRngState
00007ff80b0d5ca8 (__TEXT,__text) external _ccDevRandomGetRngState
00007ff80b0d87dd (__TEXT,__text) non-external _ccECCryptorFree
00007ff80b0d871d (__TEXT,__text) non-external _ccECpairwiseConsistencyCheck
00007ff80b0d8605 (__TEXT,__text) non-external _ccMallocECCryptor
00007ff80b0d9a8c (__TEXT,__text) non-external _ccMallocRSACryptor
00007ff80b0d9b45 (__TEXT,__text) non-external _ccRSACryptorClear
00007ff80b0dc910 (__TEXT,__const) non-external _ccRandomDefaultStruct
00007ff80b0d4246 (__TEXT,__text) non-external _ccSimpleUpdate
00007ff80b0d6e9f (__TEXT,__text) non-external _cc_alloc
                 (undefined) external _cc_clear (from libcorecrypto)
                 (undefined) external _cc_cmp_safe (from libcorecrypto)
00007ff80b0d6ef6 (__TEXT,__text) non-external _cc_free
00007ff80b0daba8 (__TEXT,__text) non-external _cc_rc4_crypt_mode
00007ff80b0d6eac (__TEXT,__text) non-external _cc_realloc
                 (undefined) external _ccaes_cbc_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_cbc_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_ccm_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_ccm_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_cfb8_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_cfb8_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_cfb_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_cfb_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_ctr_crypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_ecb_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_ecb_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_gcm_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_gcm_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_ofb_crypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_xts_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_xts_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccansikdf_x963 (from libcorecrypto)
                 (undefined) external _ccblowfish_cbc_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_cbc_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_cfb8_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_cfb8_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_cfb_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_cfb_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_ctr_crypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_ecb_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_ecb_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_ofb_crypt_mode (from libcorecrypto)
                 (undefined) external _cccast_cbc_decrypt_mode (from libcorecrypto)
                 (undefined) external _cccast_cbc_encrypt_mode (from libcorecrypto)
                 (undefined) external _cccast_cfb8_decrypt_mode (from libcorecrypto)
                 (undefined) external _cccast_cfb8_encrypt_mode (from libcorecrypto)
                 (undefined) external _cccast_cfb_decrypt_mode (from libcorecrypto)
                 (undefined) external _cccast_cfb_encrypt_mode (from libcorecrypto)
                 (undefined) external _cccast_ctr_crypt_mode (from libcorecrypto)
                 (undefined) external _cccast_ecb_decrypt_mode (from libcorecrypto)
                 (undefined) external _cccast_ecb_encrypt_mode (from libcorecrypto)
                 (undefined) external _cccast_ofb_crypt_mode (from libcorecrypto)
00007ff80b0dac06 (__TEXT,__text) non-external _cccbc_getiv
00007ff842305500 (__DATA,__const) non-external (was a private external) _cccbc_mode
00007ff80b0d431e (__TEXT,__text) non-external _cccbc_mode_crypt
00007ff80b0d41a1 (__TEXT,__text) non-external _cccbc_mode_get_block_size
00007ff80b0d3e24 (__TEXT,__text) non-external _cccbc_mode_get_ctx_size
00007ff80b0d3e3b (__TEXT,__text) non-external _cccbc_mode_setup
00007ff80b0d44a9 (__TEXT,__text) non-external _cccbc_setiv
                 (undefined) external _ccccm_cbcmac (from libcorecrypto)
00007ff842305730 (__DATA,__const) non-external (was a private external) _ccccm_mode
00007ff80b0daf9b (__TEXT,__text) non-external _ccccm_mode_crypt
00007ff80b0dafc1 (__TEXT,__text) non-external _ccccm_mode_done
00007ff80b0daf60 (__TEXT,__text) non-external _ccccm_mode_get_block_size
00007ff80b0daf52 (__TEXT,__text) non-external _ccccm_mode_get_ctx_size
00007ff80b0daf6a (__TEXT,__text) non-external _ccccm_mode_setup
                 (undefined) external _ccccm_set_iv (from libcorecrypto)
00007ff8423055a0 (__DATA,__const) non-external (was a private external) _cccfb8_mode
00007ff80b0dacae (__TEXT,__text) non-external _cccfb8_mode_crypt
00007ff80b0dac89 (__TEXT,__text) non-external _cccfb8_mode_get_block_size
00007ff80b0dac80 (__TEXT,__text) non-external _cccfb8_mode_get_ctx_size
00007ff80b0dac93 (__TEXT,__text) non-external _cccfb8_mode_setup
00007ff842305550 (__DATA,__const) non-external (was a private external) _cccfb_mode
00007ff80b0dac5c (__TEXT,__text) non-external _cccfb_mode_crypt
00007ff80b0dac37 (__TEXT,__text) non-external _cccfb_mode_get_block_size
00007ff80b0dac2e (__TEXT,__text) non-external _cccfb_mode_get_ctx_size
00007ff80b0dac41 (__TEXT,__text) non-external _cccfb_mode_setup
                 (undefined) external _ccchacha20 (from libcorecrypto)
                 (undefined) external _ccchacha20poly1305_decrypt_oneshot (from libcorecrypto)
                 (undefined) external _ccchacha20poly1305_encrypt_oneshot (from libcorecrypto)
                 (undefined) external _ccchacha20poly1305_info (from libcorecrypto)
                 (undefined) external _ccckg_contributor_commit (from libcorecrypto)
                 (undefined) external _ccckg_contributor_finish (from libcorecrypto)
                 (undefined) external _ccckg_init (from libcorecrypto)
                 (undefined) external _ccckg_owner_finish (from libcorecrypto)
                 (undefined) external _ccckg_owner_generate_share (from libcorecrypto)
                 (undefined) external _ccckg_sizeof_commitment (from libcorecrypto)
                 (undefined) external _ccckg_sizeof_ctx (from libcorecrypto)
                 (undefined) external _ccckg_sizeof_opening (from libcorecrypto)
                 (undefined) external _ccckg_sizeof_share (from libcorecrypto)
                 (undefined) external _cccmac_final_generate (from libcorecrypto)
                 (undefined) external _cccmac_init (from libcorecrypto)
                 (undefined) external _cccmac_one_shot_generate (from libcorecrypto)
                 (undefined) external _cccmac_update (from libcorecrypto)
00007ff842305040 (__DATA,__const) non-external (was a private external) _ccconversionTable
00007ff8423055f0 (__DATA,__const) non-external (was a private external) _ccctr_mode
00007ff80b0dad00 (__TEXT,__text) non-external _ccctr_mode_crypt
00007ff80b0dacdb (__TEXT,__text) non-external _ccctr_mode_get_block_size
00007ff80b0dacd2 (__TEXT,__text) non-external _ccctr_mode_get_ctx_size
00007ff80b0dace5 (__TEXT,__text) non-external _ccctr_mode_setup
00007ff80b0dad24 (__TEXT,__text) non-external _ccctr_setiv
00007ff80b0db0d8 (__TEXT,__text) non-external _cccts3_decrypt_pad
00007ff80b0db0a8 (__TEXT,__text) non-external _cccts3_encrypt_pad
00007ff8423057c0 (__DATA,__const) non-external (was a private external) _cccts3_pad
00007ff80b0db108 (__TEXT,__text) non-external _cccts3_padlen
00007ff80b0db17c (__TEXT,__text) non-external _cccts3_reserve
                 (undefined) external _ccder_decode_rsa_priv (from libcorecrypto)
                 (undefined) external _ccder_decode_rsa_priv_n (from libcorecrypto)
                 (undefined) external _ccder_decode_rsa_pub_n (from libcorecrypto)
                 (undefined) external _ccder_decode_rsa_pub_x509_n (from libcorecrypto)
                 (undefined) external _ccder_encode_rsa_priv (from libcorecrypto)
                 (undefined) external _ccder_encode_rsa_priv_size (from libcorecrypto)
                 (undefined) external _ccder_encode_rsa_pub_size (from libcorecrypto)
                 (undefined) external _ccdes3_cbc_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccdes3_cbc_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccdes3_cfb8_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccdes3_cfb8_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccdes3_cfb_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccdes3_cfb_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccdes3_ctr_crypt_mode (from libcorecrypto)
                 (undefined) external _ccdes3_ecb_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccdes3_ecb_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccdes3_ofb_crypt_mode (from libcorecrypto)
                 (undefined) external _ccdes_cbc_cksum (from libcorecrypto)
                 (undefined) external _ccdes_cbc_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccdes_cbc_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccdes_cfb8_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccdes_cfb8_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccdes_cfb_decrypt_mode (from libcorecrypto)
