00007ff81186f9c0 (__TEXT,__text) external _BNNSAffineGridSample
00007ff811896bd9 (__TEXT,__text) external _BNNSDirectApplyFullyConnectedBatch
00007ff81188a400 (__TEXT,__text) external _BNNSDirectApplyInTopK
00007ff811896e42 (__TEXT,__text) external _BNNSDirectApplyLSTMBatchBackward
00007ff811896bed (__TEXT,__text) external _BNNSDirectApplyLSTMBatchTrainingCaching
00007ff8118706c6 (__TEXT,__text) external _BNNSDirectApplyQuantizer
00007ff811889ec4 (__TEXT,__text) external _BNNSDirectApplyReduction
00007ff81188a3c9 (__TEXT,__text) external _BNNSDirectApplyTopK
00007ff811898de8 (__TEXT,__text) external _BNNSFilterApply
00007ff811893e57 (__TEXT,__text) external _BNNSFilterApplyBackwardBatch
00007ff81187fb5c (__TEXT,__text) external _BNNSFilterApplyBackwardTwoInputBatch
00007ff811892594 (__TEXT,__text) external _BNNSFilterApplyBatch
00007ff81187f23f (__TEXT,__text) external _BNNSFilterApplyTwoInput
00007ff81187f264 (__TEXT,__text) external _BNNSFilterApplyTwoInputBatch
00007ff81188bdad (__TEXT,__text) external _BNNSFilterCreateBatchLayerFullyConnected
00007ff8118987f4 (__TEXT,__text) external _BNNSFilterCreateConvolutionLayer
00007ff811898a0e (__TEXT,__text) external _BNNSFilterCreateFullyConnectedLayer
00007ff81188e42e (__TEXT,__text) external _BNNSFilterCreateFusedLayer
00007ff81188c711 (__TEXT,__text) external _BNNSFilterCreateLayerActivation
00007ff81188d5ab (__TEXT,__text) external _BNNSFilterCreateLayerArithmetic
00007ff81187f230 (__TEXT,__text) external _BNNSFilterCreateLayerBroadcastMatMul
00007ff81188b3be (__TEXT,__text) external _BNNSFilterCreateLayerConvolution
00007ff811888507 (__TEXT,__text) external _BNNSFilterCreateLayerDepthwiseConvolution
00007ff81188e41a (__TEXT,__text) external _BNNSFilterCreateLayerDropout
00007ff81186fe04 (__TEXT,__text) external _BNNSFilterCreateLayerEmbedding
00007ff81188bda1 (__TEXT,__text) external _BNNSFilterCreateLayerFullyConnected
00007ff81187f204 (__TEXT,__text) external _BNNSFilterCreateLayerGram
00007ff81188c71b (__TEXT,__text) external _BNNSFilterCreateLayerLoss
00007ff811880a66 (__TEXT,__text) external _BNNSFilterCreateLayerMultiheadAttention
00007ff81188d3d9 (__TEXT,__text) external _BNNSFilterCreateLayerNormalization
00007ff81188e424 (__TEXT,__text) external _BNNSFilterCreateLayerPadding
00007ff81188e410 (__TEXT,__text) external _BNNSFilterCreateLayerPermute
00007ff81188c707 (__TEXT,__text) external _BNNSFilterCreateLayerPooling
00007ff81188947d (__TEXT,__text) external _BNNSFilterCreateLayerReduction
00007ff8118805a8 (__TEXT,__text) external _BNNSFilterCreateLayerResize
00007ff811873632 (__TEXT,__text) external _BNNSFilterCreateLayerSparseEmbedding
00007ff81188bdb7 (__TEXT,__text) external _BNNSFilterCreateLayerSparseFullyConnected
00007ff81187f1d2 (__TEXT,__text) external _BNNSFilterCreateLayerTensorContraction
00007ff81188b3c8 (__TEXT,__text) external _BNNSFilterCreateLayerTransposedConvolution
00007ff811898b7d (__TEXT,__text) external _BNNSFilterCreatePoolingLayer
00007ff811898e02 (__TEXT,__text) external _BNNSFilterCreateVectorActivationLayer
00007ff8118981fa (__TEXT,__text) external _BNNSFilterDestroy
00007ff81188b0af (__TEXT,__text) external _BNNSFilterGetState
00007ff81188abd2 (__TEXT,__text) external _BNNSFilterGetStateSize
00007ff81188ad50 (__TEXT,__text) external _BNNSFilterSetState
00007ff8118e19f6 (__TEXT,__text) external _BNNSFunctionGRUFusedGates
00007ff811895d80 (__TEXT,__text) external _BNNSFusedFilterApplyBackwardBatch
00007ff81187bd50 (__TEXT,__text) external _BNNSFusedFilterApplyBackwardMultiInputBatch
00007ff811891854 (__TEXT,__text) external _BNNSFusedFilterApplyBatch
00007ff811878e3f (__TEXT,__text) external _BNNSFusedFilterApplyMultiInputBatch
00007ff81186ae88 (__TEXT,__text) external _BNNSGather
00007ff81186c280 (__TEXT,__text) external _BNNSGatherND
00007ff811889ece (__TEXT,__text) external _BNNSGetPointer
00007ff81169129c (__TEXT,__text) external _BNNSGraphAnalyzeIRSize
00007ff81153c0be (__TEXT,__text) external _BNNSGraphCompileFromFile
00007ff81168431d (__TEXT,__text) external _BNNSGraphCompileFromFile_v2
00007ff81168417d (__TEXT,__text) external _BNNSGraphCompileMLIR
00007ff811687909 (__TEXT,__text) external _BNNSGraphCompileOptionShareIOPointer
00007ff81168635f (__TEXT,__text) external _BNNSGraphCompileOptionsDestroy
00007ff811687767 (__TEXT,__text) external _BNNSGraphCompileOptionsGetBlockSize
00007ff811686773 (__TEXT,__text) external _BNNSGraphCompileOptionsGetCompilationEnableSignposts
00007ff81168781f (__TEXT,__text) external _BNNSGraphCompileOptionsGetDeduplicationMode
00007ff8116866c9 (__TEXT,__text) external _BNNSGraphCompileOptionsGetDownconvertMode
00007ff811687871 (__TEXT,__text) external _BNNSGraphCompileOptionsGetFileWriteFSyncBarrier
00007ff81168662b (__TEXT,__text) external _BNNSGraphCompileOptionsGetGenerateDebugInfo
00007ff811686e17 (__TEXT,__text) external _BNNSGraphCompileOptionsGetOptimizationPreference
00007ff811686cc5 (__TEXT,__text) external _BNNSGraphCompileOptionsGetOutputFD
00007ff811686c5b (__TEXT,__text) external _BNNSGraphCompileOptionsGetOutputPath
00007ff8116878bd (__TEXT,__text) external _BNNSGraphCompileOptionsGetPreallocateOutputFile
00007ff811686677 (__TEXT,__text) external _BNNSGraphCompileOptionsGetPredefinedOptimizations
00007ff81168771b (__TEXT,__text) external _BNNSGraphCompileOptionsGetShapeBounding
00007ff81168680e (__TEXT,__text) external _BNNSGraphCompileOptionsGetTarget
00007ff8116865df (__TEXT,__text) external _BNNSGraphCompileOptionsGetTargetSingleThread
00007ff81168671e (__TEXT,__text) external _BNNSGraphCompileOptionsGetUpconvertMode
00007ff811687648 (__TEXT,__text) external _BNNSGraphCompileOptionsGetUserData
00007ff8116867c2 (__TEXT,__text) external _BNNSGraphCompileOptionsGetValidateMILFile
00007ff811686dc8 (__TEXT,__text) external _BNNSGraphCompileOptionsGetWeightsFD
00007ff811686d5e (__TEXT,__text) external _BNNSGraphCompileOptionsGetWeightsPath
00007ff8116861c9 (__TEXT,__text) external _BNNSGraphCompileOptionsMakeDefault
00007ff811687742 (__TEXT,__text) external _BNNSGraphCompileOptionsSetBlockSize
00007ff81168674b (__TEXT,__text) external _BNNSGraphCompileOptionsSetCompilationEnableSignposts
00007ff8116877f7 (__TEXT,__text) external _BNNSGraphCompileOptionsSetDeduplicationMode
00007ff8116866a1 (__TEXT,__text) external _BNNSGraphCompileOptionsSetDownconvertMode
00007ff81168784c (__TEXT,__text) external _BNNSGraphCompileOptionsSetFileWriteFSyncBarrier
00007ff811686606 (__TEXT,__text) external _BNNSGraphCompileOptionsSetGenerateDebugInfo
00007ff8116878e4 (__TEXT,__text) external _BNNSGraphCompileOptionsSetInputFormat
00007ff81168778e (__TEXT,__text) external _BNNSGraphCompileOptionsSetMessageLogCallback
00007ff8116877cf (__TEXT,__text) external _BNNSGraphCompileOptionsSetMessageLogMask
00007ff811686df2 (__TEXT,__text) external _BNNSGraphCompileOptionsSetOptimizationPreference
00007ff811686ca0 (__TEXT,__text) external _BNNSGraphCompileOptionsSetOutputFD
00007ff811686b2a (__TEXT,__text) external _BNNSGraphCompileOptionsSetOutputPath
00007ff811686c0e (__TEXT,__text) external _BNNSGraphCompileOptionsSetOutputPathWithPermissions
00007ff811686b7b (__TEXT,__text) external _BNNSGraphCompileOptionsSetOutputPathWithPermissionsAndProtectionClass
00007ff811687898 (__TEXT,__text) external _BNNSGraphCompileOptionsSetPreallocateOutputFile
00007ff811686652 (__TEXT,__text) external _BNNSGraphCompileOptionsSetPredefinedOptimizations
00007ff8116876f6 (__TEXT,__text) external _BNNSGraphCompileOptionsSetShapeBounding
00007ff8116867e9 (__TEXT,__text) external _BNNSGraphCompileOptionsSetTarget
00007ff811686838 (__TEXT,__text) external _BNNSGraphCompileOptionsSetTargetByChipsetID
00007ff811686458 (__TEXT,__text) external _BNNSGraphCompileOptionsSetTargetSingleThread
00007ff8116866f6 (__TEXT,__text) external _BNNSGraphCompileOptionsSetUpconvertMode
00007ff811686e41 (__TEXT,__text) external _BNNSGraphCompileOptionsSetUserData
00007ff81168679d (__TEXT,__text) external _BNNSGraphCompileOptionsSetValidateMILFile
00007ff811686da3 (__TEXT,__text) external _BNNSGraphCompileOptionsSetWeightsFD
00007ff811686cef (__TEXT,__text) external _BNNSGraphCompileOptionsSetWeightsPathWithPermissions
00007ff81153ca85 (__TEXT,__text) external _BNNSGraphContextCreate
00007ff81153caad (__TEXT,__text) external _BNNSGraphContextDestroy
00007ff81168c3bb (__TEXT,__text) external _BNNSGraphContextDestroy_v2
00007ff811695dbd (__TEXT,__text) external _BNNSGraphContextEnableNanAndInfChecks
00007ff811695821 (__TEXT,__text) external _BNNSGraphContextEnablePerformanceData
00007ff81168ccab (__TEXT,__text) external _BNNSGraphContextEnableSignposts
00007ff81168d29b (__TEXT,__text) external _BNNSGraphContextEnforceValidation
00007ff81153cdf9 (__TEXT,__text) external _BNNSGraphContextExecute
00007ff81168d53b (__TEXT,__text) external _BNNSGraphContextExecute_v2
00007ff81153cd9c (__TEXT,__text) external _BNNSGraphContextGetArgPosition
00007ff81168ca31 (__TEXT,__text) external _BNNSGraphContextGetArgumentPosition
00007ff81153c8e3 (__TEXT,__text) external _BNNSGraphContextGetContextSize
00007ff81168a8a0 (__TEXT,__text) external _BNNSGraphContextGetTensor
00007ff81153c898 (__TEXT,__text) external _BNNSGraphContextGetTensorDescriptor
00007ff811689eec (__TEXT,__text) external _BNNSGraphContextGetTensorDescriptor_v2
00007ff81153cd77 (__TEXT,__text) external _BNNSGraphContextGetWorkspaceSize
00007ff81168c9af (__TEXT,__text) external _BNNSGraphContextGetWorkspaceSize_v2
00007ff81153cad0 (__TEXT,__text) external _BNNSGraphContextInitialize
00007ff81168c17e (__TEXT,__text) external _BNNSGraphContextMake
00007ff81168c3a8 (__TEXT,__text) external _BNNSGraphContextMakeExperimentalStateSupport
00007ff81168c191 (__TEXT,__text) external _BNNSGraphContextMakeFromFile
00007ff81168dec7 (__TEXT,__text) external _BNNSGraphContextMakeStreaming
00007ff81168bd40 (__TEXT,__text) external _BNNSGraphContextMakeWithLogging
00007ff81169597b (__TEXT,__text) external _BNNSGraphContextPerformanceDataGetExecutionCount
00007ff811695a35 (__TEXT,__text) external _BNNSGraphContextPerformanceDataGetTotalExecutionTime
00007ff81168dd95 (__TEXT,__text) external _BNNSGraphContextReplaceAllFunctions
00007ff81168d9c7 (__TEXT,__text) external _BNNSGraphContextReplaceFunctions
00007ff81168d451 (__TEXT,__text) external _BNNSGraphContextSetAdvancedWorkspaceReuse
00007ff81153cdd3 (__TEXT,__text) external _BNNSGraphContextSetArgType
00007ff81168d15d (__TEXT,__text) external _BNNSGraphContextSetArgumentType
00007ff81168c67e (__TEXT,__text) external _BNNSGraphContextSetBatchSize_v2
00007ff811695d35 (__TEXT,__text) external _BNNSGraphContextSetDebugIntermediates_v3
00007ff81153cd3b (__TEXT,__text) external _BNNSGraphContextSetDynamicShapes
00007ff81168c50a (__TEXT,__text) external _BNNSGraphContextSetDynamicShapes_v2
00007ff81153cc54 (__TEXT,__text) external _BNNSGraphContextSetDynamicSizes
00007ff81168d1e5 (__TEXT,__text) external _BNNSGraphContextSetInternalValidation
00007ff81168c0de (__TEXT,__text) external _BNNSGraphContextSetMessageLogCallback
00007ff81168d052 (__TEXT,__text) external _BNNSGraphContextSetMessageLogMask
00007ff81168cf30 (__TEXT,__text) external _BNNSGraphContextSetOutputAllocationCallback_v2
00007ff81168d3a1 (__TEXT,__text) external _BNNSGraphContextSetStreamingAdvanceCount
00007ff81168d0da (__TEXT,__text) external _BNNSGraphContextSetWeights
00007ff81168cd33 (__TEXT,__text) external _BNNSGraphContextSetWorkspaceAllocationCallback_v2
00007ff81168f0b1 (__TEXT,__text) external _BNNSGraphDumpIR_v2
00007ff81168a944 (__TEXT,__text) external _BNNSGraphE5Validate
00007ff81168abd4 (__TEXT,__text) external _BNNSGraphE5ValidateGetSupportedVersion
00007ff81153cf65 (__TEXT,__text) external _BNNSGraphExecute
00007ff81168ebc4 (__TEXT,__text) external _BNNSGraphExecute_v2
00007ff81153cf3f (__TEXT,__text) external _BNNSGraphGetArgPosition
00007ff811688a18 (__TEXT,__text) external _BNNSGraphGetArgumentCount
00007ff811688c14 (__TEXT,__text) external _BNNSGraphGetArgumentIntents
00007ff811688ea9 (__TEXT,__text) external _BNNSGraphGetArgumentInterleaveFactors
00007ff811687fa1 (__TEXT,__text) external _BNNSGraphGetArgumentNames
00007ff81168e481 (__TEXT,__text) external _BNNSGraphGetArgumentPosition
00007ff811695c09 (__TEXT,__text) external _BNNSGraphGetDebugString
00007ff811683a10 (__TEXT,__text) external _BNNSGraphGetFunctionCount
00007ff811683bc6 (__TEXT,__text) external _BNNSGraphGetFunctionNames
00007ff811688833 (__TEXT,__text) external _BNNSGraphGetInputCount
00007ff81153c659 (__TEXT,__text) external _BNNSGraphGetInputNames
00007ff811687c05 (__TEXT,__text) external _BNNSGraphGetInputNames_v2
00007ff81153c809 (__TEXT,__text) external _BNNSGraphGetNumInputs
00007ff81153c82d (__TEXT,__text) external _BNNSGraphGetNumOutputs
00007ff811695675 (__TEXT,__text) external _BNNSGraphGetOperationCount
00007ff811695af0 (__TEXT,__text) external _BNNSGraphGetOperationTypeName
00007ff81168864c (__TEXT,__text) external _BNNSGraphGetOutputCount
00007ff81153c7d1 (__TEXT,__text) external _BNNSGraphGetOutputNames
00007ff8116882ea (__TEXT,__text) external _BNNSGraphGetOutputNames_v2
00007ff811695d28 (__TEXT,__text) external _BNNSGraphGetPackageVersion
00007ff811695666 (__TEXT,__text) external _BNNSGraphGetPerformanceDataSize
00007ff81153c691 (__TEXT,__text) external _BNNSGraphGetSize
00007ff811689835 (__TEXT,__text) external _BNNSGraphGetTensor
00007ff81153c851 (__TEXT,__text) external _BNNSGraphGetTensorDescriptor
00007ff8116891a1 (__TEXT,__text) external _BNNSGraphGetTensorDescriptor_v2
00007ff81168e7d0 (__TEXT,__text) external _BNNSGraphGetUserData
00007ff81153cf1e (__TEXT,__text) external _BNNSGraphGetWorkspaceSize
00007ff81168e24c (__TEXT,__text) external _BNNSGraphGetWorkspaceSize_v2
00007ff8116930dc (__TEXT,__text) external _BNNSGraphIRtoDot_v2
00007ff811694664 (__TEXT,__text) external _BNNSGraphIRtoModelExplorerDict
00007ff81153c533 (__TEXT,__text) external _BNNSGraphOptionsCreateDefault
00007ff81153c56e (__TEXT,__text) external _BNNSGraphOptionsSetDebugInfo
00007ff81153c625 (__TEXT,__text) external _BNNSGraphOptionsSetDownconvertMode
00007ff81153c5f4 (__TEXT,__text) external _BNNSGraphOptionsSetOptimizationPreference
00007ff81153c5d0 (__TEXT,__text) external _BNNSGraphOptionsSetOutputPath
00007ff81153c59f (__TEXT,__text) external _BNNSGraphOptionsSetPredefinedOptimizations
00007ff81153c53d (__TEXT,__text) external _BNNSGraphOptionsSetSingleThread
00007ff81168a181 (__TEXT,__text) external _BNNSGraphTensorFillStrides
00007ff81186f9b6 (__TEXT,__text) external _BNNSGumbelMax
00007ff811898174 (__TEXT,__text) external _BNNSInitGumbel
00007ff8118901d0 (__TEXT,__text) external _BNNSLossFilterApplyBackwardBatch
00007ff81188e9d0 (__TEXT,__text) external _BNNSLossFilterApplyBatch
00007ff81186a8c6 (__TEXT,__text) external _BNNSMatMul
00007ff81186a783 (__TEXT,__text) external _BNNSMatMulWorkspaceSize
00007ff81189ab62 (__TEXT,__text) external _BNNSNDArrayConvolutionSparsify
00007ff81189b2a0 (__TEXT,__text) external _BNNSNDArrayConvolutionSparsifySparseCOO
00007ff811899f08 (__TEXT,__text) external _BNNSNDArrayFullyConnectedSparsify
00007ff811899f12 (__TEXT,__text) external _BNNSNDArrayFullyConnectedSparsifySparseCOO
00007ff81189a538 (__TEXT,__text) external _BNNSNDArrayFullyConnectedSparsifySparseCSR
00007ff81189bb7f (__TEXT,__text) external _BNNSNDArrayGetDataSize
00007ff811868dc4 (__TEXT,__text) external _BNNSNearestNeighborsGetInfo
00007ff811868d6d (__TEXT,__text) external _BNNSNearestNeighborsLoad
00007ff81189556c (__TEXT,__text) external _BNNSNormalizationFilterApplyBackwardBatch
00007ff81187ae9f (__TEXT,__text) external _BNNSNormalizationFilterApplyBatch
00007ff81188abc8 (__TEXT,__text) external _BNNSOptimizerStep
00007ff8118936a0 (__TEXT,__text) external _BNNSPermuteFilterApplyBackwardBatch
00007ff811896b9b (__TEXT,__text) external _BNNSPoolingFilterApplyBackwardBatch
00007ff81186f120 (__TEXT,__text) external _BNNSPoolingFilterApplyBackwardBatchEx
00007ff81189367d (__TEXT,__text) external _BNNSPoolingFilterApplyBatch
00007ff81186cde6 (__TEXT,__text) external _BNNSPoolingFilterApplyBatchEx
00007ff811878c50 (__TEXT,__text) external _BNNSRandomFillCategoricalFloat
00007ff811878a3b (__TEXT,__text) external _BNNSRandomFillNormalFloat
00007ff81187863b (__TEXT,__text) external _BNNSRandomFillUniformFloat
00007ff81187884d (__TEXT,__text) external _BNNSRandomFillUniformInt
00007ff81187843b (__TEXT,__text) external _BNNSRandomGeneratorGetState
00007ff8118784fe (__TEXT,__text) external _BNNSRandomGeneratorSetState
00007ff811878424 (__TEXT,__text) external _BNNSRandomGeneratorStateSize
00007ff811685e16 (__TEXT,__text) external _BNNSRepackWeightsFromFile
00007ff81168428f (__TEXT,__text) external _BNNSReplaceByDelegateOpsMLIR
00007ff8116b2d53 (__TEXT,__text) external _BNNSSGemvDWS
00007ff8116b2b27 (__TEXT,__text) external _BNNSSGemvDiscontiguousDWS
00007ff81186b72b (__TEXT,__text) external _BNNSScatter
00007ff81186c7d1 (__TEXT,__text) external _BNNSScatterND
00007ff811684201 (__TEXT,__text) external _BNNSSegmentCoreMLIR
00007ff811d65bec (__TEXT,__text) external _BNNSSetNetwork
00007ff811cdd1fb (__TEXT,__text) external _BNNSSetup
00007ff81186f87c (__TEXT,__text) external _BNNSShuffle
00007ff811875813 (__TEXT,__text) external _BNNSSparseEmbeddingApplyBackward
00007ff8118779e0 (__TEXT,__text) external _BNNSSparseEmbeddingGetDense
00007ff81187705c (__TEXT,__text) external _BNNSSparseEmbeddingOptimizerStep
00007ff811874510 (__TEXT,__text) external _BNNSSparseGetRepresentation
00007ff811874c87 (__TEXT,__text) external _BNNSSparseSetRepresentation
00007ff81189bb89 (__TEXT,__text) external _BNNSTensorGetAllocationSize
00007ff811869bab (__TEXT,__text) external _BNNSTile
00007ff81186a33f (__TEXT,__text) external _BNNSTileBackward
00007ff811887b7c (__TEXT,__text) external _BNNSTranspose
                 (undefined) external _CCCryptorCreateWithMode (from libSystem)
                 (undefined) external _CCCryptorRelease (from libSystem)
                 (undefined) external _CCCryptorUpdate (from libSystem)
                 (undefined) external _CFArrayAppendValue (from CoreFoundation)
                 (undefined) external _CFArrayCreateMutable (from CoreFoundation)
                 (undefined) external _CFBooleanGetTypeID (from CoreFoundation)
                 (undefined) external _CFBooleanGetValue (from CoreFoundation)
                 (undefined) external _CFDataGetBytes (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDictionaryAddValue (from CoreFoundation)
                 (undefined) external _CFDictionaryApplyFunction (from CoreFoundation)
                 (undefined) external _CFDictionaryContainsKey (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetCount (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFNumberCreate (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetLength (from CoreFoundation)
                 (undefined) external _CFStringGetMaximumSizeForEncoding (from CoreFoundation)
                 (undefined) external _CFStringGetTypeID (from CoreFoundation)
                 (undefined) external __Block_copy (from libSystem)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __Block_release (from libSystem)
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __NSGetExecutablePath (from libSystem)
                 (undefined) external __Unwind_Resume (from libSystem)
                 (undefined) weak external __ZN3MIL10IROperator4MakeENSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEENS1_10shared_ptrINS1_13unordered_mapIS7_NS8_INS_11IRParameterEEENS1_4hashIS7_EENS1_8equal_toIS7_EENS5_INS1_4pairIKS7_SB_EEEEEEEENS8_INS1_6vectorISB_NS5_ISB_EEEEEENS1_8functionIFNS_16ValidationResultERKNS_11IROperationEEEENSQ_IFNS8_IKNS_7IRValueEEESU_EEE (from MIL)
                 (undefined) weak external __ZN3MIL10MILContext4MakeEv (from MIL)
                 (undefined) weak external __ZN3MIL11IRParameter11MakeTypeSetESt16initializer_listIPKNS_11IRValueTypeEE (from MIL)
                 (undefined) weak external __ZN3MIL11IRParameter4MakeENSt3__110shared_ptrINS1_13unordered_setIPKNS_11IRValueTypeENS1_4hashIS6_EENS1_8equal_toIS6_EENS1_9allocatorIS6_EEEEEE (from MIL)
                 (undefined) weak external __ZN3MIL13ParserOptions4MakeEv (from MIL)
                 (undefined) weak external __ZN3MIL16ValidationResultC1ENSt3__110shared_ptrIKNS_8LocationEEENS_16ValidationReasonENS1_12basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEE (from MIL)
                 (undefined) weak external __ZN3MIL16ValidationResultC1Ev (from MIL)
                 (undefined) weak external __ZN3MIL16ValidationResultD1Ev (from MIL)
                 (undefined) weak external __ZN3MIL17IRTensorValueType10MakeScalarERNS_10MILContextENS_10IRDataTypeE (from MIL)
                 (undefined) weak external __ZN3MIL17IRTensorValueType13MakeWithShapeERNS_10MILContextENS_10IRDataTypeEONSt3__16vectorIPKNS_11IRDimensionENS4_9allocatorIS8_EEEE (from MIL)
                 (undefined) weak external __ZN3MIL18IRUnknownDimension4MakeERNS_10MILContextEb (from MIL)
                 (undefined) weak external __ZN3MIL19IRConstantDimension4MakeERNS_10MILContextEy (from MIL)
                 (undefined) weak external __ZN3MIL4Text20ParseProgramFromFileENSt3__110shared_ptrINS_10MILContextEEERKNS_13ParserOptionsE (from MIL)
                 (undefined) weak external __ZN3MIL7IROpset10RegisterOpEONSt3__110shared_ptrIKNS_10IROperatorEEE (from MIL)
                 (undefined) weak external __ZN3MIL7IROpsetC2Ev (from MIL)
                 (undefined) weak external __ZN3MIL7IROpsetD2Ev (from MIL)
00007ff81153bfd4 (__TEXT,__text) external __ZN4bnns12GraphCompileE16BNNSTargetSystemONSt3__110unique_ptrIN3MIL9IRProgramENS1_14default_deleteIS4_EEEENS1_12basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEEPKNS_12GraphOptionsE
00007ff8116836ec (__TEXT,__text) external __ZN4bnns12GraphCompileEONSt3__110unique_ptrIN3MIL9IRProgramENS0_14default_deleteIS3_EEEEPKc28bnns_graph_compile_options_t
00007ff811682ffe (__TEXT,__text) external __ZN4bnns12GraphCompileERKN3MIL9IRProgramEPKc28bnns_graph_compile_options_t
00007ff81133615c (__TEXT,__text) external __ZN4bnns12GraphOptions14DefaultOptionsEv
00007ff811336836 (__TEXT,__text) external __ZN4bnns12GraphOptions17set_single_threadEb
00007ff81133684a (__TEXT,__text) external __ZN4bnns12GraphOptions23set_generate_debug_infoEb
00007ff81133685e (__TEXT,__text) external __ZN4bnns12GraphOptions28set_predefined_optimizationsEj
00007ff811336064 (__TEXT,__text) external __ZN4bnns12GraphOptionsD0Ev
00007ff81133605e (__TEXT,__text) external __ZN4bnns12GraphOptionsD1Ev
00007ff811336156 (__TEXT,__text) external __ZN4bnns12GraphOptionsD2Ev
00007ff811684100 (__TEXT,__text) external __ZN4bnns13RepackWeightsEONSt3__110unique_ptrIN3MIL9IRProgramENS0_14default_deleteIS3_EEEE12bnns_graph_t28bnns_graph_compile_options_t
00007ff811683769 (__TEXT,__text) external __ZN4bnns13RepackWeightsERKN3MIL9IRProgramE12bnns_graph_t28bnns_graph_compile_options_t
00007ff811857ff1 (__TEXT,__text) external __ZN4bnns14RegisterOpsetsERN3MIL10MILContextE
                 (undefined) weak external __ZNK3MIL10IRArgument7GetNameEv (from MIL)
                 (undefined) weak external __ZNK3MIL10IRProperty10AsConstantEv (from MIL)
                 (undefined) weak external __ZNK3MIL10IRProperty13TryAsConstantEv (from MIL)
                 (undefined) weak external __ZNK3MIL10MILContext8GetOpsetERKNSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEE (from MIL)
                 (undefined) weak external __ZNK3MIL11IRListValue9GetValuesEv (from MIL)
