                 (undefined) external _XML_ErrorString (from libexpat)
                 (undefined) external _XML_GetErrorCode (from libexpat)
                 (undefined) external _XML_Parse (from libexpat)
                 (undefined) external _XML_ParserCreate (from libexpat)
                 (undefined) external _XML_ParserFree (from libexpat)
                 (undefined) external _XML_SetCharacterDataHandler (from libexpat)
                 (undefined) external _XML_SetElementHandler (from libexpat)
                 (undefined) external _XML_SetEntityDeclHandler (from libexpat)
                 (undefined) external _XML_SetUserData (from libexpat)
                 (undefined) external _XML_StopParser (from libexpat)
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stdoutp (from libSystem)
                 (undefined) external ___strcat_chk (from libSystem)
                 (undefined) external ___strncat_chk (from libSystem)
                 (undefined) external ___tolower (from libSystem)
00007ffd1a5af5ab (__TEXT,__text) external __crypt_blowfish_rn
                 (undefined) external _apr_file_read (from libapr-1)
                 (undefined) external _apr_file_read_full (from libapr-1)
                 (undefined) external _apr_file_seek (from libapr-1)
                 (undefined) external _apr_file_setaside (from libapr-1)
                 (undefined) external _apr_file_unlock (from libapr-1)
                 (undefined) external _apr_file_write_full (from libapr-1)
                 (undefined) external _apr_generate_random_bytes (from libapr-1)
00007ffd44604688 (__DATA,__common) external _apr_global_hook_pool
                 (undefined) external _apr_hash_count (from libapr-1)
                 (undefined) external _apr_hash_first (from libapr-1)
                 (undefined) external _apr_hash_get (from libapr-1)
                 (undefined) external _apr_hash_make (from libapr-1)
                 (undefined) external _apr_hash_next (from libapr-1)
                 (undefined) external _apr_hash_set (from libapr-1)
                 (undefined) external _apr_hash_this (from libapr-1)
00007ffd44604680 (__DATA,__common) external _apr_hook_debug_current
00007ffd44604678 (__DATA,__common) external _apr_hook_debug_enabled
00007ffd1a5b4967 (__TEXT,__text) external _apr_hook_debug_show
00007ffd1a5b4916 (__TEXT,__text) external _apr_hook_deregister_all
00007ffd44604670 (__DATA,__common) external _apr_hook_global_pool
00007ffd1a5b446a (__TEXT,__text) external _apr_hook_sort_all
00007ffd1a5b4420 (__TEXT,__text) external _apr_hook_sort_register
00007ffd1a5bd94c (__TEXT,__text) external _apr_ldap_get_option
00007ffd1a5bd91b (__TEXT,__text) external _apr_ldap_info
00007ffd1a5bd876 (__TEXT,__text) external _apr_ldap_init
00007ffd1a5b4c51 (__TEXT,__text) external _apr_ldap_is_ldap_url
00007ffd1a5b4d81 (__TEXT,__text) external _apr_ldap_is_ldapi_url
00007ffd1a5b4d3f (__TEXT,__text) external _apr_ldap_is_ldaps_url
00007ffd1a5bdca0 (__TEXT,__text) external _apr_ldap_rebind_add
00007ffd1a5bdc44 (__TEXT,__text) external _apr_ldap_rebind_init
00007ffd1a5bdd86 (__TEXT,__text) external _apr_ldap_rebind_remove
00007ffd1a5bd9d4 (__TEXT,__text) external _apr_ldap_set_option
00007ffd1a5bd86e (__TEXT,__text) external _apr_ldap_ssl_deinit
00007ffd1a5bd7c4 (__TEXT,__text) external _apr_ldap_ssl_init
00007ffd1a5b54a7 (__TEXT,__text) external _apr_ldap_url_parse
00007ffd1a5b4dc3 (__TEXT,__text) external _apr_ldap_url_parse_ext
00007ffd1a5ad103 (__TEXT,__text) external _apr_md4
00007ffd1a5ad044 (__TEXT,__text) external _apr_md4_final
00007ffd1a5ac852 (__TEXT,__text) external _apr_md4_init
00007ffd1a5ac86e (__TEXT,__text) external _apr_md4_set_xlate
00007ffd1a5ac8ab (__TEXT,__text) external _apr_md4_update
00007ffd1a5ad469 (__TEXT,__text) external _apr_md5
00007ffd1a5ad4d3 (__TEXT,__text) external _apr_md5_encode
00007ffd1a5ad3a0 (__TEXT,__text) external _apr_md5_final
00007ffd1a5ad16b (__TEXT,__text) external _apr_md5_init
00007ffd1a5ad187 (__TEXT,__text) external _apr_md5_set_xlate
00007ffd1a5ad1c4 (__TEXT,__text) external _apr_md5_update
00007ffd1a5b5d65 (__TEXT,__text) external _apr_memcache_add
00007ffd1a5b66bf (__TEXT,__text) external _apr_memcache_add_multget_key
00007ffd1a5b54e8 (__TEXT,__text) external _apr_memcache_add_server
00007ffd1a5b59ef (__TEXT,__text) external _apr_memcache_create
00007ffd1a5b657c (__TEXT,__text) external _apr_memcache_decr
00007ffd1a5b61f1 (__TEXT,__text) external _apr_memcache_delete
00007ffd1a5b5730 (__TEXT,__text) external _apr_memcache_disable_server
00007ffd1a5b571b (__TEXT,__text) external _apr_memcache_enable_server
00007ffd1a5b56bc (__TEXT,__text) external _apr_memcache_find_server
00007ffd1a5b5515 (__TEXT,__text) external _apr_memcache_find_server_hash
00007ffd1a5b5534 (__TEXT,__text) external _apr_memcache_find_server_hash_default
00007ffd1a5b5dbf (__TEXT,__text) external _apr_memcache_getp
00007ffd1a5b5ad6 (__TEXT,__text) external _apr_memcache_hash
00007ffd1a5b5a50 (__TEXT,__text) external _apr_memcache_hash_crc32
00007ffd1a5b5a8f (__TEXT,__text) external _apr_memcache_hash_default
00007ffd1a5b6399 (__TEXT,__text) external _apr_memcache_incr
00007ffd1a5b6748 (__TEXT,__text) external _apr_memcache_multgetp
00007ffd1a5b5d92 (__TEXT,__text) external _apr_memcache_replace
00007ffd1a5b5764 (__TEXT,__text) external _apr_memcache_server_create
00007ffd1a5b5b2d (__TEXT,__text) external _apr_memcache_set
00007ffd1a5b7063 (__TEXT,__text) external _apr_memcache_stats
00007ffd1a5b6595 (__TEXT,__text) external _apr_memcache_version
                 (undefined) external _apr_mmap_create (from libapr-1)
                 (undefined) external _apr_mmap_delete (from libapr-1)
                 (undefined) external _apr_mmap_dup (from libapr-1)
                 (undefined) external _apr_mmap_offset (from libapr-1)
00007ffd1a5b4aa2 (__TEXT,__text) external _apr_optional_hook_add
00007ffd1a5b4a68 (__TEXT,__text) external _apr_optional_hook_get
                 (undefined) external _apr_os_default_encoding (from libapr-1)
                 (undefined) external _apr_os_locale_encoding (from libapr-1)
                 (undefined) external _apr_os_thread_current (from libapr-1)
                 (undefined) external _apr_os_thread_equal (from libapr-1)
                 (undefined) external _apr_os_thread_get (from libapr-1)
                 (undefined) external _apr_os_uuid_get (from libapr-1)
                 (undefined) external _apr_palloc (from libapr-1)
00007ffd1a5ae3bb (__TEXT,__text) external _apr_password_validate
                 (undefined) external _apr_pollset_add (from libapr-1)
                 (undefined) external _apr_pollset_create (from libapr-1)
                 (undefined) external _apr_pollset_destroy (from libapr-1)
                 (undefined) external _apr_pollset_poll (from libapr-1)
                 (undefined) external _apr_pollset_remove (from libapr-1)
                 (undefined) external _apr_pool_abort_get (from libapr-1)
                 (undefined) external _apr_pool_allocator_get (from libapr-1)
                 (undefined) external _apr_pool_cleanup_kill (from libapr-1)
                 (undefined) external _apr_pool_cleanup_null (from libapr-1)
                 (undefined) external _apr_pool_cleanup_register (from libapr-1)
                 (undefined) external _apr_pool_cleanup_run (from libapr-1)
                 (undefined) external _apr_pool_clear (from libapr-1)
                 (undefined) external _apr_pool_create_ex (from libapr-1)
                 (undefined) external _apr_pool_destroy (from libapr-1)
                 (undefined) external _apr_pool_is_ancestor (from libapr-1)
                 (undefined) external _apr_pool_parent_get (from libapr-1)
                 (undefined) external _apr_pool_pre_cleanup_register (from libapr-1)
00007ffd1a5b2e4b (__TEXT,__text) external _apr_posix_perms2mode
                 (undefined) external _apr_proc_mutex_lock (from libapr-1)
                 (undefined) external _apr_proc_mutex_unlock (from libapr-1)
                 (undefined) external _apr_psprintf (from libapr-1)
                 (undefined) external _apr_pstrcat (from libapr-1)
                 (undefined) external _apr_pstrdup (from libapr-1)
                 (undefined) external _apr_pstrmemdup (from libapr-1)
                 (undefined) external _apr_pstrndup (from libapr-1)
00007ffd1a5b84c0 (__TEXT,__text) external _apr_queue_create
00007ffd1a5b88c5 (__TEXT,__text) external _apr_queue_interrupt_all
00007ffd1a5b8741 (__TEXT,__text) external _apr_queue_pop
00007ffd1a5b85b7 (__TEXT,__text) external _apr_queue_push
00007ffd1a5b8738 (__TEXT,__text) external _apr_queue_size
00007ffd1a5b8903 (__TEXT,__text) external _apr_queue_term
00007ffd1a5b881f (__TEXT,__text) external _apr_queue_trypop
00007ffd1a5b8693 (__TEXT,__text) external _apr_queue_trypush
00007ffd1a5b8ce9 (__TEXT,__text) external _apr_reslist_acquire
00007ffd1a5b8f39 (__TEXT,__text) external _apr_reslist_acquired_count
00007ffd1a5b8fa8 (__TEXT,__text) external _apr_reslist_cleanup_order_set
00007ffd1a5b8ac0 (__TEXT,__text) external _apr_reslist_create
00007ffd1a5b8cd2 (__TEXT,__text) external _apr_reslist_destroy
00007ffd1a5b8f65 (__TEXT,__text) external _apr_reslist_invalidate
00007ffd1a5b8942 (__TEXT,__text) external _apr_reslist_maintain
00007ffd1a5b8e75 (__TEXT,__text) external _apr_reslist_release
00007ffd1a5b8f2f (__TEXT,__text) external _apr_reslist_timeout_set
00007ffd1a5b97bb (__TEXT,__text) external _apr_rmm_addr_get
00007ffd1a5b92bc (__TEXT,__text) external _apr_rmm_attach
00007ffd1a5b9620 (__TEXT,__text) external _apr_rmm_calloc
00007ffd1a5b918c (__TEXT,__text) external _apr_rmm_destroy
00007ffd1a5b9337 (__TEXT,__text) external _apr_rmm_detach
00007ffd1a5b97c8 (__TEXT,__text) external _apr_rmm_free
00007ffd1a5b8ff8 (__TEXT,__text) external _apr_rmm_init
00007ffd1a5b933f (__TEXT,__text) external _apr_rmm_malloc
00007ffd1a5b97ae (__TEXT,__text) external _apr_rmm_offset_get
00007ffd1a5b9940 (__TEXT,__text) external _apr_rmm_overhead_get
00007ffd1a5b9714 (__TEXT,__text) external _apr_rmm_realloc
00007ffd1a5b32ea (__TEXT,__text) external _apr_sdbm_close
00007ffd1a5b356b (__TEXT,__text) external _apr_sdbm_delete
00007ffd1a5b333c (__TEXT,__text) external _apr_sdbm_fetch
00007ffd1a5b3a13 (__TEXT,__text) external _apr_sdbm_firstkey
00007ffd1a5b3c80 (__TEXT,__text) external _apr_sdbm_lock
00007ffd1a5b3aea (__TEXT,__text) external _apr_sdbm_nextkey
00007ffd1a5b315a (__TEXT,__text) external _apr_sdbm_open
00007ffd1a5b361e (__TEXT,__text) external _apr_sdbm_rdonly
00007ffd1a5b3674 (__TEXT,__text) external _apr_sdbm_store
00007ffd1a5b3d4b (__TEXT,__text) external _apr_sdbm_unlock
00007ffd1a5af4d0 (__TEXT,__text) external _apr_sha1_base64
00007ffd1a5af3dc (__TEXT,__text) external _apr_sha1_final
00007ffd1a5ae58f (__TEXT,__text) external _apr_sha1_init
00007ffd1a5af3d2 (__TEXT,__text) external _apr_sha1_update
00007ffd1a5ae5b0 (__TEXT,__text) external _apr_sha1_update_binary
                 (undefined) external _apr_sleep (from libapr-1)
                 (undefined) external _apr_snprintf (from libapr-1)
                 (undefined) external _apr_sockaddr_info_get (from libapr-1)
                 (undefined) external _apr_socket_close (from libapr-1)
                 (undefined) external _apr_socket_connect (from libapr-1)
                 (undefined) external _apr_socket_create (from libapr-1)
                 (undefined) external _apr_socket_recv (from libapr-1)
                 (undefined) external _apr_socket_sendv (from libapr-1)
                 (undefined) external _apr_socket_timeout_get (from libapr-1)
                 (undefined) external _apr_socket_timeout_set (from libapr-1)
00007ffd1a5ba8e6 (__TEXT,__text) external _apr_strmatch_precompile
                 (undefined) external _apr_strtok (from libapr-1)
00007ffd1a5bbdfc (__TEXT,__text) external _apr_text_append
                 (undefined) external _apr_thread_cond_broadcast (from libapr-1)
                 (undefined) external _apr_thread_cond_create (from libapr-1)
                 (undefined) external _apr_thread_cond_destroy (from libapr-1)
                 (undefined) external _apr_thread_cond_signal (from libapr-1)
                 (undefined) external _apr_thread_cond_timedwait (from libapr-1)
                 (undefined) external _apr_thread_cond_wait (from libapr-1)
                 (undefined) external _apr_thread_create (from libapr-1)
                 (undefined) external _apr_thread_data_get (from libapr-1)
                 (undefined) external _apr_thread_data_set (from libapr-1)
                 (undefined) external _apr_thread_detach (from libapr-1)
                 (undefined) external _apr_thread_exit (from libapr-1)
                 (undefined) external _apr_thread_join (from libapr-1)
                 (undefined) external _apr_thread_mutex_create (from libapr-1)
                 (undefined) external _apr_thread_mutex_destroy (from libapr-1)
                 (undefined) external _apr_thread_mutex_lock (from libapr-1)
                 (undefined) external _apr_thread_mutex_unlock (from libapr-1)
00007ffd1a5ba44c (__TEXT,__text) external _apr_thread_pool_busy_count
00007ffd1a5b9951 (__TEXT,__text) external _apr_thread_pool_create
00007ffd1a5b9f65 (__TEXT,__text) external _apr_thread_pool_destroy
00007ffd1a5ba45a (__TEXT,__text) external _apr_thread_pool_idle_count
00007ffd1a5ba48c (__TEXT,__text) external _apr_thread_pool_idle_max_get
00007ffd1a5ba4a0 (__TEXT,__text) external _apr_thread_pool_idle_max_set
00007ffd1a5ba496 (__TEXT,__text) external _apr_thread_pool_idle_wait_get
00007ffd1a5ba57a (__TEXT,__text) external _apr_thread_pool_idle_wait_set
00007ffd1a5b9f75 (__TEXT,__text) external _apr_thread_pool_push
00007ffd1a5ba197 (__TEXT,__text) external _apr_thread_pool_schedule
00007ffd1a5ba438 (__TEXT,__text) external _apr_thread_pool_scheduled_tasks_count
00007ffd1a5ba615 (__TEXT,__text) external _apr_thread_pool_task_owner_get
00007ffd1a5ba2aa (__TEXT,__text) external _apr_thread_pool_tasks_cancel
00007ffd1a5ba42e (__TEXT,__text) external _apr_thread_pool_tasks_count
00007ffd1a5ba46e (__TEXT,__text) external _apr_thread_pool_tasks_high_count
00007ffd1a5ba464 (__TEXT,__text) external _apr_thread_pool_tasks_run_count
00007ffd1a5ba588 (__TEXT,__text) external _apr_thread_pool_thread_max_get
00007ffd1a5ba592 (__TEXT,__text) external _apr_thread_pool_thread_max_set
00007ffd1a5ba442 (__TEXT,__text) external _apr_thread_pool_threads_count
00007ffd1a5ba478 (__TEXT,__text) external _apr_thread_pool_threads_high_count
00007ffd1a5ba482 (__TEXT,__text) external _apr_thread_pool_threads_idle_timeout_count
00007ffd1a5ba5fd (__TEXT,__text) external _apr_thread_pool_threshold_get
00007ffd1a5ba607 (__TEXT,__text) external _apr_thread_pool_threshold_set
00007ffd1a5ba29a (__TEXT,__text) external _apr_thread_pool_top
                 (undefined) external _apr_thread_rwlock_rdlock (from libapr-1)
                 (undefined) external _apr_thread_rwlock_unlock (from libapr-1)
                 (undefined) external _apr_thread_rwlock_wrlock (from libapr-1)
                 (undefined) external _apr_time_exp_get (from libapr-1)
                 (undefined) external _apr_time_exp_gmt_get (from libapr-1)
                 (undefined) external _apr_time_now (from libapr-1)
00007ffd1a5badef (__TEXT,__text) external _apr_uri_parse
00007ffd1a5bb200 (__TEXT,__text) external _apr_uri_parse_hostinfo
00007ffd1a5bab3c (__TEXT,__text) external _apr_uri_port_of_scheme
00007ffd1a5bab86 (__TEXT,__text) external _apr_uri_unparse
00007ffd1a5b1c8e (__TEXT,__text) external _apr_uuid_format
00007ffd1a5b1b43 (__TEXT,__text) external _apr_uuid_get
00007ffd1a5b1d36 (__TEXT,__text) external _apr_uuid_parse
                 (undefined) external _apr_vformatter (from libapr-1)
00007ffd1a5bb67e (__TEXT,__text) external _apr_xlate_close
00007ffd1a5bb5ad (__TEXT,__text) external _apr_xlate_conv_buffer
00007ffd1a5bb661 (__TEXT,__text) external _apr_xlate_conv_byte
00007ffd1a5bb2f9 (__TEXT,__text) external _apr_xlate_open
00007ffd1a5bb599 (__TEXT,__text) external _apr_xlate_sb_get
00007ffd1a5bc652 (__TEXT,__text) external _apr_xml_empty_elem
00007ffd1a5bb783 (__TEXT,__text) external _apr_xml_insert_uri
00007ffd1a5bbd5c (__TEXT,__text) external _apr_xml_parse_file
00007ffd1a5bb695 (__TEXT,__text) external _apr_xml_parser_create
00007ffd1a5bbc5e (__TEXT,__text) external _apr_xml_parser_done
00007ffd1a5bbbff (__TEXT,__text) external _apr_xml_parser_feed
