                 (undefined) external _OSSpinLockLock (from libsystem_platform)
                 (undefined) external _OSSpinLockUnlock (from libsystem_platform)
                 (undefined) external __Unwind_GetIP (from libunwind)
                 (undefined) external __Unwind_GetLanguageSpecificData (from libunwind)
                 (undefined) external __Unwind_GetRegionStart (from libunwind)
                 (undefined) external __Unwind_SetGR (from libunwind)
                 (undefined) external __Unwind_SetIP (from libunwind)
                 (undefined) external ____chkstk_darwin (from libsystem_pthread)
00007ff80b0f301a (__TEXT,__text) external ___absvdi2
00007ff80b0f41d0 (__TEXT,__text) external ___atomic_fetch_xor_4
00007ff80b0f4240 (__TEXT,__text) external ___atomic_fetch_xor_8
00007ff80b0f3250 (__TEXT,__text) external ___atomic_is_lock_free
00007ff80b0f32a4 (__TEXT,__text) external ___atomic_load
00007ff80b0f38cc (__TEXT,__text) external ___atomic_load_1
00007ff80b0f38dd (__TEXT,__text) external ___atomic_load_2
00007ff80b0f38ef (__TEXT,__text) external ___atomic_load_4
00007ff80b0f38fd (__TEXT,__text) external ___atomic_load_8
00007ff80b0f33a4 (__TEXT,__text) external ___atomic_store
00007ff80b0f390c (__TEXT,__text) external ___atomic_store_1
00007ff80b0f391e (__TEXT,__text) external ___atomic_store_2
00007ff80b0f3930 (__TEXT,__text) external ___atomic_store_4
00007ff80b0f3940 (__TEXT,__text) external ___atomic_store_8
                 (indirect) external ___chkstk_darwin (for ____chkstk_darwin)
00007ff80b0f4374 (__TEXT,__text) external ___clear_cache
00007ff80b0f4375 (__TEXT,__text) external ___clzdi2
00007ff80b0f4390 (__TEXT,__text) external ___clzsi2
00007ff80b0f43fe (__TEXT,__text) external ___clzti2
00007ff80b0f4417 (__TEXT,__text) external ___cmpdi2
00007ff80b0f4446 (__TEXT,__text) external ___cmpti2
00007ff80b0f6498 (__TEXT,__text) non-external (was a private external) ___compilerrt_abort_impl
00007ff80b0f446a (__TEXT,__text) external ___ctzdi2
00007ff80b0f4484 (__TEXT,__text) external ___ctzsi2
00007ff80b0f44e5 (__TEXT,__text) external ___ctzti2
00007ff80b0f44fb (__TEXT,__text) external ___divdc3
00007ff80b0f2f8f (__TEXT,__text) external ___divdi3
00007ff80b0f4b6f (__TEXT,__text) external ___divsc3
00007ff80b0f2fca (__TEXT,__text) external ___divti3
00007ff80b0f511b (__TEXT,__text) external ___divxc3
00007ff80b0f5466 (__TEXT,__text) external ___enable_execute_stack
00007ff80b0f5487 (__TEXT,__text) external ___extendhfsf2
00007ff80b0f54f5 (__TEXT,__text) external ___ffsdi2
00007ff80b0f5511 (__TEXT,__text) external ___ffsti2
00007ff80b0f552d (__TEXT,__text) external ___fixdfdi
00007ff80b0f554e (__TEXT,__text) external ___fixdfti
00007ff80b0f5619 (__TEXT,__text) external ___fixsfdi
00007ff80b0f5637 (__TEXT,__text) external ___fixsfti
00007ff80b0f2e86 (__TEXT,__text) external ___fixunsdfdi
00007ff80b0f56e1 (__TEXT,__text) external ___fixunsdfsi
00007ff80b0f572d (__TEXT,__text) external ___fixunsdfti
00007ff80b0f57ad (__TEXT,__text) external ___fixunssfdi
00007ff80b0f57f2 (__TEXT,__text) external ___fixunssfsi
00007ff80b0f583c (__TEXT,__text) external ___fixunssfti
00007ff80b0f2ec9 (__TEXT,__text) external ___fixunsxfdi
00007ff80b0f58b1 (__TEXT,__text) external ___fixunsxfsi
00007ff80b0f5924 (__TEXT,__text) external ___fixunsxfti
00007ff80b0f59db (__TEXT,__text) external ___fixxfdi
00007ff80b0f5a78 (__TEXT,__text) external ___fixxfti
00007ff80b0f5b5e (__TEXT,__text) external ___floatdidf
00007ff80b0f5b64 (__TEXT,__text) external ___floatdisf
00007ff80b0f5b6a (__TEXT,__text) external ___floatdixf
00007ff80b0f5b74 (__TEXT,__text) external ___floattidf
00007ff80b0f5c8c (__TEXT,__text) external ___floattisf
00007ff80b0f5d8e (__TEXT,__text) external ___floattixf
00007ff80b0f5ec0 (__TEXT,__text) external ___floatundidf
00007ff80b0f5eec (__TEXT,__text) external ___floatundisf
00007ff80b0f5f18 (__TEXT,__text) external ___floatundixf
00007ff80b0f5f2e (__TEXT,__text) external ___floatuntidf
00007ff80b0f6036 (__TEXT,__text) external ___floatuntisf
00007ff80b0f60fe (__TEXT,__text) external ___floatuntixf
00007ff80b0f6204 (__TEXT,__text) external ___gcc_personality_v0
00007ff80b0f7975 (__TEXT,__text) external ___gnu_f2h_ieee
00007ff80b0f54f0 (__TEXT,__text) external ___gnu_h2f_ieee
00007ff80b0f64b0 (__TEXT,__text) external ___lshrdi3
00007ff80b0f64de (__TEXT,__text) external ___lshrti3
00007ff80b0f2f40 (__TEXT,__text) external ___moddi3
00007ff80b0f6506 (__TEXT,__text) external ___modti3
00007ff80b0f656e (__TEXT,__text) external ___muldc3
00007ff80b0f6750 (__TEXT,__text) external ___muldi3
00007ff80b0f67cf (__TEXT,__text) external ___mulodi4
00007ff80b0f685e (__TEXT,__text) external ___mulosi4
00007ff80b0f68d1 (__TEXT,__text) external ___muloti4
00007ff80b0f69d8 (__TEXT,__text) external ___mulsc3
00007ff80b0f6c1a (__TEXT,__text) external ___multi3
00007ff80b0f6c72 (__TEXT,__text) external ___mulvdi3
00007ff80b0f6d71 (__TEXT,__text) external ___mulvsi3
00007ff80b0f6e4d (__TEXT,__text) external ___mulvti3
00007ff80b0f6fd4 (__TEXT,__text) external ___mulxc3
00007ff80b0f7339 (__TEXT,__text) external ___negdi2
00007ff80b0f7340 (__TEXT,__text) external ___negti2
00007ff80b0f734c (__TEXT,__text) external ___negvdi2
00007ff80b0f737b (__TEXT,__text) external ___negvsi2
00007ff80b0f73a1 (__TEXT,__text) external ___negvti2
00007ff80b0f73d3 (__TEXT,__text) external ___paritydi2
00007ff80b0f73ff (__TEXT,__text) external ___paritysi2
00007ff80b0f7422 (__TEXT,__text) external ___parityti2
00007ff80b0f7451 (__TEXT,__text) external ___popcountdi2
00007ff80b0f74b3 (__TEXT,__text) external ___popcountsi2
00007ff80b0f74ec (__TEXT,__text) external ___popcountti2
00007ff80b0f757a (__TEXT,__text) external ___powidf2
00007ff80b0f75ce (__TEXT,__text) external ___powisf2
00007ff80b0f761f (__TEXT,__text) external ___powixf2
                 (undefined) external ___stack_chk_fail (from libsystem_c)
                 (undefined) external ___stack_chk_guard (from libsystem_c)
00007ff80b0f767d (__TEXT,__text) external ___subvdi3
00007ff80b0f76c5 (__TEXT,__text) external ___subvsi3
00007ff80b0f7708 (__TEXT,__text) external ___subvti3
00007ff80b0f775c (__TEXT,__text) external ___truncdfhf2
00007ff80b0f7889 (__TEXT,__text) external ___truncsfhf2
00007ff80b0f797a (__TEXT,__text) external ___ucmpdi2
00007ff80b0f79a9 (__TEXT,__text) external ___ucmpti2
00007ff80b0f2d84 (__TEXT,__text) external ___udivdi3
00007ff80b0f79cd (__TEXT,__text) external ___udivmoddi4
00007ff80b0f2cc4 (__TEXT,__text) external ___udivmodti4
00007ff80b0f2cbc (__TEXT,__text) external ___udivti3
00007ff80b0f2e05 (__TEXT,__text) external ___umoddi3
00007ff80b0f7c2a (__TEXT,__text) external ___umodti3
00007ff80b0f42c4 (__TEXT,__text) external _atomic_flag_clear
00007ff80b0f42c9 (__TEXT,__text) external _atomic_flag_clear_explicit
00007ff80b0f42dc (__TEXT,__text) external _atomic_flag_test_and_set
00007ff80b0f42e4 (__TEXT,__text) external _atomic_flag_test_and_set_explicit
00007ff80b0f4318 (__TEXT,__text) external _atomic_signal_fence
00007ff80b0f4344 (__TEXT,__text) external _atomic_thread_fence
                 (undefined) external _fmaxl (from libsystem_m)
00007ff842301a30 (__DATA,__bss) non-external _locks
                 (undefined) external _logbl (from libsystem_m)
                 (undefined) external _memcmp (from libsystem_c)
                 (undefined) external _memcpy (from libsystem_c)
                 (undefined) external _mprotect (from libsystem_kernel)
00007ff80b0f639e (__TEXT,__text) non-external _readEncodedPointer
                 (undefined) external _scalbnl (from libsystem_m)
00007ff80b0f8730 (__TEXT,__const) non-external two
00007ff80b0f8700 (__TEXT,__const) non-external twop52
00007ff80b0f8740 (__TEXT,__const) non-external twop64
00007ff80b0f8720 (__TEXT,__const) non-external twop84
00007ff80b0f8710 (__TEXT,__const) non-external twop84_plus_twop52
