00000001ab547214 (__TEXT,__text) non-external +[AMFI isAvailable]
00000001ab545704 (__TEXT,__text) non-external -[PolicyScanTarget setBackingStore:]
00000001ab54569c (__TEXT,__text) non-external -[PolicyScanTarget setCheckValidity:]
00000001ab54571c (__TEXT,__text) non-external -[PolicyScanTarget setCsflags:]
00000001ab5456fc (__TEXT,__text) non-external -[PolicyScanTarget setHasPowerfulEntitlements:]
00000001ab5456f4 (__TEXT,__text) non-external -[PolicyScanTarget setHasResourceDirectorySlot:]
00000001ab5456b4 (__TEXT,__text) non-external -[PolicyScanTarget setIsBadAppWrapper:]
00000001ab5456ec (__TEXT,__text) non-external -[PolicyScanTarget setIsBundled:]
00000001ab545734 (__TEXT,__text) non-external -[PolicyScanTarget setIsMovedToTrash:]
00000001ab5456dc (__TEXT,__text) non-external -[PolicyScanTarget setIsScript:]
00000001ab545714 (__TEXT,__text) non-external -[PolicyScanTarget setPid:]
00000001ab545744 (__TEXT,__text) non-external -[PolicyScanTarget setTrashedURL:]
00000001ab5456c4 (__TEXT,__text) non-external -[PolicyScanTarget setTriggeredByLibraryLoad:]
00000001ab545758 (__TEXT,__text) non-external -[PolicyScanTarget setValidationCategory:]
00000001ab544c7c (__TEXT,__text) non-external -[PolicyScanTarget signingID]
00000001ab544918 (__TEXT,__text) non-external -[PolicyScanTarget signingInfo]
00000001ab544870 (__TEXT,__text) non-external -[PolicyScanTarget staticCodeRef]
00000001ab544be0 (__TEXT,__text) non-external -[PolicyScanTarget teamID]
00000001ab5450d0 (__TEXT,__text) non-external -[PolicyScanTarget trashedMainExe]
00000001ab54573c (__TEXT,__text) non-external -[PolicyScanTarget trashedURL]
00000001ab5456bc (__TEXT,__text) non-external -[PolicyScanTarget triggeredByLibraryLoad]
00000001ab54564c (__TEXT,__text) non-external -[PolicyScanTarget url]
00000001ab545750 (__TEXT,__text) non-external -[PolicyScanTarget validationCategory]
00000001ab545684 (__TEXT,__text) non-external -[PolicyScanTarget volumePath]
00000001ab54565c (__TEXT,__text) non-external -[PolicyScanTarget volumeUUID]
00000001ab53277c (__TEXT,__text) non-external -[ProvenanceEntry .cxx_destruct]
00000001ab532330 (__TEXT,__text) non-external -[ProvenanceEntry attributes]
00000001ab532768 (__TEXT,__text) non-external -[ProvenanceEntry bundleID]
00000001ab532754 (__TEXT,__text) non-external -[ProvenanceEntry cdhash]
00000001ab532578 (__TEXT,__text) non-external -[ProvenanceEntry createMetadata]
00000001ab5324a4 (__TEXT,__text) non-external -[ProvenanceEntry description]
00000001ab5326f0 (__TEXT,__text) non-external -[ProvenanceEntry flags]
00000001ab5323b4 (__TEXT,__text) non-external -[ProvenanceEntry redactedDescription]
00000001ab532704 (__TEXT,__text) non-external -[ProvenanceEntry rootID]
00000001ab532770 (__TEXT,__text) non-external -[ProvenanceEntry setBundleID:]
00000001ab53275c (__TEXT,__text) non-external -[ProvenanceEntry setCdhash:]
00000001ab5326f8 (__TEXT,__text) non-external -[ProvenanceEntry setFlags:]
00000001ab53270c (__TEXT,__text) non-external -[ProvenanceEntry setRootID:]
00000001ab532748 (__TEXT,__text) non-external -[ProvenanceEntry setSigningID:]
00000001ab532734 (__TEXT,__text) non-external -[ProvenanceEntry setTeamID:]
00000001ab5326e4 (__TEXT,__text) non-external -[ProvenanceEntry setUniqueID:]
00000001ab532720 (__TEXT,__text) non-external -[ProvenanceEntry setUrl:]
00000001ab532740 (__TEXT,__text) non-external -[ProvenanceEntry signingID]
00000001ab53272c (__TEXT,__text) non-external -[ProvenanceEntry teamID]
00000001ab5326dc (__TEXT,__text) non-external -[ProvenanceEntry uniqueID]
00000001ab532718 (__TEXT,__text) non-external -[ProvenanceEntry url]
00000001ab5475dc (__TEXT,__text) non-external -[SPBundleProtection .cxx_destruct]
00000001ab5474ac (__TEXT,__text) non-external -[SPBundleProtection dealloc]
00000001ab5473f8 (__TEXT,__text) non-external -[SPBundleProtection init]
00000001ab5474f8 (__TEXT,__text) non-external -[SPBundleProtection sendMetricFromTCCWithURL:withPID:withError:]
00000001ab547e40 (__TEXT,__text) non-external -[SPDeveloperPolicy .cxx_destruct]
00000001ab547dcc (__TEXT,__text) non-external -[SPDeveloperPolicy createLocalDevelopmentCertificateForUser:error:]
00000001ab547c94 (__TEXT,__text) non-external -[SPDeveloperPolicy dealloc]
00000001ab547be0 (__TEXT,__text) non-external -[SPDeveloperPolicy init]
00000001ab547ce0 (__TEXT,__text) non-external -[SPDeveloperPolicy isDeveloperModeEnabled]
00000001ab547db4 (__TEXT,__text) non-external -[SPDeveloperPolicy isDeveloperToolEnvironmentWithError:]
00000001ab547e30 (__TEXT,__text) non-external -[SPDeveloperPolicy registerDevelopmentTeamWithIdentifier:error:]
00000001ab547e28 (__TEXT,__text) non-external -[SPDeveloperPolicy removeLocalDevelopmentCertificateForUser:error:]
00000001ab547cfc (__TEXT,__text) non-external -[SPDeveloperPolicy setDeveloperModeEnabled:error:]
00000001ab547e38 (__TEXT,__text) non-external -[SPDeveloperPolicy unregisterDevelopmentTeamWithIdentifier:error:]
00000001ab53b6cc (__TEXT,__text) non-external -[SPExecutionHistoryItem .cxx_destruct]
00000001ab53b6ac (__TEXT,__text) non-external -[SPExecutionHistoryItem cdHash]
00000001ab53b6bc (__TEXT,__text) non-external -[SPExecutionHistoryItem developerName]
00000001ab53b4c4 (__TEXT,__text) non-external -[SPExecutionHistoryItem encodeWithCoder:]
00000001ab53b68c (__TEXT,__text) non-external -[SPExecutionHistoryItem execPath]
00000001ab53b2b0 (__TEXT,__text) non-external -[SPExecutionHistoryItem initWithCoder:]
00000001ab53afb0 (__TEXT,__text) non-external -[SPExecutionHistoryItem initWithExecPath:mmapPath:signingID:teamID:cdHash:responsiblePath:developerName:lasSeen:]
00000001ab53af94 (__TEXT,__text) non-external -[SPExecutionHistoryItem init]
00000001ab53b6c4 (__TEXT,__text) non-external -[SPExecutionHistoryItem lastSeen]
00000001ab53b694 (__TEXT,__text) non-external -[SPExecutionHistoryItem mmapPath]
00000001ab53b6b4 (__TEXT,__text) non-external -[SPExecutionHistoryItem responsiblePath]
00000001ab53b69c (__TEXT,__text) non-external -[SPExecutionHistoryItem signingID]
00000001ab53b6a4 (__TEXT,__text) non-external -[SPExecutionHistoryItem teamID]
00000001ab53e810 (__TEXT,__text) non-external -[SPExecutionPolicy .cxx_destruct]
00000001ab53dc44 (__TEXT,__text) non-external -[SPExecutionPolicy addBlockedSoftwareOverride:error:]
00000001ab53db54 (__TEXT,__text) non-external -[SPExecutionPolicy addGatekeeperUserIntent:error:]
00000001ab53e740 (__TEXT,__text) non-external -[SPExecutionPolicy allowGatekeeperPolicy:error:]
00000001ab53dae8 (__TEXT,__text) non-external -[SPExecutionPolicy blockedExecutionPolicyItems]
00000001ab53d884 (__TEXT,__text) non-external -[SPExecutionPolicy connection]
00000001ab53d5d8 (__TEXT,__text) non-external -[SPExecutionPolicy dealloc]
00000001ab53d788 (__TEXT,__text) non-external -[SPExecutionPolicy doGatekeeperProgressUpdate:withTotal:]
00000001ab53de30 (__TEXT,__text) non-external -[SPExecutionPolicy getBlockedSoftwareOverride:error:]
00000001ab53e318 (__TEXT,__text) non-external -[SPExecutionPolicy getGatekeeperInsightEnabled:]
00000001ab53e5fc (__TEXT,__text) non-external -[SPExecutionPolicy getGatekeeperPolicyWithError:]
00000001ab53e0e8 (__TEXT,__text) non-external -[SPExecutionPolicy getStrictGatekeeperEnabledForDomain:error:]
00000001ab53d534 (__TEXT,__text) non-external -[SPExecutionPolicy init]
00000001ab53df20 (__TEXT,__text) non-external -[SPExecutionPolicy isBlockedSoftware:error:]
00000001ab53e3e8 (__TEXT,__text) non-external -[SPExecutionPolicy isFastGatekeeperOverrideModeEnabled]
00000001ab53e670 (__TEXT,__text) non-external -[SPExecutionPolicy isGatekeeperPolicyAllowed:error:]
00000001ab53dadc (__TEXT,__text) non-external -[SPExecutionPolicy legacyExecutionHistory]
00000001ab53e43c (__TEXT,__text) non-external -[SPExecutionPolicy logGatekeeperOverrideForURL:withError:]
00000001ab53d62c (__TEXT,__text) non-external -[SPExecutionPolicy myProgressHandler]
00000001ab53d624 (__TEXT,__text) non-external -[SPExecutionPolicy progressBlock]
00000001ab53dd34 (__TEXT,__text) non-external -[SPExecutionPolicy setBlockedSoftwareOverride:isEnabled:error:]
00000001ab53e3dc (__TEXT,__text) non-external -[SPExecutionPolicy setGatekeeperInsightDefault:]
00000001ab53e1b8 (__TEXT,__text) non-external -[SPExecutionPolicy setGatekeeperInsightEnabled:error:]
00000001ab53e52c (__TEXT,__text) non-external -[SPExecutionPolicy setGatekeeperPolicy:error:]
00000001ab53d658 (__TEXT,__text) non-external -[SPExecutionPolicy setProgressHandler:]
00000001ab53e010 (__TEXT,__text) non-external -[SPExecutionPolicy setStrictGatekeeperEnabled:forDomain:error:]
00000001ab53a734 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) notifyInstalledContent:withInstallationType:error:]
00000001ab539f90 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:]
00000001ab549234 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.1
00000001ab5492c8 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.2
00000001ab549364 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.3
00000001ab5493a8 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.4
00000001ab549454 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.5
00000001ab5494c8 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.6
00000001ab549574 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.7
00000001ab53aa84 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperScan:withScanOptions:withProgressHandler:error:]
00000001ab53a828 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperScan:withScanOptions:withShouldOverridePolicy:withPolicy:withProgressHandler:error:]
00000001ab53d52c (__TEXT,__text) non-external -[SPExecutionPolicyExportedObject .cxx_destruct]
00000001ab53d49c (__TEXT,__text) non-external -[SPExecutionPolicyExportedObject doGatekeeperProgressUpdate:withTotal:]
00000001ab53d42c (__TEXT,__text) non-external -[SPExecutionPolicyExportedObject initWithParent:]
00000001ab53d4f4 (__TEXT,__text) non-external -[SPExecutionPolicyExportedObject parent]
00000001ab53d520 (__TEXT,__text) non-external -[SPExecutionPolicyExportedObject setParent:]
00000001ab539f28 (__TEXT,__text) non-external -[SPExecutionPolicyItem .cxx_destruct]
00000001ab539f20 (__TEXT,__text) non-external -[SPExecutionPolicyItem blockedReasonDescription]
00000001ab539f00 (__TEXT,__text) non-external -[SPExecutionPolicyItem cdHash]
00000001ab539cec (__TEXT,__text) non-external -[SPExecutionPolicyItem encodeWithCoder:]
00000001ab539abc (__TEXT,__text) non-external -[SPExecutionPolicyItem initWithCoder:]
00000001ab53995c (__TEXT,__text) non-external -[SPExecutionPolicyItem initWithItemPath:signingID:teamID:cdHash:needsApproval:needsOverride:knownMalware:blockedReasonDescription:]
00000001ab539940 (__TEXT,__text) non-external -[SPExecutionPolicyItem init]
00000001ab539ee8 (__TEXT,__text) non-external -[SPExecutionPolicyItem itemPath]
00000001ab539f18 (__TEXT,__text) non-external -[SPExecutionPolicyItem knownMalware]
00000001ab539f08 (__TEXT,__text) non-external -[SPExecutionPolicyItem needsApproval]
00000001ab539f10 (__TEXT,__text) non-external -[SPExecutionPolicyItem needsOverride]
00000001ab539ef0 (__TEXT,__text) non-external -[SPExecutionPolicyItem signingID]
00000001ab539ef8 (__TEXT,__text) non-external -[SPExecutionPolicyItem teamID]
00000001ab543e70 (__TEXT,__text) non-external -[SPInstallationPolicy .cxx_destruct]
00000001ab543b68 (__TEXT,__text) non-external -[SPInstallationPolicy canInstallPackage:withUserConsent:withHash:evaluateOnly:synchronousPrompt:error:]
00000001ab543b1c (__TEXT,__text) non-external -[SPInstallationPolicy dealloc]
00000001ab543a4c (__TEXT,__text) non-external -[SPInstallationPolicy init]
