000000020d282b4c (__TEXT,__text) non-external _Done_iODBC
000000020d28cb14 (__TEXT,__text) external _SQLFreeHandle
000000020d285a08 (__TEXT,__text) external _SQLFreeStmt
000000020d285800 (__TEXT,__text) non-external _SQLFreeStmt_Internal
000000020d29e07c (__TEXT,__text) non-external _SQLGetConfigMode
000000020d28f438 (__TEXT,__text) external _SQLGetConnectAttr
000000020d28f8e8 (__TEXT,__text) external _SQLGetConnectAttrA
000000020d28fa3c (__TEXT,__text) external _SQLGetConnectAttrW
000000020d28f58c (__TEXT,__text) non-external _SQLGetConnectAttr_Internal
000000020d282050 (__TEXT,__text) external _SQLGetConnectOption
000000020d28217c (__TEXT,__text) external _SQLGetConnectOptionA
000000020d2822a8 (__TEXT,__text) external _SQLGetConnectOptionW
000000020d28aaf0 (__TEXT,__text) external _SQLGetCursorName
000000020d28ac58 (__TEXT,__text) external _SQLGetCursorNameA
000000020d28adc0 (__TEXT,__text) external _SQLGetCursorNameW
000000020d28a8fc (__TEXT,__text) non-external _SQLGetCursorName_Internal
000000020d2806fc (__TEXT,__text) external _SQLGetData
000000020d28fdfc (__TEXT,__text) external _SQLGetDescField
000000020d28ff70 (__TEXT,__text) external _SQLGetDescFieldA
000000020d2900e4 (__TEXT,__text) external _SQLGetDescFieldW
000000020d28fb90 (__TEXT,__text) non-external _SQLGetDescField_Internal
000000020d290a00 (__TEXT,__text) external _SQLGetDescRec
000000020d290c34 (__TEXT,__text) external _SQLGetDescRecA
000000020d290e68 (__TEXT,__text) external _SQLGetDescRecW
000000020d290808 (__TEXT,__text) non-external _SQLGetDescRec_Internal
000000020d284de0 (__TEXT,__text) external _SQLGetDiagField
000000020d284eec (__TEXT,__text) external _SQLGetDiagFieldA
000000020d284ff8 (__TEXT,__text) external _SQLGetDiagFieldW
000000020d283f84 (__TEXT,__text) non-external _SQLGetDiagField_Internal
000000020d283c24 (__TEXT,__text) external _SQLGetDiagRec
000000020d283d44 (__TEXT,__text) external _SQLGetDiagRecA
000000020d283e64 (__TEXT,__text) external _SQLGetDiagRecW
000000020d283644 (__TEXT,__text) non-external _SQLGetDiagRec_Internal
000000020d28d254 (__TEXT,__text) external _SQLGetEnvAttr
000000020d28874c (__TEXT,__text) external _SQLGetFunctions
000000020d288350 (__TEXT,__text) external _SQLGetInfo
000000020d2884a4 (__TEXT,__text) external _SQLGetInfoA
000000020d2885f8 (__TEXT,__text) external _SQLGetInfoW
000000020d287d4c (__TEXT,__text) non-external _SQLGetInfo_Internal
000000020d2a0ef0 (__TEXT,__text) non-external _SQLGetKeywordValue
000000020d2a0f3c (__TEXT,__text) non-external _SQLGetKeywordValueW
000000020d2a0a34 (__TEXT,__text) non-external _SQLGetPrivateProfileString
000000020d2a0c34 (__TEXT,__text) non-external _SQLGetPrivateProfileStringW
000000020d28dacc (__TEXT,__text) external _SQLGetStmtAttr
000000020d28dc44 (__TEXT,__text) external _SQLGetStmtAttrA
000000020d28ddbc (__TEXT,__text) external _SQLGetStmtAttrW
000000020d28d438 (__TEXT,__text) non-external _SQLGetStmtAttr_Internal
000000020d286250 (__TEXT,__text) external _SQLGetStmtOption
000000020d28639c (__TEXT,__text) external _SQLGetStmtOptionA
000000020d286070 (__TEXT,__text) non-external _SQLGetStmtOption_Internal
000000020d274ce8 (__TEXT,__text) external _SQLGetTypeInfo
000000020d274e28 (__TEXT,__text) external _SQLGetTypeInfoA
000000020d274f68 (__TEXT,__text) external _SQLGetTypeInfoW
000000020d274b28 (__TEXT,__text) non-external _SQLGetTypeInfo_Internal
000000020d280a74 (__TEXT,__text) external _SQLMoreResults
000000020d27e564 (__TEXT,__text) external _SQLNativeSql
000000020d27e6d0 (__TEXT,__text) external _SQLNativeSqlA
000000020d27e83c (__TEXT,__text) external _SQLNativeSqlW
000000020d27e2f0 (__TEXT,__text) non-external _SQLNativeSql_Internal
000000020d27fc80 (__TEXT,__text) external _SQLNumParams
000000020d28b20c (__TEXT,__text) external _SQLNumResultCols
000000020d27f9f8 (__TEXT,__text) external _SQLParamData
000000020d289e54 (__TEXT,__text) external _SQLParamOptions
000000020d2890c0 (__TEXT,__text) external _SQLPrepare
000000020d289210 (__TEXT,__text) external _SQLPrepareA
000000020d289360 (__TEXT,__text) external _SQLPrepareW
000000020d288eac (__TEXT,__text) non-external _SQLPrepare_Internal
000000020d27888c (__TEXT,__text) external _SQLPrimaryKeys
000000020d278a34 (__TEXT,__text) external _SQLPrimaryKeysA
000000020d278bdc (__TEXT,__text) external _SQLPrimaryKeysW
000000020d27865c (__TEXT,__text) non-external _SQLPrimaryKeys_Internal
000000020d279018 (__TEXT,__text) external _SQLProcedureColumns
000000020d2791fc (__TEXT,__text) external _SQLProcedureColumnsA
000000020d2793e0 (__TEXT,__text) external _SQLProcedureColumnsW
000000020d278d84 (__TEXT,__text) non-external _SQLProcedureColumns_Internal
000000020d2797f4 (__TEXT,__text) external _SQLProcedures
000000020d27999c (__TEXT,__text) external _SQLProceduresA
000000020d279b44 (__TEXT,__text) external _SQLProceduresW
000000020d2795c4 (__TEXT,__text) non-external _SQLProcedures_Internal
000000020d27f780 (__TEXT,__text) external _SQLPutData
000000020d29d770 (__TEXT,__text) non-external _SQLReadFileDSN
000000020d29d8f8 (__TEXT,__text) non-external _SQLReadFileDSNW
000000020d28af28 (__TEXT,__text) external _SQLRowCount
000000020d2a0f88 (__TEXT,__text) non-external _SQLSetConfigMode
000000020d28ee44 (__TEXT,__text) external _SQLSetConnectAttr
000000020d28f1b0 (__TEXT,__text) external _SQLSetConnectAttrA
000000020d28f2f4 (__TEXT,__text) external _SQLSetConnectAttrW
000000020d28ef88 (__TEXT,__text) non-external _SQLSetConnectAttr_Internal
000000020d2818dc (__TEXT,__text) external _SQLSetConnectOption
000000020d281a08 (__TEXT,__text) external _SQLSetConnectOptionA
000000020d281b34 (__TEXT,__text) external _SQLSetConnectOptionW
000000020d289664 (__TEXT,__text) external _SQLSetCursorName
000000020d2897b4 (__TEXT,__text) external _SQLSetCursorNameA
000000020d289904 (__TEXT,__text) external _SQLSetCursorNameW
000000020d2894b0 (__TEXT,__text) non-external _SQLSetCursorName_Internal
000000020d2903f4 (__TEXT,__text) external _SQLSetDescField
000000020d290550 (__TEXT,__text) external _SQLSetDescFieldA
000000020d2906ac (__TEXT,__text) external _SQLSetDescFieldW
000000020d290258 (__TEXT,__text) non-external _SQLSetDescField_Internal
000000020d29109c (__TEXT,__text) external _SQLSetDescRec
000000020d28d040 (__TEXT,__text) external _SQLSetEnvAttr
000000020d28d160 (__TEXT,__text) non-external _SQLSetEnvAttr_Internal
000000020d2a1438 (__TEXT,__text) non-external _SQLSetKeywordValue
000000020d2a1444 (__TEXT,__text) non-external _SQLSetKeywordValueW
000000020d28a568 (__TEXT,__text) external _SQLSetParam
000000020d280e74 (__TEXT,__text) external _SQLSetPos
000000020d28a104 (__TEXT,__text) external _SQLSetScrollOptions
000000020d28ea0c (__TEXT,__text) external _SQLSetStmtAttr
000000020d28eb74 (__TEXT,__text) external _SQLSetStmtAttrA
000000020d28ecdc (__TEXT,__text) external _SQLSetStmtAttrW
000000020d28df34 (__TEXT,__text) non-external _SQLSetStmtAttr_Internal
000000020d285b54 (__TEXT,__text) external _SQLSetStmtOption
000000020d285f24 (__TEXT,__text) external _SQLSetStmtOptionA
000000020d285ca0 (__TEXT,__text) non-external _SQLSetStmtOption_Internal
000000020d275338 (__TEXT,__text) external _SQLSpecialColumns
000000020d275578 (__TEXT,__text) external _SQLSpecialColumnsA
000000020d2757b8 (__TEXT,__text) external _SQLSpecialColumnsW
000000020d2750a8 (__TEXT,__text) non-external _SQLSpecialColumns_Internal
000000020d275c68 (__TEXT,__text) external _SQLStatistics
000000020d275e4c (__TEXT,__text) external _SQLStatisticsA
000000020d276030 (__TEXT,__text) external _SQLStatisticsW
000000020d2759f8 (__TEXT,__text) non-external _SQLStatistics_Internal
000000020d279f1c (__TEXT,__text) external _SQLTablePrivileges
000000020d27a0c4 (__TEXT,__text) external _SQLTablePrivilegesA
000000020d27a26c (__TEXT,__text) external _SQLTablePrivilegesW
000000020d279cec (__TEXT,__text) non-external _SQLTablePrivileges_Internal
000000020d2764a8 (__TEXT,__text) external _SQLTables
000000020d27668c (__TEXT,__text) external _SQLTablesA
000000020d276870 (__TEXT,__text) external _SQLTablesW
000000020d276214 (__TEXT,__text) non-external _SQLTables_Internal
000000020d2826e0 (__TEXT,__text) external _SQLTransact
000000020d2823d4 (__TEXT,__text) non-external _SQLTransact_Internal
000000020d29e188 (__TEXT,__text) non-external _SQLValidDSN
000000020d29e210 (__TEXT,__text) non-external _SQLValidDSNW
000000020d29d534 (__TEXT,__text) non-external _SQLWriteFileDSN
000000020d29d5f0 (__TEXT,__text) non-external _SQLWriteFileDSNW
000000020d2a1120 (__TEXT,__text) non-external _SQLWritePrivateProfileString
000000020d2a12b8 (__TEXT,__text) non-external _SQLWritePrivateProfileStringW
000000020d286f9c (__TEXT,__text) non-external _SectSorter
000000020d29e0d0 (__TEXT,__text) non-external _ValidDSN
000000020d29e130 (__TEXT,__text) non-external _ValidDSNW
000000020d2a0fe8 (__TEXT,__text) non-external _WritePrivateProfileString
                 (undefined) external __DefaultRuneLocale (from libSystem)
000000020d28cf00 (__TEXT,__text) non-external __SQLFreeHandle_DESC
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
000000020d29f364 (__TEXT,__text) non-external ___iodbcdm_cfg_poolalloc
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___sprintf_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___toupper (from libSystem)
000000021bbdbb20 (__DATA,__common) non-external __iodbc_env_counter
000000020d29dab0 (__TEXT,__text) non-external __iodbcadm_getinifile
000000020d28697c (__TEXT,__text) non-external __iodbcdm_BindColumn
000000020d286a7c (__TEXT,__text) non-external __iodbcdm_ConvBindData
000000020d2803f4 (__TEXT,__text) non-external __iodbcdm_ExtendedFetch
000000020d2857ac (__TEXT,__text) non-external __iodbcdm_FreeStmtParams
000000020d281c60 (__TEXT,__text) non-external __iodbcdm_GetConnectOption
000000020d28b0e4 (__TEXT,__text) non-external __iodbcdm_NumResultCols
000000020d2859cc (__TEXT,__text) non-external __iodbcdm_RemoveBind
000000020d281324 (__TEXT,__text) non-external __iodbcdm_SetConnectOption
000000020d27a660 (__TEXT,__text) non-external __iodbcdm_SetConnectOption_init
000000020d280d10 (__TEXT,__text) non-external __iodbcdm_SetPos
000000020d286a14 (__TEXT,__text) non-external __iodbcdm_UnBindColumn
000000020d2866f8 (__TEXT,__text) non-external __iodbcdm_alloc_param
000000021bbdbb28 (__DATA,__common) non-external __iodbcdm_attr_connection_pooling
000000020d286b44 (__TEXT,__text) non-external __iodbcdm_bindConv_A2W
000000020d274c10 (__TEXT,__text) non-external __iodbcdm_cata_state_ok
000000020d274c84 (__TEXT,__text) non-external __iodbcdm_cata_state_tr
000000020d29fa28 (__TEXT,__text) non-external __iodbcdm_cfg_commit
000000020d29ecb8 (__TEXT,__text) non-external __iodbcdm_cfg_done
000000020d29f508 (__TEXT,__text) non-external __iodbcdm_cfg_find
000000020d29f194 (__TEXT,__text) non-external __iodbcdm_cfg_freeimage
000000020d29ec0c (__TEXT,__text) non-external __iodbcdm_cfg_init
000000020d288c68 (__TEXT,__text) non-external __iodbcdm_cfg_init_str
000000020d29fca8 (__TEXT,__text) non-external __iodbcdm_cfg_next_section
000000020d29f43c (__TEXT,__text) non-external __iodbcdm_cfg_nextentry
000000020d288cec (__TEXT,__text) non-external __iodbcdm_cfg_parse_str
000000020d288b38 (__TEXT,__text) non-external __iodbcdm_cfg_parse_str_Internal
000000020d29ecfc (__TEXT,__text) non-external __iodbcdm_cfg_refresh
000000020d29f410 (__TEXT,__text) non-external __iodbcdm_cfg_rewind
000000020d27d0a8 (__TEXT,__text) non-external __iodbcdm_cfg_savefile
000000020d29fcf0 (__TEXT,__text) non-external __iodbcdm_cfg_search_init
000000020d29f274 (__TEXT,__text) non-external __iodbcdm_cfg_storeentry
000000020d288d64 (__TEXT,__text) non-external __iodbcdm_cfg_to_string
000000020d29f5fc (__TEXT,__text) non-external __iodbcdm_cfg_write
000000020d29dd04 (__TEXT,__text) non-external __iodbcdm_check_for_string
000000020d27ce48 (__TEXT,__text) non-external __iodbcdm_con_settracing
000000020d28679c (__TEXT,__text) non-external __iodbcdm_conv_param_A2W
000000020d28688c (__TEXT,__text) non-external __iodbcdm_conv_param_W2A
000000020d27cf6c (__TEXT,__text) non-external __iodbcdm_dbcdelayset
000000020d27ed54 (__TEXT,__text) non-external __iodbcdm_dllclose
000000020d27edc4 (__TEXT,__text) non-external __iodbcdm_dllerror
000000020d27ec9c (__TEXT,__text) non-external __iodbcdm_dllopen
000000020d27ec98 (__TEXT,__text) non-external __iodbcdm_dllproc
000000020d27edf8 (__TEXT,__text) non-external __iodbcdm_do_cursoropen
000000020d27a8cc (__TEXT,__text) non-external __iodbcdm_driverload
000000020d27af24 (__TEXT,__text) non-external __iodbcdm_driverunload
000000020d2856ac (__TEXT,__text) non-external __iodbcdm_dropstmt
000000020d281860 (__TEXT,__text) non-external __iodbcdm_drvopt_store
000000020d27a480 (__TEXT,__text) non-external __iodbcdm_finish_disconnect
000000020d282b50 (__TEXT,__text) non-external __iodbcdm_freesqlerrlist
000000020d27eb4c (__TEXT,__text) non-external __iodbcdm_getInfo_init
000000020d29dddc (__TEXT,__text) non-external __iodbcdm_getdsnfile
000000020d27ec38 (__TEXT,__text) non-external __iodbcdm_getproc
000000021bbdbac8 (__DATA,__bss) non-external __iodbcdm_initialized
000000020d29ff08 (__TEXT,__text) non-external __iodbcdm_list_entries
000000020d29fe3c (__TEXT,__text) non-external __iodbcdm_list_sections
000000020d28b3b4 (__TEXT,__text) non-external __iodbcdm_map_c_type
000000020d28b348 (__TEXT,__text) non-external __iodbcdm_map_sql_type
000000020d27e9a8 (__TEXT,__text) non-external __iodbcdm_pool_conn_dead
000000020d27a414 (__TEXT,__text) non-external __iodbcdm_pool_drop_conn
000000020d2a1450 (__TEXT,__text) non-external __iodbcdm_pool_drop_conn.cold.1
000000020d27cc0c (__TEXT,__text) non-external __iodbcdm_pool_get_conn
000000020d27d2e8 (__TEXT,__text) non-external __iodbcdm_pool_put_conn
000000020d27a54c (__TEXT,__text) non-external __iodbcdm_pool_reset_conn_attrs
000000020d27d22c (__TEXT,__text) non-external __iodbcdm_pool_set_retry_wait
000000020d282b80 (__TEXT,__text) non-external __iodbcdm_pushsqlerr
000000020d29dd68 (__TEXT,__text) non-external __iodbcdm_remove_quotes
000000020d27edc8 (__TEXT,__text) non-external __iodbcdm_safe_unload
000000020d282bf8 (__TEXT,__text) non-external __iodbcdm_sqlerror
000000020d29dfe0 (__TEXT,__text) non-external __iodbcdm_strlcat
000000020d29df84 (__TEXT,__text) non-external __iodbcdm_strlcpy
000000020d2824d4 (__TEXT,__text) non-external __iodbcdm_transact
00000002186b18e0 (__DATA_CONST,__const) non-external __mask_CONVERT
00000002186b24b8 (__DATA_CONST,__const) non-external __mask_CURSOR_ATTRIBUTES1
00000002186b2560 (__DATA_CONST,__const) non-external __mask_CURSOR_ATTRIBUTES2
00000002186b19a0 (__DATA_CONST,__const) non-external __mask_CURSOR_BEHAVIOR
00000002186b1a30 (__DATA_CONST,__const) non-external __mask_IDENTIFIER_CASE
00000002186b2068 (__DATA_CONST,__const) non-external __mask_SQL_AGGREGATE_FUNCTIONS
00000002186b20a0 (__DATA_CONST,__const) non-external __mask_SQL_ALTER_DOMAIN
00000002186b1da0 (__DATA_CONST,__const) non-external __mask_SQL_ALTER_TABLE
00000002186b20f0 (__DATA_CONST,__const) non-external __mask_SQL_ASYNC_MODE
00000002186b2108 (__DATA_CONST,__const) non-external __mask_SQL_BATCH_ROW_COUNT
00000002186b2128 (__DATA_CONST,__const) non-external __mask_SQL_BATCH_SUPPORT
00000002186b1e48 (__DATA_CONST,__const) non-external __mask_SQL_BOOKMARK_PERSISTENCE
00000002186b2150 (__DATA_CONST,__const) non-external __mask_SQL_CATALOG_LOCATION
00000002186b2168 (__DATA_CONST,__const) non-external __mask_SQL_CATALOG_USAGE
00000002186b18b8 (__DATA_CONST,__const) non-external __mask_SQL_CONCAT_NULL_BEHAVIOR
00000002186b18c8 (__DATA_CONST,__const) non-external __mask_SQL_CONVERT_FUNCTIONS
00000002186b1d78 (__DATA_CONST,__const) non-external __mask_SQL_CORRELATION_NAME
00000002186b2198 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_ASSERTION
00000002186b21e0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_CHARACTER_SET
00000002186b2200 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_COLLATION
00000002186b2210 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_DOMAIN
00000002186b2260 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_SCHEMA
00000002186b2280 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_TABLE
00000002186b22f8 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_TRANSLATION
00000002186b2308 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_VIEW
00000002186b2330 (__DATA_CONST,__const) non-external __mask_SQL_CURSOR_SENSITIVITY
00000002186b2348 (__DATA_CONST,__const) non-external __mask_SQL_DATETIME_LITERALS
00000002186b23c8 (__DATA_CONST,__const) non-external __mask_SQL_DDL_INDEX
00000002186b23f8 (__DATA_CONST,__const) non-external __mask_SQL_DROP_ASSERTION
00000002186b2408 (__DATA_CONST,__const) non-external __mask_SQL_DROP_CHARACTER_SET
00000002186b2418 (__DATA_CONST,__const) non-external __mask_SQL_DROP_COLLATION
00000002186b2428 (__DATA_CONST,__const) non-external __mask_SQL_DROP_DOMAIN
00000002186b2448 (__DATA_CONST,__const) non-external __mask_SQL_DROP_SCHEMA
00000002186b2468 (__DATA_CONST,__const) non-external __mask_SQL_DROP_TABLE
00000002186b2488 (__DATA_CONST,__const) non-external __mask_SQL_DROP_TRANSLATION
00000002186b2498 (__DATA_CONST,__const) non-external __mask_SQL_DROP_VIEW
00000002186b23e0 (__DATA_CONST,__const) non-external __mask_SQL_DTC_TRANSITION_COST
00000002186b19e8 (__DATA_CONST,__const) non-external __mask_SQL_FETCH_DIRECTION
00000002186b1ed0 (__DATA_CONST,__const) non-external __mask_SQL_FILE_USAGE
00000002186b1e88 (__DATA_CONST,__const) non-external __mask_SQL_GETDATA_EXTENSIONS
00000002186b1eb0 (__DATA_CONST,__const) non-external __mask_SQL_GROUP_BY
00000002186b25f0 (__DATA_CONST,__const) non-external __mask_SQL_INDEX_KEYWORDS
00000002186b2608 (__DATA_CONST,__const) non-external __mask_SQL_INFO_SCHEMA_VIEWS
00000002186b26c8 (__DATA_CONST,__const) non-external __mask_SQL_INSERT_STATEMENT
00000002186b1ee8 (__DATA_CONST,__const) non-external __mask_SQL_LOCK_TYPES
00000002186b1d90 (__DATA_CONST,__const) non-external __mask_SQL_NON_NULLABLE_COLUMNS
00000002186b1f08 (__DATA_CONST,__const) non-external __mask_SQL_NULL_COLLATION
00000002186b1a58 (__DATA_CONST,__const) non-external __mask_SQL_NUMERIC_FUNCTIONS
00000002186b1b20 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_API_CONFORMANCE
00000002186b26e8 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_INTERFACE_CONFORMANCE
00000002186b1b38 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SAG_CLI_CONFORMANCE
00000002186b1b48 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SQL_CONFORMANCE
00000002186b1f20 (__DATA_CONST,__const) non-external __mask_SQL_OJ_CAPABILITIES
00000002186b2708 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_ROW_COUNTS
00000002186b2720 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_SELECTS
00000002186b1f90 (__DATA_CONST,__const) non-external __mask_SQL_POSITIONED_STATEMENTS
00000002186b1f60 (__DATA_CONST,__const) non-external __mask_SQL_POS_OPERATIONS
00000002186b2740 (__DATA_CONST,__const) non-external __mask_SQL_SCHEMA_USAGE
00000002186b1b60 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_CONCURRENCY
00000002186b1b88 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_OPTIONS
00000002186b2798 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_DATETIME_FUNCTIONS
00000002186b27b8 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_DELETE_RULE
00000002186b27e0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_UPDATE_RULE
00000002186b2808 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_GRANT
00000002186b2878 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_NUMERIC_VALUE_FUNCTIONS
00000002186b28b0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_PREDICATES
00000002186b2928 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_RELATIONAL_JOIN_OPERATORS
00000002186b2980 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_REVOKE
00000002186b2a00 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_ROW_VALUE_CONSTRUCTOR
00000002186b2a28 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_STRING_FUNCTIONS
00000002186b2a70 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_VALUE_EXPRESSIONS
00000002186b2770 (__DATA_CONST,__const) non-external __mask_SQL_SQL_CONFORMANCE
