00000001811bfff8 (__TEXT,__text) external _APL_dgemm
0000000180e9fe0c (__TEXT,__text) external _ZDOTC_
0000000180e9fe34 (__TEXT,__text) external _ZDOTU
0000000180e9fe34 (__TEXT,__text) external _ZDOTU_
0000000180e9fe9c (__TEXT,__text) external _ZDROT
0000000180e9fe9c (__TEXT,__text) external _ZDROT_
0000000180e9fecc (__TEXT,__text) external _ZDSCAL
0000000180e9fecc (__TEXT,__text) external _ZDSCAL_
0000000180e9e9c0 (__TEXT,__text) external _ZGBMV
0000000180e9e9c0 (__TEXT,__text) external _ZGBMV_
0000000180e9b550 (__TEXT,__text) external _ZGEMM
0000000180e9b550 (__TEXT,__text) external _ZGEMM_
0000000180e9e8e4 (__TEXT,__text) external _ZGEMV
0000000180e9e8e4 (__TEXT,__text) external _ZGEMV_
0000000180e9f430 (__TEXT,__text) external _ZGERC
0000000180e9f430 (__TEXT,__text) external _ZGERC_
0000000180e9f494 (__TEXT,__text) external _ZGERU
0000000180e9f494 (__TEXT,__text) external _ZGERU_
0000000180e9eb60 (__TEXT,__text) external _ZHBMV
0000000180e9eb60 (__TEXT,__text) external _ZHBMV_
0000000180e9b698 (__TEXT,__text) external _ZHEMM
0000000180e9b698 (__TEXT,__text) external _ZHEMM_
0000000180e9eab0 (__TEXT,__text) external _ZHEMV
0000000180e9eab0 (__TEXT,__text) external _ZHEMV_
0000000180e9f4f8 (__TEXT,__text) external _ZHER
0000000180e9f588 (__TEXT,__text) external _ZHER2
0000000180e9bdc4 (__TEXT,__text) external _ZHER2K
0000000180e9bdc4 (__TEXT,__text) external _ZHER2K_
0000000180e9f588 (__TEXT,__text) external _ZHER2_
0000000180e9bbb0 (__TEXT,__text) external _ZHERK
0000000180e9bbb0 (__TEXT,__text) external _ZHERK_
0000000180e9f4f8 (__TEXT,__text) external _ZHER_
0000000180e9ec1c (__TEXT,__text) external _ZHPMV
0000000180e9ec1c (__TEXT,__text) external _ZHPMV_
0000000180e9f638 (__TEXT,__text) external _ZHPR
0000000180e9f6c4 (__TEXT,__text) external _ZHPR2
0000000180e9f6c4 (__TEXT,__text) external _ZHPR2_
0000000180e9f638 (__TEXT,__text) external _ZHPR_
0000000180e9fe5c (__TEXT,__text) external _ZROTG
0000000180e9fe5c (__TEXT,__text) external _ZROTG_
0000000180e9fe78 (__TEXT,__text) external _ZSCAL
0000000180e9fe78 (__TEXT,__text) external _ZSCAL_
0000000180e9fefc (__TEXT,__text) external _ZSWAP
0000000180e9fefc (__TEXT,__text) external _ZSWAP_
0000000180e9b794 (__TEXT,__text) external _ZSYMM
0000000180e9b794 (__TEXT,__text) external _ZSYMM_
0000000180e9bee4 (__TEXT,__text) external _ZSYR2K
0000000180e9bee4 (__TEXT,__text) external _ZSYR2K_
0000000180e9bcb8 (__TEXT,__text) external _ZSYRK
0000000180e9bcb8 (__TEXT,__text) external _ZSYRK_
0000000180e9ee04 (__TEXT,__text) external _ZTBMV
0000000180e9ee04 (__TEXT,__text) external _ZTBMV_
0000000180e9f1b8 (__TEXT,__text) external _ZTBSV
0000000180e9f1b8 (__TEXT,__text) external _ZTBSV_
0000000180e9ef4c (__TEXT,__text) external _ZTPMV
0000000180e9ef4c (__TEXT,__text) external _ZTPMV_
0000000180e9f300 (__TEXT,__text) external _ZTPSV
0000000180e9f300 (__TEXT,__text) external _ZTPSV_
0000000180e9b890 (__TEXT,__text) external _ZTRMM
0000000180e9b890 (__TEXT,__text) external _ZTRMM_
0000000180e9ecc8 (__TEXT,__text) external _ZTRMV
0000000180e9ecc8 (__TEXT,__text) external _ZTRMV_
0000000180e9ba20 (__TEXT,__text) external _ZTRSM
0000000180e9ba20 (__TEXT,__text) external _ZTRSM_
0000000180e9f07c (__TEXT,__text) external _ZTRSV
0000000180e9f07c (__TEXT,__text) external _ZTRSV_
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __Unwind_Resume (from libSystem)
                 (undefined) external __ZNSt11logic_errorC2EPKc (from libc++)
                 (undefined) external __ZNSt12length_errorD1Ev (from libc++)
                 (undefined) external __ZTISt12length_error (from libc++)
                 (undefined) external __ZTVSt12length_error (from libc++)
                 (undefined) external __ZdaPvSt19__type_descriptor_t (from libc++)
                 (undefined) external __ZdlPv (from libc++)
                 (undefined) external __ZnamSt19__type_descriptor_t (from libc++)
                 (undefined) external __Znwm (from libc++)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___cxa_allocate_exception (from libc++)
                 (undefined) external ___cxa_free_exception (from libc++)
                 (undefined) external ___cxa_throw (from libc++)
                 (undefined) external ___gxx_personality_v0 (from libc++)
                 (undefined) external ___muldc3 (from libSystem)
                 (undefined) external ___mulsc3 (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external __get_cpu_capabilities (from libSystem)
                 (undefined) external __os_log_default (from libSystem)
                 (undefined) external __os_log_error_impl (from libSystem)
                 (undefined) external __tlv_bootstrap (from libSystem)
                 (undefined) external _abort (from libSystem)
00000001814fb5f0 (__TEXT,__text) external _appleblas_dgeadd
00000001814c9cfc (__TEXT,__text) external _appleblas_dgeadd$NEWLAPACK
00000001814dbd50 (__TEXT,__text) external _appleblas_dgeadd$NEWLAPACK$ILP64
0000000181505360 (__TEXT,__text) external _appleblas_sgeadd
00000001814ca060 (__TEXT,__text) external _appleblas_sgeadd$NEWLAPACK
00000001814dc0a4 (__TEXT,__text) external _appleblas_sgeadd$NEWLAPACK$ILP64
                 (undefined) external _bzero (from libSystem)
000000018150d5d4 (__TEXT,__text) external _catlas_caxpby
00000001814d26b4 (__TEXT,__text) external _catlas_caxpby$NEWLAPACK
00000001814e2014 (__TEXT,__text) external _catlas_caxpby$NEWLAPACK$ILP64
000000018150dec0 (__TEXT,__text) external _catlas_cset
00000001814d2fa0 (__TEXT,__text) external _catlas_cset$NEWLAPACK
00000001814e28e0 (__TEXT,__text) external _catlas_cset$NEWLAPACK$ILP64
00000001814eb18c (__TEXT,__text) external _catlas_daxpby
000000018121e6f0 (__TEXT,__text) external _catlas_daxpby$NEWLAPACK
00000001814c0ef4 (__TEXT,__text) external _catlas_daxpby$NEWLAPACK$ILP64
00000001814eb27c (__TEXT,__text) external _catlas_dset
000000018121e814 (__TEXT,__text) external _catlas_dset$NEWLAPACK
00000001814c0fe8 (__TEXT,__text) external _catlas_dset$NEWLAPACK$ILP64
00000001814e9aa8 (__TEXT,__text) external _catlas_saxpby
0000000180eb436c (__TEXT,__text) external _catlas_saxpby$NEWLAPACK
00000001814b8c68 (__TEXT,__text) external _catlas_saxpby$NEWLAPACK$ILP64
00000001814e9bcc (__TEXT,__text) external _catlas_sset
0000000180eb4490 (__TEXT,__text) external _catlas_sset$NEWLAPACK
00000001814b8d5c (__TEXT,__text) external _catlas_sset$NEWLAPACK$ILP64
000000018150e5c8 (__TEXT,__text) external _catlas_zaxpby
00000001814d36a8 (__TEXT,__text) external _catlas_zaxpby$NEWLAPACK
00000001814e2fb8 (__TEXT,__text) external _catlas_zaxpby$NEWLAPACK$ILP64
000000018150f3a0 (__TEXT,__text) external _catlas_zset
00000001814d42ac (__TEXT,__text) external _catlas_zset$NEWLAPACK
00000001814e3b94 (__TEXT,__text) external _catlas_zset$NEWLAPACK$ILP64
00000001813d98e0 (__TEXT,__text) external _caxpby$NEWLAPACK
00000001814c474c (__TEXT,__text) external _caxpby$NEWLAPACK$ILP64
0000000180e9f768 (__TEXT,__text) external _caxpy
00000001813d9878 (__TEXT,__text) external _caxpy$NEWLAPACK
00000001814c46e4 (__TEXT,__text) external _caxpy$NEWLAPACK$ILP64
0000000180e9f768 (__TEXT,__text) external _caxpy_
000000018150d82c (__TEXT,__text) external _cblas_caxpy
00000001814d290c (__TEXT,__text) external _cblas_caxpy$NEWLAPACK
00000001814e2264 (__TEXT,__text) external _cblas_caxpy$NEWLAPACK$ILP64
000000018150d974 (__TEXT,__text) external _cblas_ccopy
00000001814d2a54 (__TEXT,__text) external _cblas_ccopy$NEWLAPACK
00000001814e23a8 (__TEXT,__text) external _cblas_ccopy$NEWLAPACK$ILP64
000000018150da58 (__TEXT,__text) external _cblas_cdotc_sub
00000001814d2b38 (__TEXT,__text) external _cblas_cdotc_sub$NEWLAPACK
00000001814e2498 (__TEXT,__text) external _cblas_cdotc_sub$NEWLAPACK$ILP64
000000018150db74 (__TEXT,__text) external _cblas_cdotu_sub
00000001814d2c54 (__TEXT,__text) external _cblas_cdotu_sub$NEWLAPACK
00000001814e25b0 (__TEXT,__text) external _cblas_cdotu_sub$NEWLAPACK$ILP64
00000001814f047c (__TEXT,__text) external _cblas_cgbmv
00000001814c958c (__TEXT,__text) external _cblas_cgbmv$NEWLAPACK
00000001814db5c0 (__TEXT,__text) external _cblas_cgbmv$NEWLAPACK$ILP64
00000001814f0bec (__TEXT,__text) external _cblas_cgemm
000000018106b464 (__TEXT,__text) external _cblas_cgemm$NEWLAPACK
00000001814be7d8 (__TEXT,__text) external _cblas_cgemm$NEWLAPACK$ILP64
00000001814f227c (__TEXT,__text) external _cblas_cgemv
00000001810a2258 (__TEXT,__text) external _cblas_cgemv$NEWLAPACK
00000001814bf2ac (__TEXT,__text) external _cblas_cgemv$NEWLAPACK$ILP64
0000000181507ca4 (__TEXT,__text) external _cblas_cgerc
00000001814cab6c (__TEXT,__text) external _cblas_cgerc$NEWLAPACK
00000001814dcba0 (__TEXT,__text) external _cblas_cgerc$NEWLAPACK$ILP64
00000001815083ac (__TEXT,__text) external _cblas_cgeru
00000001814cb274 (__TEXT,__text) external _cblas_cgeru$NEWLAPACK
00000001814dd2a0 (__TEXT,__text) external _cblas_cgeru$NEWLAPACK$ILP64
0000000181508b3c (__TEXT,__text) external _cblas_chbmv
00000001814cba04 (__TEXT,__text) external _cblas_chbmv$NEWLAPACK
00000001814dda24 (__TEXT,__text) external _cblas_chbmv$NEWLAPACK$ILP64
00000001814f2f54 (__TEXT,__text) external _cblas_chemm
00000001813d66f8 (__TEXT,__text) external _cblas_chemm$NEWLAPACK
00000001814c41dc (__TEXT,__text) external _cblas_chemm$NEWLAPACK$ILP64
0000000181508f78 (__TEXT,__text) external _cblas_chemv
00000001814cc0e4 (__TEXT,__text) external _cblas_chemv$NEWLAPACK
00000001814ddcc0 (__TEXT,__text) external _cblas_chemv$NEWLAPACK$ILP64
0000000181509e68 (__TEXT,__text) external _cblas_cher
00000001814cd3fc (__TEXT,__text) external _cblas_cher$NEWLAPACK
00000001814deb4c (__TEXT,__text) external _cblas_cher$NEWLAPACK$ILP64
0000000181509678 (__TEXT,__text) external _cblas_cher2
00000001814ccc0c (__TEXT,__text) external _cblas_cher2$NEWLAPACK
00000001814de39c (__TEXT,__text) external _cblas_cher2$NEWLAPACK$ILP64
00000001814f3f2c (__TEXT,__text) external _cblas_cher2k
0000000181068cbc (__TEXT,__text) external _cblas_cher2k$NEWLAPACK
00000001814be010 (__TEXT,__text) external _cblas_cher2k$NEWLAPACK$ILP64
00000001814f520c (__TEXT,__text) external _cblas_cherk
0000000180f7fe7c (__TEXT,__text) external _cblas_cherk$NEWLAPACK
00000001814bda44 (__TEXT,__text) external _cblas_cherk$NEWLAPACK$ILP64
000000018150a6a4 (__TEXT,__text) external _cblas_chpmv
00000001814cdc38 (__TEXT,__text) external _cblas_chpmv$NEWLAPACK
00000001814df398 (__TEXT,__text) external _cblas_chpmv$NEWLAPACK$ILP64
000000018150b0b4 (__TEXT,__text) external _cblas_chpr
00000001814cea80 (__TEXT,__text) external _cblas_chpr$NEWLAPACK
00000001814dfd80 (__TEXT,__text) external _cblas_chpr$NEWLAPACK$ILP64
000000018150a8d4 (__TEXT,__text) external _cblas_chpr2
00000001814ce2a0 (__TEXT,__text) external _cblas_chpr2$NEWLAPACK
00000001814df5d4 (__TEXT,__text) external _cblas_chpr2$NEWLAPACK$ILP64
000000018150dc90 (__TEXT,__text) external _cblas_crotg
00000001814d2d70 (__TEXT,__text) external _cblas_crotg$NEWLAPACK
00000001814e26c8 (__TEXT,__text) external _cblas_crotg$NEWLAPACK$ILP64
000000018150dd44 (__TEXT,__text) external _cblas_cscal
00000001814d2e24 (__TEXT,__text) external _cblas_cscal$NEWLAPACK
00000001814e277c (__TEXT,__text) external _cblas_cscal$NEWLAPACK$ILP64
000000018150df08 (__TEXT,__text) external _cblas_csrot
00000001814d2fe8 (__TEXT,__text) external _cblas_csrot$NEWLAPACK
00000001814e2920 (__TEXT,__text) external _cblas_csrot$NEWLAPACK$ILP64
000000018150df98 (__TEXT,__text) external _cblas_csscal
00000001814d3078 (__TEXT,__text) external _cblas_csscal$NEWLAPACK
00000001814e29ac (__TEXT,__text) external _cblas_csscal$NEWLAPACK$ILP64
000000018150e07c (__TEXT,__text) external _cblas_cswap
00000001814d315c (__TEXT,__text) external _cblas_cswap$NEWLAPACK
00000001814e2a8c (__TEXT,__text) external _cblas_cswap$NEWLAPACK$ILP64
00000001814f6058 (__TEXT,__text) external _cblas_csymm
00000001811bfc24 (__TEXT,__text) external _cblas_csymm$NEWLAPACK
00000001814bff94 (__TEXT,__text) external _cblas_csymm$NEWLAPACK$ILP64
00000001814f7038 (__TEXT,__text) external _cblas_csyr2k
00000001813dbc4c (__TEXT,__text) external _cblas_csyr2k$NEWLAPACK
00000001814c5020 (__TEXT,__text) external _cblas_csyr2k$NEWLAPACK$ILP64
00000001814f7fd0 (__TEXT,__text) external _cblas_csyrk
00000001812cd4cc (__TEXT,__text) external _cblas_csyrk$NEWLAPACK
