00007ffb1f76b2cf (__TEXT,__text) external _AAAFSCGetMetadata
00007ffb1f718553 (__TEXT,__text) non-external _BlockDecryptionStreamCancel
00007ffb1f71852b (__TEXT,__text) non-external _BlockDecryptionStreamClose
00007ffb1f718570 (__TEXT,__text) non-external _BlockDecryptionStreamPRead
00007ffb1f718993 (__TEXT,__text) non-external _BlockDecryptionStreamRead
                 (undefined) external _CCCryptorCreateWithMode (from libSystem)
                 (undefined) external _CCCryptorFinal (from libSystem)
                 (undefined) external _CCCryptorGetOutputLength (from libSystem)
                 (undefined) external _CCCryptorRelease (from libSystem)
                 (undefined) external _CCCryptorUpdate (from libSystem)
                 (undefined) external _CCDeriveKey (from libSystem)
                 (undefined) external _CCHmacFinal (from libSystem)
                 (undefined) external _CCHmacInit (from libSystem)
                 (undefined) external _CCHmacUpdate (from libSystem)
                 (undefined) external _CCKDFParametersCreateHkdf (from libSystem)
                 (undefined) external _CCKDFParametersDestroy (from libSystem)
                 (undefined) external _CCRandomGenerateBytes (from libSystem)
00007ffb1f72cedf (__TEXT,__text) non-external (was a private external) _CC_CKSUM_Final
00007ffb1f72ce82 (__TEXT,__text) non-external (was a private external) _CC_CKSUM_Init
00007ffb1f72ce9b (__TEXT,__text) non-external (was a private external) _CC_CKSUM_Update
00007ffb1f72f191 (__TEXT,__text) non-external (was a private external) _CC_SHA1_Deprecated_Final
00007ffb1f72f17d (__TEXT,__text) non-external (was a private external) _CC_SHA1_Deprecated_Init
00007ffb1f72f187 (__TEXT,__text) non-external (was a private external) _CC_SHA1_Deprecated_Update
                 (undefined) external _CC_SHA1_Final (from libSystem)
                 (undefined) external _CC_SHA1_Init (from libSystem)
                 (undefined) external _CC_SHA1_Update (from libSystem)
                 (undefined) external _CC_SHA256_Final (from libSystem)
                 (undefined) external _CC_SHA256_Init (from libSystem)
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external _CC_SHA384_Final (from libSystem)
                 (undefined) external _CC_SHA384_Init (from libSystem)
                 (undefined) external _CC_SHA384_Update (from libSystem)
                 (undefined) external _CC_SHA512_Final (from libSystem)
                 (undefined) external _CC_SHA512_Init (from libSystem)
                 (undefined) external _CC_SHA512_Update (from libSystem)
                 (undefined) external _CFDataCreate (from CoreFoundation)
                 (undefined) external _CFDataGetBytePtr (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDataGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryAddValue (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFErrorCopyDescription (from CoreFoundation)
                 (undefined) external _CFErrorCreateWithUserInfoKeysAndValues (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFNumberCreate (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetLength (from CoreFoundation)
00007ffb1f788fa0 (__TEXT,__const) non-external _CKSUMTable
00007ffb1f76e668 (__TEXT,__text) non-external _CompressionConsumerProc
00007ffb1f76e490 (__TEXT,__text) non-external _CompressionWorkerDataCreate
00007ffb1f76f3ee (__TEXT,__text) non-external _CompressionWorkerDataDestroy
00007ffb1f76e5de (__TEXT,__text) non-external _CompressionWorkerProc
00007ffb1f70cf38 (__TEXT,__text) non-external _DHERecipient_ECDHE_P256
00007ffb1f70cb7d (__TEXT,__text) non-external _DHESender_ECDHE_P256
00007ffb1f70d47d (__TEXT,__text) non-external _DSASign_ECDSA_P256
00007ffb1f70d6c5 (__TEXT,__text) non-external _DSAVerify_ECDSA_P256
00007ffb1f70d293 (__TEXT,__text) non-external _DerivePublicFromPrivate_ECP256
00007ffb1f70d427 (__TEXT,__text) non-external _Digest_SHA256
00007ffb1f718d26 (__TEXT,__text) non-external (was a private external) _ECC65537CheckAndFix
00007ffb1f7189a6 (__TEXT,__text) non-external (was a private external) _ECC65537GetParity
00007ffb1f788e40 (__TEXT,__const) non-external _ECC65537_G
00007ffb1f72236e (__TEXT,__text) non-external (was a private external) _ECCFixThreadProc
00007ffb1f73f735 (__TEXT,__text) non-external (was a private external) _GetLargeFileControls
00007ffb1f73eb5d (__TEXT,__text) non-external (was a private external) _GetLargeFileControlsWithStreams
00007ffb1f70bdc4 (__TEXT,__text) non-external _HKDFDerive
00007ffb1f70da11 (__TEXT,__text) non-external _HMACDerive_SHA256
00007ffb1f70d9a0 (__TEXT,__text) non-external _HMACFinal_SHA256
00007ffb1f70d90e (__TEXT,__text) non-external _HMACInit_SHA256
00007ffb1f70d988 (__TEXT,__text) non-external _HMACUpdate_SHA256
00007ffb1f70daee (__TEXT,__text) non-external _HMACVerify_SHA256
00007ffb1f719d84 (__TEXT,__text) non-external (was a private external) _IDecoderStreamAbort
00007ffb1f719b16 (__TEXT,__text) non-external (was a private external) _IDecoderStreamCreate
00007ffb1f719c65 (__TEXT,__text) non-external (was a private external) _IDecoderStreamDestroy
00007ffb1f719d69 (__TEXT,__text) non-external (was a private external) _IDecoderStreamRead
00007ffb1f719adc (__TEXT,__text) non-external (was a private external) _IDecoderStreamThreadProc
00007ffb1f726559 (__TEXT,__text) non-external (was a private external) _IFileStreamCreateWithFD
00007ffb1f72620b (__TEXT,__text) non-external (was a private external) _IFileStreamCreateWithFilename
00007ffb1f726522 (__TEXT,__text) non-external (was a private external) _IFileStreamDestroy
00007ffb1f726681 (__TEXT,__text) non-external (was a private external) _IFileStreamRead
00007ffb1f719d98 (__TEXT,__text) non-external (was a private external) _ILowMemoryDecoderStreamCreate
00007ffb1f71a3b0 (__TEXT,__text) non-external (was a private external) _ILowMemoryDecoderStreamCreateWithBuffer
00007ffb1f71a347 (__TEXT,__text) non-external (was a private external) _ILowMemoryDecoderStreamDestroy
00007ffb1f71a42f (__TEXT,__text) non-external (was a private external) _ILowMemoryDecoderStreamRead
00007ffb1f7272c0 (__TEXT,__text) non-external (was a private external) _IMemStreamAbort
00007ffb1f7271f5 (__TEXT,__text) non-external (was a private external) _IMemStreamCreate
00007ffb1f7272b6 (__TEXT,__text) non-external (was a private external) _IMemStreamDestroy
00007ffb1f727268 (__TEXT,__text) non-external (was a private external) _IMemStreamRead
00007ffb1f72609b (__TEXT,__text) non-external (was a private external) _IZeroStreamRead
00007ffb1f73ea7c (__TEXT,__text) non-external (was a private external) _LargeFileConsumer
00007ffb1f73e330 (__TEXT,__text) non-external (was a private external) _LargeFileWorker
00007ffb1f725e6b (__TEXT,__text) non-external (was a private external) _MappedBufferCreateWithFD
00007ffb1f725e2a (__TEXT,__text) non-external (was a private external) _MappedBufferDestroy
00007ffb1f726087 (__TEXT,__text) non-external (was a private external) _MappedBufferGetDataPtr
00007ffb1f726091 (__TEXT,__text) non-external (was a private external) _MappedBufferGetDataSize
00007ffb1f725880 (__TEXT,__text) non-external (was a private external) _MemBufferCreate
00007ffb1f725a05 (__TEXT,__text) non-external (was a private external) _MemBufferDecreaseSize
00007ffb1f725974 (__TEXT,__text) non-external (was a private external) _MemBufferDestroy
00007ffb1f725ad1 (__TEXT,__text) non-external (was a private external) _MemBufferFillFromBuffer
00007ffb1f725b60 (__TEXT,__text) non-external (was a private external) _MemBufferFillFromIStream
00007ffb1f725bec (__TEXT,__text) non-external (was a private external) _MemBufferFlushToOStream
00007ffb1f7259b1 (__TEXT,__text) non-external (was a private external) _MemBufferGetDataPtr
00007ffb1f72599a (__TEXT,__text) non-external (was a private external) _MemBufferGetDataSize
00007ffb1f7259bf (__TEXT,__text) non-external (was a private external) _MemBufferGetFreePtr
00007ffb1f7259a4 (__TEXT,__text) non-external (was a private external) _MemBufferGetFreeSize
00007ffb1f72590b (__TEXT,__text) non-external (was a private external) _MemBufferIncreaseCapacity
00007ffb1f725a72 (__TEXT,__text) non-external (was a private external) _MemBufferIncreaseSize
00007ffb1f725c9e (__TEXT,__text) non-external (was a private external) _MemBufferTransmit
