                 (undefined) external _AuthorizationCreate (from Security)
                 (undefined) external _AuthorizationFree (from Security)
                 (undefined) external _AuthorizationMakeExternalForm (from Security)
                 (undefined) external _CFArrayAppendValue (from CoreFoundation)
                 (undefined) external _CFArrayContainsValue (from CoreFoundation)
                 (undefined) external _CFArrayCreateMutable (from CoreFoundation)
                 (undefined) external _CFArrayGetCount (from CoreFoundation)
                 (undefined) external _CFArrayGetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFArrayRemoveValueAtIndex (from CoreFoundation)
                 (undefined) external _CFDictionaryAddValue (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionaryRemoveValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormat (from CoreFoundation)
00007ffd042cb797 (__TEXT,__text) external _PFCheckNATRule
00007ffd042c7e8c (__TEXT,__text) non-external ___PFQueryGatewayAddrAndPortForDescriptor_block_invoke
00007ffd042cb4d7 (__TEXT,__text) non-external ___PFRDRConsistencyCheck
00007ffd042caede (__TEXT,__text) non-external ___PFRTableCheck
00007ffd042cbc12 (__TEXT,__text) non-external ___PFRuleStrToNum
00007ffd042cab7f (__TEXT,__text) non-external ___PFScrubOptionsCheck
00007ffd042cad23 (__TEXT,__text) non-external ___PFStateCheck
00007ffd042c6737 (__TEXT,__text) non-external ___PFTableAddAddress_block_invoke
00007ffd042c6569 (__TEXT,__text) non-external ___PFTableBegin_block_invoke
00007ffd40452208 (__DATA_CONST,__const) non-external ___PFTableClass
00007ffd042c6c28 (__TEXT,__text) non-external ___PFTableClear_block_invoke
00007ffd042c6912 (__TEXT,__text) non-external ___PFTableCommit_block_invoke
00007ffd042c6aaf (__TEXT,__text) non-external ___PFTableCommit_block_invoke_2
00007ffd042c63fb (__TEXT,__text) non-external ___PFTableCreate_block_invoke
00007ffd042c6dd9 (__TEXT,__text) non-external ___PFTableDelete_block_invoke
00007ffd042c6ebc (__TEXT,__text) non-external ___PFTableDelete_block_invoke_2
00007ffd042c86a7 (__TEXT,__text) non-external ___PFTableRegister
00007ffd042c86c0 (__TEXT,__text) non-external ___PFTableRelease
00007ffd042ca9d7 (__TEXT,__text) non-external ___PFTagCheck
00007ffd042c5193 (__TEXT,__text) non-external ___PFUserAddRule_block_invoke
00007ffd042c4f02 (__TEXT,__text) non-external ___PFUserBeginRules_block_invoke
00007ffd042ca28a (__TEXT,__text) non-external ___PFUserCheck
00007ffd404520c8 (__DATA_CONST,__const) non-external ___PFUserClass
00007ffd042c56fe (__TEXT,__text) non-external ___PFUserClearRules_block_invoke
00007ffd042c741c (__TEXT,__text) non-external ___PFUserClearStates_block_invoke
00007ffd042c7531 (__TEXT,__text) non-external ___PFUserClearStates_block_invoke_2
00007ffd042c5361 (__TEXT,__text) non-external ___PFUserCommitRules_block_invoke
00007ffd042c54c2 (__TEXT,__text) non-external ___PFUserCommitRules_block_invoke_2
00007ffd042c7287 (__TEXT,__text) non-external ___PFUserCopyRules_S_block_invoke
00007ffd042c4d1f (__TEXT,__text) non-external ___PFUserCreate_block_invoke
00007ffd042c611b (__TEXT,__text) non-external ___PFUserDeleteRule_block_invoke
00007ffd042c6232 (__TEXT,__text) non-external ___PFUserDeleteRule_block_invoke_2
00007ffd042c584d (__TEXT,__text) non-external ___PFUserDeleteRules_block_invoke
00007ffd042c5962 (__TEXT,__text) non-external ___PFUserDeleteRules_block_invoke_2
00007ffd042c76b4 (__TEXT,__text) non-external ___PFUserDeleteStates_block_invoke
00007ffd042c7835 (__TEXT,__text) non-external ___PFUserDeleteStates_block_invoke_2
00007ffd042c702b (__TEXT,__text) non-external ___PFUserGetRules_block_invoke
00007ffd042c7102 (__TEXT,__text) non-external ___PFUserGetRules_block_invoke_2
00007ffd042c521b (__TEXT,__text) non-external ___PFUserGetTransArray
00007ffd042c5f7f (__TEXT,__text) non-external ___PFUserInsertRule_S_block_invoke
00007ffd042c5c8d (__TEXT,__text) non-external ___PFUserInsertRule_block_invoke
00007ffd042c5d69 (__TEXT,__text) non-external ___PFUserInsertRule_block_invoke_2
00007ffd042c7ccd (__TEXT,__text) non-external ___PFUserNATLook_S_block_invoke
00007ffd042c79ff (__TEXT,__text) non-external ___PFUserNATLook_block_invoke
00007ffd042c7ad8 (__TEXT,__text) non-external ___PFUserNATLook_block_invoke_2
00007ffd042c852a (__TEXT,__text) non-external ___PFUserRegister
00007ffd042c8543 (__TEXT,__text) non-external ___PFUserRelease
00007ffd042c5aae (__TEXT,__text) non-external ___PFUserRelease_block_invoke
00007ffd042c5566 (__TEXT,__text) non-external ___PFUserRemoveTransArray
00007ffd042c4d12 (__TEXT,__text) non-external ___PFUserRuleDictionaryRelease
00007ffd042cc155 (__TEXT,__text) non-external ___PFXPCResponseHandler
00007ffd042c85f2 (__TEXT,__text) non-external _____PFUserRelease_block_invoke
00007ffd042c876d (__TEXT,__text) non-external _____PFUserXPCClearStatesResponseHandler_block_invoke
00007ffd042c860a (__TEXT,__text) non-external _____PFUserXPCCommitRulesResponseHandler_block_invoke
00007ffd042c86e6 (__TEXT,__text) non-external _____PFUserXPCCommitTableResponseHandler_block_invoke
00007ffd042c8691 (__TEXT,__text) non-external _____PFUserXPCDeleteRuleResponseHandler_block_invoke
00007ffd042c8620 (__TEXT,__text) non-external _____PFUserXPCDeleteRulesResponseHandler_block_invoke
00007ffd042c8783 (__TEXT,__text) non-external _____PFUserXPCDeleteStatesResponseHandler_block_invoke
00007ffd042c86fc (__TEXT,__text) non-external _____PFUserXPCDeleteTableResponseHandler_block_invoke
00007ffd042c8712 (__TEXT,__text) non-external _____PFUserXPCGetRulesResponseHandler_block_invoke
00007ffd042c8636 (__TEXT,__text) non-external _____PFUserXPCInsertRuleResponseHandler_block_invoke
00007ffd042c8799 (__TEXT,__text) non-external _____PFUserXPCNatLookResponseHandler_block_invoke
00007ffd042cc0e6 (__TEXT,__text) non-external _____PFXPCCreate_block_invoke
00007ffd042cc2b7 (__TEXT,__text) non-external _____PFXPCSendMessage_block_invoke
                 (undefined) external ___assert_rtn (from libSystem)
00007ffd40451a18 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffd404523e8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffd40452148 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.101
00007ffd40452178 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.103
00007ffd404521a8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.105
00007ffd404521d8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.107
00007ffd40452268 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.110
00007ffd40452298 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.112
00007ffd404522c8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.114
00007ffd404522f8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.116
00007ffd40452328 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.118
00007ffd40452358 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.120
00007ffd40452428 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.129
00007ffd40451a48 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.15
00007ffd40451a78 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.22
00007ffd40451aa8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.25
00007ffd40451ad8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.27
00007ffd40451b08 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.28
00007ffd40451b38 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.30
00007ffd40451b68 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.31
00007ffd40451b98 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.32
00007ffd40451bc8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.35
00007ffd40451bf8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.36
00007ffd40451c28 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.37
00007ffd40451c58 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.39
00007ffd40451c88 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.40
00007ffd40451cb8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.42
00007ffd40451ce8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.45
00007ffd40451d18 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.47
00007ffd40451d48 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.49
00007ffd40451d78 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.50
00007ffd40451da8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.51
00007ffd40451dd8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.54
00007ffd40451e08 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.55
00007ffd40451e38 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.58
00007ffd40451e68 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.59
00007ffd40451e98 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.60
00007ffd40451ec8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.62
00007ffd40451ef8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.63
00007ffd40451f28 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.67
00007ffd40451f58 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.68
00007ffd40451f88 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.72
00007ffd40451fa8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.73
00007ffd40451fd8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.74
00007ffd40452008 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.77
00007ffd40452038 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.79
00007ffd40452068 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.80
00007ffd40452098 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.81
00007ffd40452128 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.95
00007ffd40452408 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffd042c554f (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32b
00007ffd042c55c4 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32b40r
00007ffd042c4db8 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r
00007ffd042c4fb4 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r40r
00007ffd042cc2ce (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32b
00007ffd042c55fc (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32b40r
00007ffd042c4dcf (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r
00007ffd042c4fec (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r40r
                 (undefined) external ___error (from libSystem)
00007ffd42af79d0 (__DATA,__bss) non-external ___pfDictIdentifier
00007ffd4221fbc0 (__DATA_DIRTY,__bss) non-external ___pfLog
00007ffd42af79e0 (__DATA,__bss) non-external ___pfLogError
00007ffd4221fb80 (__DATA_DIRTY,__data) non-external ___pfLogInit
00007ffd4221fbb8 (__DATA_DIRTY,__bss) non-external ___pfManager
00007ffd4221fbd8 (__DATA_DIRTY,__bss) non-external ___pfManagerTypeID
00007ffd4221fba0 (__DATA_DIRTY,__data) non-external ___pfManagerTypeInit
00007ffd4221fbc8 (__DATA_DIRTY,__bss) non-external ___pfQueue
00007ffd42af79e8 (__DATA,__bss) non-external ___pfQueueError
00007ffd4221fb90 (__DATA_DIRTY,__data) non-external ___pfQueueInit
00007ffd42af79d8 (__DATA,__bss) non-external ___pfTableTypeID
00007ffd42af75f0 (__DATA,__data) non-external ___pfTableTypeInit
00007ffd4221fbb0 (__DATA_DIRTY,__bss) non-external ___pfUserTypeID
00007ffd4221fb70 (__DATA_DIRTY,__data) non-external ___pfUserTypeInit
00007ffd4221fbd0 (__DATA_DIRTY,__bss) non-external ___pfXpcQueue
00007ffd4221fbe8 (__DATA_DIRTY,__bss) non-external ___pfconnection
00007ffd4221fbe0 (__DATA_DIRTY,__bss) non-external ___pfresponse
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external __os_log_default (from libSystem)
                 (undefined) external __os_log_error_impl (from libSystem)
                 (undefined) external __xpc_error_key_description (from libSystem)
                 (undefined) external __xpc_type_array (from libSystem)
                 (undefined) external __xpc_type_bool (from libSystem)
                 (undefined) external __xpc_type_connection (from libSystem)
                 (undefined) external __xpc_type_dictionary (from libSystem)
                 (undefined) external __xpc_type_error (from libSystem)
                 (undefined) external __xpc_type_string (from libSystem)
                 (undefined) external __xpc_type_uint64 (from libSystem)
                 (undefined) external __xpc_type_uuid (from libSystem)
                 (undefined) external _dispatch_async (from libSystem)
                 (undefined) external _dispatch_queue_create (from libSystem)
                 (undefined) external _dispatch_release (from libSystem)
                 (undefined) external _dispatch_retain (from libSystem)
                 (undefined) external _dispatch_sync (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _freeaddrinfo (from libSystem)
                 (undefined) external _freeifaddrs (from libSystem)
                 (undefined) external _getaddrinfo (from libSystem)
                 (undefined) external _getgrnam (from libSystem)
                 (undefined) external _getifaddrs (from libSystem)
                 (undefined) external _getprotobyname (from libSystem)
                 (undefined) external _getpwnam (from libSystem)
                 (undefined) external _getservbyname (from libSystem)
                 (undefined) external _if_nametoindex (from libSystem)
                 (undefined) external _kCFAllocatorDefault (from CoreFoundation)
                 (undefined) external _kCFTypeArrayCallBacks (from CoreFoundation)
                 (undefined) external _kCFTypeDictionaryKeyCallBacks (from CoreFoundation)
00007ffd42af77b8 (__DATA,__data) external _kPFAction
00007ffd42af77a0 (__DATA,__data) external _kPFAdaptiveFirewall
00007ffd42af7720 (__DATA,__data) external _kPFAirDrop
00007ffd42af7858 (__DATA,__data) external _kPFAllowOpts
00007ffd42af79c0 (__DATA,__data) external _kPFAny
00007ffd42af7728 (__DATA,__data) external _kPFApplicationFirewall
00007ffd42af7738 (__DATA,__data) external _kPFBase
00007ffd42af7758 (__DATA,__data) external _kPFBase_nat64
00007ffd42af7760 (__DATA,__data) external _kPFBase_nat66
00007ffd42af7748 (__DATA,__data) external _kPFBase_v4
00007ffd42af7750 (__DATA,__data) external _kPFBase_v6
00007ffd42af78a8 (__DATA,__data) external _kPFBytesIn
00007ffd42af78b0 (__DATA,__data) external _kPFBytesOut
00007ffd42af77a8 (__DATA,__data) external _kPFCustomFirewall
00007ffd42af7798 (__DATA,__data) external _kPFDefaultFirewall
00007ffd42af77c8 (__DATA,__data) external _kPFDirection
00007ffd42af7868 (__DATA,__data) external _kPFDummyNet
00007ffd42af7870 (__DATA,__data) external _kPFExtFilter
00007ffd42af7878 (__DATA,__data) external _kPFExtMap
00007ffd42af7710 (__DATA,__data) external _kPFFTPProxy
00007ffd42af77d8 (__DATA,__data) external _kPFFamily
00007ffd42af7820 (__DATA,__data) non-external (was a private external) _kPFFlagSet
00007ffd42af7818 (__DATA,__data) external _kPFFlags
00007ffd42af77f0 (__DATA,__data) external _kPFFrom
00007ffd42af7830 (__DATA,__data) external _kPFGroup
00007ffd42af7778 (__DATA,__data) external _kPFHost_v4
00007ffd42af7780 (__DATA,__data) external _kPFHost_v6
00007ffd42af7840 (__DATA,__data) external _kPFICMP
00007ffd42af77d0 (__DATA,__data) external _kPFInterface
00007ffd42af76f8 (__DATA,__data) external _kPFInternetSharing
00007ffd42af7850 (__DATA,__data) external _kPFKeepState
00007ffd42af7838 (__DATA,__data) external _kPFLog
00007ffd42af7790 (__DATA,__data) external _kPFMDNS
00007ffd42af7890 (__DATA,__data) external _kPFMaxStates
00007ffd42af7800 (__DATA,__data) external _kPFNATDest
00007ffd42af7888 (__DATA,__data) external _kPFNATPass
00007ffd42af7810 (__DATA,__data) external _kPFNATRDRAddress
00007ffd42af77f8 (__DATA,__data) external _kPFNATSrc
00007ffd42af7700 (__DATA,__data) external _kPFNLC
00007ffd42af7788 (__DATA,__data) external _kPFNetworkIsolation
00007ffd42af7898 (__DATA,__data) external _kPFPacketsIn
00007ffd42af78a0 (__DATA,__data) external _kPFPacketsOut
00007ffd42af7740 (__DATA,__data) external _kPFPortMapping
00007ffd42af77e0 (__DATA,__data) external _kPFProtocol
00007ffd42af77e8 (__DATA,__data) external _kPFQuick
00007ffd42af7880 (__DATA,__data) external _kPFRTableID
00007ffd42af77c0 (__DATA,__data) external _kPFReturnOptions
00007ffd42af78b8 (__DATA,__data) external _kPFRuleID
00007ffd42af7848 (__DATA,__data) external _kPFScrubOptions
00007ffd42af7718 (__DATA,__data) external _kPFServerFirewall
00007ffd42af7768 (__DATA,__data) external _kPFShared_v4
00007ffd42af7770 (__DATA,__data) external _kPFShared_v6
00007ffd42af78c8 (__DATA,__data) external _kPFSubAddress
00007ffd42af78c0 (__DATA,__data) external _kPFSubAddressLabel
00007ffd42af79b0 (__DATA,__data) external _kPFSubDummyNetPipe
00007ffd42af79b8 (__DATA,__data) external _kPFSubDummyNetPipeType
00007ffd42af78d0 (__DATA,__data) external _kPFSubDynInterface
00007ffd42af7920 (__DATA,__data) external _kPFSubGroupName
00007ffd42af7938 (__DATA,__data) external _kPFSubGroupOperator
00007ffd42af7930 (__DATA,__data) external _kPFSubHighGroupID
00007ffd42af78e8 (__DATA,__data) external _kPFSubHighPort
00007ffd42af7910 (__DATA,__data) external _kPFSubHighUserID
00007ffd42af7958 (__DATA,__data) external _kPFSubICMPCode
00007ffd42af7950 (__DATA,__data) external _kPFSubICMPType
00007ffd42af7940 (__DATA,__data) external _kPFSubLogFlags
00007ffd42af7948 (__DATA,__data) external _kPFSubLogTo
00007ffd42af7928 (__DATA,__data) external _kPFSubLowGroupID
00007ffd42af78e0 (__DATA,__data) external _kPFSubLowPort
00007ffd42af7908 (__DATA,__data) external _kPFSubLowUserID
00007ffd42af78d8 (__DATA,__data) external _kPFSubNegated
00007ffd42af7990 (__DATA,__data) external _kPFSubNotTagged
00007ffd42af78f0 (__DATA,__data) external _kPFSubPortOperator
00007ffd42af7978 (__DATA,__data) external _kPFSubReturnICMP6Code
00007ffd42af7970 (__DATA,__data) external _kPFSubReturnICMPCode
00007ffd42af7968 (__DATA,__data) external _kPFSubReturnTTL
00007ffd42af7960 (__DATA,__data) external _kPFSubReturnType
00007ffd42af7998 (__DATA,__data) external _kPFSubScrubFlags
00007ffd42af79a8 (__DATA,__data) external _kPFSubScrubMaxMSS
00007ffd42af79a0 (__DATA,__data) external _kPFSubScrubMinTTL
00007ffd42af78f8 (__DATA,__data) external _kPFSubTable
00007ffd42af7980 (__DATA,__data) external _kPFSubTag
00007ffd42af7988 (__DATA,__data) external _kPFSubTagged
00007ffd42af7900 (__DATA,__data) external _kPFSubUserName
00007ffd42af7918 (__DATA,__data) external _kPFSubUserOperator
00007ffd42af7860 (__DATA,__data) external _kPFTagDict
00007ffd42af7730 (__DATA,__data) external _kPFThreadBR
00007ffd42af77b0 (__DATA,__data) external _kPFThreadBR_nat64
00007ffd42af7808 (__DATA,__data) external _kPFTo
00007ffd42af79c8 (__DATA,__data) external _kPFUnknown
00007ffd42af7828 (__DATA,__data) external _kPFUser
00007ffd42af7708 (__DATA,__data) external _kPFVPN
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _os_log_create (from libSystem)
                 (undefined) external _os_log_type_enabled (from libSystem)
                 (undefined) external _os_log_with_args (from libSystem)
00007ffd42af7600 (__DATA,__data) non-external (was a private external) _pfLogSubsystem
00007ffd42af76d0 (__DATA,__data) non-external (was a private external) _pfXPCEXTLANAddress
00007ffd42af76d8 (__DATA,__data) non-external (was a private external) _pfXPCEXTLANPort
00007ffd42af76e0 (__DATA,__data) non-external (was a private external) _pfXPCIPProto
00007ffd42af7620 (__DATA,__data) non-external (was a private external) _pfXPCKeyAppSubType
00007ffd42af7618 (__DATA,__data) non-external (was a private external) _pfXPCKeyAppType
00007ffd42af7668 (__DATA,__data) non-external (was a private external) _pfXPCKeyAuthRef
00007ffd42af76f0 (__DATA,__data) non-external (was a private external) _pfXPCKeyDeleteAF
00007ffd42af76e8 (__DATA,__data) non-external (was a private external) _pfXPCKeyDeleteAddress
00007ffd42af7660 (__DATA,__data) non-external (was a private external) _pfXPCKeyGatewayQuery
00007ffd42af7650 (__DATA,__data) non-external (was a private external) _pfXPCKeyInsertID
00007ffd42af7648 (__DATA,__data) non-external (was a private external) _pfXPCKeyPriority
00007ffd42af7630 (__DATA,__data) non-external (was a private external) _pfXPCKeyRule
