00007ff810b0ab75 (__TEXT,__text) external _BNNSAffineGridSample
00007ff810b0ab57 (__TEXT,__text) external _BNNSCropResize
00007ff810b0ab61 (__TEXT,__text) external _BNNSCropResizeBackward
00007ff810b18575 (__TEXT,__text) external _BNNSDataLayoutGetRank
00007ff810866974 (__TEXT,__text) external _BNNSDequantize
00007ff810b07f26 (__TEXT,__text) external _BNNSDestroyNearestNeighbors
00007ff810b0c354 (__TEXT,__text) external _BNNSDestroyRandomGenerator
00007ff810b17acc (__TEXT,__text) external _BNNSDirectApplyActivationBatch
00007ff810b17b58 (__TEXT,__text) external _BNNSDirectApplyBroadcastMatMul
00007ff810b179fe (__TEXT,__text) external _BNNSDirectApplyFullyConnectedBatch
00007ff810b1151f (__TEXT,__text) external _BNNSDirectApplyInTopK
00007ff810b17a6b (__TEXT,__text) external _BNNSDirectApplyLSTMBatchBackward
00007ff810b17a1c (__TEXT,__text) external _BNNSDirectApplyLSTMBatchTrainingCaching
00007ff810b0ae01 (__TEXT,__text) external _BNNSDirectApplyQuantizer
00007ff810b1135a (__TEXT,__text) external _BNNSDirectApplyReduction
00007ff810b114e8 (__TEXT,__text) external _BNNSDirectApplyTopK
00007ff810b184fe (__TEXT,__text) external _BNNSFilterApply
00007ff810b15066 (__TEXT,__text) external _BNNSFilterApplyBackwardBatch
00007ff810b0fa6c (__TEXT,__text) external _BNNSFilterApplyBackwardTwoInputBatch
00007ff810b13b40 (__TEXT,__text) external _BNNSFilterApplyBatch
00007ff810b0f39c (__TEXT,__text) external _BNNSFilterApplyTwoInput
00007ff810b0f3c1 (__TEXT,__text) external _BNNSFilterApplyTwoInputBatch
00007ff810b11c68 (__TEXT,__text) external _BNNSFilterCreateBatchLayerFullyConnected
00007ff810b182d0 (__TEXT,__text) external _BNNSFilterCreateConvolutionLayer
00007ff810b184ea (__TEXT,__text) external _BNNSFilterCreateFullyConnectedLayer
00007ff810b11e94 (__TEXT,__text) external _BNNSFilterCreateFusedLayer
00007ff810b11c86 (__TEXT,__text) external _BNNSFilterCreateLayerActivation
00007ff810b11e6c (__TEXT,__text) external _BNNSFilterCreateLayerArithmetic
00007ff810b0f38d (__TEXT,__text) external _BNNSFilterCreateLayerBroadcastMatMul
00007ff810b11c46 (__TEXT,__text) external _BNNSFilterCreateLayerConvolution
00007ff810b11346 (__TEXT,__text) external _BNNSFilterCreateLayerDepthwiseConvolution
00007ff810b11e80 (__TEXT,__text) external _BNNSFilterCreateLayerDropout
00007ff810b0adf7 (__TEXT,__text) external _BNNSFilterCreateLayerEmbedding
00007ff810b11c5c (__TEXT,__text) external _BNNSFilterCreateLayerFullyConnected
00007ff810b0f361 (__TEXT,__text) external _BNNSFilterCreateLayerGram
00007ff810b11c90 (__TEXT,__text) external _BNNSFilterCreateLayerLoss
00007ff810b10272 (__TEXT,__text) external _BNNSFilterCreateLayerMultiheadAttention
00007ff810b11c9a (__TEXT,__text) external _BNNSFilterCreateLayerNormalization
00007ff810b11e8a (__TEXT,__text) external _BNNSFilterCreateLayerPadding
00007ff810b11e76 (__TEXT,__text) external _BNNSFilterCreateLayerPermute
00007ff810b11c7c (__TEXT,__text) external _BNNSFilterCreateLayerPooling
00007ff810b11350 (__TEXT,__text) external _BNNSFilterCreateLayerReduction
00007ff810b10268 (__TEXT,__text) external _BNNSFilterCreateLayerResize
00007ff810b0b60f (__TEXT,__text) external _BNNSFilterCreateLayerSparseEmbedding
00007ff810b11c72 (__TEXT,__text) external _BNNSFilterCreateLayerSparseFullyConnected
00007ff810b0f32f (__TEXT,__text) external _BNNSFilterCreateLayerTensorContraction
00007ff810b11c50 (__TEXT,__text) external _BNNSFilterCreateLayerTransposedConvolution
00007ff810b184f4 (__TEXT,__text) external _BNNSFilterCreatePoolingLayer
00007ff810b18518 (__TEXT,__text) external _BNNSFilterCreateVectorActivationLayer
00007ff810b17dda (__TEXT,__text) external _BNNSFilterDestroy
00007ff810b119bc (__TEXT,__text) external _BNNSFilterGetState
00007ff810b11533 (__TEXT,__text) external _BNNSFilterGetStateSize
00007ff810b116d8 (__TEXT,__text) external _BNNSFilterSetState
00007ff810b50829 (__TEXT,__text) external _BNNSFunctionGRUFusedGates
00007ff810b16d44 (__TEXT,__text) external _BNNSFusedFilterApplyBackwardBatch
00007ff810b0de18 (__TEXT,__text) external _BNNSFusedFilterApplyBackwardMultiInputBatch
00007ff810b13174 (__TEXT,__text) external _BNNSFusedFilterApplyBatch
00007ff810b0c8ce (__TEXT,__text) external _BNNSFusedFilterApplyMultiInputBatch
00007ff810b08404 (__TEXT,__text) external _BNNSGather
00007ff810b08418 (__TEXT,__text) external _BNNSGatherND
00007ff810b11364 (__TEXT,__text) external _BNNSGetPointer
00007ff810965c2d (__TEXT,__text) external _BNNSGraphAnalyzeIRSize
00007ff8107fb889 (__TEXT,__text) external _BNNSGraphCompileFromFile
00007ff81095c6b0 (__TEXT,__text) external _BNNSGraphCompileFromFile_v2
00007ff81095c26a (__TEXT,__text) external _BNNSGraphCompileMLIR
00007ff81095f6e3 (__TEXT,__text) external _BNNSGraphCompileOptionShareIOPointer
00007ff81095e84c (__TEXT,__text) external _BNNSGraphCompileOptionsDestroy
00007ff81095ec60 (__TEXT,__text) external _BNNSGraphCompileOptionsGetCompilationEnableSignposts
00007ff81095f5f9 (__TEXT,__text) external _BNNSGraphCompileOptionsGetDeduplicationMode
00007ff81095ebb6 (__TEXT,__text) external _BNNSGraphCompileOptionsGetDownconvertMode
00007ff81095f64b (__TEXT,__text) external _BNNSGraphCompileOptionsGetFileWriteFSyncBarrier
00007ff81095eb18 (__TEXT,__text) external _BNNSGraphCompileOptionsGetGenerateDebugInfo
00007ff81095f1ad (__TEXT,__text) external _BNNSGraphCompileOptionsGetOptimizationPreference
00007ff81095f05b (__TEXT,__text) external _BNNSGraphCompileOptionsGetOutputFD
00007ff81095eff1 (__TEXT,__text) external _BNNSGraphCompileOptionsGetOutputPath
00007ff81095f697 (__TEXT,__text) external _BNNSGraphCompileOptionsGetPreallocateOutputFile
00007ff81095eb64 (__TEXT,__text) external _BNNSGraphCompileOptionsGetPredefinedOptimizations
00007ff81095f541 (__TEXT,__text) external _BNNSGraphCompileOptionsGetShapeBounding
00007ff81095ecfb (__TEXT,__text) external _BNNSGraphCompileOptionsGetTarget
00007ff81095eacc (__TEXT,__text) external _BNNSGraphCompileOptionsGetTargetSingleThread
00007ff81095ec0b (__TEXT,__text) external _BNNSGraphCompileOptionsGetUpconvertMode
00007ff81095f40f (__TEXT,__text) external _BNNSGraphCompileOptionsGetUserData
00007ff81095ecaf (__TEXT,__text) external _BNNSGraphCompileOptionsGetValidateMILFile
00007ff81095f15e (__TEXT,__text) external _BNNSGraphCompileOptionsGetWeightsFD
00007ff81095f0f4 (__TEXT,__text) external _BNNSGraphCompileOptionsGetWeightsPath
00007ff81095e6c6 (__TEXT,__text) external _BNNSGraphCompileOptionsMakeDefault
00007ff81095ec38 (__TEXT,__text) external _BNNSGraphCompileOptionsSetCompilationEnableSignposts
00007ff81095f5d1 (__TEXT,__text) external _BNNSGraphCompileOptionsSetDeduplicationMode
00007ff81095eb8e (__TEXT,__text) external _BNNSGraphCompileOptionsSetDownconvertMode
00007ff81095f626 (__TEXT,__text) external _BNNSGraphCompileOptionsSetFileWriteFSyncBarrier
00007ff81095eaf3 (__TEXT,__text) external _BNNSGraphCompileOptionsSetGenerateDebugInfo
00007ff81095f6be (__TEXT,__text) external _BNNSGraphCompileOptionsSetInputFormat
00007ff81095f568 (__TEXT,__text) external _BNNSGraphCompileOptionsSetMessageLogCallback
00007ff81095f5a9 (__TEXT,__text) external _BNNSGraphCompileOptionsSetMessageLogMask
00007ff81095f188 (__TEXT,__text) external _BNNSGraphCompileOptionsSetOptimizationPreference
00007ff81095f036 (__TEXT,__text) external _BNNSGraphCompileOptionsSetOutputFD
00007ff81095eeb4 (__TEXT,__text) external _BNNSGraphCompileOptionsSetOutputPath
00007ff81095ef98 (__TEXT,__text) external _BNNSGraphCompileOptionsSetOutputPathWithPermissions
00007ff81095ef05 (__TEXT,__text) external _BNNSGraphCompileOptionsSetOutputPathWithPermissionsAndProtectionClass
00007ff81095f672 (__TEXT,__text) external _BNNSGraphCompileOptionsSetPreallocateOutputFile
00007ff81095eb3f (__TEXT,__text) external _BNNSGraphCompileOptionsSetPredefinedOptimizations
00007ff81095f51c (__TEXT,__text) external _BNNSGraphCompileOptionsSetShapeBounding
00007ff81095ecd6 (__TEXT,__text) external _BNNSGraphCompileOptionsSetTarget
00007ff81095ed25 (__TEXT,__text) external _BNNSGraphCompileOptionsSetTargetByChipsetID
00007ff81095e945 (__TEXT,__text) external _BNNSGraphCompileOptionsSetTargetSingleThread
00007ff81095ebe3 (__TEXT,__text) external _BNNSGraphCompileOptionsSetUpconvertMode
00007ff81095f1d7 (__TEXT,__text) external _BNNSGraphCompileOptionsSetUserData
00007ff81095ec8a (__TEXT,__text) external _BNNSGraphCompileOptionsSetValidateMILFile
00007ff81095f139 (__TEXT,__text) external _BNNSGraphCompileOptionsSetWeightsFD
00007ff81095f085 (__TEXT,__text) external _BNNSGraphCompileOptionsSetWeightsPathWithPermissions
00007ff8107fbf43 (__TEXT,__text) external _BNNSGraphContextCreate
00007ff8107fbf62 (__TEXT,__text) external _BNNSGraphContextDestroy
00007ff8109633fe (__TEXT,__text) external _BNNSGraphContextDestroy_v2
00007ff810966a0e (__TEXT,__text) external _BNNSGraphContextEnableNanAndInfChecks
00007ff8109661d2 (__TEXT,__text) external _BNNSGraphContextEnablePerformanceData
00007ff810963ac4 (__TEXT,__text) external _BNNSGraphContextEnableSignposts
00007ff8107fc29d (__TEXT,__text) external _BNNSGraphContextExecute
00007ff810964323 (__TEXT,__text) external _BNNSGraphContextExecute_v2
00007ff8107fc240 (__TEXT,__text) external _BNNSGraphContextGetArgPosition
00007ff810963835 (__TEXT,__text) external _BNNSGraphContextGetArgumentPosition
00007ff8107fbda1 (__TEXT,__text) external _BNNSGraphContextGetContextSize
00007ff810962130 (__TEXT,__text) external _BNNSGraphContextGetTensor
00007ff8107fbd56 (__TEXT,__text) external _BNNSGraphContextGetTensorDescriptor
00007ff8109617dd (__TEXT,__text) external _BNNSGraphContextGetTensorDescriptor_v2
00007ff8107fc21b (__TEXT,__text) external _BNNSGraphContextGetWorkspaceSize
00007ff8109637a0 (__TEXT,__text) external _BNNSGraphContextGetWorkspaceSize_v2
00007ff8107fbf85 (__TEXT,__text) external _BNNSGraphContextInitialize
00007ff8109631fd (__TEXT,__text) external _BNNSGraphContextMake
00007ff8109633eb (__TEXT,__text) external _BNNSGraphContextMakeExperimentalStateSupport
00007ff810963210 (__TEXT,__text) external _BNNSGraphContextMakeFromFile
00007ff810964a2b (__TEXT,__text) external _BNNSGraphContextMakeStreaming
00007ff810962d58 (__TEXT,__text) external _BNNSGraphContextMakeWithLogging
00007ff810966325 (__TEXT,__text) external _BNNSGraphContextPerformanceDataGetExecutionCount
00007ff8109663e8 (__TEXT,__text) external _BNNSGraphContextPerformanceDataGetTotalExecutionTime
00007ff81096498f (__TEXT,__text) external _BNNSGraphContextReplaceAllFunctions
00007ff81096464d (__TEXT,__text) external _BNNSGraphContextReplaceFunctions
00007ff810964231 (__TEXT,__text) external _BNNSGraphContextSetAdvancedWorkspaceReuse
00007ff8107fc277 (__TEXT,__text) external _BNNSGraphContextSetArgType
00007ff81096401e (__TEXT,__text) external _BNNSGraphContextSetArgumentType
00007ff8109636b6 (__TEXT,__text) external _BNNSGraphContextSetBatchSize_v2
00007ff810966966 (__TEXT,__text) external _BNNSGraphContextSetDebugIntermediates_v3
00007ff8107fc1df (__TEXT,__text) external _BNNSGraphContextSetDynamicShapes
00007ff810963536 (__TEXT,__text) external _BNNSGraphContextSetDynamicShapes_v2
00007ff8107fc109 (__TEXT,__text) external _BNNSGraphContextSetDynamicSizes
00007ff8109640c6 (__TEXT,__text) external _BNNSGraphContextSetInternalValidation
00007ff81096313f (__TEXT,__text) external _BNNSGraphContextSetMessageLogCallback
00007ff810963ee1 (__TEXT,__text) external _BNNSGraphContextSetMessageLogMask
00007ff810963d9d (__TEXT,__text) external _BNNSGraphContextSetOutputAllocationCallback_v2
00007ff81096416e (__TEXT,__text) external _BNNSGraphContextSetStreamingAdvanceCount
00007ff810963f89 (__TEXT,__text) external _BNNSGraphContextSetWeights
00007ff810963b6c (__TEXT,__text) external _BNNSGraphContextSetWorkspaceAllocationCallback_v2
00007ff810965a3c (__TEXT,__text) external _BNNSGraphDumpIR_v2
00007ff8109621ef (__TEXT,__text) external _BNNSGraphE5Validate
00007ff81096247f (__TEXT,__text) external _BNNSGraphE5ValidateGetSupportedVersion
00007ff8107fc3f8 (__TEXT,__text) external _BNNSGraphExecute
00007ff81096560b (__TEXT,__text) external _BNNSGraphExecute_v2
00007ff8107fc3d2 (__TEXT,__text) external _BNNSGraphGetArgPosition
00007ff810960567 (__TEXT,__text) external _BNNSGraphGetArgumentCount
00007ff810960784 (__TEXT,__text) external _BNNSGraphGetArgumentIntents
00007ff810960a1b (__TEXT,__text) external _BNNSGraphGetArgumentInterleaveFactors
00007ff81095fb52 (__TEXT,__text) external _BNNSGraphGetArgumentNames
00007ff810964fee (__TEXT,__text) external _BNNSGraphGetArgumentPosition
00007ff81096684f (__TEXT,__text) external _BNNSGraphGetDebugString
00007ff81095e2e5 (__TEXT,__text) external _BNNSGraphGetFunctionCount
00007ff81095e49b (__TEXT,__text) external _BNNSGraphGetFunctionNames
00007ff810960362 (__TEXT,__text) external _BNNSGraphGetInputCount
00007ff8107fbb17 (__TEXT,__text) external _BNNSGraphGetInputNames
00007ff81095f82f (__TEXT,__text) external _BNNSGraphGetInputNames_v2
00007ff8107fbcc7 (__TEXT,__text) external _BNNSGraphGetNumInputs
00007ff8107fbceb (__TEXT,__text) external _BNNSGraphGetNumOutputs
00007ff810966026 (__TEXT,__text) external _BNNSGraphGetOperationCount
00007ff8109664ac (__TEXT,__text) external _BNNSGraphGetOperationTypeName
00007ff81096015b (__TEXT,__text) external _BNNSGraphGetOutputCount
00007ff8107fbc8f (__TEXT,__text) external _BNNSGraphGetOutputNames
00007ff81095fe46 (__TEXT,__text) external _BNNSGraphGetOutputNames_v2
00007ff810966959 (__TEXT,__text) external _BNNSGraphGetPackageVersion
00007ff810966017 (__TEXT,__text) external _BNNSGraphGetPerformanceDataSize
00007ff8107fbb4f (__TEXT,__text) external _BNNSGraphGetSize
00007ff810961258 (__TEXT,__text) external _BNNSGraphGetTensor
00007ff8107fbd0f (__TEXT,__text) external _BNNSGraphGetTensorDescriptor
00007ff810960cd9 (__TEXT,__text) external _BNNSGraphGetTensorDescriptor_v2
00007ff8109652c5 (__TEXT,__text) external _BNNSGraphGetUserData
00007ff8107fc3b1 (__TEXT,__text) external _BNNSGraphGetWorkspaceSize
00007ff810964da4 (__TEXT,__text) external _BNNSGraphGetWorkspaceSize_v2
00007ff810965e26 (__TEXT,__text) external _BNNSGraphIRtoDot_v2
00007ff8107fba62 (__TEXT,__text) external _BNNSGraphOptionsCreateDefault
00007ff8107fba87 (__TEXT,__text) external _BNNSGraphOptionsSetDebugInfo
00007ff8107fbafc (__TEXT,__text) external _BNNSGraphOptionsSetDownconvertMode
00007ff8107fbae1 (__TEXT,__text) external _BNNSGraphOptionsSetOptimizationPreference
00007ff8107fbabd (__TEXT,__text) external _BNNSGraphOptionsSetOutputPath
00007ff8107fbaa2 (__TEXT,__text) external _BNNSGraphOptionsSetPredefinedOptimizations
00007ff8107fba6c (__TEXT,__text) external _BNNSGraphOptionsSetSingleThread
00007ff8109619fe (__TEXT,__text) external _BNNSGraphTensorFillStrides
00007ff810b0ab6b (__TEXT,__text) external _BNNSGumbelMax
00007ff810b17b3c (__TEXT,__text) external _BNNSInitGumbel
00007ff810b12ae4 (__TEXT,__text) external _BNNSLossFilterApplyBackwardBatch
00007ff810b12434 (__TEXT,__text) external _BNNSLossFilterApplyBatch
00007ff810b07fee (__TEXT,__text) external _BNNSMatMul
00007ff810b07f58 (__TEXT,__text) external _BNNSMatMulWorkspaceSize
00007ff810b1854d (__TEXT,__text) external _BNNSNDArrayConvolutionSparsify
00007ff810b18557 (__TEXT,__text) external _BNNSNDArrayConvolutionSparsifySparseCOO
00007ff810b1852f (__TEXT,__text) external _BNNSNDArrayFullyConnectedSparsify
00007ff810b18539 (__TEXT,__text) external _BNNSNDArrayFullyConnectedSparsifySparseCOO
00007ff810b18543 (__TEXT,__text) external _BNNSNDArrayFullyConnectedSparsifySparseCSR
00007ff810b18561 (__TEXT,__text) external _BNNSNDArrayGetDataSize
00007ff810b07f3a (__TEXT,__text) external _BNNSNearestNeighborsGetInfo
00007ff810b07f30 (__TEXT,__text) external _BNNSNearestNeighborsLoad
00007ff810b166b0 (__TEXT,__text) external _BNNSNormalizationFilterApplyBackwardBatch
00007ff810b0d7e7 (__TEXT,__text) external _BNNSNormalizationFilterApplyBatch
00007ff810b11529 (__TEXT,__text) external _BNNSOptimizerStep
00007ff810b149ab (__TEXT,__text) external _BNNSPermuteFilterApplyBackwardBatch
00007ff810b179c0 (__TEXT,__text) external _BNNSPoolingFilterApplyBackwardBatch
00007ff810b0a5d4 (__TEXT,__text) external _BNNSPoolingFilterApplyBackwardBatchEx
00007ff810b14988 (__TEXT,__text) external _BNNSPoolingFilterApplyBatch
00007ff810b0842c (__TEXT,__text) external _BNNSPoolingFilterApplyBatchEx
00007ff81087d54a (__TEXT,__text) external _BNNSPose384InitFromPointers
00007ff81087ac57 (__TEXT,__text) external _BNNSPoseExecute
00007ff81087a7b8 (__TEXT,__text) external _BNNSPoseInitFromPointers
00007ff810b0c77c (__TEXT,__text) external _BNNSRandomFillCategoricalFloat
00007ff810b0c623 (__TEXT,__text) external _BNNSRandomFillNormalFloat
00007ff810b0c37c (__TEXT,__text) external _BNNSRandomFillUniformFloat
00007ff810b0c4d2 (__TEXT,__text) external _BNNSRandomFillUniformInt
00007ff810b0c368 (__TEXT,__text) external _BNNSRandomGeneratorGetState
00007ff810b0c372 (__TEXT,__text) external _BNNSRandomGeneratorSetState
00007ff810b0c35e (__TEXT,__text) external _BNNSRandomGeneratorStateSize
00007ff81095debf (__TEXT,__text) external _BNNSRepackWeightsFromFile
00007ff81095c5f4 (__TEXT,__text) external _BNNSReplaceByDelegateOpsMLIR
00007ff810989317 (__TEXT,__text) external _BNNSSGemvDWS
00007ff8109890eb (__TEXT,__text) external _BNNSSGemvDiscontiguousDWS
00007ff810b0840e (__TEXT,__text) external _BNNSScatter
00007ff810b08422 (__TEXT,__text) external _BNNSScatterND
00007ff81095c2ee (__TEXT,__text) external _BNNSSegmentCoreMLIR
00007ff81101c7c7 (__TEXT,__text) external _BNNSSetNetwork
00007ff810f7a634 (__TEXT,__text) external _BNNSSetup
00007ff810b0aa32 (__TEXT,__text) external _BNNSShuffle
00007ff810b0ba3b (__TEXT,__text) external _BNNSSparseEmbeddingApplyBackward
00007ff810b0c1c4 (__TEXT,__text) external _BNNSSparseEmbeddingGetDense
00007ff810b0c07c (__TEXT,__text) external _BNNSSparseEmbeddingOptimizerStep
00007ff810b0b6f9 (__TEXT,__text) external _BNNSSparseGetRepresentation
00007ff810b0b89a (__TEXT,__text) external _BNNSSparseSetRepresentation
00007ff810b1856b (__TEXT,__text) external _BNNSTensorGetAllocationSize
00007ff810b07f44 (__TEXT,__text) external _BNNSTile
00007ff810b07f4e (__TEXT,__text) external _BNNSTileBackward
00007ff810b11020 (__TEXT,__text) external _BNNSTranspose
                 (undefined) external _CCCryptorCreateWithMode (from libSystem)
                 (undefined) external _CCCryptorRelease (from libSystem)
                 (undefined) external _CCCryptorUpdate (from libSystem)
                 (undefined) external _CFDataGetBytes (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDictionaryAddValue (from CoreFoundation)
                 (undefined) external _CFDictionaryContainsKey (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFNumberCreate (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetLength (from CoreFoundation)
                 (undefined) external _CFStringGetMaximumSizeForEncoding (from CoreFoundation)
                 (undefined) external __Block_copy (from libSystem)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __Block_release (from libSystem)
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __NSGetExecutablePath (from libSystem)
                 (undefined) external __Unwind_Resume (from libSystem)
                 (undefined) weak external __ZN3MIL10IROperator4MakeENSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEENS1_10shared_ptrINS1_13unordered_mapIS7_NS8_INS_11IRParameterEEENS1_4hashIS7_EENS1_8equal_toIS7_EENS5_INS1_4pairIKS7_SB_EEEEEEEENS8_INS1_6vectorISB_NS5_ISB_EEEEEENS1_8functionIFNS_16ValidationResultERKNS_11IROperationEEEENSQ_IFNS8_IKNS_7IRValueEEESU_EEE (from MIL)
                 (undefined) weak external __ZN3MIL10MILContext4MakeEv (from MIL)
                 (undefined) weak external __ZN3MIL11IRParameter11MakeTypeSetESt16initializer_listIPKNS_11IRValueTypeEE (from MIL)
                 (undefined) weak external __ZN3MIL11IRParameter4MakeENSt3__110shared_ptrINS1_13unordered_setIPKNS_11IRValueTypeENS1_4hashIS6_EENS1_8equal_toIS6_EENS1_9allocatorIS6_EEEEEE (from MIL)
                 (undefined) weak external __ZN3MIL13ParserOptions4MakeEv (from MIL)
                 (undefined) weak external __ZN3MIL16ValidationResultC1ENSt3__110shared_ptrIKNS_8LocationEEENS_16ValidationReasonENS1_12basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEE (from MIL)
                 (undefined) weak external __ZN3MIL16ValidationResultC1Ev (from MIL)
                 (undefined) weak external __ZN3MIL16ValidationResultD1Ev (from MIL)
                 (undefined) weak external __ZN3MIL17IRTensorValueType10MakeScalarERNS_10MILContextENS_10IRDataTypeE (from MIL)
                 (undefined) weak external __ZN3MIL17IRTensorValueType13MakeWithShapeERNS_10MILContextENS_10IRDataTypeEONSt3__16vectorIPKNS_11IRDimensionENS4_9allocatorIS8_EEEE (from MIL)
                 (undefined) weak external __ZN3MIL18IRUnknownDimension4MakeERNS_10MILContextEb (from MIL)
                 (undefined) weak external __ZN3MIL19IRConstantDimension4MakeERNS_10MILContextEy (from MIL)
                 (undefined) weak external __ZN3MIL4Text20ParseProgramFromFileENSt3__110shared_ptrINS_10MILContextEEERKNS_13ParserOptionsE (from MIL)
                 (undefined) weak external __ZN3MIL7IROpset10RegisterOpEONSt3__110shared_ptrIKNS_10IROperatorEEE (from MIL)
                 (undefined) weak external __ZN3MIL7IROpsetC2Ev (from MIL)
                 (undefined) weak external __ZN3MIL7IROpsetD2Ev (from MIL)
00007ff8107fb790 (__TEXT,__text) external __ZN4bnns12GraphCompileE16BNNSTargetSystemONSt3__110unique_ptrIN3MIL9IRProgramENS1_14default_deleteIS4_EEEENS1_12basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEEPKNS_12GraphOptionsE
00007ff81095be76 (__TEXT,__text) external __ZN4bnns12GraphCompileEONSt3__110unique_ptrIN3MIL9IRProgramENS0_14default_deleteIS3_EEEEPKc28bnns_graph_compile_options_t
00007ff81095ba40 (__TEXT,__text) external __ZN4bnns12GraphCompileERKN3MIL9IRProgramEPKc28bnns_graph_compile_options_t
00007ff8106190b4 (__TEXT,__text) external __ZN4bnns12GraphOptions14DefaultOptionsEv
00007ff810619234 (__TEXT,__text) external __ZN4bnns12GraphOptions17set_single_threadEb
00007ff810619248 (__TEXT,__text) external __ZN4bnns12GraphOptions23set_generate_debug_infoEb
00007ff81061925c (__TEXT,__text) external __ZN4bnns12GraphOptions28set_predefined_optimizationsEj
00007ff8106190aa (__TEXT,__text) external __ZN4bnns12GraphOptionsD0Ev
00007ff8106190a4 (__TEXT,__text) external __ZN4bnns12GraphOptionsD1Ev
00007ff81061909e (__TEXT,__text) external __ZN4bnns12GraphOptionsD2Ev
00007ff81095c1ed (__TEXT,__text) external __ZN4bnns13RepackWeightsEONSt3__110unique_ptrIN3MIL9IRProgramENS0_14default_deleteIS3_EEEE12bnns_graph_t28bnns_graph_compile_options_t
00007ff81095bef3 (__TEXT,__text) external __ZN4bnns13RepackWeightsERKN3MIL9IRProgramE12bnns_graph_t28bnns_graph_compile_options_t
00007ff810af6f10 (__TEXT,__text) external __ZN4bnns14RegisterOpsetsERN3MIL10MILContextE
00007ff81087d9c5 (__TEXT,__text) external __ZN4bnns15PoseInitFromMILEPvPKN3MIL9IRProgramE
                 (undefined) weak external __ZNK3MIL10IRArgument7GetNameEv (from MIL)
                 (undefined) weak external __ZNK3MIL10IRProperty10AsConstantEv (from MIL)
                 (undefined) weak external __ZNK3MIL10IRProperty13TryAsConstantEv (from MIL)
                 (undefined) weak external __ZNK3MIL10MILContext8GetOpsetERKNSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEE (from MIL)
                 (undefined) weak external __ZNK3MIL11IRListValue9GetValuesEv (from MIL)
                 (undefined) weak external __ZNK3MIL11IROperation14IsParameterSetERKNSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEE (from MIL)
