00000001d6597fd0 (__DATA,__data) external _NDR_record
0000000180404e58 (__TEXT,__text) external ___fstatat
0000000180404eb0 (__TEXT,__text) external ___fstatfs
0000000180403aa8 (__TEXT,__text) external ___fsync_nocancel
0000000180400004 (__TEXT,__text) external ___get_remove_counter
00000001803f72b0 (__TEXT,__text) external ___getattrlist
00000001803f8530 (__TEXT,__text) external ___getdirentries64
0000000180404fb8 (__TEXT,__text) external ___getfsstat
00000001803fc19c (__TEXT,__text) external ___gethostuuid
0000000180402924 (__TEXT,__text) external ___getlogin
00000001803faf74 (__TEXT,__text) external ___getpeername
00000001803f6dec (__TEXT,__text) external ___getpid
00000001803f8c3c (__TEXT,__text) external ___getrlimit
0000000180403ad4 (__TEXT,__text) external ___getsgroups
00000001803fe510 (__TEXT,__text) external ___getsockname
00000001803f83f0 (__TEXT,__text) external ___gettid
00000001803fa6f4 (__TEXT,__text) external ___gettimeofday
00000001803fa6c8 (__TEXT,__text) non-external (was a private external) ___gettimeofday_with_mach
0000000180403b00 (__TEXT,__text) external ___getwgroups
0000000180403b2c (__TEXT,__text) external ___guarded_open_dprotected_np
00000001803fa12c (__TEXT,__text) external ___guarded_open_np
0000000180403b58 (__TEXT,__text) external ___identitysvc
00000001803fa450 (__TEXT,__text) external ___inc_remove_counter
00000001804028f8 (__TEXT,__text) external ___initgroups
00000001803fadb4 (__TEXT,__text) external ___ioctl
00000001803fb124 (__TEXT,__text) external ___iopolicysys
0000000180403b84 (__TEXT,__text) external ___kdebug_trace
00000001803f9494 (__TEXT,__text) external ___kdebug_trace64
0000000180403bb0 (__TEXT,__text) external ___kdebug_trace_string
00000001803fc474 (__TEXT,__text) external ___kdebug_typefilter
00000001804299e8 (__TEXT,__const) non-external (was a private external) ___kernelVersionNumber
00000001804299b0 (__TEXT,__const) non-external (was a private external) ___kernelVersionString
00000001803feb30 (__TEXT,__text) external ___kill
00000001803fce88 (__TEXT,__text) external ___kqueue_workloop_ctl
00000001803fc3b0 (__TEXT,__text) external ___lchown
00000001803fc4a0 (__TEXT,__text) external ___libkernel_init
0000000180406214 (__TEXT,__text) external ___libkernel_init_after_boot_tasks
0000000180406124 (__TEXT,__text) external ___libkernel_init_late
00000001803fc744 (__TEXT,__text) external ___libkernel_platform_init
00000001803f6ddc (__TEXT,__text) external ___libkernel_voucher_init
00000001803ff1cc (__TEXT,__text) external ___listen
0000000180403bdc (__TEXT,__text) external ___log_data
00000001803f8190 (__TEXT,__text) external ___lseek
000000018040519c (__TEXT,__text) external ___lstat
00000001803fc220 (__TEXT,__text) external ___lstat64_extended
0000000180403c08 (__TEXT,__text) external ___lstat_extended
0000000180403c34 (__TEXT,__text) external ___mac_execve
0000000180403c60 (__TEXT,__text) external ___mac_get_fd
0000000180403c8c (__TEXT,__text) external ___mac_get_file
0000000180403cb8 (__TEXT,__text) external ___mac_get_link
0000000180403ce4 (__TEXT,__text) external ___mac_get_mount
0000000180403d10 (__TEXT,__text) external ___mac_get_pid
0000000180403d3c (__TEXT,__text) external ___mac_get_proc
0000000180403d68 (__TEXT,__text) external ___mac_getfsstat
0000000180403d94 (__TEXT,__text) external ___mac_mount
0000000180403dc0 (__TEXT,__text) external ___mac_set_fd
0000000180403dec (__TEXT,__text) external ___mac_set_file
0000000180403e18 (__TEXT,__text) external ___mac_set_link
00000001803ff16c (__TEXT,__text) external ___mac_set_proc
00000001803f829c (__TEXT,__text) external ___mac_syscall
0000000180403e44 (__TEXT,__text) external ___mach_bridge_remote_time
0000000180403e70 (__TEXT,__text) external ___mach_eventlink_signal
0000000180403e9c (__TEXT,__text) external ___mach_eventlink_signal_wait_until
0000000180403ec8 (__TEXT,__text) external ___mach_eventlink_wait_until
0000000180403ef4 (__TEXT,__text) external ___map_with_linking_np
0000000180403f20 (__TEXT,__text) external ___memorystatus_available_memory
0000000180403f4c (__TEXT,__text) external ___microstackshot
0000000180403f78 (__TEXT,__text) external ___mkdir_extended
0000000180403fa4 (__TEXT,__text) external ___mkfifo_extended
00000001803f7568 (__TEXT,__text) external ___mmap
00000001803fa69c (__TEXT,__text) external ___mprotect
0000000180403fd0 (__TEXT,__text) external ___msgctl
0000000180403ffc (__TEXT,__text) external ___msgrcv_nocancel
0000000180404028 (__TEXT,__text) external ___msgsnd_nocancel
0000000180404054 (__TEXT,__text) external ___msgsys
00000001803fcdf8 (__TEXT,__text) external ___msync
0000000180404080 (__TEXT,__text) external ___msync_nocancel
00000001803fa2c0 (__TEXT,__text) external ___munmap
00000001804040ac (__TEXT,__text) external ___nexus_create
00000001804040d8 (__TEXT,__text) external ___nexus_deregister
0000000180404104 (__TEXT,__text) external ___nexus_destroy
0000000180404130 (__TEXT,__text) external ___nexus_get_opt
000000018040415c (__TEXT,__text) external ___nexus_open
0000000180404188 (__TEXT,__text) external ___nexus_register
00000001804041b4 (__TEXT,__text) external ___nexus_set_opt
00000001803f7308 (__TEXT,__text) external ___open
00000001803fc2a8 (__TEXT,__text) external ___open_dprotected_np
0000000180402f34 (__TEXT,__text) external ___open_extended
00000001803f7498 (__TEXT,__text) external ___open_nocancel
00000001803f811c (__TEXT,__text) external ___openat
00000001804041e0 (__TEXT,__text) external ___openat_dprotected_np
00000001803fc408 (__TEXT,__text) external ___openat_nocancel
00000001d6598078 (__DATA,__bss) non-external ___os_ch_md_redzone_cookie
0000000180411be4 (__TEXT,__text) external ___os_nexus_flow_add
0000000180411c6c (__TEXT,__text) external ___os_nexus_flow_del
0000000180411dc8 (__TEXT,__text) external ___os_nexus_get_llink_info
0000000180411a04 (__TEXT,__text) external ___os_nexus_ifattach
0000000180411b24 (__TEXT,__text) external ___os_nexus_ifdetach
00000001803fa7ec (__TEXT,__text) external ___persona
00000001803fce24 (__TEXT,__text) external ___pipe
000000018040420c (__TEXT,__text) external ___poll_nocancel
00000001803fdb6c (__TEXT,__text) external ___posix_spawn
0000000180404238 (__TEXT,__text) external ___pread_nocancel
0000000180404264 (__TEXT,__text) external ___preadv_nocancel
00000001803f7c64 (__TEXT,__text) external ___proc_info
0000000180404290 (__TEXT,__text) external ___proc_info_extended_id
00000001803fe588 (__TEXT,__text) external ___process_policy
00000001803fcb84 (__TEXT,__text) external ___pselect
00000001804042bc (__TEXT,__text) external ___pselect_nocancel
00000001803fa0d0 (__TEXT,__text) external ___psynch_cvbroad
00000001803fa750 (__TEXT,__text) external ___psynch_cvclrprepost
00000001803fb500 (__TEXT,__text) external ___psynch_cvsignal
00000001803fa0a4 (__TEXT,__text) external ___psynch_cvwait
00000001803f972c (__TEXT,__text) external ___psynch_mutexdrop
00000001803f955c (__TEXT,__text) external ___psynch_mutexwait
00000001804042e8 (__TEXT,__text) external ___psynch_rw_downgrade
0000000180404314 (__TEXT,__text) external ___psynch_rw_longrdlock
00000001803fbd24 (__TEXT,__text) external ___psynch_rw_rdlock
00000001803fbcf8 (__TEXT,__text) external ___psynch_rw_unlock
0000000180404340 (__TEXT,__text) external ___psynch_rw_unlock2
000000018040436c (__TEXT,__text) external ___psynch_rw_upgrade
00000001803fbccc (__TEXT,__text) external ___psynch_rw_wrlock
0000000180404398 (__TEXT,__text) external ___psynch_rw_yieldwrlock
0000000180402c10 (__TEXT,__text) external ___pthread_canceled
00000001803fd8ec (__TEXT,__text) external ___pthread_chdir
00000001803fd8c0 (__TEXT,__text) external ___pthread_fchdir
00000001803ff114 (__TEXT,__text) external ___pthread_kill
00000001804043c4 (__TEXT,__text) external ___pthread_markcancel
00000001803fdf94 (__TEXT,__text) external ___pthread_sigmask
00000001803ff598 (__TEXT,__text) external ___ptrace
00000001804043f0 (__TEXT,__text) external ___pwrite_nocancel
000000018040441c (__TEXT,__text) external ___pwritev_nocancel
00000001803f8818 (__TEXT,__text) external ___read_nocancel
0000000180404448 (__TEXT,__text) external ___readv_nocancel
0000000180404474 (__TEXT,__text) external ___reboot
00000001804044a0 (__TEXT,__text) external ___record_system_event
00000001803fae38 (__TEXT,__text) external ___recvfrom
00000001803fad00 (__TEXT,__text) external ___recvfrom_nocancel
00000001803fb268 (__TEXT,__text) external ___recvmsg
00000001804044cc (__TEXT,__text) external ___recvmsg_nocancel
00000001d7708058 (__DATA_DIRTY,__bss) non-external ___remove_counter
00000001803fa424 (__TEXT,__text) external ___rename
00000001804044f8 (__TEXT,__text) external ___renameat
0000000180404524 (__TEXT,__text) external ___renameatx_np
00000001803fa490 (__TEXT,__text) external ___rmdir
0000000180403c34 (__TEXT,__text) external ___sandbox_me
0000000180403d94 (__TEXT,__text) external ___sandbox_mm
00000001803f829c (__TEXT,__text) external ___sandbox_ms
00000001803ff16c (__TEXT,__text) external ___sandbox_msp
0000000180401a0c (__TEXT,__text) external ___select
00000001803facd4 (__TEXT,__text) external ___select_nocancel
0000000180400294 (__TEXT,__text) external ___sem_open
0000000180404550 (__TEXT,__text) external ___sem_wait_nocancel
000000018040457c (__TEXT,__text) external ___semctl
00000001804045a8 (__TEXT,__text) external ___semsys
00000001803f9ea0 (__TEXT,__text) external ___semwait_signal
00000001803fdfc0 (__TEXT,__text) external ___semwait_signal_nocancel
00000001803fc434 (__TEXT,__text) external ___sendmsg
00000001803fad58 (__TEXT,__text) external ___sendmsg_nocancel
00000001803fae0c (__TEXT,__text) external ___sendto
00000001803fac74 (__TEXT,__text) external ___sendto_nocancel
00000001803fa020 (__TEXT,__text) external ___setattrlist
00000001804028cc (__TEXT,__text) external ___setlogin
00000001803fec44 (__TEXT,__text) external ___setpriority
00000001804045d4 (__TEXT,__text) external ___setregid
0000000180404600 (__TEXT,__text) external ___setreuid
00000001803f9590 (__TEXT,__text) external ___setrlimit
000000018040462c (__TEXT,__text) external ___setsgroups
0000000180400018 (__TEXT,__text) external ___settid
0000000180404658 (__TEXT,__text) external ___settid_with_pid
0000000180404684 (__TEXT,__text) external ___settimeofday
00000001804046b0 (__TEXT,__text) external ___setwgroups
000000018040032c (__TEXT,__text) external ___sfi_ctl
00000001804046dc (__TEXT,__text) external ___sfi_pidctl
0000000180404708 (__TEXT,__text) external ___shared_region_check_np
0000000180404734 (__TEXT,__text) external ___shared_region_map_and_slide_2_np
00000001803f80c4 (__TEXT,__text) external ___shm_open
0000000180404760 (__TEXT,__text) external ___shmctl
000000018040478c (__TEXT,__text) external ___shmsys
00000001803fceb4 (__TEXT,__text) external ___sigaction
00000001803f9f9c (__TEXT,__text) external ___sigaltstack
000000018040235c (__TEXT,__text) external ___sigreturn
00000001804047b8 (__TEXT,__text) external ___sigsuspend
00000001803fdff8 (__TEXT,__text) external ___sigsuspend_nocancel
00000001804023b4 (__TEXT,__text) external ___sigwait
00000001803fad2c (__TEXT,__text) external ___socketpair
00000001804047e4 (__TEXT,__text) external ___stack_snapshot_with_config
0000000180405bec (__TEXT,__text) external ___stat
00000001803fc1c8 (__TEXT,__text) external ___stat64_extended
0000000180404810 (__TEXT,__text) external ___stat_extended
0000000180405c18 (__TEXT,__text) external ___statfs
00000001803f8c94 (__TEXT,__text) external ___syscall
00000001d6598048 (__DATA,__common) external ___syscall_logger
00000001803f7fc4 (__TEXT,__text) external ___sysctl
00000001803f81f8 (__TEXT,__text) external ___sysctlbyname
000000018040483c (__TEXT,__text) external ___telemetry
0000000180401188 (__TEXT,__text) external ___terminate_with_payload
00000001803f8638 (__TEXT,__text) external ___thread_selfid
0000000180404868 (__TEXT,__text) external ___thread_selfusage
00000001803f8664 (__TEXT,__text) external ___ulock_wait
0000000180404894 (__TEXT,__text) external ___ulock_wait2
00000001803f8738 (__TEXT,__text) external ___ulock_wake
00000001804048c0 (__TEXT,__text) external ___umask_extended
00000001803fa844 (__TEXT,__text) external ___unlink
000000018040066c (__TEXT,__text) external ___unlinkat
00000001804048ec (__TEXT,__text) external ___vfork
00000001803fdf14 (__TEXT,__text) external ___wait4
0000000180402f08 (__TEXT,__text) external ___wait4_nocancel
000000018040495c (__TEXT,__text) external ___waitid_nocancel
00000001803ff778 (__TEXT,__text) external ___work_interval_ctl
00000001803f855c (__TEXT,__text) external ___workq_kernreturn
00000001803f8588 (__TEXT,__text) external ___workq_open
00000001803fa77c (__TEXT,__text) external ___write_nocancel
0000000180404988 (__TEXT,__text) external ___writev_nocancel
00000001d659803c (__DATA,__common) external __cpu_capabilities
00000001d6598040 (__DATA,__common) external __cpu_has_altivec
00000001d7707988 (__DATA_DIRTY,__data) external __current_pid
00000001d7708030 (__DATA_DIRTY,__bss) non-external __dlsym
00000001803f6960 (__TEXT,__text) external __exclaves_ctl_trap
0000000180406e44 (__TEXT,__text) non-external __execve_with_filter
00000001803fe024 (__TEXT,__text) external __exit
00000001803fc708 (__TEXT,__text) external __get_cpu_capabilities
00000001d6598060 (__DATA,__bss) non-external __gethostuuid_callback
000000018040a8a4 (__TEXT,__text) external __getprivatesystemidentifier
00000001804174cc (__TEXT,__text) external __host_page_size
00000001803fc704 (__TEXT,__text) external __init_cpu_capabilities
00000001804186a8 (__TEXT,__text) external __kernelrpc_host_create_mach_voucher
0000000180419a80 (__TEXT,__text) external __kernelrpc_mach_port_allocate
000000018041a754 (__TEXT,__text) external __kernelrpc_mach_port_allocate_full
0000000180419960 (__TEXT,__text) external __kernelrpc_mach_port_allocate_name
000000018041a5e0 (__TEXT,__text) external __kernelrpc_mach_port_allocate_qos
00000001803f6750 (__TEXT,__text) external __kernelrpc_mach_port_allocate_trap
000000018041c318 (__TEXT,__text) external __kernelrpc_mach_port_assert_attributes
000000018041b3d8 (__TEXT,__text) external __kernelrpc_mach_port_construct
00000001803f67a4 (__TEXT,__text) external __kernelrpc_mach_port_construct_trap
0000000180419cf8 (__TEXT,__text) external __kernelrpc_mach_port_deallocate
00000001803f675c (__TEXT,__text) external __kernelrpc_mach_port_deallocate_trap
0000000180419bd8 (__TEXT,__text) external __kernelrpc_mach_port_destroy
000000018041b54c (__TEXT,__text) external __kernelrpc_mach_port_destruct
00000001803f67b0 (__TEXT,__text) external __kernelrpc_mach_port_destruct_trap
000000018041ad58 (__TEXT,__text) external __kernelrpc_mach_port_dnrequest_info
000000018041b148 (__TEXT,__text) external __kernelrpc_mach_port_extract_member
00000001803f6798 (__TEXT,__text) external __kernelrpc_mach_port_extract_member_trap
0000000180400b9c (__TEXT,__text) external __kernelrpc_mach_port_extract_right
00000001804015d4 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes
00000001803f6858 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes_trap
00000001803fbdbc (__TEXT,__text) external __kernelrpc_mach_port_get_context
00000001803f9d4c (__TEXT,__text) external __kernelrpc_mach_port_get_refs
000000018041c13c (__TEXT,__text) external __kernelrpc_mach_port_get_service_port_info
0000000180402a78 (__TEXT,__text) external __kernelrpc_mach_port_get_set_status
000000018041aa00 (__TEXT,__text) external __kernelrpc_mach_port_get_srights
000000018041b66c (__TEXT,__text) external __kernelrpc_mach_port_guard
00000001803f6864 (__TEXT,__text) external __kernelrpc_mach_port_guard_trap
000000018041bb5c (__TEXT,__text) external __kernelrpc_mach_port_guard_with_flags
000000018041b028 (__TEXT,__text) external __kernelrpc_mach_port_insert_member
00000001803f678c (__TEXT,__text) external __kernelrpc_mach_port_insert_member_trap
000000018041a390 (__TEXT,__text) external __kernelrpc_mach_port_insert_right
00000001803f6780 (__TEXT,__text) external __kernelrpc_mach_port_insert_right_trap
000000018041bfe4 (__TEXT,__text) external __kernelrpc_mach_port_is_connection_for_service
000000018041aec0 (__TEXT,__text) external __kernelrpc_mach_port_kernel_object
000000018041b268 (__TEXT,__text) external __kernelrpc_mach_port_kobject
000000018041bda4 (__TEXT,__text) external __kernelrpc_mach_port_kobject_description
0000000180419e18 (__TEXT,__text) external __kernelrpc_mach_port_mod_refs
00000001803f6768 (__TEXT,__text) external __kernelrpc_mach_port_mod_refs_trap
000000018041a270 (__TEXT,__text) external __kernelrpc_mach_port_move_member
00000001803f6774 (__TEXT,__text) external __kernelrpc_mach_port_move_member_trap
000000018041967c (__TEXT,__text) external __kernelrpc_mach_port_names
0000000180419f38 (__TEXT,__text) external __kernelrpc_mach_port_peek
0000000180419840 (__TEXT,__text) external __kernelrpc_mach_port_rename
00000001803fa89c (__TEXT,__text) external __kernelrpc_mach_port_request_notification
00000001803f6954 (__TEXT,__text) external __kernelrpc_mach_port_request_notification_trap
00000001803f9280 (__TEXT,__text) external __kernelrpc_mach_port_set_attributes
0000000180402954 (__TEXT,__text) external __kernelrpc_mach_port_set_context
000000018041a150 (__TEXT,__text) external __kernelrpc_mach_port_set_mscount
000000018041a4c0 (__TEXT,__text) external __kernelrpc_mach_port_set_seqno
000000018041b8b0 (__TEXT,__text) external __kernelrpc_mach_port_space_basic_info
000000018041ab58 (__TEXT,__text) external __kernelrpc_mach_port_space_info
000000018041ba04 (__TEXT,__text) external __kernelrpc_mach_port_special_reply_port_reset_link
000000018041bc80 (__TEXT,__text) external __kernelrpc_mach_port_swap_guard
00000001803ff878 (__TEXT,__text) external __kernelrpc_mach_port_type
00000001803f6948 (__TEXT,__text) external __kernelrpc_mach_port_type_trap
000000018041b790 (__TEXT,__text) external __kernelrpc_mach_port_unguard
00000001803f6870 (__TEXT,__text) external __kernelrpc_mach_port_unguard_trap
0000000180423fc0 (__TEXT,__text) external __kernelrpc_mach_task_is_self
000000018041c484 (__TEXT,__text) external __kernelrpc_mach_vm_allocate
00000001803f6708 (__TEXT,__text) external __kernelrpc_mach_vm_allocate_trap
000000018041c5e0 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate
00000001803f6720 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate_trap
00000001803f7c90 (__TEXT,__text) external __kernelrpc_mach_vm_map
00000001803f6744 (__TEXT,__text) external __kernelrpc_mach_vm_map_trap
000000018041c700 (__TEXT,__text) external __kernelrpc_mach_vm_protect
00000001803f6738 (__TEXT,__text) external __kernelrpc_mach_vm_protect_trap
000000018041d5dc (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control
00000001803f6714 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control_trap
000000018041c948 (__TEXT,__text) external __kernelrpc_mach_vm_read
000000018041d13c (__TEXT,__text) external __kernelrpc_mach_vm_remap
000000018041da7c (__TEXT,__text) external __kernelrpc_mach_vm_remap_new
0000000180428764 (__TEXT,__text) external __kernelrpc_mach_voucher_extract_attr_recipe
000000018041a8e0 (__TEXT,__text) external __kernelrpc_task_set_port_space
00000001803fbb0c (__TEXT,__text) external __kernelrpc_thread_policy
00000001803fcc98 (__TEXT,__text) external __kernelrpc_thread_policy_set
00000001804265c8 (__TEXT,__text) external __kernelrpc_thread_set_policy
0000000180402ce0 (__TEXT,__text) external __kernelrpc_vm_map
0000000180427b18 (__TEXT,__text) external __kernelrpc_vm_purgable_control
0000000180400108 (__TEXT,__text) external __kernelrpc_vm_read
00000001803f8e80 (__TEXT,__text) external __kernelrpc_vm_remap
0000000180427c70 (__TEXT,__text) external __kernelrpc_vm_remap_new
0000000180406288 (__TEXT,__text) non-external __libkernel_bzero
00000001d7708028 (__DATA_DIRTY,__bss) non-external __libkernel_functions
00000001db5a7ee0 (__AUTH_CONST,__const) non-external __libkernel_generic_string_functions
000000018040631c (__TEXT,__text) non-external __libkernel_memmove
0000000180406294 (__TEXT,__text) non-external __libkernel_memset
0000000180406250 (__TEXT,__text) non-external __libkernel_strchr
00000001803fc71c (__TEXT,__text) non-external __libkernel_strcmp
00000001804066f4 (__TEXT,__text) non-external __libkernel_strcpy
00000001d7707990 (__DATA_DIRTY,__data) non-external __libkernel_string_functions
0000000180406f80 (__TEXT,__text) non-external __libkernel_strlcpy
000000018040600c (__TEXT,__text) non-external __libkernel_strlen
00000001d7707998 (__DATA_DIRTY,__data) non-external __libkernel_voucher_functions
0000000180429980 (__TEXT,__const) non-external __libkernel_voucher_functions_empty
0000000180408654 (__TEXT,__text) non-external __mach_continuous_time
00000001d440d070 (__DATA_CONST,__const) external __mach_errors
0000000180408bb0 (__TEXT,__text) external __mach_fork_child
00000001804091c4 (__TEXT,__text) external __mach_snprintf
0000000180409050 (__TEXT,__text) external __mach_vsnprintf
00000001d77079e0 (__DATA_DIRTY,__common) external __os_alloc_once_table
00000001d6598018 (__DATA,__common) external __os_xbs_chrooted
00000001803fd424 (__TEXT,__text) non-external __posix_spawn_file_actions_grow
000000018040673c (__TEXT,__text) non-external __posix_spawn_with_filter
000000018040a8a8 (__TEXT,__text) external __register_gethostuuid_callback
0000000180406434 (__TEXT,__text) non-external __system_version_compat_check_path_suffix
00000001804064e0 (__TEXT,__text) non-external __system_version_compat_open_shim
00000001d770803c (__DATA_DIRTY,__bss) non-external __task_reply_port
0000000180405f04 (__TEXT,__text) external __thread_set_tsd_base
0000000180428e60 (__TEXT,__text) non-external _abort
0000000180428e84 (__TEXT,__text) non-external _abort.561
0000000180428ea8 (__TEXT,__text) non-external _abort.563
0000000180428ecc (__TEXT,__text) non-external _abort.580
0000000180428f9c (__TEXT,__text) external _abort_with_payload
0000000180428f10 (__TEXT,__text) non-external _abort_with_payload_wrapper_internal
0000000180428ef0 (__TEXT,__text) external _abort_with_reason
00000001803ff1f8 (__TEXT,__text) external _accept
0000000180403790 (__TEXT,__text) external _accept$NOCANCEL
00000001803f72dc (__TEXT,__text) external _access
00000001804037bc (__TEXT,__text) external _accessx_np
00000001804049b4 (__TEXT,__text) external _acct
0000000180424efc (__TEXT,__text) external _act_get_state
0000000180425148 (__TEXT,__text) external _act_set_state
00000001804049e0 (__TEXT,__text) external _adjtime
0000000180404a0c (__TEXT,__text) external _aio_cancel
0000000180404a38 (__TEXT,__text) external _aio_error
0000000180404a64 (__TEXT,__text) external _aio_fsync
0000000180404a90 (__TEXT,__text) external _aio_read
0000000180404abc (__TEXT,__text) external _aio_return
0000000180404ae8 (__TEXT,__text) external _aio_suspend
00000001804037e8 (__TEXT,__text) external _aio_suspend$NOCANCEL
0000000180404b14 (__TEXT,__text) external _aio_write
0000000180404b40 (__TEXT,__text) external _audit
0000000180402388 (__TEXT,__text) external _audit_session_join
0000000180402178 (__TEXT,__text) external _audit_session_port
00000001803fab14 (__TEXT,__text) external _audit_session_self
0000000180404b6c (__TEXT,__text) external _auditctl
00000001804002ec (__TEXT,__text) external _auditon
00000001803fe648 (__TEXT,__text) external _bind
00000001d77079a4 (__DATA_DIRTY,__common) external _bootstrap_port
0000000180405fec (__TEXT,__text) non-external _bzero
00000001803f8148 (__TEXT,__text) external _cerror
00000001803f7270 (__TEXT,__text) external _cerror_nocancel
00000001803faa50 (__TEXT,__text) external _change_fdguard_np
00000001803f82c8 (__TEXT,__text) external _chdir
00000001803feb5c (__TEXT,__text) external _chflags
00000001803fa4bc (__TEXT,__text) external _chmod
00000001803fe61c (__TEXT,__text) external _chown
0000000180404b98 (__TEXT,__text) external _chroot
0000000180414134 (__TEXT,__text) external _clock_alarm
0000000180413f00 (__TEXT,__text) external _clock_alarm_reply
0000000180413f68 (__TEXT,__text) external _clock_get_attributes
00000001803fbfc8 (__TEXT,__text) external _clock_get_time
0000000180413da8 (__TEXT,__text) external _clock_set_attributes
0000000180413c8c (__TEXT,__text) external _clock_set_time
0000000180402c3c (__TEXT,__text) external _clock_sleep
00000001803f6924 (__TEXT,__text) external _clock_sleep_trap
0000000180400a48 (__TEXT,__text) external _clonefile
00000001803fb7bc (__TEXT,__text) external _clonefileat
00000001803f7440 (__TEXT,__text) external _close
00000001803f80f0 (__TEXT,__text) external _close$NOCANCEL
0000000180410388 (__TEXT,__text) external _coalition_create
0000000180410430 (__TEXT,__text) external _coalition_info_debug_info
00000001804103f8 (__TEXT,__text) external _coalition_info_resource_usage
00000001804104a0 (__TEXT,__text) external _coalition_info_set_efficiency
0000000180410468 (__TEXT,__text) external _coalition_info_set_name
00000001804104dc (__TEXT,__text) external _coalition_ledger_set_logical_writes_limit
00000001804103c8 (__TEXT,__text) external _coalition_reap
0000000180410398 (__TEXT,__text) external _coalition_terminate
00000001803fade0 (__TEXT,__text) external _connect
00000001803fac48 (__TEXT,__text) external _connect$NOCANCEL
00000001803fae64 (__TEXT,__text) external _connectx
00000001803f8448 (__TEXT,__text) external _csops
00000001803f7244 (__TEXT,__text) external _csops_audittoken
00000001803f7334 (__TEXT,__text) external _csr_check
00000001803ff588 (__TEXT,__text) external _csr_get_active_config
00000001803f69c0 (__TEXT,__text) external _debug_control_port_for_pid
00000001804106cc (__TEXT,__text) external _debug_syscall_reject
00000001804105bc (__TEXT,__text) external _debug_syscall_reject_config
00000001d6597fc8 (__DATA,__data) external _denap_boost_assertion_token
0000000180404bc4 (__TEXT,__text) external _disconnectx
00000001803fd1f0 (__TEXT,__text) non-external _do_compat
00000001803faf14 (__TEXT,__text) external _dup
00000001803ff2e8 (__TEXT,__text) external _dup2
00000001d440c510 (__DATA_CONST,__const) non-external _err_codes_auth
