00000001d9c134a4 (__TEXT,__text) non-external +[NFPromise new]
00000001d9c113dc (__TEXT,__text) non-external -[NFEventTrigger .cxx_destruct]
00000001d9c113c4 (__TEXT,__text) non-external -[NFEventTrigger block]
00000001d9c113bc (__TEXT,__text) non-external -[NFEventTrigger events]
00000001d9c113d4 (__TEXT,__text) non-external -[NFEventTrigger fireOnAny]
00000001d9c113cc (__TEXT,__text) non-external -[NFEventTrigger fireOnce]
00000001d9c112c4 (__TEXT,__text) non-external -[NFEventTrigger initWithKey:fireOnce:fireOnAny:events:block:]
00000001d9c113b4 (__TEXT,__text) non-external -[NFEventTrigger key]
00000001d9c12c9c (__TEXT,__text) non-external -[NFLazy .cxx_destruct]
00000001d9c12c8c (__TEXT,__text) non-external -[NFLazy constructor]
00000001d9c12ac0 (__TEXT,__text) non-external -[NFLazy initWithConstructor:]
00000001d9c12c94 (__TEXT,__text) non-external -[NFLazy lock]
00000001d9c12c18 (__TEXT,__text) non-external -[NFLazy reset]
00000001d9c12b60 (__TEXT,__text) non-external -[NFLazy value]
00000001d9c18364 (__TEXT,__text) non-external -[NFMultiDelegate .cxx_destruct]
00000001d9c17c44 (__TEXT,__text) non-external -[NFMultiDelegate addDelegate:]
00000001d9c18340 (__TEXT,__text) non-external -[NFMultiDelegate children]
00000001d9c17e1c (__TEXT,__text) non-external -[NFMultiDelegate conformsToProtocol:]
00000001d9c18348 (__TEXT,__text) non-external -[NFMultiDelegate delegateProtocol]
00000001d9c17c40 (__TEXT,__text) non-external -[NFMultiDelegate delegate]
00000001d9c181d0 (__TEXT,__text) non-external -[NFMultiDelegate forwardInvocation:]
00000001d9c17b44 (__TEXT,__text) non-external -[NFMultiDelegate initWithDelegate:delegateProtocol:]
00000001d9c17b4c (__TEXT,__text) non-external -[NFMultiDelegate initWithDelegate:delegateProtocol:options:]
00000001d9c18350 (__TEXT,__text) non-external -[NFMultiDelegate lock]
00000001d9c18028 (__TEXT,__text) non-external -[NFMultiDelegate methodSignatureForSelector:]
00000001d9c17ccc (__TEXT,__text) non-external -[NFMultiDelegate removeDelegate:]
00000001d9c17d54 (__TEXT,__text) non-external -[NFMultiDelegate replaceDelegate:withDelegate:]
00000001d9c17eb0 (__TEXT,__text) non-external -[NFMultiDelegate respondsToSelector:]
00000001d9c18358 (__TEXT,__text) non-external -[NFMultiDelegate setLock:]
00000001d9c164ec (__TEXT,__text) non-external -[NFMutexLock dealloc]
00000001d9c1644c (__TEXT,__text) non-external -[NFMutexLock initWithOptions:]
00000001d9c16444 (__TEXT,__text) non-external -[NFMutexLock init]
00000001d9c1659c (__TEXT,__text) non-external -[NFMutexLock lock]
00000001d9c16538 (__TEXT,__text) non-external -[NFMutexLock performWithLockSync:]
00000001d9c165a4 (__TEXT,__text) non-external -[NFMutexLock unlock]
00000001d9c105d4 (__TEXT,__text) non-external -[NFPendingPromise .cxx_destruct]
00000001d9c10430 (__TEXT,__text) non-external -[NFPendingPromise init]
00000001d9c105a0 (__TEXT,__text) non-external -[NFPendingPromise promise]
00000001d9c105c4 (__TEXT,__text) non-external -[NFPendingPromise reject]
00000001d9c105b4 (__TEXT,__text) non-external -[NFPendingPromise resolve]
00000001d9c105a8 (__TEXT,__text) non-external -[NFPendingPromise setPromise:]
00000001d9c105cc (__TEXT,__text) non-external -[NFPendingPromise setReject:]
00000001d9c105bc (__TEXT,__text) non-external -[NFPendingPromise setResolve:]
00000001d9c149cc (__TEXT,__text) non-external -[NFPromise .cxx_destruct]
00000001d9c135c4 (__TEXT,__text) non-external -[NFPromise always:]
00000001d9c13c5c (__TEXT,__text) non-external -[NFPromise alwaysOn:always:]
00000001d9c13558 (__TEXT,__text) non-external -[NFPromise dealloc]
00000001d9c1484c (__TEXT,__text) non-external -[NFPromise delayOn]
00000001d9c14730 (__TEXT,__text) non-external -[NFPromise delay]
00000001d9c135b4 (__TEXT,__text) non-external -[NFPromise error:]
00000001d9c13bd0 (__TEXT,__text) non-external -[NFPromise errorOn:error:]
00000001d9c14188 (__TEXT,__text) non-external -[NFPromise errorOn]
00000001d9c14088 (__TEXT,__text) non-external -[NFPromise error]
00000001d9c134d0 (__TEXT,__text) non-external -[NFPromise initWithError:]
00000001d9c13210 (__TEXT,__text) non-external -[NFPromise initWithResolver:]
00000001d9c1341c (__TEXT,__text) non-external -[NFPromise initWithValue:]
00000001d9c130bc (__TEXT,__text) non-external -[NFPromise init]
00000001d9c13f34 (__TEXT,__text) non-external -[NFPromise pipeOn]
00000001d9c13df0 (__TEXT,__text) non-external -[NFPromise pipe]
00000001d9c144e4 (__TEXT,__text) non-external -[NFPromise resolveOn]
00000001d9c14214 (__TEXT,__text) non-external -[NFPromise resolve]
00000001d9c149b8 (__TEXT,__text) non-external -[NFPromise seal]
00000001d9c149c0 (__TEXT,__text) non-external -[NFPromise setSeal:]
00000001d9c135a4 (__TEXT,__text) non-external -[NFPromise then:]
00000001d9c135d4 (__TEXT,__text) non-external -[NFPromise thenOn:then:]
00000001d9c13d64 (__TEXT,__text) non-external -[NFPromise thenOn]
00000001d9c13cdc (__TEXT,__text) non-external -[NFPromise then]
00000001d9c16a08 (__TEXT,__text) non-external -[NFPromise(Timeout) timeoutAfter:]
00000001d9c16a7c (__TEXT,__text) non-external -[NFPromise(Timeout) timeoutAfter:on:]
00000001d9c15dc8 (__TEXT,__text) non-external -[NFPromiseSeal .cxx_destruct]
00000001d9c1587c (__TEXT,__text) non-external -[NFPromiseSeal alwaysOn:always:]
00000001d9c154a0 (__TEXT,__text) non-external -[NFPromiseSeal dealloc]
00000001d9c18f3c (__TEXT,__text) non-external -[NFPromiseSeal dealloc].cold.1
00000001d9c19004 (__TEXT,__text) non-external -[NFPromiseSeal dealloc].cold.2
00000001d9c15d88 (__TEXT,__text) non-external -[NFPromiseSeal error]
00000001d9c15dac (__TEXT,__text) non-external -[NFPromiseSeal handlers]
00000001d9c1541c (__TEXT,__text) non-external -[NFPromiseSeal initWithError:]
00000001d9c15398 (__TEXT,__text) non-external -[NFPromiseSeal initWithValue:]
00000001d9c15310 (__TEXT,__text) non-external -[NFPromiseSeal init]
00000001d9c15dc0 (__TEXT,__text) non-external -[NFPromiseSeal lock]
00000001d9c159e4 (__TEXT,__text) non-external -[NFPromiseSeal registerHandler:]
00000001d9c15580 (__TEXT,__text) non-external -[NFPromiseSeal reject:]
00000001d9c15574 (__TEXT,__text) non-external -[NFPromiseSeal resolve:]
00000001d9c15590 (__TEXT,__text) non-external -[NFPromiseSeal resolveOn:reject:resolve:]
00000001d9c15b28 (__TEXT,__text) non-external -[NFPromiseSeal seal:error:resolution:]
00000001d9c190cc (__TEXT,__text) non-external -[NFPromiseSeal seal:error:resolution:].cold.1
00000001d9c15d90 (__TEXT,__text) non-external -[NFPromiseSeal setError:]
00000001d9c15db4 (__TEXT,__text) non-external -[NFPromiseSeal setHandlers:]
00000001d9c15da4 (__TEXT,__text) non-external -[NFPromiseSeal setState:]
00000001d9c15d7c (__TEXT,__text) non-external -[NFPromiseSeal setValue:]
00000001d9c15d9c (__TEXT,__text) non-external -[NFPromiseSeal state]
00000001d9c15d74 (__TEXT,__text) non-external -[NFPromiseSeal value]
00000001d9c163f4 (__TEXT,__text) non-external -[NFReachability .cxx_destruct]
00000001d9c16224 (__TEXT,__text) non-external -[NFReachability _statusFromNetworkPath:]
00000001d9c1611c (__TEXT,__text) non-external -[NFReachability _updateCurrentNetworkPath:]
00000001d9c163e0 (__TEXT,__text) non-external -[NFReachability currentNetworkPath]
00000001d9c163a8 (__TEXT,__text) non-external -[NFReachability currentReachabilityStatus]
00000001d9c160d0 (__TEXT,__text) non-external -[NFReachability dealloc]
00000001d9c15f1c (__TEXT,__text) non-external -[NFReachability init]
00000001d9c163cc (__TEXT,__text) non-external -[NFReachability networkPathMonitor]
00000001d9c163b8 (__TEXT,__text) non-external -[NFReachability observationQueue]
00000001d9c163e8 (__TEXT,__text) non-external -[NFReachability setCurrentNetworkPath:]
00000001d9c163b0 (__TEXT,__text) non-external -[NFReachability setCurrentReachabilityStatus:]
00000001d9c163d4 (__TEXT,__text) non-external -[NFReachability setNetworkPathMonitor:]
00000001d9c163c0 (__TEXT,__text) non-external -[NFReachability setObservationQueue:]
00000001d9c129b4 (__TEXT,__text) non-external -[NFStateMachine .cxx_destruct]
00000001d9c11c2c (__TEXT,__text) non-external -[NFStateMachine activateIfNeeded]
00000001d9c11bbc (__TEXT,__text) non-external -[NFStateMachine activate]
00000001d9c11e64 (__TEXT,__text) non-external -[NFStateMachine addEvent:]
00000001d9c18d84 (__TEXT,__text) non-external -[NFStateMachine addEvent:].cold.1
00000001d9c11d58 (__TEXT,__text) non-external -[NFStateMachine addState:]
00000001d9c18cbc (__TEXT,__text) non-external -[NFStateMachine addState:].cold.1
00000001d9c11cfc (__TEXT,__text) non-external -[NFStateMachine deactivateIfNeeded]
00000001d9c11c88 (__TEXT,__text) non-external -[NFStateMachine deactivate]
00000001d9c11ad0 (__TEXT,__text) non-external -[NFStateMachine debugDescription]
00000001d9c11a34 (__TEXT,__text) non-external -[NFStateMachine description]
00000001d9c1297c (__TEXT,__text) non-external -[NFStateMachine events]
00000001d9c11f70 (__TEXT,__text) non-external -[NFStateMachine fireEventWithName:withContext:]
00000001d9c118fc (__TEXT,__text) non-external -[NFStateMachine initWithState:withOwner:]
00000001d9c12990 (__TEXT,__text) non-external -[NFStateMachine lock]
00000001d9c12930 (__TEXT,__text) non-external -[NFStateMachine owner]
00000001d9c12984 (__TEXT,__text) non-external -[NFStateMachine setEvents:]
00000001d9c12998 (__TEXT,__text) non-external -[NFStateMachine setLock:]
00000001d9c1295c (__TEXT,__text) non-external -[NFStateMachine setOwner:]
00000001d9c12924 (__TEXT,__text) non-external -[NFStateMachine setState:]
00000001d9c12970 (__TEXT,__text) non-external -[NFStateMachine setStates:]
00000001d9c12914 (__TEXT,__text) non-external -[NFStateMachine setStatus:]
00000001d9c129ac (__TEXT,__text) non-external -[NFStateMachine setStatusToken:]
00000001d9c1291c (__TEXT,__text) non-external -[NFStateMachine state]
00000001d9c12968 (__TEXT,__text) non-external -[NFStateMachine states]
00000001d9c129a4 (__TEXT,__text) non-external -[NFStateMachine statusToken]
00000001d9c1290c (__TEXT,__text) non-external -[NFStateMachine status]
00000001d9c169ac (__TEXT,__text) non-external -[NFStateMachineEvent .cxx_destruct]
00000001d9c16798 (__TEXT,__text) non-external -[NFStateMachineEvent description]
00000001d9c16988 (__TEXT,__text) non-external -[NFStateMachineEvent destinationState]
00000001d9c1699c (__TEXT,__text) non-external -[NFStateMachineEvent fireBlock]
00000001d9c16888 (__TEXT,__text) non-external -[NFStateMachineEvent fired:withOwner:]
00000001d9c16680 (__TEXT,__text) non-external -[NFStateMachineEvent hash]
00000001d9c165ac (__TEXT,__text) non-external -[NFStateMachineEvent initWithName:transitionFromStates:toState:]
00000001d9c166c0 (__TEXT,__text) non-external -[NFStateMachineEvent isEqual:]
00000001d9c16964 (__TEXT,__text) non-external -[NFStateMachineEvent name]
00000001d9c16860 (__TEXT,__text) non-external -[NFStateMachineEvent onFire:]
00000001d9c16990 (__TEXT,__text) non-external -[NFStateMachineEvent setDestinationState:]
00000001d9c169a4 (__TEXT,__text) non-external -[NFStateMachineEvent setFireBlock:]
00000001d9c1696c (__TEXT,__text) non-external -[NFStateMachineEvent setName:]
00000001d9c1697c (__TEXT,__text) non-external -[NFStateMachineEvent setStates:]
00000001d9c16974 (__TEXT,__text) non-external -[NFStateMachineEvent states]
00000001d9c17710 (__TEXT,__text) non-external -[NFStateMachineState .cxx_destruct]
00000001d9c176c0 (__TEXT,__text) non-external -[NFStateMachineState canTryBlock]
00000001d9c17564 (__TEXT,__text) non-external -[NFStateMachineState description]
00000001d9c17700 (__TEXT,__text) non-external -[NFStateMachineState didEnterBlock]
00000001d9c176f0 (__TEXT,__text) non-external -[NFStateMachineState didExitBlock]
00000001d9c1744c (__TEXT,__text) non-external -[NFStateMachineState hash]
00000001d9c173d0 (__TEXT,__text) non-external -[NFStateMachineState initWithName:]
00000001d9c1748c (__TEXT,__text) non-external -[NFStateMachineState isEqual:]
00000001d9c176b0 (__TEXT,__text) non-external -[NFStateMachineState name]
00000001d9c175e8 (__TEXT,__text) non-external -[NFStateMachineState onCanTry:]
00000001d9c17688 (__TEXT,__text) non-external -[NFStateMachineState onDidEnter:]
00000001d9c17638 (__TEXT,__text) non-external -[NFStateMachineState onDidExit:]
00000001d9c17660 (__TEXT,__text) non-external -[NFStateMachineState onWillEnter:]
00000001d9c17610 (__TEXT,__text) non-external -[NFStateMachineState onWillExit:]
00000001d9c176c8 (__TEXT,__text) non-external -[NFStateMachineState setCanTryBlock:]
00000001d9c17708 (__TEXT,__text) non-external -[NFStateMachineState setDidEnterBlock:]
00000001d9c176f8 (__TEXT,__text) non-external -[NFStateMachineState setDidExitBlock:]
00000001d9c176b8 (__TEXT,__text) non-external -[NFStateMachineState setName:]
00000001d9c176e8 (__TEXT,__text) non-external -[NFStateMachineState setWillEnterBlock:]
00000001d9c176d8 (__TEXT,__text) non-external -[NFStateMachineState setWillExitBlock:]
00000001d9c176e0 (__TEXT,__text) non-external -[NFStateMachineState willEnterBlock]
00000001d9c176d0 (__TEXT,__text) non-external -[NFStateMachineState willExitBlock]
00000001d9c17784 (__TEXT,__text) non-external -[NFStateMachineState(Private) canTry:withOwner:]
00000001d9c17a68 (__TEXT,__text) non-external -[NFStateMachineState(Private) didEnter:withOwner:]
00000001d9c1798c (__TEXT,__text) non-external -[NFStateMachineState(Private) didExit:withOwner:]
00000001d9c178e0 (__TEXT,__text) non-external -[NFStateMachineState(Private) willEnter:withOwner:]
00000001d9c17834 (__TEXT,__text) non-external -[NFStateMachineState(Private) willExit:withOwner:]
00000001d9c103c8 (__TEXT,__text) non-external -[NFStateMachineTransition .cxx_destruct]
00000001d9c103b4 (__TEXT,__text) non-external -[NFStateMachineTransition context]
00000001d9c1027c (__TEXT,__text) non-external -[NFStateMachineTransition description]
00000001d9c10378 (__TEXT,__text) non-external -[NFStateMachineTransition event]
00000001d9c1038c (__TEXT,__text) non-external -[NFStateMachineTransition fromState]
00000001d9c10158 (__TEXT,__text) non-external -[NFStateMachineTransition initWithStateMachine:event:fromState:toState:context:]
00000001d9c103bc (__TEXT,__text) non-external -[NFStateMachineTransition setContext:]
00000001d9c10380 (__TEXT,__text) non-external -[NFStateMachineTransition setEvent:]
00000001d9c10394 (__TEXT,__text) non-external -[NFStateMachineTransition setFromState:]
00000001d9c1036c (__TEXT,__text) non-external -[NFStateMachineTransition setStateMachine:]
00000001d9c103a8 (__TEXT,__text) non-external -[NFStateMachineTransition setToState:]
00000001d9c10364 (__TEXT,__text) non-external -[NFStateMachineTransition stateMachine]
00000001d9c103a0 (__TEXT,__text) non-external -[NFStateMachineTransition toState]
00000001d9c10148 (__TEXT,__text) non-external -[NFUnfairLock assertLocked]
00000001d9c10150 (__TEXT,__text) non-external -[NFUnfairLock assertNotLocked]
00000001d9c10070 (__TEXT,__text) non-external -[NFUnfairLock initWithOptions:]
00000001d9c100cc (__TEXT,__text) non-external -[NFUnfairLock init]
00000001d9c10134 (__TEXT,__text) non-external -[NFUnfairLock lock]
00000001d9c100d4 (__TEXT,__text) non-external -[NFUnfairLock performWithLockSync:]
00000001d9c10140 (__TEXT,__text) non-external -[NFUnfairLock unlock]
00000001d9c149e8 (__TEXT,__text) non-external -[NFVoid copyWithZone:]
00000001d9c1188c (__TEXT,__text) non-external -[NSError(NFStateMachine) fc_isStateMachineError:]
00000001d9c12e00 (__TEXT,__text) non-external -[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:]
00000001d9c15070 (__TEXT,__text) non-external -[NSString(NFAdditions) nf_sha1]
00000001d9c15170 (__TEXT,__text) non-external -[NSString(NFAdditions) nf_stringByReversingString]
00000001d9c12a18 (__TEXT,__text) non-external -[NSUserDefaults(NFAdditions) nf_migrateObjectForKey:toKey:]
00000001d9c185d8 (__TEXT,__text) non-external -[NSValue(NFAdditions) nf_CGPointValue]
00000001d9c18520 (__TEXT,__text) non-external -[NSValue(NFAdditions) nf_CGRectValue]
00000001d9c1b120 (__TEXT,__gcc_except_tab) non-external GCC_except_table19
00000001d9c1b17c (__TEXT,__gcc_except_tab) non-external GCC_except_table2
00000001d9c1b198 (__TEXT,__gcc_except_tab) non-external GCC_except_table2
                 (undefined) external _BOMCopierCopyWithOptions (from Bom)
                 (undefined) external _BOMCopierFree (from Bom)
                 (undefined) external _BOMCopierNew (from Bom)
                 (undefined) external _BOMCopierSetCopyFileFinishedHandler (from Bom)
                 (undefined) external _BOMCopierSetUserData (from Bom)
                 (undefined) external _BOMCopierUserData (from Bom)
                 (undefined) external _CC_SHA1 (from libSystem)
                 (undefined) external _CFPreferencesGetAppBooleanValue (from CoreFoundation)
                 (undefined) external _MGCopyAnswer (from libMobileGestalt)
00000001d9c11608 (__TEXT,__text) non-external _NFArchiverCopyFileFinishedHandler
00000001d9c187e4 (__TEXT,__text) external _NFDeviceHasExtendedColorDisplay
00000001d9c191bc (__TEXT,__text) non-external _NFDeviceHasExtendedColorDisplay.cold.1
00000001ed048410 (__DATA_DIRTY,__bss) non-external _NFDeviceHasExtendedColorDisplay.hasExtendedColorDisplay
00000001ed048408 (__DATA_DIRTY,__bss) non-external _NFDeviceHasExtendedColorDisplay.onceToken
00000001d9c18608 (__TEXT,__text) external _NFDeviceIsA7
00000001d9c18610 (__TEXT,__text) external _NFDeviceIsA8
00000001d9c18740 (__TEXT,__text) external _NFDeviceModelString
00000001d9c1870c (__TEXT,__text) external _NFDeviceOSVersion
00000001d9c18618 (__TEXT,__text) external _NFDevicePlatform
00000001d9c191a8 (__TEXT,__text) non-external _NFDevicePlatform.cold.1
00000001ed048400 (__DATA_DIRTY,__bss) non-external _NFDevicePlatform.onceToken
00000001ed0483f8 (__DATA_DIRTY,__bss) non-external _NFDevicePlatform.s_platformString
00000001d9c18700 (__TEXT,__text) external _NFGeneralDeviceString
00000001d9c0ff80 (__TEXT,__text) external _NFInternalBuild
00000001d9c1882c (__TEXT,__text) non-external _NFInternalBuild.cold.1
00000001ed048420 (__DATA_DIRTY,__bss) non-external _NFInternalBuild.internalBuild
00000001ed048418 (__DATA_DIRTY,__bss) non-external _NFInternalBuild.onceToken
00000001d9c15e24 (__TEXT,__text) external _NFLockSync
00000001d9c15244 (__TEXT,__text) external _NFPromiseInvokeOnQueue
00000001d9c0ffe0 (__TEXT,__text) external _NFSeedBuild
00000001e7acc290 (__DATA_CONST,__const) external _NFStateMachineErrorDomain
00000001d9c0ffe8 (__TEXT,__text) external _NFStoreDemoMode
00000001d9c18840 (__TEXT,__text) non-external _NFStoreDemoMode.cold.1
00000001ed0483f0 (__DATA_DIRTY,__bss) non-external _NFStoreDemoMode.onceToken
00000001ed048421 (__DATA_DIRTY,__bss) non-external _NFStoreDemoMode.storeDemoMode
00000001d9c18774 (__TEXT,__text) external _NFSystemName
                 (undefined) external _NSGetSizeAndAlignment (from CoreFoundation)
                 (undefined) external _NSInternalInconsistencyException (from CoreFoundation)
                 (undefined) external _NSKeyedArchiveRootObjectKey (from Foundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
00000001d9c1a458 (__TEXT,__const) external _NewsFoundationVersionNumber
00000001d9c1a418 (__TEXT,__const) external _NewsFoundationVersionString
00000001ed048348 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFArchiver
00000001ed0482a8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFEventManager
00000001ed048280 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFEventTrigger
00000001ed048258 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFLazy
00000001ed048370 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFMultiDelegate
00000001ed048230 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFMutexLock
00000001ed0482d0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFPendingPromise
00000001ed048208 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFPromise
00000001ed0481e0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFPromiseSeal
00000001ed0481b8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFReachability
00000001ed048190 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFStateMachine
00000001ed048168 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFStateMachineEvent
00000001ed048140 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFStateMachineState
00000001ed048118 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFStateMachineTransition
00000001ed0480f0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFUnfairLock
00000001ed0480c8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFVoid
                 (undefined) external _OBJC_CLASS_$_NSBlock (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSException (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSFileManager (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSHashTable (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSKeyedUnarchiver (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNotificationCenter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSThread (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUserDefaults (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSValue (from Foundation)
                 (undefined) external _OBJC_EHTYPE_$_NSException (from CoreFoundation)
00000001ebe99188 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventManager._events
00000001ebe9918c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventManager._triggers
00000001ebe991a0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._block
00000001ebe9919c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._events
00000001ebe99194 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._fireOnAny
00000001ebe99190 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._fireOnce
00000001ebe99198 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._key
00000001ebe991c4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFLazy._constructor
00000001ebe991c8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFLazy._lock
00000001ebe991c0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFLazy._value
00000001ebe99220 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFMultiDelegate._children
