00007ff8400c6210 (__DATA,__data) external _NDR_record
00007ff800d38de9 (__TEXT,__text) external __kernelrpc_mach_voucher_extract_attr_recipe
00007ff800d291da (__TEXT,__text) external __kernelrpc_task_set_port_space
00007ff800d3561f (__TEXT,__text) external __kernelrpc_thread_policy
00007ff800d35769 (__TEXT,__text) external __kernelrpc_thread_policy_set
00007ff800d35f9a (__TEXT,__text) external __kernelrpc_thread_set_policy
00007ff800d372f8 (__TEXT,__text) external __kernelrpc_vm_map
00007ff800d37dfc (__TEXT,__text) external __kernelrpc_vm_purgable_control
00007ff800d36b4a (__TEXT,__text) external __kernelrpc_vm_read
00007ff800d375a3 (__TEXT,__text) external __kernelrpc_vm_remap
00007ff800d37f25 (__TEXT,__text) external __kernelrpc_vm_remap_new
00007ff800d1251b (__TEXT,__text) non-external __libkernel_bzero
00007ff8400c6360 (__DATA,__bss) non-external __libkernel_functions
00007ff840081de0 (__DATA_CONST,__const) non-external __libkernel_generic_string_functions
00007ff800d128e5 (__TEXT,__text) non-external __libkernel_memmove
00007ff800d12525 (__TEXT,__text) non-external __libkernel_memset
00007ff800d124e2 (__TEXT,__text) non-external __libkernel_strchr
00007ff800d12500 (__TEXT,__text) non-external __libkernel_strcmp
00007ff800d12a32 (__TEXT,__text) non-external __libkernel_strcpy
00007ff8400c6040 (__DATA,__data) non-external __libkernel_string_functions
00007ff800d12a5a (__TEXT,__text) non-external __libkernel_strlcpy
00007ff800d123c2 (__TEXT,__text) non-external __libkernel_strlen
00007ff8400c6048 (__DATA,__data) non-external __libkernel_voucher_functions
00007ff800d39840 (__TEXT,__const) non-external __libkernel_voucher_functions_empty
00007ff800d1360b (__TEXT,__text) non-external __mach_continuous_time
00007ff840083080 (__DATA_CONST,__const) external __mach_errors
00007ff800d13de2 (__TEXT,__text) external __mach_fork_child
00007ff800d1550f (__TEXT,__text) external __mach_snprintf
00007ff800d1538a (__TEXT,__text) external __mach_vsnprintf
00007ff8400c6400 (__DATA,__common) external __os_alloc_once_table
00007ff800d190ce (__TEXT,__text) non-external __posix_spawn_file_actions_grow
00007ff800d19bcd (__TEXT,__text) non-external __posix_spawnattr_get_posix_creds_info
00007ff800d1774a (__TEXT,__text) external __register_gethostuuid_callback
00007ff8400c6374 (__DATA,__bss) non-external __task_reply_port
00007ff800d1232c (__TEXT,__text) external __thread_set_tsd_base
00007ff800d395fe (__TEXT,__text) non-external _abort
00007ff800d395fe (__TEXT,__text) non-external _abort.391
00007ff800d395fe (__TEXT,__text) non-external _abort.393
00007ff800d395fe (__TEXT,__text) non-external _abort.404
00007ff800d396b0 (__TEXT,__text) external _abort_with_payload
00007ff800d39635 (__TEXT,__text) non-external _abort_with_payload_wrapper_internal
00007ff800d39622 (__TEXT,__text) external _abort_with_reason
00007ff800d0f850 (__TEXT,__text) external _accept
00007ff800d0f868 (__TEXT,__text) external _accept$NOCANCEL
00007ff800d10e34 (__TEXT,__text) external _access
00007ff800d0f880 (__TEXT,__text) external _accessx_np
00007ff800d10e4c (__TEXT,__text) external _acct
00007ff800d340b9 (__TEXT,__text) external _act_get_state
00007ff800d342a2 (__TEXT,__text) external _act_set_state
00007ff800d10e64 (__TEXT,__text) external _adjtime
00007ff800d10e7c (__TEXT,__text) external _aio_cancel
00007ff800d10e94 (__TEXT,__text) external _aio_error
00007ff800d10eac (__TEXT,__text) external _aio_fsync
00007ff800d10ec4 (__TEXT,__text) external _aio_read
00007ff800d10edc (__TEXT,__text) external _aio_return
00007ff800d10ef4 (__TEXT,__text) external _aio_suspend
00007ff800d0f898 (__TEXT,__text) external _aio_suspend$NOCANCEL
00007ff800d10f0c (__TEXT,__text) external _aio_write
00007ff800d10f24 (__TEXT,__text) external _audit
00007ff800d10f3c (__TEXT,__text) external _audit_session_join
00007ff800d10f54 (__TEXT,__text) external _audit_session_port
00007ff800d10f6c (__TEXT,__text) external _audit_session_self
00007ff800d10f84 (__TEXT,__text) external _auditctl
00007ff800d10f9c (__TEXT,__text) external _auditon
00007ff800d0f8b0 (__TEXT,__text) external _bind
00007ff8400c63bc (__DATA,__common) external _bootstrap_port
00007ff800d15793 (__TEXT,__text) external _cerror
00007ff800d1576e (__TEXT,__text) external _cerror_nocancel
00007ff800d10fb4 (__TEXT,__text) external _change_fdguard_np
00007ff800d10fcc (__TEXT,__text) external _chdir
00007ff800d10fe4 (__TEXT,__text) external _chflags
00007ff800d18456 (__TEXT,__text) external _chmod
00007ff800d10ffc (__TEXT,__text) external _chown
00007ff800d11014 (__TEXT,__text) external _chroot
00007ff800d2266a (__TEXT,__text) external _clock_alarm
00007ff800d22361 (__TEXT,__text) external _clock_alarm_reply
00007ff800d224d9 (__TEXT,__text) external _clock_get_attributes
00007ff800d223c8 (__TEXT,__text) external _clock_get_time
00007ff800d22235 (__TEXT,__text) external _clock_set_attributes
00007ff800d2214a (__TEXT,__text) external _clock_set_time
00007ff800d136f0 (__TEXT,__text) external _clock_sleep
00007ff800d0f268 (__TEXT,__text) external _clock_sleep_trap
00007ff800d135e7 (__TEXT,__text) external _clonefile
00007ff800d1102c (__TEXT,__text) external _clonefileat
00007ff800d11044 (__TEXT,__text) external _close
