00000001e9c429a0 (__DATA,__data) external _NDR_record
00000001804bb240 (__TEXT,__text) external ___mach_eventlink_signal_wait_until
00000001804bb26c (__TEXT,__text) external ___mach_eventlink_wait_until
00000001804bb298 (__TEXT,__text) external ___map_with_linking_np
00000001804bb2c4 (__TEXT,__text) external ___memorystatus_available_memory
00000001804bb2f0 (__TEXT,__text) external ___microstackshot
00000001804bb31c (__TEXT,__text) external ___mkdir_extended
00000001804bb348 (__TEXT,__text) external ___mkfifo_extended
00000001804aea10 (__TEXT,__text) external ___mmap
00000001804b1afc (__TEXT,__text) external ___mprotect
00000001804bb374 (__TEXT,__text) external ___msgctl
00000001804bb3a0 (__TEXT,__text) external ___msgrcv_nocancel
00000001804bb3cc (__TEXT,__text) external ___msgsnd_nocancel
00000001804bb3f8 (__TEXT,__text) external ___msgsys
00000001804b43b4 (__TEXT,__text) external ___msync
00000001804bb424 (__TEXT,__text) external ___msync_nocancel
00000001804b1720 (__TEXT,__text) external ___munmap
00000001804bb450 (__TEXT,__text) external ___nexus_create
00000001804bb47c (__TEXT,__text) external ___nexus_deregister
00000001804bb4a8 (__TEXT,__text) external ___nexus_destroy
00000001804bb4d4 (__TEXT,__text) external ___nexus_get_opt
00000001804bb500 (__TEXT,__text) external ___nexus_open
00000001804bb52c (__TEXT,__text) external ___nexus_register
00000001804bb558 (__TEXT,__text) external ___nexus_set_opt
00000001804ae68c (__TEXT,__text) external ___open
00000001804b37ec (__TEXT,__text) external ___open_dprotected_np
00000001804ba2cc (__TEXT,__text) external ___open_extended
00000001804ae940 (__TEXT,__text) external ___open_nocancel
00000001804af5a8 (__TEXT,__text) external ___openat
00000001804bb584 (__TEXT,__text) external ___openat_dprotected_np
00000001804b394c (__TEXT,__text) external ___openat_nocancel
00000001ec705d68 (__DATA_DIRTY,__bss) non-external ___os_ch_md_redzone_cookie
00000001804c9fc8 (__TEXT,__text) non-external ___os_nexus_config_flow
00000001804c9e30 (__TEXT,__text) external ___os_nexus_flow_add
00000001804c9eb8 (__TEXT,__text) external ___os_nexus_flow_del
00000001804ca044 (__TEXT,__text) external ___os_nexus_get_llink_info
00000001804c9c50 (__TEXT,__text) external ___os_nexus_ifattach
00000001804c9d70 (__TEXT,__text) external ___os_nexus_ifdetach
00000001804bb5b0 (__TEXT,__text) external ___oslog_coproc
00000001804bb5dc (__TEXT,__text) external ___oslog_coproc_reg
00000001804b1c4c (__TEXT,__text) external ___persona
00000001804b43e0 (__TEXT,__text) external ___pipe
00000001804bb608 (__TEXT,__text) external ___poll_nocancel
00000001804b50d4 (__TEXT,__text) external ___posix_spawn
00000001804bb634 (__TEXT,__text) external ___pread_nocancel
00000001804bb660 (__TEXT,__text) external ___preadv_nocancel
00000001804af108 (__TEXT,__text) external ___proc_info
00000001804bb68c (__TEXT,__text) external ___proc_info_extended_id
00000001804b5a6c (__TEXT,__text) external ___process_policy
00000001804b4148 (__TEXT,__text) external ___pselect
00000001804bb6b8 (__TEXT,__text) external ___pselect_nocancel
00000001804b1530 (__TEXT,__text) external ___psynch_cvbroad
00000001804b1bb0 (__TEXT,__text) external ___psynch_cvclrprepost
00000001804b2a5c (__TEXT,__text) external ___psynch_cvsignal
00000001804b1504 (__TEXT,__text) external ___psynch_cvwait
00000001804b0ba0 (__TEXT,__text) external ___psynch_mutexdrop
00000001804b09d4 (__TEXT,__text) external ___psynch_mutexwait
00000001804bb6e4 (__TEXT,__text) external ___psynch_rw_downgrade
00000001804bb710 (__TEXT,__text) external ___psynch_rw_longrdlock
00000001804b326c (__TEXT,__text) external ___psynch_rw_rdlock
00000001804b3240 (__TEXT,__text) external ___psynch_rw_unlock
00000001804bb73c (__TEXT,__text) external ___psynch_rw_unlock2
00000001804bb768 (__TEXT,__text) external ___psynch_rw_upgrade
00000001804b3214 (__TEXT,__text) external ___psynch_rw_wrlock
00000001804bb794 (__TEXT,__text) external ___psynch_rw_yieldwrlock
00000001804b9fb0 (__TEXT,__text) external ___pthread_canceled
00000001804b4e64 (__TEXT,__text) external ___pthread_chdir
00000001804b4e38 (__TEXT,__text) external ___pthread_fchdir
00000001804b65e0 (__TEXT,__text) external ___pthread_kill
00000001804bb7c0 (__TEXT,__text) external ___pthread_markcancel
00000001804b54ec (__TEXT,__text) external ___pthread_sigmask
00000001804b6a64 (__TEXT,__text) external ___ptrace
00000001804bb7ec (__TEXT,__text) external ___pwrite_nocancel
00000001804bb818 (__TEXT,__text) external ___pwritev_nocancel
00000001804afca4 (__TEXT,__text) external ___read_nocancel
00000001804bb844 (__TEXT,__text) external ___readv_nocancel
00000001804bb870 (__TEXT,__text) external ___reboot
00000001804bb89c (__TEXT,__text) external ___record_system_event
00000001804b23b4 (__TEXT,__text) external ___recvfrom
00000001804b227c (__TEXT,__text) external ___recvfrom_nocancel
00000001804b27c4 (__TEXT,__text) external ___recvmsg
00000001804bb8c8 (__TEXT,__text) external ___recvmsg_nocancel
00000001ec705d70 (__DATA_DIRTY,__bss) non-external ___remove_counter
00000001804b1884 (__TEXT,__text) external ___rename
00000001804bb8f4 (__TEXT,__text) external ___renameat
00000001804bb920 (__TEXT,__text) external ___renameatx_np
00000001804b18f0 (__TEXT,__text) external ___rmdir
00000001804bafd8 (__TEXT,__text) external ___sandbox_me
00000001804bb138 (__TEXT,__text) external ___sandbox_mm
00000001804af728 (__TEXT,__text) external ___sandbox_ms
00000001804b6638 (__TEXT,__text) external ___sandbox_msp
00000001804b8e78 (__TEXT,__text) external ___select
00000001804b2250 (__TEXT,__text) external ___select_nocancel
00000001804b7724 (__TEXT,__text) external ___sem_open
00000001804bb94c (__TEXT,__text) external ___sem_wait_nocancel
00000001804bb978 (__TEXT,__text) external ___semctl
00000001804bb9a4 (__TEXT,__text) external ___semsys
00000001804b1300 (__TEXT,__text) external ___semwait_signal
00000001804b5518 (__TEXT,__text) external ___semwait_signal_nocancel
00000001804b3978 (__TEXT,__text) external ___sendmsg
00000001804b22d4 (__TEXT,__text) external ___sendmsg_nocancel
00000001804b2388 (__TEXT,__text) external ___sendto
00000001804b21f0 (__TEXT,__text) external ___sendto_nocancel
00000001804b1480 (__TEXT,__text) external ___setattrlist
00000001804b9c74 (__TEXT,__text) external ___setlogin
00000001804b6110 (__TEXT,__text) external ___setpriority
00000001804bb9d0 (__TEXT,__text) external ___setregid
00000001804bb9fc (__TEXT,__text) external ___setreuid
00000001804b0a08 (__TEXT,__text) external ___setrlimit
00000001804bba28 (__TEXT,__text) external ___setsgroups
00000001804b74ac (__TEXT,__text) external ___settid
00000001804bba54 (__TEXT,__text) external ___settid_with_pid
00000001804bba80 (__TEXT,__text) external ___settimeofday
00000001804bbaac (__TEXT,__text) external ___setwgroups
00000001804b77bc (__TEXT,__text) external ___sfi_ctl
00000001804bbad8 (__TEXT,__text) external ___sfi_pidctl
00000001804bbb04 (__TEXT,__text) external ___shared_region_check_np
00000001804bbb30 (__TEXT,__text) external ___shared_region_map_and_slide_2_np
00000001804af550 (__TEXT,__text) external ___shm_open
00000001804bbb5c (__TEXT,__text) external ___shmctl
00000001804bbb88 (__TEXT,__text) external ___shmsys
00000001804b4470 (__TEXT,__text) external ___sigaction
00000001804b13fc (__TEXT,__text) external ___sigaltstack
00000001804b97a8 (__TEXT,__text) external ___sigreturn
00000001804bbbb4 (__TEXT,__text) external ___sigsuspend
00000001804b5550 (__TEXT,__text) external ___sigsuspend_nocancel
00000001804b9800 (__TEXT,__text) external ___sigwait
00000001804b22a8 (__TEXT,__text) external ___socketpair
00000001804bbbe0 (__TEXT,__text) external ___stack_snapshot_with_config
00000001804bd06c (__TEXT,__text) external ___stat
00000001804b3708 (__TEXT,__text) external ___stat64_extended
00000001804bbc0c (__TEXT,__text) external ___stat_extended
00000001804bd098 (__TEXT,__text) external ___statfs
00000001804c3460 (__TEXT,__text) non-external ___statfs_ext_impl
00000001804b0118 (__TEXT,__text) external ___syscall
00000001e9c42a20 (__DATA,__common) external ___syscall_logger
00000001804af458 (__TEXT,__text) external ___sysctl
00000001804af684 (__TEXT,__text) external ___sysctlbyname
00000001804bbc38 (__TEXT,__text) external ___telemetry
00000001804b85f8 (__TEXT,__text) external ___terminate_with_payload
00000001804afac4 (__TEXT,__text) external ___thread_selfid
00000001804bbc64 (__TEXT,__text) external ___thread_selfusage
00000001804afaf0 (__TEXT,__text) external ___ulock_wait
00000001804bbc90 (__TEXT,__text) external ___ulock_wait2
00000001804afbc4 (__TEXT,__text) external ___ulock_wake
00000001804bbcbc (__TEXT,__text) external ___umask_extended
00000001804b1ca4 (__TEXT,__text) external ___unlink
00000001804b7aec (__TEXT,__text) external ___unlinkat
00000001804bbce8 (__TEXT,__text) external ___vfork
00000001804b5470 (__TEXT,__text) external ___wait4
00000001804ba2a0 (__TEXT,__text) external ___wait4_nocancel
00000001804bbd58 (__TEXT,__text) external ___waitid_nocancel
00000001804b6c48 (__TEXT,__text) external ___work_interval_ctl
00000001804af9e8 (__TEXT,__text) external ___workq_kernreturn
00000001804afa14 (__TEXT,__text) external ___workq_open
00000001804b1bdc (__TEXT,__text) external ___write_nocancel
00000001804bbd84 (__TEXT,__text) external ___writev_nocancel
00000001e9c429e4 (__DATA,__common) external __cpu_capabilities
00000001e9c42a18 (__DATA,__common) external __cpu_has_altivec
00000001ec705d58 (__DATA_DIRTY,__data) external __current_pid
00000001ec705d90 (__DATA_DIRTY,__bss) non-external __dlsym
00000001804adcec (__TEXT,__text) external __exclaves_ctl_trap
00000001804be5e4 (__TEXT,__text) non-external __execve_with_filter
00000001804b557c (__TEXT,__text) external __exit
00000001804b3cdc (__TEXT,__text) external __get_cpu_capabilities
00000001e9c429c0 (__DATA,__bss) non-external __gethostuuid_callback
00000001804c28a0 (__TEXT,__text) external __getprivatesystemidentifier
00000001804cf7a4 (__TEXT,__text) external __host_page_size
00000001804b3cd8 (__TEXT,__text) external __init_cpu_capabilities
00000001804d0948 (__TEXT,__text) external __kernelrpc_host_create_mach_voucher
00000001804d1eec (__TEXT,__text) external __kernelrpc_mach_port_allocate
00000001804d2b94 (__TEXT,__text) external __kernelrpc_mach_port_allocate_full
00000001804d1dd0 (__TEXT,__text) external __kernelrpc_mach_port_allocate_name
00000001804d2a24 (__TEXT,__text) external __kernelrpc_mach_port_allocate_qos
00000001804adad0 (__TEXT,__text) external __kernelrpc_mach_port_allocate_trap
00000001804d46fc (__TEXT,__text) external __kernelrpc_mach_port_assert_attributes
00000001804d37f0 (__TEXT,__text) external __kernelrpc_mach_port_construct
00000001804adb24 (__TEXT,__text) external __kernelrpc_mach_port_construct_trap
00000001804d215c (__TEXT,__text) external __kernelrpc_mach_port_deallocate
00000001804adadc (__TEXT,__text) external __kernelrpc_mach_port_deallocate_trap
00000001804d2040 (__TEXT,__text) external __kernelrpc_mach_port_destroy
00000001804d395c (__TEXT,__text) external __kernelrpc_mach_port_destruct
00000001804adb30 (__TEXT,__text) external __kernelrpc_mach_port_destruct_trap
00000001804d3184 (__TEXT,__text) external __kernelrpc_mach_port_dnrequest_info
00000001804d3568 (__TEXT,__text) external __kernelrpc_mach_port_extract_member
00000001804adb18 (__TEXT,__text) external __kernelrpc_mach_port_extract_member_trap
00000001804b8024 (__TEXT,__text) external __kernelrpc_mach_port_extract_right
00000001804b8a40 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes
00000001804adbd8 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes_trap
00000001804b3304 (__TEXT,__text) external __kernelrpc_mach_port_get_context
00000001804b11b0 (__TEXT,__text) external __kernelrpc_mach_port_get_refs
00000001804d4524 (__TEXT,__text) external __kernelrpc_mach_port_get_service_port_info
00000001804b9e1c (__TEXT,__text) external __kernelrpc_mach_port_get_set_status
00000001804d2e34 (__TEXT,__text) external __kernelrpc_mach_port_get_srights
00000001804d3a78 (__TEXT,__text) external __kernelrpc_mach_port_guard
00000001804adbe4 (__TEXT,__text) external __kernelrpc_mach_port_guard_trap
00000001804d3f58 (__TEXT,__text) external __kernelrpc_mach_port_guard_with_flags
00000001804d344c (__TEXT,__text) external __kernelrpc_mach_port_insert_member
00000001804adb0c (__TEXT,__text) external __kernelrpc_mach_port_insert_member_trap
00000001804d27e0 (__TEXT,__text) external __kernelrpc_mach_port_insert_right
00000001804adb00 (__TEXT,__text) external __kernelrpc_mach_port_insert_right_trap
00000001804d43d0 (__TEXT,__text) external __kernelrpc_mach_port_is_connection_for_service
00000001804d32e8 (__TEXT,__text) external __kernelrpc_mach_port_kernel_object
00000001804d3684 (__TEXT,__text) external __kernelrpc_mach_port_kobject
00000001804d4198 (__TEXT,__text) external __kernelrpc_mach_port_kobject_description
00000001804d2278 (__TEXT,__text) external __kernelrpc_mach_port_mod_refs
00000001804adae8 (__TEXT,__text) external __kernelrpc_mach_port_mod_refs_trap
00000001804d26c4 (__TEXT,__text) external __kernelrpc_mach_port_move_member
00000001804adaf4 (__TEXT,__text) external __kernelrpc_mach_port_move_member_trap
00000001804d1af4 (__TEXT,__text) external __kernelrpc_mach_port_names
00000001804d2394 (__TEXT,__text) external __kernelrpc_mach_port_peek
00000001804d1cb4 (__TEXT,__text) external __kernelrpc_mach_port_rename
00000001804b1cfc (__TEXT,__text) external __kernelrpc_mach_port_request_notification
00000001804adce0 (__TEXT,__text) external __kernelrpc_mach_port_request_notification_trap
00000001804b06fc (__TEXT,__text) external __kernelrpc_mach_port_set_attributes
00000001804b9cfc (__TEXT,__text) external __kernelrpc_mach_port_set_context
00000001804d25a8 (__TEXT,__text) external __kernelrpc_mach_port_set_mscount
00000001804d2908 (__TEXT,__text) external __kernelrpc_mach_port_set_seqno
00000001804d3cb4 (__TEXT,__text) external __kernelrpc_mach_port_space_basic_info
00000001804d2f88 (__TEXT,__text) external __kernelrpc_mach_port_space_info
00000001804d3e04 (__TEXT,__text) external __kernelrpc_mach_port_special_reply_port_reset_link
00000001804d4078 (__TEXT,__text) external __kernelrpc_mach_port_swap_guard
00000001804b6d10 (__TEXT,__text) external __kernelrpc_mach_port_type
00000001804adcd4 (__TEXT,__text) external __kernelrpc_mach_port_type_trap
00000001804d3b98 (__TEXT,__text) external __kernelrpc_mach_port_unguard
00000001804adbf0 (__TEXT,__text) external __kernelrpc_mach_port_unguard_trap
00000001804d8fd8 (__TEXT,__text) external __kernelrpc_mach_ports_lookup3
00000001804d8eac (__TEXT,__text) external __kernelrpc_mach_ports_register3
00000001804dcae4 (__TEXT,__text) external __kernelrpc_mach_task_is_self
00000001804d4864 (__TEXT,__text) external __kernelrpc_mach_vm_allocate
00000001804ada88 (__TEXT,__text) external __kernelrpc_mach_vm_allocate_trap
00000001804d49bc (__TEXT,__text) external __kernelrpc_mach_vm_deallocate
00000001804adaa0 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate_trap
00000001804af134 (__TEXT,__text) external __kernelrpc_mach_vm_map
00000001804adac4 (__TEXT,__text) external __kernelrpc_mach_vm_map_trap
00000001804d4ad8 (__TEXT,__text) external __kernelrpc_mach_vm_protect
00000001804adab8 (__TEXT,__text) external __kernelrpc_mach_vm_protect_trap
00000001804d597c (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control
00000001804ada94 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control_trap
00000001804d4d18 (__TEXT,__text) external __kernelrpc_mach_vm_read
00000001804d6978 (__TEXT,__text) external __kernelrpc_mach_vm_reallocate
00000001804d54f0 (__TEXT,__text) external __kernelrpc_mach_vm_remap
00000001804d5e14 (__TEXT,__text) external __kernelrpc_mach_vm_remap_new
00000001804d65b4 (__TEXT,__text) external __kernelrpc_mach_vm_update_pointers_with_remote_tags
00000001804e18fc (__TEXT,__text) external __kernelrpc_mach_voucher_extract_attr_recipe
00000001804d2d18 (__TEXT,__text) external __kernelrpc_task_set_port_space
00000001804b305c (__TEXT,__text) external __kernelrpc_thread_policy
00000001804b4258 (__TEXT,__text) external __kernelrpc_thread_policy_set
00000001804df178 (__TEXT,__text) external __kernelrpc_thread_set_policy
00000001804ba080 (__TEXT,__text) external __kernelrpc_vm_map
00000001804e0a18 (__TEXT,__text) external __kernelrpc_vm_purgable_control
00000001804b759c (__TEXT,__text) external __kernelrpc_vm_read
00000001804e0d10 (__TEXT,__text) external __kernelrpc_vm_reallocate
00000001804b0308 (__TEXT,__text) external __kernelrpc_vm_remap
00000001804e0b6c (__TEXT,__text) external __kernelrpc_vm_remap_new
00000001804bd97c (__TEXT,__text) non-external __libkernel_bzero
00000001ec705d88 (__DATA_DIRTY,__bss) non-external __libkernel_functions
00000001edd84f70 (__AUTH_CONST,__const) non-external __libkernel_generic_string_functions
00000001804bda10 (__TEXT,__text) non-external __libkernel_memmove
00000001804bd988 (__TEXT,__text) non-external __libkernel_memset
00000001804bd944 (__TEXT,__text) non-external __libkernel_strchr
00000001804b3cf0 (__TEXT,__text) non-external __libkernel_strcmp
00000001804bddcc (__TEXT,__text) non-external __libkernel_strcpy
00000001ec705d50 (__DATA_DIRTY,__data) non-external __libkernel_string_functions
00000001804be728 (__TEXT,__text) non-external __libkernel_strlcpy
00000001804bd5d0 (__TEXT,__text) non-external __libkernel_strlen
00000001ec705d60 (__DATA_DIRTY,__data) non-external __libkernel_voucher_functions
00000001804e2b38 (__TEXT,__const) non-external __libkernel_voucher_functions_empty
00000001804bf674 (__TEXT,__text) non-external __mach_continuous_time
00000001e599c568 (__DATA_CONST,__const) external __mach_errors
00000001804bfbc4 (__TEXT,__text) external __mach_fork_child
00000001804c0994 (__TEXT,__text) external __mach_snprintf
00000001804c0810 (__TEXT,__text) external __mach_vsnprintf
00000001ec705de0 (__DATA_DIRTY,__common) external __os_alloc_once_table
00000001e9c42a10 (__DATA,__common) external __os_xbs_chrooted
00000001804b499c (__TEXT,__text) non-external __posix_spawn_file_actions_grow
00000001804bde14 (__TEXT,__text) non-external __posix_spawn_with_filter
00000001804c28a4 (__TEXT,__text) external __register_gethostuuid_callback
00000001804bd744 (__TEXT,__text) non-external __simple_getenv
00000001804be554 (__TEXT,__text) non-external __simple_getenv.26
00000001804bd6d8 (__TEXT,__text) non-external __simple_getenv_check
00000001804bdb28 (__TEXT,__text) non-external __system_version_compat_check_path_suffix
00000001804bdbcc (__TEXT,__text) non-external __system_version_compat_open_shim
00000001ec705d84 (__DATA_DIRTY,__bss) non-external __task_reply_port
00000001804bd4e0 (__TEXT,__text) external __thread_set_tsd_base
00000001804e1fec (__TEXT,__text) non-external _abort
00000001804e1fec (__TEXT,__text) non-external _abort.344
00000001804e1fec (__TEXT,__text) non-external _abort.389
00000001804e1fec (__TEXT,__text) non-external _abort.580
00000001804e210c (__TEXT,__text) external _abort_with_payload
00000001804e2080 (__TEXT,__text) non-external _abort_with_payload_wrapper_internal
00000001804e2060 (__TEXT,__text) external _abort_with_reason
00000001804b66c4 (__TEXT,__text) external _accept
00000001804bab34 (__TEXT,__text) external _accept$NOCANCEL
00000001804ae660 (__TEXT,__text) external _access
00000001804bab60 (__TEXT,__text) external _accessx_np
00000001804bbdb0 (__TEXT,__text) external _acct
00000001804ddb08 (__TEXT,__text) external _act_get_state
00000001804ddd50 (__TEXT,__text) external _act_set_state
00000001804bbddc (__TEXT,__text) external _adjtime
00000001804bbe08 (__TEXT,__text) external _aio_cancel
00000001804bbe34 (__TEXT,__text) external _aio_error
00000001804bbe60 (__TEXT,__text) external _aio_fsync
00000001804bbe8c (__TEXT,__text) external _aio_read
00000001804bbeb8 (__TEXT,__text) external _aio_return
00000001804bbee4 (__TEXT,__text) external _aio_suspend
00000001804bab8c (__TEXT,__text) external _aio_suspend$NOCANCEL
00000001804bbf10 (__TEXT,__text) external _aio_write
00000001804bbf3c (__TEXT,__text) external _audit
00000001804b97d4 (__TEXT,__text) external _audit_session_join
00000001804b95c8 (__TEXT,__text) external _audit_session_port
00000001804b1f6c (__TEXT,__text) external _audit_session_self
00000001804bbf68 (__TEXT,__text) external _auditctl
00000001804b777c (__TEXT,__text) external _auditon
00000001804b5b2c (__TEXT,__text) external _bind
00000001ec705dd4 (__DATA_DIRTY,__common) external _bootstrap_port
00000001804bd5c0 (__TEXT,__text) non-external _bzero
00000001804af5d4 (__TEXT,__text) external _cerror
00000001804ae5f4 (__TEXT,__text) external _cerror_nocancel
00000001804b1ea8 (__TEXT,__text) external _change_fdguard_np
00000001804af754 (__TEXT,__text) external _chdir
00000001804b602c (__TEXT,__text) external _chflags
00000001804b191c (__TEXT,__text) external _chmod
00000001804b5b00 (__TEXT,__text) external _chown
00000001804bbf94 (__TEXT,__text) external _chroot
00000001804cc4dc (__TEXT,__text) external _clock_alarm
00000001804cc2a8 (__TEXT,__text) external _clock_alarm_reply
00000001804cc310 (__TEXT,__text) external _clock_get_attributes
00000001804b350c (__TEXT,__text) external _clock_get_time
00000001804cc158 (__TEXT,__text) external _clock_set_attributes
00000001804cc040 (__TEXT,__text) external _clock_set_time
00000001804b9fdc (__TEXT,__text) external _clock_sleep
00000001804adca4 (__TEXT,__text) external _clock_sleep_trap
00000001804b7ec8 (__TEXT,__text) external _clonefile
00000001804b2d14 (__TEXT,__text) external _clonefileat
00000001804ae8e8 (__TEXT,__text) external _close
00000001804af57c (__TEXT,__text) external _close$NOCANCEL
00000001804c8468 (__TEXT,__text) external _coalition_create
