00000001dbf4bfe4 (__TEXT,__text) non-external _DiToMD5
00000001dbf38ce4 (__TEXT,__text) external _OSCollectionTypeID
00000001dbf5f5ec (__TEXT,__text) non-external _OSCollectionTypeID.cold.1
00000001dbf38c14 (__TEXT,__text) external _OSCollectionTypeName
00000001dbf5f594 (__TEXT,__text) non-external _OSCollectionTypeName.cold.1
00000001f24103c0 (__AUTH_CONST,__const) external _OSCollection_Class
00000001dbf3e38c (__TEXT,__text) external _OSCollectionsInitialize
00000001f24104b8 (__AUTH_CONST,__const) external _OSContainer_Class
00000001dbf38d6c (__TEXT,__text) external _OSCreateObjectFromSerialization
00000001dbf5f644 (__TEXT,__text) non-external _OSCreateObjectFromSerialization.cold.1
00000001dbf3be30 (__TEXT,__text) external _OSCreateSerializationFromBytes
00000001dbf5fccc (__TEXT,__text) non-external _OSCreateSerializationFromBytes.cold.1
00000001dbf3bd08 (__TEXT,__text) external _OSCreateSerializationFromObject
00000001dbf39f4c (__TEXT,__text) external _OSDataAppendBytes
00000001dbf39ea0 (__TEXT,__text) external _OSDataCreate
00000001dbf5f854 (__TEXT,__text) non-external _OSDataCreate.cold.1
00000001dbf39e34 (__TEXT,__text) external _OSDataGetBytes
00000001dbf39de8 (__TEXT,__text) external _OSDataGetBytesPtr
00000001dbf39e24 (__TEXT,__text) external _OSDataGetLength
00000001f2410618 (__AUTH_CONST,__const) external _OSData_Class
00000001dbf3a114 (__TEXT,__text) external _OSDictionaryApply
00000001dbf3a098 (__TEXT,__text) external _OSDictionaryCreate
00000001dbf3a0fc (__TEXT,__text) external _OSDictionaryGetCount
00000001dbf3a8d8 (__TEXT,__text) external _OSDictionaryGetStringValue
00000001dbf3aae4 (__TEXT,__text) external _OSDictionaryGetUInt64Value
00000001dbf3a838 (__TEXT,__text) external _OSDictionaryGetValue
00000001dbf3aa60 (__TEXT,__text) external _OSDictionarySetStringValue
00000001dbf3abb0 (__TEXT,__text) external _OSDictionarySetUInt64Value
00000001dbf3a464 (__TEXT,__text) external _OSDictionarySetValue
00000001f2410710 (__AUTH_CONST,__const) external _OSDictionary_Class
00000001f2410808 (__AUTH_CONST,__const) external _OSMappedFile_Class
00000001dbf3a028 (__TEXT,__text) external _OSNumberCreateWithUInt64Value
00000001dbf3a000 (__TEXT,__text) external _OSNumberGetUInt64Value
00000001f2410900 (__AUTH_CONST,__const) external _OSNumber_Class
00000001dbf3c40c (__TEXT,__text) external _OSObjectLog
00000001dbf38c74 (__TEXT,__text) external _OSObjectRelease
00000001dbf38c50 (__TEXT,__text) external _OSObjectRetain
00000001f24109f8 (__AUTH_CONST,__const) external _OSObject_Class
00000001f2410ba8 (__AUTH_CONST,__const) external _OSOrderedSet_Class
00000001dbf2cbb4 (__TEXT,__text) external _OSReportWithBacktrace
00000001dbf3bf64 (__TEXT,__text) external _OSSerializationGetBytes
00000001f2410ca0 (__AUTH_CONST,__const) external _OSSerialization_Class
00000001f2410d98 (__AUTH_CONST,__const) external _OSSet_Class
00000001dbf397c4 (__TEXT,__text) external _OSStringCreate
00000001dbf5f720 (__TEXT,__text) non-external _OSStringCreate.cold.1
00000001dbf5f74c (__TEXT,__text) non-external _OSStringCreate.cold.2
00000001dbf5f778 (__TEXT,__text) non-external _OSStringCreate.cold.3
00000001dbf3976c (__TEXT,__text) external _OSStringGetLength
00000001dbf39730 (__TEXT,__text) external _OSStringGetStringPtr
00000001f2410e90 (__AUTH_CONST,__const) external _OSString_Class
00000001dbf2c63c (__TEXT,__text) external _OSSynchronizeIO
00000001e7ef2d80 (__DATA,__bss) non-external _OSUniqueStrings
00000001dbf2cf9c (__TEXT,__text) external _PE_i_can_has_debugger
00000001dbf4c4dc (__TEXT,__text) external _SHA1Final
00000001dbf4c264 (__TEXT,__text) external _SHA1Init
00000001dbf4c464 (__TEXT,__text) non-external _SHA1ToDi
00000001dbf4c38c (__TEXT,__text) external _SHA1Update
00000001dbf4cfd4 (__TEXT,__text) external _SHA256_Final
00000001dbf4cf34 (__TEXT,__text) external _SHA256_Init
00000001dbf607b0 (__TEXT,__text) non-external _SHA256_Init.cold.1
00000001dbf4cf84 (__TEXT,__text) external _SHA256_Update
00000001dbf4d0b8 (__TEXT,__text) external _SHA384_Final
00000001dbf4d018 (__TEXT,__text) external _SHA384_Init
00000001dbf607d8 (__TEXT,__text) non-external _SHA384_Init.cold.1
00000001dbf4d068 (__TEXT,__text) external _SHA384_Update
00000001dbf4d19c (__TEXT,__text) external _SHA512_Final
00000001dbf4d0fc (__TEXT,__text) external _SHA512_Init
00000001dbf60800 (__TEXT,__text) non-external _SHA512_Init.cold.1
00000001dbf4d14c (__TEXT,__text) external _SHA512_Update
                 (undefined) external __Block_copy (from libSystem)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __Block_release (from libSystem)
00000001dbf2dbb0 (__TEXT,__text) non-external __GLOBAL__sub_I_IOLib.cpp
00000001dbf4d1e0 (__TEXT,__text) non-external __GLOBAL__sub_I_ObjectIntrospection.mm
00000001f2410f88 (__AUTH_CONST,__const) external __IOBlockStorageDevice_Class
00000001e7ef2d50 (__DATA,__bss) non-external __MergedGlobals
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __NSGetExecutablePath (from libSystem)
00000001dbf2df0c (__TEXT,__text) non-external (was a private external) __Z11OSFindClassP18IOUserServer_IVarsPKc
00000001dbf5dad8 (__TEXT,__text) non-external __Z11OSFindClassP18IOUserServer_IVarsPKc.cold.1
00000001dbf5db04 (__TEXT,__text) non-external __Z11OSFindClassP18IOUserServer_IVarsPKc.cold.2
00000001dbf2fc84 (__TEXT,__text) non-external (was a private external) __Z11ThreadStartPFPvS_ES_
00000001dbf5e2cc (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.1
00000001dbf5e2f8 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.2
00000001dbf5e324 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.3
00000001dbf5e350 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.4
00000001dbf5e37c (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.5
00000001dbf2eae4 (__TEXT,__text) non-external (was a private external) __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC
00000001dbf5ded8 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.1
00000001dbf5df04 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.2
00000001dbf5df30 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.3
00000001dbf5df5c (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.4
00000001dbf2e1f8 (__TEXT,__text) non-external (was a private external) __Z12OSObjectFreeP15OSMetaClassBase
00000001dbf5dbb4 (__TEXT,__text) non-external __Z12OSObjectFreeP15OSMetaClassBase.cold.1
00000001dbf3b13c (__TEXT,__text) non-external (was a private external) __Z15OSArrayGetEntryP7OSArraym
00000001dbf3e324 (__TEXT,__text) non-external (was a private external) __Z15OSBooleanCreatev
00000001dbf2dd70 (__TEXT,__text) non-external (was a private external) __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass
00000001dbf5da54 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.1
00000001dbf5da80 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.2
00000001dbf5daac (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.3
00000001dbf3b2b0 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetStringP7OSArraym
00000001dbf3b360 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetUInt64P7OSArraym
00000001dbf3b2dc (__TEXT,__text) non-external (was a private external) __Z16OSArraySetStringP7OSArraymPKc
00000001dbf2df6c (__TEXT,__text) external __Z16OSObjectAllocateP11OSMetaClassPP8OSObject
00000001dbf3b78c (__TEXT,__text) non-external (was a private external) __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry
00000001dbf5fb6c (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.1
00000001dbf5fb98 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.2
00000001dbf5fbc4 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.3
00000001dbf5fbf0 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.4
00000001dbf5fc1c (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.5
00000001dbf5fc48 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.6
00000001dbf2c1a0 (__TEXT,__text) external __Z16OSUnserializeXMLPKcPP8OSString
00000001dbf2c2e4 (__TEXT,__text) external __Z16OSUnserializeXMLPKcmPP8OSString
00000001dbf2e538 (__TEXT,__text) external __Z17OSObjectTryRetainP8OSObject
00000001dbf5dc0c (__TEXT,__text) non-external __Z17OSObjectTryRetainP8OSObject.cold.1
00000001dbf2e6b8 (__TEXT,__text) non-external (was a private external) __Z17SearchMethodArrayyPKyjPy
00000001dbf300d0 (__TEXT,__text) non-external (was a private external) __Z18OSLoadBundleByPathP18IOUserServer_IVarsPKc
00000001dbf2dcdc (__TEXT,__text) non-external (was a private external) __Z18OSStringArrayIndexP10IOPStringsPKc
00000001dbf2dc28 (__TEXT,__text) non-external (was a private external) __Z19OSCopyInStringArrayPKcj
00000001dbf3bf80 (__TEXT,__text) non-external (was a private external) __Z19OSObjectLogInternalP8OSObjectj
00000001dbf5fcf8 (__TEXT,__text) non-external __Z19OSObjectLogInternalP8OSObjectj.cold.1
00000001dbf2e0fc (__TEXT,__text) non-external (was a private external) __Z20OSObjectPortFinalizeP15OSMetaClassBase
00000001dbf5db5c (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.1
00000001dbf5db88 (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.2
00000001dbf38d28 (__TEXT,__text) non-external (was a private external) __Z20OSSerializationValueP15OSSerializationj
00000001dbf5f618 (__TEXT,__text) non-external __Z20OSSerializationValueP15OSSerializationj.cold.1
00000001dbf38c98 (__TEXT,__text) non-external (was a private external) __Z21OSSerializationTypeIDj
00000001dbf5f5c0 (__TEXT,__text) non-external __Z21OSSerializationTypeIDj.cold.1
00000001dbf2b00c (__TEXT,__text) non-external (was a private external) __Z21OSUnserializeXMLparsePv
00000001dbf39d80 (__TEXT,__text) non-external (was a private external) __Z23OSSerializationGetBytesPKjPvmm
00000001dbf3b40c (__TEXT,__text) non-external (was a private external) __Z26OSSerializationAppendBytesP15OSSerializationPKvm
00000001dbf5f904 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.1
00000001dbf5f930 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.2
00000001dbf5f95c (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.3
00000001dbf5f988 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.4
00000001dbf5f9b4 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.5
00000001dbf39d48 (__TEXT,__text) non-external (was a private external) __Z26OSSerializationGetBytesPtrPKjmm
00000001dbf39fdc (__TEXT,__text) non-external (was a private external) __Z29OSSerializationGetUInt64ValuePKj
00000001dbf3b550 (__TEXT,__text) non-external (was a private external) __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry
00000001dbf5f9e0 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.1
00000001dbf5fa0c (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.2
00000001dbf5fa38 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.3
00000001dbf30090 (__TEXT,__text) non-external (was a private external) __Z7astrcpyPKc
00000001dbf2f580 (__TEXT,__text) non-external __ZL10IORPCAsyncPv
00000001dbf5c268 (__TEXT,__text) non-external __ZL10OSData_NewP11OSMetaClass
00000001dbf2c070 (__TEXT,__text) non-external __ZL10buildArrayP12parser_stateP6object
00000001dbf2d410 (__TEXT,__text) non-external __ZL10getHexDataP12parser_statePj
00000001dbf5d9d0 (__TEXT,__text) non-external __ZL10getHexDataP12parser_statePj.cold.1
00000001dbf38788 (__TEXT,__text) non-external __ZL10uiomessagePv
00000001dbf5c078 (__TEXT,__text) non-external __ZL11OSArray_NewP11OSMetaClass
00000001dbf3d514 (__TEXT,__text) non-external __ZL11OSSetCreatev
00000001dbf61420 (__TEXT,__const) non-external __ZL11yytranslate
00000001dbf5d734 (__TEXT,__text) non-external __ZL12IOThread_NewP11OSMetaClass
00000001dbf5b98c (__TEXT,__text) non-external __ZL12OSAction_NewP11OSMetaClass
00000001dbf5c168 (__TEXT,__text) non-external __ZL12OSBundle_NewP11OSMetaClass
00000001dbf5c3c0 (__TEXT,__text) non-external __ZL12OSNumber_NewP11OSMetaClass
00000001dbf5c428 (__TEXT,__text) non-external __ZL12OSObject_NewP11OSMetaClass
00000001dbf39afc (__TEXT,__text) non-external __ZL12OSStringFindjU13block_pointerFbP8OSStringE
00000001dbf39aac (__TEXT,__text) non-external __ZL12OSStringHashPKcm
00000001dbf5f7a4 (__TEXT,__text) non-external __ZL12OSStringHashPKcm.cold.1
00000001dbf5cbf0 (__TEXT,__text) non-external __ZL12OSString_NewP11OSMetaClass
00000001dbf4d790 (__TEXT,__text) non-external __ZL13IOCommand_NewP11OSMetaClass
00000001dbf532c4 (__TEXT,__text) non-external __ZL13IOService_NewP11OSMetaClass
00000001dbf370d4 (__TEXT,__text) non-external __ZL13IOThreadStartPv
00000001dbf5f2a8 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.1
00000001dbf5f2d4 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.2
00000001dbf5f300 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.3
00000001dbf5c100 (__TEXT,__text) non-external __ZL13OSBoolean_NewP11OSMetaClass
00000001dbf530bc (__TEXT,__text) non-external __ZL14IOReporter_NewP11OSMetaClass
00000001dbf31620 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si
00000001dbf5eb9c (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.1
00000001dbf5ebc8 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.2
00000001dbf5ebf4 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.3
00000001dbf5ec20 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.4
00000001dbf50288 (__TEXT,__text) non-external __ZL15IOEventLink_NewP11OSMetaClass
00000001dbf52d94 (__TEXT,__text) non-external __ZL15IOMemoryMap_NewP11OSMetaClass
00000001dbf5b294 (__TEXT,__text) non-external __ZL15IOWorkGroup_NewP11OSMetaClass
00000001dbf5c200 (__TEXT,__text) non-external __ZL15OSContainer_NewP11OSMetaClass
00000001dbf2fed4 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb
00000001dbf5e4dc (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.1
00000001dbf5e508 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.2
00000001dbf5e534 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.3
00000001dbf5e560 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.4
00000001dbf30bf8 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc
00000001dbf5e920 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.1
00000001dbf5e94c (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.2
00000001dbf5e978 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.3
00000001dbf5e9a4 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.4
00000001dbf38184 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject
00000001dbf5f3dc (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.1
00000001dbf5f408 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.2
00000001dbf5f434 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.3
00000001dbf5f460 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.4
00000001dbf5f48c (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.5
00000001dbf5f4b8 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.6
00000001dbf5f4e4 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.7
00000001e7ef2d68 (__DATA,__bss) non-external __ZL15gIOThreadTLSKey
00000001dbf4d880 (__TEXT,__text) non-external __ZL16IODMACommand_NewP11OSMetaClass
00000001dbf599c0 (__TEXT,__text) non-external __ZL16IOUserClient_NewP11OSMetaClass
