00007ff841a9d3b8 (__DATA,__data) external _NDR_record
00007ff800308068 (__TEXT,__text) external ___mac_get_link
00007ff800308080 (__TEXT,__text) external ___mac_get_mount
00007ff800308098 (__TEXT,__text) external ___mac_get_pid
00007ff8003080b0 (__TEXT,__text) external ___mac_get_proc
00007ff8003080c8 (__TEXT,__text) external ___mac_getfsstat
00007ff8003080e0 (__TEXT,__text) external ___mac_mount
00007ff8003080f8 (__TEXT,__text) external ___mac_set_fd
00007ff800308110 (__TEXT,__text) external ___mac_set_file
00007ff800308128 (__TEXT,__text) external ___mac_set_link
00007ff8002eb034 (__TEXT,__text) external ___mac_set_proc
00007ff8002e5e88 (__TEXT,__text) external ___mac_syscall
00007ff800308140 (__TEXT,__text) external ___mach_bridge_remote_time
00007ff800308158 (__TEXT,__text) external ___mach_eventlink_signal
00007ff800308170 (__TEXT,__text) external ___mach_eventlink_signal_wait_until
00007ff800308188 (__TEXT,__text) external ___mach_eventlink_wait_until
00007ff8003081a0 (__TEXT,__text) external ___memorystatus_available_memory
00007ff8003081b8 (__TEXT,__text) external ___microstackshot
00007ff8003081d0 (__TEXT,__text) external ___mkdir_extended
00007ff8003081e8 (__TEXT,__text) external ___mkfifo_extended
00007ff8002e546c (__TEXT,__text) external ___mmap
00007ff8002e793c (__TEXT,__text) external ___mprotect
00007ff800308200 (__TEXT,__text) external ___msgctl
00007ff800308218 (__TEXT,__text) external ___msgrcv_nocancel
00007ff800308230 (__TEXT,__text) external ___msgsnd_nocancel
00007ff800308248 (__TEXT,__text) external ___msgsys
00007ff8002e95f0 (__TEXT,__text) external ___msync
00007ff800308260 (__TEXT,__text) external ___msync_nocancel
00007ff8002e75a4 (__TEXT,__text) external ___munmap
00007ff800308278 (__TEXT,__text) external ___nexus_create
00007ff800308290 (__TEXT,__text) external ___nexus_deregister
00007ff8003082a8 (__TEXT,__text) external ___nexus_destroy
00007ff8003082c0 (__TEXT,__text) external ___nexus_get_opt
00007ff8003082d8 (__TEXT,__text) external ___nexus_open
00007ff8003082f0 (__TEXT,__text) external ___nexus_register
00007ff800308308 (__TEXT,__text) external ___nexus_set_opt
00007ff800308320 (__TEXT,__text) external ___old_semwait_signal
00007ff8002e5234 (__TEXT,__text) external ___open
00007ff8002e8df4 (__TEXT,__text) external ___open_dprotected_np
00007ff8002ede2c (__TEXT,__text) external ___open_extended
00007ff8002e53c8 (__TEXT,__text) external ___open_nocancel
00007ff8002e5da4 (__TEXT,__text) external ___openat
00007ff8002e8eb4 (__TEXT,__text) external ___openat_nocancel
00007ff841a9d450 (__DATA,__bss) non-external ___os_ch_md_redzone_cookie
00007ff8002f5c32 (__TEXT,__text) external ___os_nexus_flow_add
00007ff8002f5c9f (__TEXT,__text) external ___os_nexus_flow_del
00007ff8002f5d0c (__TEXT,__text) external ___os_nexus_get_llink_info
00007ff80030a00f (__TEXT,__text) non-external ___os_nexus_get_llink_info.cold.1
00007ff8002f5a9f (__TEXT,__text) external ___os_nexus_ifattach
00007ff8002f5b96 (__TEXT,__text) external ___os_nexus_ifdetach
00007ff8002e7a0c (__TEXT,__text) external ___persona
00007ff8002e9608 (__TEXT,__text) external ___pipe
00007ff800308338 (__TEXT,__text) external ___poll_nocancel
00007ff8002e9fec (__TEXT,__text) external ___posix_spawn
00007ff8002f1abc (__TEXT,__text) non-external (was a private external) ___posix_spawnattr_init
00007ff800308350 (__TEXT,__text) external ___pread_nocancel
00007ff800308368 (__TEXT,__text) external ___preadv_nocancel
00007ff8002e5a10 (__TEXT,__text) external ___proc_info
00007ff800308380 (__TEXT,__text) external ___proc_info_extended_id
00007ff8002ea5c4 (__TEXT,__text) external ___process_policy
00007ff8002e945c (__TEXT,__text) external ___pselect
00007ff800308398 (__TEXT,__text) external ___pselect_nocancel
00007ff8002e73f8 (__TEXT,__text) external ___psynch_cvbroad
00007ff8002e79ac (__TEXT,__text) external ___psynch_cvclrprepost
00007ff8002e83fc (__TEXT,__text) external ___psynch_cvsignal
00007ff8002e73e0 (__TEXT,__text) external ___psynch_cvwait
00007ff8002e6cfc (__TEXT,__text) external ___psynch_mutexdrop
00007ff8002e6bc8 (__TEXT,__text) external ___psynch_mutexwait
00007ff8003083b0 (__TEXT,__text) external ___psynch_rw_downgrade
00007ff8003083c8 (__TEXT,__text) external ___psynch_rw_longrdlock
00007ff8002e8a08 (__TEXT,__text) external ___psynch_rw_rdlock
00007ff8002e89f0 (__TEXT,__text) external ___psynch_rw_unlock
00007ff8003083e0 (__TEXT,__text) external ___psynch_rw_unlock2
00007ff8003083f8 (__TEXT,__text) external ___psynch_rw_upgrade
00007ff8002e89d8 (__TEXT,__text) external ___psynch_rw_wrlock
00007ff800308410 (__TEXT,__text) external ___psynch_rw_yieldwrlock
00007ff8002edbb8 (__TEXT,__text) external ___pthread_canceled
00007ff8002e9d3c (__TEXT,__text) external ___pthread_chdir
00007ff8002e9d24 (__TEXT,__text) external ___pthread_fchdir
00007ff8002eb004 (__TEXT,__text) external ___pthread_kill
00007ff800308428 (__TEXT,__text) external ___pthread_markcancel
00007ff8002ea188 (__TEXT,__text) external ___pthread_sigmask
00007ff8002eb278 (__TEXT,__text) external ___ptrace
00007ff800308440 (__TEXT,__text) external ___pwrite_nocancel
00007ff800308458 (__TEXT,__text) external ___pwritev_nocancel
00007ff8002e6210 (__TEXT,__text) external ___read_nocancel
00007ff800308470 (__TEXT,__text) external ___readv_nocancel
00007ff800308488 (__TEXT,__text) external ___reboot
00007ff8002e7f04 (__TEXT,__text) external ___recvfrom
00007ff8002e7dd8 (__TEXT,__text) external ___recvfrom_nocancel
00007ff8002e81c4 (__TEXT,__text) external ___recvmsg
00007ff8003084a0 (__TEXT,__text) external ___recvmsg_nocancel
00007ff841a6f058 (__DATA_DIRTY,__bss) non-external ___remove_counter
00007ff8002e7788 (__TEXT,__text) external ___rename
00007ff8003084b8 (__TEXT,__text) external ___renameat
00007ff8003084d0 (__TEXT,__text) external ___renameatx_np
00007ff8002e77c8 (__TEXT,__text) external ___rmdir
00007ff800308020 (__TEXT,__text) external ___sandbox_me
00007ff8003080e0 (__TEXT,__text) external ___sandbox_mm
00007ff8002e5e88 (__TEXT,__text) external ___sandbox_ms
00007ff8002eb034 (__TEXT,__text) external ___sandbox_msp
00007ff8002ecd50 (__TEXT,__text) external ___select
00007ff8002e7dc0 (__TEXT,__text) external ___select_nocancel
00007ff8002ebb6c (__TEXT,__text) external ___sem_open
00007ff8003084e8 (__TEXT,__text) external ___sem_wait_nocancel
00007ff800308500 (__TEXT,__text) external ___semctl
00007ff800308518 (__TEXT,__text) external ___semsys
00007ff8002e72b4 (__TEXT,__text) external ___semwait_signal
00007ff8002ea1a0 (__TEXT,__text) external ___semwait_signal_nocancel
00007ff8002e8ecc (__TEXT,__text) external ___sendmsg
00007ff8002e7e08 (__TEXT,__text) external ___sendmsg_nocancel
00007ff8002e7eec (__TEXT,__text) external ___sendto
00007ff8002e7d88 (__TEXT,__text) external ___sendto_nocancel
00007ff8002e7398 (__TEXT,__text) external ___setattrlist
00007ff8002ed954 (__TEXT,__text) external ___setlogin
00007ff8002eac08 (__TEXT,__text) external ___setpriority
00007ff800308530 (__TEXT,__text) external ___setregid
00007ff800308548 (__TEXT,__text) external ___setreuid
00007ff8002e6be8 (__TEXT,__text) external ___setrlimit
00007ff800308560 (__TEXT,__text) external ___setsgroups
00007ff8002eb9a4 (__TEXT,__text) external ___settid
00007ff800308578 (__TEXT,__text) external ___settid_with_pid
00007ff800308590 (__TEXT,__text) external ___settimeofday
00007ff8003085a8 (__TEXT,__text) external ___setwgroups
00007ff8002ebbc4 (__TEXT,__text) external ___sfi_ctl
00007ff8003085c0 (__TEXT,__text) external ___sfi_pidctl
00007ff8003085d8 (__TEXT,__text) external ___shared_region_check_np
00007ff8003085f0 (__TEXT,__text) external ___shared_region_map_and_slide_2_np
00007ff800308608 (__TEXT,__text) external ___shared_region_map_and_slide_np
00007ff8002e5d74 (__TEXT,__text) external ___shm_open
00007ff800308620 (__TEXT,__text) external ___shmctl
00007ff800308638 (__TEXT,__text) external ___shmsys
00007ff8002e9654 (__TEXT,__text) external ___sigaction
00007ff8002e7350 (__TEXT,__text) external ___sigaltstack
00007ff8002ed4d8 (__TEXT,__text) external ___sigreturn
00007ff800308650 (__TEXT,__text) external ___sigsuspend
00007ff8002ea1c8 (__TEXT,__text) external ___sigsuspend_nocancel
00007ff8002ed508 (__TEXT,__text) external ___sigwait
00007ff8002e7df0 (__TEXT,__text) external ___socketpair
00007ff800308668 (__TEXT,__text) external ___stack_snapshot_with_config
00007ff8002e8d04 (__TEXT,__text) external ___stat64_extended
00007ff800308680 (__TEXT,__text) external ___stat_extended
00007ff8002e6564 (__TEXT,__text) external ___syscall
00007ff841a9d438 (__DATA,__common) external ___syscall_logger
00007ff8002e5cc4 (__TEXT,__text) external ___sysctl
00007ff8002e5e30 (__TEXT,__text) external ___sysctlbyname
00007ff800308698 (__TEXT,__text) external ___telemetry
00007ff8002ec6d0 (__TEXT,__text) external ___terminate_with_payload
00007ff8002e60c8 (__TEXT,__text) external ___thread_selfid
00007ff8003086b0 (__TEXT,__text) external ___thread_selfusage
00007ff8002e60e0 (__TEXT,__text) external ___ulock_wait
00007ff8003086c8 (__TEXT,__text) external ___ulock_wait2
00007ff8002e6160 (__TEXT,__text) external ___ulock_wake
00007ff8003086e0 (__TEXT,__text) external ___umask_extended
00007ff8002e7a40 (__TEXT,__text) external ___unlink
00007ff8002ebe6c (__TEXT,__text) external ___unlinkat
00007ff8003086f8 (__TEXT,__text) external ___vfork
00007ff8002ea148 (__TEXT,__text) external ___wait4
00007ff8002ede14 (__TEXT,__text) external ___wait4_nocancel
00007ff800308750 (__TEXT,__text) external ___waitid_nocancel
00007ff8002eb3a4 (__TEXT,__text) external ___work_interval_ctl
00007ff8002e6050 (__TEXT,__text) external ___workq_kernreturn
00007ff8002e6068 (__TEXT,__text) external ___workq_open
00007ff8002e79c4 (__TEXT,__text) external ___write_nocancel
00007ff800308768 (__TEXT,__text) external ___writev_nocancel
00007ff841a9d434 (__DATA,__common) external __cpu_capabilities
00007ff841a9d430 (__DATA,__common) external __cpu_has_altivec
00007ff841a6e9a0 (__DATA_DIRTY,__data) non-external (was a private external) __current_pid
00007ff841a6e9b8 (__DATA_DIRTY,__common) non-external (was a private external) __dlsym
00007ff8002eece7 (__TEXT,__text) non-external (was a private external) __execve_with_filter
00007ff8002ea1e0 (__TEXT,__text) external __exit
00007ff8002e9120 (__TEXT,__text) external __get_cpu_capabilities
00007ff841a9d448 (__DATA,__bss) non-external __gethostuuid_callback
00007ff8002f121f (__TEXT,__text) external __getprivatesystemidentifier
00007ff8002fab1b (__TEXT,__text) external __host_page_size
00007ff8002e910e (__TEXT,__text) external __init_cpu_capabilities
00007ff8002fb761 (__TEXT,__text) external __kernelrpc_host_create_mach_voucher
00007ff8002fc734 (__TEXT,__text) external __kernelrpc_mach_port_allocate
00007ff8002fd12a (__TEXT,__text) external __kernelrpc_mach_port_allocate_full
00007ff8002fc652 (__TEXT,__text) external __kernelrpc_mach_port_allocate_name
00007ff8002fd01c (__TEXT,__text) external __kernelrpc_mach_port_allocate_qos
00007ff8002e48d4 (__TEXT,__text) external __kernelrpc_mach_port_allocate_trap
00007ff8002fe5c0 (__TEXT,__text) external __kernelrpc_mach_port_assert_attributes
00007ff8002fdaa8 (__TEXT,__text) external __kernelrpc_mach_port_construct
00007ff8002e4928 (__TEXT,__text) external __kernelrpc_mach_port_construct_trap
00007ff8002fc90c (__TEXT,__text) external __kernelrpc_mach_port_deallocate
00007ff8002e48e0 (__TEXT,__text) external __kernelrpc_mach_port_deallocate_trap
00007ff8002fc82d (__TEXT,__text) external __kernelrpc_mach_port_destroy
00007ff8002fdbbb (__TEXT,__text) external __kernelrpc_mach_port_destruct
00007ff8002e4934 (__TEXT,__text) external __kernelrpc_mach_port_destruct_trap
00007ff8002fd5d1 (__TEXT,__text) external __kernelrpc_mach_port_dnrequest_info
00007ff8002fd8bf (__TEXT,__text) external __kernelrpc_mach_port_extract_member
00007ff8002e491c (__TEXT,__text) external __kernelrpc_mach_port_extract_member_trap
00007ff8002ec255 (__TEXT,__text) external __kernelrpc_mach_port_extract_right
00007ff8002ec9d9 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes
00007ff8002e49dc (__TEXT,__text) external __kernelrpc_mach_port_get_attributes_trap
00007ff8002e8a59 (__TEXT,__text) external __kernelrpc_mach_port_get_context
00007ff8002e71b8 (__TEXT,__text) external __kernelrpc_mach_port_get_refs
00007ff8002fe490 (__TEXT,__text) external __kernelrpc_mach_port_get_service_port_info
00007ff8002eda86 (__TEXT,__text) external __kernelrpc_mach_port_get_set_status
00007ff8002fd32e (__TEXT,__text) external __kernelrpc_mach_port_get_srights
00007ff8002fdca1 (__TEXT,__text) external __kernelrpc_mach_port_guard
00007ff8002e49e8 (__TEXT,__text) external __kernelrpc_mach_port_guard_trap
00007ff8002fe055 (__TEXT,__text) external __kernelrpc_mach_port_guard_with_flags
00007ff8002fd7dd (__TEXT,__text) external __kernelrpc_mach_port_insert_member
00007ff8002e4910 (__TEXT,__text) external __kernelrpc_mach_port_insert_member_trap
00007ff8002fce48 (__TEXT,__text) external __kernelrpc_mach_port_insert_right
00007ff8002e4904 (__TEXT,__text) external __kernelrpc_mach_port_insert_right_trap
00007ff8002fe393 (__TEXT,__text) external __kernelrpc_mach_port_is_connection_for_service
00007ff8002fd6d7 (__TEXT,__text) external __kernelrpc_mach_port_kernel_object
00007ff8002fd9a1 (__TEXT,__text) external __kernelrpc_mach_port_kobject
00007ff8002fe223 (__TEXT,__text) external __kernelrpc_mach_port_kobject_description
00007ff8002fc9eb (__TEXT,__text) external __kernelrpc_mach_port_mod_refs
00007ff8002e48ec (__TEXT,__text) external __kernelrpc_mach_port_mod_refs_trap
00007ff8002fcd66 (__TEXT,__text) external __kernelrpc_mach_port_move_member
00007ff8002e48f8 (__TEXT,__text) external __kernelrpc_mach_port_move_member_trap
00007ff8002fc41e (__TEXT,__text) external __kernelrpc_mach_port_names
00007ff8002fcad0 (__TEXT,__text) external __kernelrpc_mach_port_peek
00007ff8002fc570 (__TEXT,__text) external __kernelrpc_mach_port_rename
00007ff8002e7a6d (__TEXT,__text) external __kernelrpc_mach_port_request_notification
00007ff8002e4acc (__TEXT,__text) external __kernelrpc_mach_port_request_notification_trap
00007ff8002e69c0 (__TEXT,__text) external __kernelrpc_mach_port_set_attributes
00007ff8002ed99e (__TEXT,__text) external __kernelrpc_mach_port_set_context
00007ff8002fcc84 (__TEXT,__text) external __kernelrpc_mach_port_set_mscount
00007ff8002fcf3a (__TEXT,__text) external __kernelrpc_mach_port_set_seqno
00007ff8002fde6a (__TEXT,__text) external __kernelrpc_mach_port_space_basic_info
00007ff8002fd427 (__TEXT,__text) external __kernelrpc_mach_port_space_info
00007ff8002fdf5c (__TEXT,__text) external __kernelrpc_mach_port_special_reply_port_reset_link
00007ff8002fe13c (__TEXT,__text) external __kernelrpc_mach_port_swap_guard
00007ff8002eb421 (__TEXT,__text) external __kernelrpc_mach_port_type
00007ff8002e4ac0 (__TEXT,__text) external __kernelrpc_mach_port_type_trap
00007ff8002fdd87 (__TEXT,__text) external __kernelrpc_mach_port_unguard
00007ff8002e49f4 (__TEXT,__text) external __kernelrpc_mach_port_unguard_trap
00007ff8003042a0 (__TEXT,__text) external __kernelrpc_mach_task_is_self
00007ff8002fe6f5 (__TEXT,__text) external __kernelrpc_mach_vm_allocate
00007ff8002e488c (__TEXT,__text) external __kernelrpc_mach_vm_allocate_trap
00007ff8002fe7fa (__TEXT,__text) external __kernelrpc_mach_vm_deallocate
00007ff8002e48a4 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate_trap
00007ff8002e5a25 (__TEXT,__text) external __kernelrpc_mach_vm_map
00007ff8002e48c8 (__TEXT,__text) external __kernelrpc_mach_vm_map_trap
00007ff8002fe8de (__TEXT,__text) external __kernelrpc_mach_vm_protect
00007ff8002e48bc (__TEXT,__text) external __kernelrpc_mach_vm_protect_trap
00007ff8002ff496 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control
00007ff8002e4898 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control_trap
00007ff8002feab0 (__TEXT,__text) external __kernelrpc_mach_vm_read
00007ff8002ff104 (__TEXT,__text) external __kernelrpc_mach_vm_remap
00007ff8002ff83b (__TEXT,__text) external __kernelrpc_mach_vm_remap_new
00007ff8003078e1 (__TEXT,__text) external __kernelrpc_mach_voucher_extract_attr_recipe
00007ff8002fd24f (__TEXT,__text) external __kernelrpc_task_set_port_space
00007ff8002e8823 (__TEXT,__text) external __kernelrpc_thread_policy
00007ff8002e94c7 (__TEXT,__text) external __kernelrpc_thread_policy_set
00007ff800305e83 (__TEXT,__text) external __kernelrpc_thread_set_policy
00007ff8002edc60 (__TEXT,__text) external __kernelrpc_vm_map
00007ff800306f7b (__TEXT,__text) external __kernelrpc_vm_purgable_control
00007ff8002eba38 (__TEXT,__text) external __kernelrpc_vm_read
00007ff8002e66a4 (__TEXT,__text) external __kernelrpc_vm_remap
00007ff80030707d (__TEXT,__text) external __kernelrpc_vm_remap_new
00007ff8002ee2af (__TEXT,__text) non-external (was a private external) __libkernel_bzero
00007ff841a6e9b0 (__DATA_DIRTY,__common) non-external (was a private external) __libkernel_functions
00007ff8400275d0 (__DATA_CONST,__const) non-external __libkernel_generic_string_functions
00007ff8002ee339 (__TEXT,__text) non-external (was a private external) __libkernel_memmove
00007ff8002ee2b9 (__TEXT,__text) non-external (was a private external) __libkernel_memset
00007ff8002ee291 (__TEXT,__text) non-external (was a private external) __libkernel_strchr
00007ff8002e913c (__TEXT,__text) non-external (was a private external) __libkernel_strcmp
00007ff8002ee671 (__TEXT,__text) non-external (was a private external) __libkernel_strcpy
00007ff841a6e990 (__DATA_DIRTY,__data) non-external __libkernel_string_functions
00007ff8002eedb2 (__TEXT,__text) non-external (was a private external) __libkernel_strlcpy
00007ff8002ee088 (__TEXT,__text) non-external (was a private external) __libkernel_strlen
00007ff841a6e998 (__DATA_DIRTY,__data) non-external __libkernel_voucher_functions
00007ff80030a080 (__TEXT,__const) non-external __libkernel_voucher_functions_empty
00007ff8002efc7d (__TEXT,__text) non-external (was a private external) __mach_continuous_time
00007ff8002e62f5 (__TEXT,__text) non-external (was a private external) __mach_continuous_time_base
00007ff840027e70 (__DATA_CONST,__const) external __mach_errors
00007ff8002f016b (__TEXT,__text) external __mach_fork_child
00007ff8002f04c3 (__TEXT,__text) external __mach_snprintf
00007ff8002f032d (__TEXT,__text) external __mach_vsnprintf
00007ff841a6ea00 (__DATA_DIRTY,__common) external __os_alloc_once_table
00007ff841a9d3e8 (__DATA,__common) external __os_xbs_chrooted
00007ff8002e9a3c (__TEXT,__text) non-external __posix_spawn_file_actions_grow
00007ff8002ee69d (__TEXT,__text) non-external (was a private external) __posix_spawn_with_filter
00007ff8002e8964 (__TEXT,__text) non-external (was a private external) __pthread_clear_qos_tsd
00007ff8002e5de2 (__TEXT,__text) non-external (was a private external) __pthread_exit_if_canceled
00007ff8002e912e (__TEXT,__text) non-external (was a private external) __pthread_set_self
00007ff8002f1224 (__TEXT,__text) external __register_gethostuuid_callback
00007ff8002ee474 (__TEXT,__text) non-external (was a private external) __system_version_compat_check_path_suffix
00007ff8002ee4e9 (__TEXT,__text) non-external (was a private external) __system_version_compat_open_shim
00007ff841a6e9f4 (__DATA_DIRTY,__common) non-external (was a private external) __task_reply_port
00007ff800309240 (__TEXT,__text) external __thread_set_tsd_base
00007ff80030969d (__TEXT,__text) non-external _abort
00007ff8003096ba (__TEXT,__text) non-external _abort
00007ff8003096d7 (__TEXT,__text) non-external _abort
00007ff8003096f4 (__TEXT,__text) non-external _abort
00007ff8003098a0 (__TEXT,__text) external _abort_with_payload
00007ff800309827 (__TEXT,__text) non-external _abort_with_payload_wrapper_internal
00007ff800309814 (__TEXT,__text) external _abort_with_reason
00007ff8002eb088 (__TEXT,__text) external _accept
00007ff800307dc8 (__TEXT,__text) external _accept$NOCANCEL
00007ff8002e521c (__TEXT,__text) external _access
00007ff800307de0 (__TEXT,__text) external _accessx_np
00007ff800308780 (__TEXT,__text) external _acct
00007ff800304d3a (__TEXT,__text) external _act_get_state
00007ff800304ed0 (__TEXT,__text) external _act_set_state
00007ff800308798 (__TEXT,__text) external _adjtime
00007ff8003087b0 (__TEXT,__text) external _aio_cancel
00007ff8003087c8 (__TEXT,__text) external _aio_error
00007ff8003087e0 (__TEXT,__text) external _aio_fsync
00007ff8003087f8 (__TEXT,__text) external _aio_read
00007ff800308810 (__TEXT,__text) external _aio_return
00007ff800308828 (__TEXT,__text) external _aio_suspend
00007ff800307df8 (__TEXT,__text) external _aio_suspend$NOCANCEL
00007ff800308840 (__TEXT,__text) external _aio_write
00007ff800308858 (__TEXT,__text) external _audit
00007ff8002ed4f0 (__TEXT,__text) external _audit_session_join
00007ff8002ed3bc (__TEXT,__text) external _audit_session_port
00007ff8002e7c2c (__TEXT,__text) external _audit_session_self
00007ff800308870 (__TEXT,__text) external _auditctl
00007ff8002ebb9c (__TEXT,__text) external _auditon
00007ff8002e931e (__TEXT,__text) non-external (was a private external) _bcopy
00007ff8002ea654 (__TEXT,__text) external _bind
00007ff841a6e9c0 (__DATA_DIRTY,__common) external _bootstrap_port
00007ff8002ee013 (__TEXT,__text) non-external (was a private external) _bzero
00007ff8002e5db9 (__TEXT,__text) external _cerror
00007ff8002e51c5 (__TEXT,__text) external _cerror_nocancel
00007ff8002e7bb8 (__TEXT,__text) external _change_fdguard_np
00007ff8002e5ea0 (__TEXT,__text) external _chdir
00007ff8002eabac (__TEXT,__text) external _chflags
00007ff8002e77dd (__TEXT,__text) external _chmod
