00000001a76e72a0 (__TEXT,__text) non-external +[AMFI isAvailable]
00000001a76e9900 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.2
00000001a76e9934 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.3
00000001a76e9968 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.4
00000001a76e15c0 (__TEXT,__text) non-external +[MIS isValidApplication:checkResources:withSignerCategory:withModified:withProgressCallback:]
00000001a76e9b94 (__TEXT,__text) non-external +[MIS isValidApplication:checkResources:withSignerCategory:withModified:withProgressCallback:].cold.1
00000001a76e9c20 (__TEXT,__text) non-external +[MIS isValidApplication:checkResources:withSignerCategory:withModified:withProgressCallback:].cold.2
00000001a76e14a8 (__TEXT,__text) non-external +[MIS uninstallProvisioningProfile:]
00000001a76e9aa0 (__TEXT,__text) non-external +[MIS uninstallProvisioningProfile:].cold.1
00000001a76e9b2c (__TEXT,__text) non-external +[MIS uninstallProvisioningProfile:].cold.2
00000001a76e6178 (__TEXT,__text) non-external +[NSData(Strings) dataFromHexString:]
00000001a76ea304 (__TEXT,__text) non-external +[NSData(Strings) dataFromHexString:].cold.1
00000001a76ea304 (__TEXT,__text) non-external +[NSData(Strings) dataFromHexString:].cold.2
00000001a76db834 (__TEXT,__text) non-external +[SPExecutionHistoryItem executionHistoryItemWithExecPath:mmapPath:signingID:teamID:cdHash:responsiblePath:developerName:lasSeen:]
00000001a76db974 (__TEXT,__text) non-external +[SPExecutionHistoryItem supportsSecureCoding]
00000001a76da10c (__TEXT,__text) non-external +[SPExecutionPolicyItem supportsSecureCoding]
00000001a76d5474 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromAliasOrSymlink:withError:]
00000001a76e7e80 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromAliasOrSymlink:withError:].cold.1
00000001a76e7f54 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromAliasOrSymlink:withError:].cold.2
00000001a76d51c8 (__TEXT,__text) non-external +[SPFilePolicy getAllowedPaths]
00000001a76e09b0 (__TEXT,__text) non-external +[SPKernelExtensionHistoryItem supportsSecureCoding]
00000001a76dc004 (__TEXT,__text) non-external +[SPKernelExtensionPolicy findBundledKernelExtensions:]
00000001a76d3b24 (__TEXT,__text) non-external +[SPKernelExtensionPolicyItem supportsSecureCoding]
00000001a76db21c (__TEXT,__text) non-external +[SPLog exec]
00000001a76db604 (__TEXT,__text) non-external +[SPLog generateSignpostID]
00000001a76db0e4 (__TEXT,__text) non-external +[SPLog generic]
00000001a76db180 (__TEXT,__text) non-external +[SPLog kext]
00000001a76db2b8 (__TEXT,__text) non-external +[SPLog measurements]
00000001a76db3f0 (__TEXT,__text) non-external +[SPLog sampling]
00000001a76db5f8 (__TEXT,__text) non-external +[SPLog setVerboseLogging:]
00000001a76db354 (__TEXT,__text) non-external +[SPLog signposts]
00000001a76db48c (__TEXT,__text) non-external +[SPLog verboseLoggingEnabled]
00000001a76e3588 (__TEXT,__text) non-external +[SPMigration createGatekeeperMigrationData:]
00000001a76e9f08 (__TEXT,__text) non-external +[SPMigration createGatekeeperMigrationData:].cold.1
00000001a76e3024 (__TEXT,__text) non-external +[SPMigration createKernelExtensionMigrationData:]
00000001a76e9e40 (__TEXT,__text) non-external +[SPMigration createKernelExtensionMigrationData:].cold.1
00000001a76e9ea4 (__TEXT,__text) non-external +[SPMigration createKernelExtensionMigrationData:].cold.2
00000001a76e252c (__TEXT,__text) non-external +[SPMigration createMigrationPolicy:forTarget:]
00000001a76e9d84 (__TEXT,__text) non-external +[SPMigration createMigrationPolicy:forTarget:].cold.1
00000001a76e2380 (__TEXT,__text) non-external +[SPMigration gatekeeperMigrationDataPath:]
00000001a76e236c (__TEXT,__text) non-external +[SPMigration kernelExtensionMigrationDataPath:]
00000001a76e2924 (__TEXT,__text) non-external +[SPMigration readKernelExtensionMigrationPolicy:]
00000001a76e24e4 (__TEXT,__text) non-external +[SPMigration volumeRequiresGatekeeperMigration:]
00000001a76e2394 (__TEXT,__text) non-external +[SPMigration volumeRequiresKernelExtensionMigration:]
00000001a76e5984 (__TEXT,__text) non-external +[SPProvenanceMetadata supportsSecureCoding]
00000001a76d3558 (__TEXT,__text) non-external +[SPSamplingTasking supportsSecureCoding]
00000001a76d4d1c (__TEXT,__text) non-external -[AKELData .cxx_destruct]
00000001a76d4c44 (__TEXT,__text) non-external -[AKELData findLegacyKextBundleID:]
00000001a76d4af8 (__TEXT,__text) non-external -[AKELData initWithURL:]
00000001a76d4984 (__TEXT,__text) non-external -[AKELData init]
00000001a76d4ce0 (__TEXT,__text) non-external -[AKELData isKextAllowedWithoutSecureTimestamp:]
00000001a76d4c08 (__TEXT,__text) non-external -[AKELData isLegacyKextAllowed:]
00000001a76d4760 (__TEXT,__text) non-external -[AKELData loadFromBundleData:]
00000001a76d4c00 (__TEXT,__text) non-external -[AKELData reloadIfNecessary]
00000001a76e7758 (__TEXT,__text) non-external -[AppWrapperPolicyResult description]
00000001a76e76ac (__TEXT,__text) non-external -[AppWrapperPolicyResult initWithValid:withSignerCategory:withModified:]
00000001a76e776c (__TEXT,__text) non-external -[AppWrapperPolicyResult isModified]
00000001a76e775c (__TEXT,__text) non-external -[AppWrapperPolicyResult isValid]
00000001a76e7710 (__TEXT,__text) non-external -[AppWrapperPolicyResult redactedDescription]
00000001a76e7764 (__TEXT,__text) non-external -[AppWrapperPolicyResult signerCategory]
00000001a76d9c10 (__TEXT,__text) non-external -[BundleData .cxx_destruct]
00000001a76d93a8 (__TEXT,__text) non-external -[BundleData dealloc]
00000001a76e8c90 (__TEXT,__text) non-external -[BundleData dealloc].cold.1
00000001a76d987c (__TEXT,__text) non-external -[BundleData doReload]
00000001a76d9be4 (__TEXT,__text) non-external -[BundleData forceReload]
00000001a76d9444 (__TEXT,__text) non-external -[BundleData initWithURL:withReloadBlock:watchForUpdates:]
00000001a76d938c (__TEXT,__text) non-external -[BundleData init]
00000001a76d9bf0 (__TEXT,__text) non-external -[BundleData isSigned]
00000001a76d98d8 (__TEXT,__text) non-external -[BundleData loadInternalData:]
00000001a76d9b78 (__TEXT,__text) non-external -[BundleData reloadIfNecessary]
00000001a76d959c (__TEXT,__text) non-external -[BundleData setupFSStream]
00000001a76e8d0c (__TEXT,__text) non-external -[BundleData setupFSStream].cold.1
00000001a76e8d88 (__TEXT,__text) non-external -[BundleData setupFSStream].cold.2
00000001a76d9c08 (__TEXT,__text) non-external -[BundleData timestamp]
00000001a76d9be8 (__TEXT,__text) non-external -[BundleData url]
00000001a76d9c00 (__TEXT,__text) non-external -[BundleData versionNumber]
00000001a76d9bf8 (__TEXT,__text) non-external -[BundleData version]
00000001a76e6e9c (__TEXT,__text) non-external -[GKScanResult .cxx_destruct]
00000001a76e6e78 (__TEXT,__text) non-external -[GKScanResult allowed]
00000001a76e6dec (__TEXT,__text) non-external -[GKScanResult encodeWithCoder:]
00000001a76e6e88 (__TEXT,__text) non-external -[GKScanResult gkError]
00000001a76e6d3c (__TEXT,__text) non-external -[GKScanResult initWithCoder:]
00000001a76e6e80 (__TEXT,__text) non-external -[GKScanResult setAllowed:]
00000001a76e6e90 (__TEXT,__text) non-external -[GKScanResult setGkError:]
00000001a76e6328 (__TEXT,__text) non-external -[NSData(Strings) hexString]
00000001a76d5900 (__TEXT,__text) non-external -[PolicyCacheMeta .cxx_destruct]
00000001a76d58c8 (__TEXT,__text) non-external -[PolicyCacheMeta forEntry]
00000001a76d58b4 (__TEXT,__text) non-external -[PolicyCacheMeta lastMiss]
00000001a76d588c (__TEXT,__text) non-external -[PolicyCacheMeta metaId]
00000001a76d58a0 (__TEXT,__text) non-external -[PolicyCacheMeta missCount]
00000001a76d58ec (__TEXT,__text) non-external -[PolicyCacheMeta resolvedEntry]
00000001a76d58d0 (__TEXT,__text) non-external -[PolicyCacheMeta setForEntry:]
00000001a76d58bc (__TEXT,__text) non-external -[PolicyCacheMeta setLastMiss:]
00000001a76d5894 (__TEXT,__text) non-external -[PolicyCacheMeta setMetaId:]
00000001a76d58a8 (__TEXT,__text) non-external -[PolicyCacheMeta setMissCount:]
00000001a76d58f4 (__TEXT,__text) non-external -[PolicyCacheMeta setResolvedEntry:]
00000001a76d58e4 (__TEXT,__text) non-external -[PolicyCacheMeta setSourceTable:]
00000001a76d58dc (__TEXT,__text) non-external -[PolicyCacheMeta sourceTable]
00000001a76e5850 (__TEXT,__text) non-external -[PolicyScanTarget .cxx_destruct]
00000001a76e54d0 (__TEXT,__text) non-external -[PolicyScanTarget backingStore]
00000001a76e5760 (__TEXT,__text) non-external -[PolicyScanTarget blockDevice]
00000001a76e48d4 (__TEXT,__text) non-external -[PolicyScanTarget bundleID]
00000001a76e4990 (__TEXT,__text) non-external -[PolicyScanTarget bundleVersion]
00000001a76e4d14 (__TEXT,__text) non-external -[PolicyScanTarget cdhashData]
00000001a76e4db0 (__TEXT,__text) non-external -[PolicyScanTarget cdhashDigestAlgorithm]
00000001a76e4c50 (__TEXT,__text) non-external -[PolicyScanTarget cdhash]
00000001a76e5788 (__TEXT,__text) non-external -[PolicyScanTarget checkValidity]
00000001a76e56b4 (__TEXT,__text) non-external -[PolicyScanTarget csflags]
00000001a76ea288 (__TEXT,__text) non-external -[PolicyScanTarget csflags].cold.1
00000001a76e4128 (__TEXT,__text) non-external -[PolicyScanTarget dealloc]
00000001a76e51c8 (__TEXT,__text) non-external -[PolicyScanTarget description]
00000001a76e4bc4 (__TEXT,__text) non-external -[PolicyScanTarget entitlements]
00000001a76e5770 (__TEXT,__text) non-external -[PolicyScanTarget fsTypeName]
00000001a76e57a0 (__TEXT,__text) non-external -[PolicyScanTarget hasBadAppWrapperSymlink]
00000001a76e545c (__TEXT,__text) non-external -[PolicyScanTarget hasPowerfulEntitlements]
00000001a76e53ec (__TEXT,__text) non-external -[PolicyScanTarget hasResourceDirectorySlot]
00000001a76e4aa8 (__TEXT,__text) non-external -[PolicyScanTarget infoPlist]
00000001a76e418c (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:]
00000001a76e9f6c (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.1
00000001a76e9ffc (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.2
00000001a76ea07c (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.3
00000001a76ea0c0 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.4
00000001a76ea104 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.5
00000001a76ea184 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.6
00000001a76e410c (__TEXT,__text) non-external -[PolicyScanTarget init]
00000001a76e5798 (__TEXT,__text) non-external -[PolicyScanTarget isAppWrapper]
00000001a76e57d0 (__TEXT,__text) non-external -[PolicyScanTarget isBundled]
00000001a76e5818 (__TEXT,__text) non-external -[PolicyScanTarget isMovedToTrash]
00000001a76e5010 (__TEXT,__text) non-external -[PolicyScanTarget isNotarized]
00000001a76ea210 (__TEXT,__text) non-external -[PolicyScanTarget isNotarized].cold.1
00000001a76e57b8 (__TEXT,__text) non-external -[PolicyScanTarget isQuarantinedMount]
00000001a76e4f88 (__TEXT,__text) non-external -[PolicyScanTarget isQuarantined]
00000001a76e57c0 (__TEXT,__text) non-external -[PolicyScanTarget isScript]
00000001a76e4fcc (__TEXT,__text) non-external -[PolicyScanTarget isUserApproved]
00000001a76e4838 (__TEXT,__text) non-external -[PolicyScanTarget mainExecutableURL]
00000001a76e5780 (__TEXT,__text) non-external -[PolicyScanTarget modTime]
00000001a76e5810 (__TEXT,__text) non-external -[PolicyScanTarget mountTime]
00000001a76e5768 (__TEXT,__text) non-external -[PolicyScanTarget objectID]
00000001a76e5748 (__TEXT,__text) non-external -[PolicyScanTarget originalURL]
00000001a76e5758 (__TEXT,__text) non-external -[PolicyScanTarget pathOnVolume]
00000001a76e57f8 (__TEXT,__text) non-external -[PolicyScanTarget pid]
00000001a76e50d4 (__TEXT,__text) non-external -[PolicyScanTarget redactedDescription]
00000001a76e5260 (__TEXT,__text) non-external -[PolicyScanTarget reloadSigningInfo]
00000001a76e57f0 (__TEXT,__text) non-external -[PolicyScanTarget setBackingStore:]
00000001a76e5790 (__TEXT,__text) non-external -[PolicyScanTarget setCheckValidity:]
00000001a76e5808 (__TEXT,__text) non-external -[PolicyScanTarget setCsflags:]
00000001a76e57e8 (__TEXT,__text) non-external -[PolicyScanTarget setHasPowerfulEntitlements:]
00000001a76e57e0 (__TEXT,__text) non-external -[PolicyScanTarget setHasResourceDirectorySlot:]
00000001a76e57d8 (__TEXT,__text) non-external -[PolicyScanTarget setIsBundled:]
00000001a76e5820 (__TEXT,__text) non-external -[PolicyScanTarget setIsMovedToTrash:]
00000001a76e57c8 (__TEXT,__text) non-external -[PolicyScanTarget setIsScript:]
00000001a76e5800 (__TEXT,__text) non-external -[PolicyScanTarget setPid:]
00000001a76e5830 (__TEXT,__text) non-external -[PolicyScanTarget setTrashedURL:]
00000001a76e57b0 (__TEXT,__text) non-external -[PolicyScanTarget setTriggeredByLibraryLoad:]
00000001a76e5844 (__TEXT,__text) non-external -[PolicyScanTarget setValidationCategory:]
00000001a76e4eec (__TEXT,__text) non-external -[PolicyScanTarget signingID]
00000001a76e4b88 (__TEXT,__text) non-external -[PolicyScanTarget signingInfo]
00000001a76e4ae0 (__TEXT,__text) non-external -[PolicyScanTarget staticCodeRef]
00000001a76e4e50 (__TEXT,__text) non-external -[PolicyScanTarget teamID]
00000001a76e52b0 (__TEXT,__text) non-external -[PolicyScanTarget trashedMainExe]
00000001a76e5828 (__TEXT,__text) non-external -[PolicyScanTarget trashedURL]
00000001a76e57a8 (__TEXT,__text) non-external -[PolicyScanTarget triggeredByLibraryLoad]
00000001a76e5740 (__TEXT,__text) non-external -[PolicyScanTarget url]
00000001a76e583c (__TEXT,__text) non-external -[PolicyScanTarget validationCategory]
00000001a76e5778 (__TEXT,__text) non-external -[PolicyScanTarget volumePath]
00000001a76e5750 (__TEXT,__text) non-external -[PolicyScanTarget volumeUUID]
00000001a76d30b4 (__TEXT,__text) non-external -[ProvenanceEntry .cxx_destruct]
00000001a76d2c68 (__TEXT,__text) non-external -[ProvenanceEntry attributes]
00000001a76d30a0 (__TEXT,__text) non-external -[ProvenanceEntry bundleID]
00000001a76d308c (__TEXT,__text) non-external -[ProvenanceEntry cdhash]
00000001a76d2eb0 (__TEXT,__text) non-external -[ProvenanceEntry createMetadata]
00000001a76d2ddc (__TEXT,__text) non-external -[ProvenanceEntry description]
00000001a76d3028 (__TEXT,__text) non-external -[ProvenanceEntry flags]
00000001a76d2cec (__TEXT,__text) non-external -[ProvenanceEntry redactedDescription]
00000001a76d303c (__TEXT,__text) non-external -[ProvenanceEntry rootID]
00000001a76d30a8 (__TEXT,__text) non-external -[ProvenanceEntry setBundleID:]
00000001a76d3094 (__TEXT,__text) non-external -[ProvenanceEntry setCdhash:]
00000001a76d3030 (__TEXT,__text) non-external -[ProvenanceEntry setFlags:]
00000001a76d3044 (__TEXT,__text) non-external -[ProvenanceEntry setRootID:]
00000001a76d3080 (__TEXT,__text) non-external -[ProvenanceEntry setSigningID:]
00000001a76d306c (__TEXT,__text) non-external -[ProvenanceEntry setTeamID:]
00000001a76d301c (__TEXT,__text) non-external -[ProvenanceEntry setUniqueID:]
00000001a76d3058 (__TEXT,__text) non-external -[ProvenanceEntry setUrl:]
00000001a76d3078 (__TEXT,__text) non-external -[ProvenanceEntry signingID]
00000001a76d3064 (__TEXT,__text) non-external -[ProvenanceEntry teamID]
00000001a76d3014 (__TEXT,__text) non-external -[ProvenanceEntry uniqueID]
00000001a76d3050 (__TEXT,__text) non-external -[ProvenanceEntry url]
00000001a76e7668 (__TEXT,__text) non-external -[SPBundleProtection .cxx_destruct]
00000001a76e7538 (__TEXT,__text) non-external -[SPBundleProtection dealloc]
00000001a76e7484 (__TEXT,__text) non-external -[SPBundleProtection init]
00000001a76e7584 (__TEXT,__text) non-external -[SPBundleProtection sendMetricFromTCCWithURL:withPID:withError:]
00000001a76e7cf8 (__TEXT,__text) non-external -[SPDeveloperPolicy .cxx_destruct]
00000001a76e7c84 (__TEXT,__text) non-external -[SPDeveloperPolicy createLocalDevelopmentCertificateForUser:error:]
00000001a76e7b4c (__TEXT,__text) non-external -[SPDeveloperPolicy dealloc]
00000001a76e7a98 (__TEXT,__text) non-external -[SPDeveloperPolicy init]
00000001a76e7b98 (__TEXT,__text) non-external -[SPDeveloperPolicy isDeveloperModeEnabled]
00000001a76e7c6c (__TEXT,__text) non-external -[SPDeveloperPolicy isDeveloperToolEnvironmentWithError:]
00000001a76e7ce8 (__TEXT,__text) non-external -[SPDeveloperPolicy registerDevelopmentTeamWithIdentifier:error:]
00000001a76e7ce0 (__TEXT,__text) non-external -[SPDeveloperPolicy removeLocalDevelopmentCertificateForUser:error:]
00000001a76e7bb4 (__TEXT,__text) non-external -[SPDeveloperPolicy setDeveloperModeEnabled:error:]
00000001a76e7cf0 (__TEXT,__text) non-external -[SPDeveloperPolicy unregisterDevelopmentTeamWithIdentifier:error:]
00000001a76dbd98 (__TEXT,__text) non-external -[SPExecutionHistoryItem .cxx_destruct]
00000001a76dbd78 (__TEXT,__text) non-external -[SPExecutionHistoryItem cdHash]
00000001a76dbd88 (__TEXT,__text) non-external -[SPExecutionHistoryItem developerName]
00000001a76dbb90 (__TEXT,__text) non-external -[SPExecutionHistoryItem encodeWithCoder:]
00000001a76dbd58 (__TEXT,__text) non-external -[SPExecutionHistoryItem execPath]
00000001a76db97c (__TEXT,__text) non-external -[SPExecutionHistoryItem initWithCoder:]
00000001a76db668 (__TEXT,__text) non-external -[SPExecutionHistoryItem initWithExecPath:mmapPath:signingID:teamID:cdHash:responsiblePath:developerName:lasSeen:]
00000001a76db64c (__TEXT,__text) non-external -[SPExecutionHistoryItem init]
00000001a76dbd90 (__TEXT,__text) non-external -[SPExecutionHistoryItem lastSeen]
00000001a76dbd60 (__TEXT,__text) non-external -[SPExecutionHistoryItem mmapPath]
00000001a76dbd80 (__TEXT,__text) non-external -[SPExecutionHistoryItem responsiblePath]
00000001a76dbd68 (__TEXT,__text) non-external -[SPExecutionHistoryItem signingID]
00000001a76dbd70 (__TEXT,__text) non-external -[SPExecutionHistoryItem teamID]
00000001a76dedac (__TEXT,__text) non-external -[SPExecutionPolicy .cxx_destruct]
00000001a76de1e0 (__TEXT,__text) non-external -[SPExecutionPolicy addBlockedSoftwareOverride:error:]
00000001a76de0f0 (__TEXT,__text) non-external -[SPExecutionPolicy addGatekeeperUserIntent:error:]
00000001a76decdc (__TEXT,__text) non-external -[SPExecutionPolicy allowGatekeeperPolicy:error:]
00000001a76de084 (__TEXT,__text) non-external -[SPExecutionPolicy blockedExecutionPolicyItems]
00000001a76dde20 (__TEXT,__text) non-external -[SPExecutionPolicy connection]
00000001a76ddb74 (__TEXT,__text) non-external -[SPExecutionPolicy dealloc]
00000001a76ddd24 (__TEXT,__text) non-external -[SPExecutionPolicy doGatekeeperProgressUpdate:withTotal:]
00000001a76de3cc (__TEXT,__text) non-external -[SPExecutionPolicy getBlockedSoftwareOverride:error:]
00000001a76de8b4 (__TEXT,__text) non-external -[SPExecutionPolicy getGatekeeperInsightEnabled:]
00000001a76deb98 (__TEXT,__text) non-external -[SPExecutionPolicy getGatekeeperPolicyWithError:]
00000001a76de684 (__TEXT,__text) non-external -[SPExecutionPolicy getStrictGatekeeperEnabledForDomain:error:]
00000001a76ddaf4 (__TEXT,__text) non-external -[SPExecutionPolicy init]
00000001a76de4bc (__TEXT,__text) non-external -[SPExecutionPolicy isBlockedSoftware:error:]
00000001a76de984 (__TEXT,__text) non-external -[SPExecutionPolicy isFastGatekeeperOverrideModeEnabled]
00000001a76dec0c (__TEXT,__text) non-external -[SPExecutionPolicy isGatekeeperPolicyAllowed:error:]
00000001a76de078 (__TEXT,__text) non-external -[SPExecutionPolicy legacyExecutionHistory]
00000001a76de9d8 (__TEXT,__text) non-external -[SPExecutionPolicy logGatekeeperOverrideForURL:withError:]
00000001a76ddbc8 (__TEXT,__text) non-external -[SPExecutionPolicy myProgressHandler]
00000001a76ddbc0 (__TEXT,__text) non-external -[SPExecutionPolicy progressBlock]
00000001a76de2d0 (__TEXT,__text) non-external -[SPExecutionPolicy setBlockedSoftwareOverride:isEnabled:error:]
00000001a76de978 (__TEXT,__text) non-external -[SPExecutionPolicy setGatekeeperInsightDefault:]
00000001a76de754 (__TEXT,__text) non-external -[SPExecutionPolicy setGatekeeperInsightEnabled:error:]
00000001a76deac8 (__TEXT,__text) non-external -[SPExecutionPolicy setGatekeeperPolicy:error:]
00000001a76ddbf4 (__TEXT,__text) non-external -[SPExecutionPolicy setProgressHandler:]
00000001a76de5ac (__TEXT,__text) non-external -[SPExecutionPolicy setStrictGatekeeperEnabled:forDomain:error:]
00000001a76dad94 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) notifyInstalledContent:withInstallationType:error:]
00000001a76da5e8 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:]
00000001a76e8f5c (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.1
00000001a76e8fa0 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.2
00000001a76e9038 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.3
00000001a76e90b0 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.4
00000001a76e9148 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.5
00000001a76e918c (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.6
00000001a76e922c (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.7
00000001a76dae88 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperScan:withScanOptions:withProgressHandler:error:]
00000001a76da580 (__TEXT,__text) non-external -[SPExecutionPolicyItem .cxx_destruct]
00000001a76da578 (__TEXT,__text) non-external -[SPExecutionPolicyItem blockedReasonDescription]
00000001a76da558 (__TEXT,__text) non-external -[SPExecutionPolicyItem cdHash]
00000001a76da344 (__TEXT,__text) non-external -[SPExecutionPolicyItem encodeWithCoder:]
00000001a76da114 (__TEXT,__text) non-external -[SPExecutionPolicyItem initWithCoder:]
00000001a76d9fb4 (__TEXT,__text) non-external -[SPExecutionPolicyItem initWithItemPath:signingID:teamID:cdHash:needsApproval:needsOverride:knownMalware:blockedReasonDescription:]
00000001a76d9f98 (__TEXT,__text) non-external -[SPExecutionPolicyItem init]
00000001a76da540 (__TEXT,__text) non-external -[SPExecutionPolicyItem itemPath]
00000001a76da570 (__TEXT,__text) non-external -[SPExecutionPolicyItem knownMalware]
00000001a76da560 (__TEXT,__text) non-external -[SPExecutionPolicyItem needsApproval]
00000001a76da568 (__TEXT,__text) non-external -[SPExecutionPolicyItem needsOverride]
00000001a76da548 (__TEXT,__text) non-external -[SPExecutionPolicyItem signingID]
00000001a76da550 (__TEXT,__text) non-external -[SPExecutionPolicyItem teamID]
00000001a76e40c8 (__TEXT,__text) non-external -[SPInstallationPolicy .cxx_destruct]
00000001a76e3dc8 (__TEXT,__text) non-external -[SPInstallationPolicy canInstallPackage:withUserConsent:withHash:evaluateOnly:synchronousPrompt:error:]
00000001a76e3d7c (__TEXT,__text) non-external -[SPInstallationPolicy dealloc]
00000001a76e3cac (__TEXT,__text) non-external -[SPInstallationPolicy init]
00000001a76e3f28 (__TEXT,__text) non-external -[SPInstallationPolicy trustPackagePayload:withDestinationTarget:withHashMap:withUserConsent:error:]
00000001a76e3f14 (__TEXT,__text) non-external -[SPInstallationPolicy trustPackagePayload:withDestinationTarget:withUserConsent:error:]
00000001a76dbfc0 (__TEXT,__text) non-external -[SPKernelExtensionHistory .cxx_destruct]
00000001a76dbf58 (__TEXT,__text) non-external -[SPKernelExtensionHistory dealloc]
00000001a76dbe24 (__TEXT,__text) non-external -[SPKernelExtensionHistory init]
00000001a76dbfa4 (__TEXT,__text) non-external -[SPKernelExtensionHistory kernelExtensionHistory]
00000001a76e0d70 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem .cxx_destruct]
00000001a76e0d30 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem bundleID]
00000001a76e0d40 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem cdHash]
00000001a76e0b80 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem encodeWithCoder:]
00000001a76e09b8 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem initWithCoder:]
00000001a76e0838 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem initWithPath:teamID:bundleID:cdHash:isNotarized:isDeprecated:isUnsupported:isCodeless:lastUsed:]
00000001a76e081c (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem init]
00000001a76e0d60 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem isCodeless]
