000000018f91b6a0 (__TEXT,__const) non-external _KW_ANY
000000018f90ded8 (__TEXT,__text) non-external (was a private external) __INTERNAL_trim_to_complete_utf8_characters
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
000000018f9066d0 (__TEXT,__text) non-external _accountingDiffTolerated
000000018f91b424 (__TEXT,__text) non-external _accountingDiffTolerated.cold.1
000000018f90835c (__TEXT,__text) non-external _accountingGetCurrentAmplification
000000018f91b450 (__TEXT,__text) non-external _accountingGetCurrentAmplification.cold.1
000000018f9083a8 (__TEXT,__text) non-external _accountingReportStats
000000018f90a94c (__TEXT,__text) non-external _addBinding
000000018f91caf1 (__TEXT,__cstring) non-external _addBinding.xmlNamespace
000000018f91cb16 (__TEXT,__cstring) non-external _addBinding.xmlnsNamespace
000000018f90ae38 (__TEXT,__text) non-external _appendAttributeValue
                 (undefined) external _arc4random_buf (from libSystem)
00000001ebd02bd0 (__AUTH_CONST,__const) non-external _ascii_encoding
00000001ebd034e0 (__AUTH_CONST,__const) non-external _ascii_encoding_ns
000000018f91711c (__TEXT,__text) non-external _ascii_toUtf8
000000018f90c604 (__TEXT,__text) non-external _attlist0
000000018f90cff0 (__TEXT,__text) non-external _attlist1
000000018f90d094 (__TEXT,__text) non-external _attlist2
00000001e431a050 (__DATA_CONST,__const) non-external _attlist2.types
000000018f90d354 (__TEXT,__text) non-external _attlist3
000000018f90d4e8 (__TEXT,__text) non-external _attlist4
000000018f90d300 (__TEXT,__text) non-external _attlist5
000000018f90d41c (__TEXT,__text) non-external _attlist6
000000018f90d47c (__TEXT,__text) non-external _attlist7
000000018f90d1c0 (__TEXT,__text) non-external _attlist8
000000018f90d3bc (__TEXT,__text) non-external _attlist9
000000018f91890c (__TEXT,__text) non-external _big2_attributeValueTok
000000018f91849c (__TEXT,__text) non-external _big2_cdataSectionTok
000000018f919150 (__TEXT,__text) non-external _big2_charRefNumber
000000018f91a530 (__TEXT,__text) non-external _big2_checkPiTarget
000000018f917948 (__TEXT,__text) non-external _big2_contentTok
00000001ebd02830 (__AUTH_CONST,__const) non-external _big2_encoding
00000001ebd03140 (__AUTH_CONST,__const) non-external _big2_encoding_ns
000000018f918a78 (__TEXT,__text) non-external _big2_entityValueTok
000000018f918d2c (__TEXT,__text) non-external _big2_getAtts
000000018f91873c (__TEXT,__text) non-external _big2_ignoreSectionTok
000000018f919484 (__TEXT,__text) non-external _big2_isPublicId
000000018f918c48 (__TEXT,__text) non-external _big2_nameLength
000000018f918bfc (__TEXT,__text) non-external _big2_nameMatchesAscii
000000018f919228 (__TEXT,__text) non-external _big2_predefinedEntityName
000000018f917168 (__TEXT,__text) non-external _big2_prologTok
000000018f91a900 (__TEXT,__text) non-external _big2_scanAtts
000000018f91bde3 (__TEXT,__const) non-external _big2_scanCdataSection.CDATA_LSQB
000000018f91a394 (__TEXT,__text) non-external _big2_scanComment
000000018f9198d0 (__TEXT,__text) non-external _big2_scanDecl
000000018f919754 (__TEXT,__text) non-external _big2_scanLit
000000018f919ec0 (__TEXT,__text) non-external _big2_scanPercent
000000018f919a5c (__TEXT,__text) non-external _big2_scanPi
000000018f91a130 (__TEXT,__text) non-external _big2_scanPoundName
000000018f91a5cc (__TEXT,__text) non-external _big2_scanRef
000000018f918ce8 (__TEXT,__text) non-external _big2_skipS
000000018f9196cc (__TEXT,__text) non-external _big2_toUtf16
000000018f919538 (__TEXT,__text) non-external _big2_toUtf8
000000018f919380 (__TEXT,__text) non-external _big2_updatePosition
                 (undefined) external _bzero (from libSystem)
000000018f904570 (__TEXT,__text) non-external _callProcessor
000000018f90a754 (__TEXT,__text) non-external _cdataSectionProcessor
000000018f90e320 (__TEXT,__text) non-external _checkCharRefNumber
000000018f90cc44 (__TEXT,__text) non-external _condSect0
000000018f90cd20 (__TEXT,__text) non-external _condSect1
000000018f90cd90 (__TEXT,__text) non-external _condSect2
000000018f907054 (__TEXT,__text) non-external _contentProcessor
000000018f90bc74 (__TEXT,__text) non-external _copyEntityTable
000000018f90313c (__TEXT,__text) non-external _copyString
000000018f90cac4 (__TEXT,__text) non-external _declClose
000000018f9073ec (__TEXT,__text) non-external _defineAttribute
000000018f90a470 (__TEXT,__text) non-external _doCdataSection
000000018f90875c (__TEXT,__text) non-external _doContent
000000018f907bfc (__TEXT,__text) non-external _doIgnoreSection
000000018f90e7b8 (__TEXT,__text) non-external _doParseXmlDecl
000000018f904ec8 (__TEXT,__text) non-external _doProlog
000000018f91b59b (__TEXT,__const) non-external _doProlog.atypeCDATA
000000018f91b5b8 (__TEXT,__const) non-external _doProlog.atypeENTITIES
000000018f91b5b1 (__TEXT,__const) non-external _doProlog.atypeENTITY
000000018f91b5a1 (__TEXT,__const) non-external _doProlog.atypeID
000000018f91b5a4 (__TEXT,__const) non-external _doProlog.atypeIDREF
000000018f91b5aa (__TEXT,__const) non-external _doProlog.atypeIDREFS
000000018f91b5c1 (__TEXT,__const) non-external _doProlog.atypeNMTOKEN
000000018f91b5c9 (__TEXT,__const) non-external _doProlog.atypeNMTOKENS
000000018f91b3f8 (__TEXT,__text) non-external _doProlog.cold.1
000000018f91c9e6 (__TEXT,__cstring) non-external _doProlog.enumValueSep
000000018f91c9e8 (__TEXT,__cstring) non-external _doProlog.enumValueStart
000000018f91c9dc (__TEXT,__cstring) non-external _doProlog.notationPrefix
000000018f90c0b0 (__TEXT,__text) non-external _doctype0
000000018f90c11c (__TEXT,__text) non-external _doctype1
000000018f90c534 (__TEXT,__text) non-external _doctype2
000000018f90c4d4 (__TEXT,__text) non-external _doctype3
000000018f90de5c (__TEXT,__text) non-external _doctype4
000000018f90c72c (__TEXT,__text) non-external _doctype5
000000018f90c668 (__TEXT,__text) non-external _element0
000000018f90d554 (__TEXT,__text) non-external _element1
000000018f90d678 (__TEXT,__text) non-external _element2
000000018f90d7dc (__TEXT,__text) non-external _element3
000000018f90db30 (__TEXT,__text) non-external _element4
000000018f90db94 (__TEXT,__text) non-external _element5
000000018f90d88c (__TEXT,__text) non-external _element6
000000018f90d9ac (__TEXT,__text) non-external _element7
00000001e431a0c0 (__DATA_CONST,__const) non-external _encodings
00000001e431a0f8 (__DATA_CONST,__const) non-external _encodingsNS
000000018f90c594 (__TEXT,__text) non-external _entity0
000000018f90c78c (__TEXT,__text) non-external _entity1
000000018f90cb38 (__TEXT,__text) non-external _entity10
000000018f90c7ec (__TEXT,__text) non-external _entity2
000000018f90ce50 (__TEXT,__text) non-external _entity3
000000018f90cdf0 (__TEXT,__text) non-external _entity4
000000018f90ceb0 (__TEXT,__text) non-external _entity5
000000018f90cf88 (__TEXT,__text) non-external _entity6
000000018f90c8f8 (__TEXT,__text) non-external _entity7
000000018f90ca64 (__TEXT,__text) non-external _entity8
000000018f90ca04 (__TEXT,__text) non-external _entity9
000000018f908128 (__TEXT,__text) non-external _entityTrackingOnOpen
000000018f90b534 (__TEXT,__text) non-external _entityTrackingReportStats
000000018f91b47c (__TEXT,__text) non-external _entityTrackingReportStats.cold.1
000000018f90b85c (__TEXT,__text) non-external _entityValueInitProcessor
000000018f90bb40 (__TEXT,__text) non-external _entityValueProcessor
000000018f90a26c (__TEXT,__text) non-external _epilogProcessor
000000018f90c114 (__TEXT,__text) non-external _error
000000018f904658 (__TEXT,__text) non-external _errorProcessor
000000018f90add4 (__TEXT,__text) non-external _externalEntityContentProcessor
000000018f903b50 (__TEXT,__text) non-external _externalEntityInitProcessor
000000018f90b630 (__TEXT,__text) non-external _externalEntityInitProcessor2
000000018f90b74c (__TEXT,__text) non-external _externalEntityInitProcessor3
000000018f903bcc (__TEXT,__text) non-external _externalParEntInitProcessor
000000018f90ba0c (__TEXT,__text) non-external _externalParEntProcessor
000000018f90bf88 (__TEXT,__text) non-external _externalSubset0
000000018f90cbb4 (__TEXT,__text) non-external _externalSubset1
000000018f90eab0 (__TEXT,__text) non-external _findEncoding
000000018f90ecec (__TEXT,__text) non-external _findEncodingNS
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _free (from libSystem)
000000018f90a208 (__TEXT,__text) non-external _freeBindings
                 (undefined) external _fwrite (from libSystem)
000000018f91b598 (__TEXT,__const) non-external (was a private external) _g_reparseDeferralEnabledDefault
000000018f907148 (__TEXT,__text) non-external _getAttributeId
000000018f909464 (__TEXT,__text) non-external _getContext
000000018f904c24 (__TEXT,__text) non-external _getDebugLevel
000000018f9070b8 (__TEXT,__text) non-external _getElementType
000000018f90e6ac (__TEXT,__text) non-external _getEncodingIndex
00000001e431a090 (__DATA_CONST,__const) non-external _getEncodingIndex.encodingNames
                 (undefined) external _getenv (from libSystem)
000000018f904dbc (__TEXT,__text) non-external _handleUnknownEncoding
000000018f908420 (__TEXT,__text) non-external _hash
000000018f90bc08 (__TEXT,__text) non-external _hashTableDestroy
000000018f907da0 (__TEXT,__text) non-external _ignoreSectionProcessor
000000018f91b5d2 (__TEXT,__const) non-external _implicitContext
000000018f916f24 (__TEXT,__text) non-external _initScan
000000018f90e730 (__TEXT,__text) non-external _initScanContent
000000018f90ec70 (__TEXT,__text) non-external _initScanContentNS
000000018f90e710 (__TEXT,__text) non-external _initScanProlog
000000018f90ec50 (__TEXT,__text) non-external _initScanPrologNS
000000018f90e750 (__TEXT,__text) non-external _initUpdatePosition
000000018f904cb0 (__TEXT,__text) non-external _initializeEncoding
000000018f90b2d8 (__TEXT,__text) non-external _internalEntityProcessor
000000018f90c234 (__TEXT,__text) non-external _internalSubset
00000001ebd020f0 (__AUTH_CONST,__const) non-external _internal_little2_encoding
00000001ebd02490 (__AUTH_CONST,__const) non-external _internal_little2_encoding_ns
00000001ebd01f20 (__AUTH_CONST,__const) non-external _internal_utf8_encoding
00000001ebd022c0 (__AUTH_CONST,__const) non-external _internal_utf8_encoding_ns
000000018f912f28 (__TEXT,__text) non-external _isNever
00000001ebd01d50 (__AUTH_CONST,__const) non-external _latin1_encoding
00000001ebd02da0 (__AUTH_CONST,__const) non-external _latin1_encoding_ns
000000018f911540 (__TEXT,__text) non-external _latin1_toUtf16
000000018f9114a8 (__TEXT,__text) non-external _latin1_toUtf8
000000018f914848 (__TEXT,__text) non-external _little2_attributeValueTok
000000018f9143d8 (__TEXT,__text) non-external _little2_cdataSectionTok
000000018f91509c (__TEXT,__text) non-external _little2_charRefNumber
000000018f916474 (__TEXT,__text) non-external _little2_checkPiTarget
000000018f9138c4 (__TEXT,__text) non-external _little2_contentTok
00000001ebd02a00 (__AUTH_CONST,__const) non-external _little2_encoding
00000001ebd03310 (__AUTH_CONST,__const) non-external _little2_encoding_ns
000000018f9149b4 (__TEXT,__text) non-external _little2_entityValueTok
000000018f914c78 (__TEXT,__text) non-external _little2_getAtts
000000018f914678 (__TEXT,__text) non-external _little2_ignoreSectionTok
000000018f9153d0 (__TEXT,__text) non-external _little2_isPublicId
000000018f914b84 (__TEXT,__text) non-external _little2_nameLength
000000018f914b38 (__TEXT,__text) non-external _little2_nameMatchesAscii
000000018f915174 (__TEXT,__text) non-external _little2_predefinedEntityName
000000018f9130e4 (__TEXT,__text) non-external _little2_prologTok
000000018f916840 (__TEXT,__text) non-external _little2_scanAtts
000000018f9162d8 (__TEXT,__text) non-external _little2_scanComment
000000018f915818 (__TEXT,__text) non-external _little2_scanDecl
000000018f91569c (__TEXT,__text) non-external _little2_scanLit
000000018f915e00 (__TEXT,__text) non-external _little2_scanPercent
000000018f9159a4 (__TEXT,__text) non-external _little2_scanPi
000000018f916074 (__TEXT,__text) non-external _little2_scanPoundName
000000018f916510 (__TEXT,__text) non-external _little2_scanRef
000000018f914c24 (__TEXT,__text) non-external _little2_skipS
000000018f915618 (__TEXT,__text) non-external _little2_toUtf16
000000018f915484 (__TEXT,__text) non-external _little2_toUtf8
000000018f9152cc (__TEXT,__text) non-external _little2_updatePosition
000000018f906c74 (__TEXT,__text) non-external _lookup
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
000000018f91bcb0 (__TEXT,__const) non-external _namePages
000000018f91b6b0 (__TEXT,__const) non-external _namingBitmap
000000018f907e50 (__TEXT,__text) non-external _nextScaffoldPart
000000018f91bbb0 (__TEXT,__const) non-external _nmstrtPages
000000018f910a80 (__TEXT,__text) non-external _normal_attributeValueTok
000000018f9105dc (__TEXT,__text) non-external _normal_cdataSectionTok
000000018f911150 (__TEXT,__text) non-external _normal_charRefNumber
000000018f9121a4 (__TEXT,__text) non-external _normal_checkPiTarget
000000018f90f94c (__TEXT,__text) non-external _normal_contentTok
000000018f910bec (__TEXT,__text) non-external _normal_entityValueTok
000000018f910e18 (__TEXT,__text) non-external _normal_getAtts
000000018f91089c (__TEXT,__text) non-external _normal_ignoreSectionTok
000000018f9113fc (__TEXT,__text) non-external _normal_isPublicId
000000018f910d90 (__TEXT,__text) non-external _normal_nameLength
000000018f910d4c (__TEXT,__text) non-external _normal_nameMatchesAscii
000000018f911224 (__TEXT,__text) non-external _normal_predefinedEntityName
000000018f90ee1c (__TEXT,__text) non-external _normal_prologTok
000000018f912594 (__TEXT,__text) non-external _normal_scanAtts
000000018f911ff4 (__TEXT,__text) non-external _normal_scanComment
000000018f911754 (__TEXT,__text) non-external _normal_scanDecl
000000018f911594 (__TEXT,__text) non-external _normal_scanLit
000000018f911d2c (__TEXT,__text) non-external _normal_scanPercent
000000018f9118bc (__TEXT,__text) non-external _normal_scanPi
000000018f912228 (__TEXT,__text) non-external _normal_scanRef
000000018f910ddc (__TEXT,__text) non-external _normal_skipS
000000018f91130c (__TEXT,__text) non-external _normal_updatePosition
000000018f90b5d8 (__TEXT,__text) non-external _normalizeLines
000000018f906fcc (__TEXT,__text) non-external _normalizePublicId
000000018f90c6cc (__TEXT,__text) non-external _notation0
000000018f90dc14 (__TEXT,__text) non-external _notation1
000000018f90dd58 (__TEXT,__text) non-external _notation2
000000018f90dcf0 (__TEXT,__text) non-external _notation3
000000018f90ddb8 (__TEXT,__text) non-external _notation4
000000018f91afc0 (__TEXT,__text) non-external _parsePseudoAttribute
000000018f902978 (__TEXT,__text) non-external _parserCreate
000000018f902f88 (__TEXT,__text) non-external _parserInit
000000018f907368 (__TEXT,__text) non-external _poolAppend
000000018f903dd0 (__TEXT,__text) non-external _poolCopyString
000000018f903c9c (__TEXT,__text) non-external _poolDestroy
000000018f90751c (__TEXT,__text) non-external _poolGrow
000000018f906c18 (__TEXT,__text) non-external _poolStoreString
000000018f907f58 (__TEXT,__text) non-external _processInternalEntity
000000018f9068fc (__TEXT,__text) non-external _processXmlDecl
000000018f90be54 (__TEXT,__text) non-external _prolog0
000000018f90bfac (__TEXT,__text) non-external _prolog1
000000018f90c41c (__TEXT,__text) non-external _prolog2
000000018f904ba8 (__TEXT,__text) non-external _prologInitProcessor
000000018f904d34 (__TEXT,__text) non-external _prologProcessor
                 (undefined) external _realloc (from libSystem)
000000018f9082a4 (__TEXT,__text) non-external _reportComment
000000018f9049c4 (__TEXT,__text) non-external _reportDefault
000000018f908174 (__TEXT,__text) non-external _reportProcessingInstruction
000000018f903684 (__TEXT,__text) non-external _setContext
000000018f90a850 (__TEXT,__text) non-external _setElementTypePrefix
000000018f908604 (__TEXT,__text) non-external _sip24_final
000000018f908510 (__TEXT,__text) non-external _sip24_update
000000018f908710 (__TEXT,__text) non-external _sip_round
000000018f904124 (__TEXT,__text) non-external _startParsing
000000018f9076d8 (__TEXT,__text) non-external _storeAttributeValue
000000018f9097a4 (__TEXT,__text) non-external _storeAtts
000000018f907768 (__TEXT,__text) non-external _storeEntityValue
000000018f909378 (__TEXT,__text) non-external _storeRawNames
000000018f916ecc (__TEXT,__text) non-external _streqci
                 (undefined) external _strtoul (from libSystem)
000000018f904b7c (__TEXT,__text) non-external (was a private external) _testingAccountingGetCountBytesDirect
000000018f904b88 (__TEXT,__text) non-external (was a private external) _testingAccountingGetCountBytesIndirect
000000018f90e42c (__TEXT,__text) non-external _unknown_isInvalid
000000018f90e36c (__TEXT,__text) non-external _unknown_isName
000000018f90e3cc (__TEXT,__text) non-external _unknown_isNmstrt
000000018f90e558 (__TEXT,__text) non-external _unknown_toUtf16
000000018f90e460 (__TEXT,__text) non-external _unknown_toUtf8
000000018f904b94 (__TEXT,__text) non-external (was a private external) _unsignedCharToPrintable
00000001ebd02660 (__AUTH_CONST,__const) non-external _utf8_encoding
00000001ebd02f70 (__AUTH_CONST,__const) non-external _utf8_encoding_ns
000000018f912fb8 (__TEXT,__text) non-external _utf8_isInvalid2
000000018f912fec (__TEXT,__text) non-external _utf8_isInvalid3
000000018f913078 (__TEXT,__text) non-external _utf8_isInvalid4
000000018f912ea0 (__TEXT,__text) non-external _utf8_isName2
000000018f912ee0 (__TEXT,__text) non-external _utf8_isName3
000000018f912f30 (__TEXT,__text) non-external _utf8_isNmstrt2
000000018f912f70 (__TEXT,__text) non-external _utf8_isNmstrt3
000000018f912d64 (__TEXT,__text) non-external _utf8_toUtf16
000000018f912cb4 (__TEXT,__text) non-external _utf8_toUtf8
