000000018e132980 (__TEXT,__const) non-external _SHA256_K
000000018e126a2c (__TEXT,__text) non-external _hash_append
000000018e1288ec (__TEXT,__text) non-external _hc_find_func
000000018e12e2d0 (__TEXT,__text) non-external _ia64_code
000000018e134bb8 (__TEXT,__const) non-external _ia64_code.BRANCH_TABLE
000000018e123914 (__TEXT,__text) non-external _index_cat_helper
000000018e12653c (__TEXT,__text) non-external _index_decode
000000018e126828 (__TEXT,__text) non-external _index_decoder_end
000000018e1262f8 (__TEXT,__text) non-external _index_decoder_init
000000018e12686c (__TEXT,__text) non-external _index_decoder_memconfig
000000018e122774 (__TEXT,__text) non-external _index_encode
000000018e12304c (__TEXT,__text) non-external _index_encoder_end
000000018e1230d0 (__TEXT,__text) non-external _index_stream_end
000000018e11cd30 (__TEXT,__text) non-external _index_tree_append
000000018e123050 (__TEXT,__text) non-external _index_tree_node_end
000000018e11dd94 (__TEXT,__text) non-external _is_options_valid
000000018e122b94 (__TEXT,__text) non-external _iter_set_info
000000018e122250 (__TEXT,__text) non-external _length
000000018e11ddec (__TEXT,__text) non-external _length_encoder_reset
000000018e11def0 (__TEXT,__text) non-external _length_update_prices
000000018e129314 (__TEXT,__text) non-external _lz_decode
000000018e1294d0 (__TEXT,__text) non-external _lz_decoder_end
000000018e11f05c (__TEXT,__text) non-external _lz_encode
000000018e122f90 (__TEXT,__text) non-external _lz_encoder_end
000000018e11e0a0 (__TEXT,__text) non-external _lz_encoder_prepare
000000018e1286d4 (__TEXT,__text) non-external _lz_encoder_update
000000018e12d258 (__TEXT,__text) non-external _lzma2_decode
000000018e12d564 (__TEXT,__text) non-external _lzma2_decoder_end
000000018e12d0d4 (__TEXT,__text) non-external _lzma2_decoder_init
000000018e11f260 (__TEXT,__text) non-external _lzma2_encode
000000018e123008 (__TEXT,__text) non-external _lzma2_encoder_end
000000018e11d950 (__TEXT,__text) non-external _lzma2_encoder_init
000000018e12d024 (__TEXT,__text) non-external _lzma2_encoder_options_update
000000018e12e818 (__TEXT,__const) non-external (was a private external) _lzma_5VersionNumber
000000018e12e7f0 (__TEXT,__const) non-external (was a private external) _lzma_5VersionString
000000018e11cbf0 (__TEXT,__text) non-external (was a private external) _lzma_alloc
000000018e1252d0 (__TEXT,__text) external _lzma_alone_decoder
000000018e124e9c (__TEXT,__text) non-external (was a private external) _lzma_alone_decoder_init
000000018e123d58 (__TEXT,__text) external _lzma_alone_encoder
000000018e125340 (__TEXT,__text) external _lzma_auto_decoder
000000018e1240ac (__TEXT,__text) external _lzma_block_buffer_bound
000000018e1256d4 (__TEXT,__text) external _lzma_block_buffer_decode
000000018e1240fc (__TEXT,__text) external _lzma_block_buffer_encode
000000018e12334c (__TEXT,__text) external _lzma_block_compressed_size
000000018e125bec (__TEXT,__text) external _lzma_block_decoder
000000018e12581c (__TEXT,__text) non-external (was a private external) _lzma_block_decoder_init
000000018e124660 (__TEXT,__text) external _lzma_block_encoder
000000018e11d2d0 (__TEXT,__text) non-external (was a private external) _lzma_block_encoder_init
000000018e125c58 (__TEXT,__text) external _lzma_block_header_decode
000000018e11ea00 (__TEXT,__text) external _lzma_block_header_encode
000000018e11d0cc (__TEXT,__text) external _lzma_block_header_size
000000018e1233c0 (__TEXT,__text) external _lzma_block_total_size
000000018e11eb64 (__TEXT,__text) external _lzma_block_unpadded_size
000000018e11e98c (__TEXT,__text) non-external (was a private external) _lzma_bufcpy
000000018e12799c (__TEXT,__text) non-external (was a private external) _lzma_check_finish
000000018e11d444 (__TEXT,__text) non-external (was a private external) _lzma_check_init
000000018e11d424 (__TEXT,__text) external _lzma_check_is_supported
000000018e12e940 (__TEXT,__const) non-external _lzma_check_is_supported.available_checks
000000018e122448 (__TEXT,__text) external _lzma_check_size
000000018e12e950 (__TEXT,__const) non-external _lzma_check_size.check_sizes
000000018e11fc0c (__TEXT,__text) non-external (was a private external) _lzma_check_update
000000018e11e4bc (__TEXT,__text) external _lzma_code
000000018e11ce50 (__TEXT,__text) external _lzma_crc32
000000018e12e960 (__TEXT,__const) non-external (was a private external) _lzma_crc32_table
000000018e1279d0 (__TEXT,__text) external _lzma_crc64
000000018e130960 (__TEXT,__const) non-external (was a private external) _lzma_crc64_table
000000018e129c48 (__TEXT,__text) non-external _lzma_decode
000000018e134ad8 (__TEXT,__const) non-external _lzma_decode.next_state
000000018e12cdb4 (__TEXT,__text) non-external _lzma_decoder_init
000000018e12cb10 (__TEXT,__text) non-external _lzma_decoder_reset
000000018e12cd98 (__TEXT,__text) non-external _lzma_decoder_uncompressed
000000018e12d5a8 (__TEXT,__text) non-external (was a private external) _lzma_delta_coder_init
000000018e12d6e0 (__TEXT,__text) non-external (was a private external) _lzma_delta_coder_memusage
000000018e12d8b0 (__TEXT,__text) non-external (was a private external) _lzma_delta_decoder_init
000000018e12d70c (__TEXT,__text) non-external (was a private external) _lzma_delta_encoder_init
000000018e12d960 (__TEXT,__text) non-external (was a private external) _lzma_delta_props_decode
000000018e12d868 (__TEXT,__text) non-external (was a private external) _lzma_delta_props_encode
000000018e1246cc (__TEXT,__text) external _lzma_easy_buffer_encode
000000018e125e88 (__TEXT,__text) external _lzma_easy_decoder_memusage
000000018e11c6e8 (__TEXT,__text) external _lzma_easy_encoder
000000018e12477c (__TEXT,__text) external _lzma_easy_encoder_memusage
000000018e11c754 (__TEXT,__text) non-external (was a private external) _lzma_easy_preset
000000018e12979c (__TEXT,__text) non-external _lzma_encode
000000018e129694 (__TEXT,__text) non-external _lzma_encoder_init
000000018e122e68 (__TEXT,__text) external _lzma_end
000000018e132ad8 (__TEXT,__const) non-external (was a private external) _lzma_fastpos
000000018e12606c (__TEXT,__text) external _lzma_filter_decoder_is_supported
000000018e1248dc (__TEXT,__text) external _lzma_filter_encoder_is_supported
000000018e1261c4 (__TEXT,__text) external _lzma_filter_flags_decode
000000018e11ebf4 (__TEXT,__text) external _lzma_filter_flags_encode
000000018e11d1cc (__TEXT,__text) external _lzma_filter_flags_size
000000018e11e33c (__TEXT,__text) external _lzma_filters_copy
000000018e124910 (__TEXT,__text) external _lzma_filters_update
000000018e12e916 (__TEXT,__const) non-external (was a private external) _lzma_footer_magic
000000018e11e318 (__TEXT,__text) non-external (was a private external) _lzma_free
000000018e123210 (__TEXT,__text) external _lzma_get_check
000000018e12e910 (__TEXT,__const) non-external (was a private external) _lzma_header_magic
000000018e122468 (__TEXT,__text) external _lzma_index_append
000000018e1229b0 (__TEXT,__text) external _lzma_index_block_count
000000018e126414 (__TEXT,__text) external _lzma_index_buffer_decode
000000018e124b28 (__TEXT,__text) external _lzma_index_buffer_encode
000000018e123714 (__TEXT,__text) external _lzma_index_cat
000000018e12361c (__TEXT,__text) external _lzma_index_checks
000000018e126284 (__TEXT,__text) external _lzma_index_decoder
000000018e123994 (__TEXT,__text) external _lzma_index_dup
000000018e124abc (__TEXT,__text) external _lzma_index_encoder
000000018e122684 (__TEXT,__text) non-external (was a private external) _lzma_index_encoder_init
000000018e11cc18 (__TEXT,__text) external _lzma_index_end
000000018e123594 (__TEXT,__text) external _lzma_index_file_size
000000018e12698c (__TEXT,__text) external _lzma_index_hash_append
000000018e126ae8 (__TEXT,__text) external _lzma_index_hash_decode
000000018e126950 (__TEXT,__text) external _lzma_index_hash_end
000000018e1268e0 (__TEXT,__text) external _lzma_index_hash_init
000000018e126954 (__TEXT,__text) external _lzma_index_hash_size
000000018e11cc7c (__TEXT,__text) external _lzma_index_init
000000018e12275c (__TEXT,__text) external _lzma_index_iter_init
000000018e123be8 (__TEXT,__text) external _lzma_index_iter_locate
000000018e1229b8 (__TEXT,__text) external _lzma_index_iter_next
000000018e123bd4 (__TEXT,__text) external _lzma_index_iter_rewind
000000018e123494 (__TEXT,__text) external _lzma_index_memusage
000000018e1234ec (__TEXT,__text) external _lzma_index_memused
000000018e122d4c (__TEXT,__text) non-external (was a private external) _lzma_index_padding_size
000000018e12347c (__TEXT,__text) non-external (was a private external) _lzma_index_prealloc
000000018e122d88 (__TEXT,__text) external _lzma_index_size
000000018e123540 (__TEXT,__text) external _lzma_index_stream_count
000000018e123648 (__TEXT,__text) external _lzma_index_stream_flags
000000018e1236a8 (__TEXT,__text) external _lzma_index_stream_padding
000000018e123550 (__TEXT,__text) external _lzma_index_stream_size
000000018e123548 (__TEXT,__text) external _lzma_index_total_size
000000018e123614 (__TEXT,__text) external _lzma_index_uncompressed_size
000000018e12917c (__TEXT,__text) non-external (was a private external) _lzma_lz_decoder_init
000000018e12953c (__TEXT,__text) non-external (was a private external) _lzma_lz_decoder_memusage
000000018e129548 (__TEXT,__text) non-external (was a private external) _lzma_lz_decoder_uncompressed
000000018e11d77c (__TEXT,__text) non-external (was a private external) _lzma_lz_encoder_init
000000018e128670 (__TEXT,__text) non-external (was a private external) _lzma_lz_encoder_memusage
000000018e12d0c0 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_decoder_init
000000018e12d1ac (__TEXT,__text) non-external (was a private external) _lzma_lzma2_decoder_memusage
000000018e11d768 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_encoder_init
000000018e12cfe8 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_encoder_memusage
000000018e12d1c8 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_props_decode
000000018e11edb8 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_props_encode
000000018e129bb0 (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_create
000000018e12cda0 (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_init
000000018e12cebc (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_memusage
000000018e12ce98 (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_memusage_nocheck
000000018e11f5d0 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encode
000000018e11da6c (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_create
000000018e129680 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_init
000000018e1296a8 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_memusage
000000018e11db9c (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_reset
000000018e12ce34 (__TEXT,__text) non-external (was a private external) _lzma_lzma_lclppb_decode
000000018e1223f8 (__TEXT,__text) non-external (was a private external) _lzma_lzma_lclppb_encode
000000018e1297b8 (__TEXT,__text) non-external (was a private external) _lzma_lzma_optimum_fast
000000018e1200c4 (__TEXT,__text) non-external (was a private external) _lzma_lzma_optimum_normal
000000018e11c79c (__TEXT,__text) external _lzma_lzma_preset
000000018e12cf14 (__TEXT,__text) non-external (was a private external) _lzma_lzma_props_decode
000000018e129730 (__TEXT,__text) non-external (was a private external) _lzma_lzma_props_encode
000000018e123288 (__TEXT,__text) external _lzma_memlimit_get
000000018e1232e4 (__TEXT,__text) external _lzma_memlimit_set
000000018e12322c (__TEXT,__text) external _lzma_memusage
000000018e128d5c (__TEXT,__text) non-external (was a private external) _lzma_mf_bt2_find
000000018e128e20 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt2_skip
000000018e128ec8 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt3_find
000000018e12905c (__TEXT,__text) non-external (was a private external) _lzma_mf_bt3_skip
000000018e121bec (__TEXT,__text) non-external (was a private external) _lzma_mf_bt4_find
000000018e11fca0 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt4_skip
000000018e121b14 (__TEXT,__text) non-external (was a private external) _lzma_mf_find
000000018e128768 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc3_find
000000018e1289a8 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc3_skip
000000018e128a68 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc4_find
000000018e128c7c (__TEXT,__text) non-external (was a private external) _lzma_mf_hc4_skip
000000018e12874c (__TEXT,__text) external _lzma_mf_is_supported
000000018e12978c (__TEXT,__text) external _lzma_mode_is_supported
000000018e11cb78 (__TEXT,__text) non-external (was a private external) _lzma_next_end
000000018e11d6dc (__TEXT,__text) non-external (was a private external) _lzma_next_filter_init
000000018e1231a4 (__TEXT,__text) non-external (was a private external) _lzma_next_filter_update
000000018e123478 (__TEXT,__text) external _lzma_physmem
000000018e126184 (__TEXT,__text) external _lzma_properties_decode
000000018e11ed78 (__TEXT,__text) external _lzma_properties_encode
000000018e11d240 (__TEXT,__text) external _lzma_properties_size
000000018e125ee0 (__TEXT,__text) external _lzma_raw_buffer_decode
000000018e1247d4 (__TEXT,__text) external _lzma_raw_buffer_encode
000000018e11d488 (__TEXT,__text) non-external (was a private external) _lzma_raw_coder_init
000000018e1233e8 (__TEXT,__text) non-external (was a private external) _lzma_raw_coder_memusage
000000018e1260ec (__TEXT,__text) external _lzma_raw_decoder
000000018e1260d4 (__TEXT,__text) non-external (was a private external) _lzma_raw_decoder_init
000000018e12616c (__TEXT,__text) external _lzma_raw_decoder_memusage
000000018e124a1c (__TEXT,__text) external _lzma_raw_encoder
000000018e11d470 (__TEXT,__text) non-external (was a private external) _lzma_raw_encoder_init
000000018e124a04 (__TEXT,__text) external _lzma_raw_encoder_memusage
000000018e134b10 (__TEXT,__const) non-external (was a private external) _lzma_rc_prices
000000018e128594 (__TEXT,__text) non-external (was a private external) _lzma_sha256_finish
000000018e127abc (__TEXT,__text) non-external (was a private external) _lzma_sha256_init
000000018e132960 (__TEXT,__const) non-external _lzma_sha256_init.s
000000018e127ad4 (__TEXT,__text) non-external (was a private external) _lzma_sha256_update
000000018e12e48c (__TEXT,__text) non-external (was a private external) _lzma_simple_arm_decoder_init
000000018e12e468 (__TEXT,__text) non-external (was a private external) _lzma_simple_arm_encoder_init
000000018e12e564 (__TEXT,__text) non-external (was a private external) _lzma_simple_armthumb_decoder_init
000000018e12e540 (__TEXT,__text) non-external (was a private external) _lzma_simple_armthumb_encoder_init
000000018e12d9c0 (__TEXT,__text) non-external (was a private external) _lzma_simple_coder_init
000000018e12e2ac (__TEXT,__text) non-external (was a private external) _lzma_simple_ia64_decoder_init
000000018e12e288 (__TEXT,__text) non-external (was a private external) _lzma_simple_ia64_encoder_init
000000018e12e1b0 (__TEXT,__text) non-external (was a private external) _lzma_simple_powerpc_decoder_init
000000018e12e18c (__TEXT,__text) non-external (was a private external) _lzma_simple_powerpc_encoder_init
000000018e12df00 (__TEXT,__text) non-external (was a private external) _lzma_simple_props_decode
000000018e12dee8 (__TEXT,__text) non-external (was a private external) _lzma_simple_props_encode
000000018e12dec0 (__TEXT,__text) non-external (was a private external) _lzma_simple_props_size
000000018e12e668 (__TEXT,__text) non-external (was a private external) _lzma_simple_sparc_decoder_init
000000018e12e644 (__TEXT,__text) non-external (was a private external) _lzma_simple_sparc_encoder_init
000000018e12dfe8 (__TEXT,__text) non-external (was a private external) _lzma_simple_x86_decoder_init
000000018e12df84 (__TEXT,__text) non-external (was a private external) _lzma_simple_x86_encoder_init
000000018e124c24 (__TEXT,__text) external _lzma_stream_buffer_bound
000000018e126e3c (__TEXT,__text) external _lzma_stream_buffer_decode
000000018e124c54 (__TEXT,__text) external _lzma_stream_buffer_encode
000000018e127678 (__TEXT,__text) external _lzma_stream_decoder
000000018e126fcc (__TEXT,__text) non-external (was a private external) _lzma_stream_decoder_init
000000018e11c8ec (__TEXT,__text) external _lzma_stream_encoder
000000018e11c9fc (__TEXT,__text) non-external (was a private external) _lzma_stream_encoder_init
000000018e123cb0 (__TEXT,__text) external _lzma_stream_flags_compare
000000018e1277a8 (__TEXT,__text) external _lzma_stream_footer_decode
000000018e122dc0 (__TEXT,__text) external _lzma_stream_footer_encode
000000018e1276ec (__TEXT,__text) external _lzma_stream_header_decode
000000018e11cdcc (__TEXT,__text) external _lzma_stream_header_encode
000000018e11c95c (__TEXT,__text) non-external (was a private external) _lzma_strm_init
000000018e12318c (__TEXT,__text) external _lzma_version_number
000000018e123198 (__TEXT,__text) external _lzma_version_string
000000018e127850 (__TEXT,__text) external _lzma_vli_decode
000000018e11ecc4 (__TEXT,__text) external _lzma_vli_encode
000000018e11d2ac (__TEXT,__text) external _lzma_vli_size
                 (undefined) external _malloc (from libSystem)
000000018e122000 (__TEXT,__text) non-external _match
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset_pattern16 (from libSystem)
000000018e11fe6c (__TEXT,__text) non-external _move_pos
000000018e12913c (__TEXT,__text) non-external _normalize
000000018e12e1d4 (__TEXT,__text) non-external _powerpc_code
000000018e127b60 (__TEXT,__text) non-external _process
000000018e11fea0 (__TEXT,__text) non-external _rc_encode
000000018e12db14 (__TEXT,__text) non-external _simple_code
000000018e12ddb0 (__TEXT,__text) non-external _simple_coder_end
000000018e12ddfc (__TEXT,__text) non-external _simple_coder_update
000000018e12e68c (__TEXT,__text) non-external _sparc_code
000000018e127134 (__TEXT,__text) non-external _stream_decode
000000018e1275e0 (__TEXT,__text) non-external _stream_decoder_end
000000018e127630 (__TEXT,__text) non-external _stream_decoder_get_check
000000018e127638 (__TEXT,__text) non-external _stream_decoder_memconfig
000000018e11e718 (__TEXT,__text) non-external _stream_encode
000000018e12e930 (__TEXT,__const) non-external _stream_encode.convert
000000018e122ec4 (__TEXT,__text) non-external _stream_encoder_end
000000018e11cf78 (__TEXT,__text) non-external _stream_encoder_update
                 (undefined) external _sysctl (from libSystem)
000000018e1230e4 (__TEXT,__text) non-external (was a private external) _tuklib_physmem
000000018e11d5e4 (__TEXT,__text) non-external _validate_chain
000000018e12dff0 (__TEXT,__text) non-external _x86_code
000000018e134b98 (__TEXT,__const) non-external _x86_code.MASK_TO_BIT_NUMBER
000000018e12df8c (__TEXT,__text) non-external _x86_coder_init
