00007fff2ab889f0 (__TEXT,__const) non-external _SHA256_K
00007fff2ab84301 (__TEXT,__text) non-external _ia64_code
00007fff2ab8ac00 (__TEXT,__const) non-external _ia64_code.BRANCH_TABLE
00007fff2ab79545 (__TEXT,__text) non-external _index_cat_helper
00007fff2ab7bd16 (__TEXT,__text) non-external _index_decode
00007fff2ab7c014 (__TEXT,__text) non-external _index_decoder_end
00007fff2ab7bb0b (__TEXT,__text) non-external _index_decoder_init
00007fff2ab7c039 (__TEXT,__text) non-external _index_decoder_memconfig
00007fff2ab784b7 (__TEXT,__text) non-external _index_encode
00007fff2ab78d74 (__TEXT,__text) non-external _index_encoder_end
00007fff2ab7838d (__TEXT,__text) non-external _index_file_size
00007fff2ab78ddc (__TEXT,__text) non-external _index_stream_end
00007fff2ab72c3a (__TEXT,__text) non-external _index_tree_append
00007fff2ab78d7e (__TEXT,__text) non-external _index_tree_node_end
00007fff2ab73bb5 (__TEXT,__text) non-external _is_options_valid
00007fff2ab78918 (__TEXT,__text) non-external _iter_set_info
00007fff2ab77f28 (__TEXT,__text) non-external _length
00007fff2ab73bf4 (__TEXT,__text) non-external _length_encoder_reset
00007fff2ab73ca1 (__TEXT,__text) non-external _length_update_prices
00007fff2ab7eda1 (__TEXT,__text) non-external _lz_decode
00007fff2ab7ef0d (__TEXT,__text) non-external _lz_decoder_end
00007fff2ab74d97 (__TEXT,__text) non-external _lz_encode
00007fff2ab78cec (__TEXT,__text) non-external _lz_encoder_end
00007fff2ab73e41 (__TEXT,__text) non-external _lz_encoder_prepare
00007fff2ab7e2e3 (__TEXT,__text) non-external _lz_encoder_update
00007fff2ab8340c (__TEXT,__text) non-external _lzma2_decode
00007fff2ab836fc (__TEXT,__text) non-external _lzma2_decoder_end
00007fff2ab832e1 (__TEXT,__text) non-external _lzma2_decoder_init
00007fff2ab74f76 (__TEXT,__text) non-external _lzma2_encode
00007fff2ab78d4c (__TEXT,__text) non-external _lzma2_encoder_end
00007fff2ab7379d (__TEXT,__text) non-external _lzma2_encoder_init
00007fff2ab83261 (__TEXT,__text) non-external _lzma2_encoder_options_update
00007fff2ab84868 (__TEXT,__const) non-external (was a private external) _lzma_5VersionNumber
00007fff2ab84840 (__TEXT,__const) non-external (was a private external) _lzma_5VersionString
00007fff2ab72b04 (__TEXT,__text) non-external (was a private external) _lzma_alloc
00007fff2ab7ace9 (__TEXT,__text) external _lzma_alone_decoder
00007fff2ab7a904 (__TEXT,__text) non-external (was a private external) _lzma_alone_decoder_init
00007fff2ab7999d (__TEXT,__text) external _lzma_alone_encoder
00007fff2ab7ad45 (__TEXT,__text) external _lzma_auto_decoder
00007fff2ab79c41 (__TEXT,__text) external _lzma_block_buffer_bound
00007fff2ab7b020 (__TEXT,__text) external _lzma_block_buffer_decode
00007fff2ab79c7e (__TEXT,__text) external _lzma_block_buffer_encode
00007fff2ab78f9a (__TEXT,__text) external _lzma_block_compressed_size
00007fff2ab7b4f8 (__TEXT,__text) external _lzma_block_decoder
00007fff2ab7b154 (__TEXT,__text) non-external (was a private external) _lzma_block_decoder_init
00007fff2ab7a156 (__TEXT,__text) external _lzma_block_encoder
00007fff2ab730f0 (__TEXT,__text) non-external (was a private external) _lzma_block_encoder_init
00007fff2ab7b54e (__TEXT,__text) external _lzma_block_header_decode
00007fff2ab747e9 (__TEXT,__text) external _lzma_block_header_encode
00007fff2ab72f59 (__TEXT,__text) external _lzma_block_header_size
00007fff2ab78ff9 (__TEXT,__text) external _lzma_block_total_size
00007fff2ab74928 (__TEXT,__text) external _lzma_block_unpadded_size
00007fff2ab7478e (__TEXT,__text) non-external (was a private external) _lzma_bufcpy
00007fff2ab7d199 (__TEXT,__text) non-external (was a private external) _lzma_check_finish
00007fff2ab7324c (__TEXT,__text) non-external (was a private external) _lzma_check_init
00007fff2ab7322e (__TEXT,__text) external _lzma_check_is_supported
00007fff2ab849a0 (__TEXT,__const) non-external _lzma_check_is_supported.available_checks
00007fff2ab780fa (__TEXT,__text) external _lzma_check_size
00007fff2ab849b0 (__TEXT,__const) non-external _lzma_check_size.check_sizes
00007fff2ab759c2 (__TEXT,__text) non-external (was a private external) _lzma_check_update
00007fff2ab7421f (__TEXT,__text) external _lzma_code
00007fff2ab72d26 (__TEXT,__text) external _lzma_crc32
00007fff2ab849c0 (__TEXT,__const) non-external (was a private external) _lzma_crc32_table
00007fff2ab7d1c0 (__TEXT,__text) external _lzma_crc64
00007fff2ab869c0 (__TEXT,__const) non-external (was a private external) _lzma_crc64_table
00007fff2ab7f5ae (__TEXT,__text) non-external _lzma_decode
00007fff2ab8ab20 (__TEXT,__const) non-external _lzma_decode.next_state
00007fff2ab830a0 (__TEXT,__text) non-external _lzma_decoder_init
00007fff2ab82dfc (__TEXT,__text) non-external _lzma_decoder_reset
00007fff2ab83082 (__TEXT,__text) non-external _lzma_decoder_uncompressed
00007fff2ab83721 (__TEXT,__text) non-external (was a private external) _lzma_delta_coder_init
00007fff2ab8380e (__TEXT,__text) non-external (was a private external) _lzma_delta_coder_memusage
00007fff2ab839bf (__TEXT,__text) non-external (was a private external) _lzma_delta_decoder_init
00007fff2ab83841 (__TEXT,__text) non-external (was a private external) _lzma_delta_encoder_init
00007fff2ab83a4a (__TEXT,__text) non-external (was a private external) _lzma_delta_props_decode
00007fff2ab83991 (__TEXT,__text) non-external (was a private external) _lzma_delta_props_encode
00007fff2ab7a1ac (__TEXT,__text) external _lzma_easy_buffer_encode
00007fff2ab7b753 (__TEXT,__text) external _lzma_easy_decoder_memusage
00007fff2ab7263c (__TEXT,__text) external _lzma_easy_encoder
00007fff2ab7a21d (__TEXT,__text) external _lzma_easy_encoder_memusage
00007fff2ab72685 (__TEXT,__text) non-external (was a private external) _lzma_easy_preset
00007fff2ab7f185 (__TEXT,__text) non-external _lzma_encode
00007fff2ab7f09f (__TEXT,__text) non-external _lzma_encoder_init
00007fff2ab78c00 (__TEXT,__text) external _lzma_end
00007fff2ab88b20 (__TEXT,__const) non-external (was a private external) _lzma_fastpos
00007fff2ab7b8ff (__TEXT,__text) external _lzma_filter_decoder_is_supported
00007fff2ab7a34e (__TEXT,__text) external _lzma_filter_encoder_is_supported
00007fff2ab7ba1f (__TEXT,__text) external _lzma_filter_flags_decode
00007fff2ab749a4 (__TEXT,__text) external _lzma_filter_flags_encode
00007fff2ab7303a (__TEXT,__text) external _lzma_filter_flags_size
00007fff2ab7409a (__TEXT,__text) external _lzma_filters_copy
00007fff2ab7a378 (__TEXT,__text) external _lzma_filters_update
00007fff2ab84976 (__TEXT,__const) non-external (was a private external) _lzma_footer_magic
00007fff2ab74072 (__TEXT,__text) non-external (was a private external) _lzma_free
00007fff2ab78ea5 (__TEXT,__text) external _lzma_get_check
00007fff2ab84970 (__TEXT,__const) non-external (was a private external) _lzma_header_magic
00007fff2ab78117 (__TEXT,__text) external _lzma_index_append
00007fff2ab78750 (__TEXT,__text) external _lzma_index_block_count
00007fff2ab7bbfb (__TEXT,__text) external _lzma_index_buffer_decode
00007fff2ab7a514 (__TEXT,__text) external _lzma_index_buffer_encode
00007fff2ab7931c (__TEXT,__text) external _lzma_index_cat
00007fff2ab79229 (__TEXT,__text) external _lzma_index_checks
00007fff2ab7bab0 (__TEXT,__text) external _lzma_index_decoder
00007fff2ab795a9 (__TEXT,__text) external _lzma_index_dup
00007fff2ab7a4be (__TEXT,__text) external _lzma_index_encoder
00007fff2ab783e4 (__TEXT,__text) non-external (was a private external) _lzma_index_encoder_init
00007fff2ab72b36 (__TEXT,__text) external _lzma_index_end
00007fff2ab791e4 (__TEXT,__text) external _lzma_index_file_size
00007fff2ab7c156 (__TEXT,__text) external _lzma_index_hash_append
00007fff2ab7c2a6 (__TEXT,__text) external _lzma_index_hash_decode
00007fff2ab7c124 (__TEXT,__text) external _lzma_index_hash_end
00007fff2ab7c08c (__TEXT,__text) external _lzma_index_hash_init
00007fff2ab7c12e (__TEXT,__text) external _lzma_index_hash_size
00007fff2ab72b6f (__TEXT,__text) external _lzma_index_init
00007fff2ab7848b (__TEXT,__text) external _lzma_index_iter_init
00007fff2ab7985d (__TEXT,__text) external _lzma_index_iter_locate
00007fff2ab7875a (__TEXT,__text) external _lzma_index_iter_next
00007fff2ab79839 (__TEXT,__text) external _lzma_index_iter_rewind
00007fff2ab790ce (__TEXT,__text) external _lzma_index_memusage
00007fff2ab79134 (__TEXT,__text) external _lzma_index_memused
00007fff2ab78b30 (__TEXT,__text) non-external (was a private external) _lzma_index_padding_size
00007fff2ab790b3 (__TEXT,__text) non-external (was a private external) _lzma_index_prealloc
00007fff2ab78b53 (__TEXT,__text) external _lzma_index_size
00007fff2ab791a1 (__TEXT,__text) external _lzma_index_stream_count
00007fff2ab79242 (__TEXT,__text) external _lzma_index_stream_flags
00007fff2ab792bb (__TEXT,__text) external _lzma_index_stream_padding
00007fff2ab791b4 (__TEXT,__text) external _lzma_index_stream_size
00007fff2ab791aa (__TEXT,__text) external _lzma_index_total_size
00007fff2ab7921f (__TEXT,__text) external _lzma_index_uncompressed_size
00007fff2ab7ebde (__TEXT,__text) non-external (was a private external) _lzma_lz_decoder_init
00007fff2ab7ef5d (__TEXT,__text) non-external (was a private external) _lzma_lz_decoder_memusage
00007fff2ab7ef6a (__TEXT,__text) non-external (was a private external) _lzma_lz_decoder_uncompressed
00007fff2ab7359d (__TEXT,__text) non-external (was a private external) _lzma_lz_encoder_init
00007fff2ab7e27d (__TEXT,__text) non-external (was a private external) _lzma_lz_encoder_memusage
00007fff2ab832d0 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_decoder_init
00007fff2ab8338e (__TEXT,__text) non-external (was a private external) _lzma_lzma2_decoder_memusage
00007fff2ab7358c (__TEXT,__text) non-external (was a private external) _lzma_lzma2_encoder_init
00007fff2ab83245 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_encoder_memusage
00007fff2ab8339f (__TEXT,__text) non-external (was a private external) _lzma_lzma2_props_decode
00007fff2ab74b1f (__TEXT,__text) non-external (was a private external) _lzma_lzma2_props_encode
00007fff2ab7f538 (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_create
00007fff2ab8308f (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_init
00007fff2ab8315c (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_memusage
00007fff2ab83149 (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_memusage_nocheck
00007fff2ab75330 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encode
00007fff2ab73893 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_create
00007fff2ab7f08e (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_init
00007fff2ab7f0b4 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_memusage
00007fff2ab739a4 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_reset
00007fff2ab830fe (__TEXT,__text) non-external (was a private external) _lzma_lzma_lclppb_decode
00007fff2ab780c0 (__TEXT,__text) non-external (was a private external) _lzma_lzma_lclppb_encode
00007fff2ab7f1a2 (__TEXT,__text) non-external (was a private external) _lzma_lzma_optimum_fast
00007fff2ab75e5c (__TEXT,__text) non-external (was a private external) _lzma_lzma_optimum_normal
00007fff2ab726bd (__TEXT,__text) external _lzma_lzma_preset
00007fff2ab83193 (__TEXT,__text) non-external (was a private external) _lzma_lzma_props_decode
00007fff2ab7f12e (__TEXT,__text) non-external (was a private external) _lzma_lzma_props_encode
00007fff2ab78f07 (__TEXT,__text) external _lzma_memlimit_get
00007fff2ab78f4e (__TEXT,__text) external _lzma_memlimit_set
00007fff2ab78ec0 (__TEXT,__text) external _lzma_memusage
00007fff2ab7e8ae (__TEXT,__text) non-external (was a private external) _lzma_mf_bt2_find
00007fff2ab7e942 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt2_skip
00007fff2ab7e9be (__TEXT,__text) non-external (was a private external) _lzma_mf_bt3_find
00007fff2ab7eb13 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt3_skip
00007fff2ab778d7 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt4_find
00007fff2ab75a20 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt4_skip
00007fff2ab7784c (__TEXT,__text) non-external (was a private external) _lzma_mf_find
00007fff2ab7e365 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc3_find
00007fff2ab7e59d (__TEXT,__text) non-external (was a private external) _lzma_mf_hc3_skip
00007fff2ab7e628 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc4_find
00007fff2ab7e802 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc4_skip
00007fff2ab7e33e (__TEXT,__text) external _lzma_mf_is_supported
00007fff2ab7f173 (__TEXT,__text) external _lzma_mode_is_supported
00007fff2ab72a8f (__TEXT,__text) non-external (was a private external) _lzma_next_end
00007fff2ab7352d (__TEXT,__text) non-external (was a private external) _lzma_next_filter_init
00007fff2ab78e75 (__TEXT,__text) non-external (was a private external) _lzma_next_filter_update
00007fff2ab790a9 (__TEXT,__text) external _lzma_physmem
00007fff2ab7b9e1 (__TEXT,__text) external _lzma_properties_decode
00007fff2ab74aed (__TEXT,__text) external _lzma_properties_encode
00007fff2ab7308b (__TEXT,__text) external _lzma_properties_size
00007fff2ab7b78c (__TEXT,__text) external _lzma_raw_buffer_decode
00007fff2ab7a256 (__TEXT,__text) external _lzma_raw_buffer_encode
00007fff2ab7328d (__TEXT,__text) non-external (was a private external) _lzma_raw_coder_init
00007fff2ab79014 (__TEXT,__text) non-external (was a private external) _lzma_raw_coder_memusage
00007fff2ab7b969 (__TEXT,__text) external _lzma_raw_decoder
00007fff2ab7b955 (__TEXT,__text) non-external (was a private external) _lzma_raw_decoder_init
00007fff2ab7b9cd (__TEXT,__text) external _lzma_raw_decoder_memusage
00007fff2ab7a456 (__TEXT,__text) external _lzma_raw_encoder
00007fff2ab73276 (__TEXT,__text) non-external (was a private external) _lzma_raw_encoder_init
00007fff2ab7a442 (__TEXT,__text) external _lzma_raw_encoder_memusage
00007fff2ab8ab50 (__TEXT,__const) non-external (was a private external) _lzma_rc_prices
00007fff2ab7e18d (__TEXT,__text) non-external (was a private external) _lzma_sha256_finish
00007fff2ab7d292 (__TEXT,__text) non-external (was a private external) _lzma_sha256_init
00007fff2ab889d0 (__TEXT,__const) non-external _lzma_sha256_init.s
00007fff2ab7d2cc (__TEXT,__text) non-external (was a private external) _lzma_sha256_update
00007fff2ab844d2 (__TEXT,__text) non-external (was a private external) _lzma_simple_arm_decoder_init
00007fff2ab844af (__TEXT,__text) non-external (was a private external) _lzma_simple_arm_encoder_init
00007fff2ab84599 (__TEXT,__text) non-external (was a private external) _lzma_simple_armthumb_decoder_init
00007fff2ab84576 (__TEXT,__text) non-external (was a private external) _lzma_simple_armthumb_encoder_init
00007fff2ab83a90 (__TEXT,__text) non-external (was a private external) _lzma_simple_coder_init
00007fff2ab842de (__TEXT,__text) non-external (was a private external) _lzma_simple_ia64_decoder_init
00007fff2ab842bb (__TEXT,__text) non-external (was a private external) _lzma_simple_ia64_encoder_init
00007fff2ab841ee (__TEXT,__text) non-external (was a private external) _lzma_simple_powerpc_decoder_init
00007fff2ab841cb (__TEXT,__text) non-external (was a private external) _lzma_simple_powerpc_encoder_init
00007fff2ab83f78 (__TEXT,__text) non-external (was a private external) _lzma_simple_props_decode
00007fff2ab83f63 (__TEXT,__text) non-external (was a private external) _lzma_simple_props_encode
00007fff2ab83f49 (__TEXT,__text) non-external (was a private external) _lzma_simple_props_size
00007fff2ab846a0 (__TEXT,__text) non-external (was a private external) _lzma_simple_sparc_decoder_init
00007fff2ab8467d (__TEXT,__text) non-external (was a private external) _lzma_simple_sparc_encoder_init
00007fff2ab84033 (__TEXT,__text) non-external (was a private external) _lzma_simple_x86_decoder_init
00007fff2ab83fdb (__TEXT,__text) non-external (was a private external) _lzma_simple_x86_encoder_init
00007fff2ab7a5fc (__TEXT,__text) external _lzma_stream_buffer_bound
00007fff2ab7c640 (__TEXT,__text) external _lzma_stream_buffer_decode
00007fff2ab7a629 (__TEXT,__text) external _lzma_stream_buffer_encode
00007fff2ab7cee8 (__TEXT,__text) external _lzma_stream_decoder
00007fff2ab7c7b0 (__TEXT,__text) non-external (was a private external) _lzma_stream_decoder_init
00007fff2ab727fd (__TEXT,__text) external _lzma_stream_encoder
00007fff2ab728f8 (__TEXT,__text) non-external (was a private external) _lzma_stream_encoder_init
00007fff2ab79918 (__TEXT,__text) external _lzma_stream_flags_compare
00007fff2ab7cfc9 (__TEXT,__text) external _lzma_stream_footer_decode
00007fff2ab78b7b (__TEXT,__text) external _lzma_stream_footer_encode
00007fff2ab7cf43 (__TEXT,__text) external _lzma_stream_header_decode
00007fff2ab72cc8 (__TEXT,__text) external _lzma_stream_header_encode
00007fff2ab72858 (__TEXT,__text) non-external (was a private external) _lzma_strm_init
00007fff2ab78e5c (__TEXT,__text) external _lzma_version_number
00007fff2ab78e67 (__TEXT,__text) external _lzma_version_string
00007fff2ab7d03f (__TEXT,__text) external _lzma_vli_decode
00007fff2ab74a45 (__TEXT,__text) external _lzma_vli_encode
00007fff2ab730d8 (__TEXT,__text) external _lzma_vli_size
                 (undefined) external _malloc (from libSystem)
00007fff2ab77cef (__TEXT,__text) non-external _match
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset_pattern16 (from libSystem)
00007fff2ab75c0b (__TEXT,__text) non-external _move_pos
00007fff2ab84211 (__TEXT,__text) non-external _powerpc_code
00007fff2ab7d334 (__TEXT,__text) non-external _process
00007fff2ab75c6e (__TEXT,__text) non-external _rc_encode
00007fff2ab83bf4 (__TEXT,__text) non-external _simple_code
00007fff2ab83e84 (__TEXT,__text) non-external _simple_coder_end
00007fff2ab83eb1 (__TEXT,__text) non-external _simple_coder_update
00007fff2ab846c3 (__TEXT,__text) non-external _sparc_code
00007fff2ab7c917 (__TEXT,__text) non-external _stream_decode
00007fff2ab7ce70 (__TEXT,__text) non-external _stream_decoder_end
00007fff2ab7cea4 (__TEXT,__text) non-external _stream_decoder_get_check
00007fff2ab7ceb0 (__TEXT,__text) non-external _stream_decoder_memconfig
00007fff2ab7448d (__TEXT,__text) non-external _stream_encode
00007fff2ab84990 (__TEXT,__const) non-external _stream_encode.convert
00007fff2ab78c58 (__TEXT,__text) non-external _stream_encoder_end
00007fff2ab72e53 (__TEXT,__text) non-external _stream_encoder_update
                 (undefined) external _sysctl (from libSystem)
00007fff2ab78df3 (__TEXT,__text) non-external (was a private external) _tuklib_physmem
00007fff2ab7344d (__TEXT,__text) non-external _validate_chain
00007fff2ab8403f (__TEXT,__text) non-external _x86_code
00007fff2ab8abd0 (__TEXT,__const) non-external _x86_code.MASK_TO_BIT_NUMBER
00007fff2ab83fea (__TEXT,__text) non-external _x86_coder_init
                 (undefined) external dyld_stub_binder (from libSystem)
