0000000182771da8 (__DATA,__data) external _NDR_record
0000000180661738 (__TEXT,__text) external ___ioctl
0000000180661764 (__TEXT,__text) external ___iopolicysys
0000000180661790 (__TEXT,__text) external ___kdebug_trace
00000001806617bc (__TEXT,__text) external ___kdebug_trace64
00000001806617e8 (__TEXT,__text) external ___kdebug_trace_string
0000000180661814 (__TEXT,__text) external ___kdebug_typefilter
0000000180692b68 (__TEXT,__const) non-external (was a private external) ___kernelVersionNumber
0000000180692b30 (__TEXT,__const) non-external (was a private external) ___kernelVersionString
0000000180661840 (__TEXT,__text) external ___kill
000000018066186c (__TEXT,__text) external ___kqueue_workloop_ctl
0000000180661898 (__TEXT,__text) external ___lchown
0000000180665d44 (__TEXT,__text) external ___libkernel_init
0000000180665df8 (__TEXT,__text) external ___libkernel_init_after_boot_tasks
0000000180665df4 (__TEXT,__text) external ___libkernel_init_late
0000000180665b6c (__TEXT,__text) external ___libkernel_platform_init
0000000180665ba4 (__TEXT,__text) external ___libkernel_voucher_init
00000001806618c4 (__TEXT,__text) external ___listen
00000001806618f0 (__TEXT,__text) external ___log_data
000000018066191c (__TEXT,__text) external ___lseek
0000000180661948 (__TEXT,__text) external ___lstat64_extended
0000000180661974 (__TEXT,__text) external ___lstat_extended
00000001806619a0 (__TEXT,__text) external ___mac_execve
00000001806619cc (__TEXT,__text) external ___mac_get_fd
00000001806619f8 (__TEXT,__text) external ___mac_get_file
0000000180661a24 (__TEXT,__text) external ___mac_get_link
0000000180661a50 (__TEXT,__text) external ___mac_get_mount
0000000180661a7c (__TEXT,__text) external ___mac_get_pid
0000000180661aa8 (__TEXT,__text) external ___mac_get_proc
0000000180661ad4 (__TEXT,__text) external ___mac_getfsstat
0000000180661b00 (__TEXT,__text) external ___mac_mount
0000000180661b2c (__TEXT,__text) external ___mac_set_fd
0000000180661b58 (__TEXT,__text) external ___mac_set_file
0000000180661b84 (__TEXT,__text) external ___mac_set_link
0000000180661bb0 (__TEXT,__text) external ___mac_set_proc
0000000180661bdc (__TEXT,__text) external ___mac_syscall
0000000180661c08 (__TEXT,__text) external ___mach_bridge_remote_time
0000000180661c34 (__TEXT,__text) external ___mach_eventlink_signal
0000000180661c60 (__TEXT,__text) external ___mach_eventlink_signal_wait_until
0000000180661c8c (__TEXT,__text) external ___mach_eventlink_wait_until
0000000180661cb8 (__TEXT,__text) external ___map_with_linking_np
0000000180661ce4 (__TEXT,__text) external ___memorystatus_available_memory
0000000180661d10 (__TEXT,__text) external ___microstackshot
0000000180661d3c (__TEXT,__text) external ___mkdir_extended
0000000180661d68 (__TEXT,__text) external ___mkfifo_extended
0000000180661d94 (__TEXT,__text) external ___mmap
0000000180661dc0 (__TEXT,__text) external ___mprotect
0000000180661dec (__TEXT,__text) external ___msgctl
0000000180661e18 (__TEXT,__text) external ___msgrcv_nocancel
0000000180661e44 (__TEXT,__text) external ___msgsnd_nocancel
0000000180661e70 (__TEXT,__text) external ___msgsys
0000000180661e9c (__TEXT,__text) external ___msync
0000000180661ec8 (__TEXT,__text) external ___msync_nocancel
0000000180661ef4 (__TEXT,__text) external ___munmap
0000000180661f20 (__TEXT,__text) external ___nexus_create
0000000180661f4c (__TEXT,__text) external ___nexus_deregister
0000000180661f78 (__TEXT,__text) external ___nexus_destroy
0000000180661fa4 (__TEXT,__text) external ___nexus_get_opt
0000000180661fd0 (__TEXT,__text) external ___nexus_open
0000000180661ffc (__TEXT,__text) external ___nexus_register
0000000180662028 (__TEXT,__text) external ___nexus_set_opt
0000000180662054 (__TEXT,__text) external ___open
0000000180662080 (__TEXT,__text) external ___open_dprotected_np
00000001806620ac (__TEXT,__text) external ___open_extended
00000001806620d8 (__TEXT,__text) external ___open_nocancel
0000000180662104 (__TEXT,__text) external ___openat
0000000180662130 (__TEXT,__text) external ___openat_dprotected_np
000000018066215c (__TEXT,__text) external ___openat_nocancel
00000001827724c8 (__DATA,__bss) non-external ___os_ch_md_redzone_cookie
000000018067468c (__TEXT,__text) external ___os_nexus_flow_add
0000000180674718 (__TEXT,__text) external ___os_nexus_flow_del
0000000180674880 (__TEXT,__text) external ___os_nexus_get_llink_info
0000000180674498 (__TEXT,__text) external ___os_nexus_ifattach
00000001806745c4 (__TEXT,__text) external ___os_nexus_ifdetach
0000000180662188 (__TEXT,__text) external ___persona
00000001806621b4 (__TEXT,__text) external ___pipe
00000001806621ec (__TEXT,__text) external ___poll_nocancel
0000000180662218 (__TEXT,__text) external ___posix_spawn
0000000180662244 (__TEXT,__text) external ___pread_nocancel
0000000180662270 (__TEXT,__text) external ___preadv_nocancel
000000018066229c (__TEXT,__text) external ___proc_info
00000001806622c8 (__TEXT,__text) external ___proc_info_extended_id
00000001806622f4 (__TEXT,__text) external ___process_policy
0000000180662320 (__TEXT,__text) external ___pselect
000000018066234c (__TEXT,__text) external ___pselect_nocancel
0000000180662378 (__TEXT,__text) external ___psynch_cvbroad
00000001806623a4 (__TEXT,__text) external ___psynch_cvclrprepost
00000001806623d0 (__TEXT,__text) external ___psynch_cvsignal
00000001806623fc (__TEXT,__text) external ___psynch_cvwait
0000000180662428 (__TEXT,__text) external ___psynch_mutexdrop
0000000180662454 (__TEXT,__text) external ___psynch_mutexwait
0000000180662480 (__TEXT,__text) external ___psynch_rw_downgrade
00000001806624ac (__TEXT,__text) external ___psynch_rw_longrdlock
00000001806624d8 (__TEXT,__text) external ___psynch_rw_rdlock
0000000180662504 (__TEXT,__text) external ___psynch_rw_unlock
0000000180662530 (__TEXT,__text) external ___psynch_rw_unlock2
000000018066255c (__TEXT,__text) external ___psynch_rw_upgrade
0000000180662588 (__TEXT,__text) external ___psynch_rw_wrlock
00000001806625b4 (__TEXT,__text) external ___psynch_rw_yieldwrlock
00000001806625e0 (__TEXT,__text) external ___pthread_canceled
000000018066260c (__TEXT,__text) external ___pthread_chdir
0000000180662638 (__TEXT,__text) external ___pthread_fchdir
0000000180662664 (__TEXT,__text) external ___pthread_kill
0000000180662690 (__TEXT,__text) external ___pthread_markcancel
00000001806626bc (__TEXT,__text) external ___pthread_sigmask
00000001806626e8 (__TEXT,__text) external ___ptrace
0000000180662720 (__TEXT,__text) external ___pwrite_nocancel
000000018066274c (__TEXT,__text) external ___pwritev_nocancel
0000000180662778 (__TEXT,__text) external ___read_nocancel
00000001806627a4 (__TEXT,__text) external ___readv_nocancel
00000001806627d0 (__TEXT,__text) external ___reboot
00000001806627fc (__TEXT,__text) external ___record_system_event
0000000180662828 (__TEXT,__text) external ___recvfrom
0000000180662854 (__TEXT,__text) external ___recvfrom_nocancel
0000000180662880 (__TEXT,__text) external ___recvmsg
00000001806628ac (__TEXT,__text) external ___recvmsg_nocancel
00000001827724e8 (__DATA,__bss) non-external ___remove_counter
00000001806628d8 (__TEXT,__text) external ___rename
0000000180662904 (__TEXT,__text) external ___renameat
0000000180662930 (__TEXT,__text) external ___renameatx_np
000000018066295c (__TEXT,__text) external ___rmdir
00000001806619a0 (__TEXT,__text) external ___sandbox_me
0000000180661b00 (__TEXT,__text) external ___sandbox_mm
0000000180661bdc (__TEXT,__text) external ___sandbox_ms
0000000180661bb0 (__TEXT,__text) external ___sandbox_msp
0000000180662988 (__TEXT,__text) external ___select
00000001806629b4 (__TEXT,__text) external ___select_nocancel
00000001806629e0 (__TEXT,__text) external ___sem_open
0000000180662a0c (__TEXT,__text) external ___sem_wait_nocancel
0000000180662a38 (__TEXT,__text) external ___semctl
0000000180662a64 (__TEXT,__text) external ___semsys
0000000180662a90 (__TEXT,__text) external ___semwait_signal
0000000180662abc (__TEXT,__text) external ___semwait_signal_nocancel
0000000180662ae8 (__TEXT,__text) external ___sendmsg
0000000180662b14 (__TEXT,__text) external ___sendmsg_nocancel
0000000180662b40 (__TEXT,__text) external ___sendto
0000000180662b6c (__TEXT,__text) external ___sendto_nocancel
0000000180662b98 (__TEXT,__text) external ___setattrlist
0000000180662bc4 (__TEXT,__text) external ___setlogin
0000000180662bf0 (__TEXT,__text) external ___setpriority
0000000180662c1c (__TEXT,__text) external ___setregid
0000000180662c48 (__TEXT,__text) external ___setreuid
0000000180662c74 (__TEXT,__text) external ___setrlimit
0000000180662ca0 (__TEXT,__text) external ___setsgroups
0000000180662ccc (__TEXT,__text) external ___settid
0000000180662cf8 (__TEXT,__text) external ___settid_with_pid
0000000180662d24 (__TEXT,__text) external ___settimeofday
0000000180662d50 (__TEXT,__text) external ___setwgroups
0000000180662d7c (__TEXT,__text) external ___sfi_ctl
0000000180662da8 (__TEXT,__text) external ___sfi_pidctl
0000000180662dd4 (__TEXT,__text) external ___shared_region_check_np
0000000180662e00 (__TEXT,__text) external ___shared_region_map_and_slide_2_np
0000000180662e2c (__TEXT,__text) external ___shm_open
0000000180662e58 (__TEXT,__text) external ___shmctl
0000000180662e84 (__TEXT,__text) external ___shmsys
0000000180662eb0 (__TEXT,__text) external ___sigaction
0000000180662edc (__TEXT,__text) external ___sigaltstack
0000000180662f08 (__TEXT,__text) external ___sigreturn
0000000180662f34 (__TEXT,__text) external ___sigsuspend
0000000180662f60 (__TEXT,__text) external ___sigsuspend_nocancel
0000000180662f8c (__TEXT,__text) external ___sigwait
0000000180662fb8 (__TEXT,__text) external ___socketpair
0000000180662fe4 (__TEXT,__text) external ___stack_snapshot_with_config
0000000180663010 (__TEXT,__text) external ___stat64_extended
000000018066303c (__TEXT,__text) external ___stat_extended
0000000180663068 (__TEXT,__text) external ___syscall
0000000182772488 (__DATA,__common) external ___syscall_logger
00000001806630a4 (__TEXT,__text) external ___sysctl
00000001806630d0 (__TEXT,__text) external ___sysctlbyname
00000001806630fc (__TEXT,__text) external ___telemetry
0000000180663128 (__TEXT,__text) external ___terminate_with_payload
0000000180663154 (__TEXT,__text) external ___thread_selfid
0000000180663180 (__TEXT,__text) external ___thread_selfusage
00000001806631ac (__TEXT,__text) external ___ulock_wait
00000001806631d8 (__TEXT,__text) external ___ulock_wait2
0000000180663204 (__TEXT,__text) external ___ulock_wake
0000000180663230 (__TEXT,__text) external ___umask_extended
000000018066325c (__TEXT,__text) external ___unlink
0000000180663288 (__TEXT,__text) external ___unlinkat
00000001806632b4 (__TEXT,__text) external ___vfork
0000000180663324 (__TEXT,__text) external ___wait4
0000000180663350 (__TEXT,__text) external ___wait4_nocancel
000000018066337c (__TEXT,__text) external ___waitid_nocancel
00000001806633a8 (__TEXT,__text) external ___work_interval_ctl
00000001806633d4 (__TEXT,__text) external ___workq_kernreturn
0000000180663400 (__TEXT,__text) external ___workq_open
000000018066342c (__TEXT,__text) external ___write_nocancel
0000000180663458 (__TEXT,__text) external ___writev_nocancel
0000000182771e40 (__DATA,__common) external __cpu_capabilities
0000000182771e44 (__DATA,__common) external __cpu_has_altivec
0000000182771bd8 (__DATA,__data) external __current_pid
00000001827724a0 (__DATA,__bss) non-external __dlsym
0000000180660934 (__TEXT,__text) external __exclaves_ctl_trap
000000018066124c (__TEXT,__text) external __exit
0000000180660bf0 (__TEXT,__text) external __get_cpu_capabilities
00000001827724c0 (__DATA,__bss) non-external __gethostuuid_callback
000000018066b7e4 (__TEXT,__text) external __getprivatesystemidentifier
000000018067b6c0 (__TEXT,__text) external __host_page_size
00000001806753c8 (__TEXT,__text) external __init_cpu_capabilities
000000018067cfa0 (__TEXT,__text) external __kernelrpc_host_create_mach_voucher
000000018067e4d0 (__TEXT,__text) external __kernelrpc_mach_port_allocate
000000018067faf0 (__TEXT,__text) external __kernelrpc_mach_port_allocate_full
000000018067e3b0 (__TEXT,__text) external __kernelrpc_mach_port_allocate_name
000000018067f97c (__TEXT,__text) external __kernelrpc_mach_port_allocate_qos
0000000180660724 (__TEXT,__text) external __kernelrpc_mach_port_allocate_trap
000000018068192c (__TEXT,__text) external __kernelrpc_mach_port_assert_attributes
00000001806809ec (__TEXT,__text) external __kernelrpc_mach_port_construct
0000000180660778 (__TEXT,__text) external __kernelrpc_mach_port_construct_trap
000000018067e748 (__TEXT,__text) external __kernelrpc_mach_port_deallocate
0000000180660730 (__TEXT,__text) external __kernelrpc_mach_port_deallocate_trap
000000018067e628 (__TEXT,__text) external __kernelrpc_mach_port_destroy
0000000180680b60 (__TEXT,__text) external __kernelrpc_mach_port_destruct
0000000180660784 (__TEXT,__text) external __kernelrpc_mach_port_destruct_trap
00000001806800f4 (__TEXT,__text) external __kernelrpc_mach_port_dnrequest_info
00000001806804e4 (__TEXT,__text) external __kernelrpc_mach_port_extract_member
000000018066076c (__TEXT,__text) external __kernelrpc_mach_port_extract_member_trap
000000018067f384 (__TEXT,__text) external __kernelrpc_mach_port_extract_right
000000018067f620 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes
000000018066082c (__TEXT,__text) external __kernelrpc_mach_port_get_attributes_trap
0000000180680604 (__TEXT,__text) external __kernelrpc_mach_port_get_context
000000018067e868 (__TEXT,__text) external __kernelrpc_mach_port_get_refs
0000000180681750 (__TEXT,__text) external __kernelrpc_mach_port_get_service_port_info
000000018067ee14 (__TEXT,__text) external __kernelrpc_mach_port_get_set_status
000000018067fd9c (__TEXT,__text) external __kernelrpc_mach_port_get_srights
0000000180680c80 (__TEXT,__text) external __kernelrpc_mach_port_guard
0000000180660838 (__TEXT,__text) external __kernelrpc_mach_port_guard_trap
0000000180681170 (__TEXT,__text) external __kernelrpc_mach_port_guard_with_flags
00000001806803c4 (__TEXT,__text) external __kernelrpc_mach_port_insert_member
0000000180660760 (__TEXT,__text) external __kernelrpc_mach_port_insert_member_trap
000000018067f254 (__TEXT,__text) external __kernelrpc_mach_port_insert_right
0000000180660754 (__TEXT,__text) external __kernelrpc_mach_port_insert_right_trap
00000001806815f8 (__TEXT,__text) external __kernelrpc_mach_port_is_connection_for_service
000000018068025c (__TEXT,__text) external __kernelrpc_mach_port_kernel_object
000000018068087c (__TEXT,__text) external __kernelrpc_mach_port_kobject
00000001806813b8 (__TEXT,__text) external __kernelrpc_mach_port_kobject_description
000000018067e9bc (__TEXT,__text) external __kernelrpc_mach_port_mod_refs
000000018066073c (__TEXT,__text) external __kernelrpc_mach_port_mod_refs_trap
000000018067efac (__TEXT,__text) external __kernelrpc_mach_port_move_member
0000000180660748 (__TEXT,__text) external __kernelrpc_mach_port_move_member_trap
000000018067df74 (__TEXT,__text) external __kernelrpc_mach_port_names
000000018067eadc (__TEXT,__text) external __kernelrpc_mach_port_peek
000000018067e290 (__TEXT,__text) external __kernelrpc_mach_port_rename
000000018067f0cc (__TEXT,__text) external __kernelrpc_mach_port_request_notification
0000000180660928 (__TEXT,__text) external __kernelrpc_mach_port_request_notification_trap
000000018067f810 (__TEXT,__text) external __kernelrpc_mach_port_set_attributes
000000018068075c (__TEXT,__text) external __kernelrpc_mach_port_set_context
000000018067ecf4 (__TEXT,__text) external __kernelrpc_mach_port_set_mscount
000000018067f500 (__TEXT,__text) external __kernelrpc_mach_port_set_seqno
0000000180680ec4 (__TEXT,__text) external __kernelrpc_mach_port_space_basic_info
000000018067fef4 (__TEXT,__text) external __kernelrpc_mach_port_space_info
0000000180681018 (__TEXT,__text) external __kernelrpc_mach_port_special_reply_port_reset_link
0000000180681294 (__TEXT,__text) external __kernelrpc_mach_port_swap_guard
000000018067e138 (__TEXT,__text) external __kernelrpc_mach_port_type
000000018066091c (__TEXT,__text) external __kernelrpc_mach_port_type_trap
0000000180680da4 (__TEXT,__text) external __kernelrpc_mach_port_unguard
0000000180660844 (__TEXT,__text) external __kernelrpc_mach_port_unguard_trap
000000018068b0c8 (__TEXT,__text) external __kernelrpc_mach_task_is_self
0000000180681a98 (__TEXT,__text) external __kernelrpc_mach_vm_allocate
00000001806606dc (__TEXT,__text) external __kernelrpc_mach_vm_allocate_trap
0000000180681bf4 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate
00000001806606f4 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate_trap
0000000180682868 (__TEXT,__text) external __kernelrpc_mach_vm_map
0000000180660718 (__TEXT,__text) external __kernelrpc_mach_vm_map_trap
0000000180681d14 (__TEXT,__text) external __kernelrpc_mach_vm_protect
000000018066070c (__TEXT,__text) external __kernelrpc_mach_vm_protect_trap
0000000180683444 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control
00000001806606e8 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control_trap
0000000180681f5c (__TEXT,__text) external __kernelrpc_mach_vm_read
0000000180682b58 (__TEXT,__text) external __kernelrpc_mach_vm_remap
00000001806838e4 (__TEXT,__text) external __kernelrpc_mach_vm_remap_new
000000018069167c (__TEXT,__text) external __kernelrpc_mach_voucher_extract_attr_recipe
000000018067fc7c (__TEXT,__text) external __kernelrpc_task_set_port_space
000000018068d948 (__TEXT,__text) external __kernelrpc_thread_policy
000000018068dabc (__TEXT,__text) external __kernelrpc_thread_policy_set
000000018068e404 (__TEXT,__text) external __kernelrpc_thread_set_policy
000000018068f93c (__TEXT,__text) external __kernelrpc_vm_map
0000000180690518 (__TEXT,__text) external __kernelrpc_vm_purgable_control
000000018068f030 (__TEXT,__text) external __kernelrpc_vm_read
000000018068fc2c (__TEXT,__text) external __kernelrpc_vm_remap
0000000180690670 (__TEXT,__text) external __kernelrpc_vm_remap_new
0000000180665e5c (__TEXT,__text) non-external __libkernel_bzero
0000000182772498 (__DATA,__bss) non-external __libkernel_functions
00000001827d2190 (__AUTH_CONST,__const) non-external __libkernel_generic_string_functions
0000000180665ef0 (__TEXT,__text) non-external __libkernel_memmove
0000000180665e68 (__TEXT,__text) non-external __libkernel_memset
0000000180665dfc (__TEXT,__text) non-external __libkernel_strchr
0000000180665e34 (__TEXT,__text) non-external __libkernel_strcmp
0000000180666008 (__TEXT,__text) non-external __libkernel_strcpy
0000000182771be0 (__DATA,__data) non-external __libkernel_string_functions
0000000180666050 (__TEXT,__text) non-external __libkernel_strlcpy
0000000180665c2c (__TEXT,__text) non-external __libkernel_strlen
0000000182771be8 (__DATA,__data) non-external __libkernel_voucher_functions
0000000180692b00 (__TEXT,__const) non-external __libkernel_voucher_functions_empty
0000000180667740 (__TEXT,__text) non-external __mach_continuous_time
0000000180749180 (__DATA_CONST,__const) external __mach_errors
000000018066826c (__TEXT,__text) external __mach_fork_child
000000018066976c (__TEXT,__text) external __mach_snprintf
00000001806695f8 (__TEXT,__text) external __mach_vsnprintf
0000000182771e48 (__DATA,__common) external __os_alloc_once_table
000000018066d150 (__TEXT,__text) non-external __posix_spawn_file_actions_grow
000000018066b7e8 (__TEXT,__text) external __register_gethostuuid_callback
00000001827724ac (__DATA,__bss) non-external __task_reply_port
0000000180665a28 (__TEXT,__text) external __thread_set_tsd_base
0000000180691fdc (__TEXT,__text) non-external _abort
0000000180692000 (__TEXT,__text) non-external _abort.380
0000000180692024 (__TEXT,__text) non-external _abort.382
0000000180692048 (__TEXT,__text) non-external _abort.393
0000000180692118 (__TEXT,__text) external _abort_with_payload
000000018069208c (__TEXT,__text) non-external _abort_with_payload_wrapper_internal
000000018069206c (__TEXT,__text) external _abort_with_reason
0000000180660d24 (__TEXT,__text) external _accept
0000000180660d50 (__TEXT,__text) external _accept$NOCANCEL
0000000180663484 (__TEXT,__text) external _access
0000000180660d7c (__TEXT,__text) external _accessx_np
00000001806634b0 (__TEXT,__text) external _acct
000000018068c004 (__TEXT,__text) external _act_get_state
000000018068c250 (__TEXT,__text) external _act_set_state
00000001806634dc (__TEXT,__text) external _adjtime
0000000180663508 (__TEXT,__text) external _aio_cancel
0000000180663534 (__TEXT,__text) external _aio_error
0000000180663560 (__TEXT,__text) external _aio_fsync
000000018066358c (__TEXT,__text) external _aio_read
00000001806635b8 (__TEXT,__text) external _aio_return
00000001806635e4 (__TEXT,__text) external _aio_suspend
0000000180660da8 (__TEXT,__text) external _aio_suspend$NOCANCEL
0000000180663610 (__TEXT,__text) external _aio_write
000000018066363c (__TEXT,__text) external _audit
0000000180663668 (__TEXT,__text) external _audit_session_join
0000000180663694 (__TEXT,__text) external _audit_session_port
00000001806636c0 (__TEXT,__text) external _audit_session_self
00000001806636ec (__TEXT,__text) external _auditctl
0000000180663718 (__TEXT,__text) external _auditon
0000000180660dd4 (__TEXT,__text) external _bind
0000000182771dfc (__DATA,__common) external _bootstrap_port
0000000180665b7c (__TEXT,__text) non-external _bzero
0000000180669a38 (__TEXT,__text) external _cerror
0000000180669a14 (__TEXT,__text) external _cerror_nocancel
0000000180663744 (__TEXT,__text) external _change_fdguard_np
0000000180663770 (__TEXT,__text) external _chdir
000000018066379c (__TEXT,__text) external _chflags
000000018066c0f8 (__TEXT,__text) external _chmod
00000001806637c8 (__TEXT,__text) external _chown
00000001806637f4 (__TEXT,__text) external _chroot
0000000180677f94 (__TEXT,__text) external _clock_alarm
0000000180677c14 (__TEXT,__text) external _clock_alarm_reply
0000000180677dc8 (__TEXT,__text) external _clock_get_attributes
0000000180677c7c (__TEXT,__text) external _clock_get_time
0000000180677abc (__TEXT,__text) external _clock_set_attributes
00000001806779a0 (__TEXT,__text) external _clock_set_time
00000001806678c8 (__TEXT,__text) external _clock_sleep
00000001806608f8 (__TEXT,__text) external _clock_sleep_trap
000000018066771c (__TEXT,__text) external _clonefile
0000000180663820 (__TEXT,__text) external _clonefileat
000000018066384c (__TEXT,__text) external _close
0000000180660fe4 (__TEXT,__text) external _close$NOCANCEL
00000001806728f8 (__TEXT,__text) external _coalition_create
00000001806729a0 (__TEXT,__text) external _coalition_info_debug_info
0000000180672968 (__TEXT,__text) external _coalition_info_resource_usage
0000000180672a10 (__TEXT,__text) external _coalition_info_set_efficiency
00000001806729d8 (__TEXT,__text) external _coalition_info_set_name
0000000180672a4c (__TEXT,__text) external _coalition_ledger_set_logical_writes_limit
0000000180672938 (__TEXT,__text) external _coalition_reap
0000000180672908 (__TEXT,__text) external _coalition_terminate
0000000180661094 (__TEXT,__text) external _connect
00000001806610c0 (__TEXT,__text) external _connect$NOCANCEL
0000000180663878 (__TEXT,__text) external _connectx
00000001806638a4 (__TEXT,__text) external _csops
00000001806638d0 (__TEXT,__text) external _csops_audittoken
0000000180672b30 (__TEXT,__text) external _csr_check
0000000180672b60 (__TEXT,__text) external _csr_get_active_config
0000000180660994 (__TEXT,__text) external _debug_control_port_for_pid
0000000180672d58 (__TEXT,__text) external _debug_syscall_reject
0000000180672c48 (__TEXT,__text) external _debug_syscall_reject_config
0000000182771da0 (__DATA,__data) external _denap_boost_assertion_token
00000001806638fc (__TEXT,__text) external _disconnectx
0000000180667e9c (__TEXT,__text) non-external _do_compat
0000000180663928 (__TEXT,__text) external _dup
0000000180663954 (__TEXT,__text) external _dup2
0000000180748b80 (__DATA_CONST,__const) non-external _err_codes_auth
0000000180748a10 (__DATA_CONST,__const) non-external _err_codes_env_mgr
0000000180748d78 (__DATA_CONST,__const) non-external _err_codes_exception
0000000180748a50 (__DATA_CONST,__const) non-external _err_codes_execd
0000000180748b50 (__DATA_CONST,__const) non-external _err_codes_io
00000001807485f8 (__DATA_CONST,__const) non-external _err_codes_kern
0000000180748d48 (__DATA_CONST,__const) non-external _err_codes_loader
0000000180749130 (__DATA_CONST,__const) non-external _err_codes_mach_mig
00000001807490a8 (__DATA_CONST,__const) non-external _err_codes_mach_rcv
0000000180748ff0 (__DATA_CONST,__const) non-external _err_codes_mach_send
0000000180748d18 (__DATA_CONST,__const) non-external _err_codes_machobj
0000000180748fb0 (__DATA_CONST,__const) non-external _err_codes_mig
0000000180748a70 (__DATA_CONST,__const) non-external _err_codes_netmemory
00000001807489f0 (__DATA_CONST,__const) non-external _err_codes_netname
0000000180748ac0 (__DATA_CONST,__const) non-external _err_codes_ns
0000000180748f68 (__DATA_CONST,__const) non-external _err_codes_rcv
0000000180748f08 (__DATA_CONST,__const) non-external _err_codes_send
0000000180748c88 (__DATA_CONST,__const) non-external _err_codes_sunrpc
0000000180748a90 (__DATA_CONST,__const) non-external _err_codes_task_master
