00007ff80bc859c0 (__TEXT,__const) non-external _SHA256_K
00007ff80bc76330 (__TEXT,__text) non-external _index_cat_helper
00007ff80bc78a6b (__TEXT,__text) non-external _index_decode
00007ff80bc78d74 (__TEXT,__text) non-external _index_decoder_end
00007ff80bc78863 (__TEXT,__text) non-external _index_decoder_init
00007ff80bc78d99 (__TEXT,__text) non-external _index_decoder_memconfig
00007ff80bc7529f (__TEXT,__text) non-external _index_encode
00007ff80bc75b7c (__TEXT,__text) non-external _index_encoder_end
00007ff80bc75183 (__TEXT,__text) non-external _index_file_size
00007ff80bc75be4 (__TEXT,__text) non-external _index_stream_end
00007ff80bc6f9bb (__TEXT,__text) non-external _index_tree_append
00007ff80bc75b86 (__TEXT,__text) non-external _index_tree_node_end
00007ff80bc70938 (__TEXT,__text) non-external _is_options_valid
00007ff80bc75709 (__TEXT,__text) non-external _iter_set_info
00007ff80bc74d09 (__TEXT,__text) non-external _length
00007ff80bc70979 (__TEXT,__text) non-external _length_encoder_reset
00007ff80bc70a27 (__TEXT,__text) non-external _length_update_prices
00007ff80bc7ba8f (__TEXT,__text) non-external _lz_decode
00007ff80bc7bbf7 (__TEXT,__text) non-external _lz_decoder_end
00007ff80bc71b05 (__TEXT,__text) non-external _lz_encode
00007ff80bc75af4 (__TEXT,__text) non-external _lz_encoder_end
00007ff80bc70bc4 (__TEXT,__text) non-external _lz_encoder_prepare
00007ff80bc7affc (__TEXT,__text) non-external _lz_encoder_update
00007ff80bc80369 (__TEXT,__text) non-external _lzma2_decode
00007ff80bc80658 (__TEXT,__text) non-external _lzma2_decoder_end
00007ff80bc80241 (__TEXT,__text) non-external _lzma2_decoder_init
00007ff80bc71ce8 (__TEXT,__text) non-external _lzma2_encode
00007ff80bc75b54 (__TEXT,__text) non-external _lzma2_encoder_end
00007ff80bc70501 (__TEXT,__text) non-external _lzma2_encoder_init
00007ff80bc801c1 (__TEXT,__text) non-external _lzma2_encoder_options_update
00007ff80bc81838 (__TEXT,__const) non-external (was a private external) _lzma_5VersionNumber
00007ff80bc81810 (__TEXT,__const) non-external (was a private external) _lzma_5VersionString
00007ff80bc6f8a0 (__TEXT,__text) non-external (was a private external) _lzma_alloc
00007ff80bc77a51 (__TEXT,__text) external _lzma_alone_decoder
00007ff80bc77678 (__TEXT,__text) non-external (was a private external) _lzma_alone_decoder_init
00007ff80bc76743 (__TEXT,__text) external _lzma_alone_encoder
00007ff80bc77aad (__TEXT,__text) external _lzma_auto_decoder
00007ff80bc769dd (__TEXT,__text) external _lzma_block_buffer_bound
00007ff80bc77d7d (__TEXT,__text) external _lzma_block_buffer_decode
00007ff80bc76a1d (__TEXT,__text) external _lzma_block_buffer_encode
00007ff80bc75da2 (__TEXT,__text) external _lzma_block_compressed_size
00007ff80bc7824b (__TEXT,__text) external _lzma_block_decoder
00007ff80bc77eb1 (__TEXT,__text) non-external (was a private external) _lzma_block_decoder_init
00007ff80bc76ee3 (__TEXT,__text) external _lzma_block_encoder
00007ff80bc6fe79 (__TEXT,__text) non-external (was a private external) _lzma_block_encoder_init
00007ff80bc782a1 (__TEXT,__text) external _lzma_block_header_decode
00007ff80bc71559 (__TEXT,__text) external _lzma_block_header_encode
00007ff80bc6fcdb (__TEXT,__text) external _lzma_block_header_size
00007ff80bc75e01 (__TEXT,__text) external _lzma_block_total_size
00007ff80bc71699 (__TEXT,__text) external _lzma_block_unpadded_size
00007ff80bc714fe (__TEXT,__text) non-external (was a private external) _lzma_bufcpy
00007ff80bc79ed6 (__TEXT,__text) non-external (was a private external) _lzma_check_finish
00007ff80bc6ffcf (__TEXT,__text) non-external (was a private external) _lzma_check_init
00007ff80bc6ffb1 (__TEXT,__text) external _lzma_check_is_supported
00007ff80bc81970 (__TEXT,__const) non-external _lzma_check_is_supported.available_checks
00007ff80bc74ee3 (__TEXT,__text) external _lzma_check_size
00007ff80bc81980 (__TEXT,__const) non-external _lzma_check_size.check_sizes
00007ff80bc72775 (__TEXT,__text) non-external (was a private external) _lzma_check_update
00007ff80bc70fa4 (__TEXT,__text) external _lzma_code
00007ff80bc6fa9f (__TEXT,__text) external _lzma_crc32
00007ff80bc81990 (__TEXT,__const) non-external (was a private external) _lzma_crc32_table
00007ff80bc79efd (__TEXT,__text) external _lzma_crc64
00007ff80bc83990 (__TEXT,__const) non-external (was a private external) _lzma_crc64_table
00007ff80bc7c2aa (__TEXT,__text) non-external _lzma_decode
00007ff80bc87b00 (__TEXT,__const) non-external _lzma_decode.next_state
00007ff80bc80002 (__TEXT,__text) non-external _lzma_decoder_init
00007ff80bc7fd74 (__TEXT,__text) non-external _lzma_decoder_reset
00007ff80bc7ffe4 (__TEXT,__text) non-external _lzma_decoder_uncompressed
00007ff80bc8067d (__TEXT,__text) non-external (was a private external) _lzma_delta_coder_init
00007ff80bc807c5 (__TEXT,__text) non-external (was a private external) _lzma_delta_coder_memusage
00007ff80bc80966 (__TEXT,__text) non-external (was a private external) _lzma_delta_decoder_init
00007ff80bc807f6 (__TEXT,__text) non-external (was a private external) _lzma_delta_encoder_init
00007ff80bc809f0 (__TEXT,__text) non-external (was a private external) _lzma_delta_props_decode
00007ff80bc80938 (__TEXT,__text) non-external (was a private external) _lzma_delta_props_encode
00007ff80bc76f39 (__TEXT,__text) external _lzma_easy_buffer_encode
00007ff80bc784a6 (__TEXT,__text) external _lzma_easy_decoder_memusage
00007ff80bc6f420 (__TEXT,__text) external _lzma_easy_encoder
00007ff80bc76faa (__TEXT,__text) external _lzma_easy_encoder_memusage
00007ff80bc6f469 (__TEXT,__text) non-external (was a private external) _lzma_easy_preset
00007ff80bc7be70 (__TEXT,__text) non-external _lzma_encode
00007ff80bc7bd8c (__TEXT,__text) non-external _lzma_encoder_init
00007ff80bc75a08 (__TEXT,__text) external _lzma_end
00007ff80bc85b00 (__TEXT,__const) non-external (was a private external) _lzma_fastpos
00007ff80bc78652 (__TEXT,__text) external _lzma_filter_decoder_is_supported
00007ff80bc770db (__TEXT,__text) external _lzma_filter_encoder_is_supported
00007ff80bc78774 (__TEXT,__text) external _lzma_filter_flags_decode
00007ff80bc71710 (__TEXT,__text) external _lzma_filter_flags_encode
00007ff80bc6fdbc (__TEXT,__text) external _lzma_filter_flags_size
00007ff80bc70e1a (__TEXT,__text) external _lzma_filters_copy
00007ff80bc7710a (__TEXT,__text) external _lzma_filters_update
00007ff80bc81946 (__TEXT,__const) non-external (was a private external) _lzma_footer_magic
00007ff80bc70df2 (__TEXT,__text) non-external (was a private external) _lzma_free
00007ff80bc75cad (__TEXT,__text) external _lzma_get_check
00007ff80bc81940 (__TEXT,__const) non-external (was a private external) _lzma_header_magic
00007ff80bc74f00 (__TEXT,__text) external _lzma_index_append
00007ff80bc75540 (__TEXT,__text) external _lzma_index_block_count
00007ff80bc78953 (__TEXT,__text) external _lzma_index_buffer_decode
00007ff80bc77298 (__TEXT,__text) external _lzma_index_buffer_encode
00007ff80bc7610f (__TEXT,__text) external _lzma_index_cat
00007ff80bc7603a (__TEXT,__text) external _lzma_index_checks
00007ff80bc78808 (__TEXT,__text) external _lzma_index_decoder
00007ff80bc76394 (__TEXT,__text) external _lzma_index_dup
00007ff80bc77242 (__TEXT,__text) external _lzma_index_encoder
00007ff80bc751d8 (__TEXT,__text) non-external (was a private external) _lzma_index_encoder_init
00007ff80bc6f8d2 (__TEXT,__text) external _lzma_index_end
00007ff80bc75ff5 (__TEXT,__text) external _lzma_index_file_size
00007ff80bc78e9a (__TEXT,__text) external _lzma_index_hash_append
00007ff80bc78ff0 (__TEXT,__text) external _lzma_index_hash_decode
00007ff80bc78e66 (__TEXT,__text) external _lzma_index_hash_end
00007ff80bc78dec (__TEXT,__text) external _lzma_index_hash_init
00007ff80bc78e70 (__TEXT,__text) external _lzma_index_hash_size
00007ff80bc6f90b (__TEXT,__text) external _lzma_index_init
00007ff80bc7527f (__TEXT,__text) external _lzma_index_iter_init
00007ff80bc76602 (__TEXT,__text) external _lzma_index_iter_locate
00007ff80bc7554a (__TEXT,__text) external _lzma_index_iter_next
00007ff80bc765eb (__TEXT,__text) external _lzma_index_iter_rewind
00007ff80bc75ec9 (__TEXT,__text) external _lzma_index_memusage
00007ff80bc75f41 (__TEXT,__text) external _lzma_index_memused
00007ff80bc7592f (__TEXT,__text) non-external (was a private external) _lzma_index_padding_size
00007ff80bc75eae (__TEXT,__text) non-external (was a private external) _lzma_index_prealloc
00007ff80bc75959 (__TEXT,__text) external _lzma_index_size
00007ff80bc75fae (__TEXT,__text) external _lzma_index_stream_count
00007ff80bc76053 (__TEXT,__text) external _lzma_index_stream_flags
00007ff80bc760ae (__TEXT,__text) external _lzma_index_stream_padding
00007ff80bc75fc1 (__TEXT,__text) external _lzma_index_stream_size
00007ff80bc75fb7 (__TEXT,__text) external _lzma_index_total_size
00007ff80bc76030 (__TEXT,__text) external _lzma_index_uncompressed_size
00007ff80bc7b8f5 (__TEXT,__text) non-external (was a private external) _lzma_lz_decoder_init
00007ff80bc7bc47 (__TEXT,__text) non-external (was a private external) _lzma_lz_decoder_memusage
00007ff80bc7bc54 (__TEXT,__text) non-external (was a private external) _lzma_lz_decoder_uncompressed
00007ff80bc7031d (__TEXT,__text) non-external (was a private external) _lzma_lz_encoder_init
00007ff80bc7af94 (__TEXT,__text) non-external (was a private external) _lzma_lz_encoder_memusage
00007ff80bc80230 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_decoder_init
00007ff80bc802eb (__TEXT,__text) non-external (was a private external) _lzma_lzma2_decoder_memusage
00007ff80bc7030c (__TEXT,__text) non-external (was a private external) _lzma_lzma2_encoder_init
00007ff80bc801a7 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_encoder_memusage
00007ff80bc802fc (__TEXT,__text) non-external (was a private external) _lzma_lzma2_props_decode
00007ff80bc7188d (__TEXT,__text) non-external (was a private external) _lzma_lzma2_props_encode
00007ff80bc7c234 (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_create
00007ff80bc7fff1 (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_init
00007ff80bc800be (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_memusage
00007ff80bc800ab (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_memusage_nocheck
00007ff80bc720c4 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encode
00007ff80bc70620 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_create
00007ff80bc7bd7b (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_init
00007ff80bc7bda1 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_memusage
00007ff80bc7072c (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_reset
00007ff80bc80060 (__TEXT,__text) non-external (was a private external) _lzma_lzma_lclppb_decode
00007ff80bc74ea9 (__TEXT,__text) non-external (was a private external) _lzma_lzma_lclppb_encode
00007ff80bc7be8d (__TEXT,__text) non-external (was a private external) _lzma_lzma_optimum_fast
00007ff80bc72c10 (__TEXT,__text) non-external (was a private external) _lzma_lzma_optimum_normal
00007ff80bc6f4a0 (__TEXT,__text) external _lzma_lzma_preset
00007ff80bc800f5 (__TEXT,__text) non-external (was a private external) _lzma_lzma_props_decode
00007ff80bc7be1b (__TEXT,__text) non-external (was a private external) _lzma_lzma_props_encode
00007ff80bc75d0f (__TEXT,__text) external _lzma_memlimit_get
00007ff80bc75d56 (__TEXT,__text) external _lzma_memlimit_set
00007ff80bc75cc8 (__TEXT,__text) external _lzma_memusage
00007ff80bc7b5c5 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt2_find
00007ff80bc7b659 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt2_skip
00007ff80bc7b6d5 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt3_find
00007ff80bc7b82a (__TEXT,__text) non-external (was a private external) _lzma_mf_bt3_skip
00007ff80bc746a7 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt4_find
00007ff80bc727d3 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt4_skip
00007ff80bc7461c (__TEXT,__text) non-external (was a private external) _lzma_mf_find
00007ff80bc7b07c (__TEXT,__text) non-external (was a private external) _lzma_mf_hc3_find
00007ff80bc7b2b4 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc3_skip
00007ff80bc7b33f (__TEXT,__text) non-external (was a private external) _lzma_mf_hc4_find
00007ff80bc7b519 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc4_skip
00007ff80bc7b057 (__TEXT,__text) external _lzma_mf_is_supported
00007ff80bc7be60 (__TEXT,__text) external _lzma_mode_is_supported
00007ff80bc6f82f (__TEXT,__text) non-external (was a private external) _lzma_next_end
00007ff80bc702ad (__TEXT,__text) non-external (was a private external) _lzma_next_filter_init
00007ff80bc75c7d (__TEXT,__text) non-external (was a private external) _lzma_next_filter_update
00007ff80bc75ea4 (__TEXT,__text) external _lzma_physmem
00007ff80bc78736 (__TEXT,__text) external _lzma_properties_decode
00007ff80bc7185b (__TEXT,__text) external _lzma_properties_encode
00007ff80bc6fe0d (__TEXT,__text) external _lzma_properties_size
00007ff80bc784df (__TEXT,__text) external _lzma_raw_buffer_decode
00007ff80bc76fe3 (__TEXT,__text) external _lzma_raw_buffer_encode
00007ff80bc70010 (__TEXT,__text) non-external (was a private external) _lzma_raw_coder_init
00007ff80bc75e1c (__TEXT,__text) non-external (was a private external) _lzma_raw_coder_memusage
00007ff80bc786be (__TEXT,__text) external _lzma_raw_decoder
00007ff80bc786aa (__TEXT,__text) non-external (was a private external) _lzma_raw_decoder_init
00007ff80bc78722 (__TEXT,__text) external _lzma_raw_decoder_memusage
00007ff80bc771dc (__TEXT,__text) external _lzma_raw_encoder
00007ff80bc6fff9 (__TEXT,__text) non-external (was a private external) _lzma_raw_encoder_init
00007ff80bc771c8 (__TEXT,__text) external _lzma_raw_encoder_memusage
00007ff80bc87b30 (__TEXT,__const) non-external (was a private external) _lzma_rc_prices
00007ff80bc7aea4 (__TEXT,__text) non-external (was a private external) _lzma_sha256_finish
00007ff80bc79fdd (__TEXT,__text) non-external (was a private external) _lzma_sha256_init
00007ff80bc859a0 (__TEXT,__const) non-external _lzma_sha256_init.s
00007ff80bc7a001 (__TEXT,__text) non-external (was a private external) _lzma_sha256_update
00007ff80bc81515 (__TEXT,__text) non-external (was a private external) _lzma_simple_arm_decoder_init
00007ff80bc814f2 (__TEXT,__text) non-external (was a private external) _lzma_simple_arm_encoder_init
00007ff80bc815dc (__TEXT,__text) non-external (was a private external) _lzma_simple_armthumb_decoder_init
00007ff80bc815b9 (__TEXT,__text) non-external (was a private external) _lzma_simple_armthumb_encoder_init
00007ff80bc80a36 (__TEXT,__text) non-external (was a private external) _lzma_simple_coder_init
00007ff80bc8128c (__TEXT,__text) non-external (was a private external) _lzma_simple_ia64_decoder_init
00007ff80bc81269 (__TEXT,__text) non-external (was a private external) _lzma_simple_ia64_encoder_init
00007ff80bc8118d (__TEXT,__text) non-external (was a private external) _lzma_simple_powerpc_decoder_init
00007ff80bc8116a (__TEXT,__text) non-external (was a private external) _lzma_simple_powerpc_encoder_init
00007ff80bc80f15 (__TEXT,__text) non-external (was a private external) _lzma_simple_props_decode
00007ff80bc80f00 (__TEXT,__text) non-external (was a private external) _lzma_simple_props_encode
00007ff80bc80ee6 (__TEXT,__text) non-external (was a private external) _lzma_simple_props_size
00007ff80bc816dc (__TEXT,__text) non-external (was a private external) _lzma_simple_sparc_decoder_init
00007ff80bc816b9 (__TEXT,__text) non-external (was a private external) _lzma_simple_sparc_encoder_init
00007ff80bc80fd0 (__TEXT,__text) non-external (was a private external) _lzma_simple_x86_decoder_init
00007ff80bc80f78 (__TEXT,__text) non-external (was a private external) _lzma_simple_x86_encoder_init
00007ff80bc77380 (__TEXT,__text) external _lzma_stream_buffer_bound
00007ff80bc7937c (__TEXT,__text) external _lzma_stream_buffer_decode
00007ff80bc773ad (__TEXT,__text) external _lzma_stream_buffer_encode
00007ff80bc79c24 (__TEXT,__text) external _lzma_stream_decoder
00007ff80bc794f0 (__TEXT,__text) non-external (was a private external) _lzma_stream_decoder_init
00007ff80bc6f5c9 (__TEXT,__text) external _lzma_stream_encoder
00007ff80bc6f6bc (__TEXT,__text) non-external (was a private external) _lzma_stream_encoder_init
00007ff80bc766be (__TEXT,__text) external _lzma_stream_flags_compare
00007ff80bc79d05 (__TEXT,__text) external _lzma_stream_footer_decode
00007ff80bc75983 (__TEXT,__text) external _lzma_stream_footer_encode
00007ff80bc79c7f (__TEXT,__text) external _lzma_stream_header_decode
00007ff80bc6fa41 (__TEXT,__text) external _lzma_stream_header_encode
00007ff80bc6f624 (__TEXT,__text) non-external (was a private external) _lzma_strm_init
00007ff80bc75c64 (__TEXT,__text) external _lzma_version_number
00007ff80bc75c6f (__TEXT,__text) external _lzma_version_string
00007ff80bc79d7b (__TEXT,__text) external _lzma_vli_decode
00007ff80bc717b1 (__TEXT,__text) external _lzma_vli_encode
00007ff80bc6fe5a (__TEXT,__text) external _lzma_vli_size
                 (undefined) external _malloc (from libSystem)
00007ff80bc74ac8 (__TEXT,__text) non-external _match
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset_pattern16 (from libSystem)
00007ff80bc729c0 (__TEXT,__text) non-external _move_pos
00007ff80bc811b0 (__TEXT,__text) non-external _powerpc_code
00007ff80bc7a069 (__TEXT,__text) non-external _process
00007ff80bc72a21 (__TEXT,__text) non-external _rc_encode
00007ff80bc80b97 (__TEXT,__text) non-external _simple_code
00007ff80bc80e21 (__TEXT,__text) non-external _simple_coder_end
00007ff80bc80e4e (__TEXT,__text) non-external _simple_coder_update
00007ff80bc816ff (__TEXT,__text) non-external _sparc_code
00007ff80bc79651 (__TEXT,__text) non-external _stream_decode
00007ff80bc79bac (__TEXT,__text) non-external _stream_decoder_end
00007ff80bc79be0 (__TEXT,__text) non-external _stream_decoder_get_check
00007ff80bc79bec (__TEXT,__text) non-external _stream_decoder_memconfig
00007ff80bc71203 (__TEXT,__text) non-external _stream_encode
00007ff80bc81960 (__TEXT,__const) non-external _stream_encode.convert
00007ff80bc75a60 (__TEXT,__text) non-external _stream_encoder_end
00007ff80bc6fbdb (__TEXT,__text) non-external _stream_encoder_update
                 (undefined) external _sysctl (from libSystem)
00007ff80bc75bfb (__TEXT,__text) non-external (was a private external) _tuklib_physmem
00007ff80bc701cf (__TEXT,__text) non-external _validate_chain
00007ff80bc80fdc (__TEXT,__text) non-external _x86_code
00007ff80bc87bb0 (__TEXT,__const) non-external _x86_code.MASK_TO_BIT_NUMBER
00007ff80bc80f87 (__TEXT,__text) non-external _x86_coder_init
