00007ffb4306e940 (__DATA,__bss) non-external _SVC_REQ_KEY
00007ffb01545798 (__TEXT,__text) external __newrpclib_clnt_pcreateerror
00007ffb0154550d (__TEXT,__text) external __newrpclib_clnt_perrno
00007ffb01545420 (__TEXT,__text) external __newrpclib_clnt_perror
00007ffb0154554f (__TEXT,__text) external __newrpclib_clnt_spcreateerror
00007ffb015454db (__TEXT,__text) external __newrpclib_clnt_sperrno
00007ffb01545139 (__TEXT,__text) external __newrpclib_clnt_sperror
00007ffb01545824 (__TEXT,__text) external __newrpclib_clntraw_create
00007ffb01553b32 (__TEXT,__text) non-external __newrpclib_clntraw_create.cold.1
00007ffb015468a5 (__TEXT,__text) external __newrpclib_clnttcp_create
00007ffb0155427f (__TEXT,__text) non-external __newrpclib_clnttcp_create.cold.1
00007ffb01546781 (__TEXT,__text) external __newrpclib_clnttcp_create_sa
00007ffb01554149 (__TEXT,__text) non-external __newrpclib_clnttcp_create_sa.cold.1
00007ffb01546812 (__TEXT,__text) external __newrpclib_clnttcp_create_timeout
00007ffb015541e4 (__TEXT,__text) non-external __newrpclib_clnttcp_create_timeout.cold.1
00007ffb0154723c (__TEXT,__text) external __newrpclib_clntudp_bufcreate
00007ffb01547294 (__TEXT,__text) external __newrpclib_clntudp_bufcreate_sa
00007ffb01546e14 (__TEXT,__text) external __newrpclib_clntudp_bufcreate_timeout
00007ffb0154727e (__TEXT,__text) external __newrpclib_clntudp_create
00007ffb015472c6 (__TEXT,__text) external __newrpclib_clntudp_create_sa
00007ffb01547930 (__TEXT,__text) external __newrpclib_getrpcport
00007ffb01550464 (__TEXT,__text) external __newrpclib_netid2socparms
00007ffb01548690 (__TEXT,__text) external __newrpclib_pmap_callit
00007ffb015479cc (__TEXT,__text) external __newrpclib_pmap_getmaps
00007ffb01547c13 (__TEXT,__text) external __newrpclib_pmap_getport
00007ffb01547c23 (__TEXT,__text) external __newrpclib_pmap_getport_sa
00007ffb01548a9b (__TEXT,__text) external __newrpclib_pmap_indirect
00007ffb01547c33 (__TEXT,__text) external __newrpclib_pmap_rmtcall
00007ffb01550fac (__TEXT,__text) external __newrpclib_pmap_set
00007ffb015510b8 (__TEXT,__text) external __newrpclib_pmap_unset
00007ffb01547e64 (__TEXT,__text) external __newrpclib_pmap_wakeup
00007ffb015512f1 (__TEXT,__text) external __newrpclib_pmapproc_callit_2
00007ffb015512b0 (__TEXT,__text) external __newrpclib_pmapproc_dump_2
00007ffb0155126b (__TEXT,__text) external __newrpclib_pmapproc_getport_2
00007ffb015511b1 (__TEXT,__text) external __newrpclib_pmapproc_null_2
00007ffb015511e1 (__TEXT,__text) external __newrpclib_pmapproc_set_2
00007ffb01551226 (__TEXT,__text) external __newrpclib_pmapproc_unset_2
00007ffb0154a200 (__TEXT,__text) external __newrpclib_registerrpc
00007ffb01554815 (__TEXT,__text) non-external __newrpclib_registerrpc.cold.1
00007ffb015548c3 (__TEXT,__text) non-external __newrpclib_registerrpc.cold.2
00007ffb01554968 (__TEXT,__text) non-external __newrpclib_registerrpc.cold.3
00007ffb01554a03 (__TEXT,__text) non-external __newrpclib_registerrpc.cold.4
00007ffb4306e928 (__DATA,__bss) non-external __newrpclib_registerrpc.transp
00007ffb01548fa4 (__TEXT,__text) external __newrpclib_rpc_control
00007ffb015543b4 (__TEXT,__text) non-external __newrpclib_rpc_control.cold.1
00007ffb4306ea68 (__DATA,__common) external __newrpclib_rpc_ipmode
00007ffb4306e828 (__DATA,__data) external __newrpclib_rpc_v4mapped_ok
00007ffb01547f50 (__TEXT,__text) external __newrpclib_rpcb_callit
00007ffb01552b92 (__TEXT,__text) external __newrpclib_rpcb_getaddr
00007ffb01552bb2 (__TEXT,__text) external __newrpclib_rpcb_getaddr_for_host
00007ffb01552400 (__TEXT,__text) external __newrpclib_rpcb_getaddr_timeout
00007ffb01557e13 (__TEXT,__text) non-external __newrpclib_rpcb_getaddr_timeout.cold.1
00007ffb01552ba2 (__TEXT,__text) external __newrpclib_rpcb_getversaddr
00007ffb01552ae6 (__TEXT,__text) external __newrpclib_rpcb_getversaddr_timeout
00007ffb0154890a (__TEXT,__text) external __newrpclib_rpcb_indirect
00007ffb01552cce (__TEXT,__text) external __newrpclib_rpcb_set
00007ffb01552f92 (__TEXT,__text) external __newrpclib_rpcb_unset
00007ffb01551684 (__TEXT,__text) external __newrpclib_rpcbproc_bcast_4
00007ffb0155144f (__TEXT,__text) external __newrpclib_rpcbproc_callit_3
00007ffb0155140e (__TEXT,__text) external __newrpclib_rpcbproc_dump_3
00007ffb01551643 (__TEXT,__text) external __newrpclib_rpcbproc_dump_4
00007ffb015513c8 (__TEXT,__text) external __newrpclib_rpcbproc_getaddr_3
00007ffb015515fd (__TEXT,__text) external __newrpclib_rpcbproc_getaddr_4
00007ffb0155183b (__TEXT,__text) external __newrpclib_rpcbproc_getaddrlist_4
00007ffb01551881 (__TEXT,__text) external __newrpclib_rpcbproc_getstat_4
00007ffb0155149c (__TEXT,__text) external __newrpclib_rpcbproc_gettime_3
00007ffb015516d1 (__TEXT,__text) external __newrpclib_rpcbproc_gettime_4
00007ffb015517a8 (__TEXT,__text) external __newrpclib_rpcbproc_getversaddr_4
00007ffb015517ee (__TEXT,__text) external __newrpclib_rpcbproc_indirect_4
00007ffb0155133e (__TEXT,__text) external __newrpclib_rpcbproc_set_3
00007ffb01551573 (__TEXT,__text) external __newrpclib_rpcbproc_set_4
00007ffb0155152d (__TEXT,__text) external __newrpclib_rpcbproc_taddr2uaddr_3
00007ffb01551762 (__TEXT,__text) external __newrpclib_rpcbproc_taddr2uaddr_4
00007ffb015514dc (__TEXT,__text) external __newrpclib_rpcbproc_uaddr2taddr_3
00007ffb01551711 (__TEXT,__text) external __newrpclib_rpcbproc_uaddr2taddr_4
00007ffb01551383 (__TEXT,__text) external __newrpclib_rpcbproc_unset_3
00007ffb015515b8 (__TEXT,__text) external __newrpclib_rpcbproc_unset_4
00007ffb01550814 (__TEXT,__text) external __newrpclib_sa2uaddr
00007ffb01543dab (__TEXT,__text) external __newrpclib_set_rpc_maxgrouplist
00007ffb015503a2 (__TEXT,__text) external __newrpclib_socparms2netid
00007ffb0154db2d (__TEXT,__text) external __newrpclib_svc_enable_localaddr
00007ffb0155746e (__TEXT,__text) non-external __newrpclib_svc_enable_localaddr.cold.1
00007ffb01557508 (__TEXT,__text) non-external __newrpclib_svc_enable_localaddr.cold.2
00007ffb015575b6 (__TEXT,__text) non-external __newrpclib_svc_enable_localaddr.cold.3
00007ffb0154a161 (__TEXT,__text) external __newrpclib_svc_exit
00007ffb0154dc43 (__TEXT,__text) external __newrpclib_svc_getcallee_sa
00007ffb0154dc35 (__TEXT,__text) external __newrpclib_svc_getcaller_sa
00007ffb0154dc28 (__TEXT,__text) external __newrpclib_svc_getnetid
00007ffb0154d717 (__TEXT,__text) external __newrpclib_svc_getsomerequests
00007ffb01549ddd (__TEXT,__text) external __newrpclib_svc_pollnext
00007ffb0155475e (__TEXT,__text) non-external __newrpclib_svc_pollnext.cold.1
00007ffb0154cb13 (__TEXT,__text) external __newrpclib_svc_register
00007ffb0154cf12 (__TEXT,__text) external __newrpclib_svc_reqsendreply
00007ffb0154990e (__TEXT,__text) external __newrpclib_svc_run
00007ffb0154ce81 (__TEXT,__text) external __newrpclib_svc_sendreply
00007ffb0154cc31 (__TEXT,__text) external __newrpclib_svc_unregister
00007ffb0154d357 (__TEXT,__text) external __newrpclib_svcerr_auth
00007ffb0154d0ff (__TEXT,__text) external __newrpclib_svcerr_decode
00007ffb0154cfd3 (__TEXT,__text) external __newrpclib_svcerr_noproc
00007ffb0154d496 (__TEXT,__text) external __newrpclib_svcerr_noprog
00007ffb0154d5bf (__TEXT,__text) external __newrpclib_svcerr_progvers
00007ffb0154d3cf (__TEXT,__text) external __newrpclib_svcerr_reqauth
00007ffb0154d17f (__TEXT,__text) external __newrpclib_svcerr_reqdecode
00007ffb0154d053 (__TEXT,__text) external __newrpclib_svcerr_reqnoproc
00007ffb0154d513 (__TEXT,__text) external __newrpclib_svcerr_reqnoprog
00007ffb0154d651 (__TEXT,__text) external __newrpclib_svcerr_reqprogvers
00007ffb0154d2ab (__TEXT,__text) external __newrpclib_svcerr_reqsystemerr
00007ffb0154d487 (__TEXT,__text) external __newrpclib_svcerr_reqweakauth
00007ffb0154d22b (__TEXT,__text) external __newrpclib_svcerr_systemerr
00007ffb0154d478 (__TEXT,__text) external __newrpclib_svcerr_weakauth
00007ffb0154ac6e (__TEXT,__text) external __newrpclib_svcfd_create
00007ffb01549871 (__TEXT,__text) external __newrpclib_svcraw_create
00007ffb0154a4d5 (__TEXT,__text) external __newrpclib_svctcp_create
00007ffb01554c70 (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.1
00007ffb01554d1e (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.2
00007ffb01554db9 (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.3
00007ffb01554e54 (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.4
00007ffb01554f02 (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.5
00007ffb01554fb0 (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.6
00007ffb0155504b (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.7
00007ffb0154b798 (__TEXT,__text) external __newrpclib_svcudp_bufcreate
00007ffb0155621d (__TEXT,__text) non-external __newrpclib_svcudp_bufcreate.cold.1
00007ffb015562cb (__TEXT,__text) non-external __newrpclib_svcudp_bufcreate.cold.2
00007ffb01556379 (__TEXT,__text) non-external __newrpclib_svcudp_bufcreate.cold.3
00007ffb01556427 (__TEXT,__text) non-external __newrpclib_svcudp_bufcreate.cold.4
00007ffb015564d5 (__TEXT,__text) non-external __newrpclib_svcudp_bufcreate.cold.5
00007ffb01556583 (__TEXT,__text) non-external __newrpclib_svcudp_bufcreate.cold.6
00007ffb0154badd (__TEXT,__text) external __newrpclib_svcudp_create
00007ffb01550522 (__TEXT,__text) external __newrpclib_uaddr2sa
00007ffb0154dc52 (__TEXT,__text) external __newrpclib_xdr_array
00007ffb0155764a (__TEXT,__text) non-external __newrpclib_xdr_array.cold.1
00007ffb01544160 (__TEXT,__text) external __newrpclib_xdr_authunix_parms
00007ffb0154f3bc (__TEXT,__text) external __newrpclib_xdr_bool
00007ffb0154f4e4 (__TEXT,__text) external __newrpclib_xdr_bytes
00007ffb01557ad2 (__TEXT,__text) non-external __newrpclib_xdr_bytes.cold.1
00007ffb01549316 (__TEXT,__text) external __newrpclib_xdr_callhdr
00007ffb01548c0a (__TEXT,__text) external __newrpclib_xdr_callmsg
00007ffb0154f35c (__TEXT,__text) external __newrpclib_xdr_char
00007ffb015492a1 (__TEXT,__text) external __newrpclib_xdr_des_block
00007ffb0154de26 (__TEXT,__text) external __newrpclib_xdr_double
00007ffb0154f429 (__TEXT,__text) external __newrpclib_xdr_enum
00007ffb0154ddcd (__TEXT,__text) external __newrpclib_xdr_float
00007ffb0154efac (__TEXT,__text) external __newrpclib_xdr_free
00007ffb0154fa33 (__TEXT,__text) external __newrpclib_xdr_getrecord
00007ffb0154fa0b (__TEXT,__text) external __newrpclib_xdr_hyper
00007ffb0154efe2 (__TEXT,__text) external __newrpclib_xdr_int
00007ffb0154f294 (__TEXT,__text) external __newrpclib_xdr_int16_t
00007ffb0154f10a (__TEXT,__text) external __newrpclib_xdr_int32_t
00007ffb0154f869 (__TEXT,__text) external __newrpclib_xdr_int64_t
00007ffb0154f0a4 (__TEXT,__text) external __newrpclib_xdr_long
00007ffb0154fa1f (__TEXT,__text) external __newrpclib_xdr_longlong_t
00007ffb015523c0 (__TEXT,__text) external __newrpclib_xdr_netbuf
00007ffb0154f6bb (__TEXT,__text) external __newrpclib_xdr_netobj
00007ffb0154f433 (__TEXT,__text) external __newrpclib_xdr_opaque
00007ffb4306e950 (__DATA,__bss) non-external __newrpclib_xdr_opaque.crud
00007ffb01549268 (__TEXT,__text) external __newrpclib_xdr_opaque_auth
00007ffb01550d3c (__TEXT,__text) external __newrpclib_xdr_pmap
00007ffb01550f01 (__TEXT,__text) external __newrpclib_xdr_pmap_call_args
00007ffb01550f6c (__TEXT,__text) external __newrpclib_xdr_pmap_call_result
00007ffb01550dba (__TEXT,__text) external __newrpclib_xdr_pmaplist
00007ffb01550d9a (__TEXT,__text) external __newrpclib_xdr_pmaplist_ptr
00007ffb0154ec4f (__TEXT,__text) external __newrpclib_xdr_pointer
00007ffb0154eb9a (__TEXT,__text) external __newrpclib_xdr_reference
00007ffb01557a24 (__TEXT,__text) non-external __newrpclib_xdr_reference.cold.1
00007ffb015492b0 (__TEXT,__text) external __newrpclib_xdr_replymsg
00007ffb01547d22 (__TEXT,__text) external __newrpclib_xdr_rmtcall_args
00007ffb01547e00 (__TEXT,__text) external __newrpclib_xdr_rmtcallres
00007ffb0155198b (__TEXT,__text) external __newrpclib_xdr_rp__list
00007ffb0155190e (__TEXT,__text) external __newrpclib_xdr_rpcb
00007ffb01551ba2 (__TEXT,__text) external __newrpclib_xdr_rpcb_entry
00007ffb01551c24 (__TEXT,__text) external __newrpclib_xdr_rpcb_entry_list
00007ffb01551d6b (__TEXT,__text) external __newrpclib_xdr_rpcb_entry_list_ptr
00007ffb01551af2 (__TEXT,__text) external __newrpclib_xdr_rpcb_rmtcallargs
00007ffb01551b5d (__TEXT,__text) external __newrpclib_xdr_rpcb_rmtcallres
00007ffb01552300 (__TEXT,__text) external __newrpclib_xdr_rpcb_stat
00007ffb0155239b (__TEXT,__text) external __newrpclib_xdr_rpcb_stat_byvers
00007ffb01551ad2 (__TEXT,__text) external __newrpclib_xdr_rpcblist_ptr
00007ffb01551d8b (__TEXT,__text) external __newrpclib_xdr_rpcbs_addrlist
00007ffb015522c0 (__TEXT,__text) external __newrpclib_xdr_rpcbs_addrlist_ptr
00007ffb0155229b (__TEXT,__text) external __newrpclib_xdr_rpcbs_proc
00007ffb01551fd8 (__TEXT,__text) external __newrpclib_xdr_rpcbs_rmtcalllist
00007ffb015522e0 (__TEXT,__text) external __newrpclib_xdr_rpcbs_rmtcalllist_ptr
00007ffb0154f1cc (__TEXT,__text) external __newrpclib_xdr_short
00007ffb0154ecb8 (__TEXT,__text) external __newrpclib_xdr_sizeof
00007ffb0154f758 (__TEXT,__text) external __newrpclib_xdr_string
00007ffb01557c2e (__TEXT,__text) non-external __newrpclib_xdr_string.cold.1
00007ffb0154f38c (__TEXT,__text) external __newrpclib_xdr_u_char
00007ffb0154fa15 (__TEXT,__text) external __newrpclib_xdr_u_hyper
00007ffb0154f043 (__TEXT,__text) external __newrpclib_xdr_u_int
00007ffb0154f0d7 (__TEXT,__text) external __newrpclib_xdr_u_long
00007ffb0154fa29 (__TEXT,__text) external __newrpclib_xdr_u_longlong_t
00007ffb0154f230 (__TEXT,__text) external __newrpclib_xdr_u_short
00007ffb0154f2f8 (__TEXT,__text) external __newrpclib_xdr_uint16_t
00007ffb0154f16b (__TEXT,__text) external __newrpclib_xdr_uint32_t
00007ffb0154f93a (__TEXT,__text) external __newrpclib_xdr_uint64_t
00007ffb0154f6d1 (__TEXT,__text) external __newrpclib_xdr_union
00007ffb0154dd7b (__TEXT,__text) external __newrpclib_xdr_vector
00007ffb0154efd7 (__TEXT,__text) external __newrpclib_xdr_void
00007ffb0154f85a (__TEXT,__text) external __newrpclib_xdr_wrapstring
00007ffb0154dec6 (__TEXT,__text) external __newrpclib_xdrmem_create
00007ffb0154e432 (__TEXT,__text) external __newrpclib_xdrrec_create
00007ffb015576f8 (__TEXT,__text) non-external __newrpclib_xdrrec_create.cold.1
00007ffb015577a6 (__TEXT,__text) non-external __newrpclib_xdrrec_create.cold.2
00007ffb01557854 (__TEXT,__text) non-external __newrpclib_xdrrec_create.cold.3
00007ffb0154e8b2 (__TEXT,__text) external __newrpclib_xdrrec_endofrecord
00007ffb0154e856 (__TEXT,__text) external __newrpclib_xdrrec_eof
00007ffb0154e60f (__TEXT,__text) external __newrpclib_xdrrec_skiprecord
00007ffb0154ee5d (__TEXT,__text) external __newrpclib_xdrstdio_create
00007ffb0154c5f1 (__TEXT,__text) external __newrpclib_xprt_register
00007ffb0154c83a (__TEXT,__text) external __newrpclib_xprt_unregister
                 (undefined) external __os_log_default (from libSystem)
                 (undefined) external __os_log_error_impl (from libSystem)
00007ffb01549841 (__TEXT,__text) non-external (was a private external) __svcauth_null
00007ffb015496e3 (__TEXT,__text) non-external (was a private external) __svcauth_short
00007ffb01549545 (__TEXT,__text) non-external (was a private external) __svcauth_unix
                 (undefined) external _abort (from libSystem)
                 (undefined) external _accept (from libSystem)
00007ffb01549d46 (__TEXT,__text) non-external (was a private external) _add_working_xprt
00007ffb01554641 (__TEXT,__text) non-external _add_working_xprt.cold.1
00007ffb015546d5 (__TEXT,__text) non-external _add_working_xprt.cold.2
                 (undefined) external _asprintf (from libSystem)
00007ffb400fa2d0 (__DATA_CONST,__const) non-external _auth_errlist
00007ffb4306e3a8 (__DATA,__data) non-external _auth_unix_ops
00007ffb01543a5a (__TEXT,__text) non-external _authnone_destroy
00007ffb01543947 (__TEXT,__text) non-external _authnone_init
00007ffb01543a1b (__TEXT,__text) non-external _authnone_marshal
00007ffb4306e370 (__DATA,__data) non-external _authnone_once_init
00007ffb4306e8f8 (__DATA,__bss) non-external _authnone_private
00007ffb01543a52 (__TEXT,__text) non-external _authnone_refresh
00007ffb01543a47 (__TEXT,__text) non-external _authnone_validate
00007ffb01543a15 (__TEXT,__text) non-external _authnone_verf
00007ffb01544118 (__TEXT,__text) non-external _authunix_destroy
00007ffb01543f21 (__TEXT,__text) non-external _authunix_marshal
00007ffb01543f1b (__TEXT,__text) non-external _authunix_nextverf
00007ffb01543ff7 (__TEXT,__text) non-external _authunix_refresh
00007ffb01543f44 (__TEXT,__text) non-external _authunix_validate
00007ffb4306e4a8 (__DATA,__data) non-external _bcast
                 (undefined) external _bcmp (from libSystem)
                 (undefined) external _bind (from libSystem)
                 (undefined) external _bindresvport_sa (from libSystem)
00007ffb4306e908 (__DATA,__bss) non-external _buf
00007ffb01545813 (__TEXT,__text) non-external _bufdestroy
00007ffb015481b4 (__TEXT,__text) non-external _build_callit_rpc
00007ffb4306e830 (__DATA,__data) non-external _cache_control_init
00007ffb01550b23 (__TEXT,__text) non-external _cache_init
00007ffb01557d8a (__TEXT,__text) non-external _cache_init.cold.1
00007ffb4306e990 (__DATA,__bss) non-external _cache_rwlock
                 (undefined) external _calloc (from libSystem)
00007ffb4306e8f0 (__DATA,__bss) non-external _callrpc_private
00007ffb015466ce (__TEXT,__text) non-external _check_raddr
                 (undefined) external _chmod (from libSystem)
00007ffb4306e3f8 (__DATA,__data) non-external _client_ops
00007ffb015444a6 (__TEXT,__text) external _clnt_auth_set
00007ffb4306e3e8 (__DATA,__data) non-external _clnt_perror_once
00007ffb01545212 (__TEXT,__text) non-external _clnt_sperror_r
00007ffb01545b34 (__TEXT,__text) non-external _clntraw_abort
00007ffb0154594b (__TEXT,__text) non-external _clntraw_call
00007ffb01545b71 (__TEXT,__text) non-external _clntraw_control
00007ffb01545b6b (__TEXT,__text) non-external _clntraw_destroy
00007ffb01545b40 (__TEXT,__text) non-external _clntraw_freeres
00007ffb01545b3a (__TEXT,__text) non-external _clntraw_geterr
00007ffb4306e910 (__DATA,__bss) non-external _clntraw_private
00007ffb01546cff (__TEXT,__text) non-external _clntstrm_abort
00007ffb015469b4 (__TEXT,__text) non-external _clntstrm_call
00007ffb01546d97 (__TEXT,__text) non-external _clntstrm_control
00007ffb01545b79 (__TEXT,__text) external _clntstrm_create_timeout
00007ffb01553bcd (__TEXT,__text) non-external _clntstrm_create_timeout.cold.1
00007ffb01553c61 (__TEXT,__text) non-external _clntstrm_create_timeout.cold.2
00007ffb01553d0f (__TEXT,__text) non-external _clntstrm_create_timeout.cold.3
00007ffb01553daa (__TEXT,__text) non-external _clntstrm_create_timeout.cold.4
00007ffb01553e42 (__TEXT,__text) non-external _clntstrm_create_timeout.cold.5
00007ffb01553ee0 (__TEXT,__text) non-external _clntstrm_create_timeout.cold.6
00007ffb01553f78 (__TEXT,__text) non-external _clntstrm_create_timeout.cold.7
00007ffb01546d44 (__TEXT,__text) non-external _clntstrm_destroy
00007ffb01546d22 (__TEXT,__text) non-external _clntstrm_freeres
00007ffb01546d05 (__TEXT,__text) non-external _clntstrm_geterr
00007ffb015466ff (__TEXT,__text) external _clntticots_create
00007ffb015540ae (__TEXT,__text) non-external _clntticots_create.cold.1
00007ffb015469aa (__TEXT,__text) external _clntticots_create_timeout
00007ffb0154664e (__TEXT,__text) external _clntticotsord_create
00007ffb01554013 (__TEXT,__text) non-external _clntticotsord_create.cold.1
00007ffb01546925 (__TEXT,__text) external _clntticotsord_create_timeout
00007ffb0155431a (__TEXT,__text) non-external _clntticotsord_create_timeout.cold.1
00007ffb015477cf (__TEXT,__text) non-external _clntudp_abort
00007ffb015472f6 (__TEXT,__text) non-external _clntudp_call
00007ffb0154785e (__TEXT,__text) non-external _clntudp_control
00007ffb01547814 (__TEXT,__text) non-external _clntudp_destroy
00007ffb015477f2 (__TEXT,__text) non-external _clntudp_freeres
00007ffb015477d5 (__TEXT,__text) non-external _clntudp_geterr
                 (undefined) external _close (from libSystem)
00007ffb01550c00 (__TEXT,__text) non-external _compare_sa
00007ffb01558200 (__TEXT,__const) non-external _compare_sa.allones
00007ffb4306ea60 (__DATA,__common) non-external (was a private external) _conncount
                 (undefined) external _connect (from libSystem)
00007ffb4306e818 (__DATA,__data) non-external _create_key_init
00007ffb0154ccc9 (__TEXT,__text) non-external _create_svc_req_key
00007ffb0154faf0 (__TEXT,__text) non-external (was a private external) _cvt4to6
00007ffb0154faa0 (__TEXT,__text) non-external (was a private external) _cvt6to4
00007ffb015581e8 (__TEXT,__const) non-external _default_tottimeout
                 (undefined) external _exit (from libSystem)
                 (undefined) external _fcntl (from libSystem)
                 (undefined) external _fflush (from libSystem)
00007ffb0154eb3f (__TEXT,__text) non-external _fill_input_buf
00007ffb0154e90b (__TEXT,__text) non-external _flush_out
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
00007ffb01545011 (__TEXT,__text) non-external _free_interface_list
                 (undefined) external _freeaddrinfo (from libSystem)
                 (undefined) external _freehostent (from libSystem)
                 (undefined) external _freeifaddrs (from libSystem)
00007ffb01550923 (__TEXT,__text) external _freenetconfigent
                 (undefined) external _fseek (from libSystem)
                 (undefined) external _ftell (from libSystem)
                 (undefined) external _fwrite (from libSystem)
00007ffb0154ea28 (__TEXT,__text) non-external _get_input_bytes
                 (undefined) external _getaddrinfo (from libSystem)
                 (undefined) external _getegid (from libSystem)
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _geteuid (from libSystem)
                 (undefined) external _getgroups (from libSystem)
00007ffb0154fb27 (__TEXT,__text) non-external (was a private external) _gethostaddr
                 (undefined) external _gethostbyname (from libSystem)
                 (undefined) external _gethostname (from libSystem)
                 (undefined) external _getifaddrs (from libSystem)
                 (undefined) external _getipnodebyname (from libSystem)
00007ffb0155095a (__TEXT,__text) external _getnetconfigent
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getpwuid_r (from libSystem)
00007ffb015526b1 (__TEXT,__text) non-external _getrpcbind_handle
                 (undefined) external _getsockname (from libSystem)
                 (undefined) external _getsockopt (from libSystem)
                 (undefined) external _gettimeofday (from libSystem)
00007ffb01552a45 (__TEXT,__text) non-external _handle_callerror
00007ffb0154ee55 (__TEXT,__text) non-external _harmless
00007ffb4306e960 (__DATA,__bss) non-external _if_addr_cache
                 (undefined) external _if_nametoindex (from libSystem)
                 (undefined) external _in6addr_loopback (from libSystem)
                 (undefined) external _inet_ntop (from libSystem)
                 (undefined) external _inet_pton (from libSystem)
                 (undefined) external _ioctl (from libSystem)
                 (undefined) external _kevent64 (from libSystem)
00007ffb4306e730 (__DATA,__data) non-external (was a private external) _kq
00007ffb4306e748 (__DATA,__data) non-external _kq_control_fd
                 (undefined) external _kqueue (from libSystem)
                 (undefined) external _listen (from libSystem)
                 (undefined) external _lseek (from libSystem)
                 (undefined) external _mach_task_self_ (from libSystem)
00007ffb0154ac7d (__TEXT,__text) non-external _makefd_xprt
00007ffb015558e5 (__TEXT,__text) non-external _makefd_xprt.cold.1
00007ffb01555993 (__TEXT,__text) non-external _makefd_xprt.cold.2
00007ffb01555a2e (__TEXT,__text) non-external _makefd_xprt.cold.3
00007ffb01555adc (__TEXT,__text) non-external _makefd_xprt.cold.4
00007ffb01555b8a (__TEXT,__text) non-external _makefd_xprt.cold.5
                 (undefined) external _malloc (from libSystem)
00007ffb01543cec (__TEXT,__text) non-external _marshal_new_auth
00007ffb0155354e (__TEXT,__text) non-external _marshal_new_auth.cold.1
00007ffb4306e3d0 (__DATA,__data) non-external _maxgrplist
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
