00007ff813025ca6 (__TEXT,__text) non-external _Annihilate
00007ff8130616c8 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl13
00007ff813061f44 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl14
00007ff8130627c0 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl15
00007ff81306303c (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl16
00007ff81306395b (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl17
00007ff81305ec5c (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl8
00007ff81305f4d8 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl9
00007ff813037040 (__TEXT,__text) non-external (was a private external) _BrotliConvertBitDepthsToSymbols
00007ff81304e634 (__TEXT,__text) non-external (was a private external) _BrotliCreateBackwardReferences
00007ff81304126d (__TEXT,__text) non-external (was a private external) _BrotliCreateHqZopfliBackwardReferences
00007ff8130365f9 (__TEXT,__text) non-external (was a private external) _BrotliCreateHuffmanTree
00007ff813041144 (__TEXT,__text) non-external (was a private external) _BrotliCreateZopfliBackwardReferences
00007ff81302c45c (__TEXT,__text) non-external (was a private external) _BrotliDecoderCreateInstance
00007ff81302c534 (__TEXT,__text) non-external (was a private external) _BrotliDecoderDecompress
00007ff81302c613 (__TEXT,__text) non-external (was a private external) _BrotliDecoderDecompressStream
00007ff81302c4ff (__TEXT,__text) non-external (was a private external) _BrotliDecoderDestroyInstance
00007ff813030755 (__TEXT,__text) non-external (was a private external) _BrotliDecoderErrorString
00007ff81303074c (__TEXT,__text) non-external (was a private external) _BrotliDecoderGetErrorCode
00007ff81303062c (__TEXT,__text) non-external (was a private external) _BrotliDecoderHasMoreOutput
00007ff8130328c3 (__TEXT,__text) non-external (was a private external) _BrotliDecoderHuffmanTreeGroupInit
00007ff81303070e (__TEXT,__text) non-external (was a private external) _BrotliDecoderIsFinished
00007ff8130306f5 (__TEXT,__text) non-external (was a private external) _BrotliDecoderIsUsed
00007ff81302c410 (__TEXT,__text) non-external (was a private external) _BrotliDecoderSetParameter
00007ff813032888 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateCleanup
00007ff8130327f8 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateCleanupAfterMetablock
00007ff813032699 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateInit
00007ff81303277f (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateMetablockBegin
00007ff813030660 (__TEXT,__text) non-external (was a private external) _BrotliDecoderTakeOutput
00007ff81301cfb7 (__TEXT,__text) non-external (was a private external) _BrotliDecoderVersion
00007ff81302c1a5 (__TEXT,__text) non-external (was a private external) _BrotliDefaultAllocFunc
00007ff81302c1b2 (__TEXT,__text) non-external (was a private external) _BrotliDefaultFreeFunc
00007ff813026efb (__TEXT,__text) non-external (was a private external) _BrotliDestroyBlockSplit
00007ff81301813b (__TEXT,__text) non-external (was a private external) _BrotliEncoderCompress
00007ff813019da0 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCompressStream
00007ff813017ec0 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCreateInstance
00007ff81301800d (__TEXT,__text) non-external (was a private external) _BrotliEncoderDestroyInstance
00007ff81301cf34 (__TEXT,__text) non-external (was a private external) _BrotliEncoderHasMoreOutput
00007ff81301ad6c (__TEXT,__text) non-external (was a private external) _BrotliEncoderIsFinished
00007ff813018111 (__TEXT,__text) non-external (was a private external) _BrotliEncoderMaxCompressedSize
00007ff813017e20 (__TEXT,__text) non-external (was a private external) _BrotliEncoderSetParameter
00007ff81301cf47 (__TEXT,__text) non-external (was a private external) _BrotliEncoderTakeOutput
00007ff81301cfb7 (__TEXT,__text) non-external (was a private external) _BrotliEncoderVersion
00007ff81302efc4 (__TEXT,__text) non-external _BrotliEnsureRingBuffer
00007ff813035648 (__TEXT,__text) non-external (was a private external) _BrotliEstimateBitCostsForLiterals
00007ff81305c434 (__TEXT,__text) non-external (was a private external) _BrotliFindAllStaticDictionaryMatches
00007ff813072c9c (__TEXT,__text) non-external _BrotliFindAllStaticDictionaryMatches.cold.1
00007ff813072c9c (__TEXT,__text) non-external _BrotliFindAllStaticDictionaryMatches.cold.2
00007ff813025bb2 (__TEXT,__text) non-external (was a private external) _BrotliFree
00007ff813025d5b (__TEXT,__text) non-external (was a private external) _BrotliGetDictionary
00007ff81304537c (__TEXT,__text) non-external (was a private external) _BrotliGetTransforms
00007ff81303d5fd (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceCommand
00007ff81303e268 (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceDistance
00007ff81303c992 (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceLiteral
00007ff81303d34a (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineCommand
00007ff81303dfb5 (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineDistance
00007ff81303c6df (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineLiteral
00007ff81303d80c (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexCommand
00007ff81303e477 (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexDistance
00007ff81303cba1 (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexLiteral
00007ff81303d68a (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapCommand
00007ff81303e2f5 (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapDistance
00007ff81303ca1f (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapLiteral
00007ff81302c271 (__TEXT,__text) non-external (was a private external) _BrotliInitBitReader
00007ff813026ee7 (__TEXT,__text) non-external (was a private external) _BrotliInitBlockSplit
00007ff8130677e0 (__TEXT,__text) non-external (was a private external) _BrotliInitDistanceParams
00007ff813045318 (__TEXT,__text) non-external (was a private external) _BrotliInitEncoderDictionary
00007ff813025a5d (__TEXT,__text) non-external (was a private external) _BrotliInitMemoryManager
00007ff81303f332 (__TEXT,__text) non-external (was a private external) _BrotliInitZopfliNodes
00007ff81305e2e0 (__TEXT,__text) non-external (was a private external) _BrotliIsMostlyUTF8
00007ff8130689bb (__TEXT,__text) non-external (was a private external) _BrotliOptimizeHistograms
00007ff81303686e (__TEXT,__text) non-external (was a private external) _BrotliOptimizeHuffmanCountsForRle
00007ff81304b308 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostCommand
00007ff81304b848 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostDistance
00007ff81304adf4 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostLiteral
00007ff813093770 (__TEXT,__const) non-external _BrotliReverseBits.kLut
00007ff81302c2d4 (__TEXT,__text) non-external (was a private external) _BrotliSafeReadBits32Slow
00007ff81303655f (__TEXT,__text) non-external (was a private external) _BrotliSetDepth
00007ff813025d68 (__TEXT,__text) non-external (was a private external) _BrotliSetDictionaryData
00007ff813026f36 (__TEXT,__text) non-external (was a private external) _BrotliSplitBlock
00007ff81304672d (__TEXT,__text) non-external (was a private external) _BrotliStoreHuffmanTree
00007ff8130c7d08 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kHuffmanBitLengthHuffmanCodeBitLengths
00007ff8130c7d02 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kHuffmanBitLengthHuffmanCodeSymbols
00007ff8130c7cf0 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kStorageOrder
00007ff813047109 (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlock
00007ff813049a2e (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlockFast
00007ff81302532d (__TEXT,__text) non-external _BrotliStoreMetaBlockHeader
00007ff813049097 (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlockTrivial
00007ff813049e48 (__TEXT,__text) non-external (was a private external) _BrotliStoreUncompressedMetaBlock
00007ff813045389 (__TEXT,__text) non-external (was a private external) _BrotliTransformDictionaryWord
00007ff81302c285 (__TEXT,__text) non-external (was a private external) _BrotliWarmupBitReader
00007ff813025bf7 (__TEXT,__text) non-external (was a private external) _BrotliWipeOutMemoryManager
00007ff813036c57 (__TEXT,__text) non-external (was a private external) _BrotliWriteHuffmanTree
00007ff81303f683 (__TEXT,__text) non-external (was a private external) _BrotliZopfliComputeShortestPath
00007ff81303f355 (__TEXT,__text) non-external (was a private external) _BrotliZopfliCreateCommands
00007ff813047cf8 (__TEXT,__text) non-external _BuildAndStoreBlockSwitchEntropyCodes
00007ff813025830 (__TEXT,__text) non-external _BuildAndStoreCommandPrefixCode
00007ff813048c20 (__TEXT,__text) non-external _BuildAndStoreEntropyCodesDistance
00007ff8130493de (__TEXT,__text) non-external _BuildAndStoreHuffmanTree
00007ff8130253e6 (__TEXT,__text) non-external _BuildAndStoreLiteralPrefixCode
00007ff813049316 (__TEXT,__text) non-external _BuildHistograms
00007ff813073670 (__TEXT,__const) non-external _ChooseContextMap.kStaticContextMapContinuation
00007ff813073770 (__TEXT,__const) non-external _ChooseContextMap.kStaticContextMapSimpleUTF8
00007ff81301cfc2 (__TEXT,__text) non-external _ChooseDistanceParams
00007ff813025aee (__TEXT,__text) non-external _CollectGarbagePointers
00007ff81306818c (__TEXT,__text) non-external _ComputeDistanceCost
00007ff8130410c4 (__TEXT,__text) non-external _ComputeShortestPathFromNodes
00007ff81306993a (__TEXT,__text) non-external _ContextBlockSplitterFinishBlock
00007ff81302e9c0 (__TEXT,__text) non-external _CopyUncompressedBlockToOutput
00007ff81304e7f4 (__TEXT,__text) non-external _CreateBackwardReferencesNH2
00007ff81304f6ec (__TEXT,__text) non-external _CreateBackwardReferencesNH3
00007ff813058aaf (__TEXT,__text) non-external _CreateBackwardReferencesNH35
00007ff8130502eb (__TEXT,__text) non-external _CreateBackwardReferencesNH4
00007ff813053e8e (__TEXT,__text) non-external _CreateBackwardReferencesNH40
00007ff8130552d3 (__TEXT,__text) non-external _CreateBackwardReferencesNH41
00007ff8130567cc (__TEXT,__text) non-external _CreateBackwardReferencesNH42
00007ff813051389 (__TEXT,__text) non-external _CreateBackwardReferencesNH5
00007ff813057dc1 (__TEXT,__text) non-external _CreateBackwardReferencesNH54
00007ff813059a42 (__TEXT,__text) non-external _CreateBackwardReferencesNH55
00007ff813052885 (__TEXT,__text) non-external _CreateBackwardReferencesNH6
00007ff81305aab1 (__TEXT,__text) non-external _CreateBackwardReferencesNH65
00007ff81301e1c6 (__TEXT,__text) non-external _DecideOverLiteralContextModeling
00007ff813073560 (__TEXT,__const) non-external _DecideOverLiteralContextModeling.lut
00007ff813030d44 (__TEXT,__text) non-external _DecodeCommandBlockSwitch
00007ff81302eb41 (__TEXT,__text) non-external _DecodeContextMap
00007ff813031869 (__TEXT,__text) non-external _DecodeDistanceBlockSwitch
00007ff8130312e8 (__TEXT,__text) non-external _DecodeLiteralBlockSwitch
00007ff81302d80d (__TEXT,__text) non-external _DecodeMetaBlockLength
00007ff81302ddda (__TEXT,__text) non-external _DecodeVarLenUint8
00007ff8130252ac (__TEXT,__text) non-external _EmitUncompressedMetaBlock
00007ff813048235 (__TEXT,__text) non-external _EncodeContextMap
00007ff81301ae9b (__TEXT,__text) non-external _EncodeData
00007ff813040eee (__TEXT,__text) non-external _EvaluateNode
00007ff81301da95 (__TEXT,__text) non-external _ExtendLastCommand
00007ff813093840 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
00007ff8130d1200 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
00007ff8130e9d20 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
00007ff81301d8d7 (__TEXT,__text) non-external _GetBrotliStorage
00007ff81301d94b (__TEXT,__text) non-external _GetHashTable
00007ff813068c89 (__TEXT,__text) non-external _InitBlockSplitterCommand
00007ff813068e44 (__TEXT,__text) non-external _InitBlockSplitterDistance
00007ff813068ace (__TEXT,__text) non-external _InitBlockSplitterLiteral
00007ff813073460 (__TEXT,__const) non-external _InitCommandPrefixCodes.kDefaultCommandBits
00007ff8130ea220 (__TEXT,__cstring) non-external _InitCommandPrefixCodes.kDefaultCommandCode
00007ff8130733e0 (__TEXT,__const) non-external _InitCommandPrefixCodes.kDefaultCommandDepths
00007ff8130404ca (__TEXT,__text) non-external _InitZopfliCostModel
00007ff81301d28e (__TEXT,__text) non-external _InitializeH6
00007ff81301ad8a (__TEXT,__text) non-external _InjectFlushOrPushOutput
00007ff813030811 (__TEXT,__text) non-external _InverseMoveToFrontTransform
00007ff8130382ce (__TEXT,__text) non-external _LZFSEIBootBufferCopy
00007ff813038280 (__TEXT,__text) non-external _LZFSEIBootBufferPush
00007ff8130381a5 (__TEXT,__text) non-external _LZFSEIBootBufferPushN
00007ff81306b5f8 (__TEXT,__text) non-external _MapStaticContexts
00007ff81301d5e6 (__TEXT,__text) non-external _PrepareH35
00007ff81301d2f5 (__TEXT,__text) non-external _PrepareH4
00007ff81301d430 (__TEXT,__text) non-external _PrepareH40
00007ff81301d430 (__TEXT,__text) non-external _PrepareH41
00007ff81301d4d0 (__TEXT,__text) non-external _PrepareH42
00007ff81301d363 (__TEXT,__text) non-external _PrepareH5
00007ff81301d578 (__TEXT,__text) non-external _PrepareH54
00007ff81301d6ee (__TEXT,__text) non-external _PrepareH55
00007ff81301d3bf (__TEXT,__text) non-external _PrepareH6
00007ff81301d7a0 (__TEXT,__text) non-external _PrepareH65
00007ff81302f069 (__TEXT,__text) non-external _ProcessCommands
00007ff81302df95 (__TEXT,__text) non-external _ReadHuffmanCode
00007ff8130309f9 (__TEXT,__text) non-external _SafeDecodeCommandBlockSwitch
00007ff81303150f (__TEXT,__text) non-external _SafeDecodeDistanceBlockSwitch
00007ff813030f1f (__TEXT,__text) non-external _SafeDecodeLiteralBlockSwitch
00007ff81303077f (__TEXT,__text) non-external _SafeDecodeSymbol
00007ff81302fad4 (__TEXT,__text) non-external _SafeProcessCommands
00007ff81302d6c4 (__TEXT,__text) non-external _SaveErrorCode
00007ff81304266c (__TEXT,__text) non-external _SetCost
00007ff8130455ae (__TEXT,__text) non-external _Shift
00007ff81301d00e (__TEXT,__text) non-external _ShouldCompress
00007ff81306427a (__TEXT,__text) non-external _ShouldCompress
00007ff813025615 (__TEXT,__text) non-external _ShouldMergeBlock
00007ff813073570 (__TEXT,__const) non-external _ShouldUseComplexStaticContextMap.kStaticContextMapComplexUTF8
00007ff813025c32 (__TEXT,__text) non-external _SortPointers
00007ff813073b50 (__TEXT,__const) non-external _SortPointers.gaps
00007ff8130644d0 (__TEXT,__text) non-external _StoreCommands
00007ff8130c8a70 (__TEXT,__const) non-external _StoreCommands.kInsertOffset
00007ff8130c8870 (__TEXT,__const) non-external _StoreCommands.kNumExtraBits
00007ff813047bb1 (__TEXT,__text) non-external _StoreCompressedMetaBlockHeader
00007ff813049747 (__TEXT,__text) non-external _StoreDataWithHuffmanCodes
00007ff813048d0f (__TEXT,__text) non-external _StoreSymbol
00007ff813048ec7 (__TEXT,__text) non-external _StoreSymbolWithContext
00007ff813047fed (__TEXT,__text) non-external _StoreTrivialContextMap
00007ff813049fc6 (__TEXT,__text) non-external _StoreVarLenUint8
00007ff8130257ad (__TEXT,__text) non-external _UpdateBits
00007ff81301da25 (__TEXT,__text) non-external _UpdateLastProcessedPos
00007ff813040675 (__TEXT,__text) non-external _UpdateNodes
00007ff8130305f8 (__TEXT,__text) non-external _WrapRingBuffer
00007ff81301dd0b (__TEXT,__text) non-external _WriteMetaBlockInternal
00007ff81302d6d8 (__TEXT,__text) non-external _WriteRingBuffer
00007ff81304053c (__TEXT,__text) non-external _ZopfliCostModelSetFromLiteralCosts
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00007ff8130ea150 (__TEXT,__const) non-external __ZL21counter_get_quantizerPK12cosl_counter.lut
00007ff813093db0 (__TEXT,__const) non-external __ZL22lzma_copy_with_patternPhjj.repeat_off
00007ff813093cc0 (__TEXT,__const) non-external __ZL22lzma_copy_with_patternPhjj.repeat_perm
00007ff8416d23b0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00007ff813033e66 (__TEXT,__text) non-external ___yzip_jobs_process_block_invoke
00007ff8130cfbe0 (__TEXT,__const) non-external (was a private external) __dist_code
00007ff843c96800 (__DATA,__data) non-external __dyld_private
00007ff8130c8050 (__TEXT,__const) non-external (was a private external) __kBrotliContextLookupTable
00007ff8130738a0 (__TEXT,__const) non-external (was a private external) __kBrotliPrefixCodeRanges
00007ff8130cfde0 (__TEXT,__const) non-external (was a private external) __length_code
00007ff813067515 (__TEXT,__text) non-external (was a private external) __tr_align
00007ff81300ea2f (__TEXT,__text) non-external (was a private external) __tr_flush_block
00007ff81300ce16 (__TEXT,__text) non-external (was a private external) __tr_init
00007ff8130673ee (__TEXT,__text) non-external (was a private external) __tr_stored_block
00007ff813067745 (__TEXT,__text) non-external (was a private external) __tr_tally
00007ff81300cce0 (__TEXT,__text) non-external (was a private external) _adler32
00007ff813016620 (__TEXT,__text) non-external (was a private external) _adler32_vec
00007ff8130d05d0 (__TEXT,__const) non-external _base_dist
00007ff8130d0550 (__TEXT,__const) non-external _base_length
00007ff8130676c3 (__TEXT,__text) non-external _bi_flush
00007ff813010377 (__TEXT,__text) non-external _bi_windup
00007ff8130d0530 (__TEXT,__const) non-external _bl_order
00007ff8130c7dd0 (__TEXT,__const) non-external _breverse.brev8
00007ff8130656f3 (__TEXT,__text) non-external (was a private external) _brotli_decode_buffer
00007ff813065728 (__TEXT,__text) non-external (was a private external) _brotli_encode_buffer
00007ff8130658de (__TEXT,__text) non-external (was a private external) _brotli_stream_end
00007ff813065808 (__TEXT,__text) non-external (was a private external) _brotli_stream_init
00007ff813065764 (__TEXT,__text) non-external (was a private external) _brotli_stream_process
00007ff81300f3e9 (__TEXT,__text) non-external _build_tree
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _close (from libSystem)
00007ff81306567c (__TEXT,__text) non-external (was a private external) _codecGetFooterID
00007ff813064c9b (__TEXT,__text) non-external (was a private external) _codecReadHeader
00007ff813065604 (__TEXT,__text) non-external (was a private external) _codecResetModel
00007ff81306516c (__TEXT,__text) non-external (was a private external) _codecWriteHeader
00007ff81300ff4e (__TEXT,__text) non-external _compress_block
00007ff813012193 (__TEXT,__text) external _compression_decode_buffer
00007ff81301208f (__TEXT,__text) external _compression_decode_scratch_buffer_size
00007ff81305e660 (__TEXT,__text) external _compression_encode_buffer
00007ff81305e50e (__TEXT,__text) external _compression_encode_scratch_buffer_size
00007ff813010537 (__TEXT,__text) external _compression_stream_destroy
00007ff813035556 (__TEXT,__text) external _compression_stream_get_decode_state_size
00007ff813035500 (__TEXT,__text) external _compression_stream_get_encode_state_size
00007ff8130354b9 (__TEXT,__text) external _compression_stream_get_state_size
00007ff813035437 (__TEXT,__text) external _compression_stream_identify_algorithm
00007ff81300c6c0 (__TEXT,__text) external _compression_stream_init
00007ff8130353e9 (__TEXT,__text) external _compression_stream_init_with_state_buffer
00007ff8130355ac (__TEXT,__text) external _compression_stream_is_state_valid
00007ff81300d361 (__TEXT,__text) external _compression_stream_process
00007ff8130128cf (__TEXT,__text) external _compression_stream_reinit
00007ff8416d2c20 (__DATA_CONST,__const) non-external _configuration_table
00007ff81303c09b (__TEXT,__text) non-external _convert_row_16to8
00007ff81303c036 (__TEXT,__text) non-external _convert_row_8to16
00007ff81303be38 (__TEXT,__text) non-external _convert_row_GUVAtoRGBA8888
00007ff81303b93e (__TEXT,__text) non-external _convert_row_GUVtoRGB888
00007ff81303c398 (__TEXT,__text) non-external _convert_row_PlanarRGtoRG
00007ff81303c110 (__TEXT,__text) non-external _convert_row_RG88toRG
00007ff81303b715 (__TEXT,__text) non-external _convert_row_RGB888toGUV
00007ff81303bb5d (__TEXT,__text) non-external _convert_row_RGBA8888toGUVA
00007ff81303c29b (__TEXT,__text) non-external _convert_row_RGtoPlanarRG
00007ff81303c1c9 (__TEXT,__text) non-external _convert_row_RGtoRG88
00007ff81303c103 (__TEXT,__text) non-external _convert_row_copy16
00007ff81303abae (__TEXT,__text) non-external (was a private external) _convert_row_to_lsb
00007ff81303ab54 (__TEXT,__text) non-external (was a private external) _convert_row_to_msb
00007ff81303b49c (__TEXT,__text) non-external _convert_rows_from_bayer16
00007ff81303b261 (__TEXT,__text) non-external _convert_rows_from_bayer8
00007ff81303ad0c (__TEXT,__text) non-external _convert_rows_from_quadra8
00007ff81303b5f8 (__TEXT,__text) non-external _convert_rows_to_bayer16
00007ff81303b376 (__TEXT,__text) non-external _convert_rows_to_bayer8
00007ff81303afaf (__TEXT,__text) non-external _convert_rows_to_quadra8
00007ff81306fbc1 (__TEXT,__text) external _cosl_codec_decode
00007ff81306f1b6 (__TEXT,__text) external _cosl_codec_encode
00007ff81306fab8 (__TEXT,__text) external _cosl_codec_get_decoded_size
00007ff8130708c7 (__TEXT,__text) external _cosl_codec_get_id
00007ff813070678 (__TEXT,__text) external _cosl_codec_map
00007ff81307087d (__TEXT,__text) external _cosl_codec_unmap
00007ff813070195 (__TEXT,__text) external _cosl_model_create
00007ff8130702d7 (__TEXT,__text) external _cosl_model_destroy
00007ff813070300 (__TEXT,__text) external _cosl_model_save_codec
00007ff81306ed19 (__TEXT,__text) external _cosl_model_update
00007ff81304cd5e (__TEXT,__text) external _cosmix_codec_decode
00007ff81304c404 (__TEXT,__text) external _cosmix_codec_encode
00007ff81304cc7a (__TEXT,__text) external _cosmix_codec_get_decoded_size
00007ff81304d83d (__TEXT,__text) external _cosmix_codec_get_id
00007ff81304d6b6 (__TEXT,__text) external _cosmix_codec_map
00007ff81304d7f5 (__TEXT,__text) external _cosmix_codec_unmap
00007ff81304d2d9 (__TEXT,__text) external _cosmix_model_create
00007ff81304d404 (__TEXT,__text) external _cosmix_model_destroy
00007ff81304d42d (__TEXT,__text) external _cosmix_model_save_codec
00007ff81304bd88 (__TEXT,__text) external _cosmix_model_update
00007ff81306497c (__TEXT,__text) non-external (was a private external) _crc32
00007ff8130d14b0 (__TEXT,__const) non-external _crc32_lut4
00007ff8130c8ad0 (__TEXT,__const) non-external _crc_table
00007ff813038e3a (__TEXT,__text) non-external _create_rectangle_within_image
00007ff81302c1bf (__TEXT,__text) non-external (was a private external) _create_thread
00007ff81300d773 (__TEXT,__text) non-external (was a private external) _deflate
00007ff81306d2a4 (__TEXT,__text) non-external (was a private external) _deflateBound
00007ff81306d879 (__TEXT,__text) non-external (was a private external) _deflateCopy
00007ff81301044c (__TEXT,__text) non-external (was a private external) _deflateEnd
00007ff81300c886 (__TEXT,__text) non-external (was a private external) _deflateInit2_
00007ff81306cfc0 (__TEXT,__text) non-external (was a private external) _deflateInit_
00007ff81306d17f (__TEXT,__text) non-external (was a private external) _deflateParams
00007ff81306d14a (__TEXT,__text) non-external (was a private external) _deflatePrime
00007ff81300cb99 (__TEXT,__text) non-external (was a private external) _deflateReset
00007ff81306cfea (__TEXT,__text) non-external (was a private external) _deflateSetDictionary
00007ff81306d125 (__TEXT,__text) non-external (was a private external) _deflateSetHeader
00007ff81306d270 (__TEXT,__text) non-external (was a private external) _deflateTune
00007ff8130d1450 (__TEXT,__const) non-external (was a private external) _deflate_copyright
00007ff81306dcb4 (__TEXT,__text) non-external _deflate_fast
00007ff81306d3ad (__TEXT,__text) non-external _deflate_huff
00007ff81306d528 (__TEXT,__text) non-external _deflate_rle
00007ff81300e0de (__TEXT,__text) non-external _deflate_slow
00007ff81306daec (__TEXT,__text) non-external _deflate_stored
                 (undefined) external _dispatch_apply (from libSystem)
00007ff813046075 (__TEXT,__text) non-external _emitMatch
00007ff8130d04e0 (__TEXT,__const) non-external _extra_blbits
00007ff8130d0460 (__TEXT,__const) non-external _extra_dbits
00007ff8130d03e0 (__TEXT,__const) non-external _extra_lbits
                 (undefined) external _fclose (from libSystem)
00007ff81300e5d2 (__TEXT,__text) non-external _fill_window
00007ff8130103e8 (__TEXT,__text) non-external _flush_pending
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _free (from libSystem)
00007ff81306cf74 (__TEXT,__text) non-external _fse_adjust_freqs
                 (undefined) external _fstat$INODE64 (from libSystem)
                 (undefined) external _fwrite (from libSystem)
00007ff8130d1100 (__TEXT,__const) non-external _getDSymbolFromValue.sym
00007ff8130d0680 (__TEXT,__const) non-external _getLSymbolFromValue.sym
00007ff8130d07c0 (__TEXT,__const) non-external _getMSymbolFromValue.sym
00007ff81303ac08 (__TEXT,__text) non-external (was a private external) _get_conversion_set
00007ff81306496f (__TEXT,__text) non-external (was a private external) _get_crc_table
00007ff81303f2b6 (__TEXT,__text) non-external (was a private external) _get_default_nthreads
00007ff81303853d (__TEXT,__text) non-external _get_format_bits
00007ff81303839c (__TEXT,__text) non-external (was a private external) _get_format_bytes_per_pixel
00007ff8130383bd (__TEXT,__text) non-external (was a private external) _get_format_components
