                 (undefined) external _AuthorizationCopyInfo (from Security)
                 (undefined) external _AuthorizationCopyRights (from Security)
                 (undefined) external _AuthorizationCreate (from Security)
                 (undefined) external _AuthorizationFree (from Security)
                 (undefined) external _AuthorizationFreeItemSet (from Security)
                 (undefined) external _CC_SHA1_Final (from libSystem)
                 (undefined) external _CC_SHA1_Init (from libSystem)
                 (undefined) external _CC_SHA1_Update (from libSystem)
                 (undefined) external _CFBooleanGetTypeID (from CoreFoundation)
                 (undefined) external _CFBooleanGetValue (from CoreFoundation)
                 (undefined) external _CFDataGetBytePtr (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateData (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateWithStream (from CoreFoundation)
                 (undefined) external _CFReadStreamCreateWithFile (from CoreFoundation)
                 (undefined) external _CFReadStreamOpen (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormat (from CoreFoundation)
                 (undefined) external _CFURLCreateWithFileSystemPath (from CoreFoundation)
000000018f090ed0 (__TEXT,__text) external _FSp_krb_get_svc_in_tkt
000000018f090ef0 (__TEXT,__text) external _KClientGetLocalRealmDeprecated
000000018f090f88 (__TEXT,__text) external _KClientGetNthCredentialDeprecated
000000018f090f18 (__TEXT,__text) external _KClientGetNthRealmMapDeprecated
000000018f090f20 (__TEXT,__text) external _KClientGetNthServerDeprecated
000000018f090f38 (__TEXT,__text) external _KClientGetNthServerMapDeprecated
000000018f090f40 (__TEXT,__text) external _KClientGetNthServerPortDeprecated
000000018f090f58 (__TEXT,__text) external _KClientGetNthSessionDeprecated
000000018f090f80 (__TEXT,__text) external _KClientGetNumCredentialsDeprecated
000000018f090f50 (__TEXT,__text) external _KClientGetNumSessionsDeprecated
000000018f0911a8 (__TEXT,__text) external _KClientGetProtectedServiceReply
000000018f090f00 (__TEXT,__text) external _KClientGetRealmDeprecated
000000018f091120 (__TEXT,__text) external _KClientGetRemoteAddress
000000018f091100 (__TEXT,__text) external _KClientGetServerPrincipal
000000018f091168 (__TEXT,__text) external _KClientGetServiceKey
000000018f091130 (__TEXT,__text) external _KClientGetSessionKey
000000018f091058 (__TEXT,__text) external _KClientGetSessionKeyCompat
000000018f0910b0 (__TEXT,__text) external _KClientGetSessionUserNameCompat
000000018f091178 (__TEXT,__text) external _KClientGetTicketForService
000000018f091028 (__TEXT,__text) external _KClientGetTicketForServiceCompat
000000018f091030 (__TEXT,__text) external _KClientGetTicketForServiceWithChecksumCompat
000000018f090f90 (__TEXT,__text) external _KClientGetUserNameDeprecated
000000018f0910d0 (__TEXT,__text) external _KClientGetVersion
000000018f091158 (__TEXT,__text) external _KClientKeyFileLogin
000000018f091148 (__TEXT,__text) external _KClientLogin
000000018f091038 (__TEXT,__text) external _KClientLoginCompat
000000018f091160 (__TEXT,__text) external _KClientLogout
000000018f091048 (__TEXT,__text) external _KClientLogoutCompat
000000018f0910b8 (__TEXT,__text) external _KClientMakeSendAuthCompat
000000018f0910d8 (__TEXT,__text) external _KClientNewClientSession
000000018f0910e0 (__TEXT,__text) external _KClientNewServerSession
000000018f091018 (__TEXT,__text) external _KClientNewSessionCompat
000000018f091150 (__TEXT,__text) external _KClientPasswordLogin
000000018f091040 (__TEXT,__text) external _KClientPasswordLoginCompat
000000018f0911e0 (__TEXT,__text) external _KClientPrincipalToV4String
000000018f0911e8 (__TEXT,__text) external _KClientPrincipalToV4Triplet
000000018f0911c0 (__TEXT,__text) external _KClientProtectIntegrity
000000018f091070 (__TEXT,__text) external _KClientProtectIntegrityCompat
000000018f0910f8 (__TEXT,__text) external _KClientSetClientPrincipal
000000018f091140 (__TEXT,__text) external _KClientSetKeyFile
000000018f091118 (__TEXT,__text) external _KClientSetLocalAddress
000000018f090ef8 (__TEXT,__text) external _KClientSetLocalRealmDeprecated
000000018f090f48 (__TEXT,__text) external _KClientSetNthServerPortDeprecated
000000018f091128 (__TEXT,__text) external _KClientSetRemoteAddress
000000018f091108 (__TEXT,__text) external _KClientSetServerPrincipal
000000018f091050 (__TEXT,__text) external _KClientStatusCompat
000000018f0911d8 (__TEXT,__text) external _KClientV4StringToPrincipal
000000018f091198 (__TEXT,__text) external _KClientVerifyAuthenticator
000000018f091188 (__TEXT,__text) external _KClientVerifyEncryptedServiceReply
000000018f0911c8 (__TEXT,__text) external _KClientVerifyIntegrity
000000018f091078 (__TEXT,__text) external _KClientVerifyIntegrityCompat
000000018f091190 (__TEXT,__text) external _KClientVerifyProtectedServiceReply
000000018f0910c0 (__TEXT,__text) external _KClientVerifyReplyTicketCompat
000000018f0910c8 (__TEXT,__text) external _KClientVerifyUnencryptedReplyTicketCompat
000000018f091010 (__TEXT,__text) external _KClientVersionCompat
000000018f08af9c (__TEXT,__text) external _KLAcquireInitialTickets
000000018f08b1c0 (__TEXT,__text) external _KLAcquireInitialTicketsWithPassword
000000018f08b958 (__TEXT,__text) external _KLAcquireNewInitialTicketCredentialsWithPassword
000000018f08b0d8 (__TEXT,__text) external _KLAcquireNewInitialTickets
000000018f08b978 (__TEXT,__text) external _KLAcquireNewInitialTicketsWithKeytab
000000018f08b2dc (__TEXT,__text) external _KLAcquireNewInitialTicketsWithPassword
000000018f08b050 (__TEXT,__text) external _KLAcquireNewTickets
000000018f08b268 (__TEXT,__text) external _KLAcquireNewTicketsWithPassword
000000018f08af2c (__TEXT,__text) external _KLAcquireTickets
000000018f08b14c (__TEXT,__text) external _KLAcquireTicketsWithPassword
000000018f08b460 (__TEXT,__text) external _KLCacheHasValidTickets
000000018f08c150 (__TEXT,__text) external _KLCancelAllDialogs
000000018f08b950 (__TEXT,__text) external _KLChangePassword
000000018f08c158 (__TEXT,__text) external _KLChangePasswordWithPasswords
000000018f08c6d8 (__TEXT,__text) external _KLComparePrincipal
000000018f08c278 (__TEXT,__text) external _KLCountKerberosRealms
000000018f08c7a4 (__TEXT,__text) external _KLCreateLoginOptions
000000018f08c3c4 (__TEXT,__text) external _KLCreatePrincipalFromKerberos5Principal
000000018f08c410 (__TEXT,__text) external _KLCreatePrincipalFromPrincipal
000000018f08c2f4 (__TEXT,__text) external _KLCreatePrincipalFromString
000000018f08c2a0 (__TEXT,__text) external _KLCreatePrincipalFromTriplet
000000018f08b900 (__TEXT,__text) external _KLDestroyTickets
000000018f08ca48 (__TEXT,__text) external _KLDisposeLoginOptions
000000018f08c750 (__TEXT,__text) external _KLDisposePrincipal
000000018f08caac (__TEXT,__text) external _KLDisposeString
000000018f08c180 (__TEXT,__text) external _KLFindKerberosRealmByName
000000018f08b458 (__TEXT,__text) external _KLGetApplicationOptions
000000018f08c170 (__TEXT,__text) external _KLGetDefaultLoginOption
000000018f08c608 (__TEXT,__text) external _KLGetDisplayStringFromPrincipal
000000018f08c0b4 (__TEXT,__text) external _KLGetErrorString
000000018f08c168 (__TEXT,__text) external _KLGetIdleCallback
000000018f08c280 (__TEXT,__text) external _KLGetKerberosDefaultRealm
000000018f08c1f8 (__TEXT,__text) external _KLGetKerberosDefaultRealmByName
000000018f08c250 (__TEXT,__text) external _KLGetKerberosRealm
000000018f08c538 (__TEXT,__text) external _KLGetStringFromPrincipal
000000018f08c45c (__TEXT,__text) external _KLGetTripletFromPrincipal
000000018f08c0ac (__TEXT,__text) external _KLHandleError
000000018f08c268 (__TEXT,__text) external _KLInsertKerberosRealm
000000018f08bbf4 (__TEXT,__text) external _KLLastChangedTime
000000018f08c978 (__TEXT,__text) external _KLLoginOptionsSetAddressless
000000018f08c87c (__TEXT,__text) external _KLLoginOptionsSetForwardable
000000018f08c8d0 (__TEXT,__text) external _KLLoginOptionsSetProxiable
000000018f08c924 (__TEXT,__text) external _KLLoginOptionsSetRenewableLifetime
000000018f08c9e8 (__TEXT,__text) external _KLLoginOptionsSetServiceName
000000018f08c828 (__TEXT,__text) external _KLLoginOptionsSetTicketLifetime
000000018f08c9b0 (__TEXT,__text) external _KLLoginOptionsSetTicketStartTime
000000018f08c270 (__TEXT,__text) external _KLRemoveAllKerberosRealms
000000018f08c260 (__TEXT,__text) external _KLRemoveKerberosRealm
000000018f08b980 (__TEXT,__text) external _KLRenewInitialTickets
000000018f08b450 (__TEXT,__text) external _KLSetApplicationOptions
000000018f08c178 (__TEXT,__text) external _KLSetDefaultLoginOption
000000018f08c160 (__TEXT,__text) external _KLSetIdleCallback
000000018f08c290 (__TEXT,__text) external _KLSetKerberosDefaultRealm
000000018f08c298 (__TEXT,__text) external _KLSetKerberosDefaultRealmByName
000000018f08c258 (__TEXT,__text) external _KLSetKerberosRealm
000000018f08bff8 (__TEXT,__text) external _KLSetSystemDefaultCache
000000018f08b960 (__TEXT,__text) external _KLStoreNewInitialTicketCredentials
000000018f08bf14 (__TEXT,__text) external _KLTicketExpirationTime
000000018f08be30 (__TEXT,__text) external _KLTicketStartTime
000000018f08bbec (__TEXT,__text) external _KLValidateInitialTickets
000000018f08b970 (__TEXT,__text) external _KLVerifyInitialTicketCredentials
000000018f08b968 (__TEXT,__text) external _KLVerifyInitialTickets
000000018f090bbc (__TEXT,__text) external _KPCreatePreferencesFile
000000018f090ba8 (__TEXT,__text) external _KPFreeListOfPreferencesFiles
000000018f090ba0 (__TEXT,__text) external _KPGetListOfPreferencesFiles
000000018f090b98 (__TEXT,__text) external _KPInitializeWithDefaultKerberosLibraryPreferences
000000018f090bac (__TEXT,__text) external _KPPreferencesFileIsReadable
000000018f090bb4 (__TEXT,__text) external _KPPreferencesFileIsWritable
000000018f091098 (__TEXT,__text) external _KServerAddKeyCompat
000000018f0910a0 (__TEXT,__text) external _KServerGetKeyCompat
000000018f091090 (__TEXT,__text) external _KServerGetReplyTicketCompat
000000018f0910a8 (__TEXT,__text) external _KServerGetSessionTimeRemainingCompat
000000018f091080 (__TEXT,__text) external _KServerNewSessionCompat
000000018f091088 (__TEXT,__text) external _KServerVerifyTicketCompat
000000018f08f794 (__TEXT,__text) non-external _MYstrdup
                 (undefined) external __DefaultRuneLocale (from libSystem)
00000001d964f1d8 (__DATA,__bss) non-external __DeprecatedFunctionStringReturn.string
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
000000018f08caec (__TEXT,__text) external ___KLAllowAutomaticPrompting
000000018f08cadc (__TEXT,__text) external ___KLAllowHomeDirectoryAccess
000000018f08cb04 (__TEXT,__text) external ___KLAllowRememberPassword
000000018f08cb6c (__TEXT,__text) external ___KLCreatePrincipalFromKerberos5Principal
000000018f08cb0c (__TEXT,__text) external ___KLCreatePrincipalFromTriplet
000000018f08cbb8 (__TEXT,__text) external ___KLGetKerberos5PrincipalFromPrincipal
000000018f08cbc8 (__TEXT,__text) external ___KLGetKeychainPasswordForPrincipal
000000018f08cb3c (__TEXT,__text) external ___KLGetTripletFromPrincipal
000000018f08cbe0 (__TEXT,__text) non-external (was a private external) ___KLLoginOptionsGetKerberos5Options
000000018f08cbf0 (__TEXT,__text) non-external (was a private external) ___KLLoginOptionsGetServiceName
000000018f08cbe8 (__TEXT,__text) non-external (was a private external) ___KLLoginOptionsGetStartTime
000000018f08cbc0 (__TEXT,__text) external ___KLPrincipalIsTicketGrantingService
000000018f08cbd0 (__TEXT,__text) external ___KLPrincipalSetKeychainPassword
000000018f08cafc (__TEXT,__text) external ___KLPromptMechanism
000000018f08cbd8 (__TEXT,__text) external ___KLRemoveKeychainPasswordForPrincipal
000000018f08cac8 (__TEXT,__text) external ___KLSetApplicationPrompter
000000018f08cae4 (__TEXT,__text) external ___KLSetAutomaticPrompting
000000018f08cad0 (__TEXT,__text) external ___KLSetHomeDirectoryAccess
000000018f08caf4 (__TEXT,__text) external ___KLSetPromptMechanism
000000018f08a884 (__TEXT,__text) external ___KerberosDebugLogLevel
000000018f08a88c (__TEXT,__text) external ___KerberosDebugPrint
000000018f08a894 (__TEXT,__text) external ___KerberosDebugPrintMemory
000000018f08a898 (__TEXT,__text) external ___KerberosDebugPrintSession
000000018f08a890 (__TEXT,__text) external ___KerberosDebugVAPrint
00000001d964ec18 (__DATA,__data) external ___KerberosInternal_krb5_defkeyname
000000018f086750 (__TEXT,__text) external ___KerberosInternal_krb5int_sendtokdc_debug_handler
                 (undefined) external ___assert_rtn (from libSystem)
00000001d4a10520 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001d4a10560 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.12
00000001d4a10540 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.6
00000001ddab90a0 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001ddab90e0 (__AUTH_CONST,__const) non-external ___block_literal_global.14
00000001ddab90c0 (__AUTH_CONST,__const) non-external ___block_literal_global.8
                 (undefined) external ___error (from libSystem)
000000018f089d24 (__TEXT,__text) non-external ___error_message_block_invoke
000000018f085c64 (__TEXT,__text) non-external ___init_log_block_invoke
                 (undefined) external ___maskrune (from libSystem)
000000018f0892ac (__TEXT,__text) non-external ___mshim_ctx_block_invoke
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external _abort (from libSystem)
000000018f08b5b4 (__TEXT,__text) non-external _acquireticket_ui
000000018f08efe0 (__TEXT,__text) non-external _add_data_to_buffer
000000018f085db4 (__TEXT,__text) external _add_error_table
000000018f08d780 (__TEXT,__text) non-external _add_to_list
000000018f0929fc (__TEXT,__text) external _apple_gss_krb5_export_authdata_if_relevant_context
000000018f092af0 (__TEXT,__text) external _apple_gss_krb5_free_authdata_if_relevant
                 (undefined) external _asprintf (from libSystem)
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _calloc (from libSystem)
000000018f085dbc (__TEXT,__text) external _cc_close
000000018f085dc4 (__TEXT,__text) external _cc_create
000000018f085dcc (__TEXT,__text) external _cc_destroy
000000018f085dd4 (__TEXT,__text) external _cc_free_NC_info
000000018f085ddc (__TEXT,__text) external _cc_free_creds
000000018f085de4 (__TEXT,__text) external _cc_free_name
000000018f085dec (__TEXT,__text) external _cc_free_principal
00000001dbd088c8 (__AUTH,__data) non-external (was a private external) _cc_functions
000000018f085df4 (__TEXT,__text) external _cc_get_NC_info
000000018f085dfc (__TEXT,__text) external _cc_get_change_time
000000018f085e04 (__TEXT,__text) external _cc_get_cred_version
000000018f085e0c (__TEXT,__text) external _cc_get_name
000000018f085e14 (__TEXT,__text) external _cc_get_principal
000000018f0876c4 (__TEXT,__text) external _cc_initialize
000000018f08892c (__TEXT,__text) non-external _cc_iterator_clone
000000018f086ce8 (__TEXT,__text) non-external (was a private external) _cc_iterator_next
000000018f0888d4 (__TEXT,__text) non-external _cc_iterator_release
000000018f085e1c (__TEXT,__text) external _cc_open
000000018f085e24 (__TEXT,__text) external _cc_remove_cred
000000018f085e2c (__TEXT,__text) external _cc_seq_fetch_NCs_begin
000000018f085e34 (__TEXT,__text) external _cc_seq_fetch_NCs_end
000000018f085e3c (__TEXT,__text) external _cc_seq_fetch_NCs_next
000000018f085e44 (__TEXT,__text) external _cc_seq_fetch_creds_begin
000000018f085e4c (__TEXT,__text) external _cc_seq_fetch_creds_end
000000018f085e54 (__TEXT,__text) external _cc_seq_fetch_creds_next
000000018f085e5c (__TEXT,__text) external _cc_set_principal
000000018f085e64 (__TEXT,__text) external _cc_shutdown
000000018f085e6c (__TEXT,__text) external _cc_store
000000018f0887e4 (__TEXT,__text) non-external _ccache_clear_kdc_time_offset
000000018f08854c (__TEXT,__text) non-external _ccache_compare
000000018f087790 (__TEXT,__text) non-external _ccache_destroy
00000001dbd08930 (__AUTH,__data) non-external _ccache_functions
000000018f0884f0 (__TEXT,__text) non-external _ccache_get_change_time
000000018f0878a0 (__TEXT,__text) non-external _ccache_get_credentials_version
000000018f08863c (__TEXT,__text) non-external _ccache_get_kdc_time_offset
000000018f088478 (__TEXT,__text) non-external _ccache_get_last_default_time
000000018f0878bc (__TEXT,__text) non-external _ccache_get_name
000000018f087968 (__TEXT,__text) non-external _ccache_get_principal
00000001dbd089d0 (__AUTH,__data) non-external _ccache_iterator_functions
000000018f088408 (__TEXT,__text) non-external _ccache_lock
000000018f088340 (__TEXT,__text) non-external _ccache_move
000000018f088258 (__TEXT,__text) non-external _ccache_new_credentials_iterator
000000018f086c88 (__TEXT,__text) non-external (was a private external) _ccache_release
000000018f08807c (__TEXT,__text) non-external _ccache_remove_credentials
000000018f087808 (__TEXT,__text) non-external _ccache_set_default
000000018f088720 (__TEXT,__text) non-external _ccache_set_kdc_time_offset
000000018f087abc (__TEXT,__text) non-external _ccache_set_principal
000000018f087bfc (__TEXT,__text) non-external _ccache_store_credentials
000000018f088440 (__TEXT,__text) non-external _ccache_unlock
000000018f088874 (__TEXT,__text) non-external _ccache_wait_for_change
000000018f08887c (__TEXT,__text) non-external _check_exists
                 (undefined) external _com_err (from Heimdal)
                 (indirect) external _com_err (for _com_err)
                 (undefined) external _com_err_va (from Heimdal)
                 (indirect) external _com_err_va (for _com_err_va)
00000001d4a105d8 (__DATA_CONST,__const) non-external _conf_no
00000001d4a105a0 (__DATA_CONST,__const) non-external _conf_yes
00000001d964ea98 (__DATA,__data) non-external _context_change_time
000000018f087698 (__TEXT,__text) non-external _context_compare
000000018f087178 (__TEXT,__text) non-external _context_create_ccache
000000018f0872e4 (__TEXT,__text) non-external _context_create_default_ccache
000000018f087474 (__TEXT,__text) non-external _context_create_new_ccache
000000018f086ea0 (__TEXT,__text) non-external _context_get_change_time
000000018f086efc (__TEXT,__text) non-external _context_get_default_ccache_name
000000018f087688 (__TEXT,__text) non-external _context_lock
000000018f0875f0 (__TEXT,__text) non-external _context_new_ccache_iterator
000000018f086f98 (__TEXT,__text) non-external _context_open_ccache
000000018f087094 (__TEXT,__text) non-external _context_open_default_ccache
000000018f086e50 (__TEXT,__text) non-external _context_release
000000018f087690 (__TEXT,__text) non-external _context_unlock
000000018f0876bc (__TEXT,__text) non-external _context_wait_for_change
000000018f086810 (__TEXT,__text) non-external _cred_compare
000000018f086c1c (__TEXT,__text) non-external (was a private external) _cred_iter_clone
00000001dbd088b0 (__AUTH,__data) non-external (was a private external) _cred_iter_functions
000000018f086820 (__TEXT,__text) non-external (was a private external) _cred_iter_next
000000018f086c24 (__TEXT,__text) non-external _cred_iter_release
000000018f0867c4 (__TEXT,__text) non-external _cred_release
00000001dbd088a0 (__AUTH,__data) non-external (was a private external) _credential_functions
                 (undefined) external _decode_Ticket (from Heimdal)
000000018f090bcc (__TEXT,__text) external _decomp_ticket
000000018f090df8 (__TEXT,__text) external _dest_all_tkts
000000018f090dd8 (__TEXT,__text) external _dest_tkt
000000018f0892e4 (__TEXT,__text) non-external _destroy_ctx
                 (undefined) external _dispatch_once (from libSystem)
00000001d964edb0 (__DATA,__bss) non-external _do_log
000000018f08eaf4 (__TEXT,__text) non-external _dump_profile
000000018f08ef9c (__TEXT,__text) non-external _dump_profile_to_buffer_cb
000000018f08eef8 (__TEXT,__text) non-external _dump_profile_to_file_cb
000000018f085e74 (__TEXT,__text) external _encode_krb5_as_req
000000018f08d800 (__TEXT,__text) non-external _end_list
000000018f089c8c (__TEXT,__text) external _error_message
00000001d964edc8 (__DATA,__bss) non-external _error_message.buffer
00000001d964edc0 (__DATA,__bss) non-external _error_message.et_list
00000001d964edb8 (__DATA,__bss) non-external _error_message.once
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _feof (from libSystem)
000000018f08bcb0 (__TEXT,__text) non-external _fetch_creds
                 (undefined) external _fgets (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _free_Ticket (from Heimdal)
                 (undefined) external _fseek (from libSystem)
00000001d964f1d0 (__DATA,__bss) non-external _g_cc_change_time
00000001d964ec20 (__DATA,__data) non-external _g_change_time_mutex
00000001d964f1c8 (__DATA,__bss) non-external _g_kl_change_time
000000018f090c24 (__TEXT,__text) external _get_ad_tkt
000000018f090c9c (__TEXT,__text) external _get_pw_tkt
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _geteuid (from libSystem)
                 (undefined) external _gss_accept_sec_context (from GSS)
                 (indirect) external _gss_accept_sec_context (for _gss_accept_sec_context)
                 (undefined) external _gss_acquire_cred (from GSS)
                 (indirect) external _gss_acquire_cred (for _gss_acquire_cred)
                 (undefined) external _gss_add_cred (from GSS)
                 (indirect) external _gss_add_cred (for _gss_add_cred)
                 (undefined) external _gss_add_oid_set_member (from GSS)
                 (indirect) external _gss_add_oid_set_member (for _gss_add_oid_set_member)
00000001d964eb40 (__DATA,__data) non-external _gss_c_nt_anonymous_oid_desc
00000001d964eb58 (__DATA,__data) non-external _gss_c_nt_export_name_oid_desc
00000001d964eb18 (__DATA,__data) non-external _gss_c_nt_hostbased_service_oid_desc
00000001d964eb00 (__DATA,__data) non-external _gss_c_nt_hostbased_service_x_oid_desc
00000001d964ead0 (__DATA,__data) non-external _gss_c_nt_machine_uid_name_oid_desc
00000001d964eae8 (__DATA,__data) non-external _gss_c_nt_string_uid_name_oid_desc
00000001d964eab8 (__DATA,__data) non-external _gss_c_nt_user_name_oid_desc
                 (undefined) external _gss_canonicalize_name (from GSS)
                 (indirect) external _gss_canonicalize_name (for _gss_canonicalize_name)
                 (undefined) external _gss_compare_name (from GSS)
                 (indirect) external _gss_compare_name (for _gss_compare_name)
                 (undefined) external _gss_context_time (from GSS)
                 (indirect) external _gss_context_time (for _gss_context_time)
                 (undefined) external _gss_create_empty_oid_set (from GSS)
                 (indirect) external _gss_create_empty_oid_set (for _gss_create_empty_oid_set)
                 (undefined) external _gss_delete_sec_context (from GSS)
                 (indirect) external _gss_delete_sec_context (for _gss_delete_sec_context)
                 (undefined) external _gss_display_name (from GSS)
                 (indirect) external _gss_display_name (for _gss_display_name)
                 (undefined) external _gss_display_status (from GSS)
                 (indirect) external _gss_display_status (for _gss_display_status)
                 (undefined) external _gss_duplicate_name (from GSS)
                 (indirect) external _gss_duplicate_name (for _gss_duplicate_name)
                 (undefined) external _gss_export_name (from GSS)
                 (indirect) external _gss_export_name (for _gss_export_name)
                 (undefined) external _gss_export_sec_context (from GSS)
                 (indirect) external _gss_export_sec_context (for _gss_export_sec_context)
                 (undefined) external _gss_get_mic (from GSS)
                 (indirect) external _gss_get_mic (for _gss_get_mic)
000000018f092b34 (__TEXT,__text) external _gss_import_name
                 (undefined) external _gss_import_sec_context (from GSS)
                 (indirect) external _gss_import_sec_context (for _gss_import_sec_context)
                 (undefined) external _gss_indicate_mechs (from GSS)
                 (indirect) external _gss_indicate_mechs (for _gss_indicate_mechs)
                 (undefined) external _gss_init_sec_context (from GSS)
                 (indirect) external _gss_init_sec_context (for _gss_init_sec_context)
                 (undefined) external _gss_inquire_context (from GSS)
                 (indirect) external _gss_inquire_context (for _gss_inquire_context)
