00007ff80e66f821 (__TEXT,__const) non-external _KW_ANY
00007ff80e658401 (__TEXT,__text) external _XML_SetStartElementHandler
00007ff80e65853b (__TEXT,__text) external _XML_SetStartNamespaceDeclHandler
00007ff80e6585b5 (__TEXT,__text) external _XML_SetUnknownEncodingHandler
00007ff80e6584fe (__TEXT,__text) external _XML_SetUnparsedEntityDeclHandler
00007ff80e6582e9 (__TEXT,__text) external _XML_SetUserData
00007ff80e658604 (__TEXT,__text) external _XML_SetXmlDeclHandler
00007ff80e658c39 (__TEXT,__text) external _XML_StopParser
00007ff80e658299 (__TEXT,__text) external _XML_UseForeignDTD
00007ff80e65828a (__TEXT,__text) external _XML_UseParserAsHandlerArg
00007ff80e662caa (__TEXT,__text) non-external (was a private external) _XmlGetUtf16InternalEncoding
00007ff80e6631f2 (__TEXT,__text) non-external (was a private external) _XmlGetUtf16InternalEncodingNS
00007ff80e662c9d (__TEXT,__text) non-external (was a private external) _XmlGetUtf8InternalEncoding
00007ff80e6631e5 (__TEXT,__text) non-external (was a private external) _XmlGetUtf8InternalEncodingNS
00007ff80e662cb7 (__TEXT,__text) non-external (was a private external) _XmlInitEncoding
00007ff80e6631ff (__TEXT,__text) non-external (was a private external) _XmlInitEncodingNS
00007ff80e662731 (__TEXT,__text) non-external (was a private external) _XmlInitUnknownEncoding
00007ff80e6633f0 (__TEXT,__text) non-external (was a private external) _XmlInitUnknownEncodingNS
00007ff80e662db5 (__TEXT,__text) non-external (was a private external) _XmlParseXmlDecl
00007ff80e663298 (__TEXT,__text) non-external (was a private external) _XmlParseXmlDeclNS
00007ff80e660df4 (__TEXT,__text) non-external (was a private external) _XmlPrologStateInit
00007ff80e660ed4 (__TEXT,__text) non-external (was a private external) _XmlPrologStateInitExternalEntity
00007ff80e662726 (__TEXT,__text) non-external (was a private external) _XmlSizeOfUnknownEncoding
00007ff80e6626da (__TEXT,__text) non-external (was a private external) _XmlUtf16Encode
00007ff80e66262a (__TEXT,__text) non-external (was a private external) _XmlUtf8Encode
00007ff80e66259c (__TEXT,__text) non-external (was a private external) __INTERNAL_trim_to_complete_utf8_characters
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
00007ff80e65b3f0 (__TEXT,__text) non-external _accountingDiffTolerated
00007ff80e66f16a (__TEXT,__text) non-external _accountingDiffTolerated.cold.1
00007ff80e65d013 (__TEXT,__text) non-external _accountingGetCurrentAmplification
00007ff80e66f18d (__TEXT,__text) non-external _accountingGetCurrentAmplification.cold.1
00007ff80e65d090 (__TEXT,__text) non-external _accountingReportStats
00007ff80e65fa00 (__TEXT,__text) non-external _addBinding
00007ff80e670c60 (__TEXT,__cstring) non-external _addBinding.xmlNamespace
00007ff80e670c90 (__TEXT,__cstring) non-external _addBinding.xmlnsNamespace
00007ff80e65feac (__TEXT,__text) non-external _appendAttributeValue
                 (undefined) external _arc4random_buf (from libSystem)
00007ff8408f0268 (__DATA_CONST,__const) non-external _ascii_encoding
00007ff8408f0bb8 (__DATA_CONST,__const) non-external _ascii_encoding_ns
00007ff80e66b11e (__TEXT,__text) non-external _ascii_toUtf8
00007ff80e6613d9 (__TEXT,__text) non-external _attlist0
00007ff80e661ad6 (__TEXT,__text) non-external _attlist1
00007ff80e661b46 (__TEXT,__text) non-external _attlist2
00007ff80e661d70 (__TEXT,__text) non-external _attlist3
00007ff80e661e9e (__TEXT,__text) non-external _attlist4
00007ff80e661d2a (__TEXT,__text) non-external _attlist5
00007ff80e661e04 (__TEXT,__text) non-external _attlist6
00007ff80e661e4a (__TEXT,__text) non-external _attlist7
00007ff80e661c37 (__TEXT,__text) non-external _attlist8
00007ff80e661dbe (__TEXT,__text) non-external _attlist9
00007ff80e66c980 (__TEXT,__text) non-external _big2_attributeValueTok
00007ff80e66c590 (__TEXT,__text) non-external _big2_cdataSectionTok
00007ff80e66d0a4 (__TEXT,__text) non-external _big2_charRefNumber
00007ff80e66e2ec (__TEXT,__text) non-external _big2_checkPiTarget
00007ff80e66b97c (__TEXT,__text) non-external _big2_contentTok
00007ff8408efec8 (__DATA_CONST,__const) non-external _big2_encoding
00007ff8408f0818 (__DATA_CONST,__const) non-external _big2_encoding_ns
00007ff80e66cab8 (__TEXT,__text) non-external _big2_entityValueTok
00007ff80e66cce8 (__TEXT,__text) non-external _big2_getAtts
00007ff80e66c7f0 (__TEXT,__text) non-external _big2_ignoreSectionTok
00007ff80e66d334 (__TEXT,__text) non-external _big2_isPublicId
00007ff80e66cc39 (__TEXT,__text) non-external _big2_nameLength
00007ff80e66cbf4 (__TEXT,__text) non-external _big2_nameMatchesAscii
00007ff80e66d15f (__TEXT,__text) non-external _big2_predefinedEntityName
00007ff80e66b155 (__TEXT,__text) non-external _big2_prologTok
00007ff80e66e6bc (__TEXT,__text) non-external _big2_scanAtts
00007ff80e66ff63 (__TEXT,__const) non-external _big2_scanCdataSection.CDATA_LSQB
00007ff80e66e18c (__TEXT,__text) non-external _big2_scanComment
00007ff80e66d720 (__TEXT,__text) non-external _big2_scanDecl
00007ff80e66d5f2 (__TEXT,__text) non-external _big2_scanLit
00007ff80e66dccc (__TEXT,__text) non-external _big2_scanPercent
00007ff80e66d86c (__TEXT,__text) non-external _big2_scanPi
00007ff80e66df38 (__TEXT,__text) non-external _big2_scanPoundName
00007ff80e66e36b (__TEXT,__text) non-external _big2_scanRef
00007ff80e66ccae (__TEXT,__text) non-external _big2_skipS
00007ff80e66d57d (__TEXT,__text) non-external _big2_toUtf16
00007ff80e66d3bf (__TEXT,__text) non-external _big2_toUtf8
00007ff80e66d263 (__TEXT,__text) non-external _big2_updatePosition
00007ff80e65f834 (__TEXT,__text) non-external _cdataSectionProcessor
00007ff80e6629fc (__TEXT,__text) non-external _checkCharRefNumber
00007ff80e66184b (__TEXT,__text) non-external _condSect0
00007ff80e6618ee (__TEXT,__text) non-external _condSect1
00007ff80e66192e (__TEXT,__text) non-external _condSect2
00007ff80e65bd52 (__TEXT,__text) non-external _contentProcessor
00007ff80e660bd4 (__TEXT,__text) non-external _copyEntityTable
00007ff80e65747f (__TEXT,__text) non-external _copyString
00007ff80e66174e (__TEXT,__text) non-external _declClose
00007ff80e65c0f3 (__TEXT,__text) non-external _defineAttribute
00007ff80e65f584 (__TEXT,__text) non-external _doCdataSection
00007ff80e65d394 (__TEXT,__text) non-external _doContent
00007ff80e65c8d8 (__TEXT,__text) non-external _doIgnoreSection
00007ff80e662df6 (__TEXT,__text) non-external _doParseXmlDecl
00007ff80e6593ea (__TEXT,__text) non-external _doProlog
00007ff80e66f252 (__TEXT,__const) non-external _doProlog.atypeCDATA
00007ff80e66f26f (__TEXT,__const) non-external _doProlog.atypeENTITIES
00007ff80e66f268 (__TEXT,__const) non-external _doProlog.atypeENTITY
00007ff80e66f258 (__TEXT,__const) non-external _doProlog.atypeID
00007ff80e66f25b (__TEXT,__const) non-external _doProlog.atypeIDREF
00007ff80e66f261 (__TEXT,__const) non-external _doProlog.atypeIDREFS
00007ff80e66f278 (__TEXT,__const) non-external _doProlog.atypeNMTOKEN
00007ff80e66f280 (__TEXT,__const) non-external _doProlog.atypeNMTOKENS
00007ff80e66f147 (__TEXT,__text) non-external _doProlog.cold.1
00007ff80e670b4b (__TEXT,__cstring) non-external _doProlog.enumValueSep
00007ff80e670b4d (__TEXT,__cstring) non-external _doProlog.enumValueStart
00007ff80e670b41 (__TEXT,__cstring) non-external _doProlog.notationPrefix
00007ff80e660fc8 (__TEXT,__text) non-external _doctype0
00007ff80e66101b (__TEXT,__text) non-external _doctype1
00007ff80e66133a (__TEXT,__text) non-external _doctype2
00007ff80e6612f4 (__TEXT,__text) non-external _doctype3
00007ff80e662540 (__TEXT,__text) non-external _doctype4
00007ff80e6614b0 (__TEXT,__text) non-external _doctype5
00007ff80e661424 (__TEXT,__text) non-external _element0
00007ff80e661ef2 (__TEXT,__text) non-external _element1
00007ff80e661fc4 (__TEXT,__text) non-external _element2
00007ff80e6620c4 (__TEXT,__text) non-external _element3
00007ff80e6622e8 (__TEXT,__text) non-external _element4
00007ff80e662333 (__TEXT,__text) non-external _element5
00007ff80e662143 (__TEXT,__text) non-external _element6
00007ff80e662214 (__TEXT,__text) non-external _element7
00007ff8408efcc0 (__DATA_CONST,__const) non-external _encodings
00007ff8408f0440 (__DATA_CONST,__const) non-external _encodingsNS
00007ff80e661380 (__TEXT,__text) non-external _entity0
00007ff80e6614f6 (__TEXT,__text) non-external _entity1
00007ff80e66179b (__TEXT,__text) non-external _entity10
00007ff80e66153c (__TEXT,__text) non-external _entity2
00007ff80e6619b7 (__TEXT,__text) non-external _entity3
00007ff80e661971 (__TEXT,__text) non-external _entity4
00007ff80e6619fd (__TEXT,__text) non-external _entity5
00007ff80e661a88 (__TEXT,__text) non-external _entity6
00007ff80e6615ff (__TEXT,__text) non-external _entity7
00007ff80e661708 (__TEXT,__text) non-external _entity8
00007ff80e6616c2 (__TEXT,__text) non-external _entity9
00007ff80e65cdb1 (__TEXT,__text) non-external _entityTrackingOnOpen
00007ff80e66058d (__TEXT,__text) non-external _entityTrackingReportStats
00007ff80e66f1b0 (__TEXT,__text) non-external _entityTrackingReportStats.cold.1
00007ff80e660855 (__TEXT,__text) non-external _entityValueInitProcessor
00007ff80e660afb (__TEXT,__text) non-external _entityValueProcessor
00007ff80e65f3a8 (__TEXT,__text) non-external _epilogProcessor
00007ff80e661013 (__TEXT,__text) non-external _error
00007ff80e65889e (__TEXT,__text) non-external _errorProcessor
00007ff80e65fe48 (__TEXT,__text) non-external _externalEntityContentProcessor
00007ff80e658168 (__TEXT,__text) non-external _externalEntityInitProcessor
00007ff80e660683 (__TEXT,__text) non-external _externalEntityInitProcessor2
00007ff80e660779 (__TEXT,__text) non-external _externalEntityInitProcessor3
00007ff80e6581b8 (__TEXT,__text) non-external _externalParEntInitProcessor
00007ff80e6609fa (__TEXT,__text) non-external _externalParEntProcessor
00007ff80e660eec (__TEXT,__text) non-external _externalSubset0
00007ff80e6617f0 (__TEXT,__text) non-external _externalSubset1
00007ff80e6630ce (__TEXT,__text) non-external _findEncoding
00007ff80e6632d9 (__TEXT,__text) non-external _findEncodingNS
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _free (from libSystem)
00007ff80e65f350 (__TEXT,__text) non-external _freeBindings
                 (undefined) external _fwrite (from libSystem)
00007ff80e65be33 (__TEXT,__text) non-external _getAttributeId
00007ff80e65e2d8 (__TEXT,__text) non-external _getContext
00007ff80e6591a4 (__TEXT,__text) non-external _getDebugLevel
00007ff80e65bda7 (__TEXT,__text) non-external _getElementType
00007ff80e662d0f (__TEXT,__text) non-external _getEncodingIndex
00007ff8408efc90 (__DATA_CONST,__const) non-external _getEncodingIndex.encodingNames
                 (undefined) external _getenv (from libSystem)
00007ff80e6592cd (__TEXT,__text) non-external _handleUnknownEncoding
00007ff80e65d0f4 (__TEXT,__text) non-external _hash
00007ff80e660b9c (__TEXT,__text) non-external _hashTableDestroy
00007ff80e65ca58 (__TEXT,__text) non-external _ignoreSectionProcessor
00007ff80e66f290 (__TEXT,__const) non-external _implicitContext
00007ff80e66af4a (__TEXT,__text) non-external _initScan
00007ff80e662d82 (__TEXT,__text) non-external _initScanContent
00007ff80e663276 (__TEXT,__text) non-external _initScanContentNS
00007ff80e662d63 (__TEXT,__text) non-external _initScanProlog
00007ff80e663257 (__TEXT,__text) non-external _initScanPrologNS
00007ff80e662da4 (__TEXT,__text) non-external _initUpdatePosition
00007ff80e659203 (__TEXT,__text) non-external _initializeEncoding
00007ff80e660334 (__TEXT,__text) non-external _internalEntityProcessor
00007ff80e6610f4 (__TEXT,__text) non-external _internalSubset
00007ff8408ef720 (__DATA_CONST,__const) non-external _internal_little2_encoding
00007ff8408efac0 (__DATA_CONST,__const) non-external _internal_little2_encoding_ns
00007ff8408ef550 (__DATA_CONST,__const) non-external _internal_utf8_encoding
00007ff8408ef8f0 (__DATA_CONST,__const) non-external _internal_utf8_encoding_ns
00007ff80e66715a (__TEXT,__text) non-external _isNever
00007ff8408ef380 (__DATA_CONST,__const) non-external _latin1_encoding
00007ff8408f0478 (__DATA_CONST,__const) non-external _latin1_encoding_ns
00007ff80e66593e (__TEXT,__text) non-external _latin1_toUtf16
00007ff80e6658bc (__TEXT,__text) non-external _latin1_toUtf8
00007ff80e668af0 (__TEXT,__text) non-external _little2_attributeValueTok
00007ff80e668704 (__TEXT,__text) non-external _little2_cdataSectionTok
00007ff80e669214 (__TEXT,__text) non-external _little2_charRefNumber
00007ff80e66a440 (__TEXT,__text) non-external _little2_checkPiTarget
00007ff80e667b18 (__TEXT,__text) non-external _little2_contentTok
00007ff8408f0098 (__DATA_CONST,__const) non-external _little2_encoding
00007ff8408f09e8 (__DATA_CONST,__const) non-external _little2_encoding_ns
00007ff80e668c28 (__TEXT,__text) non-external _little2_entityValueTok
00007ff80e668e57 (__TEXT,__text) non-external _little2_getAtts
00007ff80e668960 (__TEXT,__text) non-external _little2_ignoreSectionTok
00007ff80e6694a0 (__TEXT,__text) non-external _little2_isPublicId
00007ff80e668da9 (__TEXT,__text) non-external _little2_nameLength
00007ff80e668d64 (__TEXT,__text) non-external _little2_nameMatchesAscii
00007ff80e6692cb (__TEXT,__text) non-external _little2_predefinedEntityName
00007ff80e6672f7 (__TEXT,__text) non-external _little2_prologTok
00007ff80e66a818 (__TEXT,__text) non-external _little2_scanAtts
00007ff80e66a2e4 (__TEXT,__text) non-external _little2_scanComment
00007ff80e669888 (__TEXT,__text) non-external _little2_scanDecl
00007ff80e66975a (__TEXT,__text) non-external _little2_scanLit
00007ff80e669e30 (__TEXT,__text) non-external _little2_scanPercent
00007ff80e6699d4 (__TEXT,__text) non-external _little2_scanPi
00007ff80e66a094 (__TEXT,__text) non-external _little2_scanPoundName
00007ff80e66a4bf (__TEXT,__text) non-external _little2_scanRef
00007ff80e668e1d (__TEXT,__text) non-external _little2_skipS
00007ff80e6696e9 (__TEXT,__text) non-external _little2_toUtf16
00007ff80e66952b (__TEXT,__text) non-external _little2_toUtf8
00007ff80e6693cf (__TEXT,__text) non-external _little2_updatePosition
00007ff80e65b9e6 (__TEXT,__text) non-external _lookup
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
00007ff80e66fe30 (__TEXT,__const) non-external _namePages
00007ff80e66f830 (__TEXT,__const) non-external _namingBitmap
00007ff80e65cad4 (__TEXT,__text) non-external _nextScaffoldPart
00007ff80e66fd30 (__TEXT,__const) non-external _nmstrtPages
00007ff80e66507c (__TEXT,__text) non-external _normal_attributeValueTok
00007ff80e664c24 (__TEXT,__text) non-external _normal_cdataSectionTok
00007ff80e665638 (__TEXT,__text) non-external _normal_charRefNumber
00007ff80e66644c (__TEXT,__text) non-external _normal_checkPiTarget
00007ff80e663fdc (__TEXT,__text) non-external _normal_contentTok
00007ff80e6651b4 (__TEXT,__text) non-external _normal_entityValueTok
00007ff80e665367 (__TEXT,__text) non-external _normal_getAtts
00007ff80e664edc (__TEXT,__text) non-external _normal_ignoreSectionTok
00007ff80e66583c (__TEXT,__text) non-external _normal_isPublicId
00007ff80e665300 (__TEXT,__text) non-external _normal_nameLength
00007ff80e6652c4 (__TEXT,__text) non-external _normal_nameMatchesAscii
00007ff80e6656f0 (__TEXT,__text) non-external _normal_predefinedEntityName
00007ff80e663407 (__TEXT,__text) non-external _normal_prologTok
00007ff80e6667b7 (__TEXT,__text) non-external _normal_scanAtts
00007ff80e6662c0 (__TEXT,__text) non-external _normal_scanComment
00007ff80e665ae8 (__TEXT,__text) non-external _normal_scanDecl
00007ff80e665982 (__TEXT,__text) non-external _normal_scanLit
00007ff80e66602c (__TEXT,__text) non-external _normal_scanPercent
00007ff80e665c14 (__TEXT,__text) non-external _normal_scanPi
00007ff80e6664b7 (__TEXT,__text) non-external _normal_scanRef
00007ff80e66533d (__TEXT,__text) non-external _normal_skipS
00007ff80e665782 (__TEXT,__text) non-external _normal_updatePosition
00007ff80e660640 (__TEXT,__text) non-external _normalizeLines
00007ff80e65bcef (__TEXT,__text) non-external _normalizePublicId
00007ff80e66146f (__TEXT,__text) non-external _notation0
00007ff80e662390 (__TEXT,__text) non-external _notation1
00007ff80e662487 (__TEXT,__text) non-external _notation2
00007ff80e662439 (__TEXT,__text) non-external _notation3
00007ff80e6624cd (__TEXT,__text) non-external _notation4
00007ff80e66ed88 (__TEXT,__text) non-external _parsePseudoAttribute
00007ff80e656b3a (__TEXT,__text) non-external _parserCreate
00007ff80e657251 (__TEXT,__text) non-external _parserInit
00007ff80e65c081 (__TEXT,__text) non-external _poolAppend
00007ff80e65834f (__TEXT,__text) non-external _poolCopyString
00007ff80e658246 (__TEXT,__text) non-external _poolDestroy
00007ff80e65c206 (__TEXT,__text) non-external _poolGrow
00007ff80e65b99f (__TEXT,__text) non-external _poolStoreString
00007ff80e65cc02 (__TEXT,__text) non-external _processInternalEntity
00007ff80e65b619 (__TEXT,__text) non-external _processXmlDecl
00007ff80e660e19 (__TEXT,__text) non-external _prolog0
00007ff80e660f0c (__TEXT,__text) non-external _prolog1
00007ff80e66126c (__TEXT,__text) non-external _prolog2
00007ff80e659154 (__TEXT,__text) non-external _prologInitProcessor
00007ff80e65925e (__TEXT,__text) non-external _prologProcessor
                 (undefined) external _realloc (from libSystem)
00007ff80e66f7b4 (__TEXT,__const) non-external _reltable.attlist2
00007ff80e65cf48 (__TEXT,__text) non-external _reportComment
00007ff80e658f94 (__TEXT,__text) non-external _reportDefault
00007ff80e65cdfc (__TEXT,__text) non-external _reportProcessingInstruction
00007ff80e657c2d (__TEXT,__text) non-external _setContext
00007ff80e65f8ea (__TEXT,__text) non-external _setElementTypePrefix
00007ff80e65d250 (__TEXT,__text) non-external _sip24_final
00007ff80e65d1b8 (__TEXT,__text) non-external _sip24_update
00007ff80e65d338 (__TEXT,__text) non-external _sip_round
00007ff80e658805 (__TEXT,__text) non-external _startParsing
00007ff80e65c3d0 (__TEXT,__text) non-external _storeAttributeValue
00007ff80e65e67f (__TEXT,__text) non-external _storeAtts
00007ff80e65c43f (__TEXT,__text) non-external _storeEntityValue
00007ff80e65e1fc (__TEXT,__text) non-external _storeRawNames
00007ff80e66aee8 (__TEXT,__text) non-external _streqci
                 (undefined) external _strtoul (from libSystem)
00007ff80e65910e (__TEXT,__text) non-external (was a private external) _testingAccountingGetCountBytesDirect
00007ff80e659123 (__TEXT,__text) non-external (was a private external) _testingAccountingGetCountBytesIndirect
00007ff80e662aeb (__TEXT,__text) non-external _unknown_isInvalid
00007ff80e662a49 (__TEXT,__text) non-external _unknown_isName
00007ff80e662a9a (__TEXT,__text) non-external _unknown_isNmstrt
00007ff80e662bff (__TEXT,__text) non-external _unknown_toUtf16
00007ff80e662b18 (__TEXT,__text) non-external _unknown_toUtf8
00007ff80e659138 (__TEXT,__text) non-external (was a private external) _unsignedCharToPrintable
00007ff8408efcf8 (__DATA_CONST,__const) non-external _utf8_encoding
00007ff8408f0648 (__DATA_CONST,__const) non-external _utf8_encoding_ns
00007ff80e6671fa (__TEXT,__text) non-external _utf8_isInvalid2
00007ff80e66721d (__TEXT,__text) non-external _utf8_isInvalid3
00007ff80e667290 (__TEXT,__text) non-external _utf8_isInvalid4
00007ff80e6670c2 (__TEXT,__text) non-external _utf8_isName2
00007ff80e667108 (__TEXT,__text) non-external _utf8_isName3
00007ff80e667162 (__TEXT,__text) non-external _utf8_isNmstrt2
00007ff80e6671a8 (__TEXT,__text) non-external _utf8_isNmstrt3
00007ff80e666f62 (__TEXT,__text) non-external _utf8_toUtf16
00007ff80e666ecc (__TEXT,__text) non-external _utf8_toUtf8
