00007ffc0e8ae3d3 (__TEXT,__text) non-external _Done_iODBC
00007ffc0e8adbde (__TEXT,__text) external _SQLGetConnectOptionW
00007ffc0e8b6af5 (__TEXT,__text) external _SQLGetCursorName
00007ffc0e8b6c56 (__TEXT,__text) external _SQLGetCursorNameA
00007ffc0e8b6db7 (__TEXT,__text) external _SQLGetCursorNameW
00007ffc0e8b68bd (__TEXT,__text) non-external _SQLGetCursorName_Internal
00007ffc0e8abf8f (__TEXT,__text) external _SQLGetData
00007ffc0e8bc146 (__TEXT,__text) external _SQLGetDescField
00007ffc0e8bc2c6 (__TEXT,__text) external _SQLGetDescFieldA
00007ffc0e8bc446 (__TEXT,__text) external _SQLGetDescFieldW
00007ffc0e8bbec4 (__TEXT,__text) non-external _SQLGetDescField_Internal
00007ffc0e8bcd56 (__TEXT,__text) external _SQLGetDescRec
00007ffc0e8bcf08 (__TEXT,__text) external _SQLGetDescRecA
00007ffc0e8bd0ba (__TEXT,__text) external _SQLGetDescRecW
00007ffc0e8bcb59 (__TEXT,__text) non-external _SQLGetDescRec_Internal
00007ffc0e8b0bfc (__TEXT,__text) external _SQLGetDiagField
00007ffc0e8b0ce4 (__TEXT,__text) external _SQLGetDiagFieldA
00007ffc0e8b0dcc (__TEXT,__text) external _SQLGetDiagFieldW
00007ffc0e8afaed (__TEXT,__text) non-external _SQLGetDiagField_Internal
00007ffc0e8af820 (__TEXT,__text) external _SQLGetDiagRec
00007ffc0e8af90f (__TEXT,__text) external _SQLGetDiagRecA
00007ffc0e8af9fe (__TEXT,__text) external _SQLGetDiagRecW
00007ffc0e8af032 (__TEXT,__text) non-external _SQLGetDiagRec_Internal
00007ffc0e8b91f7 (__TEXT,__text) external _SQLGetEnvAttr
00007ffc0e8b4636 (__TEXT,__text) external _SQLGetFunctions
00007ffc0e8b4231 (__TEXT,__text) external _SQLGetInfo
00007ffc0e8b4388 (__TEXT,__text) external _SQLGetInfoA
00007ffc0e8b44df (__TEXT,__text) external _SQLGetInfoW
00007ffc0e8b3b49 (__TEXT,__text) non-external _SQLGetInfo_Internal
00007ffc0e8cb7f1 (__TEXT,__text) non-external _SQLGetKeywordValue
00007ffc0e8cb82a (__TEXT,__text) non-external _SQLGetKeywordValueW
00007ffc0e8cb274 (__TEXT,__text) non-external _SQLGetPrivateProfileString
00007ffc0e8cb4e0 (__TEXT,__text) non-external _SQLGetPrivateProfileStringW
00007ffc0e8b9b98 (__TEXT,__text) external _SQLGetStmtAttr
00007ffc0e8b9d0e (__TEXT,__text) external _SQLGetStmtAttrA
00007ffc0e8b9e84 (__TEXT,__text) external _SQLGetStmtAttrW
00007ffc0e8b93b5 (__TEXT,__text) non-external _SQLGetStmtAttr_Internal
00007ffc0e8b20a4 (__TEXT,__text) external _SQLGetStmtOption
00007ffc0e8b21e1 (__TEXT,__text) external _SQLGetStmtOptionA
00007ffc0e8b1ea5 (__TEXT,__text) non-external _SQLGetStmtOption_Internal
00007ffc0e89fb98 (__TEXT,__text) external _SQLGetTypeInfo
00007ffc0e89fcc2 (__TEXT,__text) external _SQLGetTypeInfoA
00007ffc0e89fdec (__TEXT,__text) external _SQLGetTypeInfoW
00007ffc0e89fa00 (__TEXT,__text) non-external _SQLGetTypeInfo_Internal
00007ffc0e8ac33a (__TEXT,__text) external _SQLMoreResults
00007ffc0e8a9e38 (__TEXT,__text) external _SQLNativeSql
00007ffc0e8a9fb4 (__TEXT,__text) external _SQLNativeSqlA
00007ffc0e8aa130 (__TEXT,__text) external _SQLNativeSqlW
00007ffc0e8a9bb4 (__TEXT,__text) non-external _SQLNativeSql_Internal
00007ffc0e8ab4d4 (__TEXT,__text) external _SQLNumParams
00007ffc0e8b7204 (__TEXT,__text) external _SQLNumResultCols
00007ffc0e8ab245 (__TEXT,__text) external _SQLParamData
00007ffc0e8b5c69 (__TEXT,__text) external _SQLParamOptions
00007ffc0e8b4ee0 (__TEXT,__text) external _SQLPrepare
00007ffc0e8b501c (__TEXT,__text) external _SQLPrepareA
00007ffc0e8b5158 (__TEXT,__text) external _SQLPrepareW
00007ffc0e8b4ce8 (__TEXT,__text) non-external _SQLPrepare_Internal
00007ffc0e8a3677 (__TEXT,__text) external _SQLPrimaryKeys
00007ffc0e8a3847 (__TEXT,__text) external _SQLPrimaryKeysA
00007ffc0e8a3a17 (__TEXT,__text) external _SQLPrimaryKeysW
00007ffc0e8a3419 (__TEXT,__text) non-external _SQLPrimaryKeys_Internal
00007ffc0e8a3ea3 (__TEXT,__text) external _SQLProcedureColumns
00007ffc0e8a409a (__TEXT,__text) external _SQLProcedureColumnsA
00007ffc0e8a4291 (__TEXT,__text) external _SQLProcedureColumnsW
00007ffc0e8a3be7 (__TEXT,__text) non-external _SQLProcedureColumns_Internal
00007ffc0e8a46e6 (__TEXT,__text) external _SQLProcedures
00007ffc0e8a48b6 (__TEXT,__text) external _SQLProceduresA
00007ffc0e8a4a86 (__TEXT,__text) external _SQLProceduresW
00007ffc0e8a4488 (__TEXT,__text) non-external _SQLProcedures_Internal
00007ffc0e8aafb8 (__TEXT,__text) external _SQLPutData
00007ffc0e8c80e0 (__TEXT,__text) non-external _SQLReadFileDSN
00007ffc0e8c8248 (__TEXT,__text) non-external _SQLReadFileDSNW
00007ffc0e8b6f18 (__TEXT,__text) external _SQLRowCount
00007ffc0e8cb863 (__TEXT,__text) non-external _SQLSetConfigMode
00007ffc0e8bb157 (__TEXT,__text) external _SQLSetConnectAttr
00007ffc0e8bb4a9 (__TEXT,__text) external _SQLSetConnectAttrA
00007ffc0e8bb5e9 (__TEXT,__text) external _SQLSetConnectAttrW
00007ffc0e8bb297 (__TEXT,__text) non-external _SQLSetConnectAttr_Internal
00007ffc0e8ad1f3 (__TEXT,__text) external _SQLSetConnectOption
00007ffc0e8ad319 (__TEXT,__text) external _SQLSetConnectOptionA
00007ffc0e8ad43f (__TEXT,__text) external _SQLSetConnectOptionW
00007ffc0e8b5443 (__TEXT,__text) external _SQLSetCursorName
00007ffc0e8b5585 (__TEXT,__text) external _SQLSetCursorNameA
00007ffc0e8b56c7 (__TEXT,__text) external _SQLSetCursorNameW
00007ffc0e8b5294 (__TEXT,__text) non-external _SQLSetCursorName_Internal
00007ffc0e8bc75a (__TEXT,__text) external _SQLSetDescField
00007ffc0e8bc8af (__TEXT,__text) external _SQLSetDescFieldA
00007ffc0e8bca04 (__TEXT,__text) external _SQLSetDescFieldW
00007ffc0e8bc5c6 (__TEXT,__text) non-external _SQLSetDescField_Internal
00007ffc0e8bd26c (__TEXT,__text) external _SQLSetDescRec
00007ffc0e8b9007 (__TEXT,__text) external _SQLSetEnvAttr
00007ffc0e8b9124 (__TEXT,__text) non-external _SQLSetEnvAttr_Internal
00007ffc0e8cbd8f (__TEXT,__text) non-external _SQLSetKeywordValue
00007ffc0e8cbda0 (__TEXT,__text) non-external _SQLSetKeywordValueW
00007ffc0e8b64b0 (__TEXT,__text) external _SQLSetParam
00007ffc0e8ac71a (__TEXT,__text) external _SQLSetPos
00007ffc0e8b5f77 (__TEXT,__text) external _SQLSetScrollOptions
00007ffc0e8bad28 (__TEXT,__text) external _SQLSetStmtAttr
00007ffc0e8bae8d (__TEXT,__text) external _SQLSetStmtAttrA
00007ffc0e8baff2 (__TEXT,__text) external _SQLSetStmtAttrW
00007ffc0e8b9ffa (__TEXT,__text) non-external _SQLSetStmtAttr_Internal
00007ffc0e8b19ba (__TEXT,__text) external _SQLSetStmtOption
00007ffc0e8b1d69 (__TEXT,__text) external _SQLSetStmtOptionA
00007ffc0e8b1af6 (__TEXT,__text) non-external _SQLSetStmtOption_Internal
00007ffc0e8a01ca (__TEXT,__text) external _SQLSpecialColumns
00007ffc0e8a03b7 (__TEXT,__text) external _SQLSpecialColumnsA
00007ffc0e8a05a4 (__TEXT,__text) external _SQLSpecialColumnsW
00007ffc0e89ff16 (__TEXT,__text) non-external _SQLSpecialColumns_Internal
00007ffc0e8a0a26 (__TEXT,__text) external _SQLStatistics
00007ffc0e8a0c29 (__TEXT,__text) external _SQLStatisticsA
00007ffc0e8a0e2c (__TEXT,__text) external _SQLStatisticsW
00007ffc0e8a0791 (__TEXT,__text) non-external _SQLStatistics_Internal
00007ffc0e8a4eb4 (__TEXT,__text) external _SQLTablePrivileges
00007ffc0e8a5084 (__TEXT,__text) external _SQLTablePrivilegesA
00007ffc0e8a5254 (__TEXT,__text) external _SQLTablePrivilegesW
00007ffc0e8a4c56 (__TEXT,__text) non-external _SQLTablePrivileges_Internal
00007ffc0e8a12eb (__TEXT,__text) external _SQLTables
00007ffc0e8a14e2 (__TEXT,__text) external _SQLTablesA
00007ffc0e8a16d9 (__TEXT,__text) external _SQLTablesW
00007ffc0e8a102f (__TEXT,__text) non-external _SQLTables_Internal
00007ffc0e8adff9 (__TEXT,__text) external _SQLTransact
00007ffc0e8add04 (__TEXT,__text) non-external _SQLTransact_Internal
00007ffc0e8c8a54 (__TEXT,__text) non-external _SQLValidDSN
00007ffc0e8c8ab3 (__TEXT,__text) non-external _SQLValidDSNW
00007ffc0e8c7e8b (__TEXT,__text) non-external _SQLWriteFileDSN
00007ffc0e8c7f36 (__TEXT,__text) non-external _SQLWriteFileDSNW
00007ffc0e8cb9c4 (__TEXT,__text) non-external _SQLWritePrivateProfileString
00007ffc0e8cbbe5 (__TEXT,__text) non-external _SQLWritePrivateProfileStringW
00007ffc0e8b2d9f (__TEXT,__text) non-external _SectSorter
00007ffc0e8c89b6 (__TEXT,__text) non-external _ValidDSN
00007ffc0e8c8a08 (__TEXT,__text) non-external _ValidDSNW
00007ffc0e8cb8ba (__TEXT,__text) non-external _WritePrivateProfileString
                 (undefined) external __DefaultRuneLocale (from libSystem)
00007ffc0e8b8ecc (__TEXT,__text) non-external __SQLFreeHandle_DESC
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007ffc0e8aa530 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ffc0e8aa550 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
00007ffc0e8c9b85 (__TEXT,__text) non-external ___iodbcdm_cfg_poolalloc
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___sprintf_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___toupper (from libSystem)
00007ffc41285490 (__DATA,__common) non-external __iodbc_env_counter
00007ffc0e8c8437 (__TEXT,__text) non-external __iodbcadm_getinifile
00007ffc0e8b27b2 (__TEXT,__text) non-external __iodbcdm_BindColumn
00007ffc0e8b2880 (__TEXT,__text) non-external __iodbcdm_ConvBindData
00007ffc0e8abc89 (__TEXT,__text) non-external __iodbcdm_ExtendedFetch
00007ffc0e8b15fe (__TEXT,__text) non-external __iodbcdm_FreeStmtParams
00007ffc0e8ad565 (__TEXT,__text) non-external __iodbcdm_GetConnectOption
00007ffc0e8b70e3 (__TEXT,__text) non-external __iodbcdm_NumResultCols
00007ffc0e8b184c (__TEXT,__text) non-external __iodbcdm_RemoveBind
00007ffc0e8acbaa (__TEXT,__text) non-external __iodbcdm_SetConnectOption
00007ffc0e8a568c (__TEXT,__text) non-external __iodbcdm_SetConnectOption_init
00007ffc0e8ac5c4 (__TEXT,__text) non-external __iodbcdm_SetPos
00007ffc0e8b2835 (__TEXT,__text) non-external __iodbcdm_UnBindColumn
00007ffc0e8b2519 (__TEXT,__text) non-external __iodbcdm_alloc_param
00007ffc41285498 (__DATA,__common) non-external __iodbcdm_attr_connection_pooling
00007ffc0e8b293a (__TEXT,__text) non-external __iodbcdm_bindConv_A2W
00007ffc0e89fafd (__TEXT,__text) non-external __iodbcdm_cata_state_ok
00007ffc0e89fb50 (__TEXT,__text) non-external __iodbcdm_cata_state_tr
00007ffc0e8ca2bd (__TEXT,__text) non-external __iodbcdm_cfg_commit
00007ffc0e8c94f4 (__TEXT,__text) non-external __iodbcdm_cfg_done
00007ffc0e8c9d2b (__TEXT,__text) non-external __iodbcdm_cfg_find
00007ffc0e8c99b4 (__TEXT,__text) non-external __iodbcdm_cfg_freeimage
00007ffc0e8c944c (__TEXT,__text) non-external __iodbcdm_cfg_init
00007ffc0e8b4b1a (__TEXT,__text) non-external __iodbcdm_cfg_init_str
00007ffc0e8ca59c (__TEXT,__text) non-external __iodbcdm_cfg_next_section
00007ffc0e8c9c5a (__TEXT,__text) non-external __iodbcdm_cfg_nextentry
00007ffc0e8b4b8d (__TEXT,__text) non-external __iodbcdm_cfg_parse_str
00007ffc0e8b4a10 (__TEXT,__text) non-external __iodbcdm_cfg_parse_str_Internal
00007ffc0e8c9525 (__TEXT,__text) non-external __iodbcdm_cfg_refresh
00007ffc0e8c9c34 (__TEXT,__text) non-external __iodbcdm_cfg_rewind
00007ffc0e8a87e1 (__TEXT,__text) non-external __iodbcdm_cfg_savefile
00007ffc0e8ca5ce (__TEXT,__text) non-external __iodbcdm_cfg_search_init
00007ffc0e8c9a7e (__TEXT,__text) non-external __iodbcdm_cfg_storeentry
00007ffc0e8b4bd9 (__TEXT,__text) non-external __iodbcdm_cfg_to_string
00007ffc0e8c9e29 (__TEXT,__text) non-external __iodbcdm_cfg_write
00007ffc0e8c8683 (__TEXT,__text) non-external __iodbcdm_check_for_string
00007ffc0e8a8579 (__TEXT,__text) non-external __iodbcdm_con_settracing
00007ffc0e8b25c7 (__TEXT,__text) non-external __iodbcdm_conv_param_A2W
00007ffc0e8b26c3 (__TEXT,__text) non-external __iodbcdm_conv_param_W2A
00007ffc0e8a86a3 (__TEXT,__text) non-external __iodbcdm_dbcdelayset
00007ffc0e8aa673 (__TEXT,__text) non-external __iodbcdm_dllclose
00007ffc0e8aa6ba (__TEXT,__text) non-external __iodbcdm_dllerror
00007ffc0e8aa5d3 (__TEXT,__text) non-external __iodbcdm_dllopen
00007ffc0e8aa5c9 (__TEXT,__text) non-external __iodbcdm_dllproc
00007ffc0e8aa6ec (__TEXT,__text) non-external __iodbcdm_do_cursoropen
00007ffc0e8a58fe (__TEXT,__text) non-external __iodbcdm_driverload
00007ffc0e8a60c0 (__TEXT,__text) non-external __iodbcdm_driverunload
00007ffc0e8b1515 (__TEXT,__text) non-external __iodbcdm_dropstmt
00007ffc0e8ad188 (__TEXT,__text) non-external __iodbcdm_drvopt_store
00007ffc0e8a5489 (__TEXT,__text) non-external __iodbcdm_finish_disconnect
00007ffc0e8ae3dc (__TEXT,__text) non-external __iodbcdm_freesqlerrlist
00007ffc0e8aa443 (__TEXT,__text) non-external __iodbcdm_getInfo_init
00007ffc0e8c8729 (__TEXT,__text) non-external __iodbcdm_getdsnfile
00007ffc0e8aa57a (__TEXT,__text) non-external __iodbcdm_getproc
00007ffc41285438 (__DATA,__bss) non-external __iodbcdm_initialized
00007ffc0e8ca7ac (__TEXT,__text) non-external __iodbcdm_list_entries
00007ffc0e8ca6ec (__TEXT,__text) non-external __iodbcdm_list_sections
00007ffc0e8b738c (__TEXT,__text) non-external __iodbcdm_map_c_type
00007ffc0e8b7330 (__TEXT,__text) non-external __iodbcdm_map_sql_type
00007ffc0e8aa2ac (__TEXT,__text) non-external __iodbcdm_pool_conn_dead
00007ffc0e8a5430 (__TEXT,__text) non-external __iodbcdm_pool_drop_conn
00007ffc0e8cbdc0 (__TEXT,__text) non-external __iodbcdm_pool_drop_conn.cold.1
00007ffc0e8a831c (__TEXT,__text) non-external __iodbcdm_pool_get_conn
00007ffc0e8a89d5 (__TEXT,__text) non-external __iodbcdm_pool_put_conn
00007ffc0e8a5563 (__TEXT,__text) non-external __iodbcdm_pool_reset_conn_attrs
00007ffc0e8a8933 (__TEXT,__text) non-external __iodbcdm_pool_set_retry_wait
00007ffc0e8ae3ff (__TEXT,__text) non-external __iodbcdm_pushsqlerr
00007ffc0e8c86cd (__TEXT,__text) non-external __iodbcdm_remove_quotes
00007ffc0e8aa6c4 (__TEXT,__text) non-external __iodbcdm_safe_unload
00007ffc0e8ae462 (__TEXT,__text) non-external __iodbcdm_sqlerror
00007ffc0e8c88eb (__TEXT,__text) non-external __iodbcdm_strlcat
00007ffc0e8c889b (__TEXT,__text) non-external __iodbcdm_strlcpy
00007ffc0e8adde3 (__TEXT,__text) non-external __iodbcdm_transact
00007ffc402150c0 (__DATA_CONST,__const) non-external __mask_CONVERT
00007ffc40215d60 (__DATA_CONST,__const) non-external __mask_CURSOR_ATTRIBUTES1
00007ffc40215e10 (__DATA_CONST,__const) non-external __mask_CURSOR_ATTRIBUTES2
00007ffc40215180 (__DATA_CONST,__const) non-external __mask_CURSOR_BEHAVIOR
00007ffc40215220 (__DATA_CONST,__const) non-external __mask_IDENTIFIER_CASE
00007ffc402158c0 (__DATA_CONST,__const) non-external __mask_SQL_AGGREGATE_FUNCTIONS
00007ffc40215900 (__DATA_CONST,__const) non-external __mask_SQL_ALTER_DOMAIN
00007ffc402155d0 (__DATA_CONST,__const) non-external __mask_SQL_ALTER_TABLE
00007ffc40215950 (__DATA_CONST,__const) non-external __mask_SQL_ASYNC_MODE
00007ffc40215970 (__DATA_CONST,__const) non-external __mask_SQL_BATCH_ROW_COUNT
00007ffc40215990 (__DATA_CONST,__const) non-external __mask_SQL_BATCH_SUPPORT
00007ffc40215680 (__DATA_CONST,__const) non-external __mask_SQL_BOOKMARK_PERSISTENCE
00007ffc402159c0 (__DATA_CONST,__const) non-external __mask_SQL_CATALOG_LOCATION
00007ffc402159e0 (__DATA_CONST,__const) non-external __mask_SQL_CATALOG_USAGE
00007ffc40215090 (__DATA_CONST,__const) non-external __mask_SQL_CONCAT_NULL_BEHAVIOR
00007ffc402150a0 (__DATA_CONST,__const) non-external __mask_SQL_CONVERT_FUNCTIONS
00007ffc402155a0 (__DATA_CONST,__const) non-external __mask_SQL_CORRELATION_NAME
00007ffc40215a10 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_ASSERTION
00007ffc40215a60 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_CHARACTER_SET
00007ffc40215a80 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_COLLATION
00007ffc40215a90 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_DOMAIN
00007ffc40215ae0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_SCHEMA
00007ffc40215b00 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_TABLE
00007ffc40215b80 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_TRANSLATION
00007ffc40215b90 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_VIEW
00007ffc40215bc0 (__DATA_CONST,__const) non-external __mask_SQL_CURSOR_SENSITIVITY
00007ffc40215be0 (__DATA_CONST,__const) non-external __mask_SQL_DATETIME_LITERALS
00007ffc40215c60 (__DATA_CONST,__const) non-external __mask_SQL_DDL_INDEX
00007ffc40215ca0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_ASSERTION
00007ffc40215cb0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_CHARACTER_SET
00007ffc40215cc0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_COLLATION
00007ffc40215cd0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_DOMAIN
00007ffc40215cf0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_SCHEMA
00007ffc40215d10 (__DATA_CONST,__const) non-external __mask_SQL_DROP_TABLE
00007ffc40215d30 (__DATA_CONST,__const) non-external __mask_SQL_DROP_TRANSLATION
00007ffc40215d40 (__DATA_CONST,__const) non-external __mask_SQL_DROP_VIEW
00007ffc40215c80 (__DATA_CONST,__const) non-external __mask_SQL_DTC_TRANSITION_COST
00007ffc402151d0 (__DATA_CONST,__const) non-external __mask_SQL_FETCH_DIRECTION
00007ffc40215710 (__DATA_CONST,__const) non-external __mask_SQL_FILE_USAGE
00007ffc402156c0 (__DATA_CONST,__const) non-external __mask_SQL_GETDATA_EXTENSIONS
00007ffc402156f0 (__DATA_CONST,__const) non-external __mask_SQL_GROUP_BY
00007ffc40215ea0 (__DATA_CONST,__const) non-external __mask_SQL_INDEX_KEYWORDS
00007ffc40215ec0 (__DATA_CONST,__const) non-external __mask_SQL_INFO_SCHEMA_VIEWS
00007ffc40215f80 (__DATA_CONST,__const) non-external __mask_SQL_INSERT_STATEMENT
