00007ffd1b3df048 (__TEXT,__text) non-external _Done_iODBC
00007ffd446a4908 (__DATA,__bss) non-external _SQLDrivers_Internal.sect
00007ffd1b3ef02e (__TEXT,__text) external _SQLEndTran
00007ffd1b3df9ea (__TEXT,__text) external _SQLError
00007ffd1b3dfacf (__TEXT,__text) external _SQLErrorA
00007ffd1b3dfbb4 (__TEXT,__text) external _SQLErrorW
00007ffd1b3db781 (__TEXT,__text) external _SQLExecDirect
00007ffd1b3db8bd (__TEXT,__text) external _SQLExecDirectA
00007ffd1b3db9f9 (__TEXT,__text) external _SQLExecDirectW
00007ffd1b3db528 (__TEXT,__text) non-external _SQLExecDirect_Internal
00007ffd1b3db26f (__TEXT,__text) external _SQLExecute
00007ffd1b3dc9fb (__TEXT,__text) external _SQLExtendedFetch
00007ffd1b3dc751 (__TEXT,__text) external _SQLFetch
00007ffd1b3ef2fb (__TEXT,__text) external _SQLFetchScroll
00007ffd1b3dc584 (__TEXT,__text) non-external _SQLFetch_Internal
00007ffd1b3d39d6 (__TEXT,__text) external _SQLForeignKeys
00007ffd1b3d3bdb (__TEXT,__text) external _SQLForeignKeysA
00007ffd1b3d3de0 (__TEXT,__text) external _SQLForeignKeysW
00007ffd1b3d360f (__TEXT,__text) non-external _SQLForeignKeys_Internal
00007ffd1b3dd6f5 (__TEXT,__text) external _SQLFreeConnect
00007ffd1b3dd655 (__TEXT,__text) non-external _SQLFreeConnect_Internal
00007ffd1b3defc8 (__TEXT,__text) external _SQLFreeEnv
00007ffd1b3def57 (__TEXT,__text) non-external _SQLFreeEnv_Internal
00007ffd1b3e9835 (__TEXT,__text) external _SQLFreeHandle
00007ffd1b3e25d6 (__TEXT,__text) external _SQLFreeStmt
00007ffd1b3e2396 (__TEXT,__text) non-external _SQLFreeStmt_Internal
00007ffd1b3f978a (__TEXT,__text) non-external _SQLGetConfigMode
00007ffd1b3ec4da (__TEXT,__text) external _SQLGetConnectAttr
00007ffd1b3ec9eb (__TEXT,__text) external _SQLGetConnectAttrA
00007ffd1b3ecb33 (__TEXT,__text) external _SQLGetConnectAttrW
00007ffd1b3ec622 (__TEXT,__text) non-external _SQLGetConnectAttr_Internal
00007ffd1b3de5ef (__TEXT,__text) external _SQLGetConnectOption
00007ffd1b3de715 (__TEXT,__text) external _SQLGetConnectOptionA
00007ffd1b3de83b (__TEXT,__text) external _SQLGetConnectOptionW
00007ffd1b3e78ad (__TEXT,__text) external _SQLGetCursorName
00007ffd1b3e7a05 (__TEXT,__text) external _SQLGetCursorNameA
00007ffd1b3e7b5d (__TEXT,__text) external _SQLGetCursorNameW
00007ffd1b3e767d (__TEXT,__text) non-external _SQLGetCursorName_Internal
00007ffd1b3dcb8d (__TEXT,__text) external _SQLGetData
00007ffd1b3ecef5 (__TEXT,__text) external _SQLGetDescField
00007ffd1b3ed075 (__TEXT,__text) external _SQLGetDescFieldA
00007ffd1b3ed1f5 (__TEXT,__text) external _SQLGetDescFieldW
00007ffd1b3ecc7b (__TEXT,__text) non-external _SQLGetDescField_Internal
00007ffd1b3edb18 (__TEXT,__text) external _SQLGetDescRec
00007ffd1b3edcca (__TEXT,__text) external _SQLGetDescRecA
00007ffd1b3ede7c (__TEXT,__text) external _SQLGetDescRecW
00007ffd1b3ed917 (__TEXT,__text) non-external _SQLGetDescRec_Internal
00007ffd1b3e18cc (__TEXT,__text) external _SQLGetDiagField
00007ffd1b3e19b4 (__TEXT,__text) external _SQLGetDiagFieldA
00007ffd1b3e1a9c (__TEXT,__text) external _SQLGetDiagFieldW
00007ffd1b3e0745 (__TEXT,__text) non-external _SQLGetDiagField_Internal
00007ffd1b3e0478 (__TEXT,__text) external _SQLGetDiagRec
00007ffd1b3e0567 (__TEXT,__text) external _SQLGetDiagRecA
00007ffd1b3e0656 (__TEXT,__text) external _SQLGetDiagRecW
00007ffd1b3dfc99 (__TEXT,__text) non-external _SQLGetDiagRec_Internal
00007ffd1b3e9f37 (__TEXT,__text) external _SQLGetEnvAttr
00007ffd1b3e53c7 (__TEXT,__text) external _SQLGetFunctions
00007ffd1b3e4fc2 (__TEXT,__text) external _SQLGetInfo
00007ffd1b3e5119 (__TEXT,__text) external _SQLGetInfoA
00007ffd1b3e5270 (__TEXT,__text) external _SQLGetInfoW
00007ffd1b3e489c (__TEXT,__text) non-external _SQLGetInfo_Internal
00007ffd1b3fc603 (__TEXT,__text) non-external _SQLGetKeywordValue
00007ffd1b3fc63c (__TEXT,__text) non-external _SQLGetKeywordValueW
00007ffd1b3fc021 (__TEXT,__text) non-external _SQLGetPrivateProfileString
00007ffd1b3fc273 (__TEXT,__text) non-external _SQLGetPrivateProfileStringW
00007ffd1b3ea8f0 (__TEXT,__text) external _SQLGetStmtAttr
00007ffd1b3eaa51 (__TEXT,__text) external _SQLGetStmtAttrA
00007ffd1b3eabb2 (__TEXT,__text) external _SQLGetStmtAttrW
00007ffd1b3ea0f1 (__TEXT,__text) non-external _SQLGetStmtAttr_Internal
00007ffd1b3e2e0c (__TEXT,__text) external _SQLGetStmtOption
00007ffd1b3e2f49 (__TEXT,__text) external _SQLGetStmtOptionA
00007ffd1b3e2bfc (__TEXT,__text) non-external _SQLGetStmtOption_Internal
00007ffd1b3d08c8 (__TEXT,__text) external _SQLGetTypeInfo
00007ffd1b3d09f2 (__TEXT,__text) external _SQLGetTypeInfoA
00007ffd1b3d0b1c (__TEXT,__text) external _SQLGetTypeInfoW
00007ffd1b3d0730 (__TEXT,__text) non-external _SQLGetTypeInfo_Internal
00007ffd1b3dcf4c (__TEXT,__text) external _SQLMoreResults
00007ffd1b3da981 (__TEXT,__text) external _SQLNativeSql
00007ffd1b3daafd (__TEXT,__text) external _SQLNativeSqlA
00007ffd1b3dac79 (__TEXT,__text) external _SQLNativeSqlW
00007ffd1b3da6bd (__TEXT,__text) non-external _SQLNativeSql_Internal
00007ffd1b3dc099 (__TEXT,__text) external _SQLNumParams
00007ffd1b3e7fa9 (__TEXT,__text) external _SQLNumResultCols
00007ffd1b3dbddf (__TEXT,__text) external _SQLParamData
00007ffd1b3e6a63 (__TEXT,__text) external _SQLParamOptions
00007ffd1b3e5c9b (__TEXT,__text) external _SQLPrepare
00007ffd1b3e5dd7 (__TEXT,__text) external _SQLPrepareA
00007ffd1b3e5f13 (__TEXT,__text) external _SQLPrepareW
00007ffd1b3e5a84 (__TEXT,__text) non-external _SQLPrepare_Internal
00007ffd1b3d4267 (__TEXT,__text) external _SQLPrimaryKeys
00007ffd1b3d441d (__TEXT,__text) external _SQLPrimaryKeysA
00007ffd1b3d45d3 (__TEXT,__text) external _SQLPrimaryKeysW
00007ffd1b3d3fe5 (__TEXT,__text) non-external _SQLPrimaryKeys_Internal
00007ffd1b3d4a69 (__TEXT,__text) external _SQLProcedureColumns
00007ffd1b3d4c3a (__TEXT,__text) external _SQLProcedureColumnsA
00007ffd1b3d4e0b (__TEXT,__text) external _SQLProcedureColumnsW
00007ffd1b3d4789 (__TEXT,__text) non-external _SQLProcedureColumns_Internal
00007ffd1b3d525e (__TEXT,__text) external _SQLProcedures
00007ffd1b3d5414 (__TEXT,__text) external _SQLProceduresA
00007ffd1b3d55ca (__TEXT,__text) external _SQLProceduresW
00007ffd1b3d4fdc (__TEXT,__text) non-external _SQLProcedures_Internal
00007ffd1b3dbb35 (__TEXT,__text) external _SQLPutData
00007ffd1b3f8ee9 (__TEXT,__text) non-external _SQLReadFileDSN
00007ffd1b3f9058 (__TEXT,__text) non-external _SQLReadFileDSNW
00007ffd1b3e7cb5 (__TEXT,__text) external _SQLRowCount
00007ffd1b3fc675 (__TEXT,__text) non-external _SQLSetConfigMode
00007ffd1b3ebefc (__TEXT,__text) external _SQLSetConnectAttr
00007ffd1b3ec25a (__TEXT,__text) external _SQLSetConnectAttrA
00007ffd1b3ec39a (__TEXT,__text) external _SQLSetConnectAttrW
00007ffd1b3ec03c (__TEXT,__text) non-external _SQLSetConnectAttr_Internal
00007ffd1b3dde55 (__TEXT,__text) external _SQLSetConnectOption
00007ffd1b3ddf7b (__TEXT,__text) external _SQLSetConnectOptionA
00007ffd1b3de0a1 (__TEXT,__text) external _SQLSetConnectOptionW
00007ffd1b3e620c (__TEXT,__text) external _SQLSetCursorName
00007ffd1b3e634e (__TEXT,__text) external _SQLSetCursorNameA
00007ffd1b3e6490 (__TEXT,__text) external _SQLSetCursorNameW
00007ffd1b3e604f (__TEXT,__text) non-external _SQLSetCursorName_Internal
00007ffd1b3ed50c (__TEXT,__text) external _SQLSetDescField
00007ffd1b3ed665 (__TEXT,__text) external _SQLSetDescFieldA
00007ffd1b3ed7be (__TEXT,__text) external _SQLSetDescFieldW
00007ffd1b3ed375 (__TEXT,__text) non-external _SQLSetDescField_Internal
00007ffd1b3ee02e (__TEXT,__text) external _SQLSetDescRec
00007ffd1b3e9d47 (__TEXT,__text) external _SQLSetEnvAttr
00007ffd1b3e9e64 (__TEXT,__text) non-external _SQLSetEnvAttr_Internal
00007ffd1b3fcbb5 (__TEXT,__text) non-external _SQLSetKeywordValue
00007ffd1b3fcbc6 (__TEXT,__text) non-external _SQLSetKeywordValueW
00007ffd1b3e7270 (__TEXT,__text) external _SQLSetParam
00007ffd1b3dd33f (__TEXT,__text) external _SQLSetPos
00007ffd1b3e6d77 (__TEXT,__text) external _SQLSetScrollOptions
00007ffd1b3ebae8 (__TEXT,__text) external _SQLSetStmtAttr
00007ffd1b3ebc44 (__TEXT,__text) external _SQLSetStmtAttrA
00007ffd1b3ebda0 (__TEXT,__text) external _SQLSetStmtAttrW
00007ffd1b3ead13 (__TEXT,__text) non-external _SQLSetStmtAttr_Internal
00007ffd1b3e270e (__TEXT,__text) external _SQLSetStmtOption
00007ffd1b3e2ac0 (__TEXT,__text) external _SQLSetStmtOptionA
00007ffd1b3e284a (__TEXT,__text) non-external _SQLSetStmtOption_Internal
00007ffd1b3d0f0c (__TEXT,__text) external _SQLSpecialColumns
00007ffd1b3d10f0 (__TEXT,__text) external _SQLSpecialColumnsA
00007ffd1b3d12d4 (__TEXT,__text) external _SQLSpecialColumnsW
00007ffd1b3d0c46 (__TEXT,__text) non-external _SQLSpecialColumns_Internal
00007ffd1b3d1770 (__TEXT,__text) external _SQLStatistics
00007ffd1b3d1952 (__TEXT,__text) external _SQLStatisticsA
00007ffd1b3d1b34 (__TEXT,__text) external _SQLStatisticsW
00007ffd1b3d14b8 (__TEXT,__text) non-external _SQLStatistics_Internal
00007ffd1b3d5a02 (__TEXT,__text) external _SQLTablePrivileges
00007ffd1b3d5bb8 (__TEXT,__text) external _SQLTablePrivilegesA
00007ffd1b3d5d6e (__TEXT,__text) external _SQLTablePrivilegesW
00007ffd1b3d5780 (__TEXT,__text) non-external _SQLTablePrivileges_Internal
00007ffd1b3d1ff6 (__TEXT,__text) external _SQLTables
00007ffd1b3d21c7 (__TEXT,__text) external _SQLTablesA
00007ffd1b3d2398 (__TEXT,__text) external _SQLTablesW
00007ffd1b3d1d16 (__TEXT,__text) non-external _SQLTables_Internal
00007ffd1b3dec64 (__TEXT,__text) external _SQLTransact
00007ffd1b3de961 (__TEXT,__text) non-external _SQLTransact_Internal
00007ffd1b3f9875 (__TEXT,__text) non-external _SQLValidDSN
00007ffd1b3f98d4 (__TEXT,__text) non-external _SQLValidDSNW
00007ffd1b3f8c80 (__TEXT,__text) non-external _SQLWriteFileDSN
00007ffd1b3f8d2b (__TEXT,__text) non-external _SQLWriteFileDSNW
00007ffd1b3fc7d6 (__TEXT,__text) non-external _SQLWritePrivateProfileString
00007ffd1b3fc9f7 (__TEXT,__text) non-external _SQLWritePrivateProfileStringW
00007ffd1b3e3ac7 (__TEXT,__text) non-external _SectSorter
00007ffd1b3f97d7 (__TEXT,__text) non-external _ValidDSN
00007ffd1b3f9829 (__TEXT,__text) non-external _ValidDSNW
00007ffd1b3fc6cc (__TEXT,__text) non-external _WritePrivateProfileString
                 (undefined) external __DefaultRuneLocale (from libSystem)
00007ffd1b3e9c0c (__TEXT,__text) non-external __SQLFreeHandle_DESC
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007ffd1b3db060 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ffd1b3db080 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
00007ffd1b3fa95d (__TEXT,__text) non-external ___iodbcdm_cfg_poolalloc
00007ffd1b3fbdb6 (__TEXT,__text) non-external ___iodbcdm_cfg_skipwhite
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___sprintf_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___toupper (from libSystem)
00007ffd446a4940 (__DATA,__common) non-external __iodbc_env_counter
00007ffd1b3f9258 (__TEXT,__text) non-external __iodbcadm_getinifile
00007ffd1b3e34ad (__TEXT,__text) non-external __iodbcdm_BindColumn
00007ffd1b3e3585 (__TEXT,__text) non-external __iodbcdm_ConvBindData
00007ffd1b3dc86e (__TEXT,__text) non-external __iodbcdm_ExtendedFetch
00007ffd1b3e2343 (__TEXT,__text) non-external __iodbcdm_FreeStmtParams
00007ffd1b3de1c7 (__TEXT,__text) non-external __iodbcdm_GetConnectOption
00007ffd1b3e7e80 (__TEXT,__text) non-external __iodbcdm_NumResultCols
00007ffd1b3e25a0 (__TEXT,__text) non-external __iodbcdm_RemoveBind
00007ffd1b3dd7d4 (__TEXT,__text) non-external __iodbcdm_SetConnectOption
00007ffd1b3d6185 (__TEXT,__text) non-external __iodbcdm_SetConnectOption_init
00007ffd1b3dd1dc (__TEXT,__text) non-external __iodbcdm_SetPos
00007ffd1b3e353a (__TEXT,__text) non-external __iodbcdm_UnBindColumn
00007ffd1b3e3281 (__TEXT,__text) non-external __iodbcdm_alloc_param
00007ffd446a4948 (__DATA,__common) non-external __iodbcdm_attr_connection_pooling
00007ffd1b3e3651 (__TEXT,__text) non-external __iodbcdm_bindConv_A2W
00007ffd1b3d082d (__TEXT,__text) non-external __iodbcdm_cata_state_ok
00007ffd1b3d0880 (__TEXT,__text) non-external __iodbcdm_cata_state_tr
00007ffd1b3fb049 (__TEXT,__text) non-external __iodbcdm_cfg_commit
00007ffd1b3fa33c (__TEXT,__text) non-external __iodbcdm_cfg_done
00007ffd1b3faae2 (__TEXT,__text) non-external __iodbcdm_cfg_find
00007ffd1b3fa792 (__TEXT,__text) non-external __iodbcdm_cfg_freeimage
00007ffd1b3fa286 (__TEXT,__text) non-external __iodbcdm_cfg_init
00007ffd1b3e58aa (__TEXT,__text) non-external __iodbcdm_cfg_init_str
00007ffd1b3fb2f5 (__TEXT,__text) non-external __iodbcdm_cfg_next_section
00007ffd1b3faa29 (__TEXT,__text) non-external __iodbcdm_cfg_nextentry
00007ffd1b3e5927 (__TEXT,__text) non-external __iodbcdm_cfg_parse_str
00007ffd1b3e57a0 (__TEXT,__text) non-external __iodbcdm_cfg_parse_str_Internal
00007ffd1b3fa36d (__TEXT,__text) non-external __iodbcdm_cfg_refresh
00007ffd1b3faa03 (__TEXT,__text) non-external __iodbcdm_cfg_rewind
00007ffd1b3d92e5 (__TEXT,__text) non-external __iodbcdm_cfg_savefile
00007ffd1b3fb327 (__TEXT,__text) non-external __iodbcdm_cfg_search_init
00007ffd1b3fa85c (__TEXT,__text) non-external __iodbcdm_cfg_storeentry
00007ffd1b3e5973 (__TEXT,__text) non-external __iodbcdm_cfg_to_string
00007ffd1b3fabeb (__TEXT,__text) non-external __iodbcdm_cfg_write
00007ffd1b3f94a4 (__TEXT,__text) non-external __iodbcdm_check_for_string
00007ffd1b3d907d (__TEXT,__text) non-external __iodbcdm_con_settracing
00007ffd1b3e330e (__TEXT,__text) non-external __iodbcdm_conv_param_A2W
00007ffd1b3e33e2 (__TEXT,__text) non-external __iodbcdm_conv_param_W2A
00007ffd1b3d91a7 (__TEXT,__text) non-external __iodbcdm_dbcdelayset
00007ffd1b3db1b0 (__TEXT,__text) non-external __iodbcdm_dllclose
00007ffd1b3db1fd (__TEXT,__text) non-external __iodbcdm_dllerror
00007ffd1b3db106 (__TEXT,__text) non-external __iodbcdm_dllopen
00007ffd1b3db0fc (__TEXT,__text) non-external __iodbcdm_dllproc
00007ffd1b3db234 (__TEXT,__text) non-external __iodbcdm_do_cursoropen
00007ffd1b3d6434 (__TEXT,__text) non-external __iodbcdm_driverload
00007ffd1b3d6c08 (__TEXT,__text) non-external __iodbcdm_driverunload
00007ffd1b3e225a (__TEXT,__text) non-external __iodbcdm_dropstmt
00007ffd1b3ddde8 (__TEXT,__text) non-external __iodbcdm_drvopt_store
00007ffd1b3d5f82 (__TEXT,__text) non-external __iodbcdm_finish_disconnect
00007ffd1b3df050 (__TEXT,__text) non-external __iodbcdm_freesqlerrlist
00007ffd1b3daf7f (__TEXT,__text) non-external __iodbcdm_getInfo_init
00007ffd1b3f954a (__TEXT,__text) non-external __iodbcdm_getdsnfile
00007ffd1b3db0aa (__TEXT,__text) non-external __iodbcdm_getproc
00007ffd446a48e8 (__DATA,__bss) non-external __iodbcdm_initialized
00007ffd1b3fb505 (__TEXT,__text) non-external __iodbcdm_list_entries
00007ffd1b3fb445 (__TEXT,__text) non-external __iodbcdm_list_sections
00007ffd1b3e8131 (__TEXT,__text) non-external __iodbcdm_map_c_type
00007ffd1b3e80d5 (__TEXT,__text) non-external __iodbcdm_map_sql_type
00007ffd1b3dadf5 (__TEXT,__text) non-external __iodbcdm_pool_conn_dead
00007ffd1b3d5f30 (__TEXT,__text) non-external __iodbcdm_pool_drop_conn
00007ffd1b3fcbe6 (__TEXT,__text) non-external __iodbcdm_pool_drop_conn.cold.1
00007ffd1b3d8e20 (__TEXT,__text) non-external __iodbcdm_pool_get_conn
00007ffd1b3d94d5 (__TEXT,__text) non-external __iodbcdm_pool_put_conn
00007ffd1b3d605c (__TEXT,__text) non-external __iodbcdm_pool_reset_conn_attrs
00007ffd1b3d9433 (__TEXT,__text) non-external __iodbcdm_pool_set_retry_wait
00007ffd1b3df073 (__TEXT,__text) non-external __iodbcdm_pushsqlerr
00007ffd1b3f94ee (__TEXT,__text) non-external __iodbcdm_remove_quotes
00007ffd1b3db207 (__TEXT,__text) non-external __iodbcdm_safe_unload
00007ffd1b3df0e0 (__TEXT,__text) non-external __iodbcdm_sqlerror
00007ffd1b3f970c (__TEXT,__text) non-external __iodbcdm_strlcat
00007ffd1b3f96bc (__TEXT,__text) non-external __iodbcdm_strlcpy
00007ffd1b3dea40 (__TEXT,__text) non-external __iodbcdm_transact
00007ffd425df6f0 (__DATA_CONST,__const) non-external __mask_CONVERT
00007ffd425e0390 (__DATA_CONST,__const) non-external __mask_CURSOR_ATTRIBUTES1
00007ffd425e0440 (__DATA_CONST,__const) non-external __mask_CURSOR_ATTRIBUTES2
00007ffd425df7b0 (__DATA_CONST,__const) non-external __mask_CURSOR_BEHAVIOR
00007ffd425df850 (__DATA_CONST,__const) non-external __mask_IDENTIFIER_CASE
00007ffd425dfef0 (__DATA_CONST,__const) non-external __mask_SQL_AGGREGATE_FUNCTIONS
00007ffd425dff30 (__DATA_CONST,__const) non-external __mask_SQL_ALTER_DOMAIN
00007ffd425dfc00 (__DATA_CONST,__const) non-external __mask_SQL_ALTER_TABLE
00007ffd425dff80 (__DATA_CONST,__const) non-external __mask_SQL_ASYNC_MODE
00007ffd425dffa0 (__DATA_CONST,__const) non-external __mask_SQL_BATCH_ROW_COUNT
00007ffd425dffc0 (__DATA_CONST,__const) non-external __mask_SQL_BATCH_SUPPORT
00007ffd425dfcb0 (__DATA_CONST,__const) non-external __mask_SQL_BOOKMARK_PERSISTENCE
00007ffd425dfff0 (__DATA_CONST,__const) non-external __mask_SQL_CATALOG_LOCATION
00007ffd425e0010 (__DATA_CONST,__const) non-external __mask_SQL_CATALOG_USAGE
00007ffd425df6c0 (__DATA_CONST,__const) non-external __mask_SQL_CONCAT_NULL_BEHAVIOR
00007ffd425df6d0 (__DATA_CONST,__const) non-external __mask_SQL_CONVERT_FUNCTIONS
00007ffd425dfbd0 (__DATA_CONST,__const) non-external __mask_SQL_CORRELATION_NAME
00007ffd425e0040 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_ASSERTION
00007ffd425e0090 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_CHARACTER_SET
00007ffd425e00b0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_COLLATION
00007ffd425e00c0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_DOMAIN
00007ffd425e0110 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_SCHEMA
00007ffd425e0130 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_TABLE
00007ffd425e01b0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_TRANSLATION
00007ffd425e01c0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_VIEW
00007ffd425e01f0 (__DATA_CONST,__const) non-external __mask_SQL_CURSOR_SENSITIVITY
00007ffd425e0210 (__DATA_CONST,__const) non-external __mask_SQL_DATETIME_LITERALS
00007ffd425e0290 (__DATA_CONST,__const) non-external __mask_SQL_DDL_INDEX
00007ffd425e02d0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_ASSERTION
00007ffd425e02e0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_CHARACTER_SET
00007ffd425e02f0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_COLLATION
00007ffd425e0300 (__DATA_CONST,__const) non-external __mask_SQL_DROP_DOMAIN
00007ffd425e0320 (__DATA_CONST,__const) non-external __mask_SQL_DROP_SCHEMA
00007ffd425e0340 (__DATA_CONST,__const) non-external __mask_SQL_DROP_TABLE
00007ffd425e0360 (__DATA_CONST,__const) non-external __mask_SQL_DROP_TRANSLATION
00007ffd425e0370 (__DATA_CONST,__const) non-external __mask_SQL_DROP_VIEW
00007ffd425e02b0 (__DATA_CONST,__const) non-external __mask_SQL_DTC_TRANSITION_COST
00007ffd425df800 (__DATA_CONST,__const) non-external __mask_SQL_FETCH_DIRECTION
00007ffd425dfd40 (__DATA_CONST,__const) non-external __mask_SQL_FILE_USAGE
00007ffd425dfcf0 (__DATA_CONST,__const) non-external __mask_SQL_GETDATA_EXTENSIONS
00007ffd425dfd20 (__DATA_CONST,__const) non-external __mask_SQL_GROUP_BY
00007ffd425e04d0 (__DATA_CONST,__const) non-external __mask_SQL_INDEX_KEYWORDS
00007ffd425e04f0 (__DATA_CONST,__const) non-external __mask_SQL_INFO_SCHEMA_VIEWS
