                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007fff2a621f89 (__TEXT,__text) external ___cmph_dump
00007fff2a61d264 (__TEXT,__text) external _brz_config_set_tmp_dir
00007fff2a61e705 (__TEXT,__text) external _brz_destroy
00007fff2a61e208 (__TEXT,__text) external _brz_dump
00007fff2a61e2ac (__TEXT,__text) external _brz_load
00007fff2a625c78 (__TEXT,__text) non-external _brz_load.cold.1
00007fff2a61d344 (__TEXT,__text) external _brz_new
00007fff2a625bec (__TEXT,__text) non-external _brz_new.cold.1
00007fff2a625c0f (__TEXT,__text) non-external _brz_new.cold.2
00007fff2a625c32 (__TEXT,__text) non-external _brz_new.cold.3
00007fff2a625c55 (__TEXT,__text) non-external _brz_new.cold.4
00007fff2a61e7a7 (__TEXT,__text) external _brz_pack
00007fff2a625cbe (__TEXT,__text) non-external _brz_pack.cold.1
00007fff2a61e973 (__TEXT,__text) external _brz_packed_size
00007fff2a625ce1 (__TEXT,__text) non-external _brz_packed_size.cold.1
00007fff2a61e532 (__TEXT,__text) external _brz_search
00007fff2a625c9b (__TEXT,__text) non-external _brz_search.cold.1
00007fff2a61ea5f (__TEXT,__text) external _brz_search_packed
00007fff2a625d04 (__TEXT,__text) non-external _brz_search_packed.cold.1
00007fff2a61ef3b (__TEXT,__text) external _buffer_entry_destroy
00007fff2a61ede7 (__TEXT,__text) external _buffer_entry_get_capacity
00007fff2a61eee8 (__TEXT,__text) non-external _buffer_entry_load
00007fff2a61ed81 (__TEXT,__text) external _buffer_entry_new
00007fff2a61edb9 (__TEXT,__text) external _buffer_entry_open
00007fff2a61edf0 (__TEXT,__text) external _buffer_entry_read_key
00007fff2a61edde (__TEXT,__text) external _buffer_entry_set_capacity
00007fff2a61f0ad (__TEXT,__text) external _buffer_manager_destroy
00007fff2a61ef6a (__TEXT,__text) external _buffer_manager_new
00007fff2a61f005 (__TEXT,__text) external _buffer_manager_open
00007fff2a61f01c (__TEXT,__text) external _buffer_manager_read_key
                 (undefined) external _calloc (from libSystem)
00007fff2a61f137 (__TEXT,__text) external _chd_config_destroy
00007fff2a61f0f6 (__TEXT,__text) external _chd_config_new
00007fff2a61f16d (__TEXT,__text) external _chd_config_set_b
00007fff2a61f15c (__TEXT,__text) external _chd_config_set_hashfuncs
00007fff2a61f17e (__TEXT,__text) external _chd_config_set_keys_per_bin
00007fff2a61f48c (__TEXT,__text) external _chd_destroy
00007fff2a61f41d (__TEXT,__text) external _chd_dump
00007fff2a61f378 (__TEXT,__text) external _chd_load
00007fff2a61f18f (__TEXT,__text) external _chd_new
00007fff2a61f4ed (__TEXT,__text) external _chd_pack
00007fff2a61f52c (__TEXT,__text) external _chd_packed_size
00007fff2a61f5af (__TEXT,__text) external _chd_ph_config_destroy
00007fff2a61f56b (__TEXT,__text) external _chd_ph_config_new
00007fff2a61f5e8 (__TEXT,__text) external _chd_ph_config_set_b
00007fff2a625d27 (__TEXT,__text) non-external _chd_ph_config_set_b.cold.1
00007fff2a61f5d5 (__TEXT,__text) external _chd_ph_config_set_hashfuncs
00007fff2a61f60d (__TEXT,__text) external _chd_ph_config_set_keys_per_bin
00007fff2a625d4a (__TEXT,__text) non-external _chd_ph_config_set_keys_per_bin.cold.1
00007fff2a6202c5 (__TEXT,__text) external _chd_ph_destroy
00007fff2a6201db (__TEXT,__text) external _chd_ph_dump
00007fff2a6200ce (__TEXT,__text) external _chd_ph_load
00007fff2a61f632 (__TEXT,__text) external _chd_ph_new
00007fff2a625d6d (__TEXT,__text) non-external _chd_ph_new.cold.1
00007fff2a620399 (__TEXT,__text) external _chd_ph_pack
00007fff2a6203f3 (__TEXT,__text) external _chd_ph_packed_size
00007fff2a620300 (__TEXT,__text) external _chd_ph_search
00007fff2a620423 (__TEXT,__text) external _chd_ph_search_packed
00007fff2a61f4c0 (__TEXT,__text) external _chd_search
00007fff2a61f53f (__TEXT,__text) external _chd_search_packed
00007fff2a62517b (__TEXT,__text) external _check_primality
00007fff2a62072b (__TEXT,__text) external _chm_config_destroy
00007fff2a6206fd (__TEXT,__text) external _chm_config_new
00007fff2a620739 (__TEXT,__text) external _chm_config_set_hashfuncs
00007fff2a620f1f (__TEXT,__text) external _chm_destroy
00007fff2a620c4c (__TEXT,__text) external _chm_dump
00007fff2a620d74 (__TEXT,__text) external _chm_load
00007fff2a62076c (__TEXT,__text) external _chm_new
00007fff2a625d8e (__TEXT,__text) non-external _chm_new.cold.1
00007fff2a620f6c (__TEXT,__text) external _chm_pack
00007fff2a621011 (__TEXT,__text) external _chm_packed_size
00007fff2a620ea7 (__TEXT,__text) external _chm_search
00007fff2a621066 (__TEXT,__text) external _chm_search_packed
00007fff2a620b7a (__TEXT,__text) non-external _chm_traverse
00007fff2a6218ff (__TEXT,__text) external _cmph_config_destroy
00007fff2a625eeb (__TEXT,__text) non-external _cmph_config_destroy.cold.1
00007fff2a6216e9 (__TEXT,__text) external _cmph_config_new
00007fff2a625e82 (__TEXT,__text) non-external _cmph_config_new.cold.1
00007fff2a62171a (__TEXT,__text) external _cmph_config_set_algo
00007fff2a625ea5 (__TEXT,__text) non-external _cmph_config_set_algo.cold.1
00007fff2a625ec8 (__TEXT,__text) non-external _cmph_config_set_algo.cold.2
00007fff2a62187e (__TEXT,__text) external _cmph_config_set_b
00007fff2a621a40 (__TEXT,__text) external _cmph_config_set_graphsize
00007fff2a6219c5 (__TEXT,__text) external _cmph_config_set_hashfuncs
00007fff2a6218d0 (__TEXT,__text) external _cmph_config_set_keys_per_bin
00007fff2a6218ee (__TEXT,__text) external _cmph_config_set_memory_availability
00007fff2a62186d (__TEXT,__text) external _cmph_config_set_mphf_fd
00007fff2a62185c (__TEXT,__text) external _cmph_config_set_tmp_dir
00007fff2a6219bc (__TEXT,__text) external _cmph_config_set_verbosity
00007fff2a621d21 (__TEXT,__text) external _cmph_destroy
00007fff2a625f9a (__TEXT,__text) non-external _cmph_destroy.cold.1
00007fff2a621b40 (__TEXT,__text) external _cmph_dump
00007fff2a625f31 (__TEXT,__text) non-external _cmph_dump.cold.1
00007fff8116bc90 (__DATA,__data) external _cmph_hash_names
00007fff2a621407 (__TEXT,__text) external _cmph_io_byte_vector_adapter
00007fff2a62150b (__TEXT,__text) external _cmph_io_byte_vector_adapter_destroy
00007fff2a621128 (__TEXT,__text) external _cmph_io_nlfile_adapter
00007fff2a625db0 (__TEXT,__text) non-external _cmph_io_nlfile_adapter.cold.1
00007fff2a6213a5 (__TEXT,__text) external _cmph_io_nlfile_adapter_destroy
00007fff2a6213af (__TEXT,__text) external _cmph_io_nlnkfile_adapter
00007fff2a625dd3 (__TEXT,__text) non-external _cmph_io_nlnkfile_adapter.cold.1
00007fff2a6213fd (__TEXT,__text) external _cmph_io_nlnkfile_adapter_destroy
00007fff2a62152a (__TEXT,__text) external _cmph_io_struct_vector_adapter
00007fff2a625e3c (__TEXT,__text) non-external _cmph_io_struct_vector_adapter.cold.1
00007fff2a625e5f (__TEXT,__text) non-external _cmph_io_struct_vector_adapter.cold.2
00007fff2a62162e (__TEXT,__text) external _cmph_io_struct_vector_adapter_destroy
00007fff2a62164d (__TEXT,__text) external _cmph_io_vector_adapter
00007fff2a6216ca (__TEXT,__text) external _cmph_io_vector_adapter_destroy
00007fff2a621433 (__TEXT,__text) non-external _cmph_io_vector_new
00007fff2a625df6 (__TEXT,__text) non-external _cmph_io_vector_new.cold.1
00007fff2a625e19 (__TEXT,__text) non-external _cmph_io_vector_new.cold.2
00007fff2a621bbc (__TEXT,__text) external _cmph_load
00007fff2a625f54 (__TEXT,__text) non-external _cmph_load.cold.1
00007fff8116bc40 (__DATA,__data) external _cmph_names
00007fff2a621a4b (__TEXT,__text) external _cmph_new
00007fff2a625f0e (__TEXT,__text) non-external _cmph_new.cold.1
00007fff2a621d9c (__TEXT,__text) external _cmph_pack
00007fff2a625fbd (__TEXT,__text) non-external _cmph_pack.cold.1
00007fff2a621e20 (__TEXT,__text) external _cmph_packed_size
00007fff2a625fe0 (__TEXT,__text) non-external _cmph_packed_size.cold.1
00007fff2a621c98 (__TEXT,__text) external _cmph_search
00007fff2a625f77 (__TEXT,__text) non-external _cmph_search.cold.1
00007fff2a621e9c (__TEXT,__text) external _cmph_search_packed
00007fff2a626003 (__TEXT,__text) non-external _cmph_search_packed.cold.1
00007fff2a621d18 (__TEXT,__text) external _cmph_size
00007fff2a6220f6 (__TEXT,__text) external _compressed_rank_destroy
00007fff2a6223a3 (__TEXT,__text) external _compressed_rank_dump
00007fff2a622122 (__TEXT,__text) external _compressed_rank_generate
00007fff2a622379 (__TEXT,__text) external _compressed_rank_get_space_usage
00007fff2a6220cd (__TEXT,__text) external _compressed_rank_init
00007fff2a622486 (__TEXT,__text) external _compressed_rank_load
00007fff2a62250e (__TEXT,__text) external _compressed_rank_pack
00007fff2a62256d (__TEXT,__text) external _compressed_rank_packed_size
00007fff2a622286 (__TEXT,__text) external _compressed_rank_query
00007fff2a622597 (__TEXT,__text) external _compressed_rank_query_packed
00007fff2a6226bf (__TEXT,__text) external _compressed_seq_destroy
00007fff2a622aed (__TEXT,__text) external _compressed_seq_dump
00007fff2a6226f6 (__TEXT,__text) external _compressed_seq_generate
00007fff2a622976 (__TEXT,__text) external _compressed_seq_get_space_usage
00007fff2a622692 (__TEXT,__text) external _compressed_seq_init
00007fff2a622c0c (__TEXT,__text) external _compressed_seq_load
00007fff2a622ce2 (__TEXT,__text) external _compressed_seq_pack
00007fff2a622d41 (__TEXT,__text) external _compressed_seq_packed_size
00007fff2a6229ad (__TEXT,__text) external _compressed_seq_query
00007fff2a626026 (__TEXT,__text) non-external _compressed_seq_query.cold.1
00007fff2a622d75 (__TEXT,__text) external _compressed_seq_query_packed
00007fff2a624654 (__TEXT,__text) non-external _cyclic_del_edge
00007fff2a624501 (__TEXT,__text) non-external _del_edge_point
00007fff2a6263ad (__TEXT,__text) non-external _del_edge_point.cold.1
                 (undefined) external _exit (from libSystem)
00007fff2a624169 (__TEXT,__text) external _fch_buckets_destroy
00007fff2a6262c6 (__TEXT,__text) non-external _fch_buckets_destroy.cold.1
00007fff2a623fa3 (__TEXT,__text) external _fch_buckets_get_indexes_sorted_by_size
00007fff2a626263 (__TEXT,__text) non-external _fch_buckets_get_indexes_sorted_by_size.cold.1
00007fff2a626284 (__TEXT,__text) non-external _fch_buckets_get_indexes_sorted_by_size.cold.2
00007fff2a623f19 (__TEXT,__text) external _fch_buckets_get_key
00007fff2a626199 (__TEXT,__text) non-external _fch_buckets_get_key.cold.1
00007fff2a6261ba (__TEXT,__text) non-external _fch_buckets_get_key.cold.2
00007fff2a6261db (__TEXT,__text) non-external _fch_buckets_get_key.cold.3
00007fff2a623f55 (__TEXT,__text) external _fch_buckets_get_keylength
00007fff2a6261fe (__TEXT,__text) non-external _fch_buckets_get_keylength.cold.1
00007fff2a62621f (__TEXT,__text) non-external _fch_buckets_get_keylength.cold.2
00007fff2a626240 (__TEXT,__text) non-external _fch_buckets_get_keylength.cold.3
00007fff2a623f91 (__TEXT,__text) external _fch_buckets_get_max_size
00007fff2a623f9a (__TEXT,__text) external _fch_buckets_get_nbuckets
00007fff2a623ef2 (__TEXT,__text) external _fch_buckets_get_size
00007fff2a626155 (__TEXT,__text) non-external _fch_buckets_get_size.cold.1
00007fff2a626176 (__TEXT,__text) non-external _fch_buckets_get_size.cold.2
00007fff2a623e09 (__TEXT,__text) external _fch_buckets_insert
00007fff2a6260cf (__TEXT,__text) non-external _fch_buckets_insert.cold.1
00007fff2a6260f0 (__TEXT,__text) non-external _fch_buckets_insert.cold.2
00007fff2a626111 (__TEXT,__text) non-external _fch_buckets_insert.cold.3
00007fff2a626132 (__TEXT,__text) non-external _fch_buckets_insert.cold.4
00007fff2a623ddc (__TEXT,__text) external _fch_buckets_is_empty
00007fff2a62608b (__TEXT,__text) non-external _fch_buckets_is_empty.cold.1
00007fff2a6260ac (__TEXT,__text) non-external _fch_buckets_is_empty.cold.2
00007fff2a623d56 (__TEXT,__text) external _fch_buckets_new
00007fff2a626049 (__TEXT,__text) non-external _fch_buckets_new.cold.1
00007fff2a62606a (__TEXT,__text) non-external _fch_buckets_new.cold.2
00007fff2a62409c (__TEXT,__text) external _fch_buckets_print
00007fff2a6262a5 (__TEXT,__text) non-external _fch_buckets_print.cold.1
00007fff2a622f83 (__TEXT,__text) external _fch_calc_b
00007fff2a622fd4 (__TEXT,__text) external _fch_calc_p1
00007fff2a622fef (__TEXT,__text) external _fch_calc_p2
00007fff2a622f0c (__TEXT,__text) external _fch_config_destroy
00007fff2a622ece (__TEXT,__text) external _fch_config_new
00007fff2a622f1a (__TEXT,__text) external _fch_config_set_hashfuncs
00007fff2a623aac (__TEXT,__text) external _fch_destroy
00007fff2a623761 (__TEXT,__text) external _fch_dump
00007fff2a6238a3 (__TEXT,__text) external _fch_load
00007fff2a62300a (__TEXT,__text) external _fch_new
00007fff2a623ae9 (__TEXT,__text) external _fch_pack
00007fff2a623bd8 (__TEXT,__text) external _fch_packed_size
00007fff2a623a18 (__TEXT,__text) external _fch_search
00007fff2a623c26 (__TEXT,__text) external _fch_search_packed
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _feof (from libSystem)
                 (undefined) external _ferror (from libSystem)
                 (undefined) external _fgets (from libSystem)
00007fff2a624968 (__TEXT,__text) non-external _find_degree1_edge
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _fwrite (from libSystem)
00007fff2a6243bd (__TEXT,__text) external _graph_add_edge
00007fff2a6262e7 (__TEXT,__text) non-external _graph_add_edge.cold.1
00007fff2a626308 (__TEXT,__text) non-external _graph_add_edge.cold.2
00007fff2a626329 (__TEXT,__text) non-external _graph_add_edge.cold.3
00007fff2a62634a (__TEXT,__text) non-external _graph_add_edge.cold.4
00007fff2a624284 (__TEXT,__text) external _graph_clear_edges
00007fff2a624869 (__TEXT,__text) external _graph_contains_edge
00007fff2a6244ca (__TEXT,__text) external _graph_del_edge
00007fff2a6242da (__TEXT,__text) external _graph_destroy
00007fff2a624430 (__TEXT,__text) external _graph_edge_id
00007fff2a62636b (__TEXT,__text) non-external _graph_edge_id.cold.1
00007fff2a62638c (__TEXT,__text) non-external _graph_edge_id.cold.2
00007fff2a6245b4 (__TEXT,__text) external _graph_is_cyclic
00007fff2a624912 (__TEXT,__text) external _graph_ncritical_nodes
00007fff2a62491b (__TEXT,__text) external _graph_neighbors_it
00007fff2a624204 (__TEXT,__text) external _graph_new
00007fff2a624931 (__TEXT,__text) external _graph_next_neighbor
00007fff2a6246e8 (__TEXT,__text) external _graph_node_is_critical
00007fff2a624710 (__TEXT,__text) external _graph_obtain_critical_nodes
00007fff2a624315 (__TEXT,__text) external _graph_print
00007fff2a6248ff (__TEXT,__text) external _graph_vertex_id
00007fff2a624a1a (__TEXT,__text) external _hash
00007fff2a6263f1 (__TEXT,__text) non-external _hash.cold.1
00007fff2a624c0a (__TEXT,__text) external _hash_get_type
00007fff2a624bd9 (__TEXT,__text) external _hash_packed
00007fff2a6264dc (__TEXT,__text) non-external _hash_packed.cold.1
00007fff2a624b27 (__TEXT,__text) external _hash_state_copy
00007fff2a626454 (__TEXT,__text) non-external _hash_state_copy.cold.1
00007fff2a624b9f (__TEXT,__text) external _hash_state_destroy
00007fff2a626475 (__TEXT,__text) non-external _hash_state_destroy.cold.1
00007fff2a624a42 (__TEXT,__text) external _hash_state_dump
00007fff2a626433 (__TEXT,__text) non-external _hash_state_dump.cold.1
00007fff2a624b4a (__TEXT,__text) external _hash_state_load
00007fff2a6249fe (__TEXT,__text) external _hash_state_new
00007fff2a6263d0 (__TEXT,__text) non-external _hash_state_new.cold.1
00007fff2a624bb3 (__TEXT,__text) external _hash_state_pack
00007fff2a626496 (__TEXT,__text) non-external _hash_state_pack.cold.1
00007fff2a624bc7 (__TEXT,__text) external _hash_state_packed_size
00007fff2a6264b9 (__TEXT,__text) non-external _hash_state_packed_size.cold.1
00007fff2a624a2e (__TEXT,__text) external _hash_vector
00007fff2a626412 (__TEXT,__text) non-external _hash_vector.cold.1
00007fff2a624bf0 (__TEXT,__text) external _hash_vector_packed
00007fff2a6264ff (__TEXT,__text) non-external _hash_vector_packed.cold.1
00007fff2a624c53 (__TEXT,__text) external _jenkins_hash
00007fff2a624fee (__TEXT,__text) external _jenkins_hash_packed
00007fff2a624f34 (__TEXT,__text) external _jenkins_hash_vector_
00007fff2a625032 (__TEXT,__text) external _jenkins_hash_vector_packed
00007fff2a624f85 (__TEXT,__text) external _jenkins_state_copy
00007fff2a624c49 (__TEXT,__text) external _jenkins_state_destroy
00007fff2a624f41 (__TEXT,__text) external _jenkins_state_dump
00007fff2a624fa9 (__TEXT,__text) external _jenkins_state_load
00007fff2a624c14 (__TEXT,__text) external _jenkins_state_new
00007fff2a624fce (__TEXT,__text) external _jenkins_state_pack
00007fff2a624fe3 (__TEXT,__text) external _jenkins_state_packed_size
00007fff2a62148d (__TEXT,__text) non-external _key_byte_vector_read
00007fff2a62138e (__TEXT,__text) non-external _key_nlfile_dispose
00007fff2a62124b (__TEXT,__text) non-external _key_nlfile_read
00007fff2a62139b (__TEXT,__text) non-external _key_nlfile_rewind
00007fff2a6215c5 (__TEXT,__text) non-external _key_struct_vector_read
00007fff2a621621 (__TEXT,__text) non-external _key_struct_vector_rewind
00007fff2a6214f1 (__TEXT,__text) non-external _key_vector_dispose
00007fff2a621679 (__TEXT,__text) non-external _key_vector_read
00007fff2a6214fe (__TEXT,__text) non-external _key_vector_rewind
                 (undefined) external _log (from libSystem)
00007fff2a6269c0 (__TEXT,__const) non-external _lookup_table
00007fff2a62507a (__TEXT,__text) external _lsmap_append
00007fff2a62515d (__TEXT,__text) external _lsmap_destroy
00007fff2a625108 (__TEXT,__text) external _lsmap_foreach_key
00007fff2a625132 (__TEXT,__text) external _lsmap_foreach_value
00007fff2a62503e (__TEXT,__text) external _lsmap_new
00007fff2a6250c8 (__TEXT,__text) external _lsmap_search
00007fff2a625069 (__TEXT,__text) external _lsmap_size
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memset (from libSystem)
00007fff2a622f4d (__TEXT,__text) external _mixh10h11h12
                 (undefined) external _perror (from libSystem)
00007fff2a6204f2 (__TEXT,__text) non-external _place_bucket_probe
00007fff2a6269b8 (__TEXT,__const) non-external _pow3_table
                 (undefined) external _printf (from libSystem)
                 (undefined) external _rand (from libSystem)
00007fff2a627120 (__TEXT,__const) non-external _rank_lookup_table
                 (undefined) external _realloc (from libSystem)
                 (undefined) external _rewind (from libSystem)
00007fff2a625398 (__TEXT,__text) external _select_destroy
00007fff2a625609 (__TEXT,__text) external _select_dump
00007fff2a6253c4 (__TEXT,__text) external _select_generate
00007fff2a62537c (__TEXT,__text) external _select_get_space_usage
00007fff2a625369 (__TEXT,__text) external _select_init
00007fff2a6256af (__TEXT,__text) external _select_load
00007fff2a627220 (__TEXT,__const) non-external _select_lookup_table
00007fff2a6255a3 (__TEXT,__text) external _select_next_query
00007fff2a625865 (__TEXT,__text) external _select_next_query_packed
00007fff2a62575f (__TEXT,__text) external _select_pack
00007fff2a6257be (__TEXT,__text) external _select_packed_size
00007fff2a62552f (__TEXT,__text) external _select_query
00007fff2a6257dc (__TEXT,__text) external _select_query_packed
                 (undefined) external _sprintf (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
00007fff2a626998 (__TEXT,__const) non-external _valuemask
00007fff2a6259ca (__TEXT,__text) external _vqueue_destroy
00007fff2a625924 (__TEXT,__text) external _vqueue_insert
00007fff2a626522 (__TEXT,__text) non-external _vqueue_insert.cold.1
00007fff2a625913 (__TEXT,__text) external _vqueue_is_empty
00007fff2a6258cc (__TEXT,__text) external _vqueue_new
00007fff2a62596c (__TEXT,__text) external _vqueue_print
00007fff2a625949 (__TEXT,__text) external _vqueue_remove
00007fff2a626543 (__TEXT,__text) non-external _vqueue_remove.cold.1
00007fff2a625a12 (__TEXT,__text) external _vstack_destroy
00007fff2a626585 (__TEXT,__text) non-external _vstack_destroy.cold.1
00007fff2a625afc (__TEXT,__text) external _vstack_empty
00007fff2a62668d (__TEXT,__text) non-external _vstack_empty.cold.1
00007fff2a6259e9 (__TEXT,__text) external _vstack_new
00007fff2a626564 (__TEXT,__text) non-external _vstack_new.cold.1
00007fff2a625ab9 (__TEXT,__text) external _vstack_pop
00007fff2a626609 (__TEXT,__text) non-external _vstack_pop.cold.1
00007fff2a62662a (__TEXT,__text) non-external _vstack_pop.cold.2
00007fff2a625a3c (__TEXT,__text) external _vstack_push
00007fff2a6265a6 (__TEXT,__text) non-external _vstack_push.cold.1
00007fff2a625a6d (__TEXT,__text) external _vstack_reserve
00007fff2a6265c7 (__TEXT,__text) non-external _vstack_reserve.cold.1
00007fff2a6265e8 (__TEXT,__text) non-external _vstack_reserve.cold.2
00007fff2a625b14 (__TEXT,__text) external _vstack_size
00007fff2a625ad8 (__TEXT,__text) external _vstack_top
00007fff2a62664b (__TEXT,__text) non-external _vstack_top.cold.1
00007fff2a62666c (__TEXT,__text) non-external _vstack_top.cold.2
                 (undefined) external dyld_stub_binder (from libSystem)
