00007ff80b3bd7fc (__TEXT,__text) non-external _Annihilate
00007ff80b3f8efc (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl16
00007ff80b3f9f61 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl17
00007ff80b3f0fdc (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl8
00007ff80b3f1fc0 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl9
00007ff80b3cd5fe (__TEXT,__text) non-external (was a private external) _BrotliConvertBitDepthsToSymbols
00007ff80b3e0894 (__TEXT,__text) non-external (was a private external) _BrotliCreateBackwardReferences
00007ff80b3d4631 (__TEXT,__text) non-external (was a private external) _BrotliCreateHqZopfliBackwardReferences
00007ff80b3ccbba (__TEXT,__text) non-external (was a private external) _BrotliCreateHuffmanTree
00007ff80b3d4502 (__TEXT,__text) non-external (was a private external) _BrotliCreateZopfliBackwardReferences
00007ff80b3c3440 (__TEXT,__text) non-external (was a private external) _BrotliDecoderCreateInstance
00007ff80b3c3511 (__TEXT,__text) non-external (was a private external) _BrotliDecoderDecompress
00007ff80b3c35ec (__TEXT,__text) non-external (was a private external) _BrotliDecoderDecompressStream
00007ff80b3c34dc (__TEXT,__text) non-external (was a private external) _BrotliDecoderDestroyInstance
00007ff80b3c7afc (__TEXT,__text) non-external (was a private external) _BrotliDecoderErrorString
00007ff80b3c7af3 (__TEXT,__text) non-external (was a private external) _BrotliDecoderGetErrorCode
00007ff80b3c79d4 (__TEXT,__text) non-external (was a private external) _BrotliDecoderHasMoreOutput
00007ff80b3c9edc (__TEXT,__text) non-external (was a private external) _BrotliDecoderHuffmanTreeGroupInit
00007ff80b3c7ab5 (__TEXT,__text) non-external (was a private external) _BrotliDecoderIsFinished
00007ff80b3c7a9c (__TEXT,__text) non-external (was a private external) _BrotliDecoderIsUsed
00007ff80b3c33f4 (__TEXT,__text) non-external (was a private external) _BrotliDecoderSetParameter
00007ff80b3c9ea1 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateCleanup
00007ff80b3c9e11 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateCleanupAfterMetablock
00007ff80b3c9ca4 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateInit
00007ff80b3c9d9c (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateMetablockBegin
00007ff80b3c7a08 (__TEXT,__text) non-external (was a private external) _BrotliDecoderTakeOutput
00007ff80b3c7b20 (__TEXT,__text) non-external (was a private external) _BrotliDecoderVersion
00007ff80b3c3170 (__TEXT,__text) non-external (was a private external) _BrotliDefaultAllocFunc
00007ff80b3c317d (__TEXT,__text) non-external (was a private external) _BrotliDefaultFreeFunc
00007ff80b3be47f (__TEXT,__text) non-external (was a private external) _BrotliDestroyBlockSplit
00007ff80b3af407 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCompress
00007ff80b3b13cc (__TEXT,__text) non-external (was a private external) _BrotliEncoderCompressStream
00007ff80b3af188 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCreateInstance
00007ff80b3af2d9 (__TEXT,__text) non-external (was a private external) _BrotliEncoderDestroyInstance
00007ff80b3b6334 (__TEXT,__text) non-external (was a private external) _BrotliEncoderHasMoreOutput
00007ff80b3b251e (__TEXT,__text) non-external (was a private external) _BrotliEncoderIsFinished
00007ff80b3af3dd (__TEXT,__text) non-external (was a private external) _BrotliEncoderMaxCompressedSize
00007ff80b3af0e0 (__TEXT,__text) non-external (was a private external) _BrotliEncoderSetParameter
00007ff80b3b6347 (__TEXT,__text) non-external (was a private external) _BrotliEncoderTakeOutput
00007ff80b3b63b9 (__TEXT,__text) non-external (was a private external) _BrotliEncoderVersion
00007ff80b3c624c (__TEXT,__text) non-external _BrotliEnsureRingBuffer
00007ff80b3cc378 (__TEXT,__text) non-external (was a private external) _BrotliEstimateBitCostsForLiterals
00007ff80b3eea84 (__TEXT,__text) non-external (was a private external) _BrotliFindAllStaticDictionaryMatches
00007ff80b3bd708 (__TEXT,__text) non-external (was a private external) _BrotliFree
00007ff80b3bd8c5 (__TEXT,__text) non-external (was a private external) _BrotliGetDictionary
00007ff80b3d7ce8 (__TEXT,__text) non-external (was a private external) _BrotliGetTransforms
00007ff80b3d091c (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceCommand
00007ff80b3d1715 (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceDistance
00007ff80b3cfb23 (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceLiteral
00007ff80b3d051e (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineCommand
00007ff80b3d1317 (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineDistance
00007ff80b3cf725 (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineLiteral
00007ff80b3d0b2d (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexCommand
00007ff80b3d1926 (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexDistance
00007ff80b3cfd34 (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexLiteral
00007ff80b3d09aa (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapCommand
00007ff80b3d17a3 (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapDistance
00007ff80b3cfbb1 (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapLiteral
00007ff80b3c3242 (__TEXT,__text) non-external (was a private external) _BrotliInitBitReader
00007ff80b3be469 (__TEXT,__text) non-external (was a private external) _BrotliInitBlockSplit
00007ff80b3fd1d1 (__TEXT,__text) non-external (was a private external) _BrotliInitDistanceParams
00007ff80b3d7c84 (__TEXT,__text) non-external (was a private external) _BrotliInitEncoderDictionary
00007ff80b3bd5ad (__TEXT,__text) non-external (was a private external) _BrotliInitMemoryManager
00007ff80b3d26db (__TEXT,__text) non-external (was a private external) _BrotliInitZopfliNodes
00007ff80b3f077a (__TEXT,__text) non-external (was a private external) _BrotliIsMostlyUTF8
00007ff80b3fed41 (__TEXT,__text) non-external (was a private external) _BrotliOptimizeHistograms
00007ff80b3cce05 (__TEXT,__text) non-external (was a private external) _BrotliOptimizeHuffmanCountsForRle
00007ff80b3dd584 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostCommand
00007ff80b3dda88 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostDistance
00007ff80b3dd080 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostLiteral
00007ff80b424650 (__TEXT,__const) non-external _BrotliReverseBits.kLut
00007ff80b3c32a5 (__TEXT,__text) non-external (was a private external) _BrotliSafeReadBits32Slow
00007ff80b3ccb0f (__TEXT,__text) non-external (was a private external) _BrotliSetDepth
00007ff80b3bd8d2 (__TEXT,__text) non-external (was a private external) _BrotliSetDictionaryData
00007ff80b3be4ba (__TEXT,__text) non-external (was a private external) _BrotliSplitBlock
00007ff80b3d8fb4 (__TEXT,__text) non-external (was a private external) _BrotliStoreHuffmanTree
00007ff80b458a08 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kHuffmanBitLengthHuffmanCodeBitLengths
00007ff80b458a02 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kHuffmanBitLengthHuffmanCodeSymbols
00007ff80b4589f0 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kStorageOrder
00007ff80b3d9a11 (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlock
00007ff80b3dc289 (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlockFast
00007ff80b3bd0dc (__TEXT,__text) non-external _BrotliStoreMetaBlockHeader
00007ff80b3fafc6 (__TEXT,__text) non-external _BrotliStoreMetaBlockHeader
00007ff80b3db8d5 (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlockTrivial
00007ff80b3dc68c (__TEXT,__text) non-external (was a private external) _BrotliStoreUncompressedMetaBlock
00007ff80b3d7cf5 (__TEXT,__text) non-external (was a private external) _BrotliTransformDictionaryWord
00007ff80b3c3256 (__TEXT,__text) non-external (was a private external) _BrotliWarmupBitReader
00007ff80b3bd74c (__TEXT,__text) non-external (was a private external) _BrotliWipeOutMemoryManager
00007ff80b3cd1f3 (__TEXT,__text) non-external (was a private external) _BrotliWriteHuffmanTree
00007ff80b3d2a1d (__TEXT,__text) non-external (was a private external) _BrotliZopfliComputeShortestPath
00007ff80b3d2700 (__TEXT,__text) non-external (was a private external) _BrotliZopfliCreateCommands
00007ff80b3da760 (__TEXT,__text) non-external _BuildAndStoreBlockSwitchEntropyCodes
00007ff80b3bd381 (__TEXT,__text) non-external _BuildAndStoreCommandPrefixCode
00007ff80b3dbc08 (__TEXT,__text) non-external _BuildAndStoreHuffmanTree
00007ff80b3bd199 (__TEXT,__text) non-external _BuildAndStoreLiteralPrefixCode
00007ff80b3dbb40 (__TEXT,__text) non-external _BuildHistograms
00007ff80b404410 (__TEXT,__const) non-external _ChooseContextMap.kStaticContextMapContinuation
00007ff80b404510 (__TEXT,__const) non-external _ChooseContextMap.kStaticContextMapSimpleUTF8
00007ff80b3b63c4 (__TEXT,__text) non-external _ChooseDistanceParams
00007ff80b3bd640 (__TEXT,__text) non-external _CollectGarbagePointers
00007ff80b3fdaca (__TEXT,__text) non-external _ComputeDistanceCost
00007ff80b3d448d (__TEXT,__text) non-external _ComputeShortestPathFromNodes
00007ff80b3ff703 (__TEXT,__text) non-external _ContextBlockSplitterFinishBlock
00007ff80b3c5bc4 (__TEXT,__text) non-external _CopyUncompressedBlockToOutput
00007ff80b3e0a68 (__TEXT,__text) non-external _CreateBackwardReferencesNH2
00007ff80b3e1c84 (__TEXT,__text) non-external _CreateBackwardReferencesNH3
00007ff80b3eb06f (__TEXT,__text) non-external _CreateBackwardReferencesNH35
00007ff80b3e2986 (__TEXT,__text) non-external _CreateBackwardReferencesNH4
00007ff80b3e651b (__TEXT,__text) non-external _CreateBackwardReferencesNH40
00007ff80b3e7959 (__TEXT,__text) non-external _CreateBackwardReferencesNH41
00007ff80b3e8dec (__TEXT,__text) non-external _CreateBackwardReferencesNH42
00007ff80b3e3b08 (__TEXT,__text) non-external _CreateBackwardReferencesNH5
00007ff80b3ea37f (__TEXT,__text) non-external _CreateBackwardReferencesNH54
00007ff80b3ec08b (__TEXT,__text) non-external _CreateBackwardReferencesNH55
00007ff80b3e4fa8 (__TEXT,__text) non-external _CreateBackwardReferencesNH6
00007ff80b3ed09a (__TEXT,__text) non-external _CreateBackwardReferencesNH65
00007ff80b404300 (__TEXT,__const) non-external _DecideOverLiteralContextModeling.lut
00007ff80b3c7fe1 (__TEXT,__text) non-external _DecodeCommandBlockSwitch
00007ff80b3c5d52 (__TEXT,__text) non-external _DecodeContextMap
00007ff80b3c8b14 (__TEXT,__text) non-external _DecodeDistanceBlockSwitch
00007ff80b3c8577 (__TEXT,__text) non-external _DecodeLiteralBlockSwitch
00007ff80b3c4906 (__TEXT,__text) non-external _DecodeMetaBlockLength
00007ff80b3c4f11 (__TEXT,__text) non-external _DecodeVarLenUint8
00007ff80b3bd05c (__TEXT,__text) non-external _EmitUncompressedMetaBlock
00007ff80b3dac6b (__TEXT,__text) non-external _EncodeContextMap
00007ff80b3b2654 (__TEXT,__text) non-external _EncodeData
00007ff80b3d42bc (__TEXT,__text) non-external _EvaluateNode
00007ff80b3b673d (__TEXT,__text) non-external _GetBrotliStorage
00007ff80b3b67ab (__TEXT,__text) non-external _GetHashTable
00007ff80b404200 (__TEXT,__const) non-external _InitCommandPrefixCodes.kDefaultCommandBits
00007ff80b47a9b0 (__TEXT,__cstring) non-external _InitCommandPrefixCodes.kDefaultCommandCode
00007ff80b404180 (__TEXT,__const) non-external _InitCommandPrefixCodes.kDefaultCommandDepths
00007ff80b3d3878 (__TEXT,__text) non-external _InitZopfliCostModel
00007ff80b3b253c (__TEXT,__text) non-external _InjectFlushOrPushOutput
00007ff80b3c7bc5 (__TEXT,__text) non-external _InverseMoveToFrontTransform
00007ff80b3ce8de (__TEXT,__text) non-external _LZFSEIBootBufferCopy
00007ff80b3ce892 (__TEXT,__text) non-external _LZFSEIBootBufferPush
00007ff80b3ce7bd (__TEXT,__text) non-external _LZFSEIBootBufferPushN
00007ff80b3b66d9 (__TEXT,__text) non-external _PrepareH54
00007ff80b3b6672 (__TEXT,__text) non-external _PrepareH6
00007ff80b3c62f0 (__TEXT,__text) non-external _ProcessCommands
00007ff80b3c50ee (__TEXT,__text) non-external _ReadHuffmanCode
00007ff80b3c7c7b (__TEXT,__text) non-external _SafeDecodeCommandBlockSwitch
00007ff80b3c879e (__TEXT,__text) non-external _SafeDecodeDistanceBlockSwitch
00007ff80b3c81c0 (__TEXT,__text) non-external _SafeDecodeLiteralBlockSwitch
00007ff80b3c7b2b (__TEXT,__text) non-external _SafeDecodeSymbol
00007ff80b3c6df0 (__TEXT,__text) non-external _SafeProcessCommands
00007ff80b3c47b0 (__TEXT,__text) non-external _SaveErrorCode
00007ff80b3d5a2e (__TEXT,__text) non-external _SetCost
00007ff80b3d7f10 (__TEXT,__text) non-external _Shift
00007ff80b3b640c (__TEXT,__text) non-external _ShouldCompress
00007ff80b404310 (__TEXT,__const) non-external _ShouldUseComplexStaticContextMap.kStaticContextMapComplexUTF8
00007ff80b3bd787 (__TEXT,__text) non-external _SortPointers
00007ff80b4048b0 (__TEXT,__const) non-external _SortPointers.gaps
00007ff80b4597d0 (__TEXT,__const) non-external _StoreCommands.kInsertOffset
00007ff80b4595d0 (__TEXT,__const) non-external _StoreCommands.kNumExtraBits
00007ff80b3da614 (__TEXT,__text) non-external _StoreCompressedMetaBlockHeader
00007ff80b3dbfb6 (__TEXT,__text) non-external _StoreDataWithHuffmanCodes
00007ff80b3db53a (__TEXT,__text) non-external _StoreSymbol
00007ff80b3db6fe (__TEXT,__text) non-external _StoreSymbolWithContext
00007ff80b3daa27 (__TEXT,__text) non-external _StoreTrivialContextMap
00007ff80b3dc81f (__TEXT,__text) non-external _StoreVarLenUint8
00007ff80b3d3a23 (__TEXT,__text) non-external _UpdateNodes
00007ff80b3c79a0 (__TEXT,__text) non-external _WrapRingBuffer
00007ff80b3c47c4 (__TEXT,__text) non-external _WriteRingBuffer
00007ff80b3d38ea (__TEXT,__text) non-external _ZopfliCostModelSetFromLiteralCosts
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00007ff84231adf8 (__DATA,__const) non-external ___block_descriptor_tmp
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00007ff80b3cb0af (__TEXT,__text) non-external ___yzip_jobs_process_block_invoke
00007ff80b4609a0 (__TEXT,__const) non-external (was a private external) __dist_code
00007ff80b458db0 (__TEXT,__const) non-external (was a private external) __kBrotliContextLookupTable
00007ff80b404620 (__TEXT,__const) non-external (was a private external) __kBrotliPrefixCodeRanges
00007ff80b460ba0 (__TEXT,__const) non-external (was a private external) __length_code
00007ff80b3fcf11 (__TEXT,__text) non-external (was a private external) __tr_align
00007ff80b3a730a (__TEXT,__text) non-external (was a private external) __tr_flush_block
00007ff80b3a51ed (__TEXT,__text) non-external (was a private external) __tr_init
00007ff80b3fcdec (__TEXT,__text) non-external (was a private external) __tr_stored_block
00007ff80b3fd13b (__TEXT,__text) non-external (was a private external) __tr_tally
00007ff80b3a509f (__TEXT,__text) non-external (was a private external) _adler32
00007ff80b3c9f4a (__TEXT,__text) non-external (was a private external) _adler32_combine
00007ff80b3ca032 (__TEXT,__text) non-external (was a private external) _adler32_combine64
00007ff80b3c9f54 (__TEXT,__text) non-external _adler32_combine_
00007ff80b3aebd0 (__TEXT,__text) non-external (was a private external) _adler32_vec
00007ff80b3a50a9 (__TEXT,__text) non-external (was a private external) _adler32_z
00007ff80b461390 (__TEXT,__const) non-external _base_dist
00007ff80b461310 (__TEXT,__const) non-external _base_length
00007ff80b3fd0b9 (__TEXT,__text) non-external _bi_flush
00007ff80b3a8e34 (__TEXT,__text) non-external _bi_windup
00007ff80b4612f0 (__TEXT,__const) non-external _bl_order
00007ff80b458ad0 (__TEXT,__const) non-external _breverse.brev8
00007ff80b3fb5d1 (__TEXT,__text) non-external (was a private external) _brotli_decode_buffer
00007ff80b3fb606 (__TEXT,__text) non-external (was a private external) _brotli_encode_buffer
00007ff80b3fb642 (__TEXT,__text) non-external (was a private external) _brotli_stream_decode
00007ff80b3fb681 (__TEXT,__text) non-external (was a private external) _brotli_stream_encode
00007ff80b3fb7ec (__TEXT,__text) non-external (was a private external) _brotli_stream_end
00007ff80b3fb704 (__TEXT,__text) non-external (was a private external) _brotli_stream_init
00007ff80b3fb6e5 (__TEXT,__text) non-external (was a private external) _brotli_stream_process
00007ff80b3a7e3e (__TEXT,__text) non-external _build_tree
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _close (from libSystem)
00007ff80b3a8a3f (__TEXT,__text) non-external _compress_block
00007ff80b3aa845 (__TEXT,__text) external _compression_decode_buffer
00007ff80b3aa767 (__TEXT,__text) external _compression_decode_scratch_buffer_size
00007ff80b3f0a83 (__TEXT,__text) external _compression_encode_buffer
00007ff80b3f097c (__TEXT,__text) external _compression_encode_scratch_buffer_size
00007ff80b3a8fee (__TEXT,__text) external _compression_stream_destroy
00007ff80b3cc286 (__TEXT,__text) external _compression_stream_get_decode_state_size
00007ff80b3cc230 (__TEXT,__text) external _compression_stream_get_encode_state_size
00007ff80b3cc1e8 (__TEXT,__text) external _compression_stream_get_state_size
00007ff80b3cc166 (__TEXT,__text) external _compression_stream_identify_algorithm
00007ff80b3a4ac0 (__TEXT,__text) external _compression_stream_init
00007ff80b3cc11f (__TEXT,__text) external _compression_stream_init_with_state_buffer
00007ff80b3cc2dc (__TEXT,__text) external _compression_stream_is_state_valid
00007ff80b3a58c7 (__TEXT,__text) external _compression_stream_process
00007ff80b3aae8f (__TEXT,__text) external _compression_stream_reinit
00007ff84231b670 (__DATA,__const) non-external _configuration_table
00007ff80b3df02e (__TEXT,__text) external _cosmix_codec_decode
00007ff80b3de68a (__TEXT,__text) external _cosmix_codec_encode
00007ff80b3def4f (__TEXT,__text) external _cosmix_codec_get_decoded_size
00007ff80b3dfb43 (__TEXT,__text) external _cosmix_codec_get_id
00007ff80b3df9b3 (__TEXT,__text) external _cosmix_codec_map
00007ff80b3dfafb (__TEXT,__text) external _cosmix_codec_unmap
00007ff80b3df5d7 (__TEXT,__text) external _cosmix_model_create
00007ff80b3df70e (__TEXT,__text) external _cosmix_model_destroy
00007ff80b3df737 (__TEXT,__text) external _cosmix_model_save_codec
00007ff80b3ddf8c (__TEXT,__text) external _cosmix_model_update
00007ff80b3fb090 (__TEXT,__text) non-external (was a private external) _crc32
00007ff80b3fb34b (__TEXT,__text) non-external (was a private external) _crc32_combine
00007ff80b3fb574 (__TEXT,__text) non-external (was a private external) _crc32_combine64
00007ff80b3fb355 (__TEXT,__text) non-external _crc32_combine_
00007ff80b459830 (__TEXT,__const) non-external _crc_table
00007ff80b3c318a (__TEXT,__text) non-external (was a private external) _create_thread
00007ff80b4038f2 (__TEXT,__text) non-external (was a private external) _debug_verify_offsets
00007ff80b3a5ac0 (__TEXT,__text) non-external (was a private external) _deflate
00007ff80b4030ae (__TEXT,__text) non-external (was a private external) _deflateBound
00007ff80b4031b6 (__TEXT,__text) non-external (was a private external) _deflateCopy
00007ff80b3a8f03 (__TEXT,__text) non-external (was a private external) _deflateEnd
00007ff80b3a4c8c (__TEXT,__text) non-external (was a private external) _deflateInit2_
00007ff80b402dd7 (__TEXT,__text) non-external (was a private external) _deflateInit_
00007ff80b402f87 (__TEXT,__text) non-external (was a private external) _deflateParams
00007ff80b402f5a (__TEXT,__text) non-external (was a private external) _deflatePrime
00007ff80b3a4f4d (__TEXT,__text) non-external (was a private external) _deflateReset
00007ff80b402e01 (__TEXT,__text) non-external (was a private external) _deflateSetDictionary
00007ff80b402f35 (__TEXT,__text) non-external (was a private external) _deflateSetHeader
00007ff80b40307a (__TEXT,__text) non-external (was a private external) _deflateTune
00007ff80b4620d0 (__TEXT,__const) non-external (was a private external) _deflate_copyright
00007ff80b403557 (__TEXT,__text) non-external _deflate_fast
00007ff80b3a69ef (__TEXT,__text) non-external _deflate_slow
00007ff80b403399 (__TEXT,__text) non-external _deflate_stored
                 (undefined) external _dispatch_apply (from libSystem)
00007ff80b3d89aa (__TEXT,__text) non-external _emitMatch
00007ff80b4612a0 (__TEXT,__const) non-external _extra_blbits
00007ff80b461220 (__TEXT,__const) non-external _extra_dbits
00007ff80b4611a0 (__TEXT,__const) non-external _extra_lbits
                 (undefined) external _fclose (from libSystem)
00007ff80b3a6ee0 (__TEXT,__text) non-external _fill_window
00007ff80b3a8ea4 (__TEXT,__text) non-external _flush_pending
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _fwrite (from libSystem)
00007ff80b461f60 (__TEXT,__const) non-external _getDSymbolFromValue.sym
00007ff80b4614e0 (__TEXT,__const) non-external _getLSymbolFromValue.sym
00007ff80b461620 (__TEXT,__const) non-external _getMSymbolFromValue.sym
00007ff80b3fb083 (__TEXT,__text) non-external (was a private external) _get_crc_table
00007ff80b3d2699 (__TEXT,__text) non-external (was a private external) _get_default_nthreads
00007ff80b3ca03c (__TEXT,__text) non-external (was a private external) _get_max_payload_size
00007ff80b3ca054 (__TEXT,__text) non-external (was a private external) _get_plane_max_rice_size
00007ff80b3ca068 (__TEXT,__text) non-external (was a private external) _get_pool_size
00007ff80b3d2665 (__TEXT,__text) non-external (was a private external) _get_real_time
                 (undefined) external _gettimeofday (from libSystem)
00007ff80b3ceaf4 (__TEXT,__text) non-external _header_fetch_from_payload
00007ff80b3fcd64 (__TEXT,__text) non-external _init_quantization_lut
00007ff80b3c3224 (__TEXT,__text) non-external (was a private external) _join_thread
00007ff80b4229c0 (__TEXT,__const) non-external (was a private external) _kBrotliBitMask
00007ff80b404030 (__TEXT,__const) non-external (was a private external) _kBrotliCopyBase
00007ff80b404090 (__TEXT,__const) non-external (was a private external) _kBrotliCopyExtra
00007ff84231ac30 (__DATA,__const) non-external _kBrotliDictionary
00007ff80b4048d0 (__TEXT,__const) non-external _kBrotliDictionaryData
00007ff80b403f70 (__TEXT,__const) non-external (was a private external) _kBrotliInsBase
00007ff80b403fd0 (__TEXT,__const) non-external (was a private external) _kBrotliInsExtra
00007ff80b462120 (__TEXT,__const) non-external (was a private external) _kBrotliLog2Table
00007ff80b424620 (__TEXT,__const) non-external (was a private external) _kBrotliShellGaps
00007ff84231b620 (__DATA,__const) non-external _kBrotliTransforms
00007ff80b4046b0 (__TEXT,__const) non-external _kCmdHistoSeed
00007ff80b422b60 (__TEXT,__const) non-external _kCmdLut
00007ff80b455fa0 (__TEXT,__const) non-external _kCodeLengthBits
00007ff80b422b20 (__TEXT,__const) non-external _kCodeLengthCodeOrder
00007ff80b455f80 (__TEXT,__const) non-external _kCodeLengthDepth
00007ff80b422b40 (__TEXT,__const) non-external _kCodeLengthPrefixLength
00007ff80b422b50 (__TEXT,__const) non-external _kCodeLengthPrefixValue
00007ff80b424490 (__TEXT,__const) non-external (was a private external) _kDSymbolVBase
00007ff80b424450 (__TEXT,__const) non-external (was a private external) _kDSymbolVBits
00007ff80b4249e0 (__TEXT,__const) non-external _kDistanceCacheIndex
00007ff80b424a20 (__TEXT,__const) non-external _kDistanceCacheOffset
00007ff80b424390 (__TEXT,__const) non-external (was a private external) _kLSymbolVBase
00007ff80b424370 (__TEXT,__const) non-external (was a private external) _kLSymbolVBits
00007ff80b424400 (__TEXT,__const) non-external (was a private external) _kMSymbolVBase
00007ff80b4243e0 (__TEXT,__const) non-external (was a private external) _kMSymbolVBits
00007ff80b456af0 (__TEXT,__const) non-external _kNonZeroRepsBits
00007ff80b455ff0 (__TEXT,__const) non-external _kNonZeroRepsDepth
00007ff80b453ae0 (__TEXT,__const) non-external _kPrefixSuffix
00007ff80b453bc0 (__TEXT,__const) non-external _kPrefixSuffixMap
00007ff80b403c40 (__TEXT,__const) non-external _kReverseBits
00007ff80b4583b0 (__TEXT,__const) non-external _kStaticCommandCodeBits
00007ff80b4580f0 (__TEXT,__const) non-external _kStaticCommandCodeDepth
00007ff80b424b70 (__TEXT,__const) non-external _kStaticDictionaryBuckets
00007ff80b472930 (__TEXT,__const) non-external (was a private external) _kStaticDictionaryHashLengths
00007ff80b462930 (__TEXT,__const) non-external (was a private external) _kStaticDictionaryHashWords
00007ff80b434b70 (__TEXT,__const) non-external _kStaticDictionaryWords
00007ff80b458970 (__TEXT,__const) non-external _kStaticDistanceCodeBits
00007ff80b458930 (__TEXT,__const) non-external _kStaticDistanceCodeDepth
00007ff80b453c30 (__TEXT,__const) non-external _kTransformsData
00007ff80b454980 (__TEXT,__const) non-external _kZeroRepsBits
