0000000228292008 (__TEXT,__text) non-external _DiToMD5
0000000228292fa8 (__TEXT,__text) external _SHA256_Update
00000002282930dc (__TEXT,__text) external _SHA384_Final
000000022829303c (__TEXT,__text) external _SHA384_Init
00000002282a6ad4 (__TEXT,__text) non-external _SHA384_Init.cold.1
000000022829308c (__TEXT,__text) external _SHA384_Update
00000002282931c0 (__TEXT,__text) external _SHA512_Final
0000000228293120 (__TEXT,__text) external _SHA512_Init
00000002282a6afc (__TEXT,__text) non-external _SHA512_Init.cold.1
0000000228293170 (__TEXT,__text) external _SHA512_Update
                 (undefined) external __Block_copy (from libSystem)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __Block_release (from libSystem)
0000000228273518 (__TEXT,__text) non-external __GLOBAL__sub_I_IOLib.cpp
0000000228293204 (__TEXT,__text) non-external __GLOBAL__sub_I_ObjectIntrospection.mm
000000029a8fb1a8 (__AUTH_CONST,__const) external __IOBlockStorageDevice_Class
0000000294733110 (__DATA,__bss) non-external __MergedGlobals
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __NSGetExecutablePath (from libSystem)
0000000228273880 (__TEXT,__text) non-external (was a private external) __Z11OSFindClassP18IOUserServer_IVarsPKc
00000002282a41cc (__TEXT,__text) non-external __Z11OSFindClassP18IOUserServer_IVarsPKc.cold.1
000000022827565c (__TEXT,__text) non-external (was a private external) __Z11ThreadStartPFPvS_ES_
00000002282a4978 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.1
00000002282a4998 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.2
00000002282a49b8 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.3
00000002282a49d8 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.4
00000002282a49f8 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.5
0000000228274440 (__TEXT,__text) non-external (was a private external) __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC
00000002282a4590 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.1
00000002282a45b8 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.2
00000002282a45e4 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.3
00000002282a4610 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.4
0000000228273ba8 (__TEXT,__text) non-external (was a private external) __Z12OSObjectFreeP15OSMetaClassBase
00000002282a4270 (__TEXT,__text) non-external __Z12OSObjectFreeP15OSMetaClassBase.cold.1
0000000228281240 (__TEXT,__text) non-external (was a private external) __Z15OSArrayGetEntryP7OSArraym
0000000228284324 (__TEXT,__text) non-external (was a private external) __Z15OSBooleanCreatev
00000002282736e4 (__TEXT,__text) non-external (was a private external) __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass
00000002282a414c (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.1
00000002282a4174 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.2
00000002282a41a0 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.3
00000002282813ac (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetStringP7OSArraym
0000000228281454 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetUInt64P7OSArraym
00000002282813d8 (__TEXT,__text) non-external (was a private external) __Z16OSArraySetStringP7OSArraymPKc
00000002282738f4 (__TEXT,__text) external __Z16OSObjectAllocateP11OSMetaClassPP8OSObject
0000000228281850 (__TEXT,__text) non-external (was a private external) __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry
00000002282a60f8 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.1
00000002282a6124 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.2
00000002282a6150 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.3
00000002282a617c (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.4
00000002282a61a8 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.5
00000002282a61d4 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.6
0000000228271af8 (__TEXT,__text) external __Z16OSUnserializeXMLPKcPP8OSString
0000000228271c34 (__TEXT,__text) external __Z16OSUnserializeXMLPKcmPP8OSString
0000000228273ecc (__TEXT,__text) external __Z17OSObjectTryRetainP8OSObject
00000002282a42c8 (__TEXT,__text) non-external __Z17OSObjectTryRetainP8OSObject.cold.1
0000000228274038 (__TEXT,__text) non-external (was a private external) __Z17SearchMethodArrayyPKyjPy
0000000228275a90 (__TEXT,__text) non-external (was a private external) __Z18OSLoadBundleByPathP18IOUserServer_IVarsPKc
0000000228273650 (__TEXT,__text) non-external (was a private external) __Z18OSStringArrayIndexP10IOPStringsPKc
0000000228273590 (__TEXT,__text) non-external (was a private external) __Z19OSCopyInStringArrayPKcj
0000000228282068 (__TEXT,__text) non-external (was a private external) __Z19OSObjectLogInternalP8OSObjectj
00000002282a6284 (__TEXT,__text) non-external __Z19OSObjectLogInternalP8OSObjectj.cold.1
0000000228273ab8 (__TEXT,__text) non-external (was a private external) __Z20OSObjectPortFinalizeP15OSMetaClassBase
00000002282a4220 (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.1
00000002282a4248 (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.2
000000022827ed84 (__TEXT,__text) non-external (was a private external) __Z20OSSerializationValueP15OSSerializationj
00000002282a5bf0 (__TEXT,__text) non-external __Z20OSSerializationValueP15OSSerializationj.cold.1
000000022827ecfc (__TEXT,__text) non-external (was a private external) __Z21OSSerializationTypeIDj
00000002282a5ba0 (__TEXT,__text) non-external __Z21OSSerializationTypeIDj.cold.1
0000000228270a84 (__TEXT,__text) non-external (was a private external) __Z21OSUnserializeXMLparsePv
000000022827fe6c (__TEXT,__text) non-external (was a private external) __Z23OSSerializationGetBytesPKjPvmm
00000002282814f8 (__TEXT,__text) non-external (was a private external) __Z26OSSerializationAppendBytesP15OSSerializationPKvm
00000002282a5e9c (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.1
00000002282a5ec4 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.2
00000002282a5ef0 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.3
00000002282a5f1c (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.4
00000002282a5f48 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.5
000000022827fe34 (__TEXT,__text) non-external (was a private external) __Z26OSSerializationGetBytesPtrPKjmm
0000000228280100 (__TEXT,__text) non-external (was a private external) __Z29OSSerializationGetUInt64ValuePKj
000000022828163c (__TEXT,__text) non-external (was a private external) __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry
00000002282a5f70 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.1
00000002282a5f9c (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.2
00000002282a5fc8 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.3
0000000228275a40 (__TEXT,__text) non-external (was a private external) __Z7astrcpyPKc
0000000228274ee8 (__TEXT,__text) non-external __ZL10IORPCAsyncPv
00000002282a2918 (__TEXT,__text) non-external __ZL10OSData_NewP11OSMetaClass
00000002282719d0 (__TEXT,__text) non-external __ZL10buildArrayP12parser_stateP6object
0000000228272d60 (__TEXT,__text) non-external __ZL10getHexDataP12parser_statePj
00000002282a406c (__TEXT,__text) non-external __ZL10getHexDataP12parser_statePj.cold.1
000000022827e678 (__TEXT,__text) non-external __ZL10uiomessagePv
00000002282a2728 (__TEXT,__text) non-external __ZL11OSArray_NewP11OSMetaClass
0000000228283528 (__TEXT,__text) non-external __ZL11OSSetCreatev
00000002282a7740 (__TEXT,__const) non-external __ZL11yytranslate
00000002282a3dbc (__TEXT,__text) non-external __ZL12IOThread_NewP11OSMetaClass
00000002282a2034 (__TEXT,__text) non-external __ZL12OSAction_NewP11OSMetaClass
00000002282a2818 (__TEXT,__text) non-external __ZL12OSBundle_NewP11OSMetaClass
00000002282a2a70 (__TEXT,__text) non-external __ZL12OSNumber_NewP11OSMetaClass
00000002282a2ad8 (__TEXT,__text) non-external __ZL12OSObject_NewP11OSMetaClass
000000022827fbec (__TEXT,__text) non-external __ZL12OSStringFindjU13block_pointerFbP8OSStringE
000000022827fb9c (__TEXT,__text) non-external __ZL12OSStringHashPKcm
00000002282a5d2c (__TEXT,__text) non-external __ZL12OSStringHashPKcm.cold.1
00000002282a3294 (__TEXT,__text) non-external __ZL12OSString_NewP11OSMetaClass
00000002282937ac (__TEXT,__text) non-external __ZL13IOCommand_NewP11OSMetaClass
00000002282992a0 (__TEXT,__text) non-external __ZL13IOService_NewP11OSMetaClass
000000022827d020 (__TEXT,__text) non-external __ZL13IOThreadStartPv
00000002282a589c (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.1
00000002282a58c8 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.2
00000002282a58f4 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.3
00000002282a27b0 (__TEXT,__text) non-external __ZL13OSBoolean_NewP11OSMetaClass
0000000228299098 (__TEXT,__text) non-external __ZL14IOReporter_NewP11OSMetaClass
00000002282771fc (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si
00000002282a51bc (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.1
00000002282a51e8 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.2
00000002282a5210 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.3
00000002282a523c (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.4
0000000228296284 (__TEXT,__text) non-external __ZL15IOEventLink_NewP11OSMetaClass
0000000228298d78 (__TEXT,__text) non-external __ZL15IOMemoryMap_NewP11OSMetaClass
00000002282a193c (__TEXT,__text) non-external __ZL15IOWorkGroup_NewP11OSMetaClass
00000002282a28b0 (__TEXT,__text) non-external __ZL15OSContainer_NewP11OSMetaClass
0000000228275890 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb
00000002282a4b48 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.1
00000002282a4b74 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.2
00000002282a4ba0 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.3
00000002282a4bcc (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.4
00000002282766f0 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc
00000002282a4f58 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.1
00000002282a4f98 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.2
00000002282a4fc0 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.3
00000002282a4fe8 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.4
000000022827e094 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject
00000002282a59d0 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.1
00000002282a59f8 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.2
00000002282a5a24 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.3
00000002282a5a4c (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.4
