000000018b144510 (__TEXT,__text) non-external _Annihilate
000000018b1497d8 (__TEXT,__text) non-external (was a private external) _BrotliDecoderSetParameter
000000018b14fd10 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateCleanup
000000018b14fc90 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateCleanupAfterMetablock
000000018b14fb5c (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateInit
000000018b14fc44 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateMetablockBegin
000000018b14d9fc (__TEXT,__text) non-external (was a private external) _BrotliDecoderTakeOutput
000000018b14db44 (__TEXT,__text) non-external (was a private external) _BrotliDecoderVersion
000000018b14955c (__TEXT,__text) non-external (was a private external) _BrotliDefaultAllocFunc
000000018b149564 (__TEXT,__text) non-external (was a private external) _BrotliDefaultFreeFunc
000000018b145538 (__TEXT,__text) non-external (was a private external) _BrotliDestroyBlockSplit
000000018b1387e4 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCompress
000000018b13a3d0 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCompressStream
000000018b1385bc (__TEXT,__text) non-external (was a private external) _BrotliEncoderCreateInstance
000000018b1386d4 (__TEXT,__text) non-external (was a private external) _BrotliEncoderDestroyInstance
000000018b13e20c (__TEXT,__text) non-external (was a private external) _BrotliEncoderHasMoreOutput
000000018b13b194 (__TEXT,__text) non-external (was a private external) _BrotliEncoderIsFinished
000000018b1387bc (__TEXT,__text) non-external (was a private external) _BrotliEncoderMaxCompressedSize
000000018b1384d8 (__TEXT,__text) non-external (was a private external) _BrotliEncoderSetParameter
000000018b13e21c (__TEXT,__text) non-external (was a private external) _BrotliEncoderTakeOutput
000000018b13e284 (__TEXT,__text) non-external (was a private external) _BrotliEncoderVersion
000000018b14c398 (__TEXT,__text) non-external _BrotliEnsureRingBuffer
000000018b15257c (__TEXT,__text) non-external (was a private external) _BrotliEstimateBitCostsForLiterals
000000018b1709c4 (__TEXT,__text) non-external (was a private external) _BrotliFindAllStaticDictionaryMatches
000000018b1443d0 (__TEXT,__text) non-external (was a private external) _BrotliFree
000000018b1449c4 (__TEXT,__text) non-external (was a private external) _BrotliGetDictionary
000000018b15c8d0 (__TEXT,__text) non-external (was a private external) _BrotliGetTransforms
000000018b15638c (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceCommand
000000018b156f5c (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceDistance
000000018b1557bc (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceLiteral
000000018b1560bc (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineCommand
000000018b156c8c (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineDistance
000000018b1554ec (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineLiteral
000000018b156590 (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexCommand
000000018b157160 (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexDistance
000000018b1559c0 (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexLiteral
000000018b156420 (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapCommand
000000018b156ff0 (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapDistance
000000018b155850 (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapLiteral
000000018b14963c (__TEXT,__text) non-external (was a private external) _BrotliInitBitReader
000000018b145528 (__TEXT,__text) non-external (was a private external) _BrotliInitBlockSplit
000000018b17e2cc (__TEXT,__text) non-external (was a private external) _BrotliInitDistanceParams
000000018b15c85c (__TEXT,__text) non-external (was a private external) _BrotliInitEncoderDictionary
000000018b144240 (__TEXT,__text) non-external (was a private external) _BrotliInitMemoryManager
000000018b157e30 (__TEXT,__text) non-external (was a private external) _BrotliInitZopfliNodes
000000018b172974 (__TEXT,__text) non-external (was a private external) _BrotliIsMostlyUTF8
000000018b17fabc (__TEXT,__text) non-external (was a private external) _BrotliOptimizeHistograms
000000018b152fa4 (__TEXT,__text) non-external (was a private external) _BrotliOptimizeHuffmanCountsForRle
000000018b1618d0 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostCommand
000000018b161cf4 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostDistance
000000018b1614ac (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostLiteral
000000018b1a43f8 (__TEXT,__const) non-external _BrotliReverseBits.kLut
000000018b14969c (__TEXT,__text) non-external (was a private external) _BrotliSafeReadBits32Slow
000000018b152c2c (__TEXT,__text) non-external (was a private external) _BrotliSetDepth
000000018b1449d0 (__TEXT,__text) non-external (was a private external) _BrotliSetDictionaryData
000000018b145578 (__TEXT,__text) non-external (was a private external) _BrotliSplitBlock
000000018b15daa8 (__TEXT,__text) non-external (was a private external) _BrotliStoreHuffmanTree
000000018b1d8538 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kHuffmanBitLengthHuffmanCodeBitLengths
000000018b1d8532 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kHuffmanBitLengthHuffmanCodeSymbols
000000018b1d8520 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kStorageOrder
000000018b15e4a8 (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlock
000000018b1606c8 (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlockFast
000000018b143de4 (__TEXT,__text) non-external _BrotliStoreMetaBlockHeader
000000018b17bfe0 (__TEXT,__text) non-external _BrotliStoreMetaBlockHeader
000000018b15fd2c (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlockTrivial
000000018b160a8c (__TEXT,__text) non-external (was a private external) _BrotliStoreUncompressedMetaBlock
000000018b15c8dc (__TEXT,__text) non-external (was a private external) _BrotliTransformDictionaryWord
000000018b14964c (__TEXT,__text) non-external (was a private external) _BrotliWarmupBitReader
000000018b14442c (__TEXT,__text) non-external (was a private external) _BrotliWipeOutMemoryManager
000000018b1532d8 (__TEXT,__text) non-external (was a private external) _BrotliWriteHuffmanTree
000000018b158164 (__TEXT,__text) non-external (was a private external) _BrotliZopfliComputeShortestPath
000000018b157e5c (__TEXT,__text) non-external (was a private external) _BrotliZopfliCreateCommands
000000018b15f0a0 (__TEXT,__text) non-external _BuildAndStoreBlockSwitchEntropyCodes
000000018b144084 (__TEXT,__text) non-external _BuildAndStoreCommandPrefixCode
000000018b16002c (__TEXT,__text) non-external _BuildAndStoreHuffmanTree
000000018b143e8c (__TEXT,__text) non-external _BuildAndStoreLiteralPrefixCode
000000018b15ff88 (__TEXT,__text) non-external _BuildHistograms
000000018b184290 (__TEXT,__const) non-external _ChooseContextMap.kStaticContextMapContinuation
000000018b184390 (__TEXT,__const) non-external _ChooseContextMap.kStaticContextMapSimpleUTF8
000000018b13e290 (__TEXT,__text) non-external _ChooseDistanceParams
000000018b1442ec (__TEXT,__text) non-external _CollectGarbagePointers
000000018b17ea94 (__TEXT,__text) non-external _ComputeDistanceCost
000000018b1596cc (__TEXT,__text) non-external _ComputeShortestPathFromNodes
000000018b180208 (__TEXT,__text) non-external _ContextBlockSplitterFinishBlock
000000018b14bd90 (__TEXT,__text) non-external _CopyUncompressedBlockToOutput
000000018b164b40 (__TEXT,__text) non-external _CreateBackwardReferencesNH2
000000018b165984 (__TEXT,__text) non-external _CreateBackwardReferencesNH3
000000018b16d784 (__TEXT,__text) non-external _CreateBackwardReferencesNH35
000000018b1664d4 (__TEXT,__text) non-external _CreateBackwardReferencesNH4
000000018b16973c (__TEXT,__text) non-external _CreateBackwardReferencesNH40
000000018b16a8b0 (__TEXT,__text) non-external _CreateBackwardReferencesNH41
000000018b16ba24 (__TEXT,__text) non-external _CreateBackwardReferencesNH42
000000018b16746c (__TEXT,__text) non-external _CreateBackwardReferencesNH5
000000018b16cc10 (__TEXT,__text) non-external _CreateBackwardReferencesNH54
000000018b16e5fc (__TEXT,__text) non-external _CreateBackwardReferencesNH55
000000018b168598 (__TEXT,__text) non-external _CreateBackwardReferencesNH6
000000018b16f4a0 (__TEXT,__text) non-external _CreateBackwardReferencesNH65
000000018b184180 (__TEXT,__const) non-external _DecideOverLiteralContextModeling.lut
000000018b14dff8 (__TEXT,__text) non-external _DecodeCommandBlockSwitch
000000018b14bf3c (__TEXT,__text) non-external _DecodeContextMap
000000018b14ea6c (__TEXT,__text) non-external _DecodeDistanceBlockSwitch
000000018b14e52c (__TEXT,__text) non-external _DecodeLiteralBlockSwitch
000000018b14ac40 (__TEXT,__text) non-external _DecodeMetaBlockLength
000000018b14b1ec (__TEXT,__text) non-external _DecodeVarLenUint8
000000018b143d48 (__TEXT,__text) non-external _EmitUncompressedMetaBlock
000000018b15f544 (__TEXT,__text) non-external _EncodeContextMap
000000018b13b2f0 (__TEXT,__text) non-external _EncodeData
000000018b159520 (__TEXT,__text) non-external _EvaluateNode
000000018b1a4478 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
000000018b1e1918 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
000000018b13e5d0 (__TEXT,__text) non-external _GetBrotliStorage
000000018b13e644 (__TEXT,__text) non-external _GetHashTable
000000018b184080 (__TEXT,__const) non-external _InitCommandPrefixCodes.kDefaultCommandBits
000000018b1fa439 (__TEXT,__cstring) non-external _InitCommandPrefixCodes.kDefaultCommandCode
000000018b184000 (__TEXT,__const) non-external _InitCommandPrefixCodes.kDefaultCommandDepths
000000018b158c30 (__TEXT,__text) non-external _InitZopfliCostModel
000000018b13b1b8 (__TEXT,__text) non-external _InjectFlushOrPushOutput
000000018b14dc10 (__TEXT,__text) non-external _InverseMoveToFrontTransform
000000018b154944 (__TEXT,__text) non-external _LZFSEIBootBufferCopy
000000018b1548f4 (__TEXT,__text) non-external _LZFSEIBootBufferPush
000000018b154804 (__TEXT,__text) non-external _LZFSEIBootBufferPushN
000000018b13e554 (__TEXT,__text) non-external _PrepareH54
000000018b13e4e0 (__TEXT,__text) non-external _PrepareH6
000000018b14c444 (__TEXT,__text) non-external _ProcessCommands
000000018b14b3b8 (__TEXT,__text) non-external _ReadHuffmanCode
000000018b14dcd0 (__TEXT,__text) non-external _SafeDecodeCommandBlockSwitch
000000018b14e730 (__TEXT,__text) non-external _SafeDecodeDistanceBlockSwitch
000000018b14e1bc (__TEXT,__text) non-external _SafeDecodeLiteralBlockSwitch
000000018b14db50 (__TEXT,__text) non-external _SafeDecodeSymbol
000000018b14ce64 (__TEXT,__text) non-external _SafeProcessCommands
000000018b14aae0 (__TEXT,__text) non-external _SaveErrorCode
000000018b15a89c (__TEXT,__text) non-external _SetCost
000000018b15cb80 (__TEXT,__text) non-external _Shift
000000018b13e2e8 (__TEXT,__text) non-external _ShouldCompress
000000018b184190 (__TEXT,__const) non-external _ShouldUseComplexStaticContextMap.kStaticContextMapComplexUTF8
000000018b144488 (__TEXT,__text) non-external _SortPointers
000000018b184708 (__TEXT,__const) non-external _SortPointers.gaps
000000018b1d9248 (__TEXT,__const) non-external _StoreCommands.kInsertOffset
000000018b1d9048 (__TEXT,__const) non-external _StoreCommands.kNumExtraBits
000000018b15ef68 (__TEXT,__text) non-external _StoreCompressedMetaBlockHeader
000000018b160434 (__TEXT,__text) non-external _StoreDataWithHuffmanCodes
000000018b15f9ec (__TEXT,__text) non-external _StoreSymbol
000000018b15fb88 (__TEXT,__text) non-external _StoreSymbolWithContext
000000018b15f330 (__TEXT,__text) non-external _StoreTrivialContextMap
000000018b160c1c (__TEXT,__text) non-external _StoreVarLenUint8
000000018b158dc8 (__TEXT,__text) non-external _UpdateNodes
000000018b14d980 (__TEXT,__text) non-external _WrapRingBuffer
000000018b14aaf4 (__TEXT,__text) non-external _WriteRingBuffer
000000018b158cac (__TEXT,__text) non-external _ZopfliCostModelSetFromLiteralCosts
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00000001d20257c0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
000000018b150f08 (__TEXT,__text) non-external ___yzip_jobs_process_block_invoke
000000018b1e0308 (__TEXT,__const) non-external (was a private external) __dist_code
000000018b1d8838 (__TEXT,__const) non-external (was a private external) __kBrotliContextLookupTable
000000018b1844a0 (__TEXT,__const) non-external (was a private external) __kBrotliPrefixCodeRanges
000000018b1e0508 (__TEXT,__const) non-external (was a private external) __length_code
000000018b17dfb8 (__TEXT,__text) non-external (was a private external) __tr_align
000000018b131f18 (__TEXT,__text) non-external (was a private external) __tr_flush_block
000000018b1304b8 (__TEXT,__text) non-external (was a private external) __tr_init
000000018b17de70 (__TEXT,__text) non-external (was a private external) __tr_stored_block
000000018b17e22c (__TEXT,__text) non-external (was a private external) __tr_tally
000000018b130374 (__TEXT,__text) non-external (was a private external) _adler32
000000018b14fdc4 (__TEXT,__text) non-external (was a private external) _adler32_combine
000000018b14fe8c (__TEXT,__text) non-external (was a private external) _adler32_combine64
000000018b14fdc8 (__TEXT,__text) non-external _adler32_combine_
000000018b183950 (__TEXT,__text) non-external (was a private external) _adler32_vec
000000018b130378 (__TEXT,__text) non-external (was a private external) _adler32_z
000000018b1e0cc0 (__TEXT,__const) non-external _base_dist
000000018b1e0c4c (__TEXT,__const) non-external _base_length
000000018b17e19c (__TEXT,__text) non-external _bi_flush
000000018b1333dc (__TEXT,__text) non-external _bi_windup
000000018b1e0c38 (__TEXT,__const) non-external _bl_order
000000018b1d85d8 (__TEXT,__const) non-external _breverse.brev8
000000018b17c5f8 (__TEXT,__text) non-external (was a private external) _brotli_decode_buffer
000000018b17c640 (__TEXT,__text) non-external (was a private external) _brotli_encode_buffer
000000018b17c68c (__TEXT,__text) non-external (was a private external) _brotli_stream_decode
000000018b17c6e0 (__TEXT,__text) non-external (was a private external) _brotli_stream_encode
000000018b17c85c (__TEXT,__text) non-external (was a private external) _brotli_stream_end
000000018b17c77c (__TEXT,__text) non-external (was a private external) _brotli_stream_init
000000018b17c758 (__TEXT,__text) non-external (was a private external) _brotli_stream_process
000000018b132474 (__TEXT,__text) non-external _build_tree
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _close (from libSystem)
000000018b13301c (__TEXT,__text) non-external _compress_block
000000018b134c60 (__TEXT,__text) external _compression_decode_buffer
000000018b134b98 (__TEXT,__text) external _compression_decode_scratch_buffer_size
000000018b172bd8 (__TEXT,__text) external _compression_encode_buffer
000000018b172ae0 (__TEXT,__text) external _compression_encode_scratch_buffer_size
000000018b1335d4 (__TEXT,__text) external _compression_stream_destroy
000000018b152464 (__TEXT,__text) external _compression_stream_get_decode_state_size
000000018b152414 (__TEXT,__text) external _compression_stream_get_encode_state_size
000000018b1523c4 (__TEXT,__text) external _compression_stream_get_state_size
000000018b152330 (__TEXT,__text) external _compression_stream_identify_algorithm
000000018b12fdc0 (__TEXT,__text) external _compression_stream_init
000000018b1522f8 (__TEXT,__text) external _compression_stream_init_with_state_buffer
000000018b1524b4 (__TEXT,__text) external _compression_stream_is_state_valid
000000018b130508 (__TEXT,__text) external _compression_stream_process
000000018b135500 (__TEXT,__text) external _compression_stream_reinit
00000001dab8b2c8 (__AUTH_CONST,__const) non-external _configuration_table
000000018b1630e8 (__TEXT,__text) external _cosmix_codec_decode
000000018b1627e0 (__TEXT,__text) external _cosmix_codec_encode
000000018b163000 (__TEXT,__text) external _cosmix_codec_get_decoded_size
000000018b163b90 (__TEXT,__text) external _cosmix_codec_get_id
000000018b1639dc (__TEXT,__text) external _cosmix_codec_map
000000018b163b30 (__TEXT,__text) external _cosmix_codec_unmap
000000018b1635d0 (__TEXT,__text) external _cosmix_model_create
000000018b163728 (__TEXT,__text) external _cosmix_model_destroy
000000018b163770 (__TEXT,__text) external _cosmix_model_save_codec
000000018b162118 (__TEXT,__text) external _cosmix_model_update
000000018b17c094 (__TEXT,__text) non-external (was a private external) _crc32
000000018b17c324 (__TEXT,__text) non-external (was a private external) _crc32_combine
000000018b17c584 (__TEXT,__text) non-external (was a private external) _crc32_combine64
000000018b17c328 (__TEXT,__text) non-external _crc32_combine_
000000018b1d92a8 (__TEXT,__const) non-external _crc_table
000000018b14956c (__TEXT,__text) non-external (was a private external) _create_thread
000000018b183b00 (__TEXT,__text) non-external (was a private external) _debug_verify_offsets
000000018b130748 (__TEXT,__text) non-external (was a private external) _deflate
000000018b1831a4 (__TEXT,__text) non-external (was a private external) _deflateBound
000000018b1832a0 (__TEXT,__text) non-external (was a private external) _deflateCopy
000000018b1334e4 (__TEXT,__text) non-external (was a private external) _deflateEnd
000000018b12ff84 (__TEXT,__text) non-external (was a private external) _deflateInit2_
000000018b182f00 (__TEXT,__text) non-external (was a private external) _deflateInit_
000000018b1830a0 (__TEXT,__text) non-external (was a private external) _deflateParams
000000018b183070 (__TEXT,__text) non-external (was a private external) _deflatePrime
000000018b130244 (__TEXT,__text) non-external (was a private external) _deflateReset
000000018b182f1c (__TEXT,__text) non-external (was a private external) _deflateSetDictionary
000000018b183044 (__TEXT,__text) non-external (was a private external) _deflateSetHeader
000000018b183180 (__TEXT,__text) non-external (was a private external) _deflateTune
000000018b1e1b68 (__TEXT,__const) non-external (was a private external) _deflate_copyright
000000018b183604 (__TEXT,__text) non-external _deflate_fast
000000018b131664 (__TEXT,__text) non-external _deflate_slow
000000018b18345c (__TEXT,__text) non-external _deflate_stored
                 (undefined) external _dispatch_apply (from libSystem)
000000018b15d4bc (__TEXT,__text) non-external _emitMatch
000000018b1e0bec (__TEXT,__const) non-external _extra_blbits
000000018b1e0b74 (__TEXT,__const) non-external _extra_dbits
000000018b1e0b00 (__TEXT,__const) non-external _extra_lbits
                 (undefined) external _fclose (from libSystem)
000000018b131ac0 (__TEXT,__text) non-external _fill_window
000000018b133450 (__TEXT,__text) non-external _flush_pending
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _fwrite (from libSystem)
000000018b1e1814 (__TEXT,__const) non-external _getDSymbolFromValue.sym
000000018b1e0da0 (__TEXT,__const) non-external _getLSymbolFromValue.sym
000000018b1e0edc (__TEXT,__const) non-external _getMSymbolFromValue.sym
000000018b17c088 (__TEXT,__text) non-external (was a private external) _get_crc_table
000000018b157de0 (__TEXT,__text) non-external (was a private external) _get_default_nthreads
000000018b14fe90 (__TEXT,__text) non-external (was a private external) _get_max_payload_size
000000018b14fea8 (__TEXT,__text) non-external (was a private external) _get_plane_max_rice_size
000000018b14febc (__TEXT,__text) non-external (was a private external) _get_pool_size
000000018b157d94 (__TEXT,__text) non-external (was a private external) _get_real_time
                 (undefined) external _gettimeofday (from libSystem)
000000018b154bd0 (__TEXT,__text) non-external _header_fetch_from_payload
000000018b17dd38 (__TEXT,__text) non-external _init_block
000000018b17dc80 (__TEXT,__text) non-external _init_quantization_lut
000000018b149614 (__TEXT,__text) non-external (was a private external) _join_thread
000000018b1a2710 (__TEXT,__const) non-external (was a private external) _kBrotliBitMask
000000018b183ed0 (__TEXT,__const) non-external (was a private external) _kBrotliCopyBase
000000018b183f30 (__TEXT,__const) non-external (was a private external) _kBrotliCopyExtra
00000001d20255f8 (__DATA_CONST,__const) non-external _kBrotliDictionary
000000018b184728 (__TEXT,__const) non-external _kBrotliDictionaryData
000000018b183e10 (__TEXT,__const) non-external (was a private external) _kBrotliInsBase
000000018b183e70 (__TEXT,__const) non-external (was a private external) _kBrotliInsExtra
000000018b1e1bb0 (__TEXT,__const) non-external (was a private external) _kBrotliLog2Table
000000018b1a43c8 (__TEXT,__const) non-external (was a private external) _kBrotliShellGaps
00000001d20257e0 (__DATA_CONST,__const) non-external _kBrotliTransforms
000000018b184508 (__TEXT,__const) non-external _kCmdHistoSeed
000000018b1a2812 (__TEXT,__const) non-external _kCmdLut
000000018b1d5ad4 (__TEXT,__const) non-external _kCodeLengthBits
000000018b1a27e0 (__TEXT,__const) non-external _kCodeLengthCodeOrder
000000018b1d5ac0 (__TEXT,__const) non-external _kCodeLengthDepth
000000018b1a27f2 (__TEXT,__const) non-external _kCodeLengthPrefixLength
000000018b1a2802 (__TEXT,__const) non-external _kCodeLengthPrefixValue
000000018b1a4288 (__TEXT,__const) non-external (was a private external) _kDSymbolVBase
000000018b1a4248 (__TEXT,__const) non-external (was a private external) _kDSymbolVBits
000000018b1a46a4 (__TEXT,__const) non-external _kDistanceCacheIndex
000000018b1a46e4 (__TEXT,__const) non-external _kDistanceCacheOffset
000000018b1a4194 (__TEXT,__const) non-external (was a private external) _kLSymbolVBase
000000018b1a4180 (__TEXT,__const) non-external (was a private external) _kLSymbolVBits
000000018b1a41f8 (__TEXT,__const) non-external (was a private external) _kMSymbolVBase
000000018b1a41e4 (__TEXT,__const) non-external (was a private external) _kMSymbolVBits
000000018b1d6620 (__TEXT,__const) non-external _kNonZeroRepsBits
000000018b1d5b1c (__TEXT,__const) non-external _kNonZeroRepsDepth
000000018b1d3700 (__TEXT,__const) non-external _kPrefixSuffix
000000018b1d37da (__TEXT,__const) non-external _kPrefixSuffixMap
000000018b1d7ee0 (__TEXT,__const) non-external _kStaticCommandCodeBits
000000018b1d7c20 (__TEXT,__const) non-external _kStaticCommandCodeDepth
000000018b1a479c (__TEXT,__const) non-external _kStaticDictionaryBuckets
000000018b1f23be (__TEXT,__const) non-external (was a private external) _kStaticDictionaryHashLengths
000000018b1e23be (__TEXT,__const) non-external (was a private external) _kStaticDictionaryHashWords
000000018b1b479c (__TEXT,__const) non-external _kStaticDictionaryWords
000000018b1d84a0 (__TEXT,__const) non-external _kStaticDistanceCodeBits
000000018b1d8460 (__TEXT,__const) non-external _kStaticDistanceCodeDepth
000000018b1d383e (__TEXT,__const) non-external _kTransformsData
000000018b1d44c0 (__TEXT,__const) non-external _kZeroRepsBits
000000018b1d39c0 (__TEXT,__const) non-external _kZeroRepsDepth
                 (undefined) external _log2 (from libSystem)
000000018b131d10 (__TEXT,__text) non-external _longest_match
00000001d6795800 (__DATA,__common) non-external (was a private external) _lut_ok
00000001d6795c00 (__DATA,__common) non-external (was a private external) _lut_quantize
000000018b1dd2b4 (__TEXT,__const) non-external (was a private external) _lut_rle
000000018b137810 (__TEXT,__text) non-external (was a private external) _lz4_decode
000000018b137400 (__TEXT,__text) non-external (was a private external) _lz4_decode_asm
000000018b13722c (__TEXT,__text) non-external (was a private external) _lz4_decode_buffer
000000018b1445e0 (__TEXT,__text) non-external (was a private external) _lz4_encode_2gb
000000018b13830c (__TEXT,__text) non-external (was a private external) _lz4_encode_buffer
000000018b161424 (__TEXT,__text) non-external (was a private external) _lz4_stream_end
000000018b1614a0 (__TEXT,__text) non-external (was a private external) _lz4_stream_get_decode_state_size
000000018b161494 (__TEXT,__text) non-external (was a private external) _lz4_stream_get_encode_state_size
000000018b161488 (__TEXT,__text) non-external (was a private external) _lz4_stream_get_state_size
000000018b161454 (__TEXT,__text) non-external (was a private external) _lz4_stream_identify_algorithm
000000018b160cb8 (__TEXT,__text) non-external (was a private external) _lz4_stream_init
000000018b160d80 (__TEXT,__text) non-external (was a private external) _lz4_stream_process
000000018b152b8c (__TEXT,__text) non-external (was a private external) _lz4raw_decode_buffer
000000018b152a90 (__TEXT,__text) non-external (was a private external) _lz4raw_encode_buffer
000000018b15aa00 (__TEXT,__text) non-external (was a private external) _lzbitmap_alloc
