00007ffc427ff470 (__DATA_DIRTY,__common) external _AfterColour
00007ffc07191d30 (__TEXT,__text) external _LLVMAddAggressiveInstCombinerPass
00007ffc07838502 (__TEXT,__text) external _LLVMAddAlias
00007ffc07838542 (__TEXT,__text) external _LLVMAddAlias2
00007ffc082924d6 (__TEXT,__text) external _LLVMAddAlignmentFromAssumptionsPass
00007ffc07c567e5 (__TEXT,__text) external _LLVMAddAlwaysInlinerPass
00007ffc08553ee8 (__TEXT,__text) external _LLVMAddAnalysisPasses
00007ffc07c5670e (__TEXT,__text) external _LLVMAddArgumentPromotionPass
00007ffc07838c0f (__TEXT,__text) external _LLVMAddAttributeAtIndex
00007ffc08292ae9 (__TEXT,__text) external _LLVMAddBasicAliasAnalysisPass
00007ffc082924b3 (__TEXT,__text) external _LLVMAddBitTrackingDCEPass
00007ffc082924f9 (__TEXT,__text) external _LLVMAddCFGSimplificationPass
00007ffc07839b47 (__TEXT,__text) external _LLVMAddCallSiteAttribute
00007ffc07c56736 (__TEXT,__text) external _LLVMAddCalledValuePropagationPass
00007ffc0783b1bc (__TEXT,__text) external _LLVMAddCase
00007ffc0783b203 (__TEXT,__text) external _LLVMAddClause
00007ffc07c56759 (__TEXT,__text) external _LLVMAddConstantMergePass
00007ffc087502f1 (__TEXT,__text) external _LLVMAddCoroCleanupPass
00007ffc0875023b (__TEXT,__text) external _LLVMAddCoroEarlyPass
00007ffc087502b5 (__TEXT,__text) external _LLVMAddCoroElidePass
00007ffc08750277 (__TEXT,__text) external _LLVMAddCoroSplitPass
00007ffc082929e5 (__TEXT,__text) external _LLVMAddCorrelatedValuePropagationPass
00007ffc08292490 (__TEXT,__text) external _LLVMAddDCEPass
00007ffc07c5677c (__TEXT,__text) external _LLVMAddDeadArgEliminationPass
00007ffc0829259c (__TEXT,__text) external _LLVMAddDeadStoreEliminationPass
00007ffc0829299a (__TEXT,__text) external _LLVMAddDemoteMemoryToRegisterPass
00007ffc0783b1c6 (__TEXT,__text) external _LLVMAddDestination
00007ffc08292a44 (__TEXT,__text) external _LLVMAddEarlyCSEMemSSAPass
00007ffc08292a08 (__TEXT,__text) external _LLVMAddEarlyCSEPass
00007ffc0783865f (__TEXT,__text) external _LLVMAddFunction
00007ffc07c5679f (__TEXT,__text) external _LLVMAddFunctionAttrsPass
00007ffc07c567c2 (__TEXT,__text) external _LLVMAddFunctionInliningPass
00007ffc082925e2 (__TEXT,__text) external _LLVMAddGVNPass
00007ffc07838040 (__TEXT,__text) external _LLVMAddGlobal
00007ffc07c5680d (__TEXT,__text) external _LLVMAddGlobalDCEPass
00007ffc078390aa (__TEXT,__text) external _LLVMAddGlobalIFunc
00007ffc078380d8 (__TEXT,__text) external _LLVMAddGlobalInAddressSpace
00007ffc07c56830 (__TEXT,__text) external _LLVMAddGlobalOptimizerPass
00007ffc0783b234 (__TEXT,__text) external _LLVMAddHandler
00007ffc07c56876 (__TEXT,__text) external _LLVMAddIPSCCPPass
00007ffc0783a068 (__TEXT,__text) external _LLVMAddIncoming
00007ffc08292651 (__TEXT,__text) external _LLVMAddIndVarSimplifyPass
00007ffc07d1b0c6 (__TEXT,__text) external _LLVMAddInstructionCombiningPass
00007ffc08292674 (__TEXT,__text) external _LLVMAddInstructionSimplifyPass
00007ffc07c568bc (__TEXT,__text) external _LLVMAddInternalizePass
00007ffc07c56940 (__TEXT,__text) external _LLVMAddInternalizePassWithMustPreservePredicate
00007ffc08292697 (__TEXT,__text) external _LLVMAddJumpThreadingPass
00007ffc082926e4 (__TEXT,__text) external _LLVMAddLICMPass
00007ffc08292707 (__TEXT,__text) external _LLVMAddLoopDeletionPass
00007ffc0829274d (__TEXT,__text) external _LLVMAddLoopIdiomPass
00007ffc0829279a (__TEXT,__text) external _LLVMAddLoopRerollPass
00007ffc08292770 (__TEXT,__text) external _LLVMAddLoopRotatePass
00007ffc0829280a (__TEXT,__text) external _LLVMAddLoopUnrollAndJamPass
00007ffc082927bd (__TEXT,__text) external _LLVMAddLoopUnrollPass
00007ffc08292832 (__TEXT,__text) external _LLVMAddLoopUnswitchPass
00007ffc087ceb30 (__TEXT,__text) external _LLVMAddLoopVectorizePass
00007ffc08292859 (__TEXT,__text) external _LLVMAddLowerAtomicPass
00007ffc08292b0c (__TEXT,__text) external _LLVMAddLowerConstantIntrinsicsPass
00007ffc08292b2f (__TEXT,__text) external _LLVMAddLowerExpectIntrinsicPass
00007ffc086cb47c (__TEXT,__text) external _LLVMAddLowerSwitchPass
00007ffc0829287c (__TEXT,__text) external _LLVMAddMemCpyOptPass
00007ffc07c56899 (__TEXT,__text) external _LLVMAddMergeFunctionsPass
00007ffc0829262c (__TEXT,__text) external _LLVMAddMergedLoadStoreMotionPass
00007ffc0783a9aa (__TEXT,__text) external _LLVMAddMetadataToInst
00007ffc07833a09 (__TEXT,__text) external _LLVMAddModuleFlag
00007ffc07835f35 (__TEXT,__text) external _LLVMAddNamedMetadataOperand
00007ffc08292609 (__TEXT,__text) external _LLVMAddNewGVNPass
00007ffc0829289f (__TEXT,__text) external _LLVMAddPartiallyInlineLibCallsPass
00007ffc086cb49f (__TEXT,__text) external _LLVMAddPromoteMemoryToRegisterPass
00007ffc07c56853 (__TEXT,__text) external _LLVMAddPruneEHPass
00007ffc082928c2 (__TEXT,__text) external _LLVMAddReassociatePass
00007ffc082928e5 (__TEXT,__text) external _LLVMAddSCCPPass
00007ffc087ceb53 (__TEXT,__text) external _LLVMAddSLPVectorizePass
00007ffc08292908 (__TEXT,__text) external _LLVMAddScalarReplAggregatesPass
00007ffc0829292b (__TEXT,__text) external _LLVMAddScalarReplAggregatesPassSSA
00007ffc0829294e (__TEXT,__text) external _LLVMAddScalarReplAggregatesPassWithThreshold
00007ffc082925bf (__TEXT,__text) external _LLVMAddScalarizerPass
00007ffc08292ac6 (__TEXT,__text) external _LLVMAddScopedNoAliasAAPass
00007ffc08292971 (__TEXT,__text) external _LLVMAddSimplifyLibCallsPass
00007ffc07c569c8 (__TEXT,__text) external _LLVMAddStripDeadPrototypesPass
00007ffc07c569eb (__TEXT,__text) external _LLVMAddStripSymbolsPass
00007ffc08543c84 (__TEXT,__text) external _LLVMAddSymbol
00007ffc08292977 (__TEXT,__text) external _LLVMAddTailCallEliminationPass
00007ffc07838d0f (__TEXT,__text) external _LLVMAddTargetDependentFunctionAttr
00007ffc08550e11 (__TEXT,__text) external _LLVMAddTargetLibraryInfo
00007ffc08292aa3 (__TEXT,__text) external _LLVMAddTypeBasedAliasAnalysisPass
00007ffc08292b52 (__TEXT,__text) external _LLVMAddUnifyFunctionExitNodesPass
00007ffc082929bd (__TEXT,__text) external _LLVMAddVerifierPass
00007ffc07919462 (__TEXT,__text) external _LLVMAdvanceCoverageIterator
00007ffc0783864b (__TEXT,__text) external _LLVMAliasGetAliasee
00007ffc07838655 (__TEXT,__text) external _LLVMAliasSetAliasee
00007ffc07836cea (__TEXT,__text) external _LLVMAlignOf
00007ffc0783962f (__TEXT,__text) external _LLVMAppendBasicBlock
00007ffc07839558 (__TEXT,__text) external _LLVMAppendBasicBlockInContext
00007ffc07839519 (__TEXT,__text) external _LLVMAppendExistingBasicBlock
00007ffc07833cb6 (__TEXT,__text) external _LLVMAppendModuleInlineAsm
00007ffc078346b4 (__TEXT,__text) external _LLVMArrayType
00007ffc07834188 (__TEXT,__text) external _LLVMBFloatType
00007ffc078340dd (__TEXT,__text) external _LLVMBFloatTypeInContext
00007ffc0783923c (__TEXT,__text) external _LLVMBasicBlockAsValue
00007ffc0802ae75 (__TEXT,__text) external _LLVMBinaryCopyMemoryBuffer
00007ffc0802aeda (__TEXT,__text) external _LLVMBinaryGetType
00007ffc07837a74 (__TEXT,__text) external _LLVMBlockAddress
00007ffc0783bcce (__TEXT,__text) external _LLVMBuildAShr
00007ffc0783b32d (__TEXT,__text) external _LLVMBuildAdd
00007ffc0783d611 (__TEXT,__text) external _LLVMBuildAddrSpaceCast
00007ffc0783aaba (__TEXT,__text) external _LLVMBuildAggregateRet
00007ffc0783c13e (__TEXT,__text) external _LLVMBuildAlloca
00007ffc0783bcfe (__TEXT,__text) external _LLVMBuildAnd
00007ffc0783c16d (__TEXT,__text) external _LLVMBuildArrayAlloca
00007ffc0783bf99 (__TEXT,__text) external _LLVMBuildArrayMalloc
00007ffc0783dd89 (__TEXT,__text) external _LLVMBuildAtomicCmpXchg
00007ffc0783dd5f (__TEXT,__text) external _LLVMBuildAtomicRMW
00007ffc0783bd85 (__TEXT,__text) external _LLVMBuildBinOp
00007ffc0783d527 (__TEXT,__text) external _LLVMBuildBitCast
00007ffc0783abcd (__TEXT,__text) external _LLVMBuildBr
00007ffc0783d9ce (__TEXT,__text) external _LLVMBuildCall
00007ffc0783da1c (__TEXT,__text) external _LLVMBuildCall2
00007ffc0783d781 (__TEXT,__text) external _LLVMBuildCast
00007ffc0783af59 (__TEXT,__text) external _LLVMBuildCatchPad
00007ffc0783b123 (__TEXT,__text) external _LLVMBuildCatchRet
00007ffc0783b062 (__TEXT,__text) external _LLVMBuildCatchSwitch
00007ffc0783af88 (__TEXT,__text) external _LLVMBuildCleanupPad
00007ffc0783b1a8 (__TEXT,__text) external _LLVMBuildCleanupRet
00007ffc0783ac7d (__TEXT,__text) external _LLVMBuildCondBr
00007ffc0783bb7d (__TEXT,__text) external _LLVMBuildExactSDiv
00007ffc0783b976 (__TEXT,__text) external _LLVMBuildExactUDiv
00007ffc0783dab7 (__TEXT,__text) external _LLVMBuildExtractElement
00007ffc0783db40 (__TEXT,__text) external _LLVMBuildExtractValue
00007ffc0783b5dc (__TEXT,__text) external _LLVMBuildFAdd
00007ffc0783d966 (__TEXT,__text) external _LLVMBuildFCmp
00007ffc0783bbb0 (__TEXT,__text) external _LLVMBuildFDiv
00007ffc0783b77a (__TEXT,__text) external _LLVMBuildFMul
00007ffc0783be8c (__TEXT,__text) external _LLVMBuildFNeg
00007ffc0783d90b (__TEXT,__text) external _LLVMBuildFPCast
00007ffc0783d326 (__TEXT,__text) external _LLVMBuildFPExt
00007ffc0783d050 (__TEXT,__text) external _LLVMBuildFPToSI
00007ffc0783cf13 (__TEXT,__text) external _LLVMBuildFPToUI
00007ffc0783d1e8 (__TEXT,__text) external _LLVMBuildFPTrunc
00007ffc0783bc3d (__TEXT,__text) external _LLVMBuildFRem
00007ffc0783b6ab (__TEXT,__text) external _LLVMBuildFSub
00007ffc0783c5dc (__TEXT,__text) external _LLVMBuildFence
00007ffc0783c19a (__TEXT,__text) external _LLVMBuildFree
00007ffc0783dbb6 (__TEXT,__text) external _LLVMBuildFreeze
00007ffc0783c669 (__TEXT,__text) external _LLVMBuildGEP
00007ffc0783c7a7 (__TEXT,__text) external _LLVMBuildGEP2
00007ffc0783cac7 (__TEXT,__text) external _LLVMBuildGlobalString
00007ffc0783cb26 (__TEXT,__text) external _LLVMBuildGlobalStringPtr
00007ffc0783d937 (__TEXT,__text) external _LLVMBuildICmp
00007ffc0783c8c5 (__TEXT,__text) external _LLVMBuildInBoundsGEP
00007ffc0783ca0b (__TEXT,__text) external _LLVMBuildInBoundsGEP2
00007ffc0783adad (__TEXT,__text) external _LLVMBuildIndirectBr
00007ffc0783dae4 (__TEXT,__text) external _LLVMBuildInsertElement
00007ffc0783db7a (__TEXT,__text) external _LLVMBuildInsertValue
00007ffc0783d8d8 (__TEXT,__text) external _LLVMBuildIntCast
00007ffc0783d89e (__TEXT,__text) external _LLVMBuildIntCast2
00007ffc0783d43d (__TEXT,__text) external _LLVMBuildIntToPtr
00007ffc0783ae1b (__TEXT,__text) external _LLVMBuildInvoke
00007ffc0783ae79 (__TEXT,__text) external _LLVMBuildInvoke2
00007ffc0783dc9a (__TEXT,__text) external _LLVMBuildIsNotNull
00007ffc0783dc43 (__TEXT,__text) external _LLVMBuildIsNull
00007ffc0783bc9e (__TEXT,__text) external _LLVMBuildLShr
00007ffc0783aec9 (__TEXT,__text) external _LLVMBuildLandingPad
00007ffc0783c1d4 (__TEXT,__text) external _LLVMBuildLoad
00007ffc0783c325 (__TEXT,__text) external _LLVMBuildLoad2
00007ffc0783bee8 (__TEXT,__text) external _LLVMBuildMalloc
00007ffc0783c088 (__TEXT,__text) external _LLVMBuildMemCpy
00007ffc0783c0ee (__TEXT,__text) external _LLVMBuildMemMove
00007ffc0783c04f (__TEXT,__text) external _LLVMBuildMemSet
00007ffc0783b6db (__TEXT,__text) external _LLVMBuildMul
00007ffc0783b45e (__TEXT,__text) external _LLVMBuildNSWAdd
00007ffc0783b70e (__TEXT,__text) external _LLVMBuildNSWMul
00007ffc0783be26 (__TEXT,__text) external _LLVMBuildNSWNeg
00007ffc0783b63f (__TEXT,__text) external _LLVMBuildNSWSub
00007ffc0783b5af (__TEXT,__text) external _LLVMBuildNUWAdd
00007ffc0783b744 (__TEXT,__text) external _LLVMBuildNUWMul
00007ffc0783be59 (__TEXT,__text) external _LLVMBuildNUWNeg
00007ffc0783b675 (__TEXT,__text) external _LLVMBuildNUWSub
00007ffc0783bdf6 (__TEXT,__text) external _LLVMBuildNeg
00007ffc0783bebb (__TEXT,__text) external _LLVMBuildNot
00007ffc0783bd2b (__TEXT,__text) external _LLVMBuildOr
00007ffc0783d99f (__TEXT,__text) external _LLVMBuildPhi
00007ffc0783d871 (__TEXT,__text) external _LLVMBuildPointerCast
00007ffc0783dcf1 (__TEXT,__text) external _LLVMBuildPtrDiff
00007ffc0783dd32 (__TEXT,__text) external _LLVMBuildPtrDiff2
00007ffc0783d353 (__TEXT,__text) external _LLVMBuildPtrToInt
00007ffc0783aff2 (__TEXT,__text) external _LLVMBuildResume
00007ffc0783aa0b (__TEXT,__text) external _LLVMBuildRet
00007ffc0783aa01 (__TEXT,__text) external _LLVMBuildRetVoid
00007ffc0783b9a9 (__TEXT,__text) external _LLVMBuildSDiv
00007ffc0783ce29 (__TEXT,__text) external _LLVMBuildSExt
00007ffc0783d728 (__TEXT,__text) external _LLVMBuildSExtOrBitCast
00007ffc0783d1bb (__TEXT,__text) external _LLVMBuildSIToFP
00007ffc0783bc0f (__TEXT,__text) external _LLVMBuildSRem
00007ffc0783da56 (__TEXT,__text) external _LLVMBuildSelect
00007ffc0783bc6b (__TEXT,__text) external _LLVMBuildShl
00007ffc0783db13 (__TEXT,__text) external _LLVMBuildShuffleVector
00007ffc0783c475 (__TEXT,__text) external _LLVMBuildStore
00007ffc0783ca3d (__TEXT,__text) external _LLVMBuildStructGEP
00007ffc0783ca91 (__TEXT,__text) external _LLVMBuildStructGEP2
00007ffc0783b60c (__TEXT,__text) external _LLVMBuildSub
00007ffc0783ad0f (__TEXT,__text) external _LLVMBuildSwitch
00007ffc0783cc55 (__TEXT,__text) external _LLVMBuildTrunc
00007ffc0783d755 (__TEXT,__text) external _LLVMBuildTruncOrBitCast
00007ffc0783b7aa (__TEXT,__text) external _LLVMBuildUDiv
00007ffc0783d18e (__TEXT,__text) external _LLVMBuildUIToFP
00007ffc0783bbe0 (__TEXT,__text) external _LLVMBuildURem
00007ffc0783b1b2 (__TEXT,__text) external _LLVMBuildUnreachable
00007ffc0783da88 (__TEXT,__text) external _LLVMBuildVAArg
00007ffc0783bd58 (__TEXT,__text) external _LLVMBuildXor
00007ffc0783cd3f (__TEXT,__text) external _LLVMBuildZExt
00007ffc0783d6fb (__TEXT,__text) external _LLVMBuildZExtOrBitCast
00007ffc0783a9f7 (__TEXT,__text) external _LLVMBuilderGetDefaultFPMathTag
00007ffc0783a9ed (__TEXT,__text) external _LLVMBuilderSetDefaultFPMathTag
00007ffc08550ed9 (__TEXT,__text) external _LLVMByteOrder
00007ffc085510a6 (__TEXT,__text) external _LLVMCallFrameAlignmentOfType
00007ffc0783a436 (__TEXT,__text) external _LLVMClearInsertionPosition
00007ffc085aff33 (__TEXT,__text) external _LLVMCloneModule
00007ffc07837469 (__TEXT,__text) external _LLVMConstAShr
00007ffc0783707b (__TEXT,__text) external _LLVMConstAdd
00007ffc07837735 (__TEXT,__text) external _LLVMConstAddrSpaceCast
00007ffc078359b9 (__TEXT,__text) external _LLVMConstAllOnes
00007ffc07837313 (__TEXT,__text) external _LLVMConstAnd
00007ffc07836b9c (__TEXT,__text) external _LLVMConstArray
00007ffc07837714 (__TEXT,__text) external _LLVMConstBitCast
00007ffc07837216 (__TEXT,__text) external _LLVMConstExactSDiv
00007ffc078371fb (__TEXT,__text) external _LLVMConstExactUDiv
00007ffc07837792 (__TEXT,__text) external _LLVMConstExtractElement
00007ffc078379bf (__TEXT,__text) external _LLVMConstExtractValue
00007ffc078370ab (__TEXT,__text) external _LLVMConstFAdd
00007ffc07837440 (__TEXT,__text) external _LLVMConstFCmp
00007ffc07837225 (__TEXT,__text) external _LLVMConstFDiv
00007ffc078371e5 (__TEXT,__text) external _LLVMConstFMul
00007ffc0783705b (__TEXT,__text) external _LLVMConstFNeg
00007ffc0783777c (__TEXT,__text) external _LLVMConstFPCast
00007ffc07837673 (__TEXT,__text) external _LLVMConstFPExt
00007ffc078376cf (__TEXT,__text) external _LLVMConstFPToSI
00007ffc078376b8 (__TEXT,__text) external _LLVMConstFPToUI
00007ffc0783765c (__TEXT,__text) external _LLVMConstFPTrunc
00007ffc07837243 (__TEXT,__text) external _LLVMConstFRem
00007ffc078371ab (__TEXT,__text) external _LLVMConstFSub
00007ffc07837539 (__TEXT,__text) external _LLVMConstGEP
00007ffc07837582 (__TEXT,__text) external _LLVMConstGEP2
00007ffc07837331 (__TEXT,__text) external _LLVMConstICmp
00007ffc078375a5 (__TEXT,__text) external _LLVMConstInBoundsGEP
00007ffc078375f1 (__TEXT,__text) external _LLVMConstInBoundsGEP2
00007ffc078379dc (__TEXT,__text) external _LLVMConstInlineAsm
00007ffc0783785b (__TEXT,__text) external _LLVMConstInsertElement
00007ffc078379cd (__TEXT,__text) external _LLVMConstInsertValue
00007ffc07836750 (__TEXT,__text) external _LLVMConstInt
00007ffc07837769 (__TEXT,__text) external _LLVMConstIntCast
00007ffc078368ee (__TEXT,__text) external _LLVMConstIntGetSExtValue
00007ffc078368d8 (__TEXT,__text) external _LLVMConstIntGetZExtValue
00007ffc078367e1 (__TEXT,__text) external _LLVMConstIntOfArbitraryPrecision
00007ffc07836846 (__TEXT,__text) external _LLVMConstIntOfString
00007ffc07836886 (__TEXT,__text) external _LLVMConstIntOfStringAndSize
00007ffc078376fd (__TEXT,__text) external _LLVMConstIntToPtr
00007ffc0783745d (__TEXT,__text) external _LLVMConstLShr
00007ffc078371b5 (__TEXT,__text) external _LLVMConstMul
00007ffc07837089 (__TEXT,__text) external _LLVMConstNSWAdd
00007ffc078371c3 (__TEXT,__text) external _LLVMConstNSWMul
00007ffc07836e1d (__TEXT,__text) external _LLVMConstNSWNeg
00007ffc07837189 (__TEXT,__text) external _LLVMConstNSWSub
00007ffc0783709a (__TEXT,__text) external _LLVMConstNUWAdd
00007ffc078371d4 (__TEXT,__text) external _LLVMConstNUWMul
00007ffc07836f3c (__TEXT,__text) external _LLVMConstNUWNeg
00007ffc0783719a (__TEXT,__text) external _LLVMConstNUWSub
00007ffc07836c61 (__TEXT,__text) external _LLVMConstNamedStruct
00007ffc07836cfe (__TEXT,__text) external _LLVMConstNeg
00007ffc07837071 (__TEXT,__text) external _LLVMConstNot
00007ffc078359af (__TEXT,__text) external _LLVMConstNull
00007ffc0783731d (__TEXT,__text) external _LLVMConstOr
00007ffc0783775f (__TEXT,__text) external _LLVMConstPointerCast
00007ffc07835aaf (__TEXT,__text) external _LLVMConstPointerNull
00007ffc078376e6 (__TEXT,__text) external _LLVMConstPtrToInt
00007ffc07836892 (__TEXT,__text) external _LLVMConstReal
00007ffc07836911 (__TEXT,__text) external _LLVMConstRealGetDouble
00007ffc0783689c (__TEXT,__text) external _LLVMConstRealOfString
00007ffc078368cc (__TEXT,__text) external _LLVMConstRealOfStringAndSize
00007ffc0783720a (__TEXT,__text) external _LLVMConstSDiv
00007ffc0783762e (__TEXT,__text) external _LLVMConstSExt
00007ffc0783774b (__TEXT,__text) external _LLVMConstSExtOrBitCast
00007ffc078376a1 (__TEXT,__text) external _LLVMConstSIToFP
00007ffc07837239 (__TEXT,__text) external _LLVMConstSRem
00007ffc07837786 (__TEXT,__text) external _LLVMConstSelect
00007ffc0783744f (__TEXT,__text) external _LLVMConstShl
00007ffc0783792b (__TEXT,__text) external _LLVMConstShuffleVector
00007ffc07836afa (__TEXT,__text) external _LLVMConstString
00007ffc07836ae5 (__TEXT,__text) external _LLVMConstStringInContext
00007ffc07836bf3 (__TEXT,__text) external _LLVMConstStruct
00007ffc07836bc3 (__TEXT,__text) external _LLVMConstStructInContext
00007ffc0783717b (__TEXT,__text) external _LLVMConstSub
00007ffc07837617 (__TEXT,__text) external _LLVMConstTrunc
00007ffc07837755 (__TEXT,__text) external _LLVMConstTruncOrBitCast
00007ffc078371ef (__TEXT,__text) external _LLVMConstUDiv
00007ffc0783768a (__TEXT,__text) external _LLVMConstUIToFP
00007ffc0783722f (__TEXT,__text) external _LLVMConstURem
00007ffc07836c6d (__TEXT,__text) external _LLVMConstVector
00007ffc07837327 (__TEXT,__text) external _LLVMConstXor
00007ffc07837645 (__TEXT,__text) external _LLVMConstZExt
00007ffc07837741 (__TEXT,__text) external _LLVMConstZExtOrBitCast
00007ffc084b0c4a (__TEXT,__text) external _LLVMConsumeError
00007ffc07833108 (__TEXT,__text) external _LLVMContextCreate
00007ffc078331de (__TEXT,__text) external _LLVMContextDispose
00007ffc07833194 (__TEXT,__text) external _LLVMContextGetDiagnosticContext
00007ffc07833183 (__TEXT,__text) external _LLVMContextGetDiagnosticHandler
00007ffc0783316a (__TEXT,__text) external _LLVMContextSetDiagnosticHandler
00007ffc078331cc (__TEXT,__text) external _LLVMContextSetDiscardValueNames
00007ffc078331a5 (__TEXT,__text) external _LLVMContextSetYieldCallback
00007ffc078331bc (__TEXT,__text) external _LLVMContextShouldDiscardValueNames
00007ffc078337a8 (__TEXT,__text) external _LLVMCopyModuleFlagsMetadata
00007ffc08550e5c (__TEXT,__text) external _LLVMCopyStringRepOfTargetData
00007ffc07839328 (__TEXT,__text) external _LLVMCountBasicBlocks
00007ffc0783a1a8 (__TEXT,__text) external _LLVMCountIncoming
00007ffc078344b6 (__TEXT,__text) external _LLVMCountParamTypes
00007ffc07838d91 (__TEXT,__text) external _LLVMCountParams
00007ffc078345bc (__TEXT,__text) external _LLVMCountStructElementTypes
00007ffc0783942d (__TEXT,__text) external _LLVMCreateBasicBlockInContext
00007ffc0802ad66 (__TEXT,__text) external _LLVMCreateBinary
00007ffc0783a32a (__TEXT,__text) external _LLVMCreateBuilder
00007ffc0783a295 (__TEXT,__text) external _LLVMCreateBuilderInContext
00007ffc07919288 (__TEXT,__text) external _LLVMCreateCoverageDataForFile
00007ffc079192df (__TEXT,__text) external _LLVMCreateCoverageDataForFunction
00007ffc07919059 (__TEXT,__text) external _LLVMCreateCoverageFunctionRange
00007ffc079190ed (__TEXT,__text) external _LLVMCreateCoverageFunctionRangeForFile
00007ffc07919982 (__TEXT,__text) external _LLVMCreateCoverageFunctionRangeForInstantiationGroup
00007ffc0791975e (__TEXT,__text) external _LLVMCreateCoverageInstantiationGroupRangeForFile
00007ffc0791937e (__TEXT,__text) external _LLVMCreateCoverageIterator
00007ffc07918b68 (__TEXT,__text) external _LLVMCreateCoverageMappingAggregate
00007ffc07918b58 (__TEXT,__text) external _LLVMCreateCoverageMappingAggregateForArch
00007ffc07918b00 (__TEXT,__text) external _LLVMCreateCoverageMappingForArch
00007ffc07916a59 (__TEXT,__text) external _LLVMCreateCoverageSourceFileRange
00007ffc078474a3 (__TEXT,__text) external _LLVMCreateDIBuilder
00007ffc0784746b (__TEXT,__text) external _LLVMCreateDIBuilderDisallowUnresolved
00007ffc07fa1811 (__TEXT,__text) external _LLVMCreateDisasm
00007ffc07fa17e7 (__TEXT,__text) external _LLVMCreateDisasmCPU
00007ffc07fa1008 (__TEXT,__text) external _LLVMCreateDisasmCPUFeatures
00007ffc07833274 (__TEXT,__text) external _LLVMCreateEnumAttribute
00007ffc0783e1bd (__TEXT,__text) external _LLVMCreateFunctionPassManager
00007ffc0783e189 (__TEXT,__text) external _LLVMCreateFunctionPassManagerForModule
00007ffc0783de70 (__TEXT,__text) external _LLVMCreateMemoryBufferWithContentsOfFile
00007ffc0783e00b (__TEXT,__text) external _LLVMCreateMemoryBufferWithMemoryRange
00007ffc0783e074 (__TEXT,__text) external _LLVMCreateMemoryBufferWithMemoryRangeCopy
00007ffc0783df5c (__TEXT,__text) external _LLVMCreateMemoryBufferWithSTDIN
00007ffc078330f4 (__TEXT,__text) external _LLVMCreateMessage
00007ffc0783de3b (__TEXT,__text) external _LLVMCreateModuleProviderForExistingModule
00007ffc0802b08f (__TEXT,__text) external _LLVMCreateObjectFile
00007ffc08072653 (__TEXT,__text) external _LLVMCreatePassBuilderOptions
00007ffc0783e15a (__TEXT,__text) external _LLVMCreatePassManager
00007ffc078332e4 (__TEXT,__text) external _LLVMCreateStringAttribute
