00007ffa1c0fb082 (__TEXT,__text) non-external _DiToMD5
00007ffa1c10be84 (__TEXT,__text) non-external _IORWLockRead.cold.1
00007ffa1c0e3edc (__TEXT,__text) external _IORWLockUnlock
00007ffa1c10beca (__TEXT,__text) non-external _IORWLockUnlock.cold.1
00007ffa1c0e3ec6 (__TEXT,__text) external _IORWLockWrite
00007ffa1c10bea7 (__TEXT,__text) non-external _IORWLockWrite.cold.1
00007ffa1c0e3cca (__TEXT,__text) external _IORecursiveConditionLockAlloc
00007ffa1c0e3cf6 (__TEXT,__text) external _IORecursiveConditionLockFree
00007ffa1c0e3db8 (__TEXT,__text) external _IORecursiveConditionLockHaveLock
00007ffa1c10bdf8 (__TEXT,__text) non-external _IORecursiveConditionLockHaveLock.cold.1
00007ffa1c0e3d0c (__TEXT,__text) external _IORecursiveConditionLockLock
00007ffa1c10bd6c (__TEXT,__text) non-external _IORecursiveConditionLockLock.cold.1
00007ffa1c10bd8f (__TEXT,__text) non-external _IORecursiveConditionLockLock.cold.2
00007ffa1c0e3dec (__TEXT,__text) external _IORecursiveConditionLockTryLock
00007ffa1c10be1b (__TEXT,__text) non-external _IORecursiveConditionLockTryLock.cold.1
00007ffa1c10be3e (__TEXT,__text) non-external _IORecursiveConditionLockTryLock.cold.2
00007ffa1c0e3d64 (__TEXT,__text) external _IORecursiveConditionLockUnlock
00007ffa1c10bdb2 (__TEXT,__text) non-external _IORecursiveConditionLockUnlock.cold.1
00007ffa1c10bdd5 (__TEXT,__text) non-external _IORecursiveConditionLockUnlock.cold.2
00007ffa1c0e3c6e (__TEXT,__text) external _IORecursiveLockAlloc
00007ffa1c0e3c8a (__TEXT,__text) external _IORecursiveLockFree
00007ffa1c0e3cb6 (__TEXT,__text) external _IORecursiveLockHaveLock
00007ffa1c0e3ca0 (__TEXT,__text) external _IORecursiveLockLock
00007ffa1c0e3cc0 (__TEXT,__text) external _IORecursiveLockTryLock
00007ffa1c0e3cac (__TEXT,__text) external _IORecursiveLockUnlock
00007ffa41b40c80 (__DATA_CONST,__const) external _IOReportLegend_Class
00007ffa41b40a00 (__DATA_CONST,__const) external _IOReporter_Class
00007ffa41b41088 (__DATA_CONST,__const) external _IOServiceNotificationDispatchSource_Class
00007ffa41b411e8 (__DATA_CONST,__const) external _IOServiceStateNotificationDispatchSource_Class
00007ffa41b40ed8 (__DATA_CONST,__const) external _IOService_Class
00007ffa41b40aa0 (__DATA_CONST,__const) external _IOSimpleReporter_Class
00007ffa1c0e0f7b (__TEXT,__text) external _IOSleep
00007ffa41b40b40 (__DATA_CONST,__const) external _IOStateReporter_Class
00007ffa1c0e3f57 (__TEXT,__text) external _IOThreadLocalStorageGet
00007ffa1c0e3ef2 (__TEXT,__text) external _IOThreadLocalStorageKeyCreate
00007ffa1c0e3f21 (__TEXT,__text) external _IOThreadLocalStorageKeyDelete
00007ffa1c0e3f36 (__TEXT,__text) external _IOThreadLocalStorageSet
00007ffa41b42e58 (__DATA_CONST,__const) external _IOThread_Class
00007ffa41b41348 (__DATA_CONST,__const) external _IOTimerDispatchSource_Class
00007ffa41b414f8 (__DATA_CONST,__const) external _IOUserClient_Class
00007ffa1c0e48c5 (__TEXT,__text) external _IOUserServerMain
00007ffa1c10c1ba (__TEXT,__text) non-external _IOUserServerMain.cold.1
00007ffa1c10c2f5 (__TEXT,__text) non-external _IOUserServerMain.cold.10
00007ffa1c10c1dd (__TEXT,__text) non-external _IOUserServerMain.cold.2
00007ffa1c10c200 (__TEXT,__text) non-external _IOUserServerMain.cold.3
00007ffa1c10c223 (__TEXT,__text) non-external _IOUserServerMain.cold.4
00007ffa1c10c246 (__TEXT,__text) non-external _IOUserServerMain.cold.5
00007ffa1c10c269 (__TEXT,__text) non-external _IOUserServerMain.cold.6
00007ffa1c10c28c (__TEXT,__text) non-external _IOUserServerMain.cold.7
00007ffa1c10c2af (__TEXT,__text) non-external _IOUserServerMain.cold.8
00007ffa1c10c2d2 (__TEXT,__text) non-external _IOUserServerMain.cold.9
00007ffa41b417d8 (__DATA_CONST,__const) external _IOUserServer_Class
00007ffa441a1f78 (__DATA_DIRTY,__common) external _IOVMPageSize
00007ffa41b41988 (__DATA_CONST,__const) external _IOWorkGroup_Class
00007ffa1c0fb1eb (__TEXT,__text) external _MD5Final
00007ffa1c0fb000 (__TEXT,__text) external _MD5Init
00007ffa1c0fb17f (__TEXT,__text) non-external _MD5ToDi
00007ffa1c0fb0db (__TEXT,__text) external _MD5Update
                 (undefined) external _NDR_record (from libSystem)
00007ffa41b41ae8 (__DATA_CONST,__const) external _OSAction_Class
00007ffa41b41598 (__DATA_CONST,__const) external _OSAction_IOUserClient_KernelCompletion_Class
00007ffa41b42be8 (__DATA_CONST,__const) external _OSAction__IOBlockStorageDevice_KernelCompletion_Class
00007ffa1c0ed16c (__TEXT,__text) external _OSArrayAppendValue
00007ffa1c0ecde1 (__TEXT,__text) external _OSArrayApply
00007ffa1c0ecd9a (__TEXT,__text) external _OSArrayCreate
00007ffa1c0ec45e (__TEXT,__text) external _OSArrayGetCount
00007ffa1c0ed1fa (__TEXT,__text) external _OSArrayGetStringValue
00007ffa1c0ed26a (__TEXT,__text) external _OSArrayGetUInt64Value
00007ffa1c0ed1a0 (__TEXT,__text) external _OSArrayGetValue
00007ffa1c0ed15d (__TEXT,__text) external _OSArrayReplaceValue
00007ffa1c0ed225 (__TEXT,__text) external _OSArraySetStringValue
00007ffa1c0ed330 (__TEXT,__text) external _OSArraySetUInt64Value
00007ffa1c0ecfbd (__TEXT,__text) external _OSArraySetValue
00007ffa41b41c98 (__DATA_CONST,__const) external _OSArray_Class
00007ffa41b41d90 (__DATA_CONST,__const) external _OSBoolean_Class
00007ffa41b41e88 (__DATA_CONST,__const) external _OSBundle_Class
00007ffa1c0eb12b (__TEXT,__text) external _OSCollectionTypeID
00007ffa1c10ce06 (__TEXT,__text) non-external _OSCollectionTypeID.cold.1
00007ffa1c0eb0a8 (__TEXT,__text) external _OSCollectionTypeName
00007ffa1c10cdc2 (__TEXT,__text) non-external _OSCollectionTypeName.cold.1
00007ffa41b41f80 (__DATA_CONST,__const) external _OSCollection_Class
00007ffa1c0ef996 (__TEXT,__text) external _OSCollectionsInitialize
00007ffa41b42078 (__DATA_CONST,__const) external _OSContainer_Class
00007ffa1c0eb18f (__TEXT,__text) external _OSCreateObjectFromSerialization
00007ffa1c10ce4c (__TEXT,__text) non-external _OSCreateObjectFromSerialization.cold.1
00007ffa1c0edc6d (__TEXT,__text) external _OSCreateSerializationFromBytes
00007ffa1c10d37a (__TEXT,__text) non-external _OSCreateSerializationFromBytes.cold.1
00007ffa1c0edb7c (__TEXT,__text) external _OSCreateSerializationFromObject
00007ffa1c0ec2fb (__TEXT,__text) external _OSDataAppendBytes
00007ffa1c0ec265 (__TEXT,__text) external _OSDataCreate
00007ffa1c10cfec (__TEXT,__text) non-external _OSDataCreate.cold.1
00007ffa1c0ec211 (__TEXT,__text) external _OSDataGetBytes
00007ffa1c0ec1c8 (__TEXT,__text) external _OSDataGetBytesPtr
00007ffa1c0ec200 (__TEXT,__text) external _OSDataGetLength
00007ffa41b421d8 (__DATA_CONST,__const) external _OSData_Class
00007ffa1c0ec46b (__TEXT,__text) external _OSDictionaryApply
00007ffa1c0ec40a (__TEXT,__text) external _OSDictionaryCreate
00007ffa1c0ec451 (__TEXT,__text) external _OSDictionaryGetCount
00007ffa1c0ecb19 (__TEXT,__text) external _OSDictionaryGetStringValue
00007ffa1c0eccc0 (__TEXT,__text) external _OSDictionaryGetUInt64Value
00007ffa1c0eca94 (__TEXT,__text) external _OSDictionaryGetValue
00007ffa1c0ecc7b (__TEXT,__text) external _OSDictionarySetStringValue
00007ffa1c0ecd5c (__TEXT,__text) external _OSDictionarySetUInt64Value
00007ffa1c0ec726 (__TEXT,__text) external _OSDictionarySetValue
00007ffa41b422d0 (__DATA_CONST,__const) external _OSDictionary_Class
00007ffa41b423c8 (__DATA_CONST,__const) external _OSMappedFile_Class
00007ffa1c0ec3b4 (__TEXT,__text) external _OSNumberCreateWithUInt64Value
00007ffa1c0ec393 (__TEXT,__text) external _OSNumberGetUInt64Value
00007ffa41b424c0 (__DATA_CONST,__const) external _OSNumber_Class
00007ffa1c0ee1f2 (__TEXT,__text) external _OSObjectLog
00007ffa1c0eb0e3 (__TEXT,__text) external _OSObjectRelease
00007ffa1c0eb0d8 (__TEXT,__text) external _OSObjectRetain
00007ffa41b425b8 (__DATA_CONST,__const) external _OSObject_Class
00007ffa41b42768 (__DATA_CONST,__const) external _OSOrderedSet_Class
00007ffa1c0e1497 (__TEXT,__text) external _OSReportWithBacktrace
00007ffa1c0edd92 (__TEXT,__text) external _OSSerializationGetBytes
00007ffa41b42860 (__DATA_CONST,__const) external _OSSerialization_Class
00007ffa41b42958 (__DATA_CONST,__const) external _OSSet_Class
00007ffa1c0ebc62 (__TEXT,__text) external _OSStringCreate
00007ffa1c10cefb (__TEXT,__text) non-external _OSStringCreate.cold.1
00007ffa1c10cf1e (__TEXT,__text) non-external _OSStringCreate.cold.2
00007ffa1c10cf3f (__TEXT,__text) non-external _OSStringCreate.cold.3
00007ffa1c0ebc17 (__TEXT,__text) external _OSStringGetLength
00007ffa1c0ebbde (__TEXT,__text) external _OSStringGetStringPtr
00007ffa41b42a50 (__DATA_CONST,__const) external _OSString_Class
00007ffa1c0e0f95 (__TEXT,__text) external _OSSynchronizeIO
00007ffa42cabce0 (__DATA,__bss) non-external _OSUniqueStrings
00007ffa1c0e17c0 (__TEXT,__text) external _PE_i_can_has_debugger
00007ffa1c0fb46b (__TEXT,__text) external _SHA1Final
00007ffa1c0fb280 (__TEXT,__text) external _SHA1Init
00007ffa1c0fb408 (__TEXT,__text) non-external _SHA1ToDi
00007ffa1c0fb363 (__TEXT,__text) external _SHA1Update
00007ffa1c0fbc6e (__TEXT,__text) external _SHA256_Final
00007ffa1c0fbbfb (__TEXT,__text) external _SHA256_Init
00007ffa1c10daf0 (__TEXT,__text) non-external _SHA256_Init.cold.1
00007ffa1c0fbc3b (__TEXT,__text) external _SHA256_Update
00007ffa1c0fbd0c (__TEXT,__text) external _SHA384_Final
00007ffa1c0fbc93 (__TEXT,__text) external _SHA384_Init
00007ffa1c10db09 (__TEXT,__text) non-external _SHA384_Init.cold.1
00007ffa1c0fbcd9 (__TEXT,__text) external _SHA384_Update
00007ffa1c0fbdaa (__TEXT,__text) external _SHA512_Final
00007ffa1c0fbd31 (__TEXT,__text) external _SHA512_Init
00007ffa1c10db22 (__TEXT,__text) non-external _SHA512_Init.cold.1
00007ffa1c0fbd77 (__TEXT,__text) external _SHA512_Update
                 (undefined) external __Block_copy (from libSystem)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __Block_release (from libSystem)
00007ffa1c0e22da (__TEXT,__text) non-external __GLOBAL__sub_I_IOLib.cpp
00007ffa1c0fbdcf (__TEXT,__text) non-external __GLOBAL__sub_I_ObjectIntrospection.mm
00007ffa41b42b48 (__DATA_CONST,__const) external __IOBlockStorageDevice_Class
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __NSGetExecutablePath (from libSystem)
00007ffa1c0e264a (__TEXT,__text) non-external (was a private external) __Z11OSFindClassP18IOUserServer_IVarsPKc
00007ffa1c10b89e (__TEXT,__text) non-external __Z11OSFindClassP18IOUserServer_IVarsPKc.cold.1
00007ffa1c10b8c1 (__TEXT,__text) non-external __Z11OSFindClassP18IOUserServer_IVarsPKc.cold.2
00007ffa1c0e3f61 (__TEXT,__text) non-external (was a private external) __Z11ThreadStartPFPvS_ES_
00007ffa1c10beed (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.1
00007ffa1c10bf10 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.2
00007ffa1c10bf33 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.3
00007ffa1c10bf56 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.4
00007ffa1c10bf79 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.5
00007ffa1c0e305e (__TEXT,__text) non-external (was a private external) __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC
00007ffa1c10bbc8 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.1
00007ffa1c10bbeb (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.2
00007ffa1c10bc0e (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.3
00007ffa1c10bc31 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.4
00007ffa1c0e28f4 (__TEXT,__text) non-external (was a private external) __Z12OSObjectFreeP15OSMetaClassBase
00007ffa1c10b94d (__TEXT,__text) non-external __Z12OSObjectFreeP15OSMetaClassBase.cold.1
00007ffa1c0ed182 (__TEXT,__text) non-external (was a private external) __Z15OSArrayGetEntryP7OSArraym
00007ffa1c0ef940 (__TEXT,__text) non-external (was a private external) __Z15OSBooleanCreatev
00007ffa1c0e2488 (__TEXT,__text) non-external (was a private external) __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass
00007ffa1c10b835 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.1
00007ffa1c10b858 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.2
00007ffa1c10b87b (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.3
00007ffa1c0ed295 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetStringP7OSArraym
00007ffa1c0ed305 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetUInt64P7OSArraym
00007ffa1c0ed2c0 (__TEXT,__text) non-external (was a private external) __Z16OSArraySetStringP7OSArraymPKc
00007ffa1c0e269f (__TEXT,__text) external __Z16OSObjectAllocateP11OSMetaClassPP8OSObject
00007ffa1c0ed690 (__TEXT,__text) non-external (was a private external) __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry
00007ffa1c10d262 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.1
00007ffa1c10d285 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.2
00007ffa1c10d2a8 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.3
00007ffa1c10d2cb (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.4
00007ffa1c10d2ee (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.5
00007ffa1c10d311 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.6
00007ffa1c0e0ade (__TEXT,__text) external __Z16OSUnserializeXMLPKcPP8OSString
00007ffa1c0e0bd6 (__TEXT,__text) external __Z16OSUnserializeXMLPKcmPP8OSString
00007ffa1c0e2bb2 (__TEXT,__text) external __Z17OSObjectTryRetainP8OSObject
00007ffa1c10b991 (__TEXT,__text) non-external __Z17OSObjectTryRetainP8OSObject.cold.1
00007ffa1c0e2ca8 (__TEXT,__text) non-external (was a private external) __Z17SearchMethodArrayyPKyjPy
00007ffa1c0e46a3 (__TEXT,__text) non-external (was a private external) __Z18OSLoadBundleByPathP18IOUserServer_IVarsPKc
00007ffa1c0e23fb (__TEXT,__text) non-external (was a private external) __Z18OSStringArrayIndexP10IOPStringsPKc
00007ffa1c0e2363 (__TEXT,__text) non-external (was a private external) __Z19OSCopyInStringArrayPKcj
00007ffa1c0eddb0 (__TEXT,__text) non-external (was a private external) __Z19OSObjectLogInternalP8OSObjectj
00007ffa1c10d39d (__TEXT,__text) non-external __Z19OSObjectLogInternalP8OSObjectj.cold.1
00007ffa1c0e27f5 (__TEXT,__text) non-external (was a private external) __Z20OSObjectPortFinalizeP15OSMetaClassBase
00007ffa1c10b907 (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.1
00007ffa1c10b92a (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.2
00007ffa1c0eb158 (__TEXT,__text) non-external (was a private external) __Z20OSSerializationValueP15OSSerializationj
00007ffa1c10ce29 (__TEXT,__text) non-external __Z20OSSerializationValueP15OSSerializationj.cold.1
00007ffa1c0eb0ee (__TEXT,__text) non-external (was a private external) __Z21OSSerializationTypeIDj
00007ffa1c10cde3 (__TEXT,__text) non-external __Z21OSSerializationTypeIDj.cold.1
00007ffa1c0df970 (__TEXT,__text) non-external (was a private external) __Z21OSUnserializeXMLparsePv
00007ffa1c0ec178 (__TEXT,__text) non-external (was a private external) __Z23OSSerializationGetBytesPKjPvmm
00007ffa1c0ed36e (__TEXT,__text) non-external (was a private external) __Z26OSSerializationAppendBytesP15OSSerializationPKvm
00007ffa1c10d078 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.1
00007ffa1c10d09b (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.2
00007ffa1c10d0be (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.3
00007ffa1c10d0e1 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.4
00007ffa1c10d104 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.5
00007ffa1c0ec144 (__TEXT,__text) non-external (was a private external) __Z26OSSerializationGetBytesPtrPKjmm
00007ffa1c0ec377 (__TEXT,__text) non-external (was a private external) __Z29OSSerializationGetUInt64ValuePKj
00007ffa1c0ed4a5 (__TEXT,__text) non-external (was a private external) __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry
00007ffa1c10d127 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.1
00007ffa1c10d14a (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.2
00007ffa1c10d16d (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.3
00007ffa1c0e4056 (__TEXT,__text) non-external (was a private external) __Z6ServerPvP17mach_msg_header_tS1_
00007ffa1c10bf9c (__TEXT,__text) non-external __Z6ServerPvP17mach_msg_header_tS1_.cold.1
00007ffa1c10bfbf (__TEXT,__text) non-external __Z6ServerPvP17mach_msg_header_tS1_.cold.2
00007ffa1c0e467b (__TEXT,__text) non-external (was a private external) __Z7astrcpyPKc
00007ffa1c0e3a70 (__TEXT,__text) non-external __ZL10IORPCAsyncPv
00007ffa1c10a506 (__TEXT,__text) non-external __ZL10OSData_NewP11OSMetaClass
00007ffa1c0e09ee (__TEXT,__text) non-external __ZL10buildArrayP12parser_stateP6object
00007ffa1c0e1bc3 (__TEXT,__text) non-external __ZL10getHexDataP12parser_statePj
00007ffa1c10b7ab (__TEXT,__text) non-external __ZL10getHexDataP12parser_statePj.cold.1
00007ffa1c0eaf2e (__TEXT,__text) non-external __ZL10uiomessagePv
00007ffa1c10a41a (__TEXT,__text) non-external __ZL11OSArray_NewP11OSMetaClass
00007ffa1c0eee56 (__TEXT,__text) non-external __ZL11OSSetCreatev
00007ffa1c10dff0 (__TEXT,__const) non-external __ZL11yytranslate
00007ffa1c10b570 (__TEXT,__text) non-external __ZL12IOThread_NewP11OSMetaClass
00007ffa1c109e3e (__TEXT,__text) non-external __ZL12OSAction_NewP11OSMetaClass
00007ffa1c10a488 (__TEXT,__text) non-external __ZL12OSBundle_NewP11OSMetaClass
00007ffa1c10a5a4 (__TEXT,__text) non-external __ZL12OSNumber_NewP11OSMetaClass
00007ffa1c10a5d4 (__TEXT,__text) non-external __ZL12OSObject_NewP11OSMetaClass
00007ffa1c0ebf2f (__TEXT,__text) non-external __ZL12OSStringFindjU13block_pointerFbP8OSStringE
00007ffa1c0ebeed (__TEXT,__text) non-external __ZL12OSStringHashPKcm
00007ffa1c10cf62 (__TEXT,__text) non-external __ZL12OSStringHashPKcm.cold.1
00007ffa1c10ac26 (__TEXT,__text) non-external __ZL12OSString_NewP11OSMetaClass
00007ffa1c0fc298 (__TEXT,__text) non-external __ZL13IOCommand_NewP11OSMetaClass
00007ffa1c101640 (__TEXT,__text) non-external __ZL13IOService_NewP11OSMetaClass
00007ffa1c0e9dbd (__TEXT,__text) non-external __ZL13IOThreadStartPv
00007ffa1c10cbaf (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.1
00007ffa1c10cbd2 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.2
00007ffa1c10cbf5 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.3
00007ffa1c10a458 (__TEXT,__text) non-external __ZL13OSBoolean_NewP11OSMetaClass
00007ffa1c101550 (__TEXT,__text) non-external __ZL14IOReporter_NewP11OSMetaClass
00007ffa1c0e59c2 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si
00007ffa1c10c63b (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.1
00007ffa1c10c65e (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.2
00007ffa1c10c681 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.3
00007ffa1c10c6a4 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.4
00007ffa1c0fea08 (__TEXT,__text) non-external __ZL15IOEventLink_NewP11OSMetaClass
00007ffa1c1012bc (__TEXT,__text) non-external __ZL15IOMemoryMap_NewP11OSMetaClass
00007ffa1c1097d0 (__TEXT,__text) non-external __ZL15IOWorkGroup_NewP11OSMetaClass
00007ffa1c10a4d6 (__TEXT,__text) non-external __ZL15OSContainer_NewP11OSMetaClass
00007ffa1c0e433d (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb
00007ffa1c10bfe2 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.1
00007ffa1c10c005 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.2
00007ffa1c10c028 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.3
00007ffa1c10c04b (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.4
00007ffa1c0e511a (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc
00007ffa1c10c440 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.1
00007ffa1c10c463 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.2
00007ffa1c10c486 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.3
00007ffa1c10c4a9 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.4
00007ffa1c0ea949 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject
