00000002369e9a78 (__TEXT,__text) non-external +[CBOR cborFalse]
00000002369ec518 (__TEXT,__text) non-external +[NSData(COSE) dataWithCOSE:]
00000002369edeec (__TEXT,__text) non-external +[NSData(COSEKey) dataWithCOSEKey:]
00000002369e9d04 (__TEXT,__text) non-external -[CBOR .cxx_destruct]
00000002369e8490 (__TEXT,__text) non-external -[CBOR array]
00000002369e824c (__TEXT,__text) non-external -[CBOR boolValue]
00000002369e9ca8 (__TEXT,__text) non-external -[CBOR cachedHash]
00000002369e7bd4 (__TEXT,__text) non-external -[CBOR copyWithZone:]
00000002369e83d4 (__TEXT,__text) non-external -[CBOR data]
00000002369e8578 (__TEXT,__text) non-external -[CBOR date]
00000002369e8b64 (__TEXT,__text) non-external -[CBOR description]
00000002369e8504 (__TEXT,__text) non-external -[CBOR dictionary]
00000002369e814c (__TEXT,__text) non-external -[CBOR doubleValue]
00000002369e9b88 (__TEXT,__text) non-external -[CBOR encodeToEmbeddedCBORData]
00000002369e7f9c (__TEXT,__text) non-external -[CBOR hash]
00000002369e7ef0 (__TEXT,__text) non-external -[CBOR initWithCbor:tag:]
00000002369e7c18 (__TEXT,__text) non-external -[CBOR initWithType:value:valueSize:tag:]
00000002369e8a58 (__TEXT,__text) non-external -[CBOR isBoolean]
00000002369e8a6c (__TEXT,__text) non-external -[CBOR isDate]
00000002369e8b04 (__TEXT,__text) non-external -[CBOR isEmbeddedCBORData]
00000002369e7fa0 (__TEXT,__text) non-external -[CBOR isEqual:]
00000002369e8a44 (__TEXT,__text) non-external -[CBOR isFloatNumber]
00000002369e8a28 (__TEXT,__text) non-external -[CBOR isWholeNumber]
00000002369e8054 (__TEXT,__text) non-external -[CBOR longLongValue]
00000002369e81c0 (__TEXT,__text) non-external -[CBOR numeric]
00000002369e9cb8 (__TEXT,__text) non-external -[CBOR orderedKeys]
00000002369e9cb0 (__TEXT,__text) non-external -[CBOR setCachedHash:]
00000002369e9cc0 (__TEXT,__text) non-external -[CBOR setOrderedKeys:]
00000002369e9c08 (__TEXT,__text) non-external -[CBOR setTag:]
00000002369e9c54 (__TEXT,__text) non-external -[CBOR setValue:]
00000002369e9ca0 (__TEXT,__text) non-external -[CBOR setValueSize:]
00000002369e82cc (__TEXT,__text) non-external -[CBOR string]
00000002369e9c00 (__TEXT,__text) non-external -[CBOR tag]
00000002369e9bf8 (__TEXT,__text) non-external -[CBOR type]
00000002369e80c8 (__TEXT,__text) non-external -[CBOR unsignedLongLongValue]
00000002369e9c98 (__TEXT,__text) non-external -[CBOR valueSize]
00000002369e9c4c (__TEXT,__text) non-external -[CBOR value]
00000002369e597c (__TEXT,__text) non-external -[CBOR(Decoder) asJSON]
00000002369eb200 (__TEXT,__text) non-external -[COSE .cxx_destruct]
00000002369ea600 (__TEXT,__text) non-external -[COSE _parseCommonHeaderParameters:]
00000002369eac70 (__TEXT,__text) non-external -[COSE _searchForHeaderLabel:]
00000002369eb1d0 (__TEXT,__text) non-external -[COSE algorithmIdentifier]
00000002369eb1e0 (__TEXT,__text) non-external -[COSE contentType]
00000002369ea534 (__TEXT,__text) non-external -[COSE content]
00000002369eb1d8 (__TEXT,__text) non-external -[COSE criticalHeaderParameters]
00000002369e9ed8 (__TEXT,__text) non-external -[COSE initWithCBOR:]
00000002369e9d54 (__TEXT,__text) non-external -[COSE initWithData:]
00000002369e9da8 (__TEXT,__text) non-external -[COSE initWithData:type:]
00000002369ea1fc (__TEXT,__text) non-external -[COSE initWithProtectedHeaders:unprotectedHeaders:payload:type:additionalCBORs:]
00000002369eb1f0 (__TEXT,__text) non-external -[COSE initializationVector]
00000002369eb1e8 (__TEXT,__text) non-external -[COSE keyIdentifier]
00000002369eb1f8 (__TEXT,__text) non-external -[COSE partialInitializationVector]
00000002369ea434 (__TEXT,__text) non-external -[COSE protectedHeaderParameters]
00000002369eb1c8 (__TEXT,__text) non-external -[COSE protectedHeadererDictionary]
00000002369eb280 (__TEXT,__text) non-external -[COSE setType:]
00000002369eb304 (__TEXT,__text) non-external -[COSE sourceObject]
00000002369ea5c8 (__TEXT,__text) non-external -[COSE tag]
00000002369eb1c0 (__TEXT,__text) non-external -[COSE type]
00000002369ea4b4 (__TEXT,__text) non-external -[COSE unprotectedHeaderParameters]
00000002369ede4c (__TEXT,__text) non-external -[COSEKey .cxx_destruct]
00000002369ed180 (__TEXT,__text) non-external -[COSEKey _initCBORWithMemberParams]
00000002369ede24 (__TEXT,__text) non-external -[COSEKey algorithm]
00000002369ede3c (__TEXT,__text) non-external -[COSEKey baseInitializationVector]
00000002369edcdc (__TEXT,__text) non-external -[COSEKey ecCurveD]
00000002369edbec (__TEXT,__text) non-external -[COSEKey ecCurveIdentifier]
00000002369edc3c (__TEXT,__text) non-external -[COSEKey ecCurveX]
00000002369edc8c (__TEXT,__text) non-external -[COSEKey ecCurveY]
00000002369eb304 (__TEXT,__text) non-external -[COSEKey getSource]
00000002369ede2c (__TEXT,__text) non-external -[COSEKey identifier]
00000002369ed758 (__TEXT,__text) non-external -[COSEKey initEC2WithAlgorithm:curveIdentifier:x:signBit:d:keyOperations:keyIdentifier:]
00000002369ed900 (__TEXT,__text) non-external -[COSEKey initEC2WithAlgorithm:curveIdentifier:x:y:d:keyOperations:keyIdentifier:]
00000002369eda90 (__TEXT,__text) non-external -[COSEKey initOKPWithAlgorithm:curveIdentifier:x:d:keyOperations:keyIdentifier:]
00000002369ec5d8 (__TEXT,__text) non-external -[COSEKey initWithCBOR:]
00000002369ec584 (__TEXT,__text) non-external -[COSEKey initWithData:]
00000002369eddcc (__TEXT,__text) non-external -[COSEKey okpCurveD]
00000002369edd2c (__TEXT,__text) non-external -[COSEKey okpCurveIdentifier]
00000002369edd7c (__TEXT,__text) non-external -[COSEKey okpCurveX]
00000002369ede34 (__TEXT,__text) non-external -[COSEKey operations]
00000002369ede44 (__TEXT,__text) non-external -[COSEKey symmetricKey]
00000002369ede1c (__TEXT,__text) non-external -[COSEKey type]
00000002369ec50c (__TEXT,__text) non-external -[COSE_Mac0 .cxx_destruct]
00000002369ec460 (__TEXT,__text) non-external -[COSE_Mac0 description]
00000002369ec280 (__TEXT,__text) non-external -[COSE_Mac0 generateMessageForMACWithApplicationProtectedAttributes:]
00000002369ebf4c (__TEXT,__text) non-external -[COSE_Mac0 initWithCBOR:]
00000002369ec15c (__TEXT,__text) non-external -[COSE_Mac0 initWithProtectedHeaders:unprotectedHeaders:payload:tag:]
00000002369ec504 (__TEXT,__text) non-external -[COSE_Mac0 mac]
00000002369ebe68 (__TEXT,__text) non-external -[COSE_Sign1 description]
00000002369eb484 (__TEXT,__text) non-external -[COSE_Sign1 initWithCBOR:]
00000002369eb354 (__TEXT,__text) non-external -[COSE_Sign1 initWithProtectedHeaders:unprotectedHeaders:payload:signature:includeCBORTag:]
00000002369ebdb4 (__TEXT,__text) non-external -[COSE_Sign1 signature]
00000002369eb66c (__TEXT,__text) non-external -[COSE_Sign1 x509bag]
00000002369eb864 (__TEXT,__text) non-external -[COSE_Sign1 x509chain]
00000002369ebb20 (__TEXT,__text) non-external -[COSE_Sign1 x509hashAlgorithmIdentifier]
00000002369ebc88 (__TEXT,__text) non-external -[COSE_Sign1 x509hashValue]
00000002369eba78 (__TEXT,__text) non-external -[COSE_Sign1 x509uri]
00000002369f3024 (__TEXT,__gcc_except_tab) non-external GCC_except_table9
00000002369f0fc0 (__TEXT,__const) external _CBORLibraryVersionNumber
00000002369f0f90 (__TEXT,__const) external _CBORLibraryVersionString
00000002369f0fe8 (__TEXT,__const) non-external _COMPRESSED_EC2_Y_ONE
00000002369f0fe9 (__TEXT,__const) non-external _COMPRESSED_EC2_Y_ZERO
00000002953bf558 (__DATA,__data) external _COSEHeaderX509Bag
00000002953bf560 (__DATA,__data) external _COSEHeaderX509Chain
00000002953bf570 (__DATA,__data) external _COSEHeaderX509Hash
00000002953bf578 (__DATA,__data) external _COSEHeaderX509HashSender
00000002953bf580 (__DATA,__data) external _COSEHeaderX509Uri
00000002953bf588 (__DATA,__data) external _COSEHeaderX509UriSender
00000002953bf568 (__DATA,__data) external _COSEHeaderx509ChainSender
0000000298a536e8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_CBOR
0000000298a53738 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_COSE
0000000298a53828 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_COSEKey
0000000298a537d8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_COSE_Mac0
0000000298a53788 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_COSE_Sign1
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantIntegerNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDateFormatter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSLocale (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNull (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSTimeZone (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$__TtCs12_SwiftObject (from libswiftCore)
00000002953bf1e0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._cachedHash
00000002953bf1e4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._orderedKeys
00000002953bf1d4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._tag
00000002953bf1d0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._type
00000002953bf1d8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._value
00000002953bf1dc (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._valueSize
00000002953bf1f4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._algorithmIdentifier
00000002953bf1e8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._cborObj
00000002953bf1fc (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._contentType
00000002953bf1f8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._criticalHeaderParameters
00000002953bf204 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._initializationVector
00000002953bf200 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._keyIdentifier
00000002953bf208 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._partialInitializationVector
00000002953bf1f0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._protectedHeadererDictionary
00000002953bf1ec (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._type
00000002953bf228 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._algorithm
00000002953bf234 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._baseInitializationVector
00000002953bf210 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._cborObj
00000002953bf214 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._curveID
00000002953bf22c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._identifier
00000002953bf230 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._operations
00000002953bf220 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._paramD
00000002953bf218 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._paramX
00000002953bf21c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._paramY
00000002953bf238 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._symmetricKey
00000002953bf224 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._type
00000002953bf20c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE_Mac0._mac
0000000298a53710 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_CBOR
0000000298a53760 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_COSE
0000000298a53850 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_COSEKey
0000000298a53800 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_COSE_Mac0
0000000298a537b0 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_COSE_Sign1
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
0000000298a53ba0 (__DATA_DIRTY,__data) non-external (was a private external) _OBJC_METACLASS_$__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
                 (undefined) external _OBJC_METACLASS_$__TtCs12_SwiftObject (from libswiftCore)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
000000029b3e7038 (__AUTH_CONST,__objc_const) non-external __DATA__TtC11CBORLibrary11CBORDecoder
000000029b3e72d8 (__AUTH_CONST,__objc_const) non-external __DATA__TtC11CBORLibrary11CBOREncoder
000000029b3e73d0 (__AUTH_CONST,__objc_const) non-external __DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623012_CBOREncoder
0000000298a535c0 (__DATA_DIRTY,__objc_data) non-external __DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
000000029b3e74a8 (__AUTH_CONST,__objc_const) non-external __DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623021_CBORReferenceEncoder
000000029b3e7130 (__AUTH_CONST,__objc_const) non-external __DATA__TtC11CBORLibraryP33_9AD5FE8BA51478D9E31399B9411E4CF612_CBORDecoder
00000002369ef048 (__TEXT,__objc_methlist) non-external __INSTANCE_METHODS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
000000029b3e7010 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC11CBORLibrary11CBORDecoder
000000029b3e7270 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC11CBORLibrary11CBOREncoder
000000029b3e7368 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623012_CBOREncoder
000000029b3e71c0 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
000000029b3e7460 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623021_CBORReferenceEncoder
000000029b3e70c8 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_9AD5FE8BA51478D9E31399B9411E4CF612_CBORDecoder
000000029b3e6fc8 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibrary11CBORDecoder
000000029b3e7228 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibrary11CBOREncoder
000000029b3e7320 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623012_CBOREncoder
000000029b3e7178 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
000000029b3e7418 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623021_CBORReferenceEncoder
000000029b3e7080 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_9AD5FE8BA51478D9E31399B9411E4CF612_CBORDecoder
                 (undefined) external __NSConcreteStackBlock (from libSystem)
000000029b3e74f0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSData_$_CBOR
00000002369ef068 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CBOR(Decoder|Decoder_Private|COSE|COSEKey)
00000002369ef1d0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_NSData(CBOR|COSE|COSEKey)
00000002369ef208 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CBOR(Decoder|Decoder_Private|COSE|COSEKey)
00000002369ef3b8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSE
00000002369ef480 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSEKey
00000002369ef570 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSE_Mac0
00000002369ef5c0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSE_Sign1
000000029b3e7680 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CBOR
000000029b3e7930 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_COSE
000000029b3e7d78 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_COSEKey
000000029b3e7ca8 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_COSE_Mac0
000000029b3e7748 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CBOR
000000029b3e7a58 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSE
000000029b3e7ee0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSEKey
000000029b3e7cd0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSE_Mac0
000000029b3e7bb0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSE_Sign1
000000029b3e7530 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NSObject
00000002369ef638 (__TEXT,__objc_methlist) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSCopying
00000002369ef650 (__TEXT,__objc_methlist) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSObject
00000002369ef740 (__TEXT,__objc_methlist) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_NSObject
000000029b3e7618 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSCopying
000000029b3e7578 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSObject
000000029b3e7620 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CBOR
000000029b3e78a0 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CBOR
000000029b3e7b20 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSE
000000029b3e7fb8 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSEKey
000000029b3e7ce8 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSE_Mac0
000000029b3e7c18 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSE_Sign1
000000028fb12930 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSCopying
000000028fb12928 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSObject
000000029b3e7638 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CBOR
000000029b3e78e8 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSE
000000029b3e7d30 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSEKey
000000029b3e7c60 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSE_Mac0
000000029b3e7b68 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSE_Sign1
00000002953bf4f8 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSCopying
00000002953bf498 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSObject
000000028fb12f50 (__DATA_CONST,__objc_protorefs) non-external (was a private external) __OBJC_PROTOCOL_REFERENCE_$_NSObject
                 (undefined) external __Unwind_Resume (from libSystem)
00000002369eaee4 (__TEXT,__text) non-external ___30-[COSE _searchForHeaderLabel:]_block_invoke
00000002369eb0a4 (__TEXT,__text) non-external ___30-[COSE _searchForHeaderLabel:]_block_invoke.62
00000002369e46f8 (__TEXT,__text) non-external ___51+[CBOR(Encoder) encodeMajorType5:encodingKeyOrder:]_block_invoke
00000002369eaecc (__TEXT,__text) non-external ___Block_byref_object_copy_
00000002369eaedc (__TEXT,__text) non-external ___Block_byref_object_dispose_
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
                 (undefined) external ___NSDictionary0__struct (from CoreFoundation)
                 (undefined) external ___assert_rtn (from libSystem)
000000028fb128a8 (__DATA_CONST,__const) non-external ___block_descriptor_40_e23_q24?0"CBOR"8"CBOR"16l
000000029b3e6758 (__AUTH_CONST,__const) non-external ___block_descriptor_56_e8_32s40r48r_e27_v32?0"CBOR"8"CBOR"16^B24l
                 (undefined) external ___chkstk_darwin (from libSystem)
00000002369eb000 (__TEXT,__text) non-external ___copy_helper_block_e8_32s40r48r
00000002369eb058 (__TEXT,__text) non-external ___destroy_helper_block_e8_32s40r48r
                 (undefined) external ___objc_personality_v0 (from libobjc)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___strlcpy_chk (from libSystem)
00000002369d0848 (__TEXT,__text) non-external ___swift_allocate_boxed_opaque_existential_1Tm
00000002369d0d3c (__TEXT,__text) non-external (was a private external) ___swift_allocate_value_buffer
00000002369d07b4 (__TEXT,__text) non-external (was a private external) ___swift_deallocate_boxed_opaque_existential_1
00000002369d0a2c (__TEXT,__text) non-external (was a private external) ___swift_destroy_boxed_opaque_existential_1
00000002369d0a2c (__TEXT,__text) non-external ___swift_destroy_boxed_opaque_existential_1Tm
00000002369d08d8 (__TEXT,__text) non-external (was a private external) ___swift_instantiateConcreteTypeFromMangledNameAbstractV2
00000002369ceba0 (__TEXT,__text) non-external (was a private external) ___swift_instantiateConcreteTypeFromMangledNameV2
00000002369d1de8 (__TEXT,__text) non-external (was a private external) ___swift_instantiateGenericMetadata
00000002369e42bc (__TEXT,__text) non-external (was a private external) ___swift_memcpy16_8
00000002369e2168 (__TEXT,__text) non-external (was a private external) ___swift_memcpy17_8
00000002369d95f4 (__TEXT,__text) non-external (was a private external) ___swift_memcpy1_1
00000002369d0ea8 (__TEXT,__text) non-external (was a private external) ___swift_memcpy24_8
00000002369d9bec (__TEXT,__text) non-external (was a private external) ___swift_memcpy25_8
00000002369d0f44 (__TEXT,__text) non-external (was a private external) ___swift_memcpy32_8
00000002369d9468 (__TEXT,__text) non-external (was a private external) ___swift_memcpy8_8
00000002369d1cf4 (__TEXT,__text) non-external (was a private external) ___swift_mutable_project_boxed_opaque_existential_1
00000002369d9600 (__TEXT,__text) non-external (was a private external) ___swift_noop_void_return
00000002369d0804 (__TEXT,__text) non-external (was a private external) ___swift_project_boxed_opaque_existential_1
00000002369cebf4 (__TEXT,__text) non-external (was a private external) ___swift_project_value_buffer
00000002369efec0 (__TEXT,__const) non-external (was a private external) ___swift_reflection_version
00000002369f0f50 (__TEXT,__const) non-external ___unnamed_2
00000002369f09b8 (__TEXT,__const) non-external ___unnamed_34
00000002369efa38 (__TEXT,__const) non-external ___unnamed_9
00000002369e8958 (__TEXT,__text) non-external __getRFC3339DateFormatter
                 (undefined) external __objc_empty_cache (from libobjc)
                 (undefined) external __os_log_default (from libSystem)
                 (undefined) external __os_log_fault_impl (from libSystem)
                 (undefined) external __swiftEmptyArrayStorage (from libswiftCore)
                 (undefined) external __swiftEmptyDictionarySingleton (from libswiftCore)
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftCoreFoundation (from libswiftCoreFoundation)
