00007ffa1c3727ed (__TEXT,__text) non-external +[NFPromise new]
00007ffa1c37048b (__TEXT,__text) non-external -[NFEventManager .cxx_destruct]
00007ffa1c36fd51 (__TEXT,__text) non-external -[NFEventManager attemptTriggersForCurrentEvent:]
00007ffa1c370477 (__TEXT,__text) non-external -[NFEventManager events]
00007ffa1c36f585 (__TEXT,__text) non-external -[NFEventManager fireEvent:]
00007ffa1c3777ee (__TEXT,__text) non-external -[NFEventManager fireEvent:].cold.1
00007ffa1c37020b (__TEXT,__text) non-external -[NFEventManager handleAlwaysTrigger:event:]
00007ffa1c36ff35 (__TEXT,__text) non-external -[NFEventManager handleOnceTrigger:event:]
00007ffa1c36f510 (__TEXT,__text) non-external -[NFEventManager init]
00007ffa1c36f7c2 (__TEXT,__text) non-external -[NFEventManager triggerAlwaysWhenAllEventsHaveOccurred:block:]
00007ffa1c3779b0 (__TEXT,__text) non-external -[NFEventManager triggerAlwaysWhenAllEventsHaveOccurred:block:].cold.1
00007ffa1c36fbb4 (__TEXT,__text) non-external -[NFEventManager triggerOnAnyEvent:block:]
00007ffa1c377c53 (__TEXT,__text) non-external -[NFEventManager triggerOnAnyEvent:block:].cold.1
00007ffa1c36fae6 (__TEXT,__text) non-external -[NFEventManager triggerOnEvent:block:]
00007ffa1c377b72 (__TEXT,__text) non-external -[NFEventManager triggerOnEvent:block:].cold.1
00007ffa1c36f630 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAllEventsHaveOccurred:block:]
00007ffa1c3778cf (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAllEventsHaveOccurred:block:].cold.1
00007ffa1c36f951 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAnyEventHasOccurred:block:]
00007ffa1c377a91 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAnyEventHasOccurred:block:].cold.1
00007ffa1c370481 (__TEXT,__text) non-external -[NFEventManager triggers]
00007ffa1c3705c0 (__TEXT,__text) non-external -[NFEventTrigger .cxx_destruct]
00007ffa1c3705a2 (__TEXT,__text) non-external -[NFEventTrigger block]
00007ffa1c370598 (__TEXT,__text) non-external -[NFEventTrigger events]
00007ffa1c3705b6 (__TEXT,__text) non-external -[NFEventTrigger fireOnAny]
00007ffa1c3705ac (__TEXT,__text) non-external -[NFEventTrigger fireOnce]
00007ffa1c3704b3 (__TEXT,__text) non-external -[NFEventTrigger initWithKey:fireOnce:fireOnAny:events:block:]
00007ffa1c37058e (__TEXT,__text) non-external -[NFEventTrigger key]
00007ffa1c37207d (__TEXT,__text) non-external -[NFLazy .cxx_destruct]
00007ffa1c372069 (__TEXT,__text) non-external -[NFLazy constructor]
00007ffa1c371e57 (__TEXT,__text) non-external -[NFLazy initWithConstructor:]
00007ffa1c372073 (__TEXT,__text) non-external -[NFLazy lock]
00007ffa1c371fdd (__TEXT,__text) non-external -[NFLazy reset]
00007ffa1c371f03 (__TEXT,__text) non-external -[NFLazy value]
00007ffa1c3773c2 (__TEXT,__text) non-external -[NFMultiDelegate .cxx_destruct]
00007ffa1c376b2e (__TEXT,__text) non-external -[NFMultiDelegate addDelegate:]
00007ffa1c37737c (__TEXT,__text) non-external -[NFMultiDelegate children]
00007ffa1c376d56 (__TEXT,__text) non-external -[NFMultiDelegate conformsToProtocol:]
00007ffa1c377386 (__TEXT,__text) non-external -[NFMultiDelegate delegateProtocol]
00007ffa1c376b25 (__TEXT,__text) non-external -[NFMultiDelegate delegate]
00007ffa1c377196 (__TEXT,__text) non-external -[NFMultiDelegate forwardInvocation:]
00007ffa1c376a16 (__TEXT,__text) non-external -[NFMultiDelegate initWithDelegate:delegateProtocol:]
00007ffa1c376a2b (__TEXT,__text) non-external -[NFMultiDelegate initWithDelegate:delegateProtocol:options:]
00007ffa1c377390 (__TEXT,__text) non-external -[NFMultiDelegate lock]
00007ffa1c376f94 (__TEXT,__text) non-external -[NFMultiDelegate methodSignatureForSelector:]
00007ffa1c376bc9 (__TEXT,__text) non-external -[NFMultiDelegate removeDelegate:]
00007ffa1c376c64 (__TEXT,__text) non-external -[NFMultiDelegate replaceDelegate:withDelegate:]
00007ffa1c376de4 (__TEXT,__text) non-external -[NFMultiDelegate respondsToSelector:]
00007ffa1c37739a (__TEXT,__text) non-external -[NFMultiDelegate setLock:]
00007ffa1c37555d (__TEXT,__text) non-external -[NFMutexLock dealloc]
00007ffa1c3754c9 (__TEXT,__text) non-external -[NFMutexLock initWithOptions:]
00007ffa1c3754b5 (__TEXT,__text) non-external -[NFMutexLock init]
00007ffa1c3755e5 (__TEXT,__text) non-external -[NFMutexLock lock]
00007ffa1c375597 (__TEXT,__text) non-external -[NFMutexLock performWithLockSync:]
00007ffa1c3755f3 (__TEXT,__text) non-external -[NFMutexLock unlock]
00007ffa1c36f4dd (__TEXT,__text) non-external -[NFPendingPromise .cxx_destruct]
00007ffa1c36f33d (__TEXT,__text) non-external -[NFPendingPromise init]
00007ffa1c36f479 (__TEXT,__text) non-external -[NFPendingPromise promise]
00007ffa1c36f4c4 (__TEXT,__text) non-external -[NFPendingPromise reject]
00007ffa1c36f4ab (__TEXT,__text) non-external -[NFPendingPromise resolve]
00007ffa1c36f483 (__TEXT,__text) non-external -[NFPendingPromise setPromise:]
00007ffa1c36f4ce (__TEXT,__text) non-external -[NFPendingPromise setReject:]
00007ffa1c36f4b5 (__TEXT,__text) non-external -[NFPendingPromise setResolve:]
00007ffa1c373a2e (__TEXT,__text) non-external -[NFPromise .cxx_destruct]
00007ffa1c372903 (__TEXT,__text) non-external -[NFPromise always:]
00007ffa1c372f1f (__TEXT,__text) non-external -[NFPromise alwaysOn:always:]
00007ffa1c37288b (__TEXT,__text) non-external -[NFPromise dealloc]
00007ffa1c3738c9 (__TEXT,__text) non-external -[NFPromise delayOn]
00007ffa1c3737f7 (__TEXT,__text) non-external -[NFPromise delay]
00007ffa1c3728e7 (__TEXT,__text) non-external -[NFPromise error:]
00007ffa1c372e88 (__TEXT,__text) non-external -[NFPromise errorOn:error:]
00007ffa1c373372 (__TEXT,__text) non-external -[NFPromise errorOn]
00007ffa1c3732b5 (__TEXT,__text) non-external -[NFPromise error]
00007ffa1c372809 (__TEXT,__text) non-external -[NFPromise initWithError:]
00007ffa1c37257b (__TEXT,__text) non-external -[NFPromise initWithResolver:]
00007ffa1c37276b (__TEXT,__text) non-external -[NFPromise initWithValue:]
00007ffa1c372410 (__TEXT,__text) non-external -[NFPromise init]
00007ffa1c373193 (__TEXT,__text) non-external -[NFPromise pipeOn]
00007ffa1c37307a (__TEXT,__text) non-external -[NFPromise pipe]
00007ffa1c37361b (__TEXT,__text) non-external -[NFPromise resolveOn]
00007ffa1c3733dc (__TEXT,__text) non-external -[NFPromise resolve]
00007ffa1c3739fc (__TEXT,__text) non-external -[NFPromise seal]
00007ffa1c373a06 (__TEXT,__text) non-external -[NFPromise setSeal:]
00007ffa1c3728cb (__TEXT,__text) non-external -[NFPromise then:]
00007ffa1c37291f (__TEXT,__text) non-external -[NFPromise thenOn:then:]
00007ffa1c373010 (__TEXT,__text) non-external -[NFPromise thenOn]
00007ffa1c372fa9 (__TEXT,__text) non-external -[NFPromise then]
00007ffa1c375a79 (__TEXT,__text) non-external -[NFPromise(Timeout) timeoutAfter:]
00007ffa1c375ad8 (__TEXT,__text) non-external -[NFPromise(Timeout) timeoutAfter:on:]
00007ffa1c374dbe (__TEXT,__text) non-external -[NFPromiseSeal .cxx_destruct]
00007ffa1c374725 (__TEXT,__text) non-external -[NFPromiseSeal alwaysOn:always:]
00007ffa1c3743a6 (__TEXT,__text) non-external -[NFPromiseSeal dealloc]
00007ffa1c378007 (__TEXT,__text) non-external -[NFPromiseSeal dealloc].cold.1
00007ffa1c3780e8 (__TEXT,__text) non-external -[NFPromiseSeal dealloc].cold.2
00007ffa1c374d3c (__TEXT,__text) non-external -[NFPromiseSeal error]
00007ffa1c374d82 (__TEXT,__text) non-external -[NFPromiseSeal handlers]
00007ffa1c374332 (__TEXT,__text) non-external -[NFPromiseSeal initWithError:]
00007ffa1c3742be (__TEXT,__text) non-external -[NFPromiseSeal initWithValue:]
00007ffa1c374241 (__TEXT,__text) non-external -[NFPromiseSeal init]
00007ffa1c374db4 (__TEXT,__text) non-external -[NFPromiseSeal lock]
00007ffa1c374859 (__TEXT,__text) non-external -[NFPromiseSeal registerHandler:]
00007ffa1c3744b9 (__TEXT,__text) non-external -[NFPromiseSeal reject:]
00007ffa1c3744a2 (__TEXT,__text) non-external -[NFPromiseSeal resolve:]
00007ffa1c3744d6 (__TEXT,__text) non-external -[NFPromiseSeal resolveOn:reject:resolve:]
00007ffa1c3749c1 (__TEXT,__text) non-external -[NFPromiseSeal seal:error:resolution:]
00007ffa1c3781c9 (__TEXT,__text) non-external -[NFPromiseSeal seal:error:resolution:].cold.1
00007ffa1c374d46 (__TEXT,__text) non-external -[NFPromiseSeal setError:]
00007ffa1c374d8c (__TEXT,__text) non-external -[NFPromiseSeal setHandlers:]
00007ffa1c374d78 (__TEXT,__text) non-external -[NFPromiseSeal setState:]
00007ffa1c374d14 (__TEXT,__text) non-external -[NFPromiseSeal setValue:]
00007ffa1c374d6e (__TEXT,__text) non-external -[NFPromiseSeal state]
00007ffa1c374d0a (__TEXT,__text) non-external -[NFPromiseSeal value]
00007ffa1c375482 (__TEXT,__text) non-external -[NFReachability .cxx_destruct]
00007ffa1c375288 (__TEXT,__text) non-external -[NFReachability _statusFromNetworkPath:]
00007ffa1c3750e7 (__TEXT,__text) non-external -[NFReachability _updateCurrentNetworkPath:]
00007ffa1c375180 (__TEXT,__text) non-external -[NFReachability _updateCurrentReachabilityStatus:]
00007ffa1c375450 (__TEXT,__text) non-external -[NFReachability currentNetworkPath]
00007ffa1c3753d8 (__TEXT,__text) non-external -[NFReachability currentReachabilityStatus]
00007ffa1c375075 (__TEXT,__text) non-external -[NFReachability dealloc]
00007ffa1c3750af (__TEXT,__text) non-external -[NFReachability flushStatusUpdates]
00007ffa1c374eca (__TEXT,__text) non-external -[NFReachability init]
00007ffa1c37541e (__TEXT,__text) non-external -[NFReachability networkPathMonitor]
00007ffa1c3753ec (__TEXT,__text) non-external -[NFReachability observationQueue]
00007ffa1c37545a (__TEXT,__text) non-external -[NFReachability setCurrentNetworkPath:]
00007ffa1c3753e2 (__TEXT,__text) non-external -[NFReachability setCurrentReachabilityStatus:]
00007ffa1c375428 (__TEXT,__text) non-external -[NFReachability setNetworkPathMonitor:]
00007ffa1c3753f6 (__TEXT,__text) non-external -[NFReachability setObservationQueue:]
00007ffa1c371d5d (__TEXT,__text) non-external -[NFStateMachine .cxx_destruct]
00007ffa1c370d8f (__TEXT,__text) non-external -[NFStateMachine activateIfNeeded]
00007ffa1c370d11 (__TEXT,__text) non-external -[NFStateMachine activate]
00007ffa1c370fd6 (__TEXT,__text) non-external -[NFStateMachine addEvent:]
00007ffa1c377e15 (__TEXT,__text) non-external -[NFStateMachine addEvent:].cold.1
00007ffa1c370ea9 (__TEXT,__text) non-external -[NFStateMachine addState:]
00007ffa1c377d34 (__TEXT,__text) non-external -[NFStateMachine addState:].cold.1
00007ffa1c370e5b (__TEXT,__text) non-external -[NFStateMachine deactivateIfNeeded]
00007ffa1c370ddd (__TEXT,__text) non-external -[NFStateMachine deactivate]
00007ffa1c370c23 (__TEXT,__text) non-external -[NFStateMachine debugDescription]
00007ffa1c370b85 (__TEXT,__text) non-external -[NFStateMachine description]
00007ffa1c371ce5 (__TEXT,__text) non-external -[NFStateMachine events]
00007ffa1c371103 (__TEXT,__text) non-external -[NFStateMachine fireEventWithName:withContext:]
00007ffa1c370a35 (__TEXT,__text) non-external -[NFStateMachine initWithState:withOwner:]
00007ffa1c371d17 (__TEXT,__text) non-external -[NFStateMachine lock]
00007ffa1c371c8c (__TEXT,__text) non-external -[NFStateMachine owner]
00007ffa1c371cef (__TEXT,__text) non-external -[NFStateMachine setEvents:]
00007ffa1c371d21 (__TEXT,__text) non-external -[NFStateMachine setLock:]
00007ffa1c371ca2 (__TEXT,__text) non-external -[NFStateMachine setOwner:]
00007ffa1c371c64 (__TEXT,__text) non-external -[NFStateMachine setState:]
00007ffa1c371cbd (__TEXT,__text) non-external -[NFStateMachine setStates:]
00007ffa1c371c50 (__TEXT,__text) non-external -[NFStateMachine setStatus:]
00007ffa1c371d53 (__TEXT,__text) non-external -[NFStateMachine setStatusToken:]
00007ffa1c371c5a (__TEXT,__text) non-external -[NFStateMachine state]
00007ffa1c371cb3 (__TEXT,__text) non-external -[NFStateMachine states]
00007ffa1c371d49 (__TEXT,__text) non-external -[NFStateMachine statusToken]
00007ffa1c371c46 (__TEXT,__text) non-external -[NFStateMachine status]
00007ffa1c375a3b (__TEXT,__text) non-external -[NFStateMachineEvent .cxx_destruct]
00007ffa1c3757e2 (__TEXT,__text) non-external -[NFStateMachineEvent description]
00007ffa1c3759f0 (__TEXT,__text) non-external -[NFStateMachineEvent destinationState]
00007ffa1c375a22 (__TEXT,__text) non-external -[NFStateMachineEvent fireBlock]
00007ffa1c3758cb (__TEXT,__text) non-external -[NFStateMachineEvent fired:withOwner:]
00007ffa1c3756ca (__TEXT,__text) non-external -[NFStateMachineEvent hash]
00007ffa1c375601 (__TEXT,__text) non-external -[NFStateMachineEvent initWithName:transitionFromStates:toState:]
00007ffa1c37570e (__TEXT,__text) non-external -[NFStateMachineEvent isEqual:]
00007ffa1c3759a5 (__TEXT,__text) non-external -[NFStateMachineEvent name]
00007ffa1c3758ab (__TEXT,__text) non-external -[NFStateMachineEvent onFire:]
00007ffa1c3759fa (__TEXT,__text) non-external -[NFStateMachineEvent setDestinationState:]
00007ffa1c375a2c (__TEXT,__text) non-external -[NFStateMachineEvent setFireBlock:]
00007ffa1c3759af (__TEXT,__text) non-external -[NFStateMachineEvent setName:]
00007ffa1c3759c8 (__TEXT,__text) non-external -[NFStateMachineEvent setStates:]
00007ffa1c3759be (__TEXT,__text) non-external -[NFStateMachineEvent states]
00007ffa1c376614 (__TEXT,__text) non-external -[NFStateMachineState .cxx_destruct]
00007ffa1c376597 (__TEXT,__text) non-external -[NFStateMachineState canTryBlock]
00007ffa1c37646d (__TEXT,__text) non-external -[NFStateMachineState description]
00007ffa1c3765fb (__TEXT,__text) non-external -[NFStateMachineState didEnterBlock]
00007ffa1c3765e2 (__TEXT,__text) non-external -[NFStateMachineState didExitBlock]
00007ffa1c376355 (__TEXT,__text) non-external -[NFStateMachineState hash]
00007ffa1c3762e9 (__TEXT,__text) non-external -[NFStateMachineState initWithName:]
00007ffa1c376399 (__TEXT,__text) non-external -[NFStateMachineState isEqual:]
00007ffa1c37657e (__TEXT,__text) non-external -[NFStateMachineState name]
00007ffa1c3764de (__TEXT,__text) non-external -[NFStateMachineState onCanTry:]
00007ffa1c37655e (__TEXT,__text) non-external -[NFStateMachineState onDidEnter:]
00007ffa1c37651e (__TEXT,__text) non-external -[NFStateMachineState onDidExit:]
00007ffa1c37653e (__TEXT,__text) non-external -[NFStateMachineState onWillEnter:]
00007ffa1c3764fe (__TEXT,__text) non-external -[NFStateMachineState onWillExit:]
00007ffa1c3765a1 (__TEXT,__text) non-external -[NFStateMachineState setCanTryBlock:]
00007ffa1c376605 (__TEXT,__text) non-external -[NFStateMachineState setDidEnterBlock:]
00007ffa1c3765ec (__TEXT,__text) non-external -[NFStateMachineState setDidExitBlock:]
00007ffa1c376588 (__TEXT,__text) non-external -[NFStateMachineState setName:]
00007ffa1c3765d3 (__TEXT,__text) non-external -[NFStateMachineState setWillEnterBlock:]
00007ffa1c3765ba (__TEXT,__text) non-external -[NFStateMachineState setWillExitBlock:]
00007ffa1c3765c9 (__TEXT,__text) non-external -[NFStateMachineState willEnterBlock]
00007ffa1c3765b0 (__TEXT,__text) non-external -[NFStateMachineState willExitBlock]
00007ffa1c376668 (__TEXT,__text) non-external -[NFStateMachineState(Private) canTry:withOwner:]
00007ffa1c37693c (__TEXT,__text) non-external -[NFStateMachineState(Private) didEnter:withOwner:]
00007ffa1c376862 (__TEXT,__text) non-external -[NFStateMachineState(Private) didExit:withOwner:]
00007ffa1c3767bd (__TEXT,__text) non-external -[NFStateMachineState(Private) willEnter:withOwner:]
00007ffa1c376718 (__TEXT,__text) non-external -[NFStateMachineState(Private) willExit:withOwner:]
00007ffa1c36f2f4 (__TEXT,__text) non-external -[NFStateMachineTransition .cxx_destruct]
00007ffa1c36f2c2 (__TEXT,__text) non-external -[NFStateMachineTransition context]
00007ffa1c36f111 (__TEXT,__text) non-external -[NFStateMachineTransition description]
00007ffa1c36f22c (__TEXT,__text) non-external -[NFStateMachineTransition event]
00007ffa1c36f25e (__TEXT,__text) non-external -[NFStateMachineTransition fromState]
00007ffa1c36eff6 (__TEXT,__text) non-external -[NFStateMachineTransition initWithStateMachine:event:fromState:toState:context:]
00007ffa1c36f2cc (__TEXT,__text) non-external -[NFStateMachineTransition setContext:]
00007ffa1c36f236 (__TEXT,__text) non-external -[NFStateMachineTransition setEvent:]
00007ffa1c36f268 (__TEXT,__text) non-external -[NFStateMachineTransition setFromState:]
00007ffa1c36f204 (__TEXT,__text) non-external -[NFStateMachineTransition setStateMachine:]
00007ffa1c36f29a (__TEXT,__text) non-external -[NFStateMachineTransition setToState:]
00007ffa1c36f1fa (__TEXT,__text) non-external -[NFStateMachineTransition stateMachine]
00007ffa1c36f290 (__TEXT,__text) non-external -[NFStateMachineTransition toState]
00007ffa1c36efda (__TEXT,__text) non-external -[NFUnfairLock assertLocked]
00007ffa1c36efe8 (__TEXT,__text) non-external -[NFUnfairLock assertNotLocked]
00007ffa1c36ef07 (__TEXT,__text) non-external -[NFUnfairLock initWithOptions:]
00007ffa1c36ef50 (__TEXT,__text) non-external -[NFUnfairLock init]
00007ffa1c36efbb (__TEXT,__text) non-external -[NFUnfairLock lock]
00007ffa1c36ef64 (__TEXT,__text) non-external -[NFUnfairLock performWithLockSync:]
00007ffa1c36efcc (__TEXT,__text) non-external -[NFUnfairLock unlock]
00007ffa1c373a49 (__TEXT,__text) non-external -[NFVoid copyWithZone:]
00007ffa1c3709bd (__TEXT,__text) non-external -[NSError(NFStateMachine) fc_isStateMachineError:]
00007ffa1c3721ae (__TEXT,__text) non-external -[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:]
00007ffa1c373fce (__TEXT,__text) non-external -[NSString(NFAdditions) nf_sha1]
00007ffa1c3740c7 (__TEXT,__text) non-external -[NSString(NFAdditions) nf_stringByReversingString]
00007ffa1c371da4 (__TEXT,__text) non-external -[NSUserDefaults(NFAdditions) nf_migrateObjectForKey:toKey:]
00007ffa1c3775b1 (__TEXT,__text) non-external -[NSValue(NFAdditions) nf_CGPointValue]
00007ffa1c37751f (__TEXT,__text) non-external -[NSValue(NFAdditions) nf_CGRectValue]
00007ffa1c379f74 (__TEXT,__gcc_except_tab) non-external GCC_except_table19
00007ffa1c379fd0 (__TEXT,__gcc_except_tab) non-external GCC_except_table2
00007ffa1c379fec (__TEXT,__gcc_except_tab) non-external GCC_except_table2
                 (undefined) external _BOMCopierCopyWithOptions (from Bom)
                 (undefined) external _BOMCopierFree (from Bom)
                 (undefined) external _BOMCopierNew (from Bom)
                 (undefined) external _BOMCopierSetCopyFileFinishedHandler (from Bom)
                 (undefined) external _BOMCopierSetUserData (from Bom)
                 (undefined) external _BOMCopierUserData (from Bom)
                 (undefined) external _CC_SHA1 (from libSystem)
                 (undefined) external _CFPreferencesGetAppBooleanValue (from CoreFoundation)
                 (undefined) external _MGCopyAnswer (from libMobileGestalt)
00007ffa1c370755 (__TEXT,__text) non-external _NFArchiverCopyFileFinishedHandler
00007ffa1c377793 (__TEXT,__text) external _NFDeviceHasExtendedColorDisplay
00007ffa1c3782da (__TEXT,__text) non-external _NFDeviceHasExtendedColorDisplay.cold.1
00007ffa42e90e20 (__DATA_DIRTY,__bss) non-external _NFDeviceHasExtendedColorDisplay.hasExtendedColorDisplay
00007ffa42e90e18 (__DATA_DIRTY,__bss) non-external _NFDeviceHasExtendedColorDisplay.onceToken
00007ffa1c37762a (__TEXT,__text) external _NFDeviceIsA7
00007ffa1c377632 (__TEXT,__text) external _NFDeviceIsA8
00007ffa1c377727 (__TEXT,__text) external _NFDeviceModelString
00007ffa1c37770c (__TEXT,__text) external _NFDeviceOSVersion
00007ffa1c37763a (__TEXT,__text) external _NFDevicePlatform
00007ffa1c3782c2 (__TEXT,__text) non-external _NFDevicePlatform.cold.1
00007ffa42e90e10 (__DATA_DIRTY,__bss) non-external _NFDevicePlatform.onceToken
00007ffa42e90e08 (__DATA_DIRTY,__bss) non-external _NFDevicePlatform.s_platformString
00007ffa1c3776ff (__TEXT,__text) external _NFGeneralDeviceString
00007ffa1c36ee70 (__TEXT,__text) external _NFInternalBuild
00007ffa1c3777be (__TEXT,__text) non-external _NFInternalBuild.cold.1
00007ffa42e90e30 (__DATA_DIRTY,__bss) non-external _NFInternalBuild.internalBuild
00007ffa42e90e28 (__DATA_DIRTY,__bss) non-external _NFInternalBuild.onceToken
00007ffa1c374dfc (__TEXT,__text) external _NFLockSync
00007ffa1c374191 (__TEXT,__text) external _NFPromiseInvokeOnQueue
00007ffa1c36eea6 (__TEXT,__text) external _NFSeedBuild
00007ffa42543a68 (__DATA_CONST,__const) external _NFStateMachineErrorDomain
00007ffa1c36eeae (__TEXT,__text) external _NFStoreDemoMode
00007ffa1c3777d6 (__TEXT,__text) non-external _NFStoreDemoMode.cold.1
00007ffa42e90e00 (__DATA_DIRTY,__bss) non-external _NFStoreDemoMode.onceToken
00007ffa42e90e31 (__DATA_DIRTY,__bss) non-external _NFStoreDemoMode.storeDemoMode
00007ffa1c377742 (__TEXT,__text) external _NFSystemName
                 (undefined) external _NSGetSizeAndAlignment (from CoreFoundation)
                 (undefined) external _NSInternalInconsistencyException (from CoreFoundation)
                 (undefined) external _NSKeyedArchiveRootObjectKey (from Foundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
00007ffa1c379260 (__TEXT,__const) external _NewsFoundationVersionNumber
00007ffa1c379220 (__TEXT,__const) external _NewsFoundationVersionString
00007ffa42e90d58 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFArchiver
00007ffa42e90cb8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFEventManager
00007ffa42e90c90 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFEventTrigger
00007ffa42e90c68 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFLazy
00007ffa42e90d80 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFMultiDelegate
00007ffa42e90c40 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFMutexLock
00007ffa42e90ce0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFPendingPromise
00007ffa42e90c18 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFPromise
00007ffa42e90bf0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFPromiseSeal
00007ffa42e90bc8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFReachability
00007ffa42e90ba0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFStateMachine
00007ffa42e90b78 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFStateMachineEvent
00007ffa42e90b50 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFStateMachineState
00007ffa42e90b28 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFStateMachineTransition
00007ffa42e90b00 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFUnfairLock
00007ffa42e90ad8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFVoid
                 (undefined) external _OBJC_CLASS_$_NSBlock (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSException (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSFileManager (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSHashTable (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSKeyedUnarchiver (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNotificationCenter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSThread (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUserDefaults (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSValue (from Foundation)
                 (undefined) external _OBJC_EHTYPE_$_NSException (from CoreFoundation)
00007ffa43f8cc50 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventManager._events
00007ffa43f8cc58 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventManager._triggers
